Siena,45,George Washington,2561
5:30,2561,Brett Bisping Defensive Rebound.,26,23
5:07,2561,Javion Ogunyemi made Layup.,28,23
4:45,45,Tyler Cavanaugh missed Three Point Jumper.,28,23
4:45,2561,Nico Clareth Defensive Rebound.,28,23
4:32,2561,Nico Clareth Turnover.,28,23
4:32,45,Jaren Sina Steal.,28,23
4:15,45,Patrick Steeves made Jumper.,28,25
3:58,2561,Brett Bisping Turnover.,28,25
3:57,45,Jordan Roland Steal.,28,25
3:55,45,Yuta Watanabe made Layup.,28,27
3:31,45,Foul on Jordan Roland.,28,27
3:31,45,Official TV Timeout,28,27
3:14,2561,Khalil Richard missed Layup.,28,27
3:14,2561,Javion Ogunyemi Offensive Rebound.,28,27
3:12,2561,Javion Ogunyemi Turnover.,28,27
3:12,2561,Foul on Javion Ogunyemi.,28,27
3:00,45,Yuta Watanabe missed Three Point Jumper.,28,27
3:00,45,Patrick Steeves Offensive Rebound.,28,27
2:54,45,Jordan Roland missed Three Point Jumper.,28,27
2:54,45,Yuta Watanabe Offensive Rebound.,28,27
2:39,45,Tyler Cavanaugh made Three Point Jumper. Assisted by Jordan Roland.,28,30
2:22,2561,Marquis Wright missed Layup.,28,30
2:22,45,Patrick Steeves Block.,28,30
2:21,45,Tyler Cavanaugh Defensive Rebound.,28,30
2:14,45,Jordan Roland Turnover.,28,30
2:13,2561,Marquis Wright Steal.,28,30
2:09,2561,Marquis Wright made Layup.,30,30
1:50,45,Jordan Roland made Layup.,30,32
1:18,2561,Marquis Wright missed Three Point Jumper.,30,32
1:18,45,Patrick Steeves Defensive Rebound.,30,32
1:05,45,Jordan Roland missed Three Point Jumper.,30,32
1:05,45,Yuta Watanabe Offensive Rebound.,30,32
1:01,2561,Foul on Kadeem Smithen.,30,32
1:01,45,Yuta Watanabe made Free Throw.,30,33
1:01,45,Yuta Watanabe made Free Throw.,30,34
0:31,2561,Marquis Wright made Three Point Jumper. Assisted by Khalil Richard.,33,34
0:29,2561,Siena  Timeout,33,34
0:08,45,Jaren Sina missed Three Point Jumper.,33,34
0:08,2561,Marquis Wright Defensive Rebound.,33,34
0:01,2561,Khalil Richard missed Three Point Jumper.,33,34
0:01,45,Yuta Watanabe Defensive Rebound.,33,34
0:00,45,End of 1st half,33,34
19:38,2561,Nico Clareth made Jumper.,35,34
19:17,45,Collin Smith made Dunk. Assisted by Tyler Cavanaugh.,35,36
18:51,2561,Javion Ogunyemi made Layup.,37,36
18:30,45,Tyler Cavanaugh made Jumper.,37,38
18:10,2561,Marquis Wright missed Layup.,37,38
18:10,45,Collin Smith Defensive Rebound.,37,38
18:02,45,Collin Smith made Jumper.,37,40
18:02,2561,Javion Ogunyemi missed Layup.,37,40
18:02,45,Collin Smith Defensive Rebound.,37,40
17:26,2561,Foul on Marquis Wright.,37,40
17:26,45,Collin Smith missed Free Throw.,37,40
17:26,45,George Washington Deadball Team Rebound.,37,40
17:26,45,Collin Smith missed Free Throw.,37,40
17:26,2561,Evan Fisher Defensive Rebound.,37,40
17:04,2561,Evan Fisher missed Three Point Jumper.,37,40
17:04,45,Yuta Watanabe Defensive Rebound.,37,40
16:56,45,Collin Smith made Layup.,37,42
16:52,2561,Foul on Evan Fisher.,37,42
16:52,45,Collin Smith made Free Throw.,37,43
16:49,2561,Nico Clareth missed Jumper.,37,43
16:49,2561,Javion Ogunyemi Offensive Rebound.,37,43
16:47,2561,Javion Ogunyemi missed Jumper.,37,43
16:47,45,George Washington Defensive Rebound.,37,43
16:19,2561,Foul on Evan Fisher.,37,43
16:19,45,Tyler Cavanaugh made Free Throw.,37,44
16:19,45,Tyler Cavanaugh missed Free Throw.,37,44
16:19,2561,Brett Bisping Defensive Rebound.,37,44
16:07,2561,Siena  Timeout,37,44
16:07,45,Official TV Timeout,37,44
15:53,2561,Nico Clareth missed Three Point Jumper.,37,44
15:53,2561,Siena Offensive Rebound.,37,44
15:51,45,Official TV Timeout,37,44
15:33,2561,Brett Bisping made Jumper. Assisted by Nico Clareth.,39,44
15:15,2561,Foul on Evan Fisher.,39,44
15:10,45,Collin Smith missed Jumper.,39,44
15:10,2561,Brett Bisping Block.,39,44
15:08,45,George Washington Offensive Rebound.,39,44
14:59,2561,Foul on Javion Ogunyemi.,39,44
14:59,45,Yuta Watanabe made Three Point Jumper. Assisted by Jaren Sina.,39,47
14:36,2561,Javion Ogunyemi missed Jumper.,39,47
14:36,45,Jaren Sina Defensive Rebound.,39,47
14:27,45,Yuta Watanabe Turnover.,39,47
14:16,2561,Javion Ogunyemi made Dunk. Assisted by Nico Clareth.,41,47
13:59,45,Tyler Cavanaugh missed Jumper.,41,47
13:59,2561,Brett Bisping Defensive Rebound.,41,47
13:53,2561,Marquis Wright made Layup.,43,47
13:53,45,Foul on Collin Smith.,43,47
13:53,2561,Marquis Wright made Free Throw.,44,47
13:25,45,Patrick Steeves missed Three Point Jumper.,44,47
13:25,2561,Siena Defensive Rebound.,44,47
13:04,45,Foul on Kevin Marfo.,44,47
13:04,2561,Nico Clareth made Free Throw.,45,47
13:04,2561,Nico Clareth made Free Throw.,46,47
12:48,45,Tyler Cavanaugh missed Jumper.,46,47
12:48,2561,Kadeem Smithen Block.,46,47
12:46,2561,Brett Bisping Defensive Rebound.,46,47
12:40,2561,Javion Ogunyemi made Layup. Assisted by Nico Clareth.,48,47
12:26,45,Patrick Steeves Turnover.,48,47
12:11,2561,Nico Clareth made Three Point Jumper. Assisted by Javion Ogunyemi.,51,47
12:08,45,George Washington  Timeout,51,47
12:08,45,Official TV Timeout,51,47
11:52,45,Jair Bolden missed Layup.,51,47
11:52,45,Arnaldo Toro Offensive Rebound.,51,47
11:50,45,Arnaldo Toro missed Jumper.,51,47
11:50,2561,Javion Ogunyemi Block.,51,47
11:48,2561,Kadeem Smithen Defensive Rebound.,51,47
11:26,2561,Javion Ogunyemi missed Jumper.,51,47
11:26,45,Tyler Cavanaugh Defensive Rebound.,51,47
11:10,45,Yuta Watanabe missed Layup.,51,47
11:10,2561,Javion Ogunyemi Block.,51,47
11:09,45,Arnaldo Toro Offensive Rebound.,51,47
11:06,2561,Foul on Brett Bisping.,51,47
11:06,45,Arnaldo Toro made Free Throw.,51,48
11:06,45,Arnaldo Toro made Free Throw.,51,49
10:46,2561,Nico Clareth missed Jumper.,51,49
10:46,45,Arnaldo Toro Defensive Rebound.,51,49
10:22,45,Yuta Watanabe missed Three Point Jumper.,51,49
10:22,2561,Brett Bisping Defensive Rebound.,51,49
10:03,2561,Brett Bisping made Three Point Jumper. Assisted by Marquis Wright.,54,49
9:39,45,Matt Hart missed Jumper.,54,49
9:39,2561,Kadeem Smithen Defensive Rebound.,54,49
9:32,45,Foul on Jair Bolden.,54,49
9:26,2561,Javion Ogunyemi missed Dunk.,54,49
9:26,45,Yuta Watanabe Defensive Rebound.,54,49
9:05,45,Jair Bolden missed Jumper.,54,49
9:05,45,Arnaldo Toro Offensive Rebound.,54,49
9:04,2561,Foul on Brett Bisping.,54,49
9:04,45,Arnaldo Toro made Free Throw.,54,50
9:04,45,Arnaldo Toro made Free Throw.,54,51
8:48,2561,Marquis Wright made Layup.,56,51
8:17,45,Jaren Sina made Jumper.,56,53
8:10,2561,Marquis Wright missed Layup.,56,53
8:10,45,Yuta Watanabe Block.,56,53
8:09,2561,Javion Ogunyemi Offensive Rebound.,56,53
8:04,2561,Nico Clareth made Jumper.,58,53
7:56,45,Jaren Sina made Three Point Jumper.,58,56
7:42,2561,Nico Clareth missed Three Point Jumper.,58,56
7:42,45,Kevin Marfo Defensive Rebound.,58,56
7:23,45,Jaren Sina missed Three Point Jumper.,58,56
7:23,2561,Kadeem Smithen Defensive Rebound.,58,56
7:04,2561,Javion Ogunyemi missed Three Point Jumper.,58,56
7:00,45,George Washington Defensive Rebound.,58,56
6:59,2561,Official TV Timeout,58,56
6:46,45,Jaren Sina made Jumper.,58,58
6:26,2561,Nico Clareth missed Three Point Jumper.,58,58
6:26,2561,Marquis Wright Offensive Rebound.,58,58
6:10,45,Foul on Collin Goss.,58,58
6:09,2561,Kadeem Smithen Turnover.,58,58
6:08,45,Yuta Watanabe Steal.,58,58
6:05,45,Yuta Watanabe made Layup. Assisted by Tyler Cavanaugh.,58,60
5:54,2561,Marquis Wright missed Jumper.,58,60
5:54,45,Jordan Roland Defensive Rebound.,58,60
5:46,45,Yuta Watanabe missed Three Point Jumper.,58,60
5:46,45,Collin Smith Offensive Rebound.,58,60
5:40,45,Collin Smith made Jumper.,58,62
5:25,45,Foul on Tyler Cavanaugh.,58,62
5:07,2561,Javion Ogunyemi missed Jumper.,58,62
5:07,45,Yuta Watanabe Defensive Rebound.,58,62
5:00,45,Jaren Sina made Three Point Jumper. Assisted by Yuta Watanabe.,58,65
4:31,45,Foul on Collin Smith.,58,65
4:31,2561,Javion Ogunyemi missed Free Throw.,58,65
4:31,2561,Siena Deadball Team Rebound.,58,65
4:31,2561,Javion Ogunyemi made Free Throw.,59,65
4:08,45,Jaren Sina missed Jumper.,59,65
4:08,45,Collin Smith Offensive Rebound.,59,65
4:05,45,Collin Smith made Layup.,59,67
3:45,2561,Nico Clareth made Jumper.,61,67
3:19,45,Tyler Cavanaugh missed Dunk.,61,67
3:19,2561,Ahsante Shivers Defensive Rebound.,61,67
3:13,2561,Ahsante Shivers made Layup.,63,67
3:10,45,Official TV Timeout,63,67
3:08,2561,Foul on Brett Bisping.,63,67
3:08,45,Jaren Sina made Free Throw.,63,68
3:08,45,Jaren Sina made Free Throw.,63,69
2:57,2561,Javion Ogunyemi made Layup. Assisted by Marquis Wright.,65,69
2:57,45,Foul on Collin Smith.,65,69
2:57,2561,Evan Fisher made Free Throw.,66,69
2:40,45,Jaren Sina Turnover.,66,69
2:37,2561,Ahsante Shivers Steal.,66,69
2:35,45,Foul on Yuta Watanabe.,66,69
2:35,2561,Ahsante Shivers made Free Throw.,67,69
2:35,2561,Ahsante Shivers made Free Throw.,68,69
2:18,45,Arnaldo Toro missed Jumper.,68,69
2:18,2561,Javion Ogunyemi Defensive Rebound.,68,69
1:57,2561,Nico Clareth missed Jumper.,68,69
1:57,45,Yuta Watanabe Defensive Rebound.,68,69
1:33,45,Matt Hart Turnover.,68,69
1:32,2561,Ahsante Shivers Steal.,68,69
1:28,45,Foul on Yuta Watanabe.,68,69
1:28,2561,Marquis Wright missed Free Throw.,68,69
1:28,2561,Siena Deadball Team Rebound.,68,69
1:28,2561,Marquis Wright missed Free Throw.,68,69
1:28,45,Tyler Cavanaugh Defensive Rebound.,68,69
1:09,45,Jaren Sina missed Layup.,68,69
1:09,45,Arnaldo Toro Offensive Rebound.,68,69
1:07,45,Arnaldo Toro made Layup.,68,71
1:01,2561,Marquis Wright missed Layup.,68,71
1:01,45,Tyler Cavanaugh Defensive Rebound.,68,71
0:51,2561,Foul on Nico Clareth.,68,71
0:51,45,Jaren Sina made Free Throw.,68,72
0:51,45,Jaren Sina made Free Throw.,68,73
0:32,2561,Javion Ogunyemi made Jumper.,70,73
0:32,45,Foul on Arnaldo Toro.,70,73
0:32,2561,Javion Ogunyemi missed Free Throw.,70,73
0:32,45,George Washington Defensive Rebound.,70,73
0:26,2561,Foul on Ahsante Shivers.,70,73
0:26,45,Jaren Sina made Free Throw.,70,74
0:26,45,Jaren Sina made Free Throw.,70,75
0:17,2561,Javion Ogunyemi made Layup. Assisted by Nico Clareth.,72,75
0:17,2561,Siena  Timeout,72,75
0:12,2561,Foul on Marquis Wright.,72,75
0:12,45,Matt Hart made Free Throw.,72,76
0:12,45,Matt Hart made Free Throw.,72,77
0:08,2561,Nico Clareth made Three Point Jumper. Assisted by Marquis Wright.,75,77
0:06,2561,Siena  Timeout,75,77
0:06,45,George Washington  Timeout,75,77
0:05,2561,Foul on Kadeem Smithen.,75,77
0:05,45,Yuta Watanabe missed Free Throw.,75,77
0:05,45,George Washington Deadball Team Rebound.,75,77
0:05,45,Yuta Watanabe missed Free Throw.,75,77
0:05,2561,Nico Clareth Defensive Rebound.,75,77
0:01,2561,Nico Clareth missed Three Point Jumper.,75,77
0:00,2561,Nico Clareth missed Three Point Jumper.,75,77
0:00,45,George Washington Deadball Team Rebound.,75,77
0:00,45,End of Game,75,77
