Mount St. Mary,349,Army,289
5:55,349,Jacob Kessler Turnover.,27,31
5:54,-1,Connor Bacci Steal.,27,31
5:51,-1,Connor Bacci Turnover.,27,31
5:49,349,Jordan Fox Steal.,27,31
5:39,349,John Emezie missed Three Point Jumper.,27,31
5:39,-1,T.J. Patsalos Defensive Rebound.,27,31
5:36,349,Foul on Jacob Kessler.,27,31
5:36,-1,T.J. Patsalos made Free Throw.,28,31
5:36,-1,T.J. Patsalos made Free Throw.,29,31
5:29,-1,Foul on Owen Heath.,29,31
5:19,349,Jordan Fox made Layup.,29,33
5:03,-1,Owen Heath made Layup. Assisted by Tyler McDine.,31,33
4:59,349,Army  Timeout,31,33
4:46,-1,Foul on Connor Nicholson.,31,33
4:46,349,Matthew Wilson missed Free Throw.,31,33
4:46,349,Army Deadball Team Rebound.,31,33
4:46,349,Matthew Wilson made Free Throw.,31,34
4:33,-1,George Greene Turnover.,31,34
4:25,349,Kennedy Edwards missed Three Point Jumper.,31,34
4:25,349,Richard Brown Offensive Rebound.,31,34
4:16,349,Kennedy Edwards made Layup. Assisted by Thomas Funk.,31,36
3:58,-1,George Greene missed Layup.,31,36
3:58,349,Thomas Funk Defensive Rebound.,31,36
3:56,349,Thomas Funk made Free Throw.,31,37
3:55,349,Thomas Funk made Free Throw.,31,38
3:55,-1,Foul on George Greene.,31,38
3:55,349,Army  Timeout,31,38
3:48,-1,Gerard Nocera missed Three Point Jumper.,31,38
3:48,349,Kennedy Edwards Defensive Rebound.,31,38
3:42,349,Richard Brown made Layup. Assisted by Thomas Funk.,31,40
3:19,-1,George Greene missed Three Point Jumper.,31,40
3:19,349,Matthew Wilson Defensive Rebound.,31,40
3:09,-1,Foul on George Greene.,31,40
3:09,349,Thomas Funk made Free Throw.,31,41
3:09,349,Thomas Funk made Free Throw.,31,42
2:40,-1,Gerard Nocera missed Three Point Jumper.,31,42
2:40,349,Kennedy Edwards Defensive Rebound.,31,42
2:27,349,Kennedy Edwards missed Three Point Jumper.,31,42
2:27,-1,T.J. Patsalos Defensive Rebound.,31,42
2:23,349,Foul on Kennedy Edwards.,31,42
2:23,-1,T.J. Patsalos made Free Throw.,32,42
2:23,-1,T.J. Patsalos missed Free Throw.,32,42
2:23,349,Mac Hoffman Defensive Rebound.,32,42
2:13,349,Jordan Fox made Three Point Jumper. Assisted by John Emezie.,32,45
1:55,-1,Gerard Nocera Turnover.,32,45
1:55,-1,Mount Saint Mary (NY)  Timeout,32,45
1:43,349,John Emezie made Layup.,32,47
1:43,-1,Foul on T.J. Patsalos.,32,47
1:43,349,John Emezie made Free Throw.,32,48
1:13,-1,T.J. Patsalos Turnover.,32,48
0:55,349,Scott Mammel Turnover.,32,48
0:54,-1,Gerard Nocera Steal.,32,48
0:48,-1,T.J. Patsalos made Layup. Assisted by George Greene.,34,48
0:33,349,Scott Mammel missed Three Point Jumper.,34,48
0:33,349,Mac Hoffman Offensive Rebound.,34,48
0:27,349,Scott Mammel missed Layup.,34,48
0:27,-1,Gerard Nocera Block.,34,48
0:25,349,Scott Mammel Offensive Rebound.,34,48
0:22,349,Scott Mammel made Layup.,34,50
0:08,-1,Daniel Wolff made Layup. Assisted by George Greene.,36,50
0:00,349,End of 1st half,36,50
19:50,349,Jordan Fox made Three Point Jumper. Assisted by Thomas Funk.,36,53
19:17,-1,Connor Nicholson missed Three Point Jumper.,36,53
19:17,349,Jacob Kessler Defensive Rebound.,36,53
19:10,349,Thomas Funk missed Jumper.,36,53
19:10,-1,Tyler McDine Defensive Rebound.,36,53
18:57,349,Foul on Mac Hoffman.,36,53
18:57,-1,Gerard Nocera made Free Throw.,37,53
18:57,-1,Gerard Nocera made Free Throw.,38,53
18:40,349,Jacob Kessler Turnover.,38,53
18:38,-1,Tyler McDine Steal.,38,53
18:23,-1,Connor Nicholson Turnover.,38,53
18:22,349,Thomas Funk Steal.,38,53
18:17,349,Thomas Funk Turnover.,38,53
18:04,-1,Tyler McDine missed Layup.,38,53
18:04,349,Kennedy Edwards Defensive Rebound.,38,53
17:59,-1,Foul on T.J. Patsalos.,38,53
17:51,349,Jordan Fox missed Three Point Jumper.,38,53
17:51,-1,Tyler McDine Defensive Rebound.,38,53
17:43,-1,Connor Nicholson missed Three Point Jumper.,38,53
17:43,-1,T.J. Patsalos Offensive Rebound.,38,53
17:38,-1,T.J. Patsalos made Layup.,40,53
17:34,349,Thomas Funk Turnover.,40,53
17:16,-1,Gerard Nocera missed Jumper.,40,53
17:16,349,Matthew Wilson Defensive Rebound.,40,53
17:06,349,Jacob Kessler missed Three Point Jumper.,40,53
17:06,349,Thomas Funk Offensive Rebound.,40,53
16:58,349,Luke Morrison missed Three Point Jumper.,40,53
16:58,349,Luke Morrison Offensive Rebound.,40,53
16:54,349,Luke Morrison made Layup.,40,55
16:27,349,Foul on Jacob Kessler.,40,55
16:27,-1,T.J. Patsalos made Free Throw.,41,55
16:27,-1,T.J. Patsalos missed Free Throw.,41,55
16:27,349,Matthew Wilson Defensive Rebound.,41,55
16:21,349,Jordan Fox made Layup.,41,57
16:09,-1,T.J. Patsalos Turnover.,41,57
16:08,349,Jordan Fox Steal.,41,57
15:58,349,Matthew Wilson made Layup. Assisted by Richard Brown.,41,59
15:58,-1,Foul on Tyler McDine.,41,59
15:58,349,Official TV Timeout,41,59
15:58,349,Matthew Wilson missed Free Throw.,41,59
15:58,-1,Andrew Holmes Defensive Rebound.,41,59
15:36,-1,Gerard Nocera missed Three Point Jumper.,41,59
15:36,349,Richard Brown Defensive Rebound.,41,59
15:12,349,Foul on Kennedy Edwards.,41,59
15:12,349,Kennedy Edwards Turnover.,41,59
14:48,-1,Gerard Nocera missed Layup.,41,59
14:48,349,Matthew Wilson Block.,41,59
14:46,349,Matthew Wilson Defensive Rebound.,41,59
14:41,349,Scott Mammel made Three Point Jumper. Assisted by Jordan Fox.,41,62
14:18,-1,Andrew Holmes missed Layup.,41,62
14:18,349,Matthew Wilson Defensive Rebound.,41,62
14:00,349,Matthew Wilson made Layup. Assisted by John Emezie.,41,64
13:57,-1,Mount Saint Mary (NY)  Timeout,41,64
13:33,-1,Owen Heath missed Three Point Jumper.,41,64
13:33,349,Army Defensive Rebound.,41,64
13:14,349,Scott Mammel made Three Point Jumper. Assisted by Thomas Funk.,41,67
12:52,349,Foul on Richard Brown.,41,67
12:50,-1,Connor Bacci Turnover.,41,67
12:47,349,John Emezie Steal.,41,67
12:42,349,Richard Brown missed Three Point Jumper.,41,67
12:42,-1,Mount Saint Mary (NY) Defensive Rebound.,41,67
12:27,-1,Angelo Accattato made Layup.,43,67
12:18,349,John Emezie made Three Point Jumper. Assisted by Scott Mammel.,43,70
12:01,-1,Owen Heath missed Three Point Jumper.,43,70
12:01,349,John Emezie Defensive Rebound.,43,70
11:50,-1,Foul on Angelo Accattato.,43,70
11:50,349,Official TV Timeout,43,70
11:47,349,Thomas Funk missed Jumper.,43,70
11:47,-1,Kendall Francis Defensive Rebound.,43,70
11:40,-1,Angelo Accattato missed Layup.,43,70
11:40,349,Matthew Wilson Defensive Rebound.,43,70
11:19,-1,Foul on Angelo Accattato.,43,70
11:13,349,Thomas Funk made Three Point Jumper. Assisted by Jacob Kessler.,43,73
10:50,-1,Gerard Nocera Turnover.,43,73
10:49,349,Matthew Wilson Steal.,43,73
10:46,349,Luke Morrison made Three Point Jumper. Assisted by Thomas Funk.,43,76
10:24,-1,Gerard Nocera missed Jumper.,43,76
10:24,349,Jordan Fox Defensive Rebound.,43,76
10:15,349,Matthew Wilson missed Layup.,43,76
10:15,349,Matthew Wilson Offensive Rebound.,43,76
10:13,349,Matthew Wilson missed Layup.,43,76
10:13,-1,T.J. Patsalos Block.,43,76
10:11,349,Thomas Funk Offensive Rebound.,43,76
10:03,349,Foul on Matthew Wilson.,43,76
9:52,-1,Kendall Francis missed Three Point Jumper.,43,76
9:52,349,Jacob Kessler Defensive Rebound.,43,76
9:47,349,Adam Roe made Layup. Assisted by Jordan Fox.,43,78
9:33,-1,Jovin Ramos missed Jumper.,43,78
9:33,349,Mac Hoffman Defensive Rebound.,43,78
9:19,349,Luke Morrison Turnover.,43,78
9:00,-1,Connor Nicholson Turnover.,43,78
8:59,349,Luke Morrison Steal.,43,78
8:49,349,Mac Hoffman made Jumper.,43,80
8:22,-1,T.J. Patsalos made Jumper.,45,80
8:09,-1,Foul on Tyler McDine.,45,80
8:07,349,Scott Mammel made Three Point Jumper. Assisted by Mac Hoffman.,45,83
7:53,-1,Daniel Wolff made Layup. Assisted by Tyler McDine.,47,83
7:49,-1,Foul on Tyler McDine.,47,83
7:49,349,Official TV Timeout,47,83
