Bridgewater,Error,Campbell,2097
11:51,2097,Official TV Timeout,7,19
11:51,2097,Mogga Lado missed Free Throw.,7,19
11:51,2097,Campbell Deadball Team Rebound.,7,19
11:51,2097,Mogga Lado made Free Throw.,7,20
11:41,2079,Bryce Boggs Turnover.,7,20
11:39,2097,Khadre Lane Steal.,7,20
11:28,2097,Andrew Eudy Turnover.,7,20
11:27,2079,Romello Crowell Steal.,7,20
11:24,2079,Romello Crowell missed Layup.,7,20
11:24,2097,Andrew Eudy Block.,7,20
11:23,2079,Bridgewater (VA) Offensive Rebound.,7,20
11:07,2079,Essex Thompson missed Jumper.,7,20
11:07,2097,Mogga Lado Defensive Rebound.,7,20
10:57,2097,Khadre Lane missed Three Point Jumper.,7,20
10:57,2097,Campbell Offensive Rebound.,7,20
10:51,2097,Marcus Burk made Three Point Jumper. Assisted by Austin Burnette.,7,23
10:18,2079,Kevin Saylor missed Three Point Jumper.,7,23
10:18,2097,Marcus Burk Defensive Rebound.,7,23
9:57,2097,Khadre Lane missed Layup.,7,23
9:57,2079,Joe Lewis Block.,7,23
9:54,2079,Bryce Boggs Defensive Rebound.,7,23
9:50,2079,Bryce Boggs Turnover.,7,23
9:49,2097,Quinton Ray Steal.,7,23
9:39,2097,Quinton Ray made Jumper. Assisted by Khadre Lane.,7,25
9:26,2079,Romello Crowell missed Three Point Jumper.,7,25
9:26,2097,Andrew Eudy Defensive Rebound.,7,25
9:14,2097,Khadre Lane missed Jumper.,7,25
9:14,2079,Romello Crowell Defensive Rebound.,7,25
8:57,2079,Bryce Boggs missed Layup.,7,25
8:57,2079,Joe Lewis Offensive Rebound.,7,25
8:40,2079,Jesse Case missed Three Point Jumper.,7,25
8:40,2097,Austin Burnette Defensive Rebound.,7,25
8:16,2097,Andrew Eudy missed Layup.,7,25
8:16,2079,Jesse Case Block.,7,25
8:14,2079,Jesse Case Defensive Rebound.,7,25
8:01,2079,Bryce Boggs Turnover.,7,25
7:49,2097,Marcus Burk missed Three Point Jumper.,7,25
7:49,2079,Jesse Case Defensive Rebound.,7,25
7:42,2079,Bryce Boggs made Layup. Assisted by Jesse Case.,9,25
7:24,2097,Official TV Timeout,9,25
7:14,2097,Shane Whitfield Turnover.,9,25
7:12,2079,Efe Balfour Steal.,9,25
7:10,2079,Efe Balfour Turnover.,9,25
7:09,2097,Damontez Oliver Steal.,9,25
6:56,2097,Chris Clemons Turnover.,9,25
6:55,2079,Essex Thompson Steal.,9,25
6:43,2079,Jesse Case missed Three Point Jumper.,9,25
6:43,2079,Essex Thompson Offensive Rebound.,9,25
6:25,2097,Foul on Austin Burnette.,9,25
6:25,2079,Efe Balfour missed Free Throw.,9,25
6:25,2079,Bridgewater (VA) Deadball Team Rebound.,9,25
6:25,2079,Efe Balfour missed Free Throw.,9,25
6:25,2097,Shane Whitfield Defensive Rebound.,9,25
6:13,2097,Cory Gensler made Jumper. Assisted by Chris Clemons.,9,27
5:55,2079,Efe Balfour made Layup. Assisted by Bryce Boggs.,11,27
5:55,2097,Foul on Cory Gensler.,11,27
5:55,2079,Efe Balfour made Free Throw.,12,27
5:47,2097,Shane Whitfield Turnover.,12,27
5:33,2097,Foul on Khadre Lane.,12,27
5:33,2079,Efe Balfour made Free Throw.,13,27
5:33,2079,Efe Balfour made Free Throw.,14,27
5:24,2079,Foul on Essex Thompson.,14,27
5:13,2097,Chris Clemons made Three Point Jumper. Assisted by Mogga Lado.,14,30
4:56,2079,Joe Lewis missed Three Point Jumper.,14,30
4:56,2079,Bryce Boggs Offensive Rebound.,14,30
4:45,2079,Essex Thompson missed Three Point Jumper.,14,30
4:45,2097,Chris Clemons Block.,14,30
4:43,2079,Bridgewater (VA) Offensive Rebound.,14,30
4:39,2079,Jesse Case missed Three Point Jumper.,14,30
4:39,2097,Cory Gensler Defensive Rebound.,14,30
4:29,2097,Cory Gensler missed Layup.,14,30
4:29,2079,Jesse Case Defensive Rebound.,14,30
4:10,2079,Keonte Dennis made Layup. Assisted by Bryce Boggs.,16,30
4:01,2097,Chris Clemons made Three Point Jumper. Assisted by Shane Whitfield.,16,33
3:47,2079,Essex Thompson missed Jumper.,16,33
3:47,2097,Khadre Lane Block.,16,33
3:47,2079,Bridgewater (VA) Offensive Rebound.,16,33
3:46,2097,Official TV Timeout,16,33
3:34,2079,Kevin Saylor made Jumper.,18,33
3:26,2079,Foul on Keonte Dennis.,18,33
3:26,2097,Chris Clemons made Free Throw.,18,34
3:26,2097,Chris Clemons made Free Throw.,18,35
3:15,2097,Foul on Quinton Ray.,18,35
3:15,2079,Efe Balfour missed Free Throw.,18,35
3:15,2079,Bridgewater (VA) Deadball Team Rebound.,18,35
3:15,2079,Efe Balfour made Free Throw.,19,35
3:02,2097,Andrew Eudy Turnover.,19,35
3:01,2079,Romello Crowell Steal.,19,35
2:54,2079,Keonte Dennis missed Three Point Jumper.,19,35
2:54,2097,Cory Gensler Defensive Rebound.,19,35
2:27,2097,Cory Gensler made Three Point Jumper. Assisted by Quinton Ray.,19,38
2:05,2079,Efe Balfour made Layup.,21,38
1:45,2097,Cory Gensler made Layup.,21,40
1:22,2079,Keonte Dennis Turnover.,21,40
1:21,2097,Chris Clemons Steal.,21,40
1:19,2097,Chris Clemons made Dunk.,21,42
0:56,2097,Foul on Andrew Eudy.,21,42
0:56,2079,Efe Balfour missed Free Throw.,21,42
0:56,2079,Bridgewater (VA) Deadball Team Rebound.,21,42
0:56,2079,Efe Balfour made Free Throw.,22,42
0:48,2097,Quinton Ray made Layup.,22,44
0:36,2079,Bryce Boggs missed Jumper.,22,44
0:36,2097,Cory Gensler Defensive Rebound.,22,44
0:24,2097,Austin Burnette missed Layup.,22,44
0:24,2079,Joe Lewis Block.,22,44
0:20,2079,Joe Lewis Defensive Rebound.,22,44
0:18,2079,Joe Lewis Turnover.,22,44
0:16,2097,Austin Burnette Steal.,22,44
0:15,2097,Austin Burnette made Layup.,22,46
0:06,2079,Bryce Boggs missed Jumper.,22,46
0:06,2097,Mogga Lado Defensive Rebound.,22,46
0:00,2097,End of 1st half,22,46
19:37,2079,Bryce Boggs made Layup.,24,46
19:20,2097,Andrew Eudy made Layup. Assisted by Cory Gensler.,24,48
18:48,2079,Jesse Case missed Three Point Jumper.,24,48
18:48,2097,Shane Whitfield Defensive Rebound.,24,48
18:45,2079,Foul on Joe Lewis.,24,48
18:32,2097,Cory Gensler made Three Point Jumper. Assisted by Shane Whitfield.,24,51
18:06,2079,Jesse Case missed Layup.,24,51
18:06,2097,Andrew Eudy Block.,24,51
18:04,2097,Shane Whitfield Defensive Rebound.,24,51
18:01,2097,Shane Whitfield made Layup. Assisted by Chris Clemons.,24,53
17:28,2079,Kevin Saylor missed Jumper.,24,53
17:28,2097,Andrew Eudy Defensive Rebound.,24,53
17:19,2079,Foul on Keonte Dennis.,24,53
17:19,2097,Chris Clemons made Free Throw.,24,54
17:19,2097,Chris Clemons made Free Throw.,24,55
16:54,2097,Foul on Andrew Eudy.,24,55
16:54,2079,Bryce Boggs made Free Throw.,25,55
16:54,2079,Bryce Boggs made Free Throw.,26,55
16:30,2097,Mogga Lado made Layup. Assisted by Chris Clemons.,26,57
16:13,2097,Foul on Mogga Lado.,26,57
16:13,2079,Efe Balfour made Free Throw.,27,57
16:13,2079,Efe Balfour missed Free Throw.,27,57
16:13,2097,Shane Whitfield Defensive Rebound.,27,57
16:02,2079,Foul on Bryce Boggs.,27,57
16:02,2097,Mogga Lado made Free Throw.,27,58
16:02,2097,Mogga Lado made Free Throw.,27,59
15:35,2079,Bryce Boggs Turnover.,27,59
15:33,2097,Shane Whitfield Steal.,27,59
15:30,2097,Chris Clemons missed Layup.,27,59
15:30,2079,Romello Crowell Defensive Rebound.,27,59
15:23,2079,Essex Thompson made Layup. Assisted by Bryce Boggs.,29,59
15:02,2097,Chris Clemons made Three Point Jumper. Assisted by Mogga Lado.,29,62
14:44,2097,Foul on Chris Clemons.,29,62
14:44,2097,Official TV Timeout,29,62
14:42,2079,Jesse Case missed Three Point Jumper.,29,62
14:42,2097,Shane Whitfield Defensive Rebound.,29,62
14:36,2079,Foul on Essex Thompson.,29,62
14:36,2097,Shane Whitfield made Free Throw.,29,63
14:36,2097,Shane Whitfield made Free Throw.,29,64
14:24,2079,Essex Thompson Turnover.,29,64
14:09,2097,Mogga Lado Turnover.,29,64
14:09,2079,Paul Brown Steal.,29,64
13:56,2079,Kevin Saylor missed Three Point Jumper.,29,64
13:56,2097,Campbell Defensive Rebound.,29,64
13:36,2097,Mogga Lado made Dunk.,29,66
13:23,2097,Foul on Shane Whitfield.,29,66
13:17,2079,Kevin Saylor missed Jumper.,29,66
13:17,2097,Campbell Defensive Rebound.,29,66
13:02,2097,Marcus Burk missed Three Point Jumper.,29,66
13:02,2079,Paul Brown Defensive Rebound.,29,66
12:54,2079,Paul Brown Turnover.,29,66
12:53,2097,Marcus Burk Steal.,29,66
12:51,2097,Khadre Lane made Layup. Assisted by Marcus Burk.,29,68
12:28,2079,Efe Balfour Turnover.,29,68
12:28,2079,Foul on Efe Balfour.,29,68
12:13,2097,Marcus Burk made Layup. Assisted by Quinton Ray.,29,70
12:13,2079,Foul on Joe Lewis.,29,70
12:13,2097,Marcus Burk made Free Throw.,29,71
12:00,2079,Joe Lewis Turnover.,29,71
11:58,2097,Khadre Lane Steal.,29,71
11:56,2097,Khadre Lane made Layup.,29,73
11:26,2079,Joe Lewis missed Three Point Jumper.,29,73
11:26,2097,Austin Burnette Defensive Rebound.,29,73
11:16,2097,Marcus Burk missed Three Point Jumper.,29,73
11:16,2097,Mogga Lado Offensive Rebound.,29,73
11:11,2097,Mogga Lado Turnover.,29,73
11:10,2079,Paul Brown Steal.,29,73
11:02,2079,Efe Balfour made Dunk. Assisted by Romello Crowell.,31,73
10:58,2079,Bridgewater (VA)  Timeout,31,73
10:46,2097,Khadre Lane missed Jumper.,31,73
10:46,2079,Jesse Case Defensive Rebound.,31,73
10:22,2079,Jesse Case missed Jumper.,31,73
10:22,2079,Efe Balfour Offensive Rebound.,31,73
10:13,2079,Bridgewater (VA)  Turnover.,31,73
10:09,2097,Official TV Timeout,31,73
9:57,2097,Austin Burnette missed Three Point Jumper.,31,73
9:57,2079,Jesse Case Defensive Rebound.,31,73
9:27,2079,Zach Kopp missed Layup.,31,73
9:27,2097,Jon Ander Cuadra Block.,31,73
9:26,2097,Jon Ander Cuadra Defensive Rebound.,31,73
9:14,2097,Marcus Burk made Three Point Jumper. Assisted by Quinton Ray.,31,76
8:38,2079,Kevin Saylor missed Jumper.,31,76
8:38,2097,Austin Burnette Defensive Rebound.,31,76
8:32,2079,Foul on Tim Dougan.,31,76
8:32,2097,Khadre Lane made Free Throw.,31,77
8:32,2097,Khadre Lane made Free Throw.,31,78
8:18,2079,Zach Kopp missed Jumper.,31,78
8:18,2079,Efe Balfour Offensive Rebound.,31,78
8:01,2079,Zach Kopp missed Layup.,31,78
8:01,2097,Marcus Burk Defensive Rebound.,31,78
7:45,2097,Jon Ander Cuadra missed Jumper.,31,78
7:45,2079,Jesse Case Defensive Rebound.,31,78
7:32,2079,Bryce Boggs missed Jumper.,31,78
7:32,2097,Damontez Oliver Defensive Rebound.,31,78
7:29,2079,Foul on Bryce Boggs.,31,78
7:29,2097,Official TV Timeout,31,78
7:29,2097,Damontez Oliver made Free Throw.,31,79
7:29,2097,Damontez Oliver made Free Throw.,31,80
7:14,2079,Hunter Dotson missed Layup.,31,80
7:14,2097,Jon Ander Cuadra Defensive Rebound.,31,80
6:58,2097,Damontez Oliver missed Layup.,31,80
6:58,2079,Bryce Boggs Defensive Rebound.,31,80
6:49,2079,Bryce Boggs missed Layup.,31,80
6:49,2097,Cory Gensler Defensive Rebound.,31,80
6:36,2097,Austin Burnette made Three Point Jumper. Assisted by Jon Ander Cuadra.,31,83
6:12,2079,Jesse Case missed Three Point Jumper.,31,83
6:12,2097,Cory Gensler Defensive Rebound.,31,83
5:53,2097,Damontez Oliver made Three Point Jumper. Assisted by Austin Burnette.,31,86
5:32,2097,Foul on Jon Ander Cuadra.,31,86
5:32,2079,Bryce Boggs made Free Throw.,32,86
5:32,2079,Bryce Boggs made Free Throw.,33,86
5:18,2097,Mogga Lado Turnover.,33,86
5:04,2079,Romello Crowell Turnover.,33,86
4:38,2097,Nick Parker missed Three Point Jumper.,33,86
4:38,2079,Romello Crowell Defensive Rebound.,33,86
4:31,2097,Foul on Nick Parker.,33,86
4:31,2079,Romello Crowell made Free Throw.,34,86
4:31,2079,Romello Crowell made Free Throw.,35,86
4:18,2097,Jacob Talbert missed Three Point Jumper.,35,86
4:18,2097,Jon Ander Cuadra Offensive Rebound.,35,86
4:13,2097,Jon Ander Cuadra made Layup.,35,88
4:05,2079,Keonte Dennis Turnover.,35,88
3:53,2097,Josh Crumpler missed Jumper.,35,88
3:53,2079,Keonte Dennis Defensive Rebound.,35,88
3:43,2097,Official TV Timeout,35,88
3:37,2079,Zach Kopp missed Layup.,35,88
3:37,2097,Jon Ander Cuadra Block.,35,88
3:36,2097,Jacob Talbert Defensive Rebound.,35,88
3:13,2097,Mogga Lado made Layup. Assisted by Jacob Talbert.,35,90
2:59,2079,Zach Kopp missed Layup.,35,90
2:59,2097,Mogga Lado Defensive Rebound.,35,90
2:44,2097,Nick Parker made Jumper.,35,92
2:29,2079,Keonte Dennis made Three Point Jumper. Assisted by Romello Crowell.,38,92
2:11,2097,Nick Parker made Layup. Assisted by Austin Burnette.,38,94
1:52,2097,Foul on Jacob Talbert.,38,94
1:52,2079,Zach Kopp missed Free Throw.,38,94
1:52,2079,Bridgewater (VA) Deadball Team Rebound.,38,94
1:52,2079,Zach Kopp made Free Throw.,39,94
1:33,2097,Josh Crumpler missed Jumper.,39,94
1:33,2079,Hunter Dotson Defensive Rebound.,39,94
1:22,2097,Foul on Jacob Talbert.,39,94
1:22,2079,Paul Brown made Free Throw.,40,94
1:22,2079,Paul Brown made Free Throw.,41,94
1:08,2097,Jacob Talbert made Jumper. Assisted by Nick Parker.,41,96
0:53,2097,Foul on Nick Parker.,41,96
0:53,2079,Hunter Dotson made Free Throw.,42,96
0:53,2079,Hunter Dotson missed Free Throw.,42,96
0:53,2079,Joe Lewis Offensive Rebound.,42,96
0:48,2079,Joe Lewis missed Jumper.,42,96
0:48,2097,Jacob Talbert Defensive Rebound.,42,96
0:44,2097,Jacob Talbert Turnover.,42,96
0:43,2079,Paul Brown Steal.,42,96
0:43,2079,Paul Brown made Layup.,44,96
0:34,2097,Nick Parker made Three Point Jumper. Assisted by Jacob Talbert.,44,99
0:27,2097,Foul on Wyatt Self.,44,99
0:27,2079,Hunter Dotson made Free Throw.,45,99
0:27,2079,Hunter Dotson missed Free Throw.,45,99
0:27,2097,Jacob Talbert Defensive Rebound.,45,99
0:23,2097,Jacob Talbert Turnover.,45,99
0:21,2079,Hunter Dotson Steal.,45,99
0:15,2079,Joe Lewis Turnover.,45,99
0:14,2097,Jacob Talbert Steal.,45,99
0:12,2097,Nick Parker made Layup. Assisted by Jacob Talbert.,45,101
0:03,2079,Paul Brown missed Layup.,45,101
0:03,2097,Austin Burnette Defensive Rebound.,45,101
0:00,2097,End of Game,45,101
