Grand Canyon,213,Penn State,2253
6:35,213,Terrence Samuel missed Jumper.,33,37
6:35,2253,Oscar Frayer Defensive Rebound.,33,37
6:03,2253,Oscar Frayer missed Jumper.,33,37
6:03,213,Julian Moore Defensive Rebound.,33,37
5:44,213,Lamar Stevens missed Three Point Jumper.,33,37
5:44,2253,Oscar Frayer Defensive Rebound.,33,37
5:23,2253,Gerard Martin Turnover.,33,37
5:22,213,Lamar Stevens Steal.,33,37
5:20,2253,Foul on Gerard Martin.,33,37
5:20,213,Terrence Samuel made Free Throw.,33,38
5:20,213,Terrence Samuel missed Free Throw.,33,38
5:20,2253,Kerwin Smith Defensive Rebound.,33,38
5:01,2253,Darion Clark made Dunk. Assisted by Shaq Carr.,35,38
4:43,213,Julian Moore Turnover.,35,38
4:25,2253,Darion Clark missed Layup.,35,38
4:25,213,Nazeer Bostick Defensive Rebound.,35,38
4:19,213,Payton Banks made Three Point Jumper. Assisted by Shep Garner.,35,41
4:00,2253,Shaq Carr Turnover.,35,41
3:58,213,Payton Banks Steal.,35,41
3:52,213,Payton Banks missed Three Point Jumper.,35,41
3:52,2253,Shaq Carr Defensive Rebound.,35,41
3:46,2253,Joshua Braun missed Three Point Jumper.,35,41
3:46,2253,Oscar Frayer Offensive Rebound.,35,41
3:31,2253,Oscar Frayer missed Three Point Jumper.,35,41
3:31,213,Julian Moore Defensive Rebound.,35,41
3:21,213,Tony Carr Turnover.,35,41
3:21,2253,Joshua Braun Steal.,35,41
3:10,2253,Darion Clark missed Jumper.,35,41
3:10,2253,Kerwin Smith Offensive Rebound.,35,41
3:02,2253,Kerwin Smith missed Layup.,35,41
3:02,213,Julian Moore Block.,35,41
3:01,213,Shep Garner Defensive Rebound.,35,41
2:36,213,Payton Banks missed Three Point Jumper.,35,41
2:36,2253,Oscar Frayer Defensive Rebound.,35,41
2:23,2253,Shaq Carr missed Layup.,35,41
2:23,2253,Kerwin Smith Offensive Rebound.,35,41
2:21,2253,Kerwin Smith made Layup.,37,41
2:12,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,37,44
1:46,2253,Joshua Braun missed Three Point Jumper.,37,44
1:46,213,Payton Banks Defensive Rebound.,37,44
1:35,213,Nazeer Bostick made Layup. Assisted by Tony Carr.,37,46
1:33,2253,Grand Canyon  Timeout,37,46
1:33,213,Official TV Timeout,37,46
1:21,2253,Joshua Braun missed Layup.,37,46
1:21,213,Julian Moore Block.,37,46
1:19,2253,Darion Clark Offensive Rebound.,37,46
1:19,2253,Darion Clark made Layup.,39,46
1:00,213,Tony Carr missed Layup.,39,46
1:00,2253,Shaq Carr Block.,39,46
0:59,2253,Shaq Carr Defensive Rebound.,39,46
0:58,2253,Shaq Carr Turnover.,39,46
0:38,213,Terrence Samuel made Layup. Assisted by Shep Garner.,39,48
0:09,2253,Kerwin Smith made Dunk. Assisted by Fiifi Aidoo.,41,48
0:01,213,Shep Garner Turnover.,41,48
0:00,213,End of 1st half,41,48
19:44,2253,Gerard Martin missed Three Point Jumper.,41,48
19:44,2253,Shaq Carr Offensive Rebound.,41,48
19:35,213,Foul on Payton Banks.,41,48
19:32,2253,Foul on Joshua Braun.,41,48
19:32,2253,Joshua Braun Turnover.,41,48
19:15,213,Mike Watkins missed Jumper.,41,48
19:15,2253,Darion Clark Defensive Rebound.,41,48
19:07,2253,Oscar Frayer missed Layup.,41,48
19:07,2253,Darion Clark Offensive Rebound.,41,48
19:04,2253,Darion Clark made Layup.,43,48
18:50,213,Lamar Stevens missed Jumper.,43,48
18:50,2253,Joshua Braun Block.,43,48
18:48,2253,Darion Clark Defensive Rebound.,43,48
18:43,213,Foul on Terrence Samuel.,43,48
18:35,213,Foul on Lamar Stevens.,43,48
18:35,2253,Joshua Braun made Free Throw.,44,48
18:35,2253,Joshua Braun made Free Throw.,45,48
18:35,2253,Joshua Braun made Free Throw.,46,48
18:15,213,Shep Garner missed Jumper.,46,48
18:15,2253,Joshua Braun Defensive Rebound.,46,48
18:02,2253,Oscar Frayer missed Three Point Jumper.,46,48
18:02,213,Tony Carr Defensive Rebound.,46,48
17:54,213,Foul on Tony Carr.,46,48
17:54,213,Tony Carr Turnover.,46,48
17:32,2253,Shaq Carr missed Jumper.,46,48
17:32,213,Tony Carr Defensive Rebound.,46,48
17:31,2253,Foul on Darion Clark.,46,48
17:18,213,Shep Garner missed Three Point Jumper.,46,48
17:18,2253,Darion Clark Defensive Rebound.,46,48
17:08,2253,Oscar Frayer Turnover.,46,48
17:05,213,Terrence Samuel Steal.,46,48
17:04,213,Penn State  Timeout,46,48
17:04,213,Official TV Timeout,46,48
16:57,213,Tony Carr missed Jumper.,46,48
16:57,2253,Keonta Vernon Defensive Rebound.,46,48
16:39,2253,Gerard Martin missed Three Point Jumper.,46,48
16:39,213,Nazeer Bostick Defensive Rebound.,46,48
16:23,213,Julian Moore missed Layup.,46,48
16:23,2253,Keonta Vernon Defensive Rebound.,46,48
16:02,2253,Shaq Carr made Layup.,48,48
15:35,213,Nazeer Bostick missed Three Point Jumper.,48,48
15:35,2253,Keonta Vernon Defensive Rebound.,48,48
15:29,213,Foul on Nazeer Bostick.,48,48
15:29,213,Official TV Timeout,48,48
15:29,2253,Joshua Braun made Free Throw.,49,48
15:29,2253,Joshua Braun missed Free Throw.,49,48
15:29,2253,Grand Canyon Deadball Team Rebound.,49,48
15:29,2253,Joshua Braun made Free Throw.,50,48
15:12,213,Mike Watkins missed Jumper.,50,48
15:12,2253,Gerard Martin Defensive Rebound.,50,48
15:05,2253,Joshua Braun missed Three Point Jumper.,50,48
15:05,2253,Keonta Vernon Offensive Rebound.,50,48
14:58,2253,Keonta Vernon missed Dunk.,50,48
14:58,213,Shep Garner Defensive Rebound.,50,48
14:51,2253,Foul on Shaq Carr.,50,48
14:39,2253,Foul on Keonta Vernon.,50,48
14:39,213,Lamar Stevens made Free Throw.,50,49
14:39,213,Lamar Stevens made Free Throw.,50,50
13:58,2253,Kerwin Smith missed Layup.,50,50
13:58,213,Mike Watkins Block.,50,50
13:57,213,Payton Banks Defensive Rebound.,50,50
13:54,213,Mike Watkins made Layup. Assisted by Payton Banks.,50,52
13:25,2253,Shaq Carr missed Layup.,50,52
13:25,213,Mike Watkins Block.,50,52
13:24,213,Shep Garner Defensive Rebound.,50,52
13:16,213,Lamar Stevens made Jumper. Assisted by Terrence Samuel.,50,54
13:09,2253,Grand Canyon  Timeout,50,54
12:50,2253,Keonta Vernon made Jumper. Assisted by Darion Clark.,52,54
12:32,213,Mike Watkins missed Layup.,52,54
12:32,2253,Darion Clark Defensive Rebound.,52,54
12:20,2253,Keonta Vernon missed Jumper.,52,54
12:20,213,Payton Banks Defensive Rebound.,52,54
12:14,213,Payton Banks made Layup.,52,56
11:47,2253,Shaq Carr made Jumper. Assisted by Keonta Vernon.,54,56
11:35,213,Lamar Stevens made Layup. Assisted by Tony Carr.,54,58
11:23,2253,Gerard Martin missed Three Point Jumper.,54,58
11:23,213,Shep Garner Defensive Rebound.,54,58
11:11,213,Shep Garner missed Layup.,54,58
11:11,213,Penn State Offensive Rebound.,54,58
11:11,213,Official TV Timeout,54,58
10:54,213,Lamar Stevens missed Jumper.,54,58
10:54,213,Mike Watkins Offensive Rebound.,54,58
10:46,213,Mike Watkins missed Jumper.,54,58
10:46,2253,Darion Clark Defensive Rebound.,54,58
10:28,2253,Darion Clark Turnover.,54,58
10:09,213,Payton Banks made Layup.,54,60
9:58,2253,Oscar Frayer missed Three Point Jumper.,54,60
9:58,213,Terrence Samuel Defensive Rebound.,54,60
9:51,213,Payton Banks made Three Point Jumper. Assisted by Terrence Samuel.,54,63
9:22,2253,Shaq Carr made Three Point Jumper.,57,63
9:02,213,Lamar Stevens made Jumper.,57,65
8:44,2253,Joshua Braun made Three Point Jumper. Assisted by Gerard Martin.,60,65
8:32,213,Tony Carr made Three Point Jumper. Assisted by Terrence Samuel.,60,68
8:10,213,Foul on Terrence Samuel.,60,68
8:04,2253,Oscar Frayer missed Three Point Jumper.,60,68
8:04,2253,Darion Clark Offensive Rebound.,60,68
7:55,2253,Darion Clark made Layup.,62,68
7:38,2253,Foul on Shaq Carr.,62,68
7:38,213,Official TV Timeout,62,68
7:38,213,Shep Garner missed Free Throw.,62,68
7:38,213,Penn State Deadball Team Rebound.,62,68
7:38,213,Shep Garner made Free Throw.,62,69
7:31,213,Foul on Nazeer Bostick.,62,69
7:31,2253,Keonta Vernon made Free Throw.,63,69
7:31,2253,Keonta Vernon missed Free Throw.,63,69
7:31,213,Lamar Stevens Defensive Rebound.,63,69
7:21,213,Lamar Stevens missed Layup.,63,69
7:21,2253,Joshua Braun Block.,63,69
7:16,213,Julian Moore Offensive Rebound.,63,69
7:15,213,Julian Moore made Dunk.,63,71
6:47,2253,Grand Canyon  Turnover.,63,71
6:26,213,Lamar Stevens made Layup. Assisted by Julian Moore.,63,73
6:14,2253,Keonta Vernon Turnover.,63,73
6:13,213,Tony Carr Steal.,63,73
6:07,213,Shep Garner missed Layup.,63,73
6:07,213,Lamar Stevens Offensive Rebound.,63,73
6:06,213,Lamar Stevens made Two Point Tip Shot.,63,75
6:02,2253,Grand Canyon  Timeout,63,75
5:49,2253,Darion Clark made Layup.,65,75
5:38,213,Shep Garner missed Three Point Jumper.,65,75
5:38,2253,Darion Clark Defensive Rebound.,65,75
5:18,213,Foul on Payton Banks.,65,75
5:18,2253,Joshua Braun made Free Throw.,66,75
5:18,2253,Joshua Braun missed Free Throw.,66,75
5:18,213,Mike Watkins Defensive Rebound.,66,75
4:59,213,Tony Carr missed Jumper.,66,75
4:59,213,Mike Watkins Offensive Rebound.,66,75
4:57,213,Mike Watkins made Dunk.,66,77
4:36,2253,Oscar Frayer missed Layup.,66,77
4:36,2253,Oscar Frayer Offensive Rebound.,66,77
4:34,2253,Oscar Frayer made Two Point Tip Shot.,68,77
4:18,213,Terrence Samuel Turnover.,68,77
3:54,2253,Joshua Braun missed Jumper.,68,77
3:54,2253,Grand Canyon Offensive Rebound.,68,77
3:54,213,Official TV Timeout,68,77
3:48,2253,Shaq Carr missed Layup.,68,77
3:48,213,Tony Carr Block.,68,77
3:48,2253,Grand Canyon Offensive Rebound.,68,77
3:45,2253,Keonta Vernon missed Layup.,68,77
3:45,2253,Shaq Carr Offensive Rebound.,68,77
3:36,2253,Oscar Frayer missed Layup.,68,77
3:36,213,Penn State Defensive Rebound.,68,77
3:20,213,Foul on Lamar Stevens.,68,77
3:20,213,Lamar Stevens Turnover.,68,77
2:56,2253,Darion Clark missed Jumper.,68,77
2:56,2253,Grand Canyon Offensive Rebound.,68,77
2:46,2253,Shaq Carr missed Layup.,68,77
2:46,213,Mike Watkins Defensive Rebound.,68,77
2:26,2253,Foul on Joshua Braun.,68,77
2:22,213,Tony Carr made Jumper. Assisted by Terrence Samuel.,68,79
2:16,2253,Oscar Frayer made Layup.,70,79
2:16,213,Foul on Mike Watkins.,70,79
2:16,2253,Oscar Frayer made Free Throw.,71,79
1:51,213,Shep Garner Turnover.,71,79
1:49,2253,Darion Clark Steal.,71,79
1:47,2253,Shaq Carr missed Layup.,71,79
1:47,2253,Oscar Frayer Offensive Rebound.,71,79
1:41,2253,Oscar Frayer made Two Point Tip Shot.,73,79
1:40,213,Penn State  Timeout,73,79
1:19,213,Tony Carr missed Jumper.,73,79
1:19,2253,Keonta Vernon Defensive Rebound.,73,79
1:10,2253,Oscar Frayer missed Three Point Jumper.,73,79
1:10,2253,Keonta Vernon Offensive Rebound.,73,79
1:05,2253,Grand Canyon  Timeout,73,79
1:04,2253,Oscar Frayer Turnover.,73,79
1:03,213,Shep Garner Steal.,73,79
1:01,213,Shep Garner made Layup.,73,81
0:42,2253,Shaq Carr made Three Point Jumper.,76,81
0:36,2253,Foul on Oscar Frayer.,76,81
0:36,213,Tony Carr made Free Throw.,76,82
0:36,213,Tony Carr made Free Throw.,76,83
0:23,2253,Shaq Carr Turnover.,76,83
0:21,2253,Foul on Keonta Vernon.,76,83
0:21,213,Payton Banks made Free Throw.,76,84
0:21,213,Payton Banks made Free Throw.,76,85
0:07,2253,Joshua Braun missed Layup.,76,85
0:07,2253,Joshua Braun Offensive Rebound.,76,85
0:02,2253,Shaq Carr missed Three Point Jumper.,76,85
0:02,213,Tony Carr Defensive Rebound.,76,85
0:00,213,End of Game,76,85
