Cumberland TENN,Error,UT Martin,2630
1:14,-1,DeQuan Bond Steal.,30,53
1:10,-1,DeQuan Bond made Layup.,32,53
0:49,2630,Fatodd Lewis missed Jumper.,32,53
0:49,-1,DeQuan Bond Defensive Rebound.,32,53
0:21,-1,Will Shelton made Jumper. Assisted by Marquel Hickerson.,34,53
0:02,2630,Jacolby Mobley missed Three Point Jumper.,34,53
0:02,2630,Kedar Edwards Offensive Rebound.,34,53
0:00,2630,End of 1st half,34,53
19:49,-1,Foul on Jamonte Graham.,34,53
19:34,2630,Jacolby Mobley made Layup.,34,55
19:10,2630,Foul on Matthew Butler.,34,55
18:54,-1,Diondrey Holt Jr. missed Three Point Jumper.,34,55
18:54,2630,Javier Martinez Defensive Rebound.,34,55
18:52,-1,Foul on Joseph Wilbert.,34,55
18:33,2630,Kedar Edwards Turnover.,34,55
18:31,-1,Joseph Wilbert Steal.,34,55
18:09,-1,Jamonte Graham made Layup.,36,55
17:56,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,36,57
17:40,-1,Joseph Wilbert made Layup. Assisted by Jamonte Graham.,38,57
17:13,2630,Matthew Butler missed Three Point Jumper.,38,57
17:13,2630,Javier Martinez Offensive Rebound.,38,57
17:09,2630,Javier Martinez made Layup. Assisted by Jacolby Mobley.,38,59
16:51,-1,Telvin Wilkerson missed Three Point Jumper.,38,59
16:51,2630,Jacolby Mobley Defensive Rebound.,38,59
16:44,2630,Kedar Edwards made Layup. Assisted by Jacolby Mobley.,38,61
16:28,-1,Jamonte Graham missed Jumper.,38,61
16:28,-1,Cumberland (TN) Offensive Rebound.,38,61
16:18,-1,Telvin Wilkerson made Jumper. Assisted by Jamonte Graham.,40,61
15:50,2630,Kedar Edwards missed Jumper.,40,61
15:50,2630,Javier Martinez Offensive Rebound.,40,61
15:48,2630,Javier Martinez missed Layup.,40,61
15:48,-1,Joseph Wilbert Block.,40,61
15:46,2630,Kedar Edwards Offensive Rebound.,40,61
15:45,2630,Kedar Edwards missed Jumper.,40,61
15:45,-1,Joseph Wilbert Defensive Rebound.,40,61
15:41,-1,Diondrey Holt Jr. missed Layup.,40,61
15:41,2630,Kedar Edwards Block.,40,61
15:40,-1,Cumberland (TN) Offensive Rebound.,40,61
15:39,2630,Official TV Timeout,40,61
15:33,-1,Jamonte Graham missed Three Point Jumper.,40,61
15:33,2630,Jacolby Mobley Defensive Rebound.,40,61
15:24,2630,Fatodd Lewis made Dunk. Assisted by Javier Martinez.,40,63
15:02,-1,Telvin Wilkerson missed Jumper.,40,63
15:02,2630,Javier Martinez Defensive Rebound.,40,63
14:53,2630,Fatodd Lewis missed Three Point Jumper.,40,63
14:53,-1,Cumberland (TN) Defensive Rebound.,40,63
14:25,-1,Delaryn Dodd made Jumper. Assisted by Rhyan Townes.,42,63
14:15,2630,Fatodd Lewis Turnover.,42,63
14:14,-1,DeQuan Bond Steal.,42,63
14:10,-1,DeQuan Bond missed Layup.,42,63
14:10,2630,Fatodd Lewis Block.,42,63
14:10,-1,Cumberland (TN) Offensive Rebound.,42,63
14:06,2630,Foul on Javier Martinez.,42,63
14:06,-1,Will Shelton missed Free Throw.,42,63
14:06,2630,UT Martin Deadball Team Rebound.,42,63
14:06,-1,Will Shelton made Free Throw.,43,63
13:51,2630,Dante Bailey made Three Point Jumper. Assisted by Javier Martinez.,43,66
13:34,-1,Rhyan Townes made Three Point Jumper. Assisted by Will Shelton.,46,66
13:17,2630,Dante Bailey made Three Point Jumper. Assisted by Matthew Butler.,46,69
12:57,-1,Will Shelton missed Three Point Jumper.,46,69
12:57,-1,Will Shelton Offensive Rebound.,46,69
12:53,2630,Foul on Fatodd Lewis.,46,69
12:53,-1,Will Shelton made Free Throw.,47,69
12:53,-1,Will Shelton made Free Throw.,48,69
12:39,2630,Dante Bailey missed Three Point Jumper.,48,69
12:39,2630,Fatodd Lewis Offensive Rebound.,48,69
12:36,2630,Fatodd Lewis missed Layup.,48,69
12:36,2630,Dante Bailey Offensive Rebound.,48,69
12:35,2630,Dante Bailey missed Two Point Tip Shot.,48,69
12:35,-1,Rhyan Townes Defensive Rebound.,48,69
12:35,2630,Foul on Dante Bailey.,48,69
12:11,-1,Rhyan Townes missed Layup.,48,69
12:11,2630,Dante Bailey Block.,48,69
12:10,2630,Fatodd Lewis Defensive Rebound.,48,69
11:58,2630,Matthew Butler made Three Point Jumper. Assisted by Dante Bailey.,48,72
11:39,-1,DeQuan Bond made Three Point Jumper. Assisted by Rhyan Townes.,51,72
11:19,2630,Matthew Butler Turnover.,51,72
11:19,2630,Official TV Timeout,51,72
10:51,-1,Will Shelton missed Jumper.,51,72
10:51,2630,Dante Bailey Defensive Rebound.,51,72
10:45,2630,Jacolby Mobley made Three Point Jumper. Assisted by Matthew Butler.,51,75
10:19,-1,Will Shelton missed Jumper.,51,75
10:19,2630,Dante Bailey Defensive Rebound.,51,75
10:03,2630,Matthew Butler Turnover.,51,75
9:47,-1,Cameron Johnson missed Jumper.,51,75
9:47,-1,Drexler Davis Offensive Rebound.,51,75
9:44,-1,Drexler Davis made Two Point Tip Shot.,53,75
9:16,2630,Jacolby Mobley missed Three Point Jumper.,53,75
9:16,2630,Fatodd Lewis Offensive Rebound.,53,75
9:15,2630,Fatodd Lewis made Layup.,53,77
8:43,-1,Ronell Abaekobe made Jumper.,55,77
8:18,2630,Jacolby Mobley made Layup. Assisted by Javier Martinez.,55,79
8:08,-1,Cameron Johnson missed Jumper.,55,79
8:08,2630,Javier Martinez Defensive Rebound.,55,79
8:01,2630,Kedar Edwards made Layup.,55,81
8:00,2630,UT Martin  Timeout,55,81
7:48,-1,Garrett Kirkland missed Layup.,55,81
7:48,-1,Ronell Abaekobe Offensive Rebound.,55,81
7:48,-1,Ronell Abaekobe made Layup.,57,81
7:33,2630,Dante Bailey missed Three Point Jumper.,57,81
7:33,-1,Ronell Abaekobe Defensive Rebound.,57,81
7:22,-1,Cameron Johnson Turnover.,57,81
7:22,2630,Official TV Timeout,57,81
6:54,2630,Kedar Edwards made Jumper.,57,83
6:31,-1,Cameron Johnson made Three Point Jumper. Assisted by Trent Perry.,60,83
6:14,-1,Foul on Garrett Kirkland.,60,83
6:14,2630,Fatodd Lewis missed Free Throw.,60,83
6:14,-1,Cumberland (TN) Deadball Team Rebound.,60,83
6:14,2630,Fatodd Lewis missed Free Throw.,60,83
6:14,-1,Drexler Davis Defensive Rebound.,60,83
5:56,-1,Trent Perry missed Three Point Jumper.,60,83
5:56,2630,Dante Bailey Defensive Rebound.,60,83
5:50,2630,Kedar Edwards missed Three Point Jumper.,60,83
5:50,2630,Fatodd Lewis Offensive Rebound.,60,83
5:47,2630,Fatodd Lewis made Jumper.,60,85
5:23,-1,Cameron Johnson missed Layup.,60,85
5:23,2630,Chandler Rowe Block.,60,85
5:22,-1,Cumberland (TN) Offensive Rebound.,60,85
5:10,-1,Cumberland (TN)  Turnover.,60,85
4:53,2630,Kedar Edwards missed Layup.,60,85
4:53,2630,Kedar Edwards Offensive Rebound.,60,85
4:50,2630,Kedar Edwards made Layup.,60,87
4:38,-1,Trent Perry Turnover.,60,87
4:36,2630,Mike Fofana Steal.,60,87
4:31,2630,Dante Bailey missed Three Point Jumper.,60,87
4:31,-1,Cameron Johnson Defensive Rebound.,60,87
4:07,-1,Cameron Johnson Turnover.,60,87
3:56,2630,Kahari Beaufort Turnover.,60,87
3:56,2630,Official TV Timeout,60,87
3:36,-1,Ronell Abaekobe missed Three Point Jumper.,60,87
3:36,2630,Dante Bailey Defensive Rebound.,60,87
3:10,-1,Foul on Drexler Davis.,60,87
3:10,2630,Chandler Rowe made Free Throw.,60,88
3:10,2630,Chandler Rowe made Free Throw.,60,89
2:57,-1,Cameron Johnson missed Three Point Jumper.,60,89
2:57,2630,Mike Fofana Defensive Rebound.,60,89
2:42,2630,Mike Fofana made Layup. Assisted by Dante Bailey.,60,91
2:20,2630,Foul on Mike Fofana.,60,91
2:13,-1,Ronell Abaekobe missed Jumper.,60,91
2:13,2630,Chandler Rowe Block.,60,91
2:13,-1,Cumberland (TN) Offensive Rebound.,60,91
1:59,-1,Trent Perry Turnover.,60,91
1:58,2630,Malik Pugh Steal.,60,91
1:49,2630,Jalen Jackson missed Three Point Jumper.,60,91
1:49,-1,Cumberland (TN) Defensive Rebound.,60,91
1:27,-1,Ronell Abaekobe made Three Point Jumper. Assisted by Trent Perry.,63,91
1:17,2630,Malik London made Layup. Assisted by Jalen Jackson.,63,93
1:02,-1,Cameron Johnson missed Three Point Jumper.,63,93
1:02,-1,Drexler Davis Offensive Rebound.,63,93
0:58,-1,Drexler Davis missed Layup.,63,93
0:58,2630,Malik London Defensive Rebound.,63,93
0:47,2630,Nick Detlev made Layup. Assisted by Jalen Jackson.,63,95
0:40,2630,Foul on Nick Detlev.,63,95
0:40,-1,Ronell Abaekobe missed Free Throw.,63,95
0:40,2630,UT Martin Deadball Team Rebound.,63,95
0:40,-1,Ronell Abaekobe made Free Throw.,64,95
0:26,2630,Jalen Jackson missed Three Point Jumper.,64,95
0:26,-1,Cameron Johnson Defensive Rebound.,64,95
0:19,-1,Ronell Abaekobe missed Layup.,64,95
0:19,2630,Malik Pugh Defensive Rebound.,64,95
0:00,2630,End of Game,64,95
