Mayville State,Error,North Dakota,155
9:13,155,Geno Crandall Steal.,21,22
9:11,155,Carson Shanks made Dunk. Assisted by Geno Crandall.,21,24
8:40,-1,Conor Quinn made Jumper.,23,24
8:25,155,Carson Shanks missed Jumper.,23,24
8:25,-1,Conor Quinn Defensive Rebound.,23,24
8:03,-1,Garek Droog missed Jumper.,23,24
8:03,-1,Garek Droog Offensive Rebound.,23,24
7:59,-1,Garek Droog made Jumper.,25,24
7:59,155,Foul on Drick Bernstine.,25,24
7:59,155,Official TV Timeout,25,24
7:59,-1,Garek Droog made Free Throw.,26,24
7:40,155,Quinton Hooker made Jumper.,26,26
7:21,-1,Garek Droog missed Jumper.,26,26
7:21,155,Drick Bernstine Defensive Rebound.,26,26
7:09,-1,Foul on Creighton Pfau.,26,26
7:09,155,Quinton Hooker missed Free Throw.,26,26
7:09,155,North Dakota Deadball Team Rebound.,26,26
7:09,155,Quinton Hooker made Free Throw.,26,27
6:45,-1,Eric Staebler made Layup. Assisted by Conor Quinn.,28,27
6:30,155,Conner Avants missed Jumper.,28,27
6:30,-1,Josh Foulds Defensive Rebound.,28,27
6:01,-1,Eric Staebler missed Three Point Jumper.,28,27
6:01,155,Quinton Hooker Defensive Rebound.,28,27
5:52,155,Geno Crandall made Layup.,28,29
5:39,-1,Daniel Lindgren Turnover.,28,29
5:22,155,Billy Brown missed Jumper.,28,29
5:22,-1,Josh Foulds Defensive Rebound.,28,29
5:12,-1,Conor Quinn made Three Point Jumper.,31,29
4:54,155,Cortez Seales missed Three Point Jumper.,31,29
4:54,-1,Aidan Quinn Defensive Rebound.,31,29
4:34,-1,Conor Quinn Turnover.,31,29
4:34,155,Quinton Hooker Steal.,31,29
4:34,155,Quinton Hooker Turnover.,31,29
4:27,-1,Ben Maranan missed Jumper.,31,29
4:27,155,Geno Crandall Defensive Rebound.,31,29
4:16,155,Cortez Seales made Jumper.,31,31
3:46,-1,Ben Maranan Turnover.,31,31
3:46,-1,Foul on Conor Quinn.,31,31
3:46,155,Official TV Timeout,31,31
3:33,155,Drick Bernstine missed Layup.,31,31
3:33,-1,Jacob Eaton Defensive Rebound.,31,31
3:16,-1,Jacob Eaton Turnover.,31,31
2:59,155,Drick Bernstine made Layup.,31,33
2:49,-1,Jacob Eaton missed Layup.,31,33
2:49,155,Cortez Seales Defensive Rebound.,31,33
2:45,-1,Foul on Eric Staebler.,31,33
2:45,155,Cortez Seales missed Free Throw.,31,33
2:45,155,Carson Shanks Offensive Rebound.,31,33
2:31,-1,Foul on Creighton Pfau.,31,33
2:31,155,Carson Shanks missed Free Throw.,31,33
2:31,155,North Dakota Deadball Team Rebound.,31,33
2:31,155,Carson Shanks missed Free Throw.,31,33
2:31,155,Geno Crandall Offensive Rebound.,31,33
2:30,-1,Foul on Garek Droog.,31,33
2:30,155,Geno Crandall missed Free Throw.,31,33
2:30,155,North Dakota Deadball Team Rebound.,31,33
2:30,155,Geno Crandall made Free Throw.,31,34
2:21,155,Foul on Quinton Hooker.,31,34
2:21,-1,Garek Droog made Free Throw.,32,34
2:21,-1,Garek Droog made Free Throw.,33,34
2:03,155,Quinton Hooker made Three Point Jumper. Assisted by Drick Bernstine.,33,37
1:48,-1,Creighton Pfau missed Jumper.,33,37
1:48,155,Carson Shanks Block.,33,37
1:46,155,North Dakota Defensive Rebound.,33,37
1:31,155,Drick Bernstine made Layup. Assisted by Carson Shanks.,33,39
1:29,-1,Mayville St  Timeout,33,39
1:13,-1,Max Cooper missed Jumper.,33,39
1:13,155,Carson Shanks Block.,33,39
1:11,-1,Eric Staebler Offensive Rebound.,33,39
1:08,-1,Eric Staebler made Jumper.,35,39
0:50,-1,Foul on Ben Maranan.,35,39
0:50,155,Carson Shanks missed Free Throw.,35,39
0:50,155,North Dakota Deadball Team Rebound.,35,39
0:50,155,Carson Shanks missed Free Throw.,35,39
0:50,155,Quinton Hooker Offensive Rebound.,35,39
0:37,155,Quinton Hooker made Three Point Jumper. Assisted by Drick Bernstine.,35,42
0:19,-1,Eric Staebler Turnover.,35,42
0:05,-1,Foul on Max Cooper.,35,42
0:05,155,Geno Crandall made Free Throw.,35,43
0:05,155,Geno Crandall missed Free Throw.,35,43
0:05,-1,Creighton Pfau Defensive Rebound.,35,43
0:03,155,Foul on Cortez Seales.,35,43
0:00,155,End of 1st half,35,43
19:42,155,Drick Bernstine Turnover.,35,43
19:29,-1,Garek Droog missed Jumper.,35,43
19:29,155,Drick Bernstine Defensive Rebound.,35,43
19:12,155,Conner Avants made Layup.,35,45
18:56,-1,Ben Maranan missed Three Point Jumper.,35,45
18:56,155,Conner Avants Defensive Rebound.,35,45
18:51,155,Quinton Hooker made Three Point Jumper. Assisted by Geno Crandall.,35,48
18:27,-1,Garek Droog made Jumper.,37,48
18:11,-1,Foul on Garek Droog.,37,48
18:11,155,Conner Avants made Free Throw.,37,49
18:11,155,Conner Avants missed Free Throw.,37,49
18:11,-1,Conor Quinn Defensive Rebound.,37,49
18:04,-1,Jacob Eaton Turnover.,37,49
17:52,155,Drick Bernstine made Layup.,37,51
17:43,-1,Aidan Quinn made Three Point Jumper. Assisted by Jacob Eaton.,40,51
17:29,-1,Foul on Eric Staebler.,40,51
17:27,155,Conner Avants missed Layup.,40,51
17:27,155,North Dakota Offensive Rebound.,40,51
17:14,155,Conner Avants missed Jumper.,40,51
17:14,-1,Daniel Lindgren Defensive Rebound.,40,51
16:53,-1,Eric Staebler missed Jumper.,40,51
16:53,155,North Dakota Defensive Rebound.,40,51
16:32,-1,Foul on Josh Foulds.,40,51
16:32,155,Quinton Hooker made Free Throw.,40,52
16:32,155,Quinton Hooker made Free Throw.,40,53
16:16,-1,Eric Staebler missed Layup.,40,53
16:16,155,Conner Avants Block.,40,53
16:12,155,Corey Baldwin Defensive Rebound.,40,53
15:57,155,Corey Baldwin missed Three Point Jumper.,40,53
15:57,155,Kienan Walter Offensive Rebound.,40,53
15:48,155,Conner Avants missed Jumper.,40,53
15:48,-1,Josh Foulds Defensive Rebound.,40,53
15:41,-1,Aidan Quinn made Three Point Jumper. Assisted by Conor Quinn.,43,53
15:24,155,Quinton Hooker made Three Point Jumper.,43,56
15:09,-1,Conor Quinn made Three Point Jumper. Assisted by Aidan Quinn.,46,56
14:53,155,Official TV Timeout,46,56
14:45,155,Quinton Hooker made Layup.,46,58
14:27,155,Foul on Quinton Hooker.,46,58
14:27,-1,Creighton Pfau made Free Throw.,47,58
14:27,-1,Creighton Pfau missed Free Throw.,47,58
14:27,155,Quinton Hooker Defensive Rebound.,47,58
14:17,-1,Foul on Conor Quinn.,47,58
14:17,155,Carson Shanks missed Free Throw.,47,58
14:17,155,North Dakota Deadball Team Rebound.,47,58
14:17,155,Carson Shanks made Free Throw.,47,59
13:56,-1,Josh Foulds missed Jumper.,47,59
13:56,-1,Jacob Eaton Offensive Rebound.,47,59
13:54,155,Foul on Drick Bernstine.,47,59
13:54,-1,Jacob Eaton missed Free Throw.,47,59
13:54,-1,Mayville St Deadball Team Rebound.,47,59
13:54,-1,Jacob Eaton missed Free Throw.,47,59
13:54,-1,Creighton Pfau Offensive Rebound.,47,59
13:48,-1,Creighton Pfau missed Jumper.,47,59
13:48,155,Cortez Seales Defensive Rebound.,47,59
13:35,155,Geno Crandall Turnover.,47,59
13:32,155,Foul on Cortez Seales.,47,59
13:28,-1,Ben Maranan Turnover.,47,59
13:26,155,Quinton Hooker Steal.,47,59
13:24,155,Quinton Hooker made Layup.,47,61
13:13,155,Foul on Geno Crandall.,47,61
12:55,-1,Jacob Eaton made Layup.,49,61
12:46,-1,Foul on Jacob Eaton.,49,61
12:31,155,Josh Collins made Three Point Jumper. Assisted by Carson Shanks.,49,64
12:14,-1,Ben Maranan made Three Point Jumper. Assisted by Aidan Quinn.,52,64
11:59,155,Geno Crandall missed Layup.,52,64
11:59,-1,Garek Droog Defensive Rebound.,52,64
11:58,155,Foul on Carson Shanks.,52,64
11:58,155,Official TV Timeout,52,64
11:41,-1,Aidan Quinn missed Three Point Jumper.,52,64
11:41,155,Geno Crandall Defensive Rebound.,52,64
11:30,155,Billy Brown Turnover.,52,64
11:30,-1,Ben Maranan Steal.,52,64
11:09,-1,Aidan Quinn made Layup.,54,64
10:59,-1,Foul on Ben Maranan.,54,64
10:59,155,Geno Crandall made Free Throw.,54,65
10:59,155,Geno Crandall made Free Throw.,54,66
10:39,-1,Max Cooper Turnover.,54,66
10:39,-1,Foul on Max Cooper.,54,66
10:23,155,Quinton Hooker missed Jumper.,54,66
10:23,155,Corey Baldwin Offensive Rebound.,54,66
10:19,155,Corey Baldwin missed Jumper.,54,66
10:19,155,Corey Baldwin Offensive Rebound.,54,66
10:17,-1,Foul on Max Cooper.,54,66
10:17,155,Corey Baldwin made Free Throw.,54,67
10:17,155,Corey Baldwin made Free Throw.,54,68
9:54,-1,Conor Quinn missed Layup.,54,68
9:54,155,Quinton Hooker Block.,54,68
9:51,155,Billy Brown Defensive Rebound.,54,68
9:38,155,Quinton Hooker missed Three Point Jumper.,54,68
9:38,-1,Conor Quinn Defensive Rebound.,54,68
9:26,-1,Aidan Quinn Turnover.,54,68
9:26,-1,Foul on Aidan Quinn.,54,68
9:08,155,Corey Baldwin missed Jumper.,54,68
9:08,-1,Jacob Eaton Defensive Rebound.,54,68
8:57,-1,Eric Staebler made Jumper. Assisted by Conor Quinn.,56,68
8:39,155,Quinton Hooker made Three Point Jumper. Assisted by Corey Baldwin.,56,71
8:10,-1,Jacob Eaton made Layup.,58,71
7:51,155,Conner Avants made Jumper.,58,73
7:34,155,Foul on Conner Avants.,58,73
7:34,155,Official TV Timeout,58,73
7:34,-1,Eric Staebler made Free Throw.,59,73
7:34,-1,Eric Staebler made Free Throw.,60,73
7:21,155,Corey Baldwin made Three Point Jumper. Assisted by Quinton Hooker.,60,76
6:57,155,Foul on Carson Shanks.,60,76
6:57,-1,Eric Staebler made Free Throw.,61,76
6:57,-1,Eric Staebler made Free Throw.,62,76
6:47,-1,Foul on Jacob Eaton.,62,76
6:47,155,Carson Shanks made Free Throw.,62,77
6:47,155,Carson Shanks made Free Throw.,62,78
6:26,155,Foul on Drick Bernstine.,62,78
6:26,-1,Eric Staebler made Free Throw.,63,78
6:26,-1,Eric Staebler made Free Throw.,64,78
6:03,155,Geno Crandall made Jumper.,64,80
5:47,-1,Conor Quinn missed Three Point Jumper.,64,80
5:47,-1,Eric Staebler Offensive Rebound.,64,80
5:43,-1,Eric Staebler Turnover.,64,80
5:42,155,Quinton Hooker Steal.,64,80
5:35,155,Carson Shanks made Dunk. Assisted by Corey Baldwin.,64,82
5:22,-1,Eric Staebler missed Jumper.,64,82
5:22,155,Carson Shanks Block.,64,82
5:21,155,Quinton Hooker Defensive Rebound.,64,82
5:16,155,Drick Bernstine made Layup. Assisted by Geno Crandall.,64,84
4:54,-1,Josh Foulds Turnover.,64,84
4:53,155,Drick Bernstine Steal.,64,84
4:49,155,Quinton Hooker made Layup. Assisted by Drick Bernstine.,64,86
4:39,155,Official TV Timeout,64,86
4:18,-1,Josh DeWitt missed Three Point Jumper.,64,86
4:18,155,Cortez Seales Block.,64,86
4:15,155,Quinton Hooker Defensive Rebound.,64,86
3:58,155,Drick Bernstine missed Jumper.,64,86
3:58,155,Drick Bernstine Offensive Rebound.,64,86
3:55,155,Drick Bernstine made Layup.,64,88
3:30,-1,Josh Foulds missed Jumper.,64,88
3:30,155,Cortez Seales Defensive Rebound.,64,88
3:13,155,Corey Baldwin Turnover.,64,88
3:11,-1,Garek Droog Steal.,64,88
2:59,-1,Creighton Pfau missed Layup.,64,88
2:59,-1,Garek Droog Offensive Rebound.,64,88
2:56,-1,Garek Droog made Layup.,66,88
2:41,155,Carson Shanks missed Three Point Jumper.,66,88
2:41,-1,Mayville St Defensive Rebound.,66,88
2:33,155,Official TV Timeout,66,88
2:22,-1,Austin Lee missed Three Point Jumper.,66,88
2:22,155,Billy Brown Defensive Rebound.,66,88
2:04,155,Josh Collins missed Three Point Jumper.,66,88
2:04,-1,Josh DeWitt Defensive Rebound.,66,88
1:55,-1,Austin Lee missed Three Point Jumper.,66,88
1:55,155,Devon Pekas Defensive Rebound.,66,88
1:40,155,Kienan Walter made Three Point Jumper. Assisted by Billy Brown.,66,91
1:22,-1,Austin Schultz Turnover.,66,91
1:22,155,Thomas Blake Steal.,66,91
1:08,155,Billy Brown missed Three Point Jumper.,66,91
1:08,155,Thomas Blake Offensive Rebound.,66,91
1:01,155,Thomas Blake made Three Point Jumper. Assisted by Billy Brown.,66,94
0:37,-1,Garek Droog missed Jumper.,66,94
0:37,155,Billy Brown Defensive Rebound.,66,94
0:08,155,Billy Brown missed Jumper.,66,94
0:08,155,Josh Collins Offensive Rebound.,66,94
0:04,155,Josh Collins missed Jumper.,66,94
0:04,155,Kienan Walter Offensive Rebound.,66,94
0:00,155,End of Game,66,94
