Xavier,269,Marquette,2752
16:03,269,Technical Foul on Harry Froling.,46,47
16:03,2752,Trevon Bluiett made Free Throw.,47,47
16:03,2752,Trevon Bluiett made Free Throw.,48,47
15:52,2752,Tyrique Jones made Dunk. Assisted by Trevon Bluiett.,50,47
15:34,269,Andrew Rowsey made Jumper.,50,49
15:11,2752,J.P. Macura Turnover.,50,49
15:11,269,Jamal Cain Steal.,50,49
15:03,269,Greg Elliott missed Jumper.,50,49
15:03,269,Harry Froling Offensive Rebound.,50,49
14:54,269,Jamal Cain made Three Point Jumper. Assisted by Sam Hauser.,50,52
14:32,269,Official TV Timeout,50,52
14:32,269,Official TV Timeout,50,52
14:19,2752,Naji Marshall Turnover.,50,52
14:19,269,Andrew Rowsey Steal.,50,52
14:01,269,Andrew Rowsey missed Jumper.,50,52
14:01,269,Jamal Cain Offensive Rebound.,50,52
13:50,269,Jamal Cain made Layup.,50,54
13:44,2752,Naji Marshall missed Three Point Jumper.,50,54
13:44,269,Andrew Rowsey Defensive Rebound.,50,54
13:21,269,Andrew Rowsey missed Three Point Jumper.,50,54
13:21,269,Greg Elliott Offensive Rebound.,50,54
13:12,269,Sam Hauser missed Three Point Jumper.,50,54
13:12,2752,Naji Marshall Defensive Rebound.,50,54
13:03,269,Foul on Sam Hauser.,50,54
13:03,2752,Naji Marshall missed Free Throw.,50,54
13:03,2752,Xavier Deadball Team Rebound.,50,54
13:03,2752,Naji Marshall made Free Throw.,51,54
12:38,269,Theo John made Jumper. Assisted by Jamal Cain.,51,56
12:19,2752,Trevon Bluiett made Layup.,53,56
12:00,269,Markus Howard Turnover.,53,56
12:00,2752,Kerem Kanter Steal.,53,56
11:52,2752,Naji Marshall made Layup.,55,56
11:22,269,Theo John made Jumper. Assisted by Andrew Rowsey.,55,58
11:03,2752,Naji Marshall made Layup.,57,58
11:03,269,Foul on Theo John.,57,58
11:03,269,Official TV Timeout,57,58
11:03,2752,Naji Marshall made Free Throw.,58,58
10:43,269,Markus Howard missed Three Point Jumper.,58,58
10:43,2752,Kerem Kanter Defensive Rebound.,58,58
10:22,2752,Naji Marshall missed Jumper.,58,58
10:22,269,Marquette Defensive Rebound.,58,58
10:03,269,Jamal Cain made Three Point Jumper. Assisted by Sam Hauser.,58,61
9:40,2752,J.P. Macura made Jumper. Assisted by Paul Scruggs.,60,61
9:27,269,Andrew Rowsey missed Three Point Jumper.,60,61
9:27,2752,Kerem Kanter Defensive Rebound.,60,61
9:16,2752,Kerem Kanter made Three Point Jumper. Assisted by Paul Scruggs.,63,61
8:45,269,Harry Froling made Layup. Assisted by Sam Hauser.,63,63
8:30,2752,J.P. Macura missed Jumper.,63,63
8:30,269,Jamal Cain Block.,63,63
8:30,2752,J.P. Macura Offensive Rebound.,63,63
8:30,269,Foul on Sam Hauser.,63,63
8:30,2752,J.P. Macura made Free Throw.,64,63
8:30,2752,J.P. Macura made Free Throw.,65,63
8:13,269,Markus Howard made Jumper.,65,65
7:51,2752,Tyrique Jones made Layup. Assisted by Trevon Bluiett.,67,65
7:30,2752,Foul on Tyrique Jones.,67,65
7:30,269,Official TV Timeout,67,65
7:30,269,Theo John missed Free Throw.,67,65
7:30,269,Marquette Deadball Team Rebound.,67,65
7:30,269,Theo John missed Free Throw.,67,65
7:30,2752,Trevon Bluiett Defensive Rebound.,67,65
7:21,2752,J.P. Macura made Three Point Jumper. Assisted by Paul Scruggs.,70,65
6:59,269,Markus Howard missed Three Point Jumper.,70,65
6:59,2752,Paul Scruggs Defensive Rebound.,70,65
6:52,2752,J.P. Macura missed Three Point Jumper.,70,65
6:52,2752,Trevon Bluiett Offensive Rebound.,70,65
6:43,2752,Paul Scruggs made Jumper. Assisted by Trevon Bluiett.,72,65
6:39,269,Marquette  Timeout,72,65
6:24,269,Markus Howard made Three Point Jumper. Assisted by Harry Froling.,72,68
5:56,2752,Trevon Bluiett made Jumper. Assisted by Paul Scruggs.,74,68
5:31,269,Sam Hauser made Three Point Jumper. Assisted by Andrew Rowsey.,74,71
5:00,2752,Trevon Bluiett missed Three Point Jumper.,74,71
5:00,269,Harry Froling Defensive Rebound.,74,71
4:51,269,Jamal Cain missed Three Point Jumper.,74,71
4:51,269,Marquette Deadball Team Rebound.,74,71
4:49,2752,Foul on J.P. Macura.,74,71
4:48,2752,Foul on Tyrique Jones.,74,71
4:48,269,Harry Froling made Free Throw.,74,72
4:48,269,Harry Froling missed Free Throw.,74,72
4:48,2752,Sean O'Mara Defensive Rebound.,74,72
4:34,2752,Trevon Bluiett Turnover.,74,72
4:34,269,Jamal Cain Steal.,74,72
4:29,269,Markus Howard missed Layup.,74,72
4:29,2752,J.P. Macura Block.,74,72
4:29,2752,Quentin Goodin Defensive Rebound.,74,72
4:21,269,Foul on Sam Hauser.,74,72
4:21,2752,Quentin Goodin made Free Throw.,75,72
4:21,2752,Quentin Goodin made Free Throw.,76,72
4:11,269,Harry Froling Turnover.,76,72
4:11,2752,Quentin Goodin Steal.,76,72
4:06,2752,Quentin Goodin made Layup.,78,72
3:43,269,Andrew Rowsey made Three Point Jumper.,78,75
3:17,2752,Trevon Bluiett missed Three Point Jumper.,78,75
3:17,269,Andrew Rowsey Defensive Rebound.,78,75
3:06,269,Andrew Rowsey made Jumper. Assisted by Sam Hauser.,78,77
2:44,2752,Sean O'Mara made Jumper. Assisted by Quentin Goodin.,80,77
2:33,269,Andrew Rowsey made Three Point Jumper.,80,80
2:12,2752,Quentin Goodin missed Jumper.,80,80
2:12,269,Markus Howard Defensive Rebound.,80,80
2:05,269,Markus Howard missed Jumper.,80,80
2:05,2752,Kaiser Gates Defensive Rebound.,80,80
1:56,2752,J.P. Macura made Layup. Assisted by Trevon Bluiett.,82,80
1:55,2752,Xavier  Timeout,82,80
1:47,269,Markus Howard missed Jumper.,82,80
1:47,2752,Naji Marshall Defensive Rebound.,82,80
1:29,2752,Kaiser Gates made Three Point Jumper. Assisted by Trevon Bluiett.,85,80
1:17,269,Andrew Rowsey missed Three Point Jumper.,85,80
1:17,269,Sam Hauser Offensive Rebound.,85,80
1:12,2752,Foul on Tyrique Jones.,85,80
1:12,269,Sam Hauser made Free Throw.,85,81
1:12,269,Sam Hauser made Free Throw.,85,82
0:50,2752,Trevon Bluiett missed Three Point Jumper.,85,82
0:50,269,Jamal Cain Defensive Rebound.,85,82
0:36,269,Andrew Rowsey missed Three Point Jumper.,85,82
0:36,269,Harry Froling Offensive Rebound.,85,82
0:29,269,Andrew Rowsey missed Jumper.,85,82
0:29,2752,Xavier Defensive Rebound.,85,82
0:28,269,Foul on Markus Howard.,85,82
0:28,2752,Quentin Goodin made Free Throw.,86,82
0:28,2752,Quentin Goodin made Free Throw.,87,82
0:28,2752,Xavier  Timeout,87,82
0:22,269,Andrew Rowsey missed Three Point Jumper.,87,82
0:22,269,Harry Froling Offensive Rebound.,87,82
0:20,2752,Foul on Kaiser Gates.,87,82
0:20,269,Harry Froling missed Free Throw.,87,82
0:20,2752,Trevon Bluiett Defensive Rebound.,87,82
0:19,269,Foul on Sam Hauser.,87,82
0:19,2752,Trevon Bluiett made Free Throw.,88,82
0:19,2752,Trevon Bluiett made Free Throw.,89,82
0:10,269,Andrew Rowsey made Jumper.,89,84
0:10,269,Marquette  Timeout,89,84
0:08,269,Foul on Sam Hauser.,89,84
0:08,2752,Trevon Bluiett made Free Throw.,90,84
0:08,2752,Trevon Bluiett made Free Throw.,91,84
0:01,269,Greg Elliott made Three Point Jumper. Assisted by Harry Froling.,91,87
0:00,269,End of Game,91,87
