Eastern Michigan,183,Syracuse,2199
11:10,2199,James Thompson IV Offensive Rebound.,36,43
11:07,2199,James Thompson IV made Jumper.,38,43
11:07,183,Foul on Matthew Moyer.,38,43
11:07,2199,James Thompson IV missed Free Throw.,38,43
11:07,183,Paschal Chukwu Defensive Rebound.,38,43
11:06,183,Official TV Timeout,38,43
10:48,183,Paschal Chukwu Turnover.,38,43
10:48,2199,Ty Groce Steal.,38,43
10:31,2199,Terry Harris made Three Point Jumper. Assisted by Elijah Minnie.,41,43
10:06,183,Tyus Battle missed Three Point Jumper.,41,43
10:06,183,Syracuse Offensive Rebound.,41,43
10:03,2199,Foul on Ty Groce.,41,43
9:38,183,Oshae Brissett missed Jumper.,41,43
9:38,183,Paschal Chukwu Offensive Rebound.,41,43
9:37,2199,Foul on James Thompson IV.,41,43
9:37,183,Paschal Chukwu made Free Throw.,41,44
9:37,183,Paschal Chukwu made Free Throw.,41,45
9:29,2199,Elijah Minnie missed Three Point Jumper.,41,45
9:29,183,Paschal Chukwu Defensive Rebound.,41,45
9:23,2199,Foul on James Thompson IV.,41,45
9:23,183,Paschal Chukwu missed Free Throw.,41,45
9:23,2199,Elijah Minnie Defensive Rebound.,41,45
9:07,2199,Paul Jackson missed Jumper.,41,45
9:07,183,Oshae Brissett Defensive Rebound.,41,45
8:57,183,Oshae Brissett made Layup. Assisted by Tyus Battle.,41,47
8:38,2199,Jalen King missed Dunk.,41,47
8:38,183,Marek Dolezaj Block.,41,47
8:38,183,Paschal Chukwu Defensive Rebound.,41,47
8:23,183,Oshae Brissett Turnover.,41,47
8:23,2199,Elijah Minnie Steal.,41,47
8:18,183,Foul on Marek Dolezaj.,41,47
8:12,2199,Elijah Minnie missed Layup.,41,47
8:12,183,Paschal Chukwu Block.,41,47
8:12,183,Paschal Chukwu Defensive Rebound.,41,47
7:56,2199,Foul on Ty Groce.,41,47
7:56,183,Official TV Timeout,41,47
7:56,183,Marek Dolezaj made Free Throw.,41,48
7:56,183,Marek Dolezaj missed Free Throw.,41,48
7:56,2199,Jalen King Defensive Rebound.,41,48
7:31,2199,Tim Bond Turnover.,41,48
7:31,183,Tyus Battle Steal.,41,48
7:31,2199,Foul on Paul Jackson.,41,48
7:31,183,Tyus Battle missed Free Throw.,41,48
7:31,183,Syracuse Deadball Team Rebound.,41,48
7:31,183,Tyus Battle made Free Throw.,41,49
7:14,183,Foul on Paschal Chukwu.,41,49
7:14,2199,Paul Jackson made Free Throw.,42,49
7:14,2199,Paul Jackson made Free Throw.,43,49
7:05,183,Frank Howard missed Jumper.,43,49
7:05,183,Frank Howard Offensive Rebound.,43,49
6:50,183,Paschal Chukwu made Dunk. Assisted by Marek Dolezaj.,43,51
6:26,2199,Terry Harris missed Three Point Jumper.,43,51
6:26,183,Tyus Battle Defensive Rebound.,43,51
6:17,183,Oshae Brissett made Dunk. Assisted by Frank Howard.,43,53
6:05,2199,Eastern Michigan  Timeout,43,53
5:57,2199,Paul Jackson Turnover.,43,53
5:57,2199,Foul on Paul Jackson.,43,53
5:40,183,Frank Howard missed Three Point Jumper.,43,53
5:40,2199,Elijah Minnie Defensive Rebound.,43,53
5:13,2199,Paul Jackson missed Layup.,43,53
5:13,183,Oshae Brissett Defensive Rebound.,43,53
5:08,183,Tyus Battle made Layup.,43,55
4:54,2199,Elijah Minnie missed Jumper.,43,55
4:54,183,Oshae Brissett Defensive Rebound.,43,55
4:30,183,Tyus Battle made Three Point Jumper. Assisted by Marek Dolezaj.,43,58
3:56,183,Official TV Timeout,43,58
3:46,2199,Terry Harris missed Three Point Jumper.,43,58
3:46,183,Oshae Brissett Defensive Rebound.,43,58
3:20,183,Oshae Brissett missed Three Point Jumper.,43,58
3:20,2199,Elijah Minnie Defensive Rebound.,43,58
3:17,2199,Elijah Minnie Turnover.,43,58
3:17,183,Frank Howard Steal.,43,58
2:49,183,Marek Dolezaj made Layup. Assisted by Frank Howard.,43,60
2:33,2199,Tim Bond missed Three Point Jumper.,43,60
2:33,183,Paschal Chukwu Defensive Rebound.,43,60
2:04,183,Frank Howard missed Layup.,43,60
2:04,183,Paschal Chukwu Offensive Rebound.,43,60
2:04,183,Paschal Chukwu made Two Point Tip Shot.,43,62
1:54,2199,James Thompson IV Turnover.,43,62
1:54,183,Marek Dolezaj Steal.,43,62
1:30,183,Tyus Battle Turnover.,43,62
1:30,2199,Terry Harris Steal.,43,62
1:25,2199,Terry Harris made Layup.,45,62
1:11,183,Syracuse  Timeout,45,62
0:55,183,Howard Washington Turnover.,45,62
0:55,2199,Paul Jackson Steal.,45,62
0:53,2199,Paul Jackson missed Layup.,45,62
0:53,183,Howard Washington Block.,45,62
0:53,2199,Eastern Michigan Offensive Rebound.,45,62
0:48,183,Foul on Paschal Chukwu.,45,62
0:48,2199,Paul Jackson made Free Throw.,46,62
0:48,2199,Paul Jackson made Free Throw.,47,62
0:19,183,Marek Dolezaj Turnover.,47,62
0:14,2199,James Thompson IV missed Jumper.,47,62
0:14,183,Tyus Battle Defensive Rebound.,47,62
0:00,183,End of Game,47,62
