Florida Gulf Coast,227,Rhode Island,526
2:15,227,Rhode Island Offensive Rebound.,32,28
2:05,227,E.C. Matthews made Three Point Jumper. Assisted by Jared Terrell.,32,31
1:53,227,Foul on Jeff Dowtin.,32,31
1:53,526,Brandon Goodwin missed Free Throw.,32,31
1:42,227,E.C. Matthews Defensive Rebound.,32,31
1:35,227,E.C. Matthews made Three Point Jumper. Assisted by Jared Terrell.,32,34
1:35,526,Florida Gulf Coast  Timeout,32,34
1:19,526,Christian Terrell Turnover.,32,34
1:04,526,Foul on RaySean Scott Jr..,32,34
1:04,227,E.C. Matthews made Free Throw.,32,35
1:04,227,E.C. Matthews made Free Throw.,32,36
0:46,526,Christian Carlyle Turnover.,32,36
0:46,227,Rhode Island  Timeout,32,36
0:20,227,Andre Berry made Jumper. Assisted by E.C. Matthews.,32,38
0:02,526,Christian Terrell Turnover.,32,38
0:01,227,Fatts Russell Steal.,32,38
0:00,227,End of 1st half,32,38
19:42,526,RaySean Scott Jr. Turnover.,32,38
19:42,526,Foul on RaySean Scott Jr..,32,38
19:25,227,Andre Berry missed Jumper.,32,38
19:25,526,Ricky Doyle Defensive Rebound.,32,38
19:16,526,Michael Gilmore missed Layup.,32,38
19:16,227,Andre Berry Block.,32,38
19:14,526,Michael Gilmore Offensive Rebound.,32,38
19:07,526,Ricky Doyle made Layup. Assisted by Brandon Goodwin.,34,38
18:42,227,Stanford Robinson made Three Point Jumper. Assisted by Jeff Dowtin.,34,41
18:35,526,Christian Terrell missed Layup.,34,41
18:35,526,Michael Gilmore Offensive Rebound.,34,41
18:32,526,Michael Gilmore made Layup.,36,41
18:17,227,Jared Terrell missed Three Point Jumper.,36,41
18:17,227,Andre Berry Offensive Rebound.,36,41
18:13,227,Andre Berry made Layup.,36,43
17:48,526,Michael Gilmore Turnover.,36,43
17:22,227,Stanford Robinson missed Three Point Jumper.,36,43
17:22,227,E.C. Matthews Offensive Rebound.,36,43
17:18,227,E.C. Matthews made Layup.,36,45
17:18,526,Florida Gulf Coast  Timeout,36,45
17:03,526,Zach Johnson made Layup.,38,45
16:36,227,Andre Berry missed Jumper.,38,45
16:36,526,Brandon Goodwin Defensive Rebound.,38,45
16:27,526,Christian Terrell Turnover.,38,45
16:11,526,Foul on Brandon Goodwin.,38,45
16:10,227,Jared Terrell made Free Throw.,38,46
16:10,227,Jared Terrell made Free Throw.,38,47
15:56,526,Zach Johnson Turnover.,38,47
15:56,227,E.C. Matthews Steal.,38,47
15:56,526,Foul on Brady Ernst.,38,47
15:56,227,Official TV Timeout,38,47
15:47,227,Stanford Robinson made Layup.,38,49
15:18,526,Antravious Simmons missed Jumper.,38,49
15:18,227,Jeff Dowtin Defensive Rebound.,38,49
15:08,227,Andre Berry missed Layup.,38,49
15:08,526,Brady Ernst Defensive Rebound.,38,49
14:50,526,Antravious Simmons made Jumper.,40,49
14:28,227,Andre Berry made Layup. Assisted by Jared Terrell.,40,51
14:08,526,Dinero Mercurius missed Three Point Jumper.,40,51
14:08,526,Dinero Mercurius Offensive Rebound.,40,51
14:03,526,Dinero Mercurius missed Layup.,40,51
14:03,526,Antravious Simmons Offensive Rebound.,40,51
14:00,526,Antravious Simmons made Layup.,42,51
13:42,526,Foul on Brady Ernst.,42,51
13:42,227,Jared Terrell made Free Throw.,42,52
13:42,227,Jared Terrell made Free Throw.,42,53
13:26,526,Ricky Doyle missed Jumper.,42,53
13:26,227,Cyril Langevine Block.,42,53
13:24,227,Cyril Langevine Defensive Rebound.,42,53
12:50,227,Jared Terrell missed Three Point Jumper.,42,53
12:50,526,Zach Johnson Defensive Rebound.,42,53
12:48,227,Foul on Cyril Langevine.,42,53
12:33,526,Brandon Goodwin missed Layup.,42,53
12:33,526,Brandon Goodwin Offensive Rebound.,42,53
12:29,526,Zach Johnson missed Three Point Jumper.,42,53
12:29,227,Stanford Robinson Defensive Rebound.,42,53
12:28,526,Foul on RaySean Scott Jr..,42,53
12:11,227,Cyril Langevine made Layup. Assisted by Jared Terrell.,42,55
12:11,526,Foul on Michael Gilmore.,42,55
12:11,227,Cyril Langevine missed Free Throw.,42,55
12:11,526,Michael Gilmore Defensive Rebound.,42,55
11:57,227,Official TV Timeout,42,55
11:57,227,Foul on Jarvis Garrett.,42,55
11:35,526,Zach Johnson missed Layup.,42,55
11:35,526,Zach Johnson Offensive Rebound.,42,55
11:32,526,Zach Johnson made Layup.,44,55
11:15,227,E.C. Matthews missed Three Point Jumper.,44,55
11:15,526,Darnell Rogers Defensive Rebound.,44,55
11:09,227,Foul on Cyril Langevine.,44,55
10:51,526,Christian Terrell missed Jumper.,44,55
10:51,227,Fatts Russell Defensive Rebound.,44,55
10:43,227,Jarvis Garrett Turnover.,44,55
10:42,526,Christian Terrell Steal.,44,55
10:37,526,Zach Johnson missed Jumper.,44,55
10:37,227,Jarvis Garrett Defensive Rebound.,44,55
10:29,526,Foul on Darnell Rogers.,44,55
10:29,227,E.C. Matthews made Free Throw.,44,56
10:29,227,E.C. Matthews made Free Throw.,44,57
10:25,526,Brandon Goodwin Turnover.,44,57
10:25,227,Jarvis Garrett Steal.,44,57
10:07,227,E.C. Matthews made Layup.,44,59
9:56,227,Foul on Cyril Langevine.,44,59
9:43,526,Antravious Simmons made Jumper.,46,59
9:11,227,Fatts Russell missed Three Point Jumper.,46,59
9:11,526,Michael Gilmore Defensive Rebound.,46,59
9:02,227,Foul on Andre Berry.,46,59
8:41,526,Brandon Goodwin missed Three Point Jumper.,46,59
8:41,227,Jeff Dowtin Block.,46,59
8:39,227,E.C. Matthews Defensive Rebound.,46,59
8:38,227,E.C. Matthews Turnover.,46,59
8:27,227,Foul on Jeff Dowtin.,46,59
8:10,526,Zach Johnson missed Three Point Jumper.,46,59
8:10,227,Jeff Dowtin Defensive Rebound.,46,59
7:59,526,Foul on Michael Gilmore.,46,59
7:59,227,Official TV Timeout,46,59
7:59,227,Jeff Dowtin made Free Throw.,46,60
7:59,227,Jeff Dowtin made Free Throw.,46,61
7:34,526,Brandon Goodwin missed Layup.,46,61
7:34,227,Stanford Robinson Defensive Rebound.,46,61
7:27,227,Jeff Dowtin made Layup. Assisted by Stanford Robinson.,46,63
6:54,526,Antravious Simmons missed Jumper.,46,63
6:54,227,E.C. Matthews Defensive Rebound.,46,63
6:25,227,Jared Terrell made Three Point Jumper. Assisted by Jeff Dowtin.,46,66
6:17,526,Florida Gulf Coast  Timeout,46,66
5:59,526,Brandon Goodwin missed Three Point Jumper.,46,66
5:59,526,RaySean Scott Jr. Offensive Rebound.,46,66
5:56,526,RaySean Scott Jr. made Layup.,48,66
5:56,227,Foul on Jeff Dowtin.,48,66
5:56,526,RaySean Scott Jr. made Free Throw.,49,66
5:39,526,Foul on Zach Johnson.,49,66
5:39,227,E.C. Matthews made Free Throw.,49,67
5:39,227,E.C. Matthews made Free Throw.,49,68
5:24,526,Brandon Goodwin made Layup.,51,68
5:15,227,Rhode Island  Timeout,51,68
4:54,227,Jared Terrell made Jumper.,51,70
4:45,526,Antravious Simmons made Layup. Assisted by Brandon Goodwin.,53,70
4:15,227,Stanford Robinson missed Layup.,53,70
4:15,227,Stanford Robinson Offensive Rebound.,53,70
4:13,227,Stanford Robinson made Layup.,53,72
3:51,526,Christian Terrell made Layup.,55,72
3:29,227,Jeff Dowtin Turnover.,55,72
3:28,526,Zach Johnson Steal.,55,72
3:23,526,Zach Johnson missed Dunk.,55,72
3:23,227,Stanford Robinson Defensive Rebound.,55,72
2:58,227,Jarvis Garrett made Three Point Jumper. Assisted by Jared Terrell.,55,75
2:38,526,Antravious Simmons missed Jumper.,55,75
2:38,227,Jared Terrell Defensive Rebound.,55,75
2:12,227,Jeff Dowtin made Three Point Jumper. Assisted by Jarvis Garrett.,55,78
1:48,526,Antravious Simmons made Layup.,57,78
1:48,227,Foul on Stanford Robinson.,57,78
1:48,227,Official TV Timeout,57,78
1:48,526,Antravious Simmons made Free Throw.,58,78
1:26,227,Mike Layssard missed Jumper.,58,78
1:26,526,Dinero Mercurius Defensive Rebound.,58,78
1:11,526,Darnell Rogers Turnover.,58,78
1:09,227,Eric Dadika Steal.,58,78
1:07,227,Eric Dadika missed Dunk.,58,78
1:07,526,Christian Carlyle Defensive Rebound.,58,78
0:53,526,Darnell Rogers missed Jumper.,58,78
0:53,227,Mike Layssard Defensive Rebound.,58,78
0:38,227,Fatts Russell made Jumper.,58,80
0:25,227,Foul on Ryan Preston.,58,80
0:25,526,Ricky Doyle made Free Throw.,59,80
0:25,526,Ricky Doyle made Free Throw.,60,80
0:00,227,End of Game,60,80
