Northern Colorado,2541,Santa Clara,2458
18:00,2458,Jordan Davis Turnover.,44,45
17:34,2541,Nate Kratch missed Three Point Jumper.,44,45
17:34,2458,Jordan Davis Defensive Rebound.,44,45
17:23,2458,Chaz Glotta made Three Point Jumper. Assisted by Jordan Davis.,47,45
17:08,2458,Foul on Jordan Davis.,47,45
17:03,2541,Kai Healy made Layup.,47,47
16:53,2458,Northern Colorado  Timeout,47,47
16:53,2541,Official TV Timeout,47,47
16:42,2458,Chaz Glotta missed Three Point Jumper.,47,47
16:42,2541,Kai Healy Defensive Rebound.,47,47
16:16,2541,Kai Healy missed Layup.,47,47
16:16,2458,Ibrahim Sylla Block.,47,47
16:14,2458,Ibrahim Sylla Defensive Rebound.,47,47
16:10,2541,Foul on Jared Brownridge.,47,47
16:10,2458,Jordan Davis missed Free Throw.,47,47
16:10,2458,Northern Colorado Deadball Team Rebound.,47,47
16:10,2458,Jordan Davis made Free Throw.,48,47
15:56,2458,Foul on Jonah Radebaugh.,48,47
15:44,2541,Jared Brownridge missed Three Point Jumper.,48,47
15:44,2458,Northern Colorado Defensive Rebound.,48,47
15:32,2458,Jordan Davis made Layup.,50,47
15:21,2541,Jarvis Pugh made Three Point Jumper. Assisted by Matt Hauser.,50,50
15:20,2458,Foul on Jon'te Dotson.,50,50
15:20,2541,Jarvis Pugh made Free Throw.,50,51
15:09,2541,Foul on Jared Brownridge.,50,51
14:55,2458,Jon'te Dotson made Layup. Assisted by Jordan Davis.,52,51
14:55,2541,Foul on Nate Kratch.,52,51
14:55,2458,Jon'te Dotson made Free Throw.,53,51
14:37,2541,Nate Kratch missed Layup.,53,51
14:37,2458,Jon'te Dotson Defensive Rebound.,53,51
14:11,2458,Jordan Davis Turnover.,53,51
14:09,2541,Matt Hauser Steal.,53,51
14:00,2541,Jarvis Pugh made Layup. Assisted by Matt Hauser.,53,53
13:39,2458,Roberto Vercellino missed Jumper.,53,53
13:39,2541,Nate Kratch Block.,53,53
13:37,2541,Jarvis Pugh Defensive Rebound.,53,53
13:10,2541,Evan Wardlow made Three Point Jumper. Assisted by Kai Healy.,53,56
12:44,2541,Foul on Matt Hauser.,53,56
12:36,2458,Mike Ranson missed Three Point Jumper.,53,56
12:36,2458,Jon'te Dotson Offensive Rebound.,53,56
12:28,2458,Roberto Vercellino missed Layup.,53,56
12:28,2541,Jarvis Pugh Defensive Rebound.,53,56
12:01,2541,Nate Kratch made Three Point Jumper.,53,59
11:50,2541,Foul on Kai Healy.,53,59
11:49,2541,Official TV Timeout,53,59
11:41,2458,Ibrahim Sylla missed Layup.,53,59
11:41,2541,Jarvis Pugh Defensive Rebound.,53,59
11:15,2541,Matt Hauser made Jumper.,53,61
10:47,2458,Northern Colorado  Timeout,53,61
10:45,2458,Jonah Radebaugh Turnover.,53,61
10:44,2541,Kai Healy Steal.,53,61
10:43,2541,Kai Healy made Layup.,53,63
10:29,2458,Jordan Davis Turnover.,53,63
10:07,2541,Matt Hauser made Layup.,53,65
9:38,2458,Jon'te Dotson made Layup. Assisted by Jordan Davis.,55,65
9:09,2541,Matt Hauser missed Three Point Jumper.,55,65
9:09,2541,Jarvis Pugh Offensive Rebound.,55,65
8:53,2541,Evan Wardlow made Three Point Jumper. Assisted by Matt Hauser.,55,68
8:36,2458,Jordan Davis Turnover.,55,68
8:23,2541,Evan Wardlow missed Three Point Jumper.,55,68
8:23,2541,Jarvis Pugh Offensive Rebound.,55,68
8:18,2458,Foul on Kai Edwards.,55,68
8:15,2541,Jarvis Pugh made Layup. Assisted by Matt Hauser.,55,70
8:02,2458,DJ Miles made Three Point Jumper. Assisted by Jordan Davis.,58,70
7:40,2541,Matt Hauser missed Three Point Jumper.,58,70
7:40,2458,Chaz Glotta Defensive Rebound.,58,70
7:30,2458,Chaz Glotta Turnover.,58,70
7:30,2541,Official TV Timeout,58,70
7:04,2541,Evan Wardlow missed Layup.,58,70
7:04,2458,Kai Edwards Defensive Rebound.,58,70
6:57,2458,Jordan Davis made Layup. Assisted by Jonah Radebaugh.,60,70
6:57,2541,Foul on Matt Hauser.,60,70
6:57,2458,Jordan Davis made Free Throw.,61,70
6:28,2541,Jared Brownridge missed Three Point Jumper.,61,70
6:28,2458,Kai Edwards Defensive Rebound.,61,70
6:18,2458,Chaz Glotta missed Three Point Jumper.,61,70
6:18,2541,Jarvis Pugh Defensive Rebound.,61,70
5:49,2541,Matt Hauser missed Three Point Jumper.,61,70
5:49,2541,Jarvis Pugh Offensive Rebound.,61,70
5:39,2541,Jared Brownridge missed Three Point Jumper.,61,70
5:39,2458,Jordan Davis Defensive Rebound.,61,70
5:28,2458,Jordan Davis missed Layup.,61,70
5:28,2541,Jared Brownridge Defensive Rebound.,61,70
5:25,2541,Jarvis Pugh made Dunk. Assisted by Jared Brownridge.,61,72
4:55,2458,DJ Miles missed Three Point Jumper.,61,72
4:55,2541,Kai Healy Defensive Rebound.,61,72
4:48,2541,Matt Hauser made Three Point Jumper. Assisted by Kai Healy.,61,75
4:36,2458,Northern Colorado  Timeout,61,75
4:30,2458,Jordan Davis made Layup.,63,75
4:14,2541,Jarvis Pugh made Three Point Jumper. Assisted by Matt Hauser.,63,78
3:46,2458,Chaz Glotta made Layup.,65,78
3:22,2458,Foul on Ibrahim Sylla.,65,78
3:21,2541,Official TV Timeout,65,78
3:20,2541,Jarvis Pugh made Free Throw.,65,80
3:20,2541,Jarvis Pugh made Free Throw.,65,79
3:05,2458,Jordan Davis Turnover.,65,80
3:04,2541,Kai Healy Steal.,65,80
2:36,2541,Jared Brownridge missed Three Point Jumper.,65,80
2:36,2458,Jordan Davis Defensive Rebound.,65,80
2:20,2541,Foul on Kai Healy.,65,80
2:20,2458,Jordan Davis made Free Throw.,66,80
2:20,2458,Jordan Davis made Free Throw.,67,80
2:17,2541,Matt Hauser Turnover.,67,80
2:17,2541,Foul on Matt Hauser.,67,80
2:09,2458,Ibrahim Sylla made Dunk. Assisted by Jordan Davis.,69,80
1:47,2541,Jared Brownridge made Layup. Assisted by Jarvis Pugh.,69,82
1:39,2458,Jordan Davis made Three Point Jumper.,72,82
1:07,2541,Jarvis Pugh made Layup. Assisted by Jared Brownridge.,72,84
0:58,2458,Jordan Davis missed Three Point Jumper.,72,84
0:58,2458,Jon'te Dotson Offensive Rebound.,72,84
0:52,2458,Chaz Glotta missed Three Point Jumper.,72,84
0:52,2541,Nate Kratch Defensive Rebound.,72,84
0:45,2458,Foul on Jordan Davis.,72,84
0:45,2541,Matt Hauser made Free Throw.,72,85
0:45,2541,Matt Hauser missed Free Throw.,72,85
0:45,2458,Jon'te Dotson Defensive Rebound.,72,85
0:37,2458,Mike Ranson Turnover.,72,85
0:35,2541,Matt Hauser Steal.,72,85
0:11,2541,Matt Hauser made Three Point Jumper. Assisted by Jared Brownridge.,72,88
0:00,2458,Jordan Davis missed Three Point Jumper.,72,88
0:00,2541,Evan Wardlow Defensive Rebound.,72,88
0:00,2541,End of Game,72,88
