Colgate,2885,NJIT,2142
3:57,2885,Anthony Tarke made Layup.,28,27
3:45,2142,Sean O'Brien missed Jumper.,28,27
3:45,2885,Mohamed Bendary Defensive Rebound.,28,27
3:37,2885,Shyquan Gibbs Turnover.,28,27
3:36,2142,Jordan Swopshire Steal.,28,27
3:33,2142,Nathan Harries made Layup. Assisted by Jordan Swopshire.,30,27
3:10,2885,Rob Ukawuba made Layup.,30,29
2:56,2142,Jordan Swopshire missed Three Point Jumper.,30,29
2:56,2885,Anthony Tarke Block.,30,29
2:55,2885,NJIT Defensive Rebound.,30,29
2:55,2885,Official TV Timeout,30,29
2:33,2885,Rob Ukawuba Turnover.,30,29
2:32,2142,Sean O'Brien Steal.,30,29
2:28,2142,Tom Rivard made Layup. Assisted by Sean O'Brien.,32,29
2:00,2885,Osa Izevbuwa missed Three Point Jumper.,32,29
2:00,2142,Colgate Defensive Rebound.,32,29
1:35,2142,Nathan Harries made Layup.,34,29
1:17,2885,Mohamed Bendary missed Layup.,34,29
1:17,2142,Malcolm Regisford Defensive Rebound.,34,29
1:07,2142,Sean O'Brien Turnover.,34,29
1:06,2885,Tim Coleman Steal.,34,29
0:36,2885,Tim Coleman made Jumper.,34,31
0:24,2142,Colgate  Timeout,34,31
0:08,2142,Sean O'Brien missed Three Point Jumper.,34,31
0:08,2885,Shyquan Gibbs Defensive Rebound.,34,31
0:00,2885,Tim Coleman missed Three Point Jumper.,34,31
0:00,2885,Osa Izevbuwa Offensive Rebound.,34,31
0:00,2885,End of 1st half,34,31
19:49,2142,Jordan Swopshire Turnover.,34,31
19:49,2885,Tim Coleman Steal.,34,31
19:49,2142,Foul on Tom Rivard.,34,31
19:33,2142,Foul on Jordan Swopshire.,34,31
19:18,2885,Abdul Lewis missed Layup.,34,31
19:18,2885,Abdul Lewis Offensive Rebound.,34,31
19:16,2885,Abdul Lewis missed Layup.,34,31
19:16,2142,Jordan Swopshire Defensive Rebound.,34,31
18:52,2142,Jordan Swopshire Turnover.,34,31
18:41,2885,Damon Lynn missed Three Point Jumper.,34,31
18:41,2142,Jordan Robertson Defensive Rebound.,34,31
18:29,2142,Sean O'Brien missed Jumper.,34,31
18:29,2142,Malcolm Regisford Offensive Rebound.,34,31
18:25,2142,Malcolm Regisford missed Layup.,34,31
18:25,2885,Abdul Lewis Block.,34,31
18:23,2885,Osa Izevbuwa Defensive Rebound.,34,31
18:14,2885,Tim Coleman missed Layup.,34,31
18:14,2885,Abdul Lewis Offensive Rebound.,34,31
18:06,2142,Foul on Malcolm Regisford.,34,31
18:06,2885,Damon Lynn made Free Throw.,34,32
18:06,2885,Damon Lynn missed Free Throw.,34,32
18:06,2142,Jordan Swopshire Defensive Rebound.,34,32
17:52,2142,Jordan Robertson made Layup.,36,32
17:37,2885,Osa Izevbuwa made Three Point Jumper. Assisted by Abdul Lewis.,36,35
17:15,2142,Jordan Swopshire missed Jumper.,36,35
17:15,2885,Rob Ukawuba Defensive Rebound.,36,35
17:04,2885,Tim Coleman made Three Point Jumper. Assisted by Damon Lynn.,36,38
16:47,2142,Sean O'Brien missed Three Point Jumper.,36,38
16:47,2142,Jordan Robertson Offensive Rebound.,36,38
16:35,2142,Malcolm Regisford made Layup.,38,38
16:14,2885,Tim Coleman Turnover.,38,38
16:13,2142,Jordan Swopshire Steal.,38,38
16:06,2142,Malcolm Regisford missed Three Point Jumper.,38,38
16:06,2142,Jordan Swopshire Offensive Rebound.,38,38
16:05,2885,Foul on Tim Coleman.,38,38
16:03,2142,Jordan Swopshire made Three Point Jumper. Assisted by Sean O'Brien.,41,38
15:40,2885,Damon Lynn missed Three Point Jumper.,41,38
15:40,2142,Jordan Robertson Defensive Rebound.,41,38
15:38,2885,Foul on Osa Izevbuwa.,41,38
15:38,2885,Official TV Timeout,41,38
15:16,2142,Malcolm Regisford made Layup.,43,38
14:58,2142,Foul on Malcolm Regisford.,43,38
14:58,2885,Damon Lynn made Free Throw.,43,39
14:58,2885,Damon Lynn made Free Throw.,43,40
14:41,2885,Foul on Osa Izevbuwa.,43,40
14:39,2142,Jordan Robertson missed Jumper.,43,40
14:39,2885,Abdul Lewis Defensive Rebound.,43,40
14:30,2885,Anthony Tarke missed Layup.,43,40
14:30,2142,Will Rayman Defensive Rebound.,43,40
14:14,2142,Jordan Swopshire made Three Point Jumper. Assisted by Sean O'Brien.,46,40
14:01,2885,Damon Lynn missed Three Point Jumper.,46,40
14:01,2142,Jordan Swopshire Defensive Rebound.,46,40
13:41,2142,Colgate  Timeout,46,40
13:41,2885,Official TV Timeout,46,40
13:38,2142,Dana Batt Turnover.,46,40
13:18,2885,Tim Coleman missed Jumper.,46,40
13:18,2142,Jordan Swopshire Defensive Rebound.,46,40
13:08,2885,Foul on Tim Coleman.,46,40
13:05,2142,Jordan Swopshire missed Three Point Jumper.,46,40
13:05,2885,NJIT Defensive Rebound.,46,40
12:58,2885,Tim Coleman Turnover.,46,40
12:58,2142,Dana Batt Steal.,46,40
12:58,2885,Foul on Tim Coleman.,46,40
12:48,2142,Will Rayman missed Three Point Jumper.,46,40
12:48,2885,Anthony Tarke Defensive Rebound.,46,40
12:37,2885,Foul on Abdul Lewis.,46,40
12:37,2885,Abdul Lewis Turnover.,46,40
12:28,2142,Foul on Sean O'Brien.,46,40
12:28,2142,Sean O'Brien Turnover.,46,40
12:21,2885,Rob Ukawuba made Dunk. Assisted by Damon Lynn.,46,42
12:21,2142,Foul on Nathan Harries.,46,42
12:21,2885,Rob Ukawuba made Free Throw.,46,43
11:55,2142,Nathan Harries missed Three Point Jumper.,46,43
11:55,2142,Will Rayman Offensive Rebound.,46,43
11:51,2142,Will Rayman made Layup.,48,43
11:40,2142,Foul on Dana Batt.,48,43
11:40,2885,Official TV Timeout,48,43
11:40,2885,Abdul Lewis made Free Throw.,48,44
11:40,2885,Abdul Lewis made Free Throw.,48,45
11:16,2142,Nathan Harries missed Layup.,48,45
11:16,2885,NJIT Defensive Rebound.,48,45
11:02,2142,Foul on Sean O'Brien.,48,45
11:02,2885,Damon Lynn made Free Throw.,48,46
11:02,2885,Damon Lynn made Free Throw.,48,47
10:50,2142,Colgate  Timeout,48,47
10:38,2142,Francisco Amiel missed Layup.,48,47
10:38,2885,Damon Lynn Defensive Rebound.,48,47
10:34,2885,Damon Lynn missed Three Point Jumper.,48,47
10:34,2885,NJIT Offensive Rebound.,48,47
10:09,2885,Rob Ukawuba missed Layup.,48,47
10:09,2885,NJIT Offensive Rebound.,48,47
10:03,2885,Damon Lynn missed Three Point Jumper.,48,47
10:03,2142,Malcolm Regisford Defensive Rebound.,48,47
10:01,2885,Foul on Abdul Lewis.,48,47
10:01,2142,Malcolm Regisford made Free Throw.,49,47
10:01,2142,Malcolm Regisford missed Free Throw.,49,47
10:01,2885,Anthony Tarke Defensive Rebound.,49,47
9:49,2142,Foul on Francisco Amiel.,49,47
9:49,2885,Damon Lynn made Free Throw.,49,48
9:49,2885,Damon Lynn made Free Throw.,49,49
9:35,2142,Tom Rivard made Layup. Assisted by Nathan Harries.,51,49
9:35,2885,Foul on Mohamed Bendary.,51,49
9:35,2142,Tom Rivard missed Free Throw.,51,49
9:35,2885,Anthony Tarke Defensive Rebound.,51,49
9:32,2885,Anthony Tarke Turnover.,51,49
9:32,2142,Will Rayman Steal.,51,49
9:15,2142,Tom Rivard Turnover.,51,49
9:15,2885,Anthony Tarke Steal.,51,49
8:50,2885,Damon Lynn made Layup.,51,51
8:29,2142,Nathan Harries made Three Point Jumper. Assisted by Francisco Amiel.,54,51
8:19,2885,Rob Ukawuba made Layup.,54,53
7:48,2142,Francisco Amiel made Jumper.,56,53
7:31,2885,Foul on Shyquan Gibbs.,56,53
7:31,2885,Shyquan Gibbs Turnover.,56,53
7:31,2885,Official TV Timeout,56,53
7:19,2142,Malcolm Regisford Turnover.,56,53
6:53,2885,Shyquan Gibbs missed Layup.,56,53
6:53,2885,Anthony Tarke Offensive Rebound.,56,53
6:51,2885,Anthony Tarke missed Layup.,56,53
6:51,2142,Nathan Harries Defensive Rebound.,56,53
6:24,2142,Foul on Sean O'Brien.,56,53
6:24,2142,Sean O'Brien Turnover.,56,53
5:59,2885,Rob Ukawuba missed Layup.,56,53
5:59,2142,Malcolm Regisford Defensive Rebound.,56,53
5:55,2142,Malcolm Regisford Turnover.,56,53
5:53,2885,Shyquan Gibbs Steal.,56,53
5:50,2885,Anthony Tarke missed Layup.,56,53
5:50,2142,Malcolm Regisford Block.,56,53
5:50,2885,NJIT Offensive Rebound.,56,53
5:40,2885,Damon Lynn missed Layup.,56,53
5:40,2885,Mohamed Bendary Offensive Rebound.,56,53
5:37,2885,Mohamed Bendary made Layup.,56,55
5:17,2885,Foul on Rob Ukawuba.,56,55
5:17,2142,Jordan Robertson made Free Throw.,57,55
5:17,2142,Jordan Robertson made Free Throw.,58,55
5:04,2885,Damon Lynn made Three Point Jumper.,58,58
5:04,2142,Foul on Francisco Amiel.,58,58
5:04,2885,Damon Lynn made Free Throw.,58,59
4:47,2885,Foul on Rob Ukawuba.,58,59
4:47,2142,Malcolm Regisford made Free Throw.,59,59
4:47,2142,Malcolm Regisford missed Free Throw.,59,59
4:47,2885,Anthony Tarke Defensive Rebound.,59,59
4:27,2885,Mohamed Bendary missed Layup.,59,59
4:27,2142,Malcolm Regisford Block.,59,59
4:25,2142,Francisco Amiel Defensive Rebound.,59,59
4:19,2142,Jordan Robertson missed Three Point Jumper.,59,59
4:19,2885,Anthony Tarke Defensive Rebound.,59,59
4:08,2885,Damon Lynn made Layup.,59,61
4:08,2142,Foul on Malcolm Regisford.,59,61
4:08,2885,Damon Lynn made Free Throw.,59,62
3:59,2885,Foul on Mohamed Bendary.,59,62
3:59,2885,Official TV Timeout,59,62
3:59,2142,Jordan Robertson missed Free Throw.,59,62
3:59,2142,Colgate Deadball Team Rebound.,59,62
3:59,2142,Jordan Robertson made Free Throw.,60,62
3:31,2885,Rob Ukawuba made Dunk.,60,64
3:15,2142,Jordan Swopshire missed Three Point Jumper.,60,64
3:15,2885,Tim Coleman Block.,60,64
3:13,2885,Osa Izevbuwa Defensive Rebound.,60,64
3:10,2885,Tim Coleman made Layup. Assisted by Osa Izevbuwa.,60,66
2:50,2142,Jordan Robertson made Jumper.,62,66
2:24,2885,Tim Coleman missed Layup.,62,66
2:24,2885,NJIT Deadball Team Rebound.,62,66
2:23,2142,Foul on Francisco Amiel.,62,66
2:23,2885,Abdul Lewis made Free Throw.,62,67
2:23,2885,Abdul Lewis made Free Throw.,62,68
2:07,2142,Nathan Harries made Layup.,64,68
1:44,2885,Abdul Lewis missed Layup.,64,68
1:44,2142,Malcolm Regisford Block.,64,68
1:43,2885,NJIT Offensive Rebound.,64,68
1:33,2885,Damon Lynn missed Three Point Jumper.,64,68
1:33,2885,Osa Izevbuwa Offensive Rebound.,64,68
1:29,2885,NJIT  Turnover.,64,68
1:19,2142,Jordan Swopshire missed Jumper.,64,68
1:19,2142,Jordan Swopshire Offensive Rebound.,64,68
1:17,2142,Malcolm Regisford made Layup.,66,68
0:50,2885,Damon Lynn Turnover.,66,68
0:48,2142,Jordan Robertson Steal.,66,68
0:39,2142,Jordan Robertson Turnover.,66,68
0:39,2885,Damon Lynn Steal.,66,68
0:39,2142,Foul on Jordan Robertson.,66,68
0:39,2885,Damon Lynn made Free Throw.,66,69
0:39,2885,Damon Lynn made Free Throw.,66,70
0:28,2142,Jordan Robertson Turnover.,66,70
0:26,2142,Foul on Nathan Harries.,66,70
0:26,2885,Damon Lynn made Free Throw.,66,71
0:26,2885,Damon Lynn made Free Throw.,66,72
0:21,2142,Sean O'Brien missed Jumper.,66,72
0:21,2885,Tim Coleman Block.,66,72
0:19,2142,Sean O'Brien Offensive Rebound.,66,72
0:15,2142,Jordan Swopshire missed Three Point Jumper.,66,72
0:15,2885,Abdul Lewis Defensive Rebound.,66,72
0:08,2142,Foul on Jordan Swopshire.,66,72
0:08,2885,Tim Coleman made Free Throw.,66,73
0:08,2885,Tim Coleman made Free Throw.,66,74
0:04,2142,Sean O'Brien made Layup.,68,74
0:04,2142,Colgate  Timeout,68,74
