Lyndon State,Error,Vermont,261
4:17,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,4,35
3:52,-1,Robert Rouelle missed Three Point Jumper.,4,35
3:52,261,Kurt Steidl Defensive Rebound.,4,35
3:37,-1,Foul on Corey Frost.,4,35
3:37,261,Official TV Timeout,4,35
3:37,261,Cam Ward made Free Throw.,4,36
3:37,261,Cam Ward made Free Throw.,4,37
3:16,-1,Raymond Monroe Turnover.,4,37
3:15,261,Trae Bell-Haynes Steal.,4,37
3:12,261,Darren Payen missed Layup.,4,37
3:12,261,Darren Payen Offensive Rebound.,4,37
3:07,261,Ernie Duncan missed Three Point Jumper.,4,37
3:07,-1,Raymond Monroe Defensive Rebound.,4,37
2:58,-1,Charles Correa missed Three Point Jumper.,4,37
2:58,261,Ernie Duncan Defensive Rebound.,4,37
2:44,261,Kurt Steidl missed Three Point Jumper.,4,37
2:44,261,Darren Payen Offensive Rebound.,4,37
2:41,-1,Foul on Alexis Ravelo.,4,37
2:26,261,Drew Urquhart made Free Throw.,4,38
2:26,-1,Foul on Alexis Ravelo.,4,37
2:26,261,Drew Urquhart made Free Throw.,4,39
2:08,-1,Eric Vargas missed Jumper.,4,39
2:08,-1,Raymond Monroe Offensive Rebound.,4,39
2:04,-1,Eric Vargas missed Three Point Jumper.,4,39
2:04,261,Darren Payen Defensive Rebound.,4,39
1:42,261,Darren Payen made Dunk. Assisted by Cam Ward.,4,41
1:23,-1,Eric Vargas Turnover.,4,41
1:22,261,David Urso Steal.,4,41
1:20,261,Cam Ward Turnover.,4,41
1:05,-1,Raymond Monroe missed Three Point Jumper.,4,41
1:05,261,Cam Ward Defensive Rebound.,4,41
0:47,261,Cam Ward missed Layup.,4,41
0:47,-1,Robert Rouelle Defensive Rebound.,4,41
0:41,-1,Eric Vargas Turnover.,4,41
0:20,261,Dre Wills missed Layup.,4,41
0:20,261,Drew Urquhart Offensive Rebound.,4,41
0:18,261,Drew Urquhart made Layup.,4,43
0:04,-1,Charles Correa missed Three Point Jumper.,4,43
0:04,261,Drew Urquhart Defensive Rebound.,4,43
0:00,261,End of 1st half,4,43
19:47,-1,Jose Berroa Turnover.,4,43
19:40,261,Ernie Duncan Turnover.,4,43
19:40,-1,Eric Vargas Steal.,4,43
19:37,261,Anthony Lamb missed Three Point Jumper.,4,43
19:37,-1,Eric Vargas Defensive Rebound.,4,43
19:18,-1,Eric Vargas missed Jumper.,4,43
19:18,261,Anthony Lamb Defensive Rebound.,4,43
18:58,-1,Eric Vargas Turnover.,4,43
18:57,261,Kurt Steidl Steal.,4,43
18:50,261,Anthony Lamb Turnover.,4,43
18:15,-1,Jose Berroa missed Jumper.,4,43
18:15,261,Kurt Steidl Defensive Rebound.,4,43
18:04,261,Ernie Duncan missed Three Point Jumper.,4,43
18:04,-1,Eric Vargas Defensive Rebound.,4,43
17:54,-1,Eric Vargas made Layup.,6,43
17:36,261,Kurt Steidl missed Three Point Jumper.,6,43
17:36,261,Vermont Offensive Rebound.,6,43
17:35,-1,Foul on Eric Vargas.,6,43
17:17,261,Ernie Duncan missed Three Point Jumper.,6,43
17:17,-1,Raymond Monroe Defensive Rebound.,6,43
17:05,-1,Robert Rouelle made Layup. Assisted by Eric Vargas.,8,43
16:47,261,Foul on Drew Urquhart.,8,43
16:47,261,Drew Urquhart Turnover.,8,43
16:33,-1,Corey Frost missed Three Point Jumper.,8,43
16:33,-1,Raymond Monroe Offensive Rebound.,8,43
16:28,-1,Raymond Monroe missed Layup.,8,43
16:28,261,Trae Bell-Haynes Defensive Rebound.,8,43
16:18,261,Kurt Steidl Turnover.,8,43
16:06,-1,Corey Frost made Three Point Jumper. Assisted by Eric Vargas.,11,43
15:51,261,Ernie Duncan Turnover.,11,43
15:51,261,Official TV Timeout,11,43
15:41,-1,Alexis Ravelo missed Jumper.,11,43
15:41,261,Kurt Steidl Defensive Rebound.,11,43
15:22,261,Kurt Steidl missed Three Point Jumper.,11,43
15:22,261,Anthony Lamb Offensive Rebound.,11,43
15:16,261,Anthony Lamb missed Jumper.,11,43
15:16,261,Darren Payen Offensive Rebound.,11,43
15:14,261,Darren Payen made Layup.,11,45
14:42,-1,Eric Vargas missed Three Point Jumper.,11,45
14:42,261,Dre Wills Defensive Rebound.,11,45
14:34,-1,Foul on Robert Rouelle.,11,45
14:34,261,Kurt Steidl made Free Throw.,11,46
14:34,261,Kurt Steidl made Free Throw.,11,47
14:21,-1,Alexis Ravelo made Layup. Assisted by Eric Vargas.,13,47
14:02,261,Darren Payen missed Jumper.,13,47
14:02,-1,Robert Rouelle Defensive Rebound.,13,47
13:54,-1,Eric Vargas missed Jumper.,13,47
13:54,261,Cam Ward Defensive Rebound.,13,47
13:38,261,Anthony Lamb made Three Point Jumper. Assisted by Kurt Steidl.,13,50
13:23,-1,Robert Rouelle missed Jumper.,13,50
13:23,261,Anthony Lamb Defensive Rebound.,13,50
13:12,261,Kurt Steidl missed Three Point Jumper.,13,50
13:12,261,Dre Wills Offensive Rebound.,13,50
13:08,-1,Lyndon St  Timeout,13,50
13:08,261,Official TV Timeout,13,50
13:04,261,Darren Payen made Dunk. Assisted by Anthony Lamb.,13,52
13:04,-1,Foul on Robert Rouelle.,13,52
13:04,261,Darren Payen made Free Throw.,13,53
12:52,-1,Raymond Monroe missed Three Point Jumper.,13,53
12:52,261,Anthony Lamb Defensive Rebound.,13,53
12:29,261,Darren Payen Turnover.,13,53
12:28,-1,Charles Correa Steal.,13,53
12:21,-1,Raymond Monroe Turnover.,13,53
12:20,261,Darren Payen Steal.,13,53
12:16,261,Dre Wills missed Three Point Jumper.,13,53
12:16,-1,Raymond Monroe Defensive Rebound.,13,53
12:06,-1,Robert Rouelle missed Three Point Jumper.,13,53
12:06,261,Dre Wills Defensive Rebound.,13,53
11:41,261,David Urso missed Three Point Jumper.,13,53
11:41,-1,Robert Rouelle Defensive Rebound.,13,53
11:26,-1,Charles Correa missed Three Point Jumper.,13,53
11:26,261,Darren Payen Defensive Rebound.,13,53
11:04,-1,Foul on Raymond Monroe.,13,53
11:04,261,Official TV Timeout,13,53
11:01,261,Darren Payen made Layup. Assisted by Josh Hearlihy.,13,55
10:34,-1,Charles Correa missed Three Point Jumper.,13,55
10:34,261,Darren Payen Defensive Rebound.,13,55
10:19,261,Darren Payen made Layup.,13,57
10:01,-1,Corey Frost missed Three Point Jumper.,13,57
10:01,-1,Robert Rouelle Offensive Rebound.,13,57
9:56,-1,Robert Rouelle missed Jumper.,13,57
9:56,261,Darren Payen Defensive Rebound.,13,57
9:42,261,Darren Payen Turnover.,13,57
9:42,-1,Alexis Ravelo Steal.,13,57
9:38,-1,Raymond Monroe Turnover.,13,57
9:25,-1,Foul on Corey Frost.,13,57
9:21,261,Dre Wills made Dunk. Assisted by Trae Bell-Haynes.,13,59
9:06,-1,Alexis Ravelo Turnover.,13,59
8:54,261,David Urso made Three Point Jumper. Assisted by Dre Wills.,13,62
8:44,-1,Raymond Monroe missed Three Point Jumper.,13,62
8:44,261,Josh Hearlihy Defensive Rebound.,13,62
8:35,-1,Foul on Dawda Jallow.,13,62
8:35,261,Drew Urquhart missed Free Throw.,13,62
8:35,261,Vermont Deadball Team Rebound.,13,62
8:35,261,Drew Urquhart made Free Throw.,13,63
8:16,-1,Kendrick Mills missed Layup.,13,63
8:16,261,Drew Urquhart Defensive Rebound.,13,63
8:05,261,Ernie Duncan made Three Point Jumper.,13,66
7:49,-1,Jose Berroa missed Layup.,13,66
7:49,261,Drew Urquhart Defensive Rebound.,13,66
7:38,261,Josh Hearlihy missed Jumper.,13,66
7:38,-1,Robert Rouelle Defensive Rebound.,13,66
7:16,-1,Eric Vargas missed Three Point Jumper.,13,66
7:16,261,Josh Hearlihy Defensive Rebound.,13,66
7:01,261,Ernie Duncan made Three Point Jumper. Assisted by Josh Hearlihy.,13,69
6:37,-1,Eric Vargas Turnover.,13,69
6:36,261,Ernie Duncan Steal.,13,69
6:33,261,David Urso missed Three Point Jumper.,13,69
6:33,261,Drew Urquhart Offensive Rebound.,13,69
6:28,-1,Foul on Robert Rouelle.,13,69
6:28,261,Official TV Timeout,13,69
6:28,261,Drew Urquhart missed Free Throw.,13,69
6:28,261,Vermont Deadball Team Rebound.,13,69
6:28,261,Drew Urquhart made Free Throw.,13,70
6:07,-1,Kendrick Mills missed Three Point Jumper.,13,70
6:07,261,Kurt Steidl Defensive Rebound.,13,70
5:44,261,Drew Urquhart missed Jumper.,13,70
5:44,-1,Eric Vargas Defensive Rebound.,13,70
5:28,-1,Eric Vargas missed Three Point Jumper.,13,70
5:28,-1,Kendrick Mills Offensive Rebound.,13,70
5:21,-1,Lyndon St  Timeout,13,70
5:08,-1,Kendrick Mills made Three Point Jumper. Assisted by Eric Vargas.,16,70
4:51,261,Josh Hearlihy Turnover.,16,70
4:28,-1,Foul on Raymond Monroe.,16,70
4:28,-1,Raymond Monroe Turnover.,16,70
3:57,261,Cam Ward missed Three Point Jumper.,16,70
3:57,-1,Robert Rouelle Defensive Rebound.,16,70
3:38,261,Foul on Josh Hearlihy.,16,70
3:38,261,Official TV Timeout,16,70
3:33,-1,Raymond Monroe missed Three Point Jumper.,16,70
3:33,-1,Kendrick Mills Offensive Rebound.,16,70
3:30,-1,Kendrick Mills missed Three Point Jumper.,16,70
3:30,261,Josh Hearlihy Defensive Rebound.,16,70
3:00,261,Darren Payen made Layup. Assisted by Cam Ward.,16,72
2:41,-1,Robert Rouelle made Jumper. Assisted by Raymond Monroe.,18,72
2:15,261,Cam Ward made Three Point Jumper.,18,75
1:51,-1,Robert Rouelle missed Jumper.,18,75
1:51,-1,Alexis Ravelo Offensive Rebound.,18,75
1:38,-1,Raymond Monroe Turnover.,18,75
1:37,261,Kurt Steidl Steal.,18,75
1:21,261,Kurt Steidl made Three Point Jumper. Assisted by Cam Ward.,18,78
1:09,-1,Eric Vargas missed Three Point Jumper.,18,78
1:09,261,Vermont Defensive Rebound.,18,78
0:41,261,David Urso missed Three Point Jumper.,18,78
0:41,261,Darren Payen Offensive Rebound.,18,78
0:38,-1,Foul on Ife Jimmy.,18,78
0:38,261,Darren Payen missed Free Throw.,18,78
0:38,261,Vermont Deadball Team Rebound.,18,78
0:38,261,Darren Payen made Free Throw.,18,79
0:09,-1,Alexis Ravelo made Jumper.,20,79
0:00,261,End of Game,20,79
