Western Kentucky,2057,Belmont,98
5:23,98,Junior Lomomba made Jumper.,34,30
5:03,2057,Nick Smith made Three Point Jumper. Assisted by Taylor Barnette.,34,33
4:37,98,Junior Lomomba Turnover.,34,33
4:36,2057,Taylor Barnette Steal.,34,33
4:33,2057,Taylor Barnette missed Layup.,34,33
4:33,98,Justin Johnson Defensive Rebound.,34,33
4:30,98,Western Kentucky  Timeout,34,33
4:30,2057,Official TV Timeout,34,33
4:11,98,Ben Lawson missed Three Point Jumper.,34,33
4:11,2057,Amanze Egekeze Defensive Rebound.,34,33
3:49,2057,Austin Luke Turnover.,34,33
3:26,98,Ben Lawson missed Jumper.,34,33
3:26,2057,Austin Luke Defensive Rebound.,34,33
3:15,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,34,36
2:58,98,Junior Lomomba missed Jumper.,34,36
2:58,2057,Dylan Windler Defensive Rebound.,34,36
2:54,2057,Austin Luke Turnover.,34,36
2:37,98,Ben Lawson Turnover.,34,36
2:12,2057,Dylan Windler made Dunk.,34,38
2:02,98,Pancake Thomas made Jumper.,36,38
1:51,2057,Amanze Egekeze missed Three Point Jumper.,36,38
1:51,98,Pancake Thomas Defensive Rebound.,36,38
1:36,98,Justin Johnson missed Jumper.,36,38
1:36,98,Justin Johnson Offensive Rebound.,36,38
1:34,98,Justin Johnson made Layup.,38,38
1:17,2057,Amanze Egekeze made Dunk. Assisted by Evan Bradds.,38,40
0:52,98,Junior Lomomba Turnover.,38,40
0:51,2057,Dylan Windler Steal.,38,40
0:47,2057,Taylor Barnette missed Three Point Jumper.,38,40
0:47,98,Ben Lawson Defensive Rebound.,38,40
0:23,2057,Foul on Amanze Egekeze.,38,40
0:23,98,Ben Lawson missed Free Throw.,38,40
0:23,98,Western Kentucky Deadball Team Rebound.,38,40
0:23,98,Ben Lawson made Free Throw.,39,40
0:22,2057,Belmont  Timeout,39,40
0:03,2057,Evan Bradds made Layup.,39,42
0:00,2057,End of 1st half,39,42
19:36,2057,Foul on Amanze Egekeze.,39,42
19:36,2057,Amanze Egekeze Turnover.,39,42
19:24,98,Pancake Thomas missed Three Point Jumper.,39,42
19:24,2057,Evan Bradds Defensive Rebound.,39,42
19:13,2057,Evan Bradds made Layup. Assisted by Austin Luke.,39,44
19:01,98,Justin Johnson made Three Point Jumper. Assisted by Junior Lomomba.,42,44
18:37,2057,Evan Bradds Turnover.,42,44
18:30,2057,Foul on Austin Luke.,42,44
18:26,98,Que Johnson Turnover.,42,44
18:25,2057,Amanze Egekeze Steal.,42,44
18:17,98,Foul on Junior Lomomba.,42,44
18:10,2057,Taylor Barnette missed Three Point Jumper.,42,44
18:10,98,Justin Johnson Defensive Rebound.,42,44
18:03,98,Que Johnson made Layup.,44,44
17:44,2057,Austin Luke made Three Point Jumper. Assisted by Evan Bradds.,44,47
17:24,98,Que Johnson missed Three Point Jumper.,44,47
17:24,2057,Evan Bradds Defensive Rebound.,44,47
17:15,2057,Austin Luke Turnover.,44,47
17:14,98,Que Johnson Steal.,44,47
17:11,98,Que Johnson made Layup.,46,47
16:48,2057,Evan Bradds made Three Point Jumper. Assisted by Austin Luke.,46,50
16:29,98,Justin Johnson made Layup.,48,50
16:29,2057,Foul on Amanze Egekeze.,48,50
16:29,98,Justin Johnson missed Free Throw.,48,50
16:29,2057,Evan Bradds Defensive Rebound.,48,50
16:14,2057,Kevin McClain made Three Point Jumper. Assisted by Evan Bradds.,48,53
15:51,98,Justin Johnson missed Jumper.,48,53
15:51,2057,Michael Benkert Defensive Rebound.,48,53
15:40,2057,Michael Benkert missed Three Point Jumper.,48,53
15:40,98,Justin Johnson Defensive Rebound.,48,53
15:31,98,Pancake Thomas missed Layup.,48,53
15:31,2057,Kevin McClain Defensive Rebound.,48,53
15:30,98,Foul on Pancake Thomas.,48,53
15:24,2057,Nick Smith made Three Point Jumper. Assisted by Taylor Barnette.,48,56
14:59,98,Que Johnson missed Jumper.,48,56
14:59,2057,Evan Bradds Defensive Rebound.,48,56
14:50,2057,Evan Bradds made Layup.,48,58
14:36,98,Western Kentucky  Timeout,48,58
14:36,2057,Official TV Timeout,48,58
14:21,98,Justin Johnson made Layup. Assisted by Que Johnson.,50,58
14:10,98,Foul on Que Johnson.,50,58
14:10,2057,Kevin McClain missed Free Throw.,50,58
14:10,2057,Belmont Deadball Team Rebound.,50,58
14:10,2057,Kevin McClain made Free Throw.,50,59
13:56,98,Junior Lomomba made Layup.,52,59
13:40,2057,Evan Bradds missed Layup.,52,59
13:40,98,Justin Johnson Defensive Rebound.,52,59
13:30,98,Que Johnson missed Jumper.,52,59
13:30,2057,Michael Benkert Defensive Rebound.,52,59
13:13,2057,Evan Bradds missed Layup.,52,59
13:13,98,Anton Waters Block.,52,59
13:11,2057,Evan Bradds Offensive Rebound.,52,59
13:09,2057,Evan Bradds made Layup.,52,61
12:53,98,Justin Johnson missed Three Point Jumper.,52,61
12:53,2057,Michael Benkert Defensive Rebound.,52,61
12:45,98,Foul on Junior Lomomba.,52,61
12:40,2057,Austin Luke missed Three Point Jumper.,52,61
12:40,2057,Amanze Egekeze Offensive Rebound.,52,61
12:31,2057,Tyler Hadden made Three Point Jumper. Assisted by Amanze Egekeze.,52,64
12:16,98,Pancake Thomas missed Three Point Jumper.,52,64
12:16,2057,Dylan Windler Defensive Rebound.,52,64
12:09,2057,Amanze Egekeze missed Three Point Jumper.,52,64
12:09,98,Pancake Thomas Defensive Rebound.,52,64
11:38,98,Pancake Thomas missed Jumper.,52,64
11:38,2057,Austin Luke Defensive Rebound.,52,64
11:29,2057,Dylan Windler Turnover.,52,64
11:27,98,Pancake Thomas Steal.,52,64
11:05,98,Que Johnson missed Jumper.,52,64
11:05,2057,Dylan Windler Block.,52,64
11:03,2057,Dylan Windler Defensive Rebound.,52,64
11:00,2057,Taylor Barnette made Layup. Assisted by Austin Luke.,52,66
10:35,98,Que Johnson missed Jumper.,52,66
10:35,98,Anton Waters Offensive Rebound.,52,66
10:32,98,Anton Waters missed Layup.,52,66
10:32,2057,Tyler Hadden Block.,52,66
10:29,98,Que Johnson Offensive Rebound.,52,66
10:20,2057,Foul on Tyler Hadden.,52,66
10:20,2057,Official TV Timeout,52,66
10:20,98,Anton Waters made Free Throw.,53,66
10:20,98,Anton Waters made Free Throw.,54,66
10:03,2057,Austin Luke Turnover.,54,66
10:03,98,Tobias Howard Steal.,54,66
10:01,2057,Foul on Evan Bradds.,54,66
10:01,98,Pancake Thomas made Free Throw.,55,66
10:01,98,Pancake Thomas made Free Throw.,56,66
9:46,2057,Nick Smith made Three Point Jumper. Assisted by Taylor Barnette.,56,69
9:20,98,Ben Lawson made Jumper.,58,69
8:57,2057,Austin Luke Turnover.,58,69
8:56,98,Pancake Thomas Steal.,58,69
8:29,98,Damari Parris missed Three Point Jumper.,58,69
8:29,98,Tobias Howard Offensive Rebound.,58,69
8:10,98,Anton Waters missed Layup.,58,69
8:10,2057,Taylor Barnette Defensive Rebound.,58,69
8:09,98,Foul on Damari Parris.,58,69
7:55,2057,Nick Smith made Three Point Jumper. Assisted by Taylor Barnette.,58,72
7:41,98,Damari Parris made Jumper.,60,72
7:30,2057,Nick Smith made Three Point Jumper. Assisted by Kevin McClain.,60,75
7:13,2057,Foul on Nick Smith.,60,75
7:13,2057,Official TV Timeout,60,75
7:06,98,Que Johnson missed Jumper.,60,75
7:06,2057,Evan Bradds Defensive Rebound.,60,75
6:35,2057,Evan Bradds made Dunk. Assisted by Taylor Barnette.,60,77
6:20,98,Justin Johnson made Three Point Jumper. Assisted by Pancake Thomas.,63,77
6:06,2057,Nick Smith missed Three Point Jumper.,63,77
6:06,98,Ben Lawson Defensive Rebound.,63,77
5:58,98,Pancake Thomas Turnover.,63,77
5:57,2057,Kevin McClain Steal.,63,77
5:53,2057,Taylor Barnette made Layup. Assisted by Kevin McClain.,63,79
5:25,98,Junior Lomomba missed Three Point Jumper.,63,79
5:25,2057,Evan Bradds Defensive Rebound.,63,79
5:10,2057,Kevin McClain missed Three Point Jumper.,63,79
5:10,98,Ben Lawson Defensive Rebound.,63,79
5:03,98,Que Johnson Turnover.,63,79
4:39,2057,Evan Bradds made Layup.,63,81
4:30,98,Justin Johnson Turnover.,63,81
4:19,2057,Evan Bradds made Layup. Assisted by Austin Luke.,63,83
4:06,98,Damari Parris made Jumper.,65,83
3:47,2057,Burton Sampson Turnover.,65,83
3:47,2057,Official TV Timeout,65,83
3:37,98,Junior Lomomba missed Jumper.,65,83
3:37,2057,Evan Bradds Defensive Rebound.,65,83
3:19,98,Foul on Justin Johnson.,65,83
3:19,2057,Evan Bradds missed Free Throw.,65,83
3:19,2057,Belmont Deadball Team Rebound.,65,83
3:19,2057,Evan Bradds made Free Throw.,65,84
3:09,98,Junior Lomomba made Jumper.,67,84
2:43,2057,Taylor Barnette missed Three Point Jumper.,67,84
2:43,98,Justin Johnson Defensive Rebound.,67,84
2:37,98,Que Johnson made Dunk. Assisted by Justin Johnson.,69,84
2:00,2057,Dylan Windler made Layup.,69,86
1:52,2057,Foul on Evan Bradds.,69,86
1:52,98,Junior Lomomba missed Free Throw.,69,86
1:52,2057,Evan Bradds Defensive Rebound.,69,86
1:36,2057,Evan Bradds missed Layup.,69,86
1:36,98,Justin Johnson Block.,69,86
1:35,98,Pancake Thomas Defensive Rebound.,69,86
1:32,98,Que Johnson Turnover.,69,86
1:31,2057,Austin Luke Steal.,69,86
1:29,2057,Dylan Windler made Dunk. Assisted by Austin Luke.,69,88
1:15,98,Junior Lomomba missed Jumper.,69,88
1:15,2057,Evan Bradds Defensive Rebound.,69,88
1:09,2057,Belmont  Timeout,69,88
0:49,2057,Austin Luke made Layup.,69,90
0:26,98,Damari Parris missed Jumper.,69,90
0:26,2057,Dylan Windler Defensive Rebound.,69,90
0:00,2057,End of Game,69,90
