Eastern Michigan,85,IUPUI,2199
11:39,85,Josh James Defensive Rebound.,16,14
11:31,85,T.J. Henderson Turnover.,16,14
11:31,2199,Baylee Steele Steal.,16,14
11:30,85,Foul on Josh James.,16,14
11:18,2199,Willie Mangum IV missed Jumper.,16,14
11:18,85,Ron Patterson Defensive Rebound.,16,14
10:59,85,Aaron Brennan missed Jumper.,16,14
10:59,85,Aaron Brennan Offensive Rebound.,16,14
10:55,85,Aaron Brennan missed Layup.,16,14
10:55,2199,Tim Bond Block.,16,14
10:55,2199,Eastern Michigan Defensive Rebound.,16,14
10:43,2199,Ty Toney missed Jumper.,16,14
10:43,85,Aaron Brennan Defensive Rebound.,16,14
10:29,85,Ron Patterson Turnover.,16,14
10:27,2199,Ty Toney Steal.,16,14
10:24,2199,Ty Toney Turnover.,16,14
10:01,85,Kellon Thomas missed Jumper.,16,14
10:01,2199,Ray Lee Defensive Rebound.,16,14
9:39,2199,Baylee Steele missed Jumper.,16,14
9:39,85,Kellon Thomas Defensive Rebound.,16,14
9:33,85,T.J. Henderson missed Three Point Jumper.,16,14
9:31,85,Evan Hall Offensive Rebound.,16,14
9:30,2199,Foul on Baylee Steele.,16,14
9:27,85,Kellon Thomas missed Three Point Jumper.,16,14
9:27,2199,Lamar Wofford-Humphrey Defensive Rebound.,16,14
9:12,2199,Tim Bond made Jumper. Assisted by Ray Lee.,18,14
9:11,2199,Foul on Lamar Wofford-Humphrey.,18,14
8:57,85,Foul on Aaron Brennan.,18,14
8:57,85,Aaron Brennan Turnover.,18,14
8:33,2199,Ray Lee missed Dunk.,18,14
8:32,85,Matt O'Leary Defensive Rebound.,18,14
8:26,2199,Foul on Baylee Steele.,18,14
8:26,85,Darell Combs made Free Throw.,18,15
8:26,85,Darell Combs missed Free Throw.,18,15
8:26,2199,Nick Madray Defensive Rebound.,18,15
8:17,2199,Ray Lee missed Three Point Jumper.,18,15
8:17,85,Ron Patterson Defensive Rebound.,18,15
8:09,85,Kellon Thomas Turnover.,18,15
8:08,2199,Tim Bond Steal.,18,15
8:05,2199,Tim Bond Turnover.,18,15
8:04,85,Ron Patterson Steal.,18,15
7:58,85,Darell Combs missed Jumper.,18,15
7:58,85,Evan Hall Offensive Rebound.,18,15
7:52,85,Evan Hall Turnover.,18,15
7:52,2199,Jordan Nobles Steal.,18,15
7:52,85,Official TV Timeout,18,15
7:43,2199,Jordan Nobles Turnover.,18,15
7:19,85,Darell Combs missed Jumper.,18,15
7:18,2199,Nick Madray Defensive Rebound.,18,15
6:58,2199,Willie Mangum IV Turnover.,18,15
6:57,85,Kellon Thomas Steal.,18,15
6:56,2199,Foul on Nick Madray.,18,15
6:56,85,Kellon Thomas missed Free Throw.,18,15
6:56,2199,Jordan Nobles Defensive Rebound.,18,15
6:33,2199,Jordan Nobles missed Jumper.,18,15
6:31,85,Evan Hall Defensive Rebound.,18,15
6:24,85,Ron Patterson made Three Point Jumper. Assisted by Darell Combs.,18,18
6:03,2199,Willie Mangum IV made Jumper.,20,18
5:52,85,Matt O'Leary made Layup. Assisted by Ron Patterson.,20,20
5:37,2199,Willie Mangum IV missed Three Point Jumper.,20,20
5:37,85,Evan Hall Defensive Rebound.,20,20
5:31,85,Ron Patterson made Three Point Jumper. Assisted by Kellon Thomas.,20,23
5:21,2199,Eastern Michigan  Timeout,20,23
4:59,2199,Ty Toney missed Jumper.,20,23
4:58,85,Evan Hall Defensive Rebound.,20,23
4:49,85,Darell Combs Turnover.,20,23
4:49,2199,Nick Madray Steal.,20,23
4:34,2199,Jordan Nobles missed Three Point Jumper.,20,23
4:34,2199,Nick Madray Offensive Rebound.,20,23
4:29,2199,Nick Madray missed Layup.,20,23
4:28,85,Matt O'Leary Defensive Rebound.,20,23
4:27,2199,Foul on Nick Madray.,20,23
4:27,85,Matt O'Leary made Free Throw.,20,24
4:27,85,Matt O'Leary made Free Throw.,20,25
4:08,2199,Tim Bond Turnover.,20,25
4:07,85,Aaron Brennan Steal.,20,25
4:01,85,Matt O'Leary made Layup. Assisted by Kellon Thomas.,20,27
3:44,2199,Jordan Nobles missed Jumper.,20,27
3:44,85,Matt O'Leary Defensive Rebound.,20,27
3:36,85,Ron Patterson missed Three Point Jumper.,20,27
3:36,2199,Lamar Wofford-Humphrey Defensive Rebound.,20,27
3:07,2199,Ty Toney missed Jumper.,20,27
3:07,85,Matt O'Leary Defensive Rebound.,20,27
3:02,85,IUPUI  Timeout,20,27
3:02,85,Official TV Timeout,20,27
2:41,85,Ron Patterson Turnover.,20,27
2:40,2199,Ty Toney Steal.,20,27
2:34,2199,Ray Lee Turnover.,20,27
2:24,85,Matt O'Leary made Three Point Jumper. Assisted by Kellon Thomas.,20,30
2:07,2199,Ray Lee missed Jumper.,20,30
2:07,2199,Ray Lee Offensive Rebound.,20,30
2:02,2199,Ray Lee missed Layup.,20,30
2:02,2199,Lamar Wofford-Humphrey Offensive Rebound.,20,30
1:59,2199,Lamar Wofford-Humphrey missed Two Point Tip Shot.,20,30
1:59,2199,Jordan Nobles Offensive Rebound.,20,30
1:56,2199,Jordan Nobles missed Jumper.,20,30
1:56,85,Matt O'Leary Defensive Rebound.,20,30
1:29,85,Aaron Brennan made Layup. Assisted by Darell Combs.,20,32
1:16,2199,Tim Bond missed Three Point Jumper.,20,32
1:16,2199,Lamar Wofford-Humphrey Offensive Rebound.,20,32
1:11,2199,Lamar Wofford-Humphrey Turnover.,20,32
1:09,85,Kellon Thomas Steal.,20,32
0:47,2199,Foul on Lamar Wofford-Humphrey.,20,32
0:47,85,Aaron Brennan made Free Throw.,20,33
0:47,85,Aaron Brennan missed Free Throw.,20,33
0:47,2199,Willie Mangum IV Defensive Rebound.,20,33
0:38,2199,Willie Mangum IV Turnover.,20,33
0:38,85,Ron Patterson Steal.,20,33
0:14,85,Kellon Thomas made Three Point Jumper. Assisted by Darell Combs.,20,36
0:02,2199,Quaran Jones made Layup.,22,36
0:00,85,End of 1st half,22,36
19:31,85,Foul on Evan Hall.,22,36
19:30,2199,Ty Toney made Layup. Assisted by Tim Bond.,24,36
19:02,85,Kellon Thomas made Three Point Jumper. Assisted by Evan Hall.,24,39
18:49,2199,Ty Toney made Layup.,26,39
18:35,85,Ron Patterson missed Three Point Jumper.,26,39
18:34,2199,James Thompson IV Defensive Rebound.,26,39
18:18,2199,Nick Madray missed Jumper.,26,39
18:17,85,Matt O'Leary Defensive Rebound.,26,39
18:11,2199,Foul on Tim Bond.,26,39
18:11,85,Evan Hall missed Free Throw.,26,39
18:11,85,IUPUI Deadball Team Rebound.,26,39
18:11,85,Evan Hall made Free Throw.,26,40
18:02,2199,Ray Lee made Jumper.,28,40
17:39,85,Ron Patterson missed Layup.,28,40
17:38,85,Evan Hall Offensive Rebound.,28,40
17:36,85,Evan Hall made Layup.,28,42
17:26,2199,Baylee Steele missed Layup.,28,42
17:25,85,Evan Hall Defensive Rebound.,28,42
17:20,85,Evan Hall made Layup.,28,44
17:18,2199,Foul on Baylee Steele.,28,44
17:18,85,Evan Hall made Free Throw.,28,45
17:03,2199,Ray Lee made Three Point Jumper. Assisted by Tim Bond.,31,45
16:43,85,Ron Patterson missed Three Point Jumper.,31,45
16:42,85,Evan Hall Offensive Rebound.,31,45
16:38,85,Matt O'Leary made Layup. Assisted by Evan Hall.,31,47
16:25,2199,Ray Lee missed Jumper.,31,47
16:24,85,Evan Hall Defensive Rebound.,31,47
16:13,85,Ron Patterson made Layup. Assisted by Darell Combs.,31,49
15:58,2199,James Thompson IV missed Layup.,31,49
15:57,2199,James Thompson IV Offensive Rebound.,31,49
15:52,2199,Ray Lee missed Three Point Jumper.,31,49
15:51,2199,Nick Madray Offensive Rebound.,31,49
15:50,85,Foul on Evan Hall.,31,49
15:50,85,Official TV Timeout,31,49
15:26,2199,Nick Madray made Jumper.,33,49
14:59,2199,Foul on Willie Mangum IV.,33,49
14:53,85,Josh James missed Dunk.,33,49
14:53,2199,James Thompson IV Block.,33,49
14:52,85,IUPUI Offensive Rebound.,33,49
14:40,2199,Foul on Ray Lee.,33,49
14:29,2199,Foul on James Thompson IV.,33,49
14:14,85,Darell Combs missed Jumper.,33,49
14:10,85,IUPUI Offensive Rebound.,33,49
14:08,85,Josh James made Layup. Assisted by Kellon Thomas.,33,51
13:49,85,Foul on D.J. McCall.,33,51
13:49,2199,Ray Lee made Free Throw.,34,51
13:49,2199,Ray Lee made Free Throw.,35,51
13:34,2199,Foul on Nick Madray.,35,51
13:34,85,D.J. McCall made Free Throw.,35,52
13:34,85,D.J. McCall missed Free Throw.,35,52
13:34,85,Josh James Offensive Rebound.,35,52
13:29,85,D.J. McCall missed Layup.,35,52
13:29,2199,James Thompson IV Defensive Rebound.,35,52
13:14,2199,Nick Madray Turnover.,35,52
13:08,85,T.J. Henderson Turnover.,35,52
13:07,2199,Willie Mangum IV Steal.,35,52
13:05,2199,Willie Mangum IV made Layup.,37,52
12:32,85,D.J. McCall made Layup. Assisted by Darell Combs.,37,54
12:23,2199,Willie Mangum IV made Three Point Jumper.,40,54
12:08,85,Josh James missed Layup.,40,54
12:07,2199,Nick Madray Block.,40,54
12:06,85,D.J. McCall Offensive Rebound.,40,54
12:05,85,D.J. McCall made Layup.,40,56
11:54,2199,Willie Mangum IV missed Jumper.,40,56
11:54,85,D.J. McCall Defensive Rebound.,40,56
11:29,85,Aaron Brennan missed Three Point Jumper.,40,56
11:28,2199,Tim Bond Defensive Rebound.,40,56
11:21,2199,Tim Bond missed Layup.,40,56
11:20,85,Josh James Defensive Rebound.,40,56
11:00,85,D.J. McCall missed Layup.,40,56
10:59,85,Aaron Brennan Offensive Rebound.,40,56
10:58,85,Aaron Brennan made Two Point Tip Shot.,40,58
10:40,85,Foul on Darell Combs.,40,58
10:40,85,Official TV Timeout,40,58
10:40,2199,Ty Toney made Free Throw.,41,58
10:40,2199,Ty Toney made Free Throw.,42,58
10:12,85,Evan Hall made Dunk. Assisted by Matt O'Leary.,42,60
10:12,2199,Foul on Jordan Nobles.,42,60
10:12,85,Evan Hall made Free Throw.,42,61
10:07,2199,Ty Toney missed Jumper.,42,61
10:06,85,Matt O'Leary Defensive Rebound.,42,61
9:42,85,Kellon Thomas Turnover.,42,61
9:41,2199,James Thompson IV Steal.,42,61
9:31,85,Foul on Matt O'Leary.,42,61
9:20,2199,Tim Bond missed Three Point Jumper.,42,61
9:19,85,D.J. McCall Defensive Rebound.,42,61
9:00,2199,Foul on Lamar Wofford-Humphrey.,42,61
9:00,85,Evan Hall missed Free Throw.,42,61
9:00,85,IUPUI Deadball Team Rebound.,42,61
9:00,85,Evan Hall made Free Throw.,42,62
8:42,85,Foul on D.J. McCall.,42,62
8:40,2199,Willie Mangum IV missed Three Point Jumper.,42,62
8:39,2199,James Thompson IV Offensive Rebound.,42,62
8:33,2199,Tim Bond missed Three Point Jumper.,42,62
8:32,2199,Lamar Wofford-Humphrey Offensive Rebound.,42,62
8:29,2199,Lamar Wofford-Humphrey Turnover.,42,62
8:29,85,Matt O'Leary Steal.,42,62
8:18,85,Kellon Thomas missed Layup.,42,62
8:13,85,Evan Hall Offensive Rebound.,42,62
8:12,85,Evan Hall made Layup.,42,64
7:57,85,Foul on Evan Hall.,42,64
7:57,85,Official TV Timeout,42,64
7:57,2199,James Thompson IV made Free Throw.,43,64
7:57,2199,James Thompson IV made Free Throw.,44,64
7:48,85,Foul on Kellon Thomas.,44,64
7:48,85,Kellon Thomas Turnover.,44,64
7:42,2199,Willie Mangum IV missed Layup.,44,64
7:41,85,Ron Patterson Defensive Rebound.,44,64
7:12,85,Aaron Brennan made Layup. Assisted by Matt O'Leary.,44,66
6:47,2199,Tim Bond made Jumper.,46,66
6:16,85,IUPUI  Turnover.,46,66
6:11,2199,Willie Mangum IV missed Three Point Jumper.,46,66
6:09,85,IUPUI Defensive Rebound.,46,66
6:00,85,Kellon Thomas Turnover.,46,66
5:55,2199,Willie Mangum IV Steal.,46,66
5:55,2199,Willie Mangum IV made Layup. Assisted by Ray Lee.,48,66
5:55,85,IUPUI  Timeout,48,66
5:55,85,Official TV Timeout,48,66
5:43,85,Darell Combs missed Layup.,48,66
5:42,85,Aaron Brennan Offensive Rebound.,48,66
5:41,85,Aaron Brennan made Two Point Tip Shot.,48,68
5:35,2199,Ray Lee missed Three Point Jumper.,48,68
5:34,2199,James Thompson IV Offensive Rebound.,48,68
5:30,2199,Ty Toney missed Three Point Jumper.,48,68
5:29,85,Matt O'Leary Defensive Rebound.,48,68
5:23,85,Darell Combs Turnover.,48,68
5:22,2199,Willie Mangum IV Steal.,48,68
5:21,2199,Ray Lee made Dunk. Assisted by Willie Mangum IV.,50,68
5:14,2199,Foul on Tim Bond.,50,68
5:14,85,Kellon Thomas made Free Throw.,50,69
5:14,85,Kellon Thomas made Free Throw.,50,70
5:07,85,Foul on Darell Combs.,50,70
5:07,2199,Tim Bond made Free Throw.,51,70
5:07,2199,Tim Bond made Free Throw.,52,70
4:58,85,Aaron Brennan missed Layup.,52,70
4:58,2199,Tim Bond Block.,52,70
4:55,2199,Tim Bond Defensive Rebound.,52,70
4:53,2199,Ty Toney made Layup.,54,70
4:35,2199,Foul on Ray Lee.,54,70
4:35,85,Kellon Thomas made Free Throw.,54,71
4:35,85,Kellon Thomas made Free Throw.,54,72
4:27,2199,Ray Lee missed Jumper.,54,72
4:26,2199,James Thompson IV Offensive Rebound.,54,72
4:25,2199,James Thompson IV made Two Point Tip Shot.,56,72
3:59,85,Darell Combs missed Three Point Jumper.,56,72
3:56,85,IUPUI Offensive Rebound.,56,72
3:56,85,Official TV Timeout,56,72
3:39,85,Kellon Thomas missed Jumper.,56,72
3:38,85,Aaron Brennan Offensive Rebound.,56,72
3:35,85,Aaron Brennan made Two Point Tip Shot.,56,74
3:31,85,Foul on Kellon Thomas.,56,74
3:31,2199,James Thompson IV made Free Throw.,57,74
3:31,2199,James Thompson IV made Free Throw.,58,74
3:24,85,Darell Combs missed Jumper.,58,74
3:22,2199,James Thompson IV Defensive Rebound.,58,74
3:22,85,Foul on Darell Combs.,58,74
3:22,2199,James Thompson IV missed Free Throw.,58,74
3:22,2199,Eastern Michigan Deadball Team Rebound.,58,74
3:22,2199,James Thompson IV missed Free Throw.,58,74
3:22,85,Matt O'Leary Defensive Rebound.,58,74
2:57,85,Kellon Thomas missed Jumper.,58,74
2:57,2199,James Thompson IV Defensive Rebound.,58,74
2:51,2199,Ray Lee made Layup.,60,74
2:25,85,Kellon Thomas made Jumper. Assisted by Darell Combs.,60,76
2:10,85,Foul on Kellon Thomas.,60,76
2:10,2199,Ray Lee made Free Throw.,61,76
2:10,2199,Ray Lee made Free Throw.,62,76
2:02,2199,Foul on Willie Mangum IV.,62,76
2:02,85,Kellon Thomas made Free Throw.,62,77
2:02,85,Kellon Thomas made Free Throw.,62,78
1:57,2199,Ray Lee made Three Point Jumper.,65,78
1:56,2199,Eastern Michigan  Timeout,65,78
1:56,2199,Foul on Ray Lee.,65,78
1:56,85,Darell Combs made Free Throw.,65,79
1:56,85,Darell Combs made Free Throw.,65,80
1:51,2199,Willie Mangum IV made Jumper.,67,80
1:26,85,Ron Patterson made Three Point Jumper. Assisted by Kellon Thomas.,67,83
1:18,2199,Willie Mangum IV missed Three Point Jumper.,67,83
1:17,2199,Jordan Nobles Offensive Rebound.,67,83
1:15,85,Foul on Matt O'Leary.,67,83
1:15,2199,Jordan Nobles missed Free Throw.,67,83
1:15,2199,Eastern Michigan Deadball Team Rebound.,67,83
1:15,2199,Jordan Nobles missed Free Throw.,67,83
1:15,85,Ron Patterson Defensive Rebound.,67,83
0:48,85,Darell Combs missed Three Point Jumper.,67,83
0:48,2199,Jordan Nobles Defensive Rebound.,67,83
0:41,85,Foul on Darell Combs.,67,83
0:41,2199,Ray Lee made Free Throw.,68,83
0:41,2199,Ray Lee made Free Throw.,69,83
0:41,2199,Technical Foul on Eastern Michigan.,69,83
0:41,85,Ron Patterson missed Free Throw.,69,83
0:41,85,IUPUI Deadball Team Rebound.,69,83
0:15,85,Ron Patterson missed Three Point Jumper.,69,83
0:15,2199,Ty Toney Defensive Rebound.,69,83
0:06,2199,Ty Toney made Layup.,71,83
0:00,85,End of Game,71,83
