Pacific,300,UC Irvine,279
3:24,300,Jaron Martin Turnover.,55,60
3:20,279,T.J. Wallace missed Layup.,55,60
3:20,300,Brandon Smith Block.,55,60
3:19,300,John Edgar Jr. Defensive Rebound.,55,60
3:17,300,Foul on Jonathan Galloway.,55,60
3:17,279,Jacob Lampkin made Free Throw.,56,60
3:17,279,Jacob Lampkin made Free Throw.,57,60
2:57,300,Ioannis Dimakopoulos made Three Point Jumper. Assisted by Brandon Smith.,57,63
2:34,279,Ray Bowles Turnover.,57,63
2:34,300,Brandon Smith Steal.,57,63
2:17,300,Tommy Rutherford missed Layup.,57,63
2:17,279,T.J. Wallace Defensive Rebound.,57,63
2:10,279,T.J. Wallace missed Layup.,57,63
2:10,300,Tommy Rutherford Block.,57,63
2:09,279,Jacob Lampkin Offensive Rebound.,57,63
2:06,279,Jacob Lampkin made Layup.,59,63
1:46,300,Ioannis Dimakopoulos made Layup. Assisted by Jaron Martin.,59,65
1:38,279,David Taylor Turnover.,59,65
1:13,279,Foul on Jacob Lampkin.,59,65
1:13,300,Ioannis Dimakopoulos made Free Throw.,59,66
1:13,300,Ioannis Dimakopoulos missed Free Throw.,59,66
1:13,300,Tommy Rutherford Offensive Rebound.,59,66
1:09,279,Foul on Sami Eleraky.,59,66
1:09,300,Official TV Timeout,59,66
1:09,300,Tommy Rutherford made Free Throw.,59,67
1:09,300,Tommy Rutherford made Free Throw.,59,68
1:02,300,Foul on Jaron Martin.,59,68
1:02,279,David Taylor made Free Throw.,60,68
1:02,279,David Taylor made Free Throw.,61,68
1:02,279,David Taylor made Free Throw.,62,68
0:43,300,Eyassu Worku missed Three Point Jumper.,62,68
0:43,300,Brandon Smith Offensive Rebound.,62,68
0:35,300,Tommy Rutherford Turnover.,62,68
0:27,279,T.J. Wallace missed Three Point Jumper.,62,68
0:27,300,Jaron Martin Defensive Rebound.,62,68
0:22,279,Foul on David Taylor.,62,68
0:22,300,Jaron Martin made Free Throw.,62,69
0:22,300,Jaron Martin made Free Throw.,62,70
0:18,279,David Taylor missed Three Point Jumper.,62,70
0:18,300,UC Irvine Defensive Rebound.,62,70
0:10,279,Foul on D.J. Ursery.,62,70
0:10,300,Jaron Martin made Free Throw.,62,71
0:10,300,Jaron Martin made Free Throw.,62,72
0:09,279,T.J. Wallace missed Layup.,62,72
0:09,279,Jack Williams Offensive Rebound.,62,72
0:04,279,David Taylor made Three Point Jumper. Assisted by Jack Williams.,65,72
0:04,279,Pacific  Timeout,65,72
0:00,300,End of Game,65,72
