Grambling,2507,Providence,2755
11:51,2507,Isaiah Jackson Defensive Rebound.,10,8
11:43,2507,Kalif Young missed Layup.,10,8
11:43,2755,Averyl Ugba Block.,10,8
11:42,2507,Providence Offensive Rebound.,10,8
11:42,2507,Providence  Timeout,10,8
11:23,2507,Emmitt Holt Turnover.,10,8
11:23,2755,Diontae Jones Steal.,10,8
11:23,2755,Diontae Jones Turnover.,10,8
11:06,2755,Foul on Marcel Thompson.,10,8
10:52,2507,Jalen Lindsey made Jumper.,10,10
10:40,2755,Ivy Smith Jr. Turnover.,10,10
10:25,2507,Kyron Cartwright missed Layup.,10,10
10:25,2755,Marcel Thompson Defensive Rebound.,10,10
10:19,2755,Marcel Thompson Turnover.,10,10
9:49,2507,Kalif Young Turnover.,10,10
9:49,2507,Foul on Kalif Young.,10,10
9:31,2755,Diontae Jones made Layup.,12,10
9:15,2507,Jalen Lindsey made Three Point Jumper. Assisted by Alpha Diallo.,12,13
8:58,2755,Diontae Jones missed Jumper.,12,13
8:58,2507,Jalen Lindsey Defensive Rebound.,12,13
8:54,2755,Foul on Ervin Mitchell.,12,13
8:39,2507,Rodney Bullock made Jumper. Assisted by Emmitt Holt.,12,15
8:14,2755,Deonte Hearns made Layup.,14,15
7:55,2507,Alpha Diallo missed Jumper.,14,15
7:55,2755,Averyl Ugba Defensive Rebound.,14,15
7:54,2755,Grambling  Timeout,14,15
7:54,2755,Grambling  Timeout,14,15
7:31,2755,Deonte Hearns missed Layup.,14,15
7:31,2507,Emmitt Holt Block.,14,15
7:29,2755,Deonte Hearns Offensive Rebound.,14,15
7:26,2755,Deonte Hearns made Layup.,16,15
7:17,2507,Emmitt Holt made Layup.,16,17
6:56,2755,Averyl Ugba missed Jumper.,16,17
6:56,2507,Alpha Diallo Defensive Rebound.,16,17
6:44,2507,Emmitt Holt missed Layup.,16,17
6:44,2755,Averyl Ugba Block.,16,17
6:42,2755,Chase Cormier Defensive Rebound.,16,17
6:35,2755,Averyl Ugba made Layup.,18,17
6:13,2507,Kyron Cartwright made Three Point Jumper. Assisted by Emmitt Holt.,18,20
5:38,2755,Remond Brown missed Jumper.,18,20
5:38,2507,Ryan Fazekas Defensive Rebound.,18,20
5:34,2755,Foul on Deonte Hearns.,18,20
5:12,2507,Rodney Bullock made Layup.,18,22
4:59,2755,Remond Brown made Jumper.,20,22
4:47,2507,Emmitt Holt made Layup. Assisted by Kyron Cartwright.,20,24
4:35,2755,Grambling  Timeout,20,24
4:20,2755,Noah Cummings made Layup.,22,24
3:54,2507,Emmitt Holt missed Three Point Jumper.,22,24
3:54,2507,Alpha Diallo Offensive Rebound.,22,24
3:51,2507,Alpha Diallo missed Layup.,22,24
3:51,2755,Noah Cummings Block.,22,24
3:51,2507,Rodney Bullock Offensive Rebound.,22,24
3:51,2507,Rodney Bullock made Dunk.,22,26
3:51,2755,Foul on Diontae Jones.,22,26
3:51,2507,Providence  Timeout,22,26
3:51,2507,Rodney Bullock made Free Throw.,22,27
3:30,2755,Remond Brown Turnover.,22,27
3:17,2507,Emmitt Holt made Jumper. Assisted by Kyron Cartwright.,22,29
2:44,2755,Diontae Jones missed Jumper.,22,29
2:44,2507,Rodney Bullock Block.,22,29
2:41,2507,Isaiah Jackson Defensive Rebound.,22,29
2:34,2507,Isaiah Jackson made Three Point Jumper. Assisted by Maliek White.,22,32
2:15,2755,Ervin Mitchell missed Jumper.,22,32
2:15,2507,Emmitt Holt Defensive Rebound.,22,32
2:11,2755,Foul on Diontae Jones.,22,32
2:11,2507,Emmitt Holt made Free Throw.,22,33
2:11,2507,Emmitt Holt made Free Throw.,22,34
2:06,2507,Foul on Rodney Bullock.,22,34
2:06,2755,Diontae Jones missed Free Throw.,22,34
2:06,2755,Grambling Deadball Team Rebound.,22,34
2:06,2755,Diontae Jones made Free Throw.,23,34
1:49,2507,Isaiah Jackson missed Layup.,23,34
1:49,2755,Remond Brown Defensive Rebound.,23,34
1:44,2755,Remond Brown Turnover.,23,34
1:44,2755,Foul on Remond Brown.,23,34
1:33,2507,Rodney Bullock made Dunk. Assisted by Maliek White.,23,36
1:19,2755,Remond Brown Turnover.,23,36
0:55,2507,Isaiah Jackson Turnover.,23,36
0:54,2755,Ervin Mitchell Steal.,23,36
0:48,2755,Ervin Mitchell made Layup.,25,36
0:19,2507,Isaiah Jackson made Three Point Jumper. Assisted by Kyron Cartwright.,25,39
0:06,2507,Foul on Isaiah Jackson.,25,39
0:06,2755,Ervin Mitchell made Free Throw.,26,39
0:06,2755,Ervin Mitchell missed Free Throw.,26,39
0:06,2507,Jalen Lindsey Defensive Rebound.,26,39
0:06,2507,Providence  Timeout,26,39
0:02,2507,Maliek White missed Three Point Jumper.,26,39
0:01,2755,Xairius Larry Defensive Rebound.,26,39
0:00,2507,End of 1st half,26,39
19:37,2755,Remond Brown Turnover.,26,39
19:36,2507,Emmitt Holt Steal.,26,39
19:31,2507,Ryan Fazekas made Three Point Jumper.,26,42
19:00,2755,Ervin Mitchell Turnover.,26,42
18:59,2507,Emmitt Holt Steal.,26,42
18:56,2507,Ryan Fazekas missed Three Point Jumper.,26,42
18:56,2507,Jalen Lindsey Offensive Rebound.,26,42
18:48,2507,Jalen Lindsey made Layup.,26,44
18:30,2507,Foul on Rodney Bullock.,26,44
18:22,2755,Ervin Mitchell missed Jumper.,26,44
18:22,2507,Rodney Bullock Defensive Rebound.,26,44
18:15,2507,Jalen Lindsey made Three Point Jumper. Assisted by Kyron Cartwright.,26,47
17:54,2507,Foul on Kyron Cartwright.,26,47
17:40,2755,Ervin Mitchell made Layup.,28,47
17:36,2507,Emmitt Holt missed Layup.,28,47
17:36,2755,Remond Brown Defensive Rebound.,28,47
17:30,2755,Ervin Mitchell made Three Point Jumper. Assisted by Chase Cormier.,31,47
17:00,2507,Emmitt Holt made Layup. Assisted by Rodney Bullock.,31,49
16:50,2755,Ervin Mitchell Turnover.,31,49
16:49,2507,Rodney Bullock Steal.,31,49
16:44,2507,Jalen Lindsey missed Dunk.,31,49
16:44,2755,Chase Cormier Defensive Rebound.,31,49
16:40,2507,Foul on Kyron Cartwright.,31,49
16:40,2755,Deonte Hearns made Free Throw.,32,49
16:40,2755,Deonte Hearns made Free Throw.,33,49
16:16,2507,Ryan Fazekas missed Three Point Jumper.,33,49
16:16,2507,Jalen Lindsey Offensive Rebound.,33,49
16:11,2507,Jalen Lindsey missed Jumper.,33,49
16:11,2755,Grambling Defensive Rebound.,33,49
15:58,2755,Remond Brown missed Jumper.,33,49
15:58,2755,Grambling Offensive Rebound.,33,49
15:58,2755,Grambling  Timeout,33,49
15:42,2755,Remond Brown made Jumper.,35,49
15:13,2507,Kyron Cartwright Turnover.,35,49
15:11,2755,Deonte Hearns Steal.,35,49
14:46,2507,Foul on Rodney Bullock.,35,49
14:46,2755,Remond Brown made Free Throw.,36,49
14:46,2755,Remond Brown missed Free Throw.,36,49
14:46,2507,Jalen Lindsey Defensive Rebound.,36,49
14:24,2755,Foul on Diontae Jones.,36,49
14:24,2507,Emmitt Holt made Free Throw.,36,50
14:24,2507,Emmitt Holt missed Free Throw.,36,50
14:24,2755,Ervin Mitchell Defensive Rebound.,36,50
14:09,2755,Diontae Jones Turnover.,36,50
14:09,2507,Providence  Timeout,36,50
13:51,2507,Maliek White missed Three Point Jumper.,36,50
13:51,2755,Ervin Mitchell Defensive Rebound.,36,50
13:39,2755,Deonte Hearns Turnover.,36,50
13:39,2755,Foul on Deonte Hearns.,36,50
13:19,2507,Kalif Young Turnover.,36,50
13:18,2755,Deonte Hearns Steal.,36,50
13:15,2755,Ervin Mitchell Turnover.,36,50
13:15,2755,Foul on Ervin Mitchell.,36,50
12:53,2507,Maliek White missed Layup.,36,50
12:53,2755,Deonte Hearns Defensive Rebound.,36,50
12:23,2755,Ervin Mitchell made Layup.,38,50
12:13,2507,Kyron Cartwright Turnover.,38,50
12:13,2507,Foul on Kyron Cartwright.,38,50
12:02,2755,Averyl Ugba made Layup. Assisted by Diontae Jones.,40,50
11:52,2507,Rodney Bullock Turnover.,40,50
11:49,2755,Grambling  Timeout,40,50
11:32,2755,Ervin Mitchell missed Layup.,40,50
11:32,2507,Alpha Diallo Block.,40,50
11:30,2507,Alpha Diallo Defensive Rebound.,40,50
11:21,2507,Alpha Diallo missed Three Point Jumper.,40,50
11:21,2755,Ivy Smith Jr. Defensive Rebound.,40,50
11:11,2755,Averyl Ugba made Layup.,42,50
11:11,2507,Foul on Emmitt Holt.,42,50
11:11,2755,Averyl Ugba missed Free Throw.,42,50
11:11,2507,Emmitt Holt Defensive Rebound.,42,50
11:03,2507,Emmitt Holt made Jumper. Assisted by Kyron Cartwright.,42,52
10:31,2507,Foul on Ryan Fazekas.,42,52
10:31,2755,Remond Brown made Free Throw.,43,52
10:31,2755,Remond Brown missed Free Throw.,43,52
10:31,2507,Rodney Bullock Defensive Rebound.,43,52
10:13,2507,Ryan Fazekas missed Three Point Jumper.,43,52
10:13,2755,Deonte Hearns Defensive Rebound.,43,52
9:52,2755,Averyl Ugba Turnover.,43,52
9:52,2755,Foul on Averyl Ugba.,43,52
9:39,2507,Ryan Fazekas missed Three Point Jumper.,43,52
9:39,2755,Chase Cormier Defensive Rebound.,43,52
9:30,2755,Remond Brown missed Layup.,43,52
9:30,2755,Averyl Ugba Offensive Rebound.,43,52
9:28,2755,Averyl Ugba made Layup.,45,52
9:13,2507,Rodney Bullock made Layup. Assisted by Kyron Cartwright.,45,54
8:48,2507,Foul on Rodney Bullock.,45,54
8:48,2755,Deonte Hearns missed Free Throw.,45,54
8:48,2755,Grambling Deadball Team Rebound.,45,54
8:48,2755,Deonte Hearns made Free Throw.,46,54
8:42,2755,Foul on Remond Brown.,46,54
8:20,2755,Foul on Remond Brown.,46,54
8:17,2507,Isaiah Jackson missed Layup.,46,54
8:17,2755,Diontae Jones Block.,46,54
8:15,2755,Diontae Jones Defensive Rebound.,46,54
8:07,2755,Chase Cormier missed Layup.,46,54
8:07,2507,Ryan Fazekas Defensive Rebound.,46,54
8:00,2755,Foul on Ervin Mitchell.,46,54
7:59,2507,Providence  Timeout,46,54
7:59,2507,Ryan Fazekas made Free Throw.,46,55
7:59,2507,Ryan Fazekas made Free Throw.,46,56
7:40,2755,Diontae Jones Turnover.,46,56
7:40,2507,Kyron Cartwright Steal.,46,56
7:40,2507,Kyron Cartwright Turnover.,46,56
7:18,2755,Ervin Mitchell missed Jumper.,46,56
7:18,2755,Averyl Ugba Offensive Rebound.,46,56
7:14,2755,Averyl Ugba missed Two Point Tip Shot.,46,56
7:14,2755,Averyl Ugba Offensive Rebound.,46,56
7:10,2755,Averyl Ugba made Layup.,48,56
7:05,2507,Isaiah Jackson missed Layup.,48,56
7:05,2755,Averyl Ugba Block.,48,56
7:03,2755,Remond Brown Defensive Rebound.,48,56
7:00,2755,Remond Brown Turnover.,48,56
6:59,2507,Kyron Cartwright Steal.,48,56
6:53,2507,Isaiah Jackson missed Three Point Jumper.,48,56
6:53,2755,Deonte Hearns Defensive Rebound.,48,56
6:33,2755,Deonte Hearns Turnover.,48,56
6:33,2755,Foul on Deonte Hearns.,48,56
6:12,2755,Foul on Diontae Jones.,48,56
6:12,2507,Emmitt Holt made Free Throw.,48,57
6:12,2507,Emmitt Holt made Free Throw.,48,58
5:42,2755,Diontae Jones Turnover.,48,58
5:40,2507,Emmitt Holt Steal.,48,58
5:39,2507,Rodney Bullock made Layup. Assisted by Emmitt Holt.,48,60
5:39,2755,Foul on Diontae Jones.,48,60
5:39,2507,Rodney Bullock made Free Throw.,48,61
5:21,2755,Remond Brown made Layup.,50,61
5:03,2507,Kyron Cartwright Turnover.,50,61
5:01,2755,Chase Cormier Steal.,50,61
4:57,2755,Chase Cormier missed Layup.,50,61
4:57,2755,Averyl Ugba Offensive Rebound.,50,61
4:55,2507,Foul on Emmitt Holt.,50,61
4:55,2755,Averyl Ugba missed Free Throw.,50,61
4:55,2755,Grambling Deadball Team Rebound.,50,61
4:55,2755,Averyl Ugba made Free Throw.,51,61
4:31,2507,Rodney Bullock missed Three Point Jumper.,51,61
4:31,2755,Chase Cormier Defensive Rebound.,51,61
4:14,2755,Ervin Mitchell missed Layup.,51,61
4:14,2507,Ryan Fazekas Defensive Rebound.,51,61
4:08,2507,Ryan Fazekas made Three Point Jumper. Assisted by Kyron Cartwright.,51,64
3:34,2507,Foul on Emmitt Holt.,51,64
3:34,2755,Grambling  Timeout,51,64
3:34,2755,Noah Cummings made Free Throw.,52,64
3:34,2755,Noah Cummings missed Free Throw.,52,64
3:34,2507,Rodney Bullock Defensive Rebound.,52,64
3:17,2507,Kyron Cartwright made Three Point Jumper.,52,67
2:56,2755,Noah Cummings Turnover.,52,67
2:56,2755,Foul on Noah Cummings.,52,67
2:44,2507,Rodney Bullock Turnover.,52,67
2:17,2755,Remond Brown missed Layup.,52,67
2:17,2507,Ryan Fazekas Block.,52,67
2:15,2755,Averyl Ugba Offensive Rebound.,52,67
2:14,2755,Averyl Ugba made Layup.,54,67
1:43,2507,Rodney Bullock missed Three Point Jumper.,54,67
1:43,2755,Remond Brown Defensive Rebound.,54,67
1:14,2755,Averyl Ugba missed Jumper.,54,67
1:14,2507,Emmitt Holt Defensive Rebound.,54,67
0:52,2507,Kyron Cartwright made Jumper. Assisted by Rodney Bullock.,54,69
0:51,2755,Foul on Ervin Mitchell.,54,69
0:51,2507,Kyron Cartwright missed Free Throw.,54,69
0:51,2507,Kalif Young Offensive Rebound.,54,69
0:48,2507,Kyron Cartwright missed Layup.,54,69
0:48,2507,Rodney Bullock Offensive Rebound.,54,69
0:46,2507,Providence  Timeout,54,69
0:24,2507,Rodney Bullock made Dunk. Assisted by Kyron Cartwright.,54,71
0:00,2755,Remond Brown missed Jumper.,54,71
0:00,2507,Rodney Bullock Defensive Rebound.,54,71
0:00,2507,End of Game,54,71
