Lamar,278,Fresno State,2320
12:47,278,Foul on Sam Bittner.,12,12
12:26,2320,Colton Weisbrod missed Jumper.,12,12
12:26,278,Jahmel Taylor Defensive Rebound.,12,12
12:02,278,Deshon Taylor missed Three Point Jumper.,12,12
12:02,2320,Marcus Owens Defensive Rebound.,12,12
11:41,2320,Colton Weisbrod Turnover.,12,12
11:41,278,Official TV Timeout,12,12
11:25,278,Deshon Taylor Turnover.,12,12
11:10,2320,Dorian Chatman missed Jumper.,12,12
11:10,2320,Marcus Owens Offensive Rebound.,12,12
11:04,278,Foul on Jaron Hopkins.,12,12
10:44,2320,Dorian Chatman missed Jumper.,12,12
10:44,278,Jaron Hopkins Defensive Rebound.,12,12
10:34,278,Terrell Carter II made Layup. Assisted by Cullen Russo.,12,14
10:22,2320,Dorian Chatman Turnover.,12,14
10:21,278,Deshon Taylor Steal.,12,14
10:08,2320,Foul on Josh Nzeakor.,12,14
10:08,278,Foul on Terrell Carter II.,12,14
9:55,278,Jaron Hopkins made Jumper. Assisted by Deshon Taylor.,12,16
9:38,2320,Nick Garth missed Three Point Jumper.,12,16
9:38,278,Terrell Carter II Defensive Rebound.,12,16
9:34,2320,Foul on Christian Albright.,12,16
9:27,278,Foul on Bryson Williams.,12,16
9:27,278,Bryson Williams Turnover.,12,16
9:00,2320,Torey Noel missed Three Point Jumper.,12,16
9:00,278,Cullen Russo Defensive Rebound.,12,16
8:51,2320,Foul on Torey Noel.,12,16
8:39,278,Johnny McWilliams made Layup.,12,18
8:13,2320,Christian Albright made Jumper.,14,18
8:01,278,Jaron Hopkins missed Three Point Jumper.,14,18
8:01,2320,Marcus Owens Defensive Rebound.,14,18
7:55,2320,Nick Garth missed Three Point Jumper.,14,18
7:55,278,Bryson Williams Defensive Rebound.,14,18
7:46,278,Foul on Deshon Taylor.,14,18
7:46,278,Deshon Taylor Turnover.,14,18
7:46,278,Official TV Timeout,14,18
7:33,2320,Christian Albright missed Three Point Jumper.,14,18
7:33,278,Jaron Hopkins Defensive Rebound.,14,18
7:08,2320,Foul on Colton Weisbrod.,14,18
7:08,278,Terrell Carter II missed Jumper.,14,18
7:08,278,Terrell Carter II Offensive Rebound.,14,18
7:08,278,Terrell Carter II made Layup.,14,20
7:00,2320,Torey Noel Turnover.,14,20
7:00,278,Jaron Hopkins Steal.,14,20
6:42,278,Jahmel Taylor made Layup.,14,22
6:42,2320,Foul on Joey Frenchwood.,14,22
6:42,278,Jahmel Taylor missed Free Throw.,14,22
6:42,2320,Colton Weisbrod Defensive Rebound.,14,22
6:20,2320,Foul on Torey Noel.,14,22
6:20,2320,Torey Noel Turnover.,14,22
6:10,278,Terrell Carter II made Layup.,14,24
6:09,2320,Lamar  Timeout,14,24
5:58,2320,Marcus Owens Turnover.,14,24
5:40,278,Jaron Hopkins made Jumper.,14,26
5:07,2320,Nick Garth missed Layup.,14,26
5:07,278,Cullen Russo Defensive Rebound.,14,26
4:59,278,Jahmel Taylor made Three Point Jumper. Assisted by Cullen Russo.,14,29
4:38,2320,Cameron McGee made Three Point Jumper. Assisted by Marcus Owens.,17,29
4:13,278,Jahmel Taylor made Jumper.,17,31
3:54,2320,Colton Weisbrod missed Jumper.,17,31
3:54,278,Cullen Russo Defensive Rebound.,17,31
3:41,278,Jaron Hopkins missed Three Point Jumper.,17,31
3:41,2320,Nick Garth Defensive Rebound.,17,31
3:33,278,Foul on Jahmel Taylor.,17,31
3:33,278,Official TV Timeout,17,31
3:33,2320,Nick Garth made Free Throw.,18,31
3:33,2320,Nick Garth made Free Throw.,19,31
3:18,278,Bryson Williams missed Jumper.,19,31
3:18,2320,Colton Weisbrod Defensive Rebound.,19,31
2:59,2320,Christian Albright made Three Point Jumper. Assisted by Nick Garth.,22,31
2:27,278,Paul Watson Turnover.,22,31
2:26,2320,Cameron McGee Steal.,22,31
2:23,2320,Cameron McGee made Layup.,24,31
2:20,278,Fresno St  Timeout,24,31
2:04,278,Jaron Hopkins missed Layup.,24,31
2:04,278,Terrell Carter II Offensive Rebound.,24,31
2:01,278,Terrell Carter II missed Jumper.,24,31
2:01,278,Sam Bittner Offensive Rebound.,24,31
1:43,278,Paul Watson Turnover.,24,31
1:42,2320,Colton Weisbrod Steal.,24,31
1:24,2320,Christian Albright missed Three Point Jumper.,24,31
1:24,278,Fresno St Defensive Rebound.,24,31
1:09,278,Jahmel Taylor made Three Point Jumper. Assisted by Sam Bittner.,24,34
0:48,2320,Christian Albright missed Three Point Jumper.,24,34
0:48,278,Jahmel Taylor Defensive Rebound.,24,34
0:32,278,Terrell Carter II made Layup. Assisted by Sam Bittner.,24,36
0:09,2320,Nick Garth missed Three Point Jumper.,24,36
0:09,278,Paul Watson Defensive Rebound.,24,36
0:06,2320,Foul on Colton Weisbrod.,24,36
0:06,278,Paul Watson made Free Throw.,24,37
0:06,278,Paul Watson made Free Throw.,24,38
0:00,2320,Dorian Chatman missed Layup.,24,38
0:00,278,Terrell Carter II Defensive Rebound.,24,38
0:00,278,End of 1st half,24,38
19:37,278,Jahmel Taylor Turnover.,24,38
19:36,2320,Joey Frenchwood Steal.,24,38
19:33,2320,Torey Noel made Layup. Assisted by Joey Frenchwood.,26,38
19:21,2320,Foul on Joey Frenchwood.,26,38
19:21,278,Jaron Hopkins made Free Throw.,26,39
19:21,278,Jaron Hopkins made Free Throw.,26,40
18:58,2320,Marcus Owens Turnover.,26,40
18:57,278,Jaron Hopkins Steal.,26,40
18:57,2320,Foul on Torey Noel.,26,40
18:51,278,Jaron Hopkins missed Layup.,26,40
18:51,2320,Nick Garth Defensive Rebound.,26,40
18:45,2320,Nick Garth made Layup.,28,40
18:33,2320,Foul on Josh Nzeakor.,28,40
18:17,2320,Foul on Dorian Chatman.,28,40
18:17,278,Bryson Williams missed Free Throw.,28,40
18:17,278,Fresno St Deadball Team Rebound.,28,40
18:17,278,Bryson Williams made Free Throw.,28,41
17:52,2320,Nick Garth missed Three Point Jumper.,28,41
17:52,2320,Marcus Owens Offensive Rebound.,28,41
17:43,278,Foul on Bryson Williams.,28,41
17:43,2320,Cameron McGee made Free Throw.,29,41
17:43,2320,Cameron McGee made Free Throw.,30,41
17:43,2320,Cameron McGee made Free Throw.,31,41
17:42,278,Jaron Hopkins made Layup.,31,43
17:23,2320,Nick Garth made Layup.,33,43
17:05,278,Cullen Russo missed Layup.,33,43
17:05,2320,Marcus Owens Defensive Rebound.,33,43
16:56,2320,Marcus Owens missed Three Point Jumper.,33,43
16:56,2320,Cameron McGee Offensive Rebound.,33,43
16:28,2320,Colton Weisbrod made Layup. Assisted by Cameron McGee.,35,43
16:28,278,Foul on Bryson Williams.,35,43
16:28,2320,Colton Weisbrod missed Free Throw.,35,43
16:28,278,Deshon Taylor Defensive Rebound.,35,43
16:12,278,Terrell Carter II made Layup.,35,45
16:12,2320,Foul on Nick Garth.,35,45
16:12,278,Terrell Carter II made Free Throw.,35,46
16:00,2320,Cameron McGee made Layup.,37,46
15:46,2320,Foul on Cameron McGee.,37,46
15:46,278,Official TV Timeout,37,46
15:32,278,Deshon Taylor made Three Point Jumper.,37,49
15:01,2320,Cameron McGee missed Three Point Jumper.,37,49
15:01,2320,Colton Weisbrod Offensive Rebound.,37,49
14:58,2320,Colton Weisbrod missed Jumper.,37,49
14:58,278,Paul Watson Block.,37,49
14:57,2320,Lamar Offensive Rebound.,37,49
14:57,278,Foul on Paul Watson.,37,49
14:48,2320,Dorian Chatman made Layup. Assisted by Nick Garth.,39,49
14:48,278,Foul on Terrell Carter II.,39,49
14:48,2320,Dorian Chatman missed Free Throw.,39,49
14:48,278,Sam Bittner Defensive Rebound.,39,49
14:37,278,Sam Bittner made Jumper. Assisted by Deshon Taylor.,39,51
14:12,2320,Colton Weisbrod made Layup. Assisted by Cameron McGee.,41,51
14:01,2320,Foul on Cameron McGee.,41,51
14:01,278,Deshon Taylor made Free Throw.,41,52
14:01,278,Deshon Taylor made Free Throw.,41,53
13:32,2320,Marcus Owens made Three Point Jumper. Assisted by Cameron McGee.,44,53
13:03,278,Deshon Taylor missed Three Point Jumper.,44,53
13:03,278,Terrell Carter II Offensive Rebound.,44,53
12:59,2320,Foul on Dorian Chatman.,44,53
12:59,278,Terrell Carter II missed Free Throw.,44,53
12:59,278,Fresno St Deadball Team Rebound.,44,53
12:59,278,Terrell Carter II missed Free Throw.,44,53
12:59,2320,Marcus Owens Defensive Rebound.,44,53
12:42,278,Foul on Sam Bittner.,44,53
12:29,278,Foul on Cullen Russo.,44,53
12:29,2320,Colton Weisbrod missed Free Throw.,44,53
12:29,2320,Lamar Deadball Team Rebound.,44,53
12:29,2320,Colton Weisbrod made Free Throw.,45,53
12:28,2320,Foul on Marcus Owens.,45,53
12:28,278,Jaron Hopkins made Free Throw.,45,54
12:28,278,Jaron Hopkins missed Free Throw.,45,54
12:28,2320,Dorian Chatman Defensive Rebound.,45,54
12:03,278,Foul on Cullen Russo.,45,54
12:03,2320,Colton Weisbrod made Free Throw.,46,54
12:03,2320,Colton Weisbrod missed Free Throw.,46,54
12:03,278,Jaron Hopkins Defensive Rebound.,46,54
11:58,278,Jaron Hopkins missed Layup.,46,54
11:58,2320,Dorian Chatman Defensive Rebound.,46,54
11:55,278,Official TV Timeout,46,54
11:35,2320,Dorian Chatman made Jumper.,48,54
11:14,278,Deshon Taylor missed Three Point Jumper.,48,54
11:14,2320,Cameron McGee Defensive Rebound.,48,54
11:04,2320,Marcus Owens missed Three Point Jumper.,48,54
11:04,278,Cullen Russo Defensive Rebound.,48,54
10:58,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,48,57
10:26,2320,Dorian Chatman Turnover.,48,57
10:26,278,Jahmel Taylor Steal.,48,57
10:10,278,Jaron Hopkins made Jumper.,48,59
9:42,2320,Nick Garth made Layup.,50,59
9:30,278,Jahmel Taylor missed Three Point Jumper.,50,59
9:30,278,Paul Watson Offensive Rebound.,50,59
9:25,278,Paul Watson made Dunk.,50,61
9:09,2320,Lamar  Timeout,50,61
8:55,2320,Torey Noel Turnover.,50,61
8:30,278,Jaron Hopkins missed Jumper.,50,61
8:30,278,Jaron Hopkins Offensive Rebound.,50,61
8:27,278,Jaron Hopkins missed Jumper.,50,61
8:27,2320,Marcus Owens Defensive Rebound.,50,61
8:22,2320,Joey Frenchwood made Three Point Jumper. Assisted by Torey Noel.,53,61
8:04,278,Paul Watson missed Three Point Jumper.,53,61
8:04,2320,Joey Frenchwood Defensive Rebound.,53,61
7:54,278,Foul on Paul Watson.,53,61
7:54,278,Official TV Timeout,53,61
7:54,2320,Josh Nzeakor made Free Throw.,54,61
7:54,2320,Josh Nzeakor made Free Throw.,55,61
7:45,278,Cullen Russo Turnover.,55,61
7:44,2320,Torey Noel Steal.,55,61
7:41,2320,Josh Nzeakor made Jumper.,57,61
7:21,2320,Foul on Torey Noel.,57,61
7:21,278,Cullen Russo made Free Throw.,57,62
7:21,278,Cullen Russo made Free Throw.,57,63
7:03,278,Foul on Sam Bittner.,57,63
7:03,2320,Josh Nzeakor missed Free Throw.,57,63
7:03,2320,Lamar Deadball Team Rebound.,57,63
7:03,2320,Josh Nzeakor missed Free Throw.,57,63
7:03,278,Terrell Carter II Defensive Rebound.,57,63
6:47,278,Paul Watson missed Three Point Jumper.,57,63
6:47,2320,Nick Garth Defensive Rebound.,57,63
6:38,2320,Joey Frenchwood missed Three Point Jumper.,57,63
6:38,278,Paul Watson Defensive Rebound.,57,63
6:22,278,Jaron Hopkins made Jumper. Assisted by Terrell Carter II.,57,65
6:04,2320,Josh Nzeakor missed Jumper.,57,65
6:04,278,Paul Watson Defensive Rebound.,57,65
5:56,2320,Foul on Josh Nzeakor.,57,65
5:56,278,Paul Watson made Free Throw.,57,66
5:56,278,Paul Watson made Free Throw.,57,67
5:42,2320,Colton Weisbrod Turnover.,57,67
5:41,278,Jaron Hopkins Steal.,57,67
5:38,278,Jaron Hopkins made Dunk.,57,69
5:14,2320,Nick Garth missed Jumper.,57,69
5:14,278,Sam Bittner Defensive Rebound.,57,69
5:05,278,Fresno St  Timeout,57,69
4:50,278,Jaron Hopkins made Layup.,57,71
4:37,2320,Dorian Chatman Turnover.,57,71
4:36,278,Jaron Hopkins Steal.,57,71
4:18,278,Paul Watson made Dunk.,57,73
4:18,2320,Foul on Dorian Chatman.,57,73
4:18,278,Paul Watson made Free Throw.,57,74
4:05,2320,Marcus Owens missed Three Point Jumper.,57,74
4:05,278,Jaron Hopkins Defensive Rebound.,57,74
3:35,278,Deshon Taylor Turnover.,57,74
3:34,2320,Joey Frenchwood Steal.,57,74
3:31,278,Foul on Sam Bittner.,57,74
3:31,278,Official TV Timeout,57,74
3:31,2320,Marcus Owens made Free Throw.,58,74
3:31,2320,Marcus Owens made Free Throw.,59,74
3:26,278,Terrell Carter II made Jumper. Assisted by Sam Bittner.,59,76
3:14,2320,Joey Frenchwood made Jumper.,61,76
2:56,278,Paul Watson made Three Point Jumper. Assisted by Sam Bittner.,61,79
2:38,2320,Dorian Chatman missed Jumper.,61,79
2:38,278,Jaron Hopkins Block.,61,79
2:37,278,Deshon Taylor Defensive Rebound.,61,79
2:25,278,Jaron Hopkins made Dunk. Assisted by Terrell Carter II.,61,81
2:06,2320,Dorian Chatman made Jumper. Assisted by Nick Garth.,63,81
1:32,2320,Foul on Joey Frenchwood.,63,81
1:32,278,Jaron Hopkins made Free Throw.,63,82
1:32,278,Jaron Hopkins made Free Throw.,63,83
1:21,2320,Christian Albright missed Jumper.,63,83
1:21,278,Sam Bittner Defensive Rebound.,63,83
1:05,278,Johnny McWilliams Turnover.,63,83
0:59,2320,Joey Frenchwood Turnover.,63,83
0:55,278,Jaron Hopkins Steal.,63,83
0:46,278,Johnny McWilliams missed Three Point Jumper.,63,83
0:46,2320,Nick Garth Defensive Rebound.,63,83
0:36,2320,Joey Frenchwood missed Three Point Jumper.,63,83
0:36,278,Nate Grimes Defensive Rebound.,63,83
0:32,2320,Foul on Terrance Hubby.,63,83
0:32,278,Nate Grimes missed Free Throw.,63,83
0:32,278,Fresno St Deadball Team Rebound.,63,83
0:32,278,Nate Grimes missed Free Throw.,63,83
0:32,2320,Terrance Hubby Defensive Rebound.,63,83
0:23,278,Foul on Nate Grimes.,63,83
0:23,2320,Terrance Hubby missed Free Throw.,63,83
0:23,2320,Lamar Deadball Team Rebound.,63,83
0:23,2320,Terrance Hubby made Free Throw.,64,83
0:00,278,End of Game,64,83
