UMKC,189,Bowling Green,140
10:37,140,Martez Harrison Turnover.,50,51
10:15,189,Rasheed Worrell made Dunk. Assisted by Ismail Ali.,50,53
10:06,189,Foul on Ismail Ali.,50,53
10:06,140,Martez Harrison made Free Throw.,51,53
10:06,140,Martez Harrison made Free Throw.,52,53
9:47,189,Zack Denny missed Three Point Jumper.,52,53
9:47,189,Rasheed Worrell Offensive Rebound.,52,53
9:42,189,Matt Fox missed Three Point Jumper.,52,53
9:42,189,Zack Denny Offensive Rebound.,52,53
9:39,140,Foul on LaVell Boyd.,52,53
9:39,189,Zack Denny missed Free Throw.,52,53
9:39,140,LaVell Boyd Defensive Rebound.,52,53
9:19,140,Martez Harrison made Layup.,54,53
9:04,189,Matt Fox made Three Point Jumper. Assisted by Ismail Ali.,54,56
8:45,189,Foul on Rasheed Worrell.,54,56
8:45,140,Martez Harrison missed Free Throw.,54,56
8:45,140,UMKC Deadball Team Rebound.,54,56
8:45,140,Martez Harrison made Free Throw.,55,56
8:31,189,Ismail Ali missed Layup.,55,56
8:31,140,Broderick Robinson Defensive Rebound.,55,56
8:08,140,Kyle Steward missed Three Point Jumper.,55,56
8:08,189,Matt Fox Defensive Rebound.,55,56
7:50,189,Ismail Ali missed Jumper.,55,56
7:50,140,Broderick Robinson Defensive Rebound.,55,56
7:42,140,Kyle Steward Turnover.,55,56
7:42,140,Foul on Kyle Steward.,55,56
7:42,189,Official TV Timeout,55,56
7:23,189,Wes Alcegaire missed Jumper.,55,56
7:23,189,Demajeo Wiggins Offensive Rebound.,55,56
7:18,189,Wes Alcegaire Turnover.,55,56
7:18,189,Foul on Wes Alcegaire.,55,56
6:51,140,LaVell Boyd made Layup.,57,56
6:33,140,Foul on Martez Harrison.,57,56
6:33,189,Zack Denny made Free Throw.,57,57
6:33,189,Zack Denny made Free Throw.,57,58
6:17,140,Martez Harrison missed Three Point Jumper.,57,58
6:17,189,Rodrick Caldwell Defensive Rebound.,57,58
6:05,189,Demajeo Wiggins made Layup. Assisted by Wes Alcegaire.,57,60
5:47,189,Foul on Rodrick Caldwell.,57,60
5:47,140,LaVell Boyd made Free Throw.,58,60
5:47,140,LaVell Boyd made Free Throw.,59,60
5:32,189,Wes Alcegaire made Dunk.,59,62
5:20,140,Martez Harrison missed Layup.,59,62
5:20,189,Matt Fox Defensive Rebound.,59,62
4:58,189,Zack Denny missed Layup.,59,62
4:58,140,Martez Harrison Block.,59,62
4:56,140,Darnell Tillman Defensive Rebound.,59,62
4:53,189,Foul on Wes Alcegaire.,59,62
4:53,140,LaVell Boyd made Free Throw.,60,62
4:53,140,LaVell Boyd made Free Throw.,61,62
4:24,189,Matt Fox made Three Point Jumper. Assisted by Antwon Lillard.,61,65
4:10,140,Broderick Robinson missed Three Point Jumper.,61,65
4:10,189,Zack Denny Defensive Rebound.,61,65
3:45,189,Rodrick Caldwell missed Three Point Jumper.,61,65
3:45,140,Dashawn King Defensive Rebound.,61,65
3:40,140,Martez Harrison made Three Point Jumper.,64,65
3:37,140,UMKC  Timeout,64,65
3:18,189,Demajeo Wiggins missed Layup.,64,65
3:18,140,UMKC Defensive Rebound.,64,65
2:56,140,Martez Harrison made Layup.,66,65
2:45,189,Bowling Green  Timeout,66,65
2:36,140,Foul on Martez Harrison.,66,65
2:36,189,Antwon Lillard made Free Throw.,66,66
2:36,189,Antwon Lillard made Free Throw.,66,67
2:24,140,Kyle Steward missed Jumper.,66,67
2:24,189,Zack Denny Defensive Rebound.,66,67
2:02,189,Ismail Ali missed Layup.,66,67
2:02,189,Bowling Green Offensive Rebound.,66,67
1:54,189,Antwon Lillard Turnover.,66,67
1:54,189,Foul on Antwon Lillard.,66,67
1:34,140,Broderick Robinson made Three Point Jumper. Assisted by Martez Harrison.,69,67
1:02,189,Ismail Ali made Layup.,69,69
0:59,189,Bowling Green  Timeout,69,69
0:39,140,LaVell Boyd missed Layup.,69,69
0:39,189,Wes Alcegaire Block.,69,69
0:39,140,UMKC Offensive Rebound.,69,69
0:39,140,UMKC  Timeout,69,69
0:32,140,LaVell Boyd missed Jumper.,69,69
0:32,140,Broderick Robinson Offensive Rebound.,69,69
0:03,140,Martez Harrison made Jumper.,71,69
0:03,189,Bowling Green  Timeout,71,69
0:03,189,Rasheed Worrell missed Jumper.,71,69
0:03,189,Bowling Green Offensive Rebound.,71,69
0:00,189,End of Game,71,69
