St. Andrews,Error,North Carolina Central,2428
1:06,2428,Brandon Goldsmith Turnover.,30,30
0:45,2592,Ignacio Menendez missed Three Point Jumper.,30,30
0:45,2592,Jeremias Easterling Offensive Rebound.,30,30
0:39,2592,Luis Rosa missed Three Point Jumper.,30,30
0:39,2592,Jean Ahoume Offensive Rebound.,30,30
0:36,2592,St. Andrews  Turnover.,30,30
0:07,2428,Jordan Perkins missed Layup.,30,30
0:07,2428,Raasean Davis Offensive Rebound.,30,30
0:00,2428,End of 1st half,30,30
19:49,2428,Jordan Perkins Turnover.,30,30
19:31,2592,Jourdan Sanders missed Layup.,30,30
19:31,2428,Raasean Davis Defensive Rebound.,30,30
19:26,2428,Raasean Davis Turnover.,30,30
19:09,2592,Jeremias Easterling made Layup. Assisted by Jourdan Sanders.,32,30
18:40,2428,Marius McAllister missed Layup.,32,30
18:40,2592,Jourdan Sanders Defensive Rebound.,32,30
18:24,2592,Christian Lathan missed Three Point Jumper.,32,30
18:24,2428,Marius McAllister Defensive Rebound.,32,30
18:16,2592,Foul on Christian Lathan.,32,30
18:16,2428,Brandon Goldsmith missed Free Throw.,32,30
18:16,2428,North Carolina Central Deadball Team Rebound.,32,30
18:16,2428,Brandon Goldsmith made Free Throw.,32,31
17:49,2592,Christian Lathan missed Jumper.,32,31
17:49,2428,Marius McAllister Block.,32,31
17:47,2592,Christian Lathan Offensive Rebound.,32,31
17:45,2592,Christian Lathan missed Jumper.,32,31
17:45,2428,North Carolina Central Defensive Rebound.,32,31
17:30,2428,Raasean Davis made Dunk. Assisted by Jordan Perkins.,32,33
17:12,2592,Darius Huff made Layup. Assisted by Darius Huff.,34,33
16:38,2592,Jeremias Easterling missed Layup.,34,33
16:38,2428,Brandon Goldsmith Defensive Rebound.,34,33
16:29,2428,Jordan Perkins Turnover.,34,33
16:29,2428,Foul on Jordan Perkins.,34,33
16:18,2592,Jourdan Sanders missed Layup.,34,33
16:18,2428,Marius McAllister Defensive Rebound.,34,33
16:09,2428,Raasean Davis made Layup. Assisted by Jordan Perkins.,34,35
15:58,2592,Jeremias Easterling missed Layup.,34,35
15:58,2428,Marius McAllister Defensive Rebound.,34,35
15:51,2428,Jordan Perkins missed Jumper.,34,35
15:51,2428,Raasean Davis Offensive Rebound.,34,35
15:40,2428,Brandon Goldsmith missed Three Point Jumper.,34,35
15:40,2428,Marius McAllister Offensive Rebound.,34,35
15:33,2428,Raasean Davis made Layup. Assisted by Marius McAllister.,34,37
15:13,2592,Christian Lathan missed Jumper.,34,37
15:13,2428,Raasean Davis Defensive Rebound.,34,37
15:03,2428,Brandon Goldsmith made Layup. Assisted by Jordan Perkins.,34,39
14:47,2592,St. Andrews  Timeout,34,39
14:47,2428,Official TV Timeout,34,39
14:37,2592,Darius Huff missed Layup.,34,39
14:37,2428,Brandon Goldsmith Defensive Rebound.,34,39
14:31,2428,Raasean Davis made Dunk. Assisted by Alston Jones.,34,41
14:14,2592,Christian Lathan Turnover.,34,41
14:13,2428,Raasean Davis Steal.,34,41
14:13,2428,Brandon Goldsmith made Layup.,34,43
14:11,2592,Foul on Luis Rosa.,34,43
14:11,2428,Official TV Timeout,34,43
14:11,2428,Brandon Goldsmith made Free Throw.,34,44
14:05,2592,Luis Rosa Turnover.,34,44
13:52,2428,Raasean Davis missed Layup.,34,44
13:52,2428,North Carolina Central Offensive Rebound.,34,44
13:44,2428,Alston Jones Turnover.,34,44
13:20,2592,Devonte Pettaway Turnover.,34,44
13:19,2428,Raasean Davis Steal.,34,44
13:18,2428,Raasean Davis Turnover.,34,44
13:17,2592,Christian Lathan Steal.,34,44
13:14,2592,Jean Ahoume made Jumper. Assisted by Christian Lathan.,36,44
12:57,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by Marius McAllister.,36,47
12:44,2592,Devonte Pettaway made Three Point Jumper. Assisted by Christian Lathan.,39,47
12:30,2428,Raasean Davis made Layup. Assisted by Alston Jones.,39,49
12:18,2592,Luis Rosa missed Three Point Jumper.,39,49
12:18,2592,Luis Rosa Offensive Rebound.,39,49
12:04,2592,Devonte Pettaway missed Three Point Jumper.,39,49
12:04,2428,Raasean Davis Defensive Rebound.,39,49
11:49,2428,Reginald Gardner Jr missed Three Point Jumper.,39,49
11:49,2592,Luis Rosa Defensive Rebound.,39,49
11:39,2592,Christian Lathan missed Three Point Jumper.,39,49
11:39,2428,Reginald Gardner Jr Defensive Rebound.,39,49
11:26,2428,Raasean Davis made Layup. Assisted by Alston Jones.,39,51
11:11,2592,Devonte Pettaway made Jumper. Assisted by Jean Ahoume.,41,51
11:06,2428,Official TV Timeout,41,51
10:45,2428,Dominique Reid Turnover.,41,51
10:44,2592,Jeremias Easterling Steal.,41,51
10:24,2592,Jean Ahoume missed Jumper.,41,51
10:24,2428,Marius McAllister Defensive Rebound.,41,51
10:15,2428,Jordan Perkins made Layup.,41,53
9:57,2592,Christian Lathan Turnover.,41,53
9:40,2428,Larry McKnight Jr. Turnover.,41,53
9:38,2592,Darius Huff Steal.,41,53
9:18,2592,Christian Lathan made Layup. Assisted by Darius Huff.,43,53
9:03,2428,Dominique Reid made Layup. Assisted by Jordan Perkins.,43,55
8:32,2428,Foul on Larry McKnight Jr..,43,55
8:32,2592,Devonte Pettaway missed Free Throw.,43,55
8:32,2592,St. Andrews Deadball Team Rebound.,43,55
8:32,2592,Devonte Pettaway made Free Throw.,44,55
8:19,2428,Larry McKnight Jr. made Three Point Jumper. Assisted by Marius McAllister.,44,58
8:05,2592,Jean Ahoume missed Jumper.,44,58
8:05,2428,Dominique Reid Defensive Rebound.,44,58
8:02,2592,Foul on Devonte Pettaway.,44,58
7:40,2428,Jordan Perkins Turnover.,44,58
7:21,2592,Darius Huff Turnover.,44,58
7:20,2428,Official TV Timeout,44,58
7:05,2428,Marius McAllister missed Jumper.,44,58
7:05,2592,Darius Huff Defensive Rebound.,44,58
6:45,2592,Darius Huff made Layup. Assisted by Jourdan Sanders.,46,58
6:21,2428,Larry McKnight Jr. made Three Point Jumper. Assisted by Marius McAllister.,46,61
6:05,2592,Carlos Heath Turnover.,46,61
6:05,2592,Foul on Carlos Heath.,46,61
5:46,2428,Larry McKnight Jr. made Three Point Jumper. Assisted by Marius McAllister.,46,64
5:26,2592,Jourdan Sanders missed Three Point Jumper.,46,64
5:26,2428,Jordan Perkins Defensive Rebound.,46,64
5:18,2428,Jordan Perkins Turnover.,46,64
4:50,2592,Jeremias Easterling missed Jumper.,46,64
4:50,2428,Reginald Gardner Jr Defensive Rebound.,46,64
4:40,2428,Larry McKnight Jr. missed Three Point Jumper.,46,64
4:40,2592,Jeremias Easterling Defensive Rebound.,46,64
4:26,2592,Darius Huff missed Layup.,46,64
4:26,2428,Dominique Reid Defensive Rebound.,46,64
4:18,2592,Foul on Darius Huff.,46,64
4:18,2428,Reginald Gardner Jr made Free Throw.,46,65
4:18,2428,Reginald Gardner Jr made Free Throw.,46,66
4:12,2592,Carlos Heath Turnover.,46,66
4:11,2428,Brandon Goldsmith Steal.,46,66
4:09,2428,Marius McAllister made Layup. Assisted by Brandon Goldsmith.,46,68
3:39,2592,Jeremias Easterling missed Jumper.,46,68
3:39,2592,Jeremias Easterling Offensive Rebound.,46,68
3:34,2592,Jeremias Easterling missed Jumper.,46,68
3:34,2428,Alston Jones Defensive Rebound.,46,68
3:29,2428,North Carolina Central  Timeout,46,68
3:29,2428,Official TV Timeout,46,68
3:22,2428,Dominique Reid made Dunk. Assisted by Alston Jones.,46,70
2:57,2592,Carlos Heath made Three Point Jumper. Assisted by Christian Lathan.,49,70
2:25,2428,Dominique Reid missed Jumper.,49,70
2:25,2592,Christian Lathan Defensive Rebound.,49,70
2:15,2592,Carlos Heath missed Layup.,49,70
2:15,2592,St. Andrews Offensive Rebound.,49,70
1:47,2592,Carlos Heath made Jumper.,51,70
1:26,2428,Alston Jones made Jumper.,51,72
0:58,2592,Christian Lathan made Layup.,53,72
0:47,2428,Dominique Reid Turnover.,53,72
0:46,2592,Christian Lathan Steal.,53,72
0:43,2592,Christian Lathan made Layup.,55,72
0:29,2428,Larry McKnight Jr. made Three Point Jumper. Assisted by Alston Jones.,55,75
0:17,2592,Christian Lathan missed Three Point Jumper.,55,75
0:17,2428,Marius McAllister Defensive Rebound.,55,75
0:00,2428,End of Game,55,75
