Miami,221,Pittsburgh,2390
10:16,2390,Ja'Quan Newton Turnover.,15,13
10:16,221,Jared Wilson-Frame Steal.,15,13
9:59,221,Terrell Brown Turnover.,15,13
9:38,2390,Ja'Quan Newton made Layup.,17,13
9:23,221,Jonathan Milligan Turnover.,17,13
9:23,2390,Ja'Quan Newton Steal.,17,13
9:23,221,Foul on Jonathan Milligan.,17,13
8:58,2390,Bruce Brown Jr. missed Three Point Jumper.,17,13
8:58,221,Jonathan Milligan Defensive Rebound.,17,13
8:39,221,Shamiel Stevenson Turnover.,17,13
8:39,2390,Dewan Huell Steal.,17,13
8:29,2390,Ja'Quan Newton Turnover.,17,13
8:29,221,Jared Wilson-Frame Steal.,17,13
8:26,221,Jared Wilson-Frame made Layup.,17,15
8:26,2390,Foul on Dejan Vasiljevic.,17,15
8:26,221,Jared Wilson-Frame made Free Throw.,17,16
8:01,2390,Dewan Huell missed Jumper.,17,16
8:01,221,Khameron Davis Defensive Rebound.,17,16
7:35,221,Shamiel Stevenson made Jumper. Assisted by Marcus Carr.,17,18
7:09,2390,Bruce Brown Jr. Turnover.,17,18
7:09,221,Official TV Timeout,17,18
6:46,221,Terrell Brown missed Jumper.,17,18
6:46,2390,Dewan Huell Block.,17,18
6:46,221,Terrell Brown Offensive Rebound.,17,18
6:44,221,Terrell Brown missed Jumper.,17,18
6:44,2390,Bruce Brown Jr. Defensive Rebound.,17,18
6:20,2390,Anthony Lawrence II made Jumper.,19,18
5:50,221,Shamiel Stevenson missed Three Point Jumper.,19,18
5:50,2390,Dewan Huell Defensive Rebound.,19,18
5:38,2390,Chris Lykes missed Layup.,19,18
5:38,221,Terrell Brown Defensive Rebound.,19,18
5:27,221,Jared Wilson-Frame Turnover.,19,18
5:12,2390,Dewan Huell Turnover.,19,18
4:58,221,Jared Wilson-Frame missed Three Point Jumper.,19,18
4:58,2390,Anthony Lawrence II Defensive Rebound.,19,18
4:49,2390,Dejan Vasiljevic missed Three Point Jumper.,19,18
4:49,2390,Miami Offensive Rebound.,19,18
4:25,2390,Chris Lykes Turnover.,19,18
4:05,221,Jared Wilson-Frame missed Jumper.,19,18
4:05,2390,Ebuka Izundu Defensive Rebound.,19,18
3:55,2390,Anthony Lawrence II Turnover.,19,18
3:55,221,Parker Stewart Steal.,19,18
3:42,221,Foul on Marcus Carr.,19,18
3:42,221,Marcus Carr Turnover.,19,18
3:42,221,Official TV Timeout,19,18
3:30,2390,Chris Lykes Turnover.,19,18
3:01,221,Jared Wilson-Frame missed Jumper.,19,18
3:01,2390,Anthony Lawrence II Block.,19,18
3:01,221,Pittsburgh Deadball Team Rebound.,19,18
2:38,221,Pittsburgh  Turnover.,19,18
2:38,221,Foul on Terrell Brown.,19,18
2:38,2390,Lonnie Walker IV made Free Throw.,20,18
2:38,2390,Lonnie Walker IV made Free Throw.,21,18
2:22,2390,Foul on Bruce Brown Jr..,21,18
2:22,221,Jonathan Milligan missed Free Throw.,21,18
2:22,221,Pittsburgh Deadball Team Rebound.,21,18
2:22,221,Jonathan Milligan made Free Throw.,21,19
2:05,2390,Ebuka Izundu made Layup. Assisted by Ja'Quan Newton.,23,19
1:33,221,Jared Wilson-Frame missed Jumper.,23,19
1:33,221,Terrell Brown Offensive Rebound.,23,19
1:27,221,Terrell Brown missed Jumper.,23,19
1:27,2390,Bruce Brown Jr. Defensive Rebound.,23,19
1:19,2390,Anthony Lawrence II made Three Point Jumper. Assisted by Bruce Brown Jr..,26,19
1:07,221,Jonathan Milligan Turnover.,26,19
1:07,2390,Lonnie Walker IV Steal.,26,19
1:04,221,Foul on Parker Stewart.,26,19
1:04,2390,Lonnie Walker IV made Free Throw.,27,19
1:04,221,Pittsburgh  Timeout,27,19
1:04,2390,Lonnie Walker IV made Free Throw.,28,19
0:42,221,Jared Wilson-Frame missed Three Point Jumper.,28,19
0:42,2390,Ja'Quan Newton Defensive Rebound.,28,19
0:33,2390,Ja'Quan Newton made Jumper.,30,19
0:02,221,Parker Stewart Turnover.,30,19
0:00,221,End of 1st half,30,19
20:00,221,Jump Ball won by Pittsburgh,30,19
19:45,221,Marcus Carr Turnover.,30,19
19:45,2390,Ja'Quan Newton Steal.,30,19
19:28,2390,Ja'Quan Newton made Jumper.,32,19
19:04,221,Shamiel Stevenson made Three Point Jumper. Assisted by Marcus Carr.,32,22
18:36,2390,Lonnie Walker IV missed Jumper.,32,22
18:36,2390,Bruce Brown Jr. Offensive Rebound.,32,22
18:31,2390,Bruce Brown Jr. made Layup.,34,22
18:11,221,Terrell Brown Turnover.,34,22
18:11,2390,Bruce Brown Jr. Steal.,34,22
18:06,221,Foul on Jared Wilson-Frame.,34,22
17:58,2390,Bruce Brown Jr. made Layup. Assisted by Ja'Quan Newton.,36,22
17:46,2390,Foul on Ebuka Izundu.,36,22
17:40,2390,Foul on Lonnie Walker IV.,36,22
17:33,221,Marcus Carr missed Three Point Jumper.,36,22
17:33,2390,Ja'Quan Newton Defensive Rebound.,36,22
17:22,2390,Bruce Brown Jr. missed Three Point Jumper.,36,22
17:22,221,Shamiel Stevenson Defensive Rebound.,36,22
17:15,221,Shamiel Stevenson Turnover.,36,22
17:15,2390,Anthony Lawrence II Steal.,36,22
17:10,2390,Ja'Quan Newton Turnover.,36,22
17:10,221,Khameron Davis Steal.,36,22
17:04,221,Khameron Davis missed Jumper.,36,22
17:04,2390,Bruce Brown Jr. Block.,36,22
17:04,2390,Bruce Brown Jr. Defensive Rebound.,36,22
16:59,2390,Ebuka Izundu made Dunk. Assisted by Bruce Brown Jr..,38,22
16:53,221,Pittsburgh  Timeout,38,22
16:37,2390,Foul on Anthony Lawrence II.,38,22
16:37,221,Shamiel Stevenson made Free Throw.,38,23
16:37,221,Shamiel Stevenson made Free Throw.,38,24
16:12,2390,Bruce Brown Jr. missed Jumper.,38,24
16:12,221,Shamiel Stevenson Defensive Rebound.,38,24
15:54,221,Shamiel Stevenson made Layup.,38,26
15:37,2390,Anthony Lawrence II made Layup.,40,26
15:20,221,Shamiel Stevenson missed Jumper.,40,26
15:20,2390,Ebuka Izundu Defensive Rebound.,40,26
15:12,2390,Anthony Lawrence II Turnover.,40,26
15:12,221,Official TV Timeout,40,26
14:46,221,Parker Stewart missed Three Point Jumper.,40,26
14:46,2390,Anthony Lawrence II Defensive Rebound.,40,26
14:43,2390,Anthony Lawrence II Turnover.,40,26
14:32,221,Foul on Kene Chukwuka.,40,26
14:32,221,Kene Chukwuka Turnover.,40,26
14:20,2390,Ja'Quan Newton made Jumper.,42,26
14:20,221,Foul on Marcus Carr.,42,26
14:20,2390,Ja'Quan Newton made Free Throw.,43,26
14:06,2390,Foul on Dejan Vasiljevic.,43,26
13:57,221,Parker Stewart Turnover.,43,26
13:57,2390,Dejan Vasiljevic Steal.,43,26
13:53,2390,Lonnie Walker IV Turnover.,43,26
13:33,221,Khameron Davis made Jumper.,43,28
13:16,2390,Bruce Brown Jr. made Jumper.,45,28
12:57,221,Jared Wilson-Frame made Layup.,45,30
12:39,2390,Dewan Huell made Layup. Assisted by Lonnie Walker IV.,47,30
12:27,221,Foul on Jonathan Milligan.,47,30
12:27,221,Jonathan Milligan Turnover.,47,30
12:16,2390,Dewan Huell made Dunk. Assisted by Bruce Brown Jr..,49,30
11:56,221,Jared Wilson-Frame made Layup. Assisted by Jonathan Milligan.,49,32
11:49,2390,Chris Lykes missed Three Point Jumper.,49,32
11:49,221,Parker Stewart Defensive Rebound.,49,32
11:20,221,Jared Wilson-Frame made Jumper.,49,34
11:00,2390,Lonnie Walker IV missed Three Point Jumper.,49,34
11:00,2390,Dejan Vasiljevic Offensive Rebound.,49,34
10:55,2390,Dejan Vasiljevic missed Layup.,49,34
10:55,2390,Dewan Huell Offensive Rebound.,49,34
10:48,2390,Dewan Huell made Dunk.,51,34
10:29,221,Jared Wilson-Frame missed Jumper.,51,34
10:29,2390,Dewan Huell Defensive Rebound.,51,34
10:13,2390,Bruce Brown Jr. missed Jumper.,51,34
10:13,221,Jared Wilson-Frame Defensive Rebound.,51,34
9:56,2390,Foul on Dejan Vasiljevic.,51,34
9:56,221,Official TV Timeout,51,34
9:56,221,Parker Stewart made Free Throw.,51,35
9:56,221,Parker Stewart made Free Throw.,51,36
9:36,2390,Chris Lykes made Three Point Jumper.,54,36
9:20,2390,Foul on Anthony Lawrence II.,54,36
9:20,221,Foul on Kene Chukwuka.,54,36
9:20,221,Kene Chukwuka Turnover.,54,36
8:52,2390,Miami  Turnover.,54,36
8:36,221,Jared Wilson-Frame missed Three Point Jumper.,54,36
8:36,2390,Dewan Huell Defensive Rebound.,54,36
8:26,2390,Chris Lykes made Layup.,56,36
8:13,2390,Foul on Ja'Quan Newton.,56,36
8:13,221,Jared Wilson-Frame made Free Throw.,56,37
8:13,221,Jared Wilson-Frame made Free Throw.,56,38
8:04,2390,Dejan Vasiljevic missed Three Point Jumper.,56,38
8:04,221,Kene Chukwuka Defensive Rebound.,56,38
7:46,221,Khameron Davis missed Jumper.,56,38
7:46,2390,Dejan Vasiljevic Defensive Rebound.,56,38
7:18,2390,Dewan Huell made Dunk. Assisted by Anthony Lawrence II.,58,38
6:58,221,Parker Stewart made Layup.,58,40
6:32,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Ja'Quan Newton.,61,40
6:13,221,Jared Wilson-Frame Turnover.,61,40
6:13,221,Official TV Timeout,61,40
6:03,2390,Dejan Vasiljevic missed Three Point Jumper.,61,40
6:03,2390,Ebuka Izundu Offensive Rebound.,61,40
5:54,2390,Ebuka Izundu missed Jumper.,61,40
5:54,221,Parker Stewart Defensive Rebound.,61,40
5:39,221,Parker Stewart missed Three Point Jumper.,61,40
5:39,2390,Ebuka Izundu Defensive Rebound.,61,40
5:18,2390,Anthony Lawrence II Turnover.,61,40
4:51,221,Khameron Davis missed Three Point Jumper.,61,40
4:51,2390,Ja'Quan Newton Defensive Rebound.,61,40
4:34,2390,Ja'Quan Newton missed Jumper.,61,40
4:34,221,Khameron Davis Block.,61,40
4:34,221,Marcus Carr Defensive Rebound.,61,40
4:27,221,Parker Stewart made Three Point Jumper. Assisted by Marcus Carr.,61,43
4:19,2390,Lonnie Walker IV missed Three Point Jumper.,61,43
4:19,2390,Bruce Brown Jr. Offensive Rebound.,61,43
4:15,2390,Bruce Brown Jr. made Layup.,63,43
4:14,221,Official TV Timeout,63,43
4:14,2390,Miami  Timeout,63,43
4:02,221,Shamiel Stevenson made Dunk. Assisted by Marcus Carr.,63,45
3:40,2390,Lonnie Walker IV made Layup. Assisted by Ebuka Izundu.,65,45
3:23,221,Parker Stewart made Three Point Jumper. Assisted by Terrell Brown.,65,48
2:49,2390,Dejan Vasiljevic missed Jumper.,65,48
2:49,221,Shamiel Stevenson Defensive Rebound.,65,48
2:39,2390,Foul on Chris Lykes.,65,48
2:39,221,Khameron Davis made Free Throw.,65,49
2:39,221,Khameron Davis made Free Throw.,65,50
2:15,2390,Chris Lykes Turnover.,65,50
1:57,221,Marcus Carr missed Jumper.,65,50
1:57,2390,Chris Lykes Defensive Rebound.,65,50
1:49,2390,Rodney Miller Jr. missed Dunk.,65,50
1:49,221,Khameron Davis Defensive Rebound.,65,50
1:39,221,Shamiel Stevenson made Layup. Assisted by Marcus Carr.,65,52
1:13,221,Foul on Shamiel Stevenson.,65,52
1:06,2390,Lonnie Walker IV made Jumper.,67,52
0:47,2390,Foul on Bruce Brown Jr..,67,52
0:47,221,Shamiel Stevenson missed Free Throw.,67,52
0:47,221,Pittsburgh Deadball Team Rebound.,67,52
0:47,221,Shamiel Stevenson made Free Throw.,67,53
0:36,2390,Rodney Miller Jr. missed Layup.,67,53
0:36,221,Samson George Defensive Rebound.,67,53
0:18,221,Jonathan Milligan Turnover.,67,53
0:18,2390,Dejan Vasiljevic Steal.,67,53
0:00,221,End of Game,67,53
