CS Fullerton,3084,Utah Valley,2239
9:36,3084,Akolda Manyang Turnover.,16,22
9:36,2239,Daniel Venzant Steal.,16,22
9:33,2239,Arkim Robertson Turnover.,16,22
9:31,2239,Foul on Arkim Robertson.,16,22
9:12,3084,Jerrelle DeBerry made Three Point Jumper. Assisted by Cory Calvert.,16,25
8:53,2239,Josh Pitts missed Layup.,16,25
8:53,2239,Josh Pitts Offensive Rebound.,16,25
8:50,2239,Josh Pitts missed Jumper.,16,25
8:50,2239,Josh Pitts Offensive Rebound.,16,25
8:47,2239,Josh Pitts missed Layup.,16,25
8:47,3084,Akolda Manyang Defensive Rebound.,16,25
8:41,3084,Ben Nakwaasah missed Three Point Jumper.,16,25
8:41,2239,CSU Fullerton Defensive Rebound.,16,25
8:34,2239,Khalil Ahmad made Layup.,18,25
8:08,3084,Akolda Manyang missed Jumper.,18,25
8:08,2239,Khalil Ahmad Defensive Rebound.,18,25
8:01,2239,Khalil Ahmad Turnover.,18,25
8:00,3084,Cory Calvert Steal.,18,25
7:59,3084,Brandon Randolph made Layup. Assisted by Cory Calvert.,18,27
7:43,2239,Foul on Khalil Ahmad.,18,27
7:43,3084,Official TV Timeout,18,27
7:43,3084,Brandon Randolph missed Free Throw.,18,27
7:43,2239,Jackson Rowe Defensive Rebound.,18,27
7:25,2239,Kyle Allman missed Three Point Jumper.,18,27
7:25,3084,Zach Nelson Defensive Rebound.,18,27
7:15,2239,Foul on Daniel Venzant.,18,27
7:04,3084,Brandon Randolph made Free Throw.,18,28
6:58,3084,Brandon Randolph made Free Throw.,18,29
6:54,2239,Jamal Smith Turnover.,18,29
6:35,3084,Ben Nakwaasah missed Jumper.,18,29
6:35,2239,Khalil Ahmad Defensive Rebound.,18,29
6:27,3084,Foul on Akolda Manyang.,18,29
6:27,2239,Khalil Ahmad made Free Throw.,19,29
6:27,2239,Khalil Ahmad made Free Throw.,20,29
6:14,3084,Akolda Manyang made Layup. Assisted by Kenneth Ogbe.,20,31
5:52,3084,Foul on Kenneth Ogbe.,20,31
5:52,2239,Kyle Allman made Free Throw.,21,31
5:52,2239,Kyle Allman made Free Throw.,22,31
5:34,3084,Kenneth Ogbe missed Three Point Jumper.,22,31
5:34,2239,Davon Clare Defensive Rebound.,22,31
5:22,2239,Khalil Ahmad missed Three Point Jumper.,22,31
5:22,3084,Brandon Randolph Defensive Rebound.,22,31
5:14,3084,Conner Toolson made Three Point Jumper. Assisted by Brandon Randolph.,22,34
4:50,2239,Davon Clare made Layup. Assisted by Jackson Rowe.,24,34
4:31,3084,Zach Nelson Turnover.,24,34
4:16,2239,Kyle Allman missed Layup.,24,34
4:16,2239,Kyle Allman Offensive Rebound.,24,34
4:13,2239,Kyle Allman missed Two Point Tip Shot.,24,34
4:13,3084,Zach Nelson Defensive Rebound.,24,34
3:53,3084,Conner Toolson missed Jumper.,24,34
3:53,2239,Jamal Smith Defensive Rebound.,24,34
3:48,2239,Jamal Smith missed Layup.,24,34
3:48,2239,Davon Clare Offensive Rebound.,24,34
3:32,2239,Davon Clare made Three Point Jumper. Assisted by Jackson Rowe.,27,34
3:11,3084,Conner Toolson missed Three Point Jumper.,27,34
3:11,3084,Isaac Neilson Offensive Rebound.,27,34
3:05,3084,Brandon Randolph made Three Point Jumper. Assisted by Isaac Neilson.,27,37
2:46,2239,Khalil Ahmad Turnover.,27,37
2:40,3084,Official TV Timeout,27,37
2:36,3084,Kenneth Ogbe missed Layup.,27,37
2:36,3084,Isaac Neilson Offensive Rebound.,27,37
2:29,3084,Isaac Neilson Turnover.,27,37
2:04,3084,Foul on Ben Nakwaasah.,27,37
1:56,2239,Kyle Allman missed Layup.,27,37
1:56,3084,Jerrelle DeBerry Defensive Rebound.,27,37
1:35,3084,Kenneth Ogbe Turnover.,27,37
1:30,2239,Khalil Ahmad missed Layup.,27,37
1:30,3084,Kenneth Ogbe Block.,27,37
1:27,3084,Brandon Randolph Defensive Rebound.,27,37
1:18,3084,Jerrelle DeBerry missed Layup.,27,37
1:18,2239,Jackson Rowe Block.,27,37
1:11,3084,Utah Valley Offensive Rebound.,27,37
0:58,3084,Ben Nakwaasah missed Layup.,27,37
0:58,2239,Jackson Rowe Defensive Rebound.,27,37
0:46,3084,Foul on Kenneth Ogbe.,27,37
0:44,3084,Foul on Cory Calvert.,27,37
0:44,2239,Khalil Ahmad made Free Throw.,28,37
0:44,2239,Khalil Ahmad made Free Throw.,29,37
0:44,2239,Khalil Ahmad made Free Throw.,30,37
0:37,3084,Jerrelle DeBerry Turnover.,30,37
0:35,2239,Khalil Ahmad Steal.,30,37
0:33,3084,Foul on Jerrelle DeBerry.,30,37
0:33,2239,Khalil Ahmad made Free Throw.,31,37
0:33,2239,Khalil Ahmad made Free Throw.,32,37
0:23,3084,Jerrelle DeBerry Turnover.,32,37
0:21,2239,Jamal Smith Steal.,32,37
0:13,2239,CSU Fullerton  Timeout,32,37
0:07,3084,Foul on Conner Toolson.,32,37
0:07,2239,Khalil Ahmad made Free Throw.,33,37
0:07,2239,Khalil Ahmad made Free Throw.,34,37
0:02,2239,Foul on Jamal Smith.,34,37
0:02,3084,Conner Toolson made Free Throw.,34,38
0:02,3084,Conner Toolson made Free Throw.,34,39
0:01,2239,Davon Clare Turnover.,34,39
0:00,3084,End of 1st half,34,39
19:45,3084,Foul on Zach Nelson.,34,39
19:45,2239,Jackson Rowe made Free Throw.,35,39
19:45,2239,Jackson Rowe made Free Throw.,36,39
19:45,2239,Jackson Rowe made Free Throw.,37,39
19:35,2239,Foul on Khalil Ahmad.,37,39
19:35,3084,Akolda Manyang made Free Throw.,37,40
19:35,3084,Akolda Manyang made Free Throw.,37,41
19:12,2239,Khalil Ahmad missed Three Point Jumper.,37,41
19:12,2239,Jackson Rowe Offensive Rebound.,37,41
19:08,2239,Jackson Rowe made Two Point Tip Shot.,39,41
18:58,3084,Kenneth Ogbe made Three Point Jumper.,39,44
18:31,2239,Jackson Rowe missed Layup.,39,44
18:31,3084,Akolda Manyang Defensive Rebound.,39,44
18:17,3084,Akolda Manyang Turnover.,39,44
18:15,2239,Jackson Rowe Steal.,39,44
18:12,3084,Foul on Brandon Randolph.,39,44
18:11,2239,Jamal Smith missed Free Throw.,39,44
18:11,2239,CSU Fullerton Deadball Team Rebound.,39,44
18:11,2239,Jamal Smith made Free Throw.,40,44
18:01,3084,Conner Toolson missed Three Point Jumper.,40,44
18:01,2239,Davon Clare Defensive Rebound.,40,44
17:51,2239,Khalil Ahmad missed Layup.,40,44
17:51,3084,Akolda Manyang Block.,40,44
17:49,3084,Conner Toolson Defensive Rebound.,40,44
17:29,2239,Foul on Arkim Robertson.,40,44
17:29,3084,Kenneth Ogbe made Free Throw.,40,45
17:29,3084,Kenneth Ogbe made Free Throw.,40,46
17:16,3084,Foul on Akolda Manyang.,40,46
17:16,2239,Kyle Allman made Free Throw.,41,46
17:16,2239,Kyle Allman made Free Throw.,42,46
17:05,3084,Kenneth Ogbe missed Three Point Jumper.,42,46
17:05,2239,Davon Clare Defensive Rebound.,42,46
16:53,3084,Foul on Jerrelle DeBerry.,42,46
16:53,2239,Davon Clare missed Free Throw.,42,46
16:53,2239,CSU Fullerton Deadball Team Rebound.,42,46
16:53,2239,Davon Clare made Free Throw.,43,46
16:34,3084,Jerrelle DeBerry Turnover.,43,46
16:32,2239,Davon Clare Steal.,43,46
16:29,2239,Jamal Smith made Layup.,45,46
16:11,3084,Akolda Manyang Turnover.,45,46
16:10,2239,Davon Clare Steal.,45,46
15:56,3084,Foul on Brandon Randolph.,45,46
15:54,3084,Official TV Timeout,45,46
15:54,2239,Kyle Allman made Free Throw.,46,46
15:54,2239,Kyle Allman made Free Throw.,47,46
15:35,2239,Foul on Davon Clare.,47,46
15:35,3084,Zach Nelson made Free Throw.,47,47
15:35,3084,Zach Nelson made Free Throw.,47,48
15:25,2239,Kyle Allman missed Jumper.,47,48
15:25,3084,Akolda Manyang Defensive Rebound.,47,48
15:12,3084,Kenneth Ogbe made Layup.,47,50
14:55,2239,Khalil Ahmad Turnover.,47,50
14:53,3084,Kenneth Ogbe Steal.,47,50
14:49,3084,Akolda Manyang made Layup. Assisted by Kenneth Ogbe.,47,52
14:19,2239,Kyle Allman missed Layup.,47,52
14:19,3084,Akolda Manyang Block.,47,52
14:17,2239,CSU Fullerton Offensive Rebound.,47,52
14:15,2239,CSU Fullerton  Turnover.,47,52
14:05,2239,Foul on Dominik Heinzl.,47,52
14:05,3084,Akolda Manyang missed Free Throw.,47,52
14:05,3084,Utah Valley Deadball Team Rebound.,47,52
14:05,3084,Akolda Manyang made Free Throw.,47,53
13:44,2239,Austen Awosika Turnover.,47,53
13:43,3084,Conner Toolson Steal.,47,53
13:39,3084,Conner Toolson missed Three Point Jumper.,47,53
13:39,2239,Kyle Allman Defensive Rebound.,47,53
13:29,3084,Foul on Conner Toolson.,47,53
13:29,2239,Jackson Rowe made Free Throw.,48,53
13:29,2239,Jackson Rowe made Free Throw.,49,53
13:10,3084,Brandon Randolph made Jumper.,49,55
12:56,2239,Khalil Ahmad missed Jumper.,49,55
12:56,3084,Ben Nakwaasah Defensive Rebound.,49,55
12:35,3084,Ben Nakwaasah missed Jumper.,49,55
12:35,2239,Austen Awosika Block.,49,55
12:32,2239,Jamal Smith Defensive Rebound.,49,55
12:32,3084,Foul on Isaac Neilson.,49,55
12:32,2239,Jamal Smith made Free Throw.,50,55
12:32,2239,Jamal Smith made Free Throw.,51,55
12:25,2239,Foul on Daniel Venzant.,51,55
12:16,3084,Ben Nakwaasah missed Three Point Jumper.,51,55
12:16,3084,Jerrelle DeBerry Offensive Rebound.,51,55
12:12,3084,Jerrelle DeBerry made Layup.,51,57
11:49,2239,Khalil Ahmad missed Jumper.,51,57
11:49,3084,Brandon Randolph Defensive Rebound.,51,57
11:43,2239,Foul on Jamal Smith.,51,57
11:40,3084,Official TV Timeout,51,57
11:40,3084,Jerrelle DeBerry made Free Throw.,51,58
11:40,3084,Jerrelle DeBerry missed Free Throw.,51,58
11:40,2239,CSU Fullerton Defensive Rebound.,51,58
11:28,3084,Foul on Jerrelle DeBerry.,51,58
11:28,2239,Khalil Ahmad made Free Throw.,52,58
11:28,2239,Khalil Ahmad made Free Throw.,53,58
11:05,3084,Jerrelle DeBerry made Three Point Jumper. Assisted by Kenneth Ogbe.,53,61
10:46,2239,Jackson Rowe made Layup. Assisted by Kyle Allman.,55,61
10:33,3084,Akolda Manyang made Dunk. Assisted by Kenneth Ogbe.,55,63
10:27,2239,CSU Fullerton  Timeout,55,63
10:17,2239,Kyle Allman made Layup.,57,63
10:17,3084,Foul on Akolda Manyang.,57,63
10:17,2239,Kyle Allman made Free Throw.,58,63
9:48,3084,Brandon Randolph missed Three Point Jumper.,58,63
9:48,3084,Utah Valley Offensive Rebound.,58,63
9:43,3084,Akolda Manyang missed Layup.,58,63
9:43,2239,Jackson Rowe Defensive Rebound.,58,63
9:29,3084,Foul on Brandon Randolph.,58,63
9:24,2239,Austen Awosika missed Free Throw.,58,63
9:24,2239,CSU Fullerton Deadball Team Rebound.,58,63
9:24,2239,Austen Awosika missed Free Throw.,58,63
9:24,3084,Akolda Manyang Defensive Rebound.,58,63
9:05,3084,Akolda Manyang missed Layup.,58,63
9:05,2239,Jackson Rowe Defensive Rebound.,58,63
8:50,2239,Kyle Allman missed Jumper.,58,63
8:50,3084,Akolda Manyang Defensive Rebound.,58,63
8:39,3084,Conner Toolson missed Layup.,58,63
8:39,3084,Akolda Manyang Offensive Rebound.,58,63
8:35,3084,Akolda Manyang made Jumper.,58,65
8:19,2239,Khalil Ahmad Turnover.,58,65
8:18,3084,Ben Nakwaasah Steal.,58,65
8:01,3084,Ben Nakwaasah missed Three Point Jumper.,58,65
8:01,2239,Jackson Rowe Defensive Rebound.,58,65
7:50,3084,Foul on Isaac Neilson.,58,65
7:50,3084,Official TV Timeout,58,65
7:50,2239,Austen Awosika made Free Throw.,59,65
7:50,2239,Austen Awosika made Free Throw.,60,65
7:32,2239,Foul on Jamal Smith.,60,65
7:32,3084,Jerrelle DeBerry made Free Throw.,60,66
7:32,3084,Jerrelle DeBerry missed Free Throw.,60,66
7:32,3084,Isaac Neilson Offensive Rebound.,60,66
7:30,3084,Jerrelle DeBerry missed Layup.,60,66
7:30,2239,Jamal Smith Defensive Rebound.,60,66
7:23,2239,Davon Clare made Layup. Assisted by Austen Awosika.,62,66
7:09,2239,Foul on Davon Clare.,62,66
7:09,3084,Kenneth Ogbe made Free Throw.,62,67
7:09,3084,Kenneth Ogbe made Free Throw.,62,68
6:49,2239,Jamal Smith Turnover.,62,68
6:39,3084,Jerrelle DeBerry made Layup. Assisted by Kenneth Ogbe.,62,70
6:18,2239,Arkim Robertson missed Layup.,62,70
6:18,3084,Ben Nakwaasah Defensive Rebound.,62,70
6:03,3084,Conner Toolson missed Jumper.,62,70
6:03,2239,Jamal Smith Defensive Rebound.,62,70
5:57,3084,Foul on Akolda Manyang.,62,70
5:57,2239,Austen Awosika missed Free Throw.,62,70
5:57,2239,CSU Fullerton Deadball Team Rebound.,62,70
5:57,2239,Austen Awosika made Free Throw.,63,70
5:32,3084,Kenneth Ogbe made Three Point Jumper. Assisted by Cory Calvert.,63,73
5:05,2239,Kyle Allman made Jumper.,65,73
4:44,3084,Ben Nakwaasah missed Layup.,65,73
4:44,2239,Davon Clare Block.,65,73
4:43,2239,Davon Clare Defensive Rebound.,65,73
4:39,2239,Kyle Allman missed Layup.,65,73
4:39,3084,Kenneth Ogbe Block.,65,73
4:36,3084,Zach Nelson Defensive Rebound.,65,73
4:28,3084,Conner Toolson missed Three Point Jumper.,65,73
4:28,2239,Kyle Allman Defensive Rebound.,65,73
4:12,2239,Kyle Allman made Jumper. Assisted by Khalil Ahmad.,67,73
4:12,3084,Foul on Ben Nakwaasah.,67,73
4:12,2239,Kyle Allman made Free Throw.,68,73
3:45,2239,Foul on Kyle Allman.,68,73
3:45,3084,Official TV Timeout,68,73
3:45,3084,Kenneth Ogbe made Free Throw.,68,74
3:45,3084,Kenneth Ogbe made Free Throw.,68,75
3:32,2239,Kyle Allman missed Layup.,68,75
3:32,3084,Jerrelle DeBerry Defensive Rebound.,68,75
3:00,3084,Kenneth Ogbe missed Jumper.,68,75
3:00,3084,Utah Valley Offensive Rebound.,68,75
2:31,3084,Conner Toolson missed Three Point Jumper.,68,75
2:31,2239,Arkim Robertson Defensive Rebound.,68,75
2:19,2239,Khalil Ahmad missed Three Point Jumper.,68,75
2:19,3084,Akolda Manyang Defensive Rebound.,68,75
1:56,3084,Kenneth Ogbe missed Three Point Jumper.,68,75
1:56,2239,Kyle Allman Defensive Rebound.,68,75
1:42,3084,Foul on Akolda Manyang.,68,75
1:42,2239,Arkim Robertson missed Free Throw.,68,75
1:42,2239,CSU Fullerton Deadball Team Rebound.,68,75
1:42,2239,Arkim Robertson made Free Throw.,69,75
1:16,3084,Brandon Randolph made Layup.,69,77
1:16,2239,Foul on Jackson Rowe.,69,77
1:16,3084,Brandon Randolph made Free Throw.,69,78
1:11,2239,Jamal Smith missed Layup.,69,78
1:11,2239,Jackson Rowe Offensive Rebound.,69,78
1:10,3084,Foul on Kenneth Ogbe.,69,78
1:10,2239,Khalil Ahmad made Free Throw.,70,78
1:10,2239,Khalil Ahmad made Free Throw.,71,78
1:10,2239,Khalil Ahmad made Free Throw.,72,78
1:10,2239,CSU Fullerton  Timeout,72,78
1:02,2239,Foul on Jamal Smith.,72,78
1:02,3084,Brandon Randolph made Free Throw.,72,79
1:02,3084,Brandon Randolph made Free Throw.,72,80
0:57,2239,Khalil Ahmad missed Three Point Jumper.,72,80
0:57,2239,Kyle Allman Offensive Rebound.,72,80
0:54,3084,Foul on Zach Nelson.,72,80
0:54,2239,Kyle Allman made Free Throw.,73,80
0:53,2239,Kyle Allman missed Free Throw.,73,80
0:52,2239,Davon Clare Offensive Rebound.,73,80
0:46,2239,Davon Clare made Jumper.,75,80
0:40,2239,Foul on Khalil Ahmad.,75,80
0:40,3084,Brandon Randolph made Free Throw.,75,81
0:40,3084,Brandon Randolph made Free Throw.,75,82
0:36,3084,Foul on Zach Nelson.,75,82
0:36,2239,Austen Awosika missed Free Throw.,75,82
0:36,2239,CSU Fullerton Deadball Team Rebound.,75,82
0:36,2239,Austen Awosika made Free Throw.,76,82
0:35,2239,Foul on Jamal Smith.,76,82
0:35,3084,Brandon Randolph made Free Throw.,76,83
0:35,3084,Brandon Randolph made Free Throw.,76,84
0:31,2239,Davon Clare Turnover.,76,84
0:31,2239,Foul on Davon Clare.,76,84
0:31,2239,Foul on Kyle Allman.,76,84
0:31,3084,Kenneth Ogbe missed Free Throw.,76,84
0:31,3084,Utah Valley Deadball Team Rebound.,76,84
0:31,3084,Kenneth Ogbe made Free Throw.,76,85
0:29,2239,Kyle Allman missed Three Point Jumper.,76,85
0:29,3084,Kenneth Ogbe Defensive Rebound.,76,85
0:28,2239,Foul on Jackson Rowe.,76,85
0:28,3084,Zach Nelson made Free Throw.,76,86
0:28,3084,Zach Nelson made Free Throw.,76,87
0:24,2239,Austen Awosika made Jumper.,78,87
0:00,3084,End of Game,78,87
