Concordia (MI),Error,Fort Wayne,2870
2:01,2870,Xzavier Taylor Offensive Rebound.,17,40
1:58,2870,Xzavier Taylor made Layup.,17,42
1:57,-1,Foul on Luke Diekevers.,17,42
1:57,2870,Xzavier Taylor missed Free Throw.,17,42
1:57,-1,Emmanuel Dominguez Defensive Rebound.,17,42
1:51,-1,Jared McDaniel made Layup.,19,42
1:43,2870,Foul on Xzavier Taylor.,19,42
1:43,2870,Xzavier Taylor Turnover.,19,42
1:36,-1,Emmanuel Dominguez Turnover.,19,42
1:35,2870,Kason Harrell Steal.,19,42
1:34,2870,Kason Harrell made Layup.,19,44
1:09,-1,Jalen Thompson Turnover.,19,44
1:08,2870,Bryson Scott Steal.,19,44
1:06,2870,Bryson Scott made Layup.,19,46
0:49,-1,Paul Zysk made Layup. Assisted by Jalen Thompson.,21,46
0:48,2870,Foul on Bryson Scott.,21,46
0:48,-1,Paul Zysk missed Free Throw.,21,46
0:48,2870,John Konchar Defensive Rebound.,21,46
0:33,2870,Jordon King missed Jumper.,21,46
0:33,-1,Mychael Bradley Defensive Rebound.,21,46
0:08,-1,Paul Zysk missed Jumper.,21,46
0:08,2870,Kason Harrell Defensive Rebound.,21,46
0:01,2870,Jordon King missed Three Point Jumper.,21,46
0:01,2870,Fort Wayne Deadball Team Rebound.,21,46
0:00,2870,End of 1st half,21,46
19:48,-1,Jalen Thompson Turnover.,21,46
19:48,2870,Bryson Scott Steal.,21,46
19:47,2870,Bryson Scott Turnover.,21,46
19:35,-1,Jalen Thompson Turnover.,21,46
19:34,2870,Bryson Scott Steal.,21,46
19:27,2870,Jax Levitch made Three Point Jumper. Assisted by Bryson Scott.,21,49
19:06,-1,Connor Phee missed Jumper.,21,49
19:06,2870,Xzavier Taylor Defensive Rebound.,21,49
18:50,2870,Jax Levitch made Layup. Assisted by Bryson Scott.,21,51
18:43,-1,Connor Phee made Layup. Assisted by Jared McDaniel.,23,51
18:13,2870,Kason Harrell missed Three Point Jumper.,23,51
18:13,-1,Dakota Bostic Defensive Rebound.,23,51
18:05,-1,Connor Phee made Layup. Assisted by Jared McDaniel.,25,51
17:53,2870,Jax Levitch missed Three Point Jumper.,25,51
17:53,2870,Xzavier Taylor Offensive Rebound.,25,51
17:46,2870,Bryson Scott made Three Point Jumper. Assisted by Kason Harrell.,25,54
17:32,2870,Foul on Xzavier Taylor.,25,54
17:31,-1,Jalen Thompson missed Layup.,25,54
17:31,2870,Kason Harrell Defensive Rebound.,25,54
17:25,2870,Kason Harrell made Layup.,25,56
17:03,2870,Foul on Kason Harrell.,25,56
17:03,-1,Connor Phee made Free Throw.,26,56
17:03,-1,Connor Phee made Free Throw.,27,56
16:42,2870,Xzavier Taylor made Dunk. Assisted by Kason Harrell.,27,58
16:08,-1,Jalen Thompson missed Three Point Jumper.,27,58
16:08,2870,Jax Levitch Defensive Rebound.,27,58
15:58,2870,Bryson Scott missed Three Point Jumper.,27,58
15:58,2870,Xzavier Taylor Offensive Rebound.,27,58
15:55,-1,Foul on Dakota Bostic.,27,58
15:55,2870,Official TV Timeout,27,58
15:46,2870,Xzavier Taylor missed Jumper.,27,58
15:46,-1,Connor Phee Defensive Rebound.,27,58
15:24,2870,Foul on Jax Levitch.,27,58
15:19,-1,Jalen Thompson missed Layup.,27,58
15:19,2870,Xzavier Taylor Block.,27,58
15:18,-1,Concordia (MI) Offensive Rebound.,27,58
15:09,-1,Jalen Thompson Turnover.,27,58
14:50,2870,Matt Weir made Three Point Jumper. Assisted by Bryson Scott.,27,61
14:29,-1,Paul Zysk missed Jumper.,27,61
14:29,2870,John Konchar Defensive Rebound.,27,61
14:07,2870,John Konchar missed Three Point Jumper.,27,61
14:07,-1,Paul Zysk Defensive Rebound.,27,61
13:55,-1,Dakota Bostic Turnover.,27,61
13:54,2870,Matt Weir Steal.,27,61
13:53,2870,Bryson Scott made Layup. Assisted by Matt Weir.,27,63
13:34,-1,Jalen Thompson made Three Point Jumper.,30,63
13:30,-1,Concordia (MI)  Timeout,30,63
13:30,2870,Official TV Timeout,30,63
13:15,2870,Kason Harrell missed Three Point Jumper.,30,63
13:15,-1,Jalen Thompson Defensive Rebound.,30,63
12:53,2870,Foul on Kason Harrell.,30,63
12:53,-1,Paul Zysk made Free Throw.,31,63
12:53,-1,Paul Zysk made Free Throw.,32,63
12:43,2870,Kason Harrell Turnover.,32,63
12:14,-1,Jalen Thompson missed Three Point Jumper.,32,63
12:14,2870,Fort Wayne Deadball Team Rebound.,32,63
12:12,-1,Concordia (MI)  Turnover.,32,63
12:01,2870,Bryson Scott missed Layup.,32,63
12:01,-1,Luke Diekevers Defensive Rebound.,32,63
11:36,-1,Paul Zysk made Layup. Assisted by Mychael Bradley.,34,63
11:16,2870,Bryson Scott missed Layup.,34,63
11:16,-1,Jared McDaniel Defensive Rebound.,34,63
11:10,-1,Jalen Thompson made Layup. Assisted by Jared McDaniel.,36,63
11:00,2870,Bryson Scott made Layup.,36,65
10:31,-1,Jalen Thompson missed Jumper.,36,65
10:31,2870,Matt Weir Defensive Rebound.,36,65
10:23,2870,Bryson Scott missed Three Point Jumper.,36,65
10:23,-1,Paul Zysk Defensive Rebound.,36,65
10:13,-1,Jalen Thompson missed Three Point Jumper.,36,65
10:13,2870,Xzavier Taylor Defensive Rebound.,36,65
9:50,2870,Fort Wayne  Timeout,36,65
9:50,2870,Official TV Timeout,36,65
9:35,2870,Jordon King made Layup.,36,67
9:35,-1,Foul on Emmanuel Dominguez.,36,67
9:35,2870,Jordon King made Free Throw.,36,68
9:25,-1,Connor Phee made Layup. Assisted by Luke Diekevers.,38,68
9:13,2870,Kason Harrell made Layup.,38,70
8:52,-1,Mychael Bradley missed Layup.,38,70
8:52,2870,Matt Weir Defensive Rebound.,38,70
8:35,-1,Foul on Mychael Bradley.,38,70
8:31,2870,Jairus Stevens missed Layup.,38,70
8:31,2870,Jairus Stevens Offensive Rebound.,38,70
8:27,-1,Foul on Luke Diekevers.,38,70
8:27,2870,Jairus Stevens made Free Throw.,38,71
8:27,2870,Jairus Stevens made Free Throw.,38,72
8:16,2870,Foul on Cameron Benford.,38,72
8:01,-1,Luke Diekevers missed Layup.,38,72
8:01,2870,Jordon King Defensive Rebound.,38,72
7:50,-1,Foul on Luke Diekevers.,38,72
7:50,2870,Official TV Timeout,38,72
7:50,2870,Jairus Stevens made Free Throw.,38,73
7:50,2870,Jairus Stevens made Free Throw.,38,74
7:39,-1,Jared McDaniel made Layup.,40,74
7:19,2870,Chris Rollins Turnover.,40,74
7:18,-1,Jared McDaniel Steal.,40,74
7:05,-1,Jared McDaniel missed Layup.,40,74
7:05,-1,Concordia (MI) Offensive Rebound.,40,74
6:56,-1,Jalen Thompson missed Jumper.,40,74
6:56,-1,Connor Phee Offensive Rebound.,40,74
6:52,2870,Foul on Jordon King.,40,74
6:52,-1,Connor Phee made Free Throw.,41,74
6:52,-1,Connor Phee missed Free Throw.,41,74
6:52,2870,Cameron Benford Defensive Rebound.,41,74
6:39,2870,Chris Rollins missed Three Point Jumper.,41,74
6:39,-1,Jalen Thompson Defensive Rebound.,41,74
6:28,2870,Foul on Cameron Benford.,41,74
6:28,-1,Connor Phee made Free Throw.,42,74
6:28,-1,Connor Phee made Free Throw.,43,74
6:18,2870,Matt Weir Turnover.,43,74
6:17,-1,Austin Harless Steal.,43,74
5:51,-1,Jalen Thompson missed Layup.,43,74
5:51,2870,Matt Weir Defensive Rebound.,43,74
5:38,2870,Jairus Stevens Turnover.,43,74
5:17,2870,Foul on Matt Weir.,43,74
5:17,-1,Jared McDaniel made Free Throw.,44,74
5:17,-1,Jared McDaniel made Free Throw.,45,74
5:05,2870,Jordon King made Three Point Jumper. Assisted by Chris Rollins.,45,77
4:58,-1,Dakota Bostic Turnover.,45,77
4:58,2870,Jordon King made Layup. Assisted by Matt Weir.,45,79
4:39,2870,Foul on Cameron Benford.,45,79
4:39,-1,Paul Zysk missed Free Throw.,45,79
4:39,2870,Cameron Benford Defensive Rebound.,45,79
4:29,2870,Chris Rollins made Layup.,45,81
4:25,-1,Jared McDaniel made Layup.,47,81
4:16,-1,Concordia (MI)  Timeout,47,81
4:16,2870,Official TV Timeout,47,81
3:57,2870,Jordon King missed Three Point Jumper.,47,81
3:57,2870,Cameron Benford Offensive Rebound.,47,81
3:54,2870,Cameron Benford missed Layup.,47,81
3:54,2870,Cameron Benford Offensive Rebound.,47,81
3:51,-1,Foul on Dakota Bostic.,47,81
3:51,2870,Cameron Benford made Free Throw.,47,82
3:51,2870,Cameron Benford made Free Throw.,47,83
3:34,-1,Paul Zysk made Layup. Assisted by Austin Harless.,49,83
3:34,2870,Foul on Cameron Benford.,49,83
3:34,-1,Paul Zysk missed Free Throw.,49,83
3:34,2870,Jairus Stevens Defensive Rebound.,49,83
3:24,2870,Jairus Stevens made Layup.,49,85
3:01,-1,Jalen Thompson made Three Point Jumper.,52,85
2:48,2870,Jairus Stevens made Dunk.,52,87
2:13,2870,Foul on Jordon King.,52,87
2:13,-1,Emmanuel Dominguez missed Free Throw.,52,87
2:13,-1,Concordia (MI) Deadball Team Rebound.,52,87
2:13,-1,Emmanuel Dominguez made Free Throw.,53,87
2:03,2870,Chris Rollins made Layup.,53,89
1:47,-1,Mychael Bradley missed Jumper.,53,89
1:47,2870,Jairus Stevens Defensive Rebound.,53,89
1:26,2870,Jordan Coblin made Layup. Assisted by Matt Weir.,53,91
1:14,2870,Foul on Jordan Coblin.,53,91
1:14,-1,Tyler Black made Free Throw.,54,91
1:14,-1,Tyler Black made Free Throw.,55,91
1:09,-1,Foul on Austin Harless.,55,91
1:09,2870,Chris Rollins missed Free Throw.,55,91
1:09,2870,Fort Wayne Deadball Team Rebound.,55,91
1:09,2870,Chris Rollins made Free Throw.,55,92
0:48,-1,Tyler Black made Jumper.,57,92
0:36,2870,Jordon King missed Three Point Jumper.,57,92
0:36,-1,Tyler Black Defensive Rebound.,57,92
0:30,-1,Mychael Bradley made Layup. Assisted by Tyler Black.,59,92
0:00,2870,End of Game,59,92
