Utah State,21,San Diego State,328
12:09,21,Kameron Rooks missed Layup.,44,55
12:09,328,Alex Dargenton Block.,44,55
12:05,21,Kameron Rooks Offensive Rebound.,44,55
12:02,21,Kameron Rooks made Layup.,44,57
11:47,328,DeAngelo Isby missed Jumper.,44,57
11:47,328,DeAngelo Isby Offensive Rebound.,44,57
11:43,21,Foul on Kameron Rooks.,44,57
11:43,21,Official TV Timeout,44,57
11:43,328,DeAngelo Isby made Free Throw.,45,57
11:43,328,DeAngelo Isby made Free Throw.,46,57
11:23,21,Jeremy Hemsley made Three Point Jumper. Assisted by Kameron Rooks.,46,60
11:10,328,DeAngelo Isby Turnover.,46,60
11:08,21,Jeremy Hemsley Steal.,46,60
11:04,21,Max Montana missed Layup.,46,60
11:04,328,Daron Henson Block.,46,60
11:04,21,San Diego State Offensive Rebound.,46,60
11:00,21,Matt Mitchell missed Jumper.,46,60
11:00,21,San Diego State Deadball Team Rebound.,46,60
10:58,328,Foul on Daron Henson.,46,60
10:50,21,Max Montana missed Three Point Jumper.,46,60
10:50,328,Alex Dargenton Defensive Rebound.,46,60
10:36,328,Koby McEwen made Three Point Jumper. Assisted by Alex Dargenton.,49,60
10:19,21,Jeremy Hemsley made Layup.,49,62
9:57,328,Sam Merrill missed Three Point Jumper.,49,62
9:57,21,Max Montana Defensive Rebound.,49,62
9:49,21,Max Montana made Layup.,49,64
9:32,328,Dwayne Brown Jr. missed Three Point Jumper.,49,64
9:32,21,Kameron Rooks Defensive Rebound.,49,64
9:20,328,Foul on Sam Merrill.,49,64
9:20,21,Max Montana made Free Throw.,49,65
9:20,21,Max Montana made Free Throw.,49,66
8:54,328,Alex Dargenton missed Layup.,49,66
8:54,21,Kameron Rooks Block.,49,66
8:52,21,San Diego State Defensive Rebound.,49,66
8:40,21,Max Montana missed Three Point Jumper.,49,66
8:40,21,Kameron Rooks Offensive Rebound.,49,66
8:34,21,Kameron Rooks missed Jumper.,49,66
8:34,328,Koby McEwen Defensive Rebound.,49,66
8:26,328,Koby McEwen missed Three Point Jumper.,49,66
8:26,21,Max Montana Defensive Rebound.,49,66
8:14,21,Max Montana missed Layup.,49,66
8:14,328,Alex Dargenton Block.,49,66
8:13,21,San Diego State Offensive Rebound.,49,66
8:06,21,Jordan Schakel missed Three Point Jumper.,49,66
8:06,21,Jordan Schakel Offensive Rebound.,49,66
7:59,21,Jordan Schakel missed Jumper.,49,66
7:59,21,Jordan Schakel Offensive Rebound.,49,66
7:54,21,Jordan Schakel made Layup.,49,68
7:31,328,Foul on Julion Pearre.,49,68
7:31,328,Julion Pearre Turnover.,49,68
7:31,21,Official TV Timeout,49,68
7:16,21,Malik Pope missed Jumper.,49,68
7:16,21,Malik Pope Offensive Rebound.,49,68
7:11,21,Malik Pope made Two Point Tip Shot.,49,70
6:58,328,DeAngelo Isby made Layup.,51,70
6:52,21,Jordan Schakel missed Three Point Jumper.,51,70
6:52,21,San Diego State Deadball Team Rebound.,51,70
6:51,328,Foul on DeAngelo Isby.,51,70
6:43,21,Jalen McDaniels Turnover.,51,70
6:25,328,DeAngelo Isby missed Three Point Jumper.,51,70
6:25,21,Jalen McDaniels Defensive Rebound.,51,70
6:09,21,Jeremy Hemsley Turnover.,51,70
5:48,328,Crew Ainge missed Jumper.,51,70
5:48,21,Jalen McDaniels Defensive Rebound.,51,70
5:27,21,Trey Kell missed Three Point Jumper.,51,70
5:27,328,Utah State Defensive Rebound.,51,70
5:22,21,San Diego State  Timeout,51,70
5:22,21,Official TV Timeout,51,70
5:14,21,Foul on Matt Mitchell.,51,70
4:59,328,Sam Merrill made Jumper.,53,70
4:37,21,Malik Pope missed Jumper.,53,70
4:37,328,Koby McEwen Defensive Rebound.,53,70
4:26,328,Daron Henson missed Three Point Jumper.,53,70
4:26,21,Malik Pope Defensive Rebound.,53,70
4:01,21,Matt Mitchell missed Jumper.,53,70
4:01,21,San Diego State Deadball Team Rebound.,53,70
4:00,328,Foul on Daron Henson.,53,70
4:00,21,Official TV Timeout,53,70
4:00,21,Jalen McDaniels made Free Throw.,53,71
4:00,21,Jalen McDaniels made Free Throw.,53,72
3:45,328,Koby McEwen made Three Point Jumper. Assisted by Quinn Taylor.,56,72
3:20,21,Malik Pope missed Three Point Jumper.,56,72
3:20,328,Koby McEwen Defensive Rebound.,56,72
3:10,328,Koby McEwen missed Layup.,56,72
3:10,21,Trey Kell Defensive Rebound.,56,72
2:59,21,Matt Mitchell missed Three Point Jumper.,56,72
2:59,328,Sam Merrill Defensive Rebound.,56,72
2:46,328,Sam Merrill Turnover.,56,72
2:36,21,Malik Pope Turnover.,56,72
2:34,328,Dwayne Brown Jr. Steal.,56,72
2:26,328,Foul on Dwayne Brown Jr..,56,72
2:26,328,Dwayne Brown Jr. Turnover.,56,72
1:57,21,Devin Watson made Three Point Jumper.,56,75
1:41,328,DeAngelo Isby missed Layup.,56,75
1:41,328,Quinn Taylor Offensive Rebound.,56,75
1:33,328,Koby McEwen missed Three Point Jumper.,56,75
1:33,21,Jalen McDaniels Defensive Rebound.,56,75
1:09,21,Devin Watson missed Three Point Jumper.,56,75
1:09,21,Jalen McDaniels Offensive Rebound.,56,75
1:04,328,Foul on Quinn Taylor.,56,75
1:04,21,Jalen McDaniels made Free Throw.,56,76
1:04,21,Jalen McDaniels made Free Throw.,56,77
0:42,328,DeAngelo Isby made Three Point Jumper.,59,77
0:10,21,Devin Watson made Jumper.,59,79
0:00,21,End of Game,59,79
