Loyola Marymount,279,Pacific,2351
13:12,2351,Eli Scott made Free Throw.,10,13
13:04,279,Jack Williams Turnover.,10,13
13:03,2351,Jeffery McClendon Steal.,10,13
12:57,2351,Steven Haney missed Three Point Jumper.,10,13
12:57,2351,Jeffery McClendon Offensive Rebound.,10,13
12:51,2351,Jeffery McClendon missed Layup.,10,13
12:51,279,Namdi Okonkwo Block.,10,13
12:51,2351,Zafir Williams Offensive Rebound.,10,13
12:45,2351,Zafir Williams made Layup.,12,13
12:23,279,Roberto Gallinat made Three Point Jumper. Assisted by Jahlil Tripp.,12,16
11:53,279,Foul on Kendall Small.,12,16
11:53,279,Official TV Timeout,12,16
11:37,2351,Cameron Allen missed Three Point Jumper.,12,16
11:37,279,Jack Williams Defensive Rebound.,12,16
11:08,279,Namdi Okonkwo Turnover.,12,16
10:52,2351,Zafir Williams made Jumper. Assisted by Jeffery McClendon.,14,16
10:28,279,Namdi Okonkwo made Dunk. Assisted by Miles Reynolds.,14,18
9:55,2351,Eli Scott made Layup. Assisted by Jeffery McClendon.,16,18
9:28,2351,Foul on Cameron Allen.,16,18
9:23,279,Miles Reynolds made Jumper.,16,20
8:58,2351,Jeffery McClendon missed Three Point Jumper.,16,20
8:58,2351,Eli Scott Offensive Rebound.,16,20
8:52,2351,Jeffery McClendon missed Layup.,16,20
8:52,279,Namdi Okonkwo Block.,16,20
8:52,2351,Jeffery McClendon Offensive Rebound.,16,20
8:47,279,Foul on Miles Reynolds.,16,20
8:40,2351,Jeffery McClendon Turnover.,16,20
8:40,279,Miles Reynolds Steal.,16,20
8:38,279,Miles Reynolds made Layup.,16,22
8:32,279,Foul on Miles Reynolds.,16,22
8:25,279,Foul on Kendall Small.,16,22
8:25,2351,James Batemon missed Free Throw.,16,22
8:25,279,Namdi Okonkwo Defensive Rebound.,16,22
8:14,279,Kendall Small made Jumper.,16,24
7:48,2351,Cameron Allen missed Layup.,16,24
7:48,279,Namdi Okonkwo Block.,16,24
7:48,2351,Loyola Marymount Offensive Rebound.,16,24
7:44,279,Official TV Timeout,16,24
7:43,2351,Steven Haney made Three Point Jumper. Assisted by James Batemon.,19,24
7:12,279,Jahlil Tripp missed Three Point Jumper.,19,24
7:12,279,Namdi Okonkwo Offensive Rebound.,19,24
7:07,279,Namdi Okonkwo Turnover.,19,24
6:46,2351,Steven Haney Turnover.,19,24
6:28,279,Anthony Townes missed Jumper.,19,24
6:28,2351,Cameron Allen Defensive Rebound.,19,24
6:17,279,Foul on Roberto Gallinat.,19,24
6:17,2351,James Batemon made Free Throw.,20,24
6:17,2351,James Batemon made Free Throw.,21,24
5:52,279,Jahlil Tripp made Layup.,21,26
5:30,2351,Eli Scott missed Jumper.,21,26
5:30,2351,Mattias Markusson Offensive Rebound.,21,26
5:26,2351,Mattias Markusson made Dunk.,23,26
4:56,279,Kendall Small made Jumper.,23,28
4:11,2351,Jeffery McClendon made Layup. Assisted by Cameron Allen.,25,28
3:51,279,Jahlil Tripp made Dunk.,25,30
3:30,2351,Jeffery McClendon missed Layup.,25,30
3:30,279,Anthony Townes Defensive Rebound.,25,30
3:20,279,Miles Reynolds missed Three Point Jumper.,25,30
3:20,2351,Eli Scott Defensive Rebound.,25,30
2:50,2351,Mattias Markusson made Layup. Assisted by Cameron Allen.,27,30
2:24,2351,Foul on Eli Scott.,27,30
2:24,279,Roberto Gallinat made Free Throw.,27,31
2:24,279,Roberto Gallinat missed Free Throw.,27,31
2:24,2351,Eli Scott Defensive Rebound.,27,31
2:15,2351,Mattias Markusson made Dunk. Assisted by Eli Scott.,29,31
1:56,279,Jack Williams missed Three Point Jumper.,29,31
1:56,2351,Cameron Allen Defensive Rebound.,29,31
1:50,2351,Cameron Allen made Layup.,31,31
1:23,279,Kendall Small missed Jumper.,31,31
1:23,2351,Mattias Markusson Defensive Rebound.,31,31
0:55,2351,James Batemon made Layup.,33,31
0:55,279,Foul on Kendall Small.,33,31
0:55,2351,James Batemon made Free Throw.,34,31
0:55,279,Pacific  Timeout,34,31
0:42,279,Jahlil Tripp Turnover.,34,31
0:38,2351,Eli Scott made Layup. Assisted by Cameron Allen.,36,31
0:12,2351,Foul on Cameron Allen.,36,31
0:12,279,Miles Reynolds made Free Throw.,36,32
0:12,279,Miles Reynolds made Free Throw.,36,33
0:09,2351,Loyola Marymount  Timeout,36,33
0:04,2351,Eli Scott made Layup. Assisted by Cameron Allen.,38,33
0:00,279,End of 1st half,38,33
19:42,279,Roberto Gallinat missed Three Point Jumper.,38,33
19:42,279,Anthony Townes Offensive Rebound.,38,33
19:32,279,Jack Williams made Jumper.,38,35
19:11,2351,Eli Scott Turnover.,38,35
19:06,2351,Foul on Mattias Markusson.,38,35
19:06,279,Roberto Gallinat made Free Throw.,38,36
19:06,279,Roberto Gallinat made Free Throw.,38,37
18:57,2351,James Batemon made Layup.,40,37
18:24,2351,Foul on Mattias Markusson.,40,37
18:24,279,Miles Reynolds made Free Throw.,40,38
18:24,279,Miles Reynolds missed Free Throw.,40,38
18:24,2351,Eli Scott Defensive Rebound.,40,38
18:00,2351,Jeffery McClendon Turnover.,40,38
17:57,279,Roberto Gallinat Steal.,40,38
17:55,279,Foul on Roberto Gallinat.,40,38
17:55,279,Roberto Gallinat Turnover.,40,38
17:35,2351,James Batemon missed Layup.,40,38
17:28,2351,Zafir Williams Offensive Rebound.,40,38
17:26,2351,Zafir Williams made Two Point Tip Shot.,42,38
17:04,2351,Foul on Steven Haney.,42,38
16:57,279,Jack Williams made Jumper. Assisted by Anthony Townes.,42,40
16:27,2351,Cameron Allen made Layup.,44,40
16:06,2351,Foul on Zafir Williams.,44,40
16:06,279,Anthony Townes made Free Throw.,44,41
16:06,279,Anthony Townes made Free Throw.,44,42
15:57,2351,Steven Haney made Three Point Jumper. Assisted by Cameron Allen.,47,42
15:34,279,Miles Reynolds made Layup.,47,44
15:14,279,Foul on Roberto Gallinat.,47,44
15:08,2351,Steven Haney made Free Throw.,48,44
15:08,2351,Steven Haney made Free Throw.,49,44
14:48,279,Jahlil Tripp made Jumper.,49,46
14:48,2351,Foul on Jeffery McClendon.,49,46
14:48,279,Jahlil Tripp missed Free Throw.,49,46
14:48,2351,Mattias Markusson Defensive Rebound.,49,46
14:37,2351,Eli Scott missed Jumper.,49,46
14:36,279,Jack Williams Defensive Rebound.,49,46
14:16,279,Miles Reynolds made Jumper.,49,48
14:16,2351,Foul on Cameron Allen.,49,48
14:16,279,Miles Reynolds made Free Throw.,49,49
13:59,2351,Mattias Markusson made Jumper. Assisted by Steven Haney.,51,49
13:38,279,Jack Williams missed Jumper.,51,49
13:38,279,Jack Williams Offensive Rebound.,51,49
13:34,279,Miles Reynolds missed Jumper.,51,49
13:34,2351,Loyola Marymount Deadball Team Rebound.,51,49
13:32,279,Foul on Namdi Okonkwo.,51,49
13:18,2351,Eli Scott missed Jumper.,51,49
13:18,279,Miles Reynolds Defensive Rebound.,51,49
13:11,279,Roberto Gallinat missed Layup.,51,49
13:11,279,Namdi Okonkwo Offensive Rebound.,51,49
13:07,279,Namdi Okonkwo made Dunk.,51,51
12:42,2351,Steven Haney missed Jumper.,51,51
12:42,279,Namdi Okonkwo Defensive Rebound.,51,51
12:14,279,Miles Reynolds made Layup.,51,53
12:14,279,Miles Reynolds missed Free Throw.,51,53
12:14,2351,Mattias Markusson Defensive Rebound.,51,53
12:14,2351,Foul on Erik Johansson.,51,53
11:46,2351,Steven Haney Turnover.,51,53
11:45,279,Namdi Okonkwo Steal.,51,53
11:31,279,Miles Reynolds missed Layup.,51,53
11:30,2351,Mattias Markusson Block.,51,53
11:28,279,Pacific Offensive Rebound.,51,53
11:28,279,Official TV Timeout,51,53
11:25,279,Jack Williams missed Three Point Jumper.,51,53
11:25,2351,James Batemon Defensive Rebound.,51,53
11:01,2351,James Batemon made Layup.,53,53
11:01,279,Foul on Jahlil Tripp.,53,53
11:01,2351,James Batemon missed Free Throw.,53,53
11:01,279,Jack Williams Defensive Rebound.,53,53
10:37,279,Jack Williams Turnover.,53,53
10:36,2351,Jeffery McClendon Steal.,53,53
10:30,279,Foul on Kendall Small.,53,53
10:15,2351,Zafir Williams missed Jumper.,53,53
10:14,279,Namdi Okonkwo Defensive Rebound.,53,53
10:13,2351,Foul on Mattias Markusson.,53,53
10:13,279,Namdi Okonkwo made Free Throw.,53,54
10:13,279,Namdi Okonkwo made Free Throw.,53,55
10:07,2351,Steven Haney Turnover.,53,55
10:07,279,Miles Reynolds Steal.,53,55
10:02,279,Roberto Gallinat made Dunk. Assisted by Miles Reynolds.,53,57
9:49,2351,Loyola Marymount  Timeout,53,57
9:49,279,Official TV Timeout,53,57
9:37,2351,Foul on Zafir Williams.,53,57
9:37,2351,Zafir Williams Turnover.,53,57
9:26,279,Miles Reynolds Turnover.,53,57
8:56,2351,James Batemon made Jumper.,55,57
8:56,279,Foul on Miles Reynolds.,55,57
8:56,2351,James Batemon missed Free Throw.,55,57
8:56,279,Jack Williams Defensive Rebound.,55,57
8:37,279,Anthony Townes missed Jumper.,55,57
8:37,2351,Zafir Williams Defensive Rebound.,55,57
8:15,2351,Eli Scott made Jumper. Assisted by Cameron Allen.,57,57
8:02,279,Jack Williams missed Three Point Jumper.,57,57
8:02,2351,Zafir Williams Defensive Rebound.,57,57
7:34,2351,Steven Haney missed Layup.,57,57
7:34,279,Miles Reynolds Defensive Rebound.,57,57
7:26,279,Jahlil Tripp missed Layup.,57,57
7:26,2351,Zafir Williams Defensive Rebound.,57,57
7:03,279,Foul on Jack Williams.,57,57
7:03,279,Official TV Timeout,57,57
7:03,2351,Eli Scott missed Free Throw.,57,57
7:03,2351,Loyola Marymount Deadball Team Rebound.,57,57
7:03,2351,Eli Scott missed Free Throw.,57,57
7:03,279,Jack Williams Defensive Rebound.,57,57
6:52,279,Anthony Townes made Layup.,57,59
6:35,2351,James Batemon made Jumper.,59,59
6:10,2351,Foul on Cameron Allen.,59,59
6:10,279,Jahlil Tripp missed Free Throw.,59,59
6:10,279,Pacific Deadball Team Rebound.,59,59
6:10,279,Jahlil Tripp missed Free Throw.,59,59
6:10,2351,Eli Scott Defensive Rebound.,59,59
5:45,2351,James Batemon missed Jumper.,59,59
5:45,2351,Mattias Markusson Offensive Rebound.,59,59
5:42,2351,Mattias Markusson missed Free Throw.,59,59
5:42,2351,Loyola Marymount Deadball Team Rebound.,59,59
5:40,279,Foul on Miles Reynolds.,59,59
5:40,2351,Mattias Markusson made Free Throw.,60,59
5:18,279,Roberto Gallinat missed Jumper.,60,59
5:18,279,Roberto Gallinat Offensive Rebound.,60,59
5:17,279,Roberto Gallinat made Two Point Tip Shot.,60,61
4:45,2351,Eli Scott made Layup.,62,61
4:25,279,Jack Williams Turnover.,62,61
4:21,2351,James Batemon missed Layup.,62,61
4:21,279,Roberto Gallinat Block.,62,61
4:21,279,Jahlil Tripp Defensive Rebound.,62,61
3:59,279,Roberto Gallinat missed Three Point Jumper.,62,61
3:59,279,Anthony Townes Offensive Rebound.,62,61
3:46,279,Anthony Townes made Layup. Assisted by Roberto Gallinat.,62,63
3:23,279,Foul on Anthony Townes.,62,63
3:23,279,Official TV Timeout,62,63
3:23,2351,James Batemon made Free Throw.,63,63
3:23,2351,James Batemon made Free Throw.,64,63
2:59,279,Anthony Townes missed Dunk.,64,63
2:59,279,Roberto Gallinat Offensive Rebound.,64,63
2:55,279,Roberto Gallinat missed Jumper.,64,63
2:55,2351,Steven Haney Defensive Rebound.,64,63
2:27,2351,Eli Scott missed Layup.,64,63
2:27,279,Anthony Townes Block.,64,63
2:27,2351,Eli Scott Offensive Rebound.,64,63
2:23,2351,Eli Scott made Two Point Tip Shot.,66,63
2:15,2351,Foul on James Batemon.,66,63
2:15,279,Roberto Gallinat made Free Throw.,66,64
2:15,279,Roberto Gallinat missed Free Throw.,66,64
2:13,279,Anthony Townes Offensive Rebound.,66,64
2:02,279,Pacific  Timeout,66,64
1:35,279,Miles Reynolds made Layup.,66,66
1:24,2351,James Batemon missed Jumper.,66,66
1:24,2351,James Batemon Offensive Rebound.,66,66
1:20,2351,Loyola Marymount  Timeout,66,66
0:56,2351,Cameron Allen missed Jumper.,66,66
0:56,279,Jack Williams Defensive Rebound.,66,66
0:21,279,Roberto Gallinat missed Three Point Jumper.,66,66
0:20,279,Jack Williams Offensive Rebound.,66,66
0:20,279,Jack Williams missed Layup.,66,66
0:19,279,Roberto Gallinat Offensive Rebound.,66,66
0:17,279,Jahlil Tripp Turnover.,66,66
0:17,2351,James Batemon Steal.,66,66
0:01,2351,James Batemon missed Three Point Jumper.,66,66
0:01,2351,Loyola Marymount Deadball Team Rebound.,66,66
0:00,279,End of 2nd half,66,66
4:38,2351,James Batemon missed Three Point Jumper.,66,66
4:38,279,Jahlil Tripp Defensive Rebound.,66,66
4:15,279,Namdi Okonkwo made Jumper. Assisted by Jack Williams.,66,68
3:53,2351,Eli Scott missed Layup.,66,68
3:53,279,Namdi Okonkwo Block.,66,68
3:53,2351,Mattias Markusson Offensive Rebound.,66,68
3:47,2351,Eli Scott missed Layup.,66,68
3:47,279,Namdi Okonkwo Block.,66,68
3:47,279,Pacific Defensive Rebound.,66,68
3:23,279,Namdi Okonkwo made Dunk. Assisted by Miles Reynolds.,66,70
3:15,279,Foul on Jahlil Tripp.,66,70
3:15,2351,Steven Haney made Free Throw.,67,70
3:15,2351,Steven Haney missed Free Throw.,67,70
3:15,279,Jahlil Tripp Defensive Rebound.,67,70
3:00,279,Namdi Okonkwo made Dunk. Assisted by Miles Reynolds.,67,72
2:48,2351,Steven Haney missed Three Point Jumper.,67,72
2:48,279,Namdi Okonkwo Defensive Rebound.,67,72
2:16,279,Roberto Gallinat missed Layup.,67,72
2:16,2351,Eli Scott Block.,67,72
2:16,2351,Mattias Markusson Defensive Rebound.,67,72
2:13,279,Foul on Roberto Gallinat.,67,72
2:13,2351,Mattias Markusson missed Free Throw.,67,72
2:13,2351,Loyola Marymount Deadball Team Rebound.,67,72
2:13,2351,Mattias Markusson made Free Throw.,68,72
2:11,2351,Foul on Jeffery McClendon.,68,72
2:11,279,Roberto Gallinat made Free Throw.,68,73
2:11,279,Roberto Gallinat made Free Throw.,68,74
1:57,2351,Cameron Allen missed Jumper.,68,74
1:57,279,Jahlil Tripp Block.,68,74
1:57,2351,Cameron Allen Offensive Rebound.,68,74
1:51,2351,Eli Scott missed Layup.,68,74
1:51,279,Namdi Okonkwo Defensive Rebound.,68,74
1:21,279,Miles Reynolds made Jumper. Assisted by Jahlil Tripp.,68,76
1:11,2351,James Batemon made Three Point Jumper. Assisted by Steven Haney.,71,76
0:49,2351,Foul on Eli Scott.,71,76
0:49,279,Roberto Gallinat made Free Throw.,71,77
0:49,279,Roberto Gallinat made Free Throw.,71,78
0:47,279,Foul on Jahlil Tripp.,71,78
0:47,2351,James Batemon made Free Throw.,72,78
0:47,2351,James Batemon made Free Throw.,73,78
0:45,2351,Foul on James Batemon.,73,78
0:45,279,Miles Reynolds made Free Throw.,73,79
0:45,279,Jahlil Tripp made Free Throw.,73,80
0:41,2351,Steven Haney made Three Point Jumper. Assisted by James Batemon.,76,80
0:36,2351,Foul on Eli Scott.,76,80
0:36,279,Jahlil Tripp made Free Throw.,76,81
0:36,279,Jahlil Tripp made Free Throw.,76,82
0:34,2351,James Batemon missed Layup.,76,82
0:34,279,Jahlil Tripp Block.,76,82
0:34,2351,Loyola Marymount Offensive Rebound.,76,82
0:28,2351,Mattias Markusson made Jumper. Assisted by James Batemon.,78,82
0:28,2351,Foul on Steven Haney.,78,82
0:28,279,Miles Reynolds made Free Throw.,78,83
0:28,279,Miles Reynolds made Free Throw.,78,84
0:24,2351,James Batemon made Layup.,80,84
0:21,2351,Foul on Steven Haney.,80,84
0:21,279,Miles Reynolds made Free Throw.,80,85
0:21,279,Miles Reynolds made Free Throw.,80,86
0:21,279,Pacific  Timeout,80,86
0:19,2351,James Batemon missed Three Point Jumper.,80,86
0:19,279,Jahlil Tripp Block.,80,86
0:19,279,Namdi Okonkwo Defensive Rebound.,80,86
0:10,2351,Foul on James Batemon.,80,86
0:10,279,Jahlil Tripp made Free Throw.,80,87
0:08,279,Jahlil Tripp made Free Throw.,80,88
0:07,2351,Cameron Allen made Jumper.,82,88
0:00,279,End of 1st overtime,82,88
