Middle Tennessee,5,UAB,2393
11:37,5,Foul on Makhtar Gueye.,7,9
11:37,5,Chris Cokley Turnover.,7,9
11:37,2393,Donovan Sims Steal.,7,9
11:37,2393,Middle Tennessee  Timeout,7,9
11:32,2393,Giddy Potts made Jumper. Assisted by Donovan Sims.,9,9
11:30,5,Foul on Makhtar Gueye.,9,9
11:25,2393,Giddy Potts Turnover.,9,9
11:23,5,Chris Cokley Steal.,9,9
11:19,5,Nate Darling missed Three Point Jumper.,9,9
11:19,2393,Giddy Potts Defensive Rebound.,9,9
11:04,2393,Donovan Sims missed Three Point Jumper.,9,9
11:04,5,Jalen Perry Defensive Rebound.,9,9
10:44,5,Chris Cokley made Jumper. Assisted by Nate Darling.,9,11
10:18,2393,Donovan Sims made Three Point Jumper. Assisted by David Simmons.,12,11
9:55,5,Jalen Perry missed Three Point Jumper.,12,11
9:55,2393,Middle Tennessee Defensive Rebound.,12,11
9:52,5,Foul on Lewis Sullivan.,12,11
9:46,2393,Brandon Walters missed Jumper.,12,11
9:46,5,Jalen Perry Defensive Rebound.,12,11
9:36,5,Chris Cokley missed Jumper.,12,11
9:36,2393,Antwain Johnson Defensive Rebound.,12,11
9:27,2393,Brandon Walters missed Layup.,12,11
9:27,5,UAB Defensive Rebound.,12,11
9:02,5,William Lee made Three Point Jumper. Assisted by Chris Cokley.,12,14
8:40,2393,Nick King made Layup.,14,14
8:22,5,Jalen Perry missed Three Point Jumper.,14,14
8:22,2393,Nick King Defensive Rebound.,14,14
8:01,2393,Karl Gamble missed Layup.,14,14
8:01,5,Nate Darling Defensive Rebound.,14,14
7:53,5,UAB  Timeout,14,14
7:52,5,William Lee missed Jumper.,14,14
7:52,2393,Nick King Defensive Rebound.,14,14
7:41,2393,Karl Gamble missed Three Point Jumper.,14,14
7:41,5,Nick Norton Defensive Rebound.,14,14
7:35,5,Chris Cokley made Dunk. Assisted by Nick Norton.,14,16
7:26,2393,Middle Tennessee  Timeout,14,16
7:07,2393,Nick King missed Jumper.,14,16
7:07,5,Nate Darling Block.,14,16
7:04,5,William Lee Defensive Rebound.,14,16
6:49,5,Zack Bryant made Layup. Assisted by Chris Cokley.,14,18
6:25,2393,James Hawthorne made Jumper. Assisted by David Simmons.,16,18
6:01,5,Zack Bryant missed Layup.,16,18
6:01,2393,David Simmons Defensive Rebound.,16,18
5:42,5,Foul on Zack Bryant.,16,18
5:42,2393,James Hawthorne made Free Throw.,17,18
5:42,2393,James Hawthorne missed Free Throw.,17,18
5:42,5,Nate Darling Defensive Rebound.,17,18
5:24,5,Nick Norton Turnover.,17,18
5:23,2393,Donovan Sims Steal.,17,18
5:10,2393,Giddy Potts made Three Point Jumper.,20,18
4:52,5,Nick Norton made Three Point Jumper. Assisted by Chris Cokley.,20,21
4:34,2393,Foul on Giddy Potts.,20,21
4:34,2393,Giddy Potts Turnover.,20,21
4:18,5,Chris Cokley missed Layup.,20,21
4:18,5,UAB Offensive Rebound.,20,21
4:09,5,Chris Cokley made Jumper. Assisted by Zack Bryant.,20,23
3:43,2393,Nick King made Layup.,22,23
3:19,5,William Lee missed Three Point Jumper.,22,23
3:19,2393,Giddy Potts Defensive Rebound.,22,23
3:04,2393,Nick King Turnover.,22,23
3:02,5,William Lee Steal.,22,23
2:58,5,Nick Norton made Three Point Jumper. Assisted by Zack Bryant.,22,26
2:31,5,Foul on Zack Bryant.,22,26
2:31,5,Official TV Timeout,22,26
2:31,2393,Brandon Walters missed Free Throw.,22,26
2:31,5,Chris Cokley Defensive Rebound.,22,26
2:08,2393,Foul on David Simmons.,22,26
2:08,5,Jalen Perry missed Free Throw.,22,26
2:08,5,UAB Deadball Team Rebound.,22,26
2:08,5,Jalen Perry missed Free Throw.,22,26
2:08,2393,Brandon Walters Defensive Rebound.,22,26
1:46,2393,Giddy Potts made Three Point Jumper. Assisted by David Simmons.,25,26
1:28,5,William Lee missed Three Point Jumper.,25,26
1:28,5,Jalen Perry Offensive Rebound.,25,26
1:10,5,Nate Darling made Three Point Jumper. Assisted by William Lee.,25,29
0:57,5,Foul on Jalen Perry.,25,29
0:57,2393,Giddy Potts made Free Throw.,26,29
0:57,2393,Giddy Potts made Free Throw.,27,29
0:46,5,Nick Norton Turnover.,27,29
0:45,2393,Tyrik Dixon Steal.,27,29
0:43,2393,Tyrik Dixon missed Three Point Jumper.,27,29
0:43,2393,David Simmons Offensive Rebound.,27,29
0:39,2393,David Simmons missed Layup.,27,29
0:39,5,Nick Norton Defensive Rebound.,27,29
0:13,5,Nate Darling missed Three Point Jumper.,27,29
0:13,2393,Tyrik Dixon Defensive Rebound.,27,29
0:02,2393,Giddy Potts made Three Point Jumper.,30,29
0:00,5,End of 1st half,30,29
19:42,2393,Edward Simpson missed Three Point Jumper.,30,29
19:42,5,Zack Bryant Defensive Rebound.,30,29
19:17,5,William Lee missed Jumper.,30,29
19:17,2393,Giddy Potts Defensive Rebound.,30,29
19:08,5,Foul on William Lee.,30,29
19:08,2393,Antwain Johnson made Free Throw.,31,29
19:08,2393,Antwain Johnson made Free Throw.,32,29
18:48,5,Chris Cokley missed Jumper.,32,29
18:48,2393,Giddy Potts Defensive Rebound.,32,29
18:40,2393,Giddy Potts missed Jumper.,32,29
18:40,5,Chris Cokley Defensive Rebound.,32,29
18:20,5,William Lee missed Jumper.,32,29
18:20,2393,Nick King Block.,32,29
18:17,2393,Edward Simpson Defensive Rebound.,32,29
18:13,2393,Giddy Potts missed Three Point Jumper.,32,29
18:13,5,Chris Cokley Defensive Rebound.,32,29
18:04,5,Chris Cokley made Layup. Assisted by Zack Bryant.,32,31
18:04,2393,Foul on Edward Simpson.,32,31
18:04,5,Chris Cokley made Free Throw.,32,32
17:51,2393,Antwain Johnson missed Jumper.,32,32
17:51,2393,Antwain Johnson Offensive Rebound.,32,32
17:47,2393,Antwain Johnson missed Layup.,32,32
17:47,5,Chris Cokley Defensive Rebound.,32,32
17:38,2393,Foul on Antwain Johnson.,32,32
17:26,5,William Lee made Layup. Assisted by Nick Norton.,32,34
17:02,2393,Giddy Potts Turnover.,32,34
17:00,5,William Lee Steal.,32,34
16:47,2393,Foul on Edward Simpson.,32,34
16:44,5,Nick Norton missed Three Point Jumper.,32,34
16:44,2393,David Simmons Defensive Rebound.,32,34
16:13,2393,Giddy Potts made Three Point Jumper. Assisted by David Simmons.,35,34
15:47,2393,Foul on Brandon Walters.,35,34
15:47,5,Official TV Timeout,35,34
15:47,5,Zack Bryant missed Free Throw.,35,34
15:47,5,UAB Deadball Team Rebound.,35,34
15:47,5,Zack Bryant made Free Throw.,35,35
15:33,2393,Brandon Walters made Layup. Assisted by Giddy Potts.,37,35
15:14,5,Zack Bryant missed Jumper.,37,35
15:14,2393,Giddy Potts Defensive Rebound.,37,35
14:50,2393,Brandon Walters Turnover.,37,35
14:50,2393,Foul on Brandon Walters.,37,35
14:34,5,Jalen Perry made Layup.,37,37
14:15,2393,Giddy Potts missed Jumper.,37,37
14:15,2393,James Hawthorne Offensive Rebound.,37,37
14:09,2393,James Hawthorne made Layup.,39,37
13:47,5,Chris Cokley missed Jumper.,39,37
13:47,2393,Giddy Potts Defensive Rebound.,39,37
13:19,2393,Giddy Potts made Three Point Jumper.,42,37
12:46,5,Zack Bryant made Layup.,42,39
12:46,2393,Foul on Brandon Walters.,42,39
12:46,5,Zack Bryant made Free Throw.,42,40
12:22,2393,Giddy Potts missed Three Point Jumper.,42,40
12:22,5,UAB Defensive Rebound.,42,40
12:09,5,Zack Bryant missed Layup.,42,40
12:09,5,Chris Cokley Offensive Rebound.,42,40
12:06,5,Chris Cokley Turnover.,42,40
11:39,2393,Giddy Potts missed Jumper.,42,40
11:39,5,Chris Cokley Block.,42,40
11:36,2393,Nick King Offensive Rebound.,42,40
11:35,5,Foul on Zack Bryant.,42,40
11:35,5,Official TV Timeout,42,40
11:21,2393,Nick King missed Layup.,42,40
11:21,5,Nate Darling Block.,42,40
11:21,2393,Middle Tennessee Offensive Rebound.,42,40
11:17,2393,Giddy Potts missed Three Point Jumper.,42,40
11:17,5,Zack Bryant Defensive Rebound.,42,40
11:13,5,Jalen Perry missed Layup.,42,40
11:13,2393,Donovan Sims Defensive Rebound.,42,40
11:05,2393,Nick King made Dunk. Assisted by David Simmons.,44,40
10:44,2393,Foul on Karl Gamble.,44,40
10:44,5,Chris Cokley made Free Throw.,44,41
10:44,5,Chris Cokley made Free Throw.,44,42
10:16,2393,Donovan Sims missed Three Point Jumper.,44,42
10:16,5,Zack Bryant Defensive Rebound.,44,42
10:06,5,Zack Bryant made Layup.,44,44
9:46,2393,David Simmons missed Layup.,44,44
9:46,5,Zack Bryant Defensive Rebound.,44,44
9:35,2393,Foul on David Simmons.,44,44
9:35,5,Zack Bryant made Free Throw.,44,45
9:35,5,Zack Bryant made Free Throw.,44,46
9:20,2393,Nick King made Layup. Assisted by Tyrik Dixon.,46,46
8:52,5,Jalen Perry made Three Point Jumper. Assisted by Nate Darling.,46,49
8:27,2393,Nick King made Three Point Jumper. Assisted by Antwain Johnson.,49,49
7:50,5,UAB  Turnover.,49,49
7:50,5,Official TV Timeout,49,49
7:27,2393,Antwain Johnson missed Jumper.,49,49
7:27,5,William Lee Defensive Rebound.,49,49
7:02,5,Chris Cokley missed Layup.,49,49
7:02,2393,Nick King Defensive Rebound.,49,49
6:51,2393,Nick King made Layup. Assisted by Tyrik Dixon.,51,49
6:51,5,Foul on William Lee.,51,49
6:51,2393,Nick King made Free Throw.,52,49
6:40,5,Jalen Perry missed Jumper.,52,49
6:40,2393,Nick King Defensive Rebound.,52,49
6:17,2393,Antwain Johnson made Jumper.,54,49
5:46,5,Zack Bryant made Jumper. Assisted by Chris Cokley.,54,51
5:41,5,UAB  Timeout,54,51
5:10,2393,Nick King Turnover.,54,51
4:50,5,Zack Bryant missed Layup.,54,51
4:50,2393,Brandon Walters Defensive Rebound.,54,51
4:31,2393,Nick King Turnover.,54,51
4:31,2393,Foul on Nick King.,54,51
4:06,5,Jalen Perry missed Layup.,54,51
4:06,2393,Giddy Potts Block.,54,51
4:06,5,UAB Offensive Rebound.,54,51
3:52,2393,Foul on James Hawthorne.,54,51
3:49,5,William Lee missed Free Throw.,54,51
3:49,5,UAB Deadball Team Rebound.,54,51
3:48,2393,Nick King made Dunk. Assisted by Antwain Johnson.,56,51
3:25,2393,Foul on Giddy Potts.,56,51
3:25,5,Official TV Timeout,56,51
3:24,5,Nick Norton made Free Throw.,56,52
3:24,5,Nick Norton made Free Throw.,56,53
3:23,5,William Lee made Free Throw.,56,54
2:58,2393,Giddy Potts Turnover.,56,54
2:40,5,Nick Norton made Three Point Jumper. Assisted by William Lee.,56,57
2:31,2393,Middle Tennessee  Timeout,56,57
2:25,5,Foul on Lewis Sullivan.,56,57
2:25,2393,Nick King made Free Throw.,57,57
2:25,2393,Nick King made Free Throw.,58,57
2:07,5,Chris Cokley missed Layup.,58,57
2:07,5,William Lee Offensive Rebound.,58,57
2:04,2393,Foul on Tyrik Dixon.,58,57
2:04,5,William Lee made Free Throw.,58,58
2:04,5,William Lee made Free Throw.,58,59
1:43,2393,Nick King missed Layup.,58,59
1:43,5,Lewis Sullivan Block.,58,59
1:40,2393,Nick King Offensive Rebound.,58,59
1:39,2393,Nick King made Layup.,60,59
1:39,5,Foul on Lewis Sullivan.,60,59
1:39,2393,Nick King made Free Throw.,61,59
1:19,5,Nick Norton missed Three Point Jumper.,61,59
1:19,2393,Giddy Potts Defensive Rebound.,61,59
0:54,2393,Nick King missed Jumper.,61,59
0:54,5,UAB Defensive Rebound.,61,59
0:26,5,Jalen Perry missed Three Point Jumper.,61,59
0:26,5,Chris Cokley Offensive Rebound.,61,59
0:13,2393,Foul on Brandon Walters.,61,59
0:13,5,Zack Bryant made Free Throw.,61,60
0:13,5,Zack Bryant missed Free Throw.,61,60
0:13,2393,Brandon Walters Defensive Rebound.,61,60
0:03,5,Foul on Zack Bryant.,61,60
0:03,5,UAB  Timeout,61,60
0:02,5,UAB  Timeout,61,60
0:02,2393,Nick King made Free Throw.,62,60
0:02,2393,Nick King made Free Throw.,63,60
0:01,5,Foul on Chris Cokley.,61,60
0:00,5,Nick Norton missed Three Point Jumper.,63,60
0:00,2393,Middle Tennessee Defensive Rebound.,63,60
0:00,5,End of Game,63,60
