New Orleans,2277,Houston Baptist,2443
15:54,2277,Ian DuBose made Three Point Jumper.,35,34
15:40,2443,Travin Thibodeaux missed Jumper.,35,34
15:40,2277,Edward Hardt Defensive Rebound.,35,34
15:25,2443,Foul on Troy Green.,35,34
15:25,2277,Official TV Timeout,35,34
15:16,2277,Jalon Gates made Three Point Jumper. Assisted by Philip McKenzie.,35,37
14:56,2443,Damion Rosser made Jumper.,37,37
14:40,2277,Jalon Gates made Layup.,37,39
14:30,2443,Bryson Robinson missed Layup.,37,39
14:30,2277,Ian DuBose Defensive Rebound.,37,39
14:23,2277,Foul on Ian DuBose.,37,39
14:23,2277,Ian DuBose Turnover.,37,39
14:13,2277,Foul on Jalon Gates.,37,39
14:10,2443,Damion Rosser Turnover.,37,39
14:03,2277,Ian DuBose made Layup.,37,41
14:03,2443,Foul on Ezekiel Charles.,37,41
14:03,2277,Ian DuBose missed Free Throw.,37,41
14:03,2443,Travin Thibodeaux Defensive Rebound.,37,41
13:39,2443,Scott Plaisance missed Jumper.,37,41
13:39,2443,Damion Rosser Offensive Rebound.,37,41
13:33,2443,Foul on Damion Rosser.,37,41
13:33,2443,Damion Rosser Turnover.,37,41
13:17,2277,Foul on Tim Myles.,37,41
13:17,2277,Tim Myles Turnover.,37,41
12:56,2443,Tyren Harrison Turnover.,37,41
12:56,2277,Tim Myles Steal.,37,41
12:48,2277,Ian DuBose Turnover.,37,41
12:26,2443,Travin Thibodeaux missed Layup.,37,41
12:26,2277,Chukuka Emili Block.,37,41
12:25,2277,Ian DuBose Defensive Rebound.,37,41
12:16,2277,Jalon Gates missed Three Point Jumper.,37,41
12:16,2277,Chukuka Emili Offensive Rebound.,37,41
12:13,2277,Chukuka Emili missed Layup.,37,41
12:13,2443,Travin Thibodeaux Block.,37,41
12:12,2443,Matthew Jiles Defensive Rebound.,37,41
12:03,2443,Ezekiel Charles made Three Point Jumper. Assisted by Travin Thibodeaux.,40,41
12:00,2443,New Orleans  Timeout,40,41
11:38,2277,Braxton Bonds missed Layup.,40,41
11:38,2443,Travin Thibodeaux Defensive Rebound.,40,41
11:34,2277,Official TV Timeout,40,41
11:16,2443,Travin Thibodeaux missed Jumper.,40,41
11:16,2443,Makur Puou Offensive Rebound.,40,41
11:14,2443,Makur Puou missed Layup.,40,41
11:14,2277,Ian DuBose Defensive Rebound.,40,41
10:57,2277,Ian DuBose made Three Point Jumper. Assisted by Braxton Bonds.,40,44
10:40,2443,Travin Thibodeaux missed Jumper.,40,44
10:40,2443,Tyren Harrison Offensive Rebound.,40,44
10:30,2443,Makur Puou made Layup. Assisted by Tyren Harrison.,42,44
10:08,2277,Chukuka Emili missed Layup.,42,44
10:08,2443,Makur Puou Block.,42,44
10:07,2443,Tyren Harrison Defensive Rebound.,42,44
10:05,2443,Technical Foul on Makur Puou.,42,44
10:05,2443,Foul on Makur Puou.,42,44
10:05,2443,Makur Puou Turnover.,42,44
10:05,2277,Jalon Gates missed Free Throw.,42,44
10:05,2277,Houston Baptist Deadball Team Rebound.,42,44
10:05,2277,Jalon Gates made Free Throw.,42,45
9:51,2443,Makur Puou Turnover.,42,45
9:50,2277,Ian DuBose Steal.,42,45
9:48,2277,Ian DuBose made Dunk.,42,47
9:36,2443,Travin Thibodeaux made Jumper.,44,47
9:21,2277,Houston Baptist  Timeout,44,47
9:14,2277,Oliver Lynch-Daniels missed Jumper.,44,47
9:14,2277,Houston Baptist Offensive Rebound.,44,47
8:59,2277,Ian DuBose made Three Point Jumper. Assisted by Edward Hardt.,44,50
8:29,2443,Matthew Jiles made Three Point Jumper. Assisted by Ezekiel Charles.,47,50
8:18,2277,William Gates Jr. missed Layup.,47,50
8:18,2443,Makur Puou Block.,47,50
8:17,2443,Travin Thibodeaux Defensive Rebound.,47,50
8:07,2443,Matthew Jiles Turnover.,47,50
7:48,2277,Chukuka Emili missed Three Point Jumper.,47,50
7:48,2443,Michael Zeno Defensive Rebound.,47,50
7:23,2443,Michael Zeno missed Layup.,47,50
7:23,2443,Michael Zeno Offensive Rebound.,47,50
7:20,2443,Michael Zeno Turnover.,47,50
7:19,2277,Philip McKenzie Steal.,47,50
7:03,2277,Edward Hardt made Layup. Assisted by Oliver Lynch-Daniels.,47,52
6:53,2277,Foul on Chukuka Emili.,47,52
6:53,2277,Official TV Timeout,47,52
6:37,2443,Tyren Harrison made Jumper.,49,52
6:37,2277,Foul on Edward Hardt.,49,52
6:37,2443,Tyren Harrison missed Free Throw.,49,52
6:37,2277,Philip McKenzie Defensive Rebound.,49,52
6:23,2277,Chukuka Emili missed Three Point Jumper.,49,52
6:23,2277,Oliver Lynch-Daniels Offensive Rebound.,49,52
6:18,2277,Chukuka Emili missed Jumper.,49,52
6:18,2443,Tyren Harrison Defensive Rebound.,49,52
6:03,2443,Foul on Troy Green.,49,52
6:03,2443,Troy Green Turnover.,49,52
5:52,2277,Jalon Gates Turnover.,49,52
5:49,2443,Scott Plaisance made Dunk.,51,52
5:29,2277,Edward Hardt Turnover.,51,52
5:29,2443,Travin Thibodeaux Steal.,51,52
5:27,2277,Foul on Philip McKenzie.,51,52
5:27,2443,Travin Thibodeaux made Free Throw.,52,52
5:27,2443,Travin Thibodeaux made Free Throw.,53,52
5:12,2443,Foul on Bryson Robinson.,53,52
5:12,2277,Ian DuBose missed Free Throw.,53,52
5:12,2277,Houston Baptist Offensive Rebound.,53,52
4:59,2277,Tim Myles Turnover.,53,52
4:58,2443,Scott Plaisance Steal.,53,52
4:36,2443,Bryson Robinson made Three Point Jumper. Assisted by Travin Thibodeaux.,56,52
4:22,2443,Foul on Scott Plaisance.,56,52
4:22,2277,Ian DuBose missed Free Throw.,56,52
4:22,2277,Houston Baptist Deadball Team Rebound.,56,52
4:22,2277,Ian DuBose missed Free Throw.,56,52
4:22,2443,Scott Plaisance Defensive Rebound.,56,52
3:58,2443,Travin Thibodeaux Turnover.,56,52
3:58,2277,Official TV Timeout,56,52
3:58,2443,Foul on Travin Thibodeaux.,56,52
3:58,2277,Foul on Tim Myles.,56,52
3:58,2277,Technical Foul on Tim Myles.,56,52
3:58,2443,Foul on Ezekiel Charles.,56,52
3:58,2443,Technical Foul on Ezekiel Charles.,56,52
3:58,2277,Jalon Gates made Free Throw.,56,53
3:58,2277,Jalon Gates made Free Throw.,56,54
3:37,2277,Braxton Bonds Turnover.,56,54
3:36,2443,Tyren Harrison Steal.,56,54
3:03,2443,Bryson Robinson made Layup. Assisted by Travin Thibodeaux.,58,54
2:37,2277,Tim Myles missed Layup.,58,54
2:37,2443,Tyren Harrison Block.,58,54
2:36,2277,Houston Baptist Offensive Rebound.,58,54
2:32,2277,Philip McKenzie made Jumper.,58,56
2:32,2443,Foul on Scott Plaisance.,58,56
2:32,2277,Philip McKenzie missed Free Throw.,58,56
2:32,2443,Travin Thibodeaux Defensive Rebound.,58,56
2:15,2443,Travin Thibodeaux missed Layup.,58,56
2:15,2277,Edward Hardt Defensive Rebound.,58,56
2:10,2443,Foul on Travin Thibodeaux.,58,56
2:10,2277,Edward Hardt made Free Throw.,58,57
2:10,2277,Edward Hardt missed Free Throw.,58,57
2:10,2443,New Orleans Defensive Rebound.,58,57
1:59,2443,Troy Green missed Layup.,58,57
1:59,2277,Braxton Bonds Block.,58,57
1:57,2277,Edward Hardt Defensive Rebound.,58,57
1:50,2277,Ian DuBose Turnover.,58,57
1:28,2443,Bryson Robinson missed Three Point Jumper.,58,57
1:28,2443,Scott Plaisance Offensive Rebound.,58,57
1:27,2443,Scott Plaisance made Two Point Tip Shot.,60,57
1:25,2277,Houston Baptist  Timeout,60,57
1:11,2277,Jalon Gates missed Three Point Jumper.,60,57
1:11,2443,Troy Green Defensive Rebound.,60,57
0:46,2443,Travin Thibodeaux Turnover.,60,57
0:46,2277,Philip McKenzie Steal.,60,57
0:41,2277,Foul on Ian DuBose.,60,57
0:41,2277,Ian DuBose Turnover.,60,57
0:33,2277,Foul on Philip McKenzie.,60,57
0:33,2443,Ezekiel Charles made Free Throw.,61,57
0:33,2443,Ezekiel Charles made Free Throw.,62,57
0:18,2277,Jalon Gates missed Three Point Jumper.,62,57
0:18,2443,Travin Thibodeaux Defensive Rebound.,62,57
0:14,2277,Foul on Braxton Bonds.,62,57
0:14,2443,Travin Thibodeaux made Free Throw.,63,57
0:14,2443,Travin Thibodeaux made Free Throw.,64,57
0:10,2277,Ian DuBose missed Three Point Jumper.,64,57
