Massachusetts,179,St. Bonaventure,113
11:27,179,LaDarien Griffin missed Jumper.,12,23
11:27,113,C.J. Anderson Defensive Rebound.,12,23
11:09,113,C.J. Anderson made Layup.,14,23
10:54,179,Jaylen Adams missed Layup.,14,23
10:54,179,LaDarien Griffin Offensive Rebound.,14,23
10:48,179,LaDarien Griffin missed Layup.,14,23
10:48,179,LaDarien Griffin Offensive Rebound.,14,23
10:47,179,LaDarien Griffin missed Layup.,14,23
10:47,113,UMass Defensive Rebound.,14,23
10:47,179,Official TV Timeout,14,23
10:32,113,Luwane Pipkins missed Three Point Jumper.,14,23
10:32,179,Jaylen Adams Defensive Rebound.,14,23
10:21,179,Jaylen Adams missed Three Point Jumper.,14,23
10:21,113,Rashaan Holloway Defensive Rebound.,14,23
10:11,113,Rashaan Holloway made Layup. Assisted by Malik Hines.,16,23
9:57,179,Josh Ayeni missed Jumper.,16,23
9:57,179,Josh Ayeni Offensive Rebound.,16,23
9:51,179,Josh Ayeni missed Jumper.,16,23
9:51,113,Luwane Pipkins Defensive Rebound.,16,23
9:46,113,C.J. Anderson missed Three Point Jumper.,16,23
9:46,179,Jaylen Adams Defensive Rebound.,16,23
9:39,113,Foul on Luwane Pipkins.,16,23
9:37,179,Courtney Stockard Turnover.,16,23
9:35,113,C.J. Anderson Steal.,16,23
9:28,113,Foul on Rashaan Holloway.,16,23
9:28,113,Rashaan Holloway Turnover.,16,23
9:10,179,Josh Ayeni missed Jumper.,16,23
9:10,113,Chris Baldwin Defensive Rebound.,16,23
8:56,113,Unique McLean made Dunk.,18,23
8:40,179,Matt Mobley Turnover.,18,23
8:13,113,Rayshawn Miller missed Jumper.,18,23
8:13,113,C.J. Anderson Offensive Rebound.,18,23
8:08,113,Carl Pierre made Three Point Jumper. Assisted by C.J. Anderson.,21,23
7:52,179,Foul on Courtney Stockard.,21,23
7:52,179,Courtney Stockard Turnover.,21,23
7:52,179,Official TV Timeout,21,23
7:24,113,C.J. Anderson missed Layup.,21,23
7:24,113,Unique McLean Offensive Rebound.,21,23
7:19,113,Unique McLean made Dunk.,23,23
7:10,179,Matt Mobley missed Three Point Jumper.,23,23
7:10,179,Courtney Stockard Offensive Rebound.,23,23
7:04,113,Foul on Chris Baldwin.,23,23
7:04,179,Courtney Stockard missed Free Throw.,23,23
7:04,179,St. Bonaventure Deadball Team Rebound.,23,23
7:04,179,Courtney Stockard made Free Throw.,23,24
6:35,113,Rayshawn Miller missed Jumper.,23,24
6:35,179,Idris Taqqee Defensive Rebound.,23,24
6:24,179,Courtney Stockard Turnover.,23,24
6:22,113,Rayshawn Miller Steal.,23,24
6:20,113,C.J. Anderson made Dunk. Assisted by Rayshawn Miller.,25,24
6:15,113,Foul on Unique McLean.,25,24
6:15,179,Jaylen Adams made Free Throw.,25,25
6:15,179,Jaylen Adams made Free Throw.,25,26
6:05,113,C.J. Anderson missed Jumper.,25,26
6:05,113,Chris Baldwin Offensive Rebound.,25,26
5:59,113,Chris Baldwin missed Dunk.,25,26
5:59,179,Matt Mobley Defensive Rebound.,25,26
5:58,179,Matt Mobley Turnover.,25,26
5:36,113,C.J. Anderson Turnover.,25,26
5:35,179,LaDarien Griffin Steal.,25,26
5:32,179,Courtney Stockard made Layup.,25,28
5:19,113,C.J. Anderson made Jumper.,27,28
5:07,179,Matt Mobley made Three Point Jumper. Assisted by Jaylen Adams.,27,31
4:46,113,Unique McLean missed Jumper.,27,31
4:46,179,LaDarien Griffin Defensive Rebound.,27,31
4:32,179,Jaylen Adams made Layup.,27,33
4:08,113,Carl Pierre made Jumper.,29,33
3:39,179,Jaylen Adams made Three Point Jumper.,29,36
3:10,113,Malik Hines made Layup. Assisted by Unique McLean.,31,36
3:10,179,Foul on Courtney Stockard.,31,36
3:10,179,Official TV Timeout,31,36
3:10,113,Malik Hines missed Free Throw.,31,36
3:10,179,Idris Taqqee Defensive Rebound.,31,36
2:51,179,Jaylen Adams made Three Point Jumper. Assisted by Matt Mobley.,31,39
2:29,113,Malik Hines made Dunk. Assisted by C.J. Anderson.,33,39
2:21,179,Jaylen Adams made Three Point Jumper.,33,42
2:02,113,Chris Baldwin missed Three Point Jumper.,33,42
2:02,179,Matt Mobley Defensive Rebound.,33,42
1:55,179,Matt Mobley made Three Point Jumper.,33,45
1:49,113,UMass  Timeout,33,45
1:29,179,Foul on LaDarien Griffin.,33,45
1:17,179,Foul on Josh Ayeni.,33,45
1:17,113,Luwane Pipkins made Free Throw.,34,45
1:17,113,Luwane Pipkins made Free Throw.,35,45
1:05,179,Matt Mobley missed Three Point Jumper.,35,45
1:05,113,UMass Defensive Rebound.,35,45
0:45,179,Foul on Josh Ayeni.,35,45
0:44,113,Rayshawn Miller made Three Point Jumper. Assisted by C.J. Anderson.,38,45
0:40,179,Foul on Jaylen Adams.,38,45
0:40,113,C.J. Anderson missed Free Throw.,38,45
0:40,179,Idris Taqqee Defensive Rebound.,38,45
0:40,113,Foul on Chris Baldwin.,38,45
0:40,179,Idris Taqqee missed Free Throw.,38,45
0:40,113,C.J. Anderson Defensive Rebound.,38,45
0:25,113,Carl Pierre Turnover.,38,45
0:24,179,LaDarien Griffin Steal.,38,45
0:21,179,St. Bonaventure  Timeout,38,45
0:03,179,Amadi Ikpeze made Layup. Assisted by Idris Taqqee.,38,47
0:00,179,End of 1st half,10,20
19:40,179,Josh Ayeni missed Jumper.,38,47
19:40,113,Luwane Pipkins Defensive Rebound.,38,47
19:33,113,Rashaan Holloway made Layup. Assisted by Luwane Pipkins.,40,47
19:15,179,Josh Ayeni made Jumper. Assisted by Jaylen Adams.,40,49
18:41,113,Rashaan Holloway made Layup. Assisted by C.J. Anderson.,42,49
18:30,179,Idris Taqqee missed Layup.,42,49
18:30,113,UMass Defensive Rebound.,42,49
18:15,113,Carl Pierre missed Jumper.,42,49
18:15,113,Malik Hines Offensive Rebound.,42,49
18:10,179,Foul on Josh Ayeni.,42,49
18:10,113,Malik Hines made Free Throw.,43,49
18:10,113,Malik Hines made Free Throw.,44,49
18:03,179,Amadi Ikpeze Turnover.,44,49
17:59,113,Carl Pierre missed Three Point Jumper.,44,49
17:59,179,Idris Taqqee Defensive Rebound.,44,49
17:52,113,Foul on Malik Hines.,44,49
17:52,179,Idris Taqqee missed Free Throw.,44,49
17:52,179,St. Bonaventure Deadball Team Rebound.,44,49
17:52,179,Idris Taqqee made Free Throw.,44,50
17:41,113,Foul on Rashaan Holloway.,44,50
17:41,113,Rashaan Holloway Turnover.,44,50
17:24,179,Amadi Ikpeze made Layup. Assisted by LaDarien Griffin.,44,52
17:24,113,Foul on Chris Baldwin.,44,52
17:24,179,Amadi Ikpeze made Free Throw.,44,53
17:05,113,C.J. Anderson Turnover.,44,53
17:00,113,Foul on Luwane Pipkins.,44,53
16:56,179,Amadi Ikpeze missed Layup.,44,53
16:56,113,Malik Hines Block.,44,53
16:53,179,LaDarien Griffin Offensive Rebound.,44,53
16:50,179,Matt Mobley made Three Point Jumper. Assisted by LaDarien Griffin.,44,56
16:43,113,C.J. Anderson missed Layup.,44,56
16:43,179,Idris Taqqee Defensive Rebound.,44,56
16:33,179,Matt Mobley Turnover.,44,56
16:32,113,Malik Hines Steal.,44,56
16:27,179,Foul on Jaylen Adams.,44,56
16:16,113,Luwane Pipkins made Three Point Jumper.,47,56
16:07,113,Foul on C.J. Anderson.,47,56
16:07,179,Jaylen Adams made Free Throw.,47,57
16:07,179,Jaylen Adams missed Free Throw.,47,57
16:07,113,C.J. Anderson Defensive Rebound.,47,57
15:55,113,Chris Baldwin Turnover.,47,57
15:55,179,Official TV Timeout,47,57
15:30,179,Matt Mobley missed Layup.,47,57
15:30,113,Malik Hines Block.,47,57
15:27,179,Matt Mobley Offensive Rebound.,47,57
15:24,179,Jaylen Adams missed Three Point Jumper.,47,57
15:24,179,Idris Taqqee Offensive Rebound.,47,57
15:23,179,Idris Taqqee missed Two Point Tip Shot.,47,57
15:23,113,UMass Defensive Rebound.,47,57
15:05,113,Luwane Pipkins missed Layup.,47,57
15:05,179,Idris Taqqee Block.,47,57
15:04,179,Idris Taqqee Defensive Rebound.,47,57
14:57,113,Foul on Unique McLean.,47,57
14:57,179,Jaylen Adams made Free Throw.,47,58
14:57,179,Jaylen Adams made Free Throw.,47,59
14:35,113,Unique McLean Turnover.,47,59
14:19,179,Amadi Ikpeze made Layup. Assisted by Jaylen Adams.,47,61
14:12,113,Luwane Pipkins missed Three Point Jumper.,47,61
14:12,113,Malik Hines Offensive Rebound.,47,61
13:52,113,Rayshawn Miller missed Three Point Jumper.,47,61
13:52,179,Courtney Stockard Defensive Rebound.,47,61
13:32,179,Jaylen Adams missed Layup.,47,61
13:32,179,Amadi Ikpeze Offensive Rebound.,47,61
13:31,179,Amadi Ikpeze missed Two Point Tip Shot.,47,61
13:31,179,Amadi Ikpeze Offensive Rebound.,47,61
13:31,113,Foul on C.J. Anderson.,47,61
13:31,179,Amadi Ikpeze made Free Throw.,47,62
13:31,179,Amadi Ikpeze made Free Throw.,47,63
13:13,113,Rashaan Holloway Turnover.,47,63
13:11,179,Matt Mobley Steal.,47,63
13:07,179,Courtney Stockard missed Three Point Jumper.,47,63
13:07,179,Idris Taqqee Offensive Rebound.,47,63
13:02,179,Jaylen Adams made Three Point Jumper. Assisted by Idris Taqqee.,47,66
12:57,113,UMass  Timeout,47,66
12:57,179,Official TV Timeout,47,66
12:35,113,Rashaan Holloway missed Layup.,47,66
12:35,113,Rashaan Holloway Offensive Rebound.,47,66
12:34,179,Foul on Idris Taqqee.,47,66
12:34,113,Rashaan Holloway missed Free Throw.,47,66
12:34,113,UMass Deadball Team Rebound.,47,66
12:34,113,Rashaan Holloway made Free Throw.,48,66
12:10,179,Jaylen Adams made Layup. Assisted by Matt Mobley.,48,68
12:01,179,Foul on Amadi Ikpeze.,48,68
11:54,179,Foul on Amadi Ikpeze.,48,68
11:54,179,Official TV Timeout,48,68
11:54,113,Rashaan Holloway missed Free Throw.,48,68
11:54,113,UMass Deadball Team Rebound.,48,68
11:54,113,Rashaan Holloway missed Free Throw.,48,68
11:54,179,Courtney Stockard Defensive Rebound.,48,68
11:37,179,Matt Mobley made Jumper.,48,70
11:28,113,Carl Pierre Turnover.,48,70
11:26,179,Idris Taqqee Steal.,48,70
11:05,179,Matt Mobley made Layup.,48,72
10:46,113,Chris Baldwin made Three Point Jumper. Assisted by Luwane Pipkins.,51,72
10:27,179,Matt Mobley made Jumper.,51,74
10:25,113,Foul on Carl Pierre.,51,74
10:25,179,Matt Mobley made Free Throw.,51,75
10:01,113,Chris Baldwin missed Jumper.,51,75
10:01,179,Josh Ayeni Defensive Rebound.,51,75
9:35,179,Josh Ayeni made Dunk. Assisted by Jaylen Adams.,51,77
9:16,113,Malik Hines made Layup.,53,77
9:15,179,Foul on Josh Ayeni.,53,77
9:15,113,Malik Hines missed Free Throw.,53,77
9:15,179,Courtney Stockard Defensive Rebound.,53,77
9:03,179,Courtney Stockard missed Jumper.,53,77
9:03,113,Malik Hines Defensive Rebound.,53,77
8:50,113,C.J. Anderson missed Jumper.,53,77
8:50,113,C.J. Anderson Offensive Rebound.,53,77
8:47,113,Luwane Pipkins missed Layup.,53,77
8:47,113,Malik Hines Offensive Rebound.,53,77
8:44,113,Malik Hines made Layup.,55,77
8:22,179,Jaylen Adams made Layup.,55,79
8:22,113,Foul on Chris Baldwin.,55,79
8:22,179,Jaylen Adams made Free Throw.,55,80
8:03,113,Rayshawn Miller made Jumper.,57,80
7:40,179,Courtney Stockard made Layup. Assisted by Jaylen Adams.,57,82
7:29,179,Official TV Timeout,57,82
7:25,113,Luwane Pipkins missed Three Point Jumper.,57,82
7:25,113,C.J. Anderson Offensive Rebound.,57,82
7:19,113,C.J. Anderson made Jumper.,59,82
7:11,179,Matt Mobley missed Three Point Jumper.,59,82
7:11,113,C.J. Anderson Defensive Rebound.,59,82
7:01,113,C.J. Anderson made Three Point Jumper. Assisted by Luwane Pipkins.,62,82
6:30,179,Jaylen Adams missed Jumper.,62,82
6:30,179,LaDarien Griffin Offensive Rebound.,62,82
6:26,179,LaDarien Griffin missed Jumper.,62,82
6:26,113,Unique McLean Defensive Rebound.,62,82
6:07,113,Rayshawn Miller missed Three Point Jumper.,62,82
6:07,179,Jaylen Adams Defensive Rebound.,62,82
5:59,113,Foul on Unique McLean.,62,82
5:59,179,Jaylen Adams missed Free Throw.,62,82
5:59,179,St. Bonaventure Deadball Team Rebound.,62,82
5:59,179,Jaylen Adams made Free Throw.,62,83
5:26,113,Luwane Pipkins missed Three Point Jumper.,62,83
5:26,113,Unique McLean Offensive Rebound.,62,83
5:22,113,Unique McLean missed Two Point Tip Shot.,62,83
5:22,113,Malik Hines Offensive Rebound.,62,83
5:17,113,Malik Hines made Dunk.,64,83
5:09,179,LaDarien Griffin Turnover.,64,83
4:56,113,C.J. Anderson missed Jumper.,64,83
4:56,179,Idris Taqqee Defensive Rebound.,64,83
4:31,179,Matt Mobley missed Three Point Jumper.,64,83
4:31,113,Malik Hines Defensive Rebound.,64,83
4:25,113,Luwane Pipkins made Layup. Assisted by Malik Hines.,66,83
4:17,113,Foul on Luwane Pipkins.,66,83
4:17,179,Courtney Stockard made Free Throw.,66,84
4:17,179,Courtney Stockard made Free Throw.,66,85
4:01,113,Malik Hines made Layup. Assisted by C.J. Anderson.,68,85
4:01,179,Foul on Courtney Stockard.,68,85
4:01,113,Malik Hines missed Free Throw.,68,85
4:01,179,Courtney Stockard Defensive Rebound.,68,85
3:44,179,Jaylen Adams made Jumper.,68,87
3:18,113,Carl Pierre missed Three Point Jumper.,68,87
3:18,113,Unique McLean Offensive Rebound.,68,87
3:08,179,Foul on Idris Taqqee.,68,87
3:08,179,Official TV Timeout,68,87
3:08,113,Malik Hines made Free Throw.,69,87
3:08,113,Malik Hines made Free Throw.,70,87
2:42,179,Matt Mobley missed Three Point Jumper.,70,87
2:42,179,Courtney Stockard Offensive Rebound.,70,87
2:13,179,Jaylen Adams made Layup.,70,89
2:13,113,Foul on Carl Pierre.,70,89
2:13,179,Jaylen Adams made Free Throw.,70,90
1:45,113,Luwane Pipkins made Three Point Jumper.,73,90
1:35,179,Idris Taqqee made Layup. Assisted by Jaylen Adams.,73,92
1:28,113,Luwane Pipkins Turnover.,73,92
1:27,179,Jaylen Adams Steal.,73,92
1:24,179,Matt Mobley made Dunk.,73,94
1:22,179,St. Bonaventure  Timeout,73,94
1:01,179,Foul on Tshiefu Ngalakulondi.,73,94
1:01,113,Carl Pierre made Free Throw.,74,94
1:01,113,Carl Pierre made Free Throw.,75,94
0:54,179,Nelson Kaputo made Layup.,75,96
0:24,113,Rayshawn Miller missed Three Point Jumper.,75,96
0:24,179,Tshiefu Ngalakulondi Defensive Rebound.,75,96
0:17,179,Izaiah Brockington made Layup.,75,98
0:08,113,Jaylen Franklin made Three Point Jumper. Assisted by Rayshawn Miller.,78,98
0:00,179,End of Game,78,98
