Jamestown,Error,North Dakota State,2449
8:06,2449,Jared Samuelson missed Three Point Jumper.,20,34
8:06,2449,Spencer Eliason Offensive Rebound.,20,34
8:03,2449,Spencer Eliason made Two Point Tip Shot.,20,36
7:52,-1,Kevin Oberweiser missed Three Point Jumper.,20,36
7:52,2449,Tyson Ward Defensive Rebound.,20,36
7:30,2449,Spencer Eliason made Layup. Assisted by Tyson Ward.,20,38
7:06,-1,Sam Johnson missed Three Point Jumper.,20,38
7:06,2449,Tyson Ward Defensive Rebound.,20,38
6:59,2449,A.J. Jacobson missed Three Point Jumper.,20,38
6:59,-1,Leighton Sampson Defensive Rebound.,20,38
6:46,2449,Foul on Spencer Eliason.,20,38
6:46,2449,Official TV Timeout,20,38
6:46,-1,Technical Foul on Jamestown.,20,38
6:46,2449,Jared Samuelson made Free Throw.,20,39
6:46,-1,Kevin Oberweiser made Free Throw.,21,39
6:46,-1,Kevin Oberweiser made Free Throw.,22,39
6:39,-1,Foul on Sam Johnson.,22,39
6:33,2449,Cameron Hunter made Layup. Assisted by A.J. Jacobson.,22,41
6:18,-1,Stefan Jevdjenijevic Turnover.,22,41
6:17,2449,Cameron Hunter Steal.,22,41
6:14,2449,Foul on Cameron Hunter.,22,41
6:14,2449,Cameron Hunter Turnover.,22,41
5:58,-1,Sam Johnson missed Layup.,22,41
5:58,2449,Tyson Ward Defensive Rebound.,22,41
5:50,2449,Spencer Eliason missed Layup.,22,41
5:50,-1,Jamestown Defensive Rebound.,22,41
5:37,-1,Jon Purintun made Jumper.,24,41
5:16,2449,Rocky Kreuser made Layup. Assisted by Cameron Hunter.,24,43
5:05,-1,Sam Johnson missed Three Point Jumper.,24,43
5:05,2449,Cameron Hunter Defensive Rebound.,24,43
4:41,2449,Rocky Kreuser missed Jumper.,24,43
4:41,-1,Brock Schrom Block.,24,43
4:41,2449,North Dakota State Offensive Rebound.,24,43
4:36,2449,Paul Miller made Jumper. Assisted by Deng Geu.,24,45
4:26,-1,Christian Kvilvang missed Three Point Jumper.,24,45
4:26,2449,Deng Geu Defensive Rebound.,24,45
4:15,-1,Foul on Leighton Sampson.,24,45
4:15,2449,Deng Geu missed Free Throw.,24,45
4:15,2449,North Dakota State Deadball Team Rebound.,24,45
4:15,2449,Deng Geu missed Free Throw.,24,45
4:15,-1,Ben Weisbeck Defensive Rebound.,24,45
3:59,-1,Leighton Sampson made Jumper.,26,45
3:49,-1,Foul on Leighton Sampson.,26,45
3:49,2449,Official TV Timeout,26,45
3:49,2449,Cameron Hunter made Free Throw.,26,46
3:49,2449,Cameron Hunter made Free Throw.,26,47
3:22,-1,Ben Weisbeck missed Jumper.,26,47
3:22,2449,Tyson Ward Defensive Rebound.,26,47
3:08,2449,Tyson Ward Turnover.,26,47
3:05,-1,Ben Weisbeck Steal.,26,47
2:43,-1,Ben Weisbeck missed Jumper.,26,47
2:43,2449,Tyson Ward Defensive Rebound.,26,47
2:33,2449,Rocky Kreuser made Layup. Assisted by Tyson Ward.,26,49
2:11,-1,Jon Purintun Turnover.,26,49
2:10,2449,Cameron Hunter Steal.,26,49
2:08,-1,Foul on Jon Purintun.,26,49
2:08,2449,Tyson Ward made Free Throw.,26,50
2:08,2449,Tyson Ward made Free Throw.,26,51
1:56,-1,Ben Weisbeck made Jumper.,28,51
1:31,2449,Dylan Miller made Dunk. Assisted by Paul Miller.,28,53
1:00,-1,Leighton Sampson missed Layup.,28,53
1:00,2449,Chris Quayle Defensive Rebound.,28,53
0:42,2449,A.J. Jacobson made Three Point Jumper. Assisted by Jared Samuelson.,28,56
0:18,-1,Jon Purintun missed Three Point Jumper.,28,56
0:18,2449,Jared Samuelson Defensive Rebound.,28,56
0:01,2449,Dylan Miller missed Three Point Jumper.,28,56
0:01,2449,A.J. Jacobson Offensive Rebound.,28,56
0:00,2449,End of 1st half,28,56
19:49,2449,Paul Miller made Three Point Jumper. Assisted by Cameron Hunter.,28,59
19:40,-1,Kevin Oberweiser missed Three Point Jumper.,28,59
19:40,2449,Cameron Hunter Defensive Rebound.,28,59
19:32,2449,Cameron Hunter Turnover.,28,59
19:31,-1,Leighton Sampson Steal.,28,59
19:26,-1,Jon Purintun made Layup.,30,59
19:09,2449,Spencer Eliason missed Layup.,30,59
19:09,2449,Tyson Ward Offensive Rebound.,30,59
18:52,2449,Paul Miller missed Three Point Jumper.,30,59
18:52,-1,Sam Johnson Defensive Rebound.,30,59
18:19,-1,Sam Johnson missed Three Point Jumper.,30,59
18:19,2449,Tyson Ward Defensive Rebound.,30,59
18:19,2449,A.J. Jacobson made Layup.,30,61
18:19,-1,Foul on Leighton Sampson.,30,61
18:18,2449,A.J. Jacobson made Free Throw.,30,62
17:56,-1,Sam Johnson Turnover.,30,62
17:55,2449,Cameron Hunter Steal.,30,62
17:54,-1,Foul on Sam Johnson.,30,62
17:34,2449,Tyson Ward missed Layup.,30,62
17:34,-1,Jon Purintun Defensive Rebound.,30,62
17:18,-1,Jack Talley missed Three Point Jumper.,30,62
17:18,2449,Tyson Ward Defensive Rebound.,30,62
17:12,-1,Foul on Sam Johnson.,30,62
17:12,2449,Tyson Ward made Free Throw.,30,63
17:12,2449,Tyson Ward made Free Throw.,30,64
16:56,-1,Leighton Sampson missed Jumper.,30,64
16:56,2449,Spencer Eliason Block.,30,64
16:54,2449,Cameron Hunter Defensive Rebound.,30,64
16:51,2449,Paul Miller missed Three Point Jumper.,30,64
16:51,-1,Leighton Sampson Defensive Rebound.,30,64
16:33,-1,Kevin Oberweiser missed Three Point Jumper.,30,64
16:33,2449,Paul Miller Defensive Rebound.,30,64
16:25,2449,Paul Miller missed Layup.,30,64
16:25,2449,Spencer Eliason Offensive Rebound.,30,64
16:21,-1,Foul on Kevin Oberweiser.,30,64
16:21,2449,Spencer Eliason made Free Throw.,30,65
16:21,2449,Spencer Eliason made Free Throw.,30,66
16:07,-1,Jon Purintun made Jumper.,32,66
15:52,2449,Rocky Kreuser missed Three Point Jumper.,32,66
15:52,-1,Kevin Oberweiser Defensive Rebound.,32,66
15:41,-1,Jack Talley missed Layup.,32,66
15:41,2449,Paul Miller Defensive Rebound.,32,66
15:15,2449,Cameron Hunter Turnover.,32,66
15:14,-1,Jon Purintun Steal.,32,66
15:08,-1,Jack Talley made Jumper. Assisted by Jon Purintun.,34,66
14:50,2449,Chris Quayle missed Jumper.,34,66
14:50,2449,Rocky Kreuser Offensive Rebound.,34,66
14:36,2449,Chris Quayle made Three Point Jumper. Assisted by Cameron Hunter.,34,69
14:33,2449,North Dakota State  Timeout,34,69
14:33,2449,Official TV Timeout,34,69
14:23,-1,Jon Purintun made Layup.,36,69
14:23,2449,Foul on Jared Samuelson.,36,69
14:23,2449,Official TV Timeout,36,69
14:23,-1,Jon Purintun missed Free Throw.,36,69
14:23,2449,Deng Geu Defensive Rebound.,36,69
14:03,-1,Foul on Jack Talley.,36,69
14:03,2449,Deng Geu made Free Throw.,36,70
14:03,2449,Deng Geu made Free Throw.,36,71
13:56,-1,Jon Purintun missed Jumper.,36,71
13:56,2449,Chris Quayle Defensive Rebound.,36,71
13:43,2449,Rocky Kreuser made Three Point Jumper. Assisted by Chris Quayle.,36,74
13:34,-1,Foul on Jon Purintun.,36,74
13:34,-1,Jon Purintun Turnover.,36,74
13:21,2449,Deng Geu Turnover.,36,74
13:20,-1,Sam Johnson Steal.,36,74
13:11,-1,Sam Johnson missed Three Point Jumper.,36,74
13:11,2449,Tyson Ward Defensive Rebound.,36,74
12:42,2449,Rocky Kreuser Turnover.,36,74
12:40,-1,Jon Purintun Steal.,36,74
12:37,-1,Jon Purintun missed Layup.,36,74
12:37,2449,Paul Miller Block.,36,74
12:37,-1,Jamestown Offensive Rebound.,36,74
12:33,-1,Jon Purintun missed Jumper.,36,74
12:33,2449,Tyson Ward Defensive Rebound.,36,74
12:27,2449,Tyson Ward missed Three Point Jumper.,36,74
12:27,-1,Jamestown Defensive Rebound.,36,74
12:08,-1,Brady Birch missed Layup.,36,74
12:08,-1,Brady Birch Offensive Rebound.,36,74
12:05,-1,Brady Birch made Jumper.,38,74
11:32,-1,Foul on Brady Birch.,38,74
11:32,2449,Official TV Timeout,38,74
11:32,2449,Paul Miller made Free Throw.,38,75
11:32,2449,Paul Miller made Free Throw.,38,76
11:08,-1,Sam Johnson missed Three Point Jumper.,38,76
11:08,2449,Tyson Ward Defensive Rebound.,38,76
10:53,2449,Cameron Hunter made Three Point Jumper. Assisted by Chris Quayle.,38,79
10:24,-1,Kevin Oberweiser Turnover.,38,79
10:22,2449,Cameron Hunter Steal.,38,79
10:21,-1,Foul on Jon Purintun.,38,79
10:21,2449,Cameron Hunter made Free Throw.,38,80
10:21,2449,Cameron Hunter made Free Throw.,38,81
10:03,2449,Foul on Jared Samuelson.,38,81
10:03,-1,Sam Johnson missed Free Throw.,38,81
10:03,-1,Jamestown Deadball Team Rebound.,38,81
10:03,-1,Sam Johnson made Free Throw.,39,81
10:03,-1,Sam Johnson made Free Throw.,40,81
9:45,2449,Chris Quayle made Layup. Assisted by A.J. Jacobson.,40,83
9:45,-1,Foul on Leighton Sampson.,40,83
9:45,2449,Chris Quayle made Free Throw.,40,84
9:14,-1,Stefan Jevdjenijevic made Jumper.,42,84
9:00,2449,A.J. Jacobson missed Three Point Jumper.,42,84
9:00,-1,Kevin Oberweiser Defensive Rebound.,42,84
8:51,-1,Kevin Oberweiser missed Layup.,42,84
8:51,2449,A.J. Jacobson Defensive Rebound.,42,84
8:42,2449,A.J. Jacobson made Jumper.,42,86
8:17,-1,Kevin Oberweiser missed Layup.,42,86
8:17,2449,Spencer Eliason Block.,42,86
8:14,2449,A.J. Jacobson Defensive Rebound.,42,86
7:56,2449,Paul Miller missed Jumper.,42,86
7:56,-1,Jamestown Deadball Team Rebound.,42,86
7:53,2449,Foul on Spencer Eliason.,42,86
7:53,2449,Official TV Timeout,42,86
7:41,-1,Kevin Oberweiser missed Three Point Jumper.,42,86
7:41,2449,Paul Miller Defensive Rebound.,42,86
7:31,-1,Foul on Jon Purintun.,42,86
7:31,2449,Rocky Kreuser missed Free Throw.,42,86
7:31,2449,North Dakota State Deadball Team Rebound.,42,86
7:31,2449,Spencer Eliason missed Free Throw.,42,86
7:31,-1,Christian Kvilvang Defensive Rebound.,42,86
7:12,-1,Sam Johnson made Three Point Jumper. Assisted by Kevin Oberweiser.,45,86
6:59,2449,Jared Samuelson missed Layup.,45,86
6:59,-1,Sam Johnson Defensive Rebound.,45,86
6:45,-1,Sam Johnson Turnover.,45,86
6:43,2449,Deng Geu Steal.,45,86
6:41,2449,Deng Geu Turnover.,45,86
6:38,-1,Kevin Oberweiser Steal.,45,86
6:36,-1,Sam Johnson missed Three Point Jumper.,45,86
6:36,-1,Leighton Sampson Offensive Rebound.,45,86
6:31,-1,Leighton Sampson missed Layup.,45,86
6:31,2449,Deng Geu Defensive Rebound.,45,86
6:22,2449,Tyson Ward Turnover.,45,86
6:20,-1,Leighton Sampson Steal.,45,86
6:18,-1,Kevin Oberweiser Offensive Rebound.,45,86
6:18,-1,Leighton Sampson missed Layup.,45,86
6:11,-1,Kevin Oberweiser missed Layup.,45,86
6:11,2449,Spencer Eliason Defensive Rebound.,45,86
5:57,2449,Foul on Tyson Ward.,45,86
5:57,2449,Tyson Ward Turnover.,45,86
5:40,-1,Jace Allard missed Three Point Jumper.,45,86
5:40,2449,Tyson Ward Defensive Rebound.,45,86
5:29,2449,Dylan Miller missed Jumper.,45,86
5:29,-1,Isaiah Dobson Defensive Rebound.,45,86
5:13,-1,Christian Kvilvang Turnover.,45,86
5:12,2449,Tyson Ward Steal.,45,86
5:10,2449,Tyson Ward made Dunk.,45,88
4:57,-1,Ben Weisbeck made Jumper.,47,88
4:39,2449,Deng Geu made Jumper. Assisted by Cameron Hunter.,47,90
4:17,-1,Ben Weisbeck missed Layup.,47,90
4:17,2449,Deng Geu Block.,47,90
4:15,2449,Cameron Hunter Defensive Rebound.,47,90
4:11,2449,Tyson Ward made Layup. Assisted by Cameron Hunter.,47,92
3:54,-1,Ben Weisbeck missed Jumper.,47,92
3:54,2449,Tyson Ward Defensive Rebound.,47,92
3:47,2449,North Dakota State  Timeout,47,92
3:47,2449,Official TV Timeout,47,92
3:27,2449,Nnamdi Van Dulm Turnover.,47,92
3:14,-1,Jack Talley missed Three Point Jumper.,47,92
3:14,-1,Brady Birch Offensive Rebound.,47,92
3:10,-1,Brady Birch missed Layup.,47,92
3:10,2449,Jared Samuelson Defensive Rebound.,47,92
2:57,2449,Dylan Miller Turnover.,47,92
2:44,-1,Jace Allard missed Jumper.,47,92
2:44,2449,Dylan Miller Defensive Rebound.,47,92
2:25,-1,Foul on Jace Allard.,47,92
2:25,2449,Jared Samuelson made Free Throw.,47,93
2:25,2449,Jared Samuelson made Free Throw.,47,94
2:05,-1,Isaiah Dobson made Three Point Jumper. Assisted by Brock Schrom.,50,94
1:51,2449,Dylan Miller made Three Point Jumper.,50,97
1:26,-1,Brock Schrom Turnover.,50,97
1:04,2449,Dylan Miller Turnover.,50,97
1:00,-1,Colton Lund Turnover.,50,97
1:00,2449,Deng Geu Steal.,50,97
0:50,2449,Dylan Miller made Layup. Assisted by Chris Quayle.,50,99
0:45,-1,Isaiah Dobson missed Three Point Jumper.,50,99
0:45,-1,Colton Lund Offensive Rebound.,50,99
0:14,-1,Jack Talley missed Three Point Jumper.,50,99
0:14,2449,Deng Geu Defensive Rebound.,50,99
0:00,2449,End of Game,50,99
