Jacksonville,130,Michigan,294
10:39,130,Michigan Defensive Rebound.,31,50
10:26,130,Moritz Wagner made Layup. Assisted by Zavier Simpson.,31,52
9:58,294,Tanner Rubio made Layup.,33,52
9:37,130,Muhammad-Ali Abdur-Rahkman made Layup.,33,54
9:24,294,Tanner Rubio missed Three Point Jumper.,33,54
9:20,130,Duncan Robinson Defensive Rebound.,33,54
9:17,130,Jordan Poole missed Three Point Jumper.,33,54
9:13,294,JD Notae Defensive Rebound.,33,54
9:04,130,Foul on Jordan Poole.,33,54
8:50,294,Jalyn Hinton made Jumper.,35,54
8:49,130,Foul on Moritz Wagner.,35,54
8:49,294,Jalyn Hinton made Free Throw.,36,54
8:23,294,Foul on Jalyn Hinton.,36,54
8:14,130,Charles Matthews made Jumper.,36,56
7:52,294,JD Notae Turnover.,36,56
7:52,130,Official TV Timeout,36,56
7:27,130,Muhammad-Ali Abdur-Rahkman made Three Point Jumper. Assisted by Zavier Simpson.,36,59
7:02,294,JD Notae made Three Point Jumper.,39,59
6:39,130,Isaiah Livers made Jumper. Assisted by Charles Matthews.,39,61
6:22,294,Cody Helgeland missed Three Point Jumper.,39,61
6:19,130,Moritz Wagner Defensive Rebound.,39,61
6:11,130,Moritz Wagner made Three Point Jumper.,39,64
5:42,294,JD Notae made Three Point Jumper.,42,64
5:23,130,Moritz Wagner missed Three Point Jumper.,42,64
5:19,294,Jalyn Hinton Defensive Rebound.,42,64
5:04,294,JD Notae made Jumper.,44,64
5:03,294,Jacksonville  Timeout,44,64
4:41,130,Charles Matthews Turnover.,44,64
4:41,294,Tanner Rubio Steal.,44,64
4:35,294,Devin Harris missed Jumper.,44,64
4:33,130,Charles Matthews Defensive Rebound.,44,64
4:26,130,Charles Matthews made Dunk. Assisted by Zavier Simpson.,44,66
4:11,294,Devin Harris made Layup. Assisted by Damien Sears.,46,66
3:41,130,Charles Matthews missed Jumper.,46,66
3:38,294,Damien Sears Defensive Rebound.,46,66
3:34,294,Devin Harris missed Jumper.,46,66
3:31,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,46,66
3:29,294,Official TV Timeout,46,66
3:29,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,46,67
3:29,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,46,68
3:29,294,Foul on Cody Helgeland.,46,66
3:29,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,46,67
3:29,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,46,68
3:07,294,Devin Harris missed Jumper.,46,68
3:04,130,Jaaron Simmons Defensive Rebound.,46,68
3:00,130,Charles Matthews Turnover.,46,68
2:35,294,JD Notae missed Jumper.,46,68
2:32,294,Damien Sears Offensive Rebound.,46,68
2:30,130,Foul on Jon Teske.,46,68
2:30,294,Tanner Rubio made Free Throw.,47,68
2:30,294,Tanner Rubio missed Free Throw.,47,68
2:29,130,Austin Davis Defensive Rebound.,47,68
2:11,130,Eli Brooks missed Three Point Jumper.,47,68
2:11,294,Damien Sears Block.,47,68
2:06,130,Eli Brooks Offensive Rebound.,47,68
2:04,130,Jordan Poole made Three Point Jumper. Assisted by Jaaron Simmons.,47,71
1:47,294,Damien Sears made Jumper. Assisted by Tanner Rubio.,49,71
1:22,130,Jordan Poole made Three Point Jumper. Assisted by Jaaron Simmons.,49,74
1:05,294,Tanner Rubio missed Three Point Jumper.,49,74
1:03,130,Austin Davis Defensive Rebound.,49,74
0:51,130,Jordan Poole made Layup.,49,76
0:26,294,Cody Helgeland made Jumper.,51,76
0:00,130,End of Game,51,76
