Chicago State,2711,Western Michigan,2130
19:23,2130,Fred Sims Jr. Defensive Rebound.,28,49
19:05,2130,Fred Sims Jr. missed Jumper.,28,49
19:05,2711,Drake LaMont Defensive Rebound.,28,49
18:50,2711,Thomas Wilder missed Three Point Jumper.,28,49
18:50,2711,Josh Davis Offensive Rebound.,28,49
18:47,2711,Josh Davis made Two Point Tip Shot.,28,51
18:25,2130,Anthony Harris missed Layup.,28,51
18:25,2130,Anthony Harris Offensive Rebound.,28,51
18:21,2130,Anthony Harris missed Layup.,28,51
18:21,2711,Brandon Johnson Defensive Rebound.,28,51
18:16,2711,Josh Davis made Three Point Jumper. Assisted by Thomas Wilder.,28,54
17:59,2711,Foul on Brandon Johnson.,28,54
17:59,2130,Glen Burns made Free Throw.,29,54
17:59,2130,Glen Burns made Free Throw.,30,54
17:49,2711,Bryce Moore missed Three Point Jumper.,30,54
17:49,2130,Patrick Szpir Defensive Rebound.,30,54
17:21,2130,Anthony Harris missed Jumper.,30,54
17:21,2130,Chicago State Offensive Rebound.,30,54
17:19,2130,Montana Byrd missed Jumper.,30,54
17:19,2711,Brandon Johnson Defensive Rebound.,30,54
17:17,2711,Drake LaMont made Layup. Assisted by Josh Davis.,30,56
17:13,2130,Foul on Alex Dubovitskiy.,30,56
17:08,2711,Drake LaMont missed Free Throw.,30,56
17:08,2130,Alex Dubovitskiy Defensive Rebound.,30,56
16:54,2130,Fred Sims Jr. made Layup.,32,56
16:37,2130,Foul on Montana Byrd.,32,56
16:37,2711,Josh Davis made Free Throw.,32,57
16:37,2711,Josh Davis made Free Throw.,32,58
16:37,2711,Josh Davis made Free Throw.,32,59
16:22,2130,Anthony Harris made Layup.,34,59
16:06,2130,Foul on Alex Dubovitskiy.,34,59
16:02,2711,Brandon Johnson missed Free Throw.,34,59
16:02,2711,Western Michigan Deadball Team Rebound.,34,59
16:02,2711,Brandon Johnson made Free Throw.,34,60
15:48,2130,Fred Sims Jr. made Three Point Jumper.,37,60
15:34,2711,Official TV Timeout,37,60
15:20,2711,Thomas Wilder missed Three Point Jumper.,37,60
15:20,2711,Drake LaMont Offensive Rebound.,37,60
15:18,2130,Foul on Glen Burns.,37,60
15:13,2130,Foul on Montana Byrd.,37,60
15:11,2130,Foul on Travon Bell.,37,60
14:54,2711,Josh Davis missed Three Point Jumper.,37,60
14:54,2130,Montana Byrd Defensive Rebound.,37,60
14:52,2711,Foul on Drake LaMont.,37,60
14:42,2130,Glen Burns Turnover.,37,60
14:42,2711,Bryce Moore Steal.,37,60
14:42,2130,Foul on Fred Sims Jr..,37,60
14:30,2711,Josh Davis Turnover.,37,60
14:18,2130,Fred Sims Jr. missed Three Point Jumper.,37,60
14:18,2711,Brandon Johnson Defensive Rebound.,37,60
13:56,2130,Foul on Glen Burns.,37,60
13:53,2711,Brandon Johnson made Free Throw.,37,61
13:53,2711,Brandon Johnson made Free Throw.,37,62
13:39,2130,Anthony Harris missed Three Point Jumper.,37,62
13:39,2711,Bryce Moore Defensive Rebound.,37,62
13:36,2130,Foul on Fred Sims Jr..,37,62
13:36,2711,Bryce Moore made Free Throw.,37,63
13:36,2711,Bryce Moore missed Free Throw.,37,63
13:36,2130,Fred Sims Jr. Defensive Rebound.,37,63
13:23,2130,Montana Byrd made Three Point Jumper. Assisted by Fred Sims Jr..,40,63
13:20,2130,Chicago State  Timeout,40,63
13:03,2711,Jarrin Randall Turnover.,40,63
13:02,2130,Rob Shaw Steal.,40,63
13:00,2130,Rob Shaw Turnover.,40,63
12:59,2711,Jarrin Randall Steal.,40,63
12:47,2711,Adida Ikongshul missed Jumper.,40,63
12:47,2130,Montana Byrd Defensive Rebound.,40,63
12:32,2711,Foul on Adida Ikongshul.,40,63
12:22,2711,Foul on Adida Ikongshul.,40,63
12:22,2130,Rob Shaw made Free Throw.,41,63
12:22,2130,Rob Shaw made Free Throw.,42,63
12:07,2711,Reggie Jones made Three Point Jumper. Assisted by Adida Ikongshul.,42,66
11:53,2130,Rob Shaw made Jumper.,44,66
11:35,2130,Foul on Glen Burns.,44,66
11:35,2711,Official TV Timeout,44,66
11:35,2711,Jared Printy made Free Throw.,44,67
11:35,2711,Jared Printy made Free Throw.,44,68
11:34,2130,Montana Byrd missed Jumper.,44,68
11:34,2711,Jared Printy Defensive Rebound.,44,68
10:55,2711,Brandon Johnson made Layup. Assisted by Jarrin Randall.,44,70
10:33,2130,Anthony Harris made Dunk.,46,70
10:00,2711,Jarrin Randall made Jumper.,46,72
9:48,2711,Foul on Jared Printy.,46,72
9:35,2130,Anthony Harris missed Jumper.,46,72
9:35,2711,Adida Ikongshul Defensive Rebound.,46,72
9:18,2711,Brandon Johnson missed Jumper.,46,72
9:18,2130,Fred Sims Jr. Defensive Rebound.,46,72
9:11,2130,Anthony Harris made Layup. Assisted by Fred Sims Jr..,48,72
9:01,2711,Reggie Jones Turnover.,48,72
9:01,2711,Foul on Reggie Jones.,48,72
8:49,2711,Foul on Brandon Johnson.,48,72
8:49,2130,Anthony Harris made Free Throw.,49,72
8:49,2130,Anthony Harris missed Free Throw.,49,72
8:49,2711,Drake LaMont Defensive Rebound.,49,72
8:27,2711,Adida Ikongshul missed Jumper.,49,72
8:27,2711,Drake LaMont Offensive Rebound.,49,72
8:23,2711,Drake LaMont missed Two Point Tip Shot.,49,72
8:23,2711,Adida Ikongshul Offensive Rebound.,49,72
8:20,2711,Adida Ikongshul missed Layup.,49,72
8:20,2711,Adida Ikongshul Offensive Rebound.,49,72
8:10,2711,Jarrin Randall made Three Point Jumper. Assisted by Reggie Jones.,49,75
7:51,2130,Fred Sims Jr. made Three Point Jumper.,52,75
7:33,2711,Jarrin Randall missed Three Point Jumper.,52,75
7:33,2130,Alex Dubovitskiy Defensive Rebound.,52,75
7:25,2130,Rob Shaw made Layup.,54,75
7:06,2711,Adida Ikongshul missed Jumper.,54,75
7:06,2711,Drake LaMont Offensive Rebound.,54,75
7:02,2711,Official TV Timeout,54,75
7:00,2711,Reggie Jones Turnover.,54,75
6:46,2130,Rob Shaw made Layup.,56,75
6:23,2711,Josh Davis Turnover.,56,75
6:21,2130,Alex Dubovitskiy Steal.,56,75
6:17,2130,Alex Dubovitskiy made Layup.,58,75
5:54,2711,Josh Davis missed Three Point Jumper.,58,75
5:45,2711,Drake LaMont Offensive Rebound.,58,75
5:40,2711,Reggie Jones missed Jumper.,58,75
5:40,2711,Drake LaMont Offensive Rebound.,58,75
5:37,2711,Drake LaMont made Two Point Tip Shot.,58,77
5:34,2130,Alex Dubovitskiy missed Three Point Jumper.,58,77
5:34,2711,Reggie Jones Defensive Rebound.,58,77
5:34,2711,Jared Printy missed Three Point Jumper.,58,77
5:34,2711,Josh Davis Offensive Rebound.,58,77
5:30,2711,Thomas Wilder missed Three Point Jumper.,58,77
5:30,2711,Josh Davis Offensive Rebound.,58,77
4:58,2711,Drake LaMont made Layup. Assisted by Josh Davis.,58,79
4:30,2130,Fred Sims Jr. missed Three Point Jumper.,58,79
4:30,2711,Josh Davis Defensive Rebound.,58,79
4:24,2711,Josh Davis Turnover.,58,79
4:08,2711,Foul on Michael Flowers.,58,79
4:08,2130,Glen Burns made Free Throw.,59,79
4:08,2130,Glen Burns made Free Throw.,60,79
4:03,2711,Josh Davis made Dunk. Assisted by Jason Whitens.,60,81
3:51,2711,Foul on Drake LaMont.,60,81
3:51,2711,Official TV Timeout,60,81
3:51,2130,Glen Burns made Free Throw.,61,81
3:51,2130,Glen Burns made Free Throw.,62,81
3:33,2711,Michael Flowers made Three Point Jumper.,62,84
3:16,2130,Rob Shaw Turnover.,62,84
2:53,2130,Foul on Anthony Harris.,62,84
2:53,2711,Jason Whitens missed Free Throw.,62,84
2:53,2711,Western Michigan Deadball Team Rebound.,62,84
2:53,2711,Jason Whitens made Free Throw.,62,85
2:35,2130,Rob Shaw missed Jumper.,62,85
2:35,2711,Adida Ikongshul Defensive Rebound.,62,85
2:30,2711,Kyle McDermed missed Layup.,62,85
2:30,2711,Jason Whitens Offensive Rebound.,62,85
2:27,2711,Jason Whitens made Two Point Tip Shot.,62,87
2:27,2130,Foul on Anthony Harris.,62,87
2:27,2711,Jason Whitens made Free Throw.,62,88
2:11,2130,Travon Bell made Three Point Jumper. Assisted by Glen Burns.,65,88
1:53,2130,Foul on Ken Odiase.,65,88
1:53,2711,TJ Clifford missed Free Throw.,65,88
1:53,2711,Western Michigan Deadball Team Rebound.,65,88
1:53,2711,TJ Clifford missed Free Throw.,65,88
1:53,2130,Anthony Harris Defensive Rebound.,65,88
1:37,2130,Travon Bell made Three Point Jumper. Assisted by Glen Burns.,68,88
1:19,2711,Michael Flowers made Three Point Jumper. Assisted by Kyle McDermed.,68,91
1:03,2130,Alex Dubovitskiy missed Three Point Jumper.,68,91
1:03,2711,Michael Flowers Defensive Rebound.,68,91
0:38,2711,Michael Flowers made Free Throw.,68,92
0:38,2711,Michael Flowers missed Free Throw.,68,92
0:38,2130,Alex Dubovitskiy Defensive Rebound.,68,92
0:28,2130,Glen Burns missed Jumper.,68,92
0:28,2711,Michael Flowers Defensive Rebound.,68,92
0:24,2711,Foul on Adida Ikongshul.,68,92
0:24,2711,Foul on Adida Ikongshul.,68,92
0:24,2130,Glen Burns made Free Throw.,69,92
0:24,2130,Glen Burns made Free Throw.,70,92
0:21,2711,Foul on TJ Clifford.,70,92
0:21,2130,Patrick Szpir made Free Throw.,71,92
0:21,2130,Patrick Szpir missed Free Throw.,71,92
0:21,2711,TJ Clifford Defensive Rebound.,71,92
0:00,2711,End of Game,71,92
