SIU-Edwardsville,93,Murray State,2565
10:20,93,Jonathan Stark Turnover.,15,21
10:20,2565,Christian Ellis Steal.,15,21
10:03,2565,Christian Ellis missed Jumper.,15,21
10:03,93,Jalen Dupree Defensive Rebound.,15,21
9:56,93,Jonathan Stark Turnover.,15,21
9:37,2565,Daniel Kinchen made Three Point Jumper.,18,21
9:14,93,Ja Morant Turnover.,18,21
9:13,2565,Brandon Jackson Steal.,18,21
9:01,2565,Jaylen McCoy missed Three Point Jumper.,18,21
9:01,93,Jonathan Stark Defensive Rebound.,18,21
8:52,2565,Foul on Brandon Jackson.,18,21
8:43,93,Anthony Smith made Layup. Assisted by Jonathan Stark.,18,23
8:30,2565,Daniel Kinchen missed Three Point Jumper.,18,23
8:30,93,Anthony Smith Defensive Rebound.,18,23
8:16,93,Byron Hawkins missed Three Point Jumper.,18,23
8:16,93,Anthony Smith Offensive Rebound.,18,23
8:13,93,Anthony Smith made Layup.,18,25
7:52,2565,Jalen Henry missed Jumper.,18,25
7:52,93,Ja Morant Defensive Rebound.,18,25
7:43,93,Ja Morant missed Three Point Jumper.,18,25
7:43,2565,D.J. Jackson Defensive Rebound.,18,25
7:30,2565,Bill Awet Turnover.,18,25
7:29,93,Anthony Smith Steal.,18,25
7:26,2565,Foul on Daniel Kinchen.,18,25
7:26,93,Official TV Timeout,18,25
7:26,93,Jonathan Stark made Free Throw.,18,26
7:26,93,Jonathan Stark made Free Throw.,18,27
7:03,2565,Jalen Henry missed Jumper.,18,27
7:03,2565,SIU-Edwardsville Offensive Rebound.,18,27
6:57,93,Foul on Jalen Dupree.,18,27
6:48,2565,Daniel Kinchen missed Jumper.,18,27
6:48,2565,Jalen Henry Offensive Rebound.,18,27
6:46,2565,Jalen Henry missed Jumper.,18,27
6:46,93,Terrell Miller Jr. Defensive Rebound.,18,27
6:31,2565,Foul on D.J. Jackson.,18,27
6:31,93,Byron Hawkins missed Free Throw.,18,27
6:31,2565,Bill Awet Defensive Rebound.,18,27
6:20,2565,Jalen Henry missed Jumper.,18,27
6:20,93,Shaq Buchanan Defensive Rebound.,18,27
6:08,2565,Foul on Bill Awet.,18,27
6:08,93,Jalen Dupree made Free Throw.,18,28
6:08,93,Jalen Dupree missed Free Throw.,18,28
6:08,2565,Christian Ellis Defensive Rebound.,18,28
5:53,2565,Jalen Henry made Three Point Jumper. Assisted by Daniel Kinchen.,21,28
5:31,93,Byron Hawkins missed Three Point Jumper.,21,28
5:31,2565,Bill Awet Defensive Rebound.,21,28
5:20,2565,D.J. Jackson Turnover.,21,28
5:20,93,Byron Hawkins Steal.,21,28
5:18,93,Byron Hawkins missed Layup.,21,28
5:18,2565,Bill Awet Block.,21,28
5:15,2565,Christian Ellis Defensive Rebound.,21,28
5:11,2565,Christian Ellis missed Layup.,21,28
5:11,93,Shaq Buchanan Block.,21,28
5:09,93,Terrell Miller Jr. Defensive Rebound.,21,28
4:48,2565,Foul on Christian Ellis.,21,28
4:48,93,Jonathan Stark made Free Throw.,21,29
4:48,93,Jonathan Stark made Free Throw.,21,30
4:34,93,Foul on Terrell Miller Jr..,21,30
4:34,2565,Jalen Henry made Free Throw.,22,30
4:34,2565,Jalen Henry made Free Throw.,23,30
4:22,93,Shaq Buchanan made Three Point Jumper. Assisted by Ja Morant.,23,33
4:04,2565,Daniel Kinchen made Three Point Jumper. Assisted by Christian Ellis.,26,33
3:32,93,Shaq Buchanan made Three Point Jumper. Assisted by Byron Hawkins.,26,36
3:11,2565,Jalen Henry missed Jumper.,26,36
3:11,93,Jalen Dupree Defensive Rebound.,26,36
3:03,93,Ja Morant missed Layup.,26,36
3:03,2565,Brandon Jackson Block.,26,36
3:01,2565,Brandon Jackson Defensive Rebound.,26,36
2:57,93,Foul on Terrell Miller Jr..,26,36
2:57,2565,Daniel Kinchen made Free Throw.,27,36
2:57,2565,Daniel Kinchen made Free Throw.,28,36
2:46,93,Ja Morant made Dunk.,28,38
2:13,2565,Brandon Jackson made Jumper.,30,38
2:00,2565,Foul on Daniel Kinchen.,30,38
2:00,93,Jonathan Stark made Free Throw.,30,39
2:00,93,Jonathan Stark made Free Throw.,30,40
1:37,2565,Christian Ellis made Jumper.,32,40
1:23,2565,Foul on Keenan Simmons.,32,40
1:23,93,Jalen Dupree made Free Throw.,32,41
1:23,93,Jalen Dupree missed Free Throw.,32,41
1:23,2565,Bill Awet Defensive Rebound.,32,41
1:23,2565,David McFarland made Layup.,34,41
0:47,93,Shaq Buchanan made Jumper.,34,43
0:28,2565,Brandon Jackson missed Jumper.,34,43
0:28,93,Jonathan Stark Defensive Rebound.,34,43
0:01,93,Ja Morant missed Three Point Jumper.,34,43
0:01,93,Anthony Smith Offensive Rebound.,34,43
0:00,93,Anthony Smith missed Two Point Tip Shot.,34,43
0:00,2565,Jaylen McCoy Defensive Rebound.,34,43
0:00,93,End of 1st half,34,43
19:42,93,Terrell Miller Jr. made Jumper.,34,45
19:29,2565,Justin Benton made Jumper.,36,45
19:01,93,Terrell Miller Jr. missed Jumper.,36,45
19:01,93,Jalen Dupree Offensive Rebound.,36,45
18:58,93,Jalen Dupree missed Layup.,36,45
18:58,93,Jalen Dupree Offensive Rebound.,36,45
18:51,93,Jonathan Stark made Three Point Jumper. Assisted by Ja Morant.,36,48
18:35,2565,Keenan Simmons Turnover.,36,48
18:35,2565,Foul on Keenan Simmons.,36,48
18:20,93,Jonathan Stark made Layup. Assisted by Ja Morant.,36,50
17:59,2565,Justin Benton missed Three Point Jumper.,36,50
17:59,93,Terrell Miller Jr. Defensive Rebound.,36,50
17:55,2565,Foul on Jalen Henry.,36,50
17:55,93,Terrell Miller Jr. missed Free Throw.,36,50
17:55,93,Murray State Deadball Team Rebound.,36,50
17:55,93,Terrell Miller Jr. made Free Throw.,36,51
17:35,2565,Jaylen McCoy made Three Point Jumper. Assisted by Jalen Henry.,39,51
17:05,93,Shaq Buchanan missed Three Point Jumper.,39,51
17:05,2565,Brandon Jackson Defensive Rebound.,39,51
16:50,2565,Jalen Henry missed Three Point Jumper.,39,51
16:50,93,Shaq Buchanan Defensive Rebound.,39,51
16:37,93,Ja Morant Turnover.,39,51
16:37,2565,Christian Ellis Steal.,39,51
16:28,93,Foul on Ja Morant.,39,51
16:21,2565,Brandon Jackson made Jumper.,41,51
16:01,93,Shaq Buchanan made Dunk. Assisted by Ja Morant.,41,53
15:37,93,Foul on Terrell Miller Jr..,41,53
15:37,93,Official TV Timeout,41,53
15:37,2565,Jalen Henry made Free Throw.,42,53
15:37,2565,Jalen Henry missed Free Throw.,42,53
15:37,93,Anthony Smith Defensive Rebound.,42,53
15:23,93,Jonathan Stark made Three Point Jumper.,42,56
14:56,2565,Jalen Henry missed Jumper.,42,56
14:56,93,Anthony Smith Defensive Rebound.,42,56
14:47,93,Jonathan Stark made Three Point Jumper. Assisted by Anthony Smith.,42,59
14:47,2565,SIU-Edwardsville  Timeout,42,59
14:22,2565,Jaylen McCoy missed Jumper.,42,59
14:22,93,Jonathan Stark Block.,42,59
14:21,93,Murray State Defensive Rebound.,42,59
14:03,2565,Foul on Jalen Henry.,42,59
14:02,2565,Foul on Christian Ellis.,42,59
13:56,93,Jonathan Stark Turnover.,42,59
13:55,2565,Jalen Henry Steal.,42,59
13:48,2565,Jaylen McCoy made Three Point Jumper. Assisted by Daniel Kinchen.,45,59
13:16,93,Ja Morant made Layup.,45,61
12:42,2565,Jaylen McCoy missed Three Point Jumper.,45,61
12:42,2565,SIU-Edwardsville Offensive Rebound.,45,61
12:27,2565,Jalen Henry missed Three Point Jumper.,45,61
12:27,93,Shaq Buchanan Defensive Rebound.,45,61
12:15,93,Brion Sanchious missed Layup.,45,61
12:15,2565,Jalen Henry Block.,45,61
12:14,2565,Jalen Henry Defensive Rebound.,45,61
12:12,93,Foul on Shaq Buchanan.,45,61
11:51,2565,Daniel Kinchen Turnover.,45,61
11:51,93,Official TV Timeout,45,61
11:37,93,Jonathan Stark Turnover.,45,61
11:36,2565,Justin Benton Steal.,45,61
11:33,2565,Daniel Kinchen missed Layup.,45,61
11:33,93,Brion Sanchious Defensive Rebound.,45,61
11:27,2565,Foul on Bill Awet.,45,61
11:27,93,Anthony Smith made Free Throw.,45,62
11:27,93,Anthony Smith made Free Throw.,45,63
11:11,2565,Brandon Jackson Turnover.,45,63
11:11,2565,Foul on Brandon Jackson.,45,63
10:57,93,Byron Hawkins made Layup.,45,65
10:39,2565,Daniel Kinchen missed Three Point Jumper.,45,65
10:39,93,Anthony Smith Defensive Rebound.,45,65
10:11,2565,Foul on Brandon Jackson.,45,65
10:11,93,Jonathan Stark made Free Throw.,45,66
10:11,93,Jonathan Stark made Free Throw.,45,67
10:02,2565,David McFarland made Three Point Jumper.,48,67
9:33,93,Brion Sanchious made Layup. Assisted by Anthony Smith.,48,69
9:09,2565,David McFarland missed Jumper.,48,69
9:09,2565,Bill Awet Offensive Rebound.,48,69
9:06,2565,Bill Awet missed Jumper.,48,69
9:06,93,Anthony Smith Defensive Rebound.,48,69
8:38,93,Brion Sanchious made Dunk. Assisted by Ja Morant.,48,71
8:31,2565,SIU-Edwardsville  Timeout,48,71
8:07,2565,Jalen Henry Turnover.,48,71
8:06,93,Byron Hawkins Steal.,48,71
8:03,93,Byron Hawkins missed Layup.,48,71
8:03,93,Murray State Offensive Rebound.,48,71
7:55,2565,Foul on D.J. Jackson.,48,71
7:55,93,Official TV Timeout,48,71
7:55,93,Anthony Smith missed Free Throw.,48,71
7:55,2565,Jalen Henry Defensive Rebound.,48,71
7:43,2565,D.J. Jackson missed Jumper.,48,71
7:43,2565,Jalen Henry Offensive Rebound.,48,71
7:31,93,Foul on Ja Morant.,48,71
7:31,2565,Jalen Henry missed Free Throw.,48,71
7:31,2565,SIU-Edwardsville Deadball Team Rebound.,48,71
7:31,2565,Jalen Henry made Free Throw.,49,71
7:06,93,Terrell Miller Jr. missed Jumper.,49,71
7:06,93,Brion Sanchious Offensive Rebound.,49,71
7:04,93,Brion Sanchious made Layup.,49,73
6:34,2565,Christian Ellis missed Jumper.,49,73
6:34,93,Terrell Miller Jr. Block.,49,73
6:33,2565,SIU-Edwardsville Offensive Rebound.,49,73
6:23,2565,David McFarland missed Three Point Jumper.,49,73
6:23,2565,D.J. Jackson Offensive Rebound.,49,73
6:20,2565,D.J. Jackson missed Layup.,49,73
6:20,2565,Keenan Simmons Offensive Rebound.,49,73
6:00,2565,Christian Ellis missed Jumper.,49,73
6:00,2565,SIU-Edwardsville Offensive Rebound.,49,73
5:49,2565,Daniel Kinchen Turnover.,49,73
5:48,93,Ja Morant Steal.,49,73
5:47,2565,Foul on Daniel Kinchen.,49,73
5:47,93,Ja Morant missed Free Throw.,49,73
5:47,2565,D.J. Jackson Defensive Rebound.,49,73
5:45,93,Foul on Byron Hawkins.,49,73
5:45,2565,Daniel Kinchen made Free Throw.,50,73
5:45,2565,Daniel Kinchen made Free Throw.,51,73
5:37,93,Jonathan Stark made Layup.,51,75
5:07,2565,Keenan Simmons missed Jumper.,51,75
5:07,93,Terrell Miller Jr. Defensive Rebound.,51,75
5:02,2565,Foul on Christian Ellis.,51,75
5:02,93,Jalen Dupree made Free Throw.,51,76
5:02,93,Jalen Dupree missed Free Throw.,51,76
5:02,2565,Brandon Jackson Defensive Rebound.,51,76
4:53,2565,Brandon Jackson made Jumper. Assisted by Daniel Kinchen.,53,76
4:53,93,Foul on Terrell Miller Jr..,53,76
4:53,2565,Brandon Jackson made Free Throw.,54,76
4:43,93,Jonathan Stark missed Three Point Jumper.,54,76
4:43,2565,Christian Ellis Defensive Rebound.,54,76
4:32,2565,D.J. Jackson made Jumper.,56,76
4:12,93,Byron Hawkins missed Layup.,56,76
4:12,93,Byron Hawkins Offensive Rebound.,56,76
4:10,2565,Foul on Daniel Kinchen.,56,76
4:10,93,Byron Hawkins made Free Throw.,56,77
4:10,93,Byron Hawkins missed Free Throw.,56,77
4:10,2565,D.J. Jackson Defensive Rebound.,56,77
4:04,2565,Christian Ellis Turnover.,56,77
4:03,93,Anthony Smith Steal.,56,77
3:58,93,Byron Hawkins missed Layup.,56,77
3:58,2565,Brandon Jackson Defensive Rebound.,56,77
3:53,2565,Kevion Stewart missed Three Point Jumper.,56,77
3:53,93,Byron Hawkins Defensive Rebound.,56,77
3:31,93,Byron Hawkins made Jumper.,56,79
3:13,2565,Brandon Jackson made Jumper.,58,79
2:54,93,Byron Hawkins made Three Point Jumper. Assisted by Anthony Smith.,58,82
2:51,93,Murray State  Timeout,58,82
2:37,2565,Brandon Jackson missed Jumper.,58,82
2:37,2565,Kevion Stewart Offensive Rebound.,58,82
2:33,2565,Kevion Stewart made Three Point Jumper.,61,82
2:13,2565,Foul on Kevion Stewart.,61,82
2:13,93,Jalen Dupree made Free Throw.,61,83
2:13,93,Jalen Dupree made Free Throw.,61,84
2:00,2565,Kevion Stewart missed Three Point Jumper.,61,84
2:00,93,Jachai Taylor Defensive Rebound.,61,84
1:41,93,Byron Hawkins missed Three Point Jumper.,61,84
1:41,2565,Christian Ellis Defensive Rebound.,61,84
1:37,93,Foul on Anthony Smith.,61,84
1:37,2565,Christian Ellis missed Free Throw.,61,84
1:37,93,Devin Gilmore Defensive Rebound.,61,84
1:22,93,Anthony Smith Turnover.,61,84
1:08,93,Foul on Zach Hopewell.,61,84
1:08,2565,D'Quan Applewhite missed Free Throw.,61,84
1:08,2565,SIU-Edwardsville Deadball Team Rebound.,61,84
1:08,2565,D'Quan Applewhite missed Free Throw.,61,84
1:08,2565,SIU-Edwardsville Deadball Team Rebound.,61,84
1:08,2565,D'Quan Applewhite made Free Throw.,62,84
0:56,2565,Foul on D'Quan Applewhite.,62,84
0:56,93,Brion Whitley missed Free Throw.,62,84
0:56,93,Murray State Deadball Team Rebound.,62,84
0:56,93,Brion Whitley missed Free Throw.,62,84
0:56,2565,Bill Awet Defensive Rebound.,62,84
0:54,2565,Kevion Stewart missed Three Point Jumper.,62,84
0:54,93,Devin Gilmore Defensive Rebound.,62,84
0:38,93,Zach Hopewell made Three Point Jumper.,62,87
0:26,93,Foul on Brion Whitley.,62,87
0:26,2565,D'Quan Applewhite made Free Throw.,63,87
0:26,2565,D'Quan Applewhite missed Free Throw.,63,87
0:26,93,Zach Hopewell Defensive Rebound.,63,87
0:00,93,End of Game,63,87
