Texas A&amp;M,333,Alabama,245
7:10,245,Savion Flagg Defensive Rebound.,17,28
7:01,245,Duane Wilson missed Layup.,17,28
7:01,333,Galin Smith Block.,17,28
7:01,245,Tonny Trocha-Morelos Offensive Rebound.,17,28
6:50,245,Tyler Davis made Layup. Assisted by Tonny Trocha-Morelos.,19,28
6:50,333,Foul on Braxton Key.,19,28
6:50,245,Tyler Davis made Free Throw.,20,28
6:28,333,Dazon Ingram made Jumper.,20,30
6:10,245,Jay Jay Chandler missed Three Point Jumper.,20,30
6:10,333,Dazon Ingram Defensive Rebound.,20,30
6:03,333,Collin Sexton missed Layup.,20,30
6:03,333,Galin Smith Offensive Rebound.,20,30
5:56,333,Galin Smith made Layup.,20,32
5:38,245,Jay Jay Chandler made Layup.,22,32
5:38,333,Foul on Donta Hall.,22,32
5:38,245,Jay Jay Chandler made Free Throw.,23,32
5:12,333,Galin Smith missed Jumper.,23,32
5:12,245,TJ Starks Defensive Rebound.,23,32
4:58,245,TJ Starks missed Layup.,23,32
4:58,245,Tyler Davis Offensive Rebound.,23,32
4:53,245,Tyler Davis missed Layup.,23,32
4:53,333,Donta Hall Block.,23,32
4:53,245,Tonny Trocha-Morelos Offensive Rebound.,23,32
4:49,333,Foul on Galin Smith.,23,32
4:49,245,Tonny Trocha-Morelos made Free Throw.,24,32
4:49,245,Tonny Trocha-Morelos missed Free Throw.,24,32
4:49,333,John Petty Defensive Rebound.,24,32
4:29,333,John Petty missed Three Point Jumper.,24,32
4:29,245,TJ Starks Defensive Rebound.,24,32
4:21,245,Jay Jay Chandler missed Layup.,24,32
4:21,333,John Petty Block.,24,32
4:21,333,Herb Jones Defensive Rebound.,24,32
4:16,333,Avery Johnson Jr. missed Jumper.,24,32
4:16,333,Herb Jones Offensive Rebound.,24,32
4:12,333,John Petty made Layup.,24,34
4:12,245,Foul on Tonny Trocha-Morelos.,24,34
4:12,333,John Petty made Free Throw.,24,35
3:47,245,TJ Starks missed Jumper.,24,35
3:47,333,Daniel Giddens Defensive Rebound.,24,35
3:34,333,Official TV Timeout,24,35
3:16,333,Dazon Ingram missed Jumper.,24,35
3:16,245,Tyler Davis Defensive Rebound.,24,35
2:58,245,Duane Wilson made Layup.,26,35
2:35,333,Avery Johnson Jr. missed Three Point Jumper.,26,35
2:35,245,Duane Wilson Defensive Rebound.,26,35
2:13,245,Savion Flagg missed Three Point Jumper.,26,35
2:13,333,Avery Johnson Jr. Defensive Rebound.,26,35
2:03,333,Dazon Ingram missed Three Point Jumper.,26,35
2:03,245,Savion Flagg Defensive Rebound.,26,35
1:54,245,TJ Starks missed Jumper.,26,35
1:54,333,Daniel Giddens Defensive Rebound.,26,35
1:25,245,Foul on Tyler Davis.,26,35
1:25,333,Herb Jones missed Free Throw.,26,35
1:25,333,Alabama Deadball Team Rebound.,26,35
1:25,333,Herb Jones missed Free Throw.,26,35
1:25,245,Savion Flagg Defensive Rebound.,26,35
1:13,245,Duane Wilson missed Jumper.,26,35
1:13,333,John Petty Defensive Rebound.,26,35
1:00,333,Avery Johnson Jr. missed Layup.,26,35
1:00,245,Savion Flagg Defensive Rebound.,26,35
0:32,245,Duane Wilson made Layup.,28,35
0:03,333,Collin Sexton missed Jumper.,28,35
0:03,245,Tyler Davis Defensive Rebound.,28,35
0:00,333,End of 1st half,28,35
20:00,333,Jump Ball won by Alabama,28,35
19:52,333,Braxton Key made Jumper. Assisted by John Petty.,28,37
19:32,245,Tonny Trocha-Morelos made Layup. Assisted by Duane Wilson.,30,37
19:17,333,Collin Sexton missed Three Point Jumper.,30,37
19:17,333,Braxton Key Offensive Rebound.,30,37
19:09,333,Dazon Ingram Turnover.,30,37
19:09,245,Tonny Trocha-Morelos Steal.,30,37
19:05,245,Jay Jay Chandler missed Layup.,30,37
19:05,245,JJ Caldwell Offensive Rebound.,30,37
19:05,245,Savion Flagg made Two Point Tip Shot.,32,37
18:54,333,Collin Sexton Turnover.,32,37
18:39,245,Tyler Davis Turnover.,32,37
18:39,333,Dazon Ingram Steal.,32,37
18:33,245,Flagrant 1 foul on Tyler Davis.,32,37
18:33,333,Collin Sexton made Free Throw.,32,38
18:33,333,Collin Sexton made Free Throw.,32,39
18:11,333,Donta Hall made Layup. Assisted by Collin Sexton.,32,41
18:11,245,Foul on Savion Flagg.,32,41
18:11,333,Donta Hall made Free Throw.,32,42
17:54,245,Duane Wilson missed Jumper.,32,42
17:54,333,Braxton Key Defensive Rebound.,32,42
17:48,333,John Petty made Three Point Jumper. Assisted by Dazon Ingram.,32,45
17:32,333,Foul on Donta Hall.,32,45
17:30,245,Savion Flagg made Layup. Assisted by Duane Wilson.,34,45
17:19,333,Collin Sexton missed Jumper.,34,45
17:19,245,Tyler Davis Defensive Rebound.,34,45
17:13,245,Duane Wilson missed Jumper.,34,45
17:13,333,John Petty Block.,34,45
17:13,245,Robert Williams Offensive Rebound.,34,45
17:13,245,Robert Williams made Two Point Tip Shot.,36,45
16:50,333,Donta Hall made Layup.,36,47
16:35,245,Tyler Davis made Jumper. Assisted by Jay Jay Chandler.,38,47
16:24,245,Foul on Jay Jay Chandler.,38,47
16:07,333,Dazon Ingram made Jumper.,38,49
15:42,245,TJ Starks Turnover.,38,49
15:42,333,Braxton Key Steal.,38,49
15:33,333,Dazon Ingram missed Three Point Jumper.,38,49
15:33,333,Braxton Key Offensive Rebound.,38,49
15:26,333,Donta Hall made Dunk. Assisted by Dazon Ingram.,38,51
15:16,245,Texas A&M  Timeout,38,51
15:16,333,Official TV Timeout,38,51
14:53,245,Tyler Davis made Three Point Jumper. Assisted by Jay Jay Chandler.,41,51
14:26,245,Foul on TJ Starks.,41,51
14:26,333,Official TV Timeout,41,51
14:16,333,John Petty made Three Point Jumper. Assisted by Braxton Key.,41,54
14:02,245,Robert Williams missed Jumper.,41,54
14:02,333,Dazon Ingram Defensive Rebound.,41,54
13:55,333,John Petty made Three Point Jumper. Assisted by Braxton Key.,41,57
13:43,333,Foul on Dazon Ingram.,41,57
13:33,245,Foul on Tyler Davis.,41,57
13:33,245,Tyler Davis Turnover.,41,57
13:22,333,John Petty missed Three Point Jumper.,41,57
13:22,245,Robert Williams Defensive Rebound.,41,57
13:14,245,Jay Jay Chandler made Jumper.,43,57
12:54,333,Collin Sexton missed Three Point Jumper.,43,57
12:54,333,Donta Hall Offensive Rebound.,43,57
12:45,245,Foul on Jay Jay Chandler.,43,57
12:45,333,Dazon Ingram made Free Throw.,43,58
12:45,333,Dazon Ingram made Free Throw.,43,59
12:25,245,TJ Starks missed Layup.,43,59
12:25,333,Daniel Giddens Block.,43,59
12:25,245,Robert Williams Offensive Rebound.,43,59
12:25,245,Robert Williams made Two Point Tip Shot.,45,59
12:15,333,Collin Sexton Turnover.,45,59
12:15,333,Foul on Collin Sexton.,45,59
11:59,245,TJ Starks missed Three Point Jumper.,45,59
11:59,245,Savion Flagg Offensive Rebound.,45,59
11:56,245,Savion Flagg missed Jumper.,45,59
11:56,333,Daniel Giddens Block.,45,59
11:56,333,Collin Sexton Defensive Rebound.,45,59
11:45,333,Collin Sexton Turnover.,45,59
11:45,245,Robert Williams Steal.,45,59
11:38,333,Foul on Daniel Giddens.,45,59
11:38,333,Official TV Timeout,45,59
11:38,245,Duane Wilson made Free Throw.,46,59
11:38,245,Duane Wilson made Free Throw.,47,59
11:23,333,Daniel Giddens missed Layup.,47,59
11:23,245,Robert Williams Block.,47,59
11:23,333,Alabama Offensive Rebound.,47,59
11:12,333,Dazon Ingram missed Three Point Jumper.,47,59
11:12,245,Texas A&M Defensive Rebound.,47,59
10:56,245,Duane Wilson missed Three Point Jumper.,47,59
10:56,245,Robert Williams Offensive Rebound.,47,59
10:52,245,Robert Williams made Layup.,49,59
10:22,333,Donta Hall missed Jumper.,49,59
10:22,245,JJ Caldwell Defensive Rebound.,49,59
10:09,333,Foul on Herb Jones.,49,59
9:56,245,Robert Williams missed Jumper.,49,59
9:56,333,Herb Jones Defensive Rebound.,49,59
9:36,333,Donta Hall Turnover.,49,59
9:36,245,JJ Caldwell Steal.,49,59
9:31,333,Foul on Donta Hall.,49,59
9:31,245,JJ Caldwell missed Free Throw.,49,59
9:31,245,Texas A&M Deadball Team Rebound.,49,59
9:31,245,JJ Caldwell made Free Throw.,50,59
9:09,333,Donta Hall made Layup. Assisted by John Petty.,50,61
8:51,245,Savion Flagg missed Three Point Jumper.,50,61
8:51,333,Donta Hall Defensive Rebound.,50,61
8:45,333,Donta Hall Turnover.,50,61
8:39,245,Robert Williams Turnover.,50,61
8:39,333,Dazon Ingram Steal.,50,61
8:30,333,Dazon Ingram made Layup.,50,63
8:20,333,Foul on Braxton Key.,50,63
8:20,245,Robert Williams missed Free Throw.,50,63
8:20,333,Dazon Ingram Defensive Rebound.,50,63
8:03,333,Dazon Ingram made Three Point Jumper. Assisted by Donta Hall.,50,66
7:34,245,Duane Wilson missed Jumper.,50,66
7:34,245,Robert Williams Offensive Rebound.,50,66
7:29,333,Foul on Herb Jones.,50,66
7:29,333,Official TV Timeout,50,66
7:29,245,Robert Williams missed Free Throw.,50,66
7:29,245,Texas A&M Deadball Team Rebound.,50,66
7:29,245,Robert Williams made Free Throw.,51,66
7:18,333,Collin Sexton made Layup.,51,68
7:00,245,JJ Caldwell missed Jumper.,51,68
7:00,333,Herb Jones Defensive Rebound.,51,68
6:45,333,John Petty Turnover.,51,68
6:45,245,Duane Wilson Steal.,51,68
6:28,245,JJ Caldwell Turnover.,51,68
6:28,333,Dazon Ingram Steal.,51,68
6:24,245,Foul on Savion Flagg.,51,68
6:24,333,Collin Sexton made Free Throw.,51,69
6:24,333,Collin Sexton made Free Throw.,51,70
6:03,245,TJ Starks missed Three Point Jumper.,51,70
6:03,333,Donta Hall Defensive Rebound.,51,70
5:55,333,Dazon Ingram missed Jumper.,51,70
5:55,245,Tonny Trocha-Morelos Defensive Rebound.,51,70
5:37,245,Jay Jay Chandler missed Three Point Jumper.,51,70
5:37,245,TJ Starks Offensive Rebound.,51,70
5:24,245,Tonny Trocha-Morelos made Three Point Jumper. Assisted by Jay Jay Chandler.,54,70
5:02,333,Donta Hall made Layup. Assisted by Herb Jones.,54,72
4:47,245,Foul on Tyler Davis.,54,72
4:47,245,Tyler Davis Turnover.,54,72
4:39,333,Dazon Ingram missed Three Point Jumper.,54,72
4:39,245,Robert Williams Defensive Rebound.,54,72
4:31,333,Foul on John Petty.,54,72
4:31,245,Jay Jay Chandler made Free Throw.,55,72
4:31,245,Jay Jay Chandler missed Free Throw.,55,72
4:31,333,Donta Hall Defensive Rebound.,55,72
4:15,245,Foul on Savion Flagg.,55,72
4:15,333,Donta Hall made Free Throw.,55,73
4:15,333,Donta Hall made Free Throw.,55,74
4:09,245,Robert Williams missed Jumper.,55,74
4:09,245,Tonny Trocha-Morelos Offensive Rebound.,55,74
4:05,245,Tonny Trocha-Morelos missed Layup.,55,74
4:05,245,Robert Williams Offensive Rebound.,55,74
3:59,333,Foul on Dazon Ingram.,55,74
3:59,333,Official TV Timeout,55,74
3:59,245,Robert Williams made Free Throw.,56,74
3:59,245,Robert Williams missed Free Throw.,56,74
3:59,333,Donta Hall Defensive Rebound.,56,74
3:50,245,Foul on Tonny Trocha-Morelos.,56,74
3:50,333,Collin Sexton missed Free Throw.,56,74
3:50,333,Alabama Deadball Team Rebound.,56,74
3:50,333,Collin Sexton made Free Throw.,56,75
3:28,245,TJ Starks missed Layup.,56,75
3:28,333,Galin Smith Block.,56,75
3:28,245,Texas A&M Offensive Rebound.,56,75
3:21,245,Tonny Trocha-Morelos missed Jumper.,56,75
3:21,333,Dazon Ingram Defensive Rebound.,56,75
3:15,333,Alabama  Timeout,56,75
3:06,245,Foul on TJ Starks.,56,75
3:06,333,Dazon Ingram made Free Throw.,56,76
3:06,333,Dazon Ingram made Free Throw.,56,77
3:01,245,Foul on Robert Williams.,56,77
3:01,245,Robert Williams Turnover.,56,77
2:35,333,Collin Sexton missed Three Point Jumper.,56,77
2:35,245,Texas A&M Defensive Rebound.,56,77
2:15,245,Jay Jay Chandler Turnover.,56,77
1:52,333,Herb Jones Turnover.,56,77
1:52,245,Chris Collins Steal.,56,77
1:47,245,Jay Jay Chandler missed Three Point Jumper.,56,77
1:47,245,JJ Caldwell Offensive Rebound.,56,77
1:41,245,Tonny Trocha-Morelos missed Three Point Jumper.,56,77
1:41,333,Herb Jones Defensive Rebound.,56,77
1:31,333,Foul on Avery Johnson Jr..,56,77
1:31,333,Avery Johnson Jr. Turnover.,56,77
1:23,245,JJ Caldwell missed Jumper.,56,77
1:23,333,Herb Jones Block.,56,77
1:23,333,Avery Johnson Jr. Defensive Rebound.,56,77
1:10,333,Daniel Giddens made Jumper. Assisted by Lawson Schaffer.,56,79
0:52,245,Chris Collins missed Three Point Jumper.,56,79
0:52,245,Tonny Trocha-Morelos Offensive Rebound.,56,79
0:46,333,Foul on Lawson Schaffer.,56,79
0:46,245,Tonny Trocha-Morelos missed Free Throw.,56,79
0:46,245,Texas A&M Deadball Team Rebound.,56,79
0:46,245,Tonny Trocha-Morelos made Free Throw.,57,79
0:28,333,Tyler Barnes missed Three Point Jumper.,57,79
0:28,245,Tonny Trocha-Morelos Defensive Rebound.,57,79
0:01,245,JJ Caldwell Turnover.,57,79
0:01,333,Avery Johnson Jr. Steal.,57,79
0:00,333,End of Game,57,79
