Sam Houston State,2000,Abilene Christian,2534
13:05,2000,Jaren Lewis Block.,15,18
13:04,2000,Hayden Howell Defensive Rebound.,15,18
12:56,2000,Hayden Howell made Three Point Jumper. Assisted by Jaylen Franklin.,15,21
12:34,2534,Abrian Edwards Turnover.,15,21
12:32,2000,Jaylen Franklin Steal.,15,21
12:28,2000,Jaylen Franklin made Dunk. Assisted by Tevin Foster.,15,23
12:11,2534,Albert Almanza made Three Point Jumper. Assisted by John Dewey III.,18,23
11:54,2000,Isaiah Tripp missed Three Point Jumper.,18,23
11:54,2534,Josh Boutte Defensive Rebound.,18,23
11:51,2000,Foul on Hayden Howell.,18,23
11:51,2000,Official TV Timeout,18,23
11:31,2000,Foul on Payten Ricks.,18,23
11:27,2534,Marcus Harris made Jumper. Assisted by Abrian Edwards.,20,23
11:03,2000,Isaiah Tripp Turnover.,20,23
10:47,2000,Foul on Hayden Farquhar.,20,23
10:47,2534,Abrian Edwards missed Free Throw.,20,23
10:47,2534,Sam Houston State Deadball Team Rebound.,20,23
10:47,2534,Abrian Edwards missed Free Throw.,20,23
10:47,2000,Hayden Farquhar Defensive Rebound.,20,23
10:35,2000,Drake Green missed Jumper.,20,23
10:35,2000,Jalone Friday Offensive Rebound.,20,23
10:33,2000,Jalone Friday missed Jumper.,20,23
10:33,2534,Abrian Edwards Defensive Rebound.,20,23
10:25,2534,Christopher Galbreath Jr. made Three Point Jumper. Assisted by Abrian Edwards.,23,23
10:03,2000,Jalone Friday missed Jumper.,23,23
10:03,2534,Josh Delaney Defensive Rebound.,23,23
9:41,2534,Marcus Harris missed Layup.,23,23
9:41,2000,Hayden Farquhar Defensive Rebound.,23,23
9:32,2000,Payten Ricks missed Three Point Jumper.,23,23
9:32,2534,Christopher Galbreath Jr. Defensive Rebound.,23,23
9:05,2534,Abrian Edwards missed Jumper.,23,23
9:05,2000,Isaiah Tripp Defensive Rebound.,23,23
9:02,2534,Foul on Christopher Galbreath Jr..,23,23
8:41,2000,Jalone Friday missed Jumper.,23,23
8:41,2534,Cameron Delaney Defensive Rebound.,23,23
8:32,2534,Christopher Galbreath Jr. missed Jumper.,23,23
8:32,2000,Payten Ricks Block.,23,23
8:28,2000,Hayden Farquhar Defensive Rebound.,23,23
8:24,2000,Hayden Farquhar Turnover.,23,23
7:59,2534,Marcus Harris missed Jumper.,23,23
7:59,2000,Jalone Friday Defensive Rebound.,23,23
7:45,2000,Tevin Foster missed Three Point Jumper.,23,23
7:45,2534,Marcus Harris Defensive Rebound.,23,23
7:34,2534,Christopher Galbreath Jr. Turnover.,23,23
7:34,2000,Official TV Timeout,23,23
7:10,2534,Foul on Marcus Harris.,23,23
7:10,2000,Tevin Foster made Free Throw.,23,24
7:10,2000,Tevin Foster made Free Throw.,23,25
6:57,2534,John Dewey III made Jumper.,25,25
6:37,2000,Tevin Foster made Jumper.,25,27
6:03,2534,Christopher Galbreath Jr. missed Jumper.,25,27
6:03,2000,Tevin Foster Defensive Rebound.,25,27
5:47,2000,B.J. Maxwell missed Three Point Jumper.,25,27
5:47,2534,Christopher Galbreath Jr. Defensive Rebound.,25,27
5:25,2534,Jamal Williams made Three Point Jumper. Assisted by Christopher Galbreath Jr..,28,27
5:08,2000,Foul on Jaren Lewis.,28,27
5:08,2000,Jaren Lewis Turnover.,28,27
5:00,2534,John Dewey III missed Layup.,28,27
5:00,2534,Josh Boutte Offensive Rebound.,28,27
4:58,2534,Josh Boutte made Layup.,30,27
4:58,2000,Foul on Hayden Howell.,30,27
4:58,2534,Josh Boutte made Free Throw.,31,27
4:29,2000,Tevin Foster made Three Point Jumper. Assisted by Kolton Kohl.,31,30
4:03,2534,Marcus Harris made Three Point Jumper. Assisted by Jamal Williams.,34,30
3:37,2000,Jaren Lewis made Layup. Assisted by Jaylen Franklin.,34,32
3:15,2534,Abrian Edwards missed Layup.,34,32
3:15,2534,Sam Houston State Offensive Rebound.,34,32
3:14,2000,Official TV Timeout,34,32
3:09,2534,Abrian Edwards Turnover.,34,32
2:45,2000,Jaylen Franklin made Layup.,34,34
2:21,2534,Christopher Galbreath Jr. made Three Point Jumper. Assisted by Marcus Harris.,37,34
2:06,2000,Jalone Friday Turnover.,37,34
1:48,2000,Foul on Drake Green.,37,34
1:48,2534,Marcus Harris made Free Throw.,38,34
1:48,2534,Marcus Harris made Free Throw.,39,34
1:36,2534,Foul on Abrian Edwards.,39,34
1:32,2534,Foul on Christopher Galbreath Jr..,39,34
1:31,2000,Tevin Foster made Jumper. Assisted by Payten Ricks.,39,36
1:04,2534,Jamal Williams missed Jumper.,39,36
1:04,2000,Jalone Friday Block.,39,36
1:03,2000,Jaylen Franklin Defensive Rebound.,39,36
0:59,2000,Jaren Lewis made Layup. Assisted by Jaylen Franklin.,39,38
0:59,2534,Foul on Marcus Harris.,39,38
0:59,2000,Jaren Lewis made Free Throw.,39,39
0:33,2534,John Dewey III missed Jumper.,39,39
0:33,2000,Jaylen Franklin Defensive Rebound.,39,39
0:27,2000,Payten Ricks Turnover.,39,39
0:27,2534,Josh Delaney Steal.,39,39
0:23,2534,Sam Houston State  Timeout,39,39
0:06,2534,Albert Almanza missed Three Point Jumper.,39,39
0:06,2000,Payten Ricks Defensive Rebound.,39,39
0:00,2000,Tevin Foster missed Layup.,39,39
0:00,2000,Abilene Christian Offensive Rebound.,39,39
0:00,2000,End of 1st half,39,39
19:48,2534,Foul on John Dewey III.,39,39
19:46,2000,Tevin Foster made Three Point Jumper. Assisted by Payten Ricks.,39,42
19:20,2534,Christopher Galbreath Jr. Turnover.,39,42
19:05,2000,Jaylen Franklin Turnover.,39,42
19:05,2534,Jamal Williams Steal.,39,42
19:00,2534,Christopher Galbreath Jr. missed Layup.,39,42
19:00,2000,Jaren Lewis Defensive Rebound.,39,42
18:58,2534,Foul on Christopher Galbreath Jr..,39,42
18:42,2000,Payten Ricks made Layup.,39,44
18:22,2534,Abrian Edwards Turnover.,39,44
18:21,2000,Tevin Foster Steal.,39,44
18:19,2000,Tevin Foster made Layup.,39,46
18:06,2534,Sam Houston State  Timeout,39,46
17:50,2534,Christopher Galbreath Jr. made Jumper. Assisted by Albert Almanza.,41,46
17:21,2000,Payten Ricks made Three Point Jumper. Assisted by Jaylen Franklin.,41,49
16:54,2534,Christopher Galbreath Jr. missed Three Point Jumper.,41,49
16:54,2000,Jaren Lewis Defensive Rebound.,41,49
16:46,2000,Jalone Friday made Three Point Jumper. Assisted by Jaylen Franklin.,41,52
16:33,2534,John Dewey III made Layup.,43,52
16:13,2534,Foul on Albert Almanza.,43,52
16:08,2000,Jalone Friday missed Three Point Jumper.,43,52
16:08,2534,John Dewey III Defensive Rebound.,43,52
15:56,2534,Albert Almanza missed Three Point Jumper.,43,52
15:56,2000,Tevin Foster Defensive Rebound.,43,52
15:44,2000,Tevin Foster missed Three Point Jumper.,43,52
15:44,2534,John Dewey III Defensive Rebound.,43,52
15:36,2534,Christopher Galbreath Jr. missed Layup.,43,52
15:36,2000,Jalone Friday Block.,43,52
15:35,2534,John Dewey III Offensive Rebound.,43,52
15:19,2534,Jamal Williams made Layup.,45,52
15:09,2000,Jaylen Franklin made Layup.,45,54
14:53,2534,Albert Almanza missed Three Point Jumper.,45,54
14:53,2534,Jamal Williams Offensive Rebound.,45,54
14:47,2534,Sam Houston State  Timeout,45,54
14:46,2534,John Dewey III Turnover.,45,54
14:45,2000,Jaylen Franklin Steal.,45,54
14:41,2000,Isaiah Tripp missed Layup.,45,54
14:41,2534,Jamal Williams Defensive Rebound.,45,54
14:38,2534,John Dewey III made Layup. Assisted by Jamal Williams.,47,54
14:17,2000,Drake Green made Three Point Jumper. Assisted by Isaiah Tripp.,47,57
13:56,2534,Foul on Josh Boutte.,47,57
13:56,2534,Josh Boutte Turnover.,47,57
13:39,2000,Hayden Howell missed Jumper.,47,57
13:39,2000,Jaylen Franklin Offensive Rebound.,47,57
13:38,2534,Foul on Abrian Edwards.,47,57
13:38,2000,Jaylen Franklin missed Free Throw.,47,57
13:38,2000,Abilene Christian Deadball Team Rebound.,47,57
13:38,2000,Jaylen Franklin missed Free Throw.,47,57
13:38,2534,Jamal Williams Defensive Rebound.,47,57
13:15,2000,Foul on Drake Green.,47,57
13:03,2534,Marcus Harris Turnover.,47,57
13:03,2000,Jaren Lewis Steal.,47,57
12:59,2534,Foul on Cameron Delaney.,47,57
12:59,2000,Jaren Lewis missed Free Throw.,47,57
12:59,2000,Abilene Christian Deadball Team Rebound.,47,57
12:59,2000,Jaren Lewis missed Free Throw.,47,57
12:59,2000,Jaren Lewis Offensive Rebound.,47,57
12:56,2000,Jaren Lewis missed Jumper.,47,57
12:56,2000,Jaren Lewis Offensive Rebound.,47,57
12:54,2000,Jaren Lewis missed Jumper.,47,57
12:54,2000,Jaren Lewis Offensive Rebound.,47,57
12:53,2534,Foul on Jamal Williams.,47,57
12:53,2000,Jaren Lewis made Free Throw.,47,58
12:53,2000,Jaren Lewis made Free Throw.,47,59
12:35,2534,Marcus Harris missed Three Point Jumper.,47,59
12:35,2534,Cameron Delaney Offensive Rebound.,47,59
12:31,2534,Cameron Delaney Turnover.,47,59
12:19,2000,Drake Green made Layup. Assisted by Isaiah Tripp.,47,61
12:08,2000,Foul on Tevin Foster.,47,61
11:52,2534,Marcus Harris missed Three Point Jumper.,47,61
11:52,2000,Hayden Howell Defensive Rebound.,47,61
11:39,2000,Hayden Howell missed Layup.,47,61
11:39,2534,Cameron Delaney Block.,47,61
11:37,2000,Official TV Timeout,47,61
11:37,2000,Abilene Christian Offensive Rebound.,47,61
11:37,2000,Official TV Timeout,47,61
11:19,2000,Isaiah Tripp missed Jumper.,47,61
11:19,2534,Cameron Delaney Defensive Rebound.,47,61
11:12,2534,Marcus Harris made Layup.,49,61
11:11,2534,Jamal Williams missed Free Throw.,49,61
11:11,2000,Foul on Isaiah Tripp.,49,61
11:11,2000,Jaren Lewis Defensive Rebound.,49,61
10:55,2000,Isaiah Tripp missed Layup.,49,61
10:55,2534,Jamal Williams Defensive Rebound.,49,61
10:47,2000,Foul on Drake Green.,49,61
10:47,2534,Jamal Williams missed Free Throw.,49,61
10:47,2534,Sam Houston State Deadball Team Rebound.,49,61
10:47,2534,Jamal Williams missed Free Throw.,49,61
10:47,2000,Trey Lenox Defensive Rebound.,49,61
10:32,2000,Foul on Trey Lenox.,49,61
10:32,2000,Trey Lenox Turnover.,49,61
10:28,2534,Christopher Galbreath Jr. Turnover.,49,61
10:18,2000,Payten Ricks missed Three Point Jumper.,49,61
10:18,2000,Jaylen Franklin Offensive Rebound.,49,61
10:14,2000,Jaylen Franklin missed Layup.,49,61
10:14,2534,Cameron Delaney Defensive Rebound.,49,61
9:59,2534,Christopher Galbreath Jr. made Jumper.,51,61
9:44,2000,Tevin Foster Turnover.,51,61
9:28,2534,Christopher Galbreath Jr. missed Jumper.,51,61
9:28,2000,Jaylen Franklin Defensive Rebound.,51,61
9:18,2000,Tevin Foster Turnover.,51,61
9:10,2534,Josh Delaney missed Jumper.,51,61
9:10,2000,Jalone Friday Block.,51,61
9:09,2000,Payten Ricks Defensive Rebound.,51,61
9:00,2000,Tevin Foster missed Three Point Jumper.,51,61
9:00,2534,Marcus Harris Defensive Rebound.,51,61
8:37,2534,Marcus Harris Turnover.,51,61
8:36,2000,Hayden Howell Steal.,51,61
8:32,2534,Foul on Cameron Delaney.,51,61
8:31,2000,Jaylen Franklin missed Free Throw.,51,61
8:31,2534,Christopher Galbreath Jr. Defensive Rebound.,51,61
8:12,2000,Foul on Jalone Friday.,51,61
8:01,2534,Cameron Delaney Turnover.,51,61
8:00,2000,Drake Green Steal.,51,61
7:58,2534,Foul on Cameron Delaney.,51,61
7:58,2000,Official TV Timeout,51,61
7:58,2000,Drake Green made Free Throw.,51,62
7:58,2000,Drake Green made Free Throw.,51,63
7:35,2534,Christopher Galbreath Jr. missed Layup.,51,63
7:35,2000,Jalone Friday Defensive Rebound.,51,63
7:30,2534,Technical Foul on Sam Houston State.,51,63
7:30,2000,Drake Green made Free Throw.,51,64
7:30,2000,Drake Green made Free Throw.,51,65
7:15,2000,Foul on Jaren Lewis.,51,65
7:15,2000,Jaren Lewis Turnover.,51,65
6:55,2534,John Dewey III missed Three Point Jumper.,51,65
6:55,2534,Christopher Galbreath Jr. Offensive Rebound.,51,65
6:51,2534,Christopher Galbreath Jr. Turnover.,51,65
6:51,2000,Abilene Christian  Timeout,51,65
6:34,2000,Payten Ricks missed Three Point Jumper.,51,65
6:34,2534,John Dewey III Defensive Rebound.,51,65
6:24,2000,Foul on Jalone Friday.,51,65
6:24,2534,Abrian Edwards made Free Throw.,52,65
6:24,2534,Abrian Edwards made Free Throw.,53,65
6:13,2000,Jaylen Franklin Turnover.,53,65
6:13,2534,John Dewey III Steal.,53,65
6:10,2000,Foul on Payten Ricks.,53,65
6:10,2534,John Dewey III made Free Throw.,54,65
6:10,2534,John Dewey III made Free Throw.,55,65
5:55,2000,Payten Ricks missed Layup.,55,65
5:55,2534,Josh Delaney Defensive Rebound.,55,65
5:49,2534,John Dewey III missed Jumper.,55,65
5:49,2000,Jalone Friday Block.,55,65
5:49,2534,Sam Houston State Offensive Rebound.,55,65
5:49,2534,Technical Foul on John Dewey III.,55,65
5:49,2000,Technical Foul on Jalone Friday.,55,65
5:49,2534,Foul on John Dewey III.,55,65
5:49,2000,Foul on Jalone Friday.,55,65
5:29,2534,Albert Almanza missed Three Point Jumper.,55,65
5:29,2534,Sam Houston State Offensive Rebound.,55,65
5:25,2534,Josh Delaney made Three Point Jumper.,58,65
4:50,2000,Jaren Lewis made Layup.,58,67
4:36,2534,Josh Delaney made Three Point Jumper.,61,67
4:20,2534,Foul on Josh Delaney.,61,67
4:20,2000,Jaylen Franklin missed Free Throw.,61,67
4:20,2000,Abilene Christian Deadball Team Rebound.,61,67
4:20,2000,Jaylen Franklin missed Free Throw.,61,67
4:20,2534,Christopher Galbreath Jr. Defensive Rebound.,61,67
3:57,2534,Foul on Christopher Galbreath Jr..,61,67
3:57,2534,Christopher Galbreath Jr. Turnover.,61,67
3:57,2000,Official TV Timeout,61,67
3:49,2000,Payten Ricks missed Three Point Jumper.,61,67
3:49,2000,Jaylen Franklin Offensive Rebound.,61,67
3:44,2000,Jaylen Franklin Turnover.,61,67
3:44,2534,Albert Almanza Steal.,61,67
3:28,2534,Josh Delaney missed Three Point Jumper.,61,67
3:28,2000,Jaylen Franklin Defensive Rebound.,61,67
3:01,2000,Tevin Foster Turnover.,61,67
3:00,2534,Josh Delaney Steal.,61,67
2:54,2000,Foul on Hayden Howell.,61,67
2:54,2534,John Dewey III made Free Throw.,62,67
2:54,2534,John Dewey III made Free Throw.,63,67
2:35,2000,Jaylen Franklin missed Layup.,63,67
2:35,2534,Josh Delaney Defensive Rebound.,63,67
2:27,2534,John Dewey III made Layup.,65,67
2:27,2000,Foul on Jalone Friday.,65,67
2:27,2000,Abilene Christian  Timeout,65,67
2:27,2534,John Dewey III made Free Throw.,66,67
2:11,2534,Foul on John Dewey III.,66,67
2:11,2000,Tevin Foster made Free Throw.,66,68
2:11,2000,Tevin Foster made Free Throw.,66,69
1:43,2534,John Dewey III missed Jumper.,66,69
1:43,2000,Jaren Lewis Block.,66,69
1:41,2000,Jaylen Franklin Defensive Rebound.,66,69
1:25,2534,Foul on Christopher Galbreath Jr..,66,69
1:25,2000,Hayden Howell missed Free Throw.,66,69
1:25,2000,Abilene Christian Deadball Team Rebound.,66,69
1:25,2000,Hayden Howell missed Free Throw.,66,69
1:25,2534,Jamal Williams Defensive Rebound.,66,69
1:01,2000,Foul on Tevin Foster.,66,69
1:01,2534,Jamal Williams missed Free Throw.,66,69
1:01,2534,Sam Houston State Deadball Team Rebound.,66,69
1:01,2534,Jamal Williams made Free Throw.,67,69
0:40,2000,Jaylen Franklin missed Jumper.,67,69
0:40,2000,Jaylen Franklin Offensive Rebound.,67,69
0:37,2000,Jaylen Franklin made Jumper.,67,71
0:28,2534,Josh Delaney missed Three Point Jumper.,67,71
0:28,2000,Hayden Howell Defensive Rebound.,67,71
0:21,2534,Foul on Marcus Harris.,67,71
0:21,2000,Hayden Howell made Free Throw.,67,72
0:21,2000,Hayden Howell made Free Throw.,67,73
0:19,2534,Foul on Abrian Edwards.,67,73
0:19,2000,Drake Green made Free Throw.,67,74
0:19,2000,Drake Green missed Free Throw.,67,74
0:19,2534,Jamal Williams Defensive Rebound.,67,74
0:12,2534,Josh Delaney made Layup.,69,74
0:12,2000,Foul on Tevin Foster.,69,74
0:12,2534,Josh Delaney made Free Throw.,70,74
0:10,2534,Foul on Marcus Harris.,70,74
0:10,2000,Payten Ricks missed Free Throw.,70,74
0:10,2000,Abilene Christian Deadball Team Rebound.,70,74
0:10,2000,Payten Ricks made Free Throw.,70,75
0:05,2534,Marcus Harris missed Three Point Jumper.,70,75
0:05,2534,Sam Houston State Offensive Rebound.,70,75
0:00,2534,Jamal Williams made Layup. Assisted by John Dewey III.,72,75
0:00,2000,End of Game,72,75
