Air Force,278,Fresno State,2005
9:12,278,Ray Bowles Jr. Defensive Rebound.,15,14
9:09,2005,Foul on Dane Norman.,15,14
8:53,278,Deshon Taylor made Three Point Jumper. Assisted by Sam Bittner.,15,17
8:53,2005,Foul on Ryan Swan.,15,17
8:42,278,Jahmel Taylor missed Three Point Jumper.,15,17
8:42,2005,Lavelle Scottie Defensive Rebound.,15,17
8:33,2005,Ryan Swan Turnover.,15,17
8:33,278,Jahmel Taylor Steal.,15,17
8:33,2005,Foul on Lavelle Scottie.,15,17
8:23,278,Jaron Hopkins missed Layup.,15,17
8:23,2005,Ryan Swan Block.,15,17
8:23,278,Fresno State Offensive Rebound.,15,17
8:21,2005,Foul on Ryan Swan.,15,17
8:08,278,Jaron Hopkins made Three Point Jumper. Assisted by Deshon Taylor.,15,20
7:43,2005,Frank Toohey missed Jumper.,15,20
7:43,278,Sam Bittner Defensive Rebound.,15,20
7:34,278,Jaron Hopkins missed Jumper.,15,20
7:34,2005,Frank Toohey Defensive Rebound.,15,20
7:22,2005,Ryan Manning missed Jumper.,15,20
7:22,278,Terrell Carter II Defensive Rebound.,15,20
7:12,2005,Foul on Ryan Manning.,15,20
7:12,278,Official TV Timeout,15,20
7:12,278,Jahmel Taylor made Free Throw.,15,21
7:12,278,Jahmel Taylor made Free Throw.,15,22
6:53,2005,Foul on Frank Toohey.,15,22
6:53,2005,Frank Toohey Turnover.,15,22
6:36,278,Jaron Hopkins made Layup. Assisted by Jahmel Taylor.,15,24
6:32,2005,Jacob Van Turnover.,15,24
6:11,278,Bryson Williams missed Layup.,15,24
6:11,2005,Caleb Morris Defensive Rebound.,15,24
6:05,2005,Foul on Caleb Morris.,15,24
6:05,2005,Caleb Morris Turnover.,15,24
5:43,2005,Foul on Caleb Morris.,15,24
5:43,278,Bryson Williams missed Free Throw.,15,24
5:43,278,Fresno State Deadball Team Rebound.,15,24
5:43,278,Bryson Williams made Free Throw.,15,25
5:23,278,Foul on Jaron Hopkins.,15,25
5:19,2005,Ryan Manning missed Three Point Jumper.,15,25
5:19,278,Jahmel Taylor Defensive Rebound.,15,25
5:12,278,Jaron Hopkins missed Layup.,15,25
5:12,2005,Ryan Manning Block.,15,25
5:11,278,Jahmel Taylor Offensive Rebound.,15,25
5:03,278,Jaron Hopkins Turnover.,15,25
4:39,2005,Trevor Lyons made Jumper.,17,25
4:25,278,Jahmel Taylor made Jumper. Assisted by Johnny McWilliams.,17,27
3:50,2005,Jonathan DeWane missed Jumper.,17,27
3:50,278,Bryson Williams Defensive Rebound.,17,27
3:27,278,Sam Bittner made Jumper. Assisted by Deshon Taylor.,17,29
3:13,278,Foul on Jahmel Taylor.,17,29
3:13,278,Official TV Timeout,17,29
3:13,2005,Trevor Lyons made Free Throw.,18,29
3:13,2005,Trevor Lyons missed Free Throw.,18,29
3:13,278,Ray Bowles Jr. Defensive Rebound.,18,29
2:50,278,Deshon Taylor Turnover.,18,29
2:35,2005,Trevor Lyons missed Three Point Jumper.,18,29
2:35,278,Deshon Taylor Defensive Rebound.,18,29
2:25,278,Jahmel Taylor Turnover.,18,29
2:24,2005,Keaton Van Soelen Steal.,18,29
2:21,2005,Keaton Van Soelen missed Layup.,18,29
2:21,278,Sam Bittner Block.,18,29
2:19,2005,CJ Siples Offensive Rebound.,18,29
2:17,2005,CJ Siples made Layup.,20,29
1:57,278,Deshon Taylor missed Three Point Jumper.,20,29
1:57,2005,Keaton Van Soelen Defensive Rebound.,20,29
1:42,2005,Frank Toohey made Jumper. Assisted by Trevor Lyons.,22,29
1:27,278,Foul on Bryson Williams.,22,29
1:27,278,Bryson Williams Turnover.,22,29
1:17,278,Foul on Deshon Taylor.,22,29
1:17,2005,CJ Siples missed Free Throw.,22,29
1:17,278,Jahmel Taylor Defensive Rebound.,22,29
1:05,2005,Foul on Trevor Lyons.,22,29
1:05,278,Deshon Taylor made Free Throw.,22,30
1:05,278,Deshon Taylor made Free Throw.,22,31
0:32,2005,Pervis Louder missed Layup.,22,31
0:32,2005,Frank Toohey Offensive Rebound.,22,31
0:30,2005,Frank Toohey made Layup.,24,31
0:08,278,Jahmel Taylor missed Three Point Jumper.,24,31
0:08,2005,Keaton Van Soelen Defensive Rebound.,24,31
0:02,2005,CJ Siples missed Three Point Jumper.,24,31
0:02,278,Sam Bittner Defensive Rebound.,24,31
0:00,278,End of 1st half,24,31
19:40,278,Ray Bowles Jr. Turnover.,24,31
19:23,2005,Keaton Van Soelen missed Jumper.,24,31
19:23,278,Jaron Hopkins Defensive Rebound.,24,31
19:16,278,Bryson Williams made Layup. Assisted by Ray Bowles Jr..,24,33
19:04,278,Foul on Jaron Hopkins.,24,33
18:45,2005,Trevor Lyons missed Jumper.,24,33
18:45,278,Bryson Williams Defensive Rebound.,24,33
18:44,2005,Foul on Trevor Lyons.,24,33
18:25,278,Foul on Bryson Williams.,24,33
18:25,278,Bryson Williams Turnover.,24,33
17:58,2005,Ryan Swan made Three Point Jumper. Assisted by Lavelle Scottie.,27,33
17:40,2005,Foul on Jacob Van.,27,33
17:40,278,Ray Bowles Jr. missed Free Throw.,27,33
17:40,278,Fresno State Deadball Team Rebound.,27,33
17:40,278,Ray Bowles Jr. missed Free Throw.,27,33
17:40,2005,Trevor Lyons Defensive Rebound.,27,33
17:31,2005,Ryan Swan Turnover.,27,33
17:17,278,Sam Bittner made Layup.,27,35
16:58,2005,Ryan Swan made Layup. Assisted by Trevor Lyons.,29,35
16:58,278,Foul on Sam Bittner.,29,35
16:58,2005,Ryan Swan made Free Throw.,30,35
16:32,2005,Foul on Lavelle Scottie.,30,35
16:32,278,Sam Bittner made Free Throw.,30,36
16:32,278,Sam Bittner made Free Throw.,30,37
16:15,2005,Ryan Swan Turnover.,30,37
16:02,278,Foul on Terrell Carter II.,30,37
16:02,278,Terrell Carter II Turnover.,30,37
15:47,278,Foul on Sam Bittner.,30,37
15:47,278,Official TV Timeout,30,37
15:28,2005,Trevor Lyons missed Three Point Jumper.,30,37
15:28,278,Ray Bowles Jr. Defensive Rebound.,30,37
15:20,278,Deshon Taylor missed Layup.,30,37
15:20,278,Ray Bowles Jr. Offensive Rebound.,30,37
15:17,278,Ray Bowles Jr. made Layup.,30,39
15:08,278,Foul on Terrell Carter II.,30,39
15:08,2005,Keaton Van Soelen made Free Throw.,31,39
15:08,2005,Keaton Van Soelen made Free Throw.,32,39
14:45,2005,Foul on Pervis Louder.,32,39
14:28,278,Jahmel Taylor missed Jumper.,32,39
14:28,278,Ray Bowles Jr. Offensive Rebound.,32,39
14:10,278,Deshon Taylor Turnover.,32,39
14:09,2005,Pervis Louder Steal.,32,39
13:44,2005,Keaton Van Soelen missed Three Point Jumper.,32,39
13:44,278,Deshon Taylor Defensive Rebound.,32,39
13:38,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,32,42
13:34,2005,Air Force  Timeout,32,42
13:07,2005,Frank Toohey missed Jumper.,32,42
13:07,278,Bryson Williams Defensive Rebound.,32,42
12:48,278,Ray Bowles Jr. made Three Point Jumper. Assisted by Jaron Hopkins.,32,45
12:13,2005,CJ Siples missed Three Point Jumper.,32,45
12:13,2005,Pervis Louder Offensive Rebound.,32,45
12:00,278,Foul on Deshon Taylor.,32,45
12:00,278,Official TV Timeout,32,45
12:00,2005,Pervis Louder made Free Throw.,33,45
12:00,2005,Pervis Louder made Free Throw.,34,45
11:45,278,Jaron Hopkins made Jumper. Assisted by Bryson Williams.,34,47
11:32,278,Foul on Ray Bowles Jr..,34,47
11:32,2005,Pervis Louder made Free Throw.,35,47
11:32,2005,Pervis Louder made Free Throw.,36,47
11:09,278,Foul on Jaron Hopkins.,36,47
11:09,278,Jaron Hopkins Turnover.,36,47
10:41,2005,Ryan Swan missed Three Point Jumper.,36,47
10:41,278,Ray Bowles Jr. Defensive Rebound.,36,47
10:38,2005,Foul on Pervis Louder.,36,47
10:18,278,Bryson Williams missed Layup.,36,47
10:18,2005,CJ Siples Block.,36,47
10:18,278,Bryson Williams Offensive Rebound.,36,47
10:18,2005,Foul on Jacob Van.,36,47
10:18,278,Bryson Williams missed Free Throw.,36,47
10:18,278,Fresno State Deadball Team Rebound.,36,47
10:18,278,Bryson Williams made Free Throw.,36,48
10:03,2005,Pervis Louder made Layup.,38,48
9:51,2005,Foul on CJ Siples.,38,48
9:51,278,Deshon Taylor made Free Throw.,38,49
9:51,278,Deshon Taylor made Free Throw.,38,50
9:37,2005,Ryan Swan missed Jumper.,38,50
9:37,278,Sam Bittner Defensive Rebound.,38,50
9:21,278,Foul on Bryson Williams.,38,50
9:21,278,Bryson Williams Turnover.,38,50
8:51,2005,Ryan Swan missed Three Point Jumper.,38,50
8:51,278,Deshon Taylor Defensive Rebound.,38,50
8:28,278,Ray Bowles Jr. missed Three Point Jumper.,38,50
8:28,2005,Air Force Defensive Rebound.,38,50
8:09,278,Foul on Ray Bowles Jr..,38,50
8:09,2005,Lavelle Scottie made Free Throw.,39,50
8:09,2005,Lavelle Scottie made Free Throw.,40,50
7:59,278,Deshon Taylor made Layup.,40,52
7:46,2005,Keaton Van Soelen made Three Point Jumper. Assisted by Lavelle Scottie.,43,52
7:26,278,Nate Grimes made Dunk. Assisted by Jahmel Taylor.,43,54
7:09,278,Foul on Sam Bittner.,43,54
7:09,278,Official TV Timeout,43,54
7:09,2005,Lavelle Scottie made Free Throw.,44,54
7:09,2005,Lavelle Scottie made Free Throw.,45,54
6:49,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,45,57
6:24,2005,Trevor Lyons missed Layup.,45,57
6:24,278,Jahmel Taylor Defensive Rebound.,45,57
6:13,278,Deshon Taylor missed Three Point Jumper.,45,57
6:13,278,Nate Grimes Offensive Rebound.,45,57
6:12,2005,Foul on Keaton Van Soelen.,45,57
6:12,278,Nate Grimes missed Free Throw.,45,57
6:12,2005,Trevor Lyons Defensive Rebound.,45,57
6:07,278,Foul on Sam Bittner.,45,57
6:07,2005,Ryan Swan made Free Throw.,46,57
6:07,2005,Ryan Swan made Free Throw.,47,57
5:48,278,Ray Bowles Jr. made Layup.,47,59
5:31,2005,Lavelle Scottie Turnover.,47,59
5:29,278,Deshon Taylor Steal.,47,59
5:15,278,Jahmel Taylor missed Three Point Jumper.,47,59
5:15,2005,Air Force Defensive Rebound.,47,59
4:52,2005,Trevor Lyons made Layup. Assisted by Ryan Swan.,49,59
4:36,278,Ray Bowles Jr. made Layup.,49,61
4:10,2005,Jacob Van made Three Point Jumper. Assisted by Trevor Lyons.,52,61
3:51,278,Deshon Taylor missed Three Point Jumper.,52,61
3:51,2005,Lavelle Scottie Defensive Rebound.,52,61
3:47,2005,Lavelle Scottie Turnover.,52,61
3:47,278,Jaron Hopkins Steal.,52,61
3:47,278,Jaron Hopkins made Dunk.,52,63
3:47,2005,Foul on Lavelle Scottie.,52,63
3:47,278,Jaron Hopkins missed Free Throw.,52,63
3:47,2005,Lavelle Scottie Defensive Rebound.,52,63
3:23,2005,Keaton Van Soelen made Layup. Assisted by Lavelle Scottie.,54,63
3:00,278,Deshon Taylor missed Layup.,54,63
3:00,2005,Keaton Van Soelen Defensive Rebound.,54,63
2:46,2005,Trevor Lyons made Layup.,56,63
2:22,278,Nate Grimes made Dunk. Assisted by Ray Bowles Jr..,56,65
2:05,2005,Jacob Van missed Jumper.,56,65
2:05,278,Nate Grimes Defensive Rebound.,56,65
1:38,2005,Foul on Jacob Van.,56,65
1:38,278,Deshon Taylor missed Free Throw.,56,65
1:38,278,Fresno State Deadball Team Rebound.,56,65
1:38,278,Deshon Taylor made Free Throw.,56,66
1:29,2005,Pervis Louder missed Three Point Jumper.,56,66
1:29,2005,Keaton Van Soelen Offensive Rebound.,56,66
1:26,278,Foul on Sam Bittner.,56,66
1:26,2005,Keaton Van Soelen made Free Throw.,57,66
1:26,2005,Keaton Van Soelen missed Free Throw.,57,66
1:26,278,Jaron Hopkins Defensive Rebound.,57,66
0:55,278,Deshon Taylor made Jumper.,57,68
0:44,2005,Trevor Lyons Turnover.,57,68
0:42,2005,Foul on Pervis Louder.,57,68
0:42,278,Deshon Taylor missed Free Throw.,57,68
0:42,278,Fresno State Deadball Team Rebound.,57,68
0:42,278,Deshon Taylor made Free Throw.,57,69
0:36,2005,Pervis Louder missed Layup.,57,69
0:36,278,Deshon Taylor Defensive Rebound.,57,69
0:35,2005,Foul on Trevor Lyons.,57,69
0:35,278,Deshon Taylor made Free Throw.,57,70
0:35,278,Deshon Taylor made Free Throw.,57,71
0:27,2005,Pervis Louder missed Jumper.,57,71
0:27,2005,Ryan Swan Offensive Rebound.,57,71
0:27,278,Foul on Deshon Taylor.,57,71
0:27,2005,Ryan Swan made Free Throw.,58,71
0:27,2005,Ryan Swan made Free Throw.,59,71
0:00,278,End of Game,59,71
