North Dakota State,2623,Missouri State,2449
0:00,2623,Jarred Dixon missed Jumper.,21,38
0:00,2449,North Dakota St Deadball Team Rebound.,21,38
0:00,2623,End of 1st half,21,38
19:35,2449,Foul on Dexter Werner.,21,38
19:35,2449,Dexter Werner Turnover.,21,38
19:26,2623,Alize Johnson missed Jumper.,21,38
19:26,2623,Missouri St Offensive Rebound.,21,38
19:19,2623,Ronnie Rousseau III Turnover.,21,38
19:03,2449,Khy Kabellis made Three Point Jumper. Assisted by A.J. Jacobson.,24,38
18:38,2623,Ronnie Rousseau III made Jumper.,24,40
18:15,2449,Carlin Dupree missed Jumper.,24,40
18:15,2449,Dexter Werner Offensive Rebound.,24,40
18:12,2449,Dexter Werner made Two Point Tip Shot.,26,40
17:47,2623,Ryan Kreklow missed Three Point Jumper.,26,40
17:47,2449,Dexter Werner Defensive Rebound.,26,40
17:39,2449,Paul Miller missed Three Point Jumper.,26,40
17:39,2623,Missouri St Defensive Rebound.,26,40
17:18,2623,Obediah Church missed Jumper.,26,40
17:18,2449,Dexter Werner Block.,26,40
17:17,2623,Alize Johnson Offensive Rebound.,26,40
17:14,2449,Foul on Dexter Werner.,26,40
17:14,2623,Alize Johnson missed Free Throw.,26,40
17:14,2623,Missouri St Deadball Team Rebound.,26,40
17:14,2623,Alize Johnson made Free Throw.,26,41
16:37,2449,A.J. Jacobson missed Jumper.,26,41
16:37,2449,Dexter Werner Offensive Rebound.,26,41
16:37,2449,Dexter Werner made Dunk.,28,41
16:20,2623,Missouri St  Turnover.,28,41
16:15,2449,Carlin Dupree missed Jumper.,28,41
16:15,2623,Obediah Church Block.,28,41
16:13,2449,A.J. Jacobson Offensive Rebound.,28,41
16:13,2449,A.J. Jacobson Turnover.,28,41
16:01,2623,Ronnie Rousseau III missed Jumper.,28,41
16:01,2449,Khy Kabellis Defensive Rebound.,28,41
15:54,2449,Khy Kabellis Turnover.,28,41
15:54,2623,Official TV Timeout,28,41
15:35,2449,Foul on Tyson Ward.,28,41
15:17,2623,Ryan Kreklow made Three Point Jumper. Assisted by Ronnie Rousseau III.,28,44
15:03,2449,Paul Miller missed Jumper.,28,44
15:03,2623,Ryan Kreklow Defensive Rebound.,28,44
14:42,2623,Foul on Alize Johnson.,28,44
14:42,2623,Alize Johnson Turnover.,28,44
14:32,2449,Spencer Eliason made Jumper. Assisted by Khy Kabellis.,30,44
14:06,2623,Dequon Miller missed Jumper.,30,44
14:06,2449,Paul Miller Block.,30,44
14:06,2623,Missouri St Offensive Rebound.,30,44
14:03,2623,Chris Kendrix missed Three Point Jumper.,30,44
14:03,2449,Tyson Ward Defensive Rebound.,30,44
13:55,2449,Khy Kabellis missed Three Point Jumper.,30,44
13:55,2449,North Dakota St Deadball Team Rebound.,30,44
13:53,2623,Foul on Jordan Martin.,30,44
13:43,2623,Foul on Jordan Martin.,30,44
13:43,2449,Paul Miller missed Free Throw.,30,44
13:43,2449,North Dakota St Deadball Team Rebound.,30,44
13:43,2449,Paul Miller made Free Throw.,31,44
13:29,2623,Foul on Chris Kendrix.,31,44
13:29,2623,Chris Kendrix Turnover.,31,44
13:14,2449,Khy Kabellis made Jumper.,33,44
13:01,2623,Dequon Miller missed Three Point Jumper.,33,44
13:01,2449,Tyson Ward Defensive Rebound.,33,44
12:53,2449,Tyson Ward Turnover.,33,44
12:52,2623,Dequon Miller Steal.,33,44
12:49,2623,Dequon Miller made Layup. Assisted by Chris Kendrix.,33,46
12:49,2449,Foul on A.J. Jacobson.,33,46
12:49,2623,Dequon Miller made Free Throw.,33,47
12:32,2449,Khy Kabellis made Three Point Jumper.,36,47
12:04,2623,Austin Ruder made Three Point Jumper. Assisted by Dequon Miller.,36,50
11:51,2449,Khy Kabellis made Jumper.,38,50
11:31,2623,Chris Kendrix missed Jumper.,38,50
11:31,2449,A.J. Jacobson Defensive Rebound.,38,50
11:14,2449,Paul Miller made Jumper.,40,50
11:03,2623,Missouri St  Timeout,40,50
10:54,2623,Austin Ruder missed Three Point Jumper.,40,50
10:54,2623,Alize Johnson Offensive Rebound.,40,50
10:51,2449,Foul on Paul Miller.,40,50
10:51,2623,Official TV Timeout,40,50
10:43,2623,Jarred Dixon made Jumper.,40,52
10:43,2449,Foul on Dexter Werner.,40,52
10:43,2623,Jarred Dixon made Free Throw.,40,53
10:32,2449,Khy Kabellis missed Jumper.,40,53
10:32,2623,Alize Johnson Defensive Rebound.,40,53
10:27,2623,Jarred Dixon missed Jumper.,40,53
10:27,2623,Austin Ruder Offensive Rebound.,40,53
10:03,2623,Jarred Dixon missed Jumper.,40,53
10:03,2449,A.J. Jacobson Block.,40,53
10:02,2623,Missouri St Offensive Rebound.,40,53
9:58,2623,Alize Johnson Turnover.,40,53
9:57,2449,Khy Kabellis Steal.,40,53
9:54,2449,Khy Kabellis missed Jumper.,40,53
9:54,2623,Austin Ruder Block.,40,53
9:53,2449,North Dakota St Offensive Rebound.,40,53
9:39,2449,Paul Miller missed Jumper.,40,53
9:39,2623,Alize Johnson Defensive Rebound.,40,53
9:21,2623,Alize Johnson made Layup. Assisted by Obediah Church.,40,55
9:08,2449,Dylan Miller missed Jumper.,40,55
9:08,2623,Ronnie Rousseau III Defensive Rebound.,40,55
8:44,2623,Alize Johnson missed Jumper.,40,55
8:44,2449,Khy Kabellis Defensive Rebound.,40,55
8:36,2623,Foul on Ronnie Rousseau III.,40,55
8:27,2449,Deng Geu missed Jumper.,40,55
8:27,2623,Ronnie Rousseau III Defensive Rebound.,40,55
8:15,2623,Ronnie Rousseau III missed Three Point Jumper.,40,55
8:15,2449,Deng Geu Defensive Rebound.,40,55
7:57,2449,Dylan Miller made Dunk. Assisted by Khy Kabellis.,42,55
7:45,2623,Ryan Kreklow missed Jumper.,42,55
7:45,2623,Obediah Church Offensive Rebound.,42,55
7:43,2623,Obediah Church made Dunk.,42,57
7:28,2449,Khy Kabellis made Three Point Jumper.,45,57
7:06,2623,Ronnie Rousseau III Turnover.,45,57
7:05,2623,Official TV Timeout,45,57
6:51,2449,Khy Kabellis missed Three Point Jumper.,45,57
6:51,2623,Obediah Church Defensive Rebound.,45,57
6:22,2623,Ryan Kreklow missed Jumper.,45,57
6:22,2449,Paul Miller Block.,45,57
6:20,2449,Paul Miller Defensive Rebound.,45,57
6:11,2449,Khy Kabellis Turnover.,45,57
6:11,2623,Alize Johnson Steal.,45,57
6:06,2449,Foul on Paul Miller.,45,57
6:06,2623,Ronnie Rousseau III made Free Throw.,45,58
6:06,2623,Ronnie Rousseau III made Free Throw.,45,59
5:42,2449,Khy Kabellis Turnover.,45,59
5:19,2623,Ronnie Rousseau III Turnover.,45,59
5:19,2449,Paul Miller Steal.,45,59
4:58,2449,Paul Miller Turnover.,45,59
4:57,2623,Ronnie Rousseau III Steal.,45,59
4:57,2623,Ronnie Rousseau III Turnover.,45,59
4:57,2449,Paul Miller Steal.,45,59
4:45,2449,Carlin Dupree missed Jumper.,45,59
4:45,2623,Alize Johnson Defensive Rebound.,45,59
4:21,2623,Dequon Miller made Jumper.,45,61
4:03,2449,Paul Miller made Jumper.,47,61
4:01,2449,North Dakota St  Timeout,47,61
4:01,2623,Official TV Timeout,47,61
3:37,2623,Alize Johnson made Layup. Assisted by Obediah Church.,47,63
3:10,2449,Paul Miller missed Jumper.,47,63
3:10,2449,North Dakota St Offensive Rebound.,47,63
3:06,2449,Paul Miller missed Three Point Jumper.,47,63
3:06,2623,Ronnie Rousseau III Defensive Rebound.,47,63
2:34,2623,Alize Johnson missed Jumper.,47,63
2:34,2449,Carlin Dupree Defensive Rebound.,47,63
2:27,2449,Carlin Dupree missed Jumper.,47,63
2:27,2623,Obediah Church Block.,47,63
2:22,2449,Paul Miller Offensive Rebound.,47,63
2:21,2449,Paul Miller missed Jumper.,47,63
2:21,2623,Ronnie Rousseau III Defensive Rebound.,47,63
2:20,2449,Foul on Carlin Dupree.,47,63
2:20,2623,Ronnie Rousseau III made Free Throw.,47,64
2:20,2623,Ronnie Rousseau III missed Free Throw.,47,64
2:20,2449,A.J. Jacobson Defensive Rebound.,47,64
2:05,2449,Khy Kabellis missed Three Point Jumper.,47,64
2:05,2623,Dequon Miller Defensive Rebound.,47,64
1:34,2623,Alize Johnson missed Three Point Jumper.,47,64
1:34,2449,Carlin Dupree Defensive Rebound.,47,64
1:17,2449,Carlin Dupree made Three Point Jumper.,50,64
0:49,2623,Dequon Miller Turnover.,50,64
0:40,2449,Carlin Dupree missed Three Point Jumper.,50,64
0:40,2623,Obediah Church Defensive Rebound.,50,64
0:10,2623,Ryan Kreklow missed Three Point Jumper.,50,64
0:10,2449,Paul Miller Defensive Rebound.,50,64
0:01,2449,A.J. Jacobson missed Jumper.,50,64
0:01,2623,Obediah Church Defensive Rebound.,50,64
0:00,2623,End of Game,50,64
