CSU Northridge,2501,Portland,2463
15:34,2501,Jazz Johnson Defensive Rebound.,8,16
15:27,2463,Foul on Aaron Parks.,8,16
15:27,2501,Official TV Timeout,8,16
15:27,2501,Philipp Hartwich missed Free Throw.,8,16
15:27,2501,Portland Deadball Team Rebound.,8,16
15:27,2501,Philipp Hartwich made Free Throw.,8,17
15:25,2501,Gabe Taylor made Layup. Assisted by Alec Wintering.,8,19
15:13,2463,Tavrion Dawson Turnover.,8,19
15:01,2501,Jazz Johnson made Jumper.,8,21
14:44,2463,Darin Johnson Turnover.,8,21
14:43,2501,Jazz Johnson Steal.,8,21
14:42,2501,Jazz Johnson made Layup.,8,23
14:21,2463,Tavrion Dawson missed Jumper.,8,23
14:21,2463,Mahamadou Kaba-Camara Offensive Rebound.,8,23
14:15,2463,Darin Johnson missed Three Point Jumper.,8,23
14:15,2501,Philipp Hartwich Defensive Rebound.,8,23
14:08,2463,Foul on Darin Johnson.,8,23
13:58,2501,Jarrel Marshall made Jumper. Assisted by Gabe Taylor.,8,25
13:37,2463,Aaron Parks made Jumper.,10,25
13:27,2501,Jazz Johnson Turnover.,10,25
13:26,2463,Kendall Smith Steal.,10,25
13:25,2463,Kendall Smith made Layup.,12,25
13:10,2501,Jarrel Marshall missed Three Point Jumper.,12,25
13:10,2463,Rakim Lubin Defensive Rebound.,12,25
12:57,2501,Foul on Jarrel Marshall.,12,25
12:47,2463,Micheal Warren missed Jumper.,12,25
12:47,2463,CSU Northridge Offensive Rebound.,12,25
12:45,2501,Foul on Gabe Taylor.,12,25
12:37,2463,Tavrion Dawson missed Jumper.,12,25
12:37,2463,Rakim Lubin Offensive Rebound.,12,25
12:34,2463,Rakim Lubin missed Jumper.,12,25
12:34,2463,Rakim Lubin Offensive Rebound.,12,25
12:30,2463,Rakim Lubin made Jumper.,14,25
12:11,2501,Alec Wintering made Three Point Jumper. Assisted by Jazz Johnson.,14,28
11:57,2463,Reggie Theus Jr. missed Jumper.,14,28
11:57,2501,Philipp Hartwich Block.,14,28
11:55,2501,Philipp Hartwich Defensive Rebound.,14,28
11:51,2501,Gabe Taylor missed Layup.,14,28
11:51,2463,Rakim Lubin Block.,14,28
11:47,2501,Jarrel Marshall Offensive Rebound.,14,28
11:44,2501,Jarrel Marshall made Layup.,14,30
11:31,2501,Official TV Timeout,14,30
11:22,2463,Kendall Smith Turnover.,14,30
11:22,2501,Philipp Hartwich Steal.,14,30
11:07,2501,Jazz Johnson missed Jumper.,14,30
11:07,2463,Micheal Warren Defensive Rebound.,14,30
10:55,2463,Kendall Smith missed Three Point Jumper.,14,30
10:55,2463,Rakim Lubin Offensive Rebound.,14,30
10:52,2463,Rakim Lubin made Layup.,16,30
10:38,2463,Foul on Rakim Lubin.,16,30
10:38,2501,Jazz Johnson made Free Throw.,16,31
10:38,2501,Jazz Johnson missed Free Throw.,16,31
10:38,2463,Aaron Parks Defensive Rebound.,16,31
10:26,2463,Aaron Parks missed Jumper.,16,31
10:26,2501,Jarrel Marshall Defensive Rebound.,16,31
10:09,2501,Jazz Johnson missed Three Point Jumper.,16,31
10:09,2501,Philipp Hartwich Offensive Rebound.,16,31
10:02,2501,Philipp Hartwich Turnover.,16,31
10:01,2463,Micheal Warren Steal.,16,31
9:59,2463,Kendall Smith made Layup. Assisted by Micheal Warren.,18,31
9:40,2501,Jazz Johnson Turnover.,18,31
9:35,2463,Reggie Theus Jr. Steal.,18,31
9:29,2501,Foul on Philipp Hartwich.,18,31
9:29,2463,Reggie Theus Jr. made Free Throw.,19,31
9:29,2463,Reggie Theus Jr. made Free Throw.,20,31
9:20,2501,Alec Wintering made Jumper.,20,33
8:59,2463,Reggie Theus Jr. missed Jumper.,20,33
8:59,2501,Gabe Taylor Defensive Rebound.,20,33
8:37,2501,D'Marques Tyson made Three Point Jumper. Assisted by Alec Wintering.,20,36
8:20,2463,Kendall Smith made Three Point Jumper. Assisted by Micheal Warren.,23,36
7:58,2501,D'Marques Tyson missed Three Point Jumper.,23,36
7:58,2463,CSU Northridge Defensive Rebound.,23,36
7:54,2501,Official TV Timeout,23,36
7:38,2501,Foul on Ray Barreno.,23,36
7:38,2463,Reggie Theus Jr. made Free Throw.,24,36
7:38,2463,Reggie Theus Jr. made Free Throw.,25,36
7:19,2501,Jazz Johnson missed Jumper.,25,36
7:19,2463,CSU Northridge Defensive Rebound.,25,36
6:59,2463,Reggie Theus Jr. Turnover.,25,36
6:58,2501,Alec Wintering Steal.,25,36
6:57,2463,Foul on Micheal Warren.,25,36
6:57,2501,Alec Wintering made Free Throw.,25,37
6:57,2501,Alec Wintering made Free Throw.,25,38
6:44,2463,Micheal Warren made Layup. Assisted by Dylan Johns.,27,38
6:44,2501,Foul on D'Marques Tyson.,27,38
6:44,2463,Micheal Warren missed Free Throw.,27,38
6:44,2501,Gabe Taylor Defensive Rebound.,27,38
6:26,2501,Gabe Taylor missed Three Point Jumper.,27,38
6:26,2463,Micheal Warren Defensive Rebound.,27,38
6:02,2463,Aaron Parks missed Jumper.,27,38
6:02,2501,D'Marques Tyson Defensive Rebound.,27,38
5:55,2501,Jazz Johnson made Layup.,27,40
5:47,2463,Kendall Smith missed Layup.,27,40
5:47,2463,Kendall Smith Offensive Rebound.,27,40
5:45,2463,Kendall Smith made Layup.,29,40
5:20,2501,Alec Wintering missed Jumper.,29,40
5:20,2463,Aaron Parks Defensive Rebound.,29,40
5:03,2501,Foul on Jazz Johnson.,29,40
5:03,2463,Aaron Parks made Free Throw.,30,40
5:03,2463,Aaron Parks made Free Throw.,31,40
4:47,2501,D'Marques Tyson missed Jumper.,31,40
4:47,2463,Dylan Johns Defensive Rebound.,31,40
4:37,2463,Jerron Wilbut Turnover.,31,40
4:36,2501,Rashad Jackson Steal.,31,40
4:34,2501,Alec Wintering made Three Point Jumper. Assisted by Rashad Jackson.,31,43
4:14,2463,Reggie Theus Jr. missed Jumper.,31,43
4:14,2463,Dylan Johns Offensive Rebound.,31,43
4:01,2463,Aaron Parks missed Jumper.,31,43
4:01,2501,Rashad Jackson Defensive Rebound.,31,43
3:54,2501,Gabe Taylor missed Jumper.,31,43
3:54,2463,Darin Johnson Block.,31,43
3:50,2501,Ray Barreno Offensive Rebound.,31,43
3:38,2501,D'Marques Tyson missed Three Point Jumper.,31,43
3:38,2463,Jerron Wilbut Defensive Rebound.,31,43
3:34,2463,CSU Northridge  Timeout,31,43
3:21,2463,Aaron Parks made Layup.,33,43
3:06,2501,Alec Wintering missed Layup.,33,43
3:06,2463,Jerron Wilbut Defensive Rebound.,33,43
2:26,2463,Darin Johnson Turnover.,33,43
2:26,2501,Gabe Taylor Turnover.,33,43
2:13,2501,Foul on Rashad Jackson.,33,43
2:13,2463,Aaron Parks made Free Throw.,34,43
2:13,2463,Aaron Parks made Free Throw.,35,43
1:53,2501,Rashad Jackson missed Jumper.,35,43
1:53,2501,Rashad Jackson Offensive Rebound.,35,43
1:46,2501,Rashad Jackson missed Jumper.,35,43
1:46,2501,Rashad Jackson Offensive Rebound.,35,43
1:43,2501,Alec Wintering missed Jumper.,35,43
1:43,2463,Darin Johnson Defensive Rebound.,35,43
1:29,2463,Aaron Parks missed Jumper.,35,43
1:29,2463,Dylan Johns Offensive Rebound.,35,43
1:26,2463,Dylan Johns made Two Point Tip Shot.,37,43
1:13,2501,Alec Wintering made Layup.,37,45
0:50,2463,Jerron Wilbut missed Three Point Jumper.,37,45
0:50,2463,Darin Johnson Offensive Rebound.,37,45
0:49,2501,Foul on D'Marques Tyson.,37,45
0:49,2463,Darin Johnson made Free Throw.,38,45
0:49,2463,Darin Johnson missed Free Throw.,38,45
0:49,2501,Gabe Taylor Defensive Rebound.,38,45
0:38,2501,Alec Wintering made Layup.,38,47
0:02,2463,Aaron Parks missed Jumper.,38,47
0:02,2501,Rashad Jackson Defensive Rebound.,38,47
0:00,2501,End of 1st half,38,47
19:35,2501,Gabe Taylor missed Three Point Jumper.,38,47
19:35,2463,Kendall Smith Defensive Rebound.,38,47
19:17,2463,Rakim Lubin made Layup. Assisted by Aaron Parks.,40,47
18:47,2501,Gabe Taylor made Three Point Jumper. Assisted by Alec Wintering.,40,50
18:31,2463,Darin Johnson made Three Point Jumper. Assisted by Kendall Smith.,43,50
18:04,2501,Jarrel Marshall made Jumper.,43,52
17:43,2463,Rakim Lubin made Jumper. Assisted by Darin Johnson.,45,52
17:23,2501,Alec Wintering made Layup.,45,54
17:07,2463,Darin Johnson missed Jumper.,45,54
17:07,2501,Jarrel Marshall Block.,45,54
17:04,2501,Philipp Hartwich Defensive Rebound.,45,54
17:00,2501,Jazz Johnson made Three Point Jumper.,45,57
16:42,2463,Kendall Smith missed Three Point Jumper.,45,57
16:42,2501,Portland Defensive Rebound.,45,57
16:40,2501,Foul on Philipp Hartwich.,45,57
16:40,2463,Foul on Rakim Lubin.,45,57
16:33,2501,Alec Wintering Turnover.,45,57
16:32,2463,Dylan Johns Steal.,45,57
16:15,2463,Tavrion Dawson made Layup. Assisted by Aaron Parks.,47,57
15:58,2463,Foul on Tavrion Dawson.,47,57
15:58,2501,Official TV Timeout,47,57
15:51,2501,Jazz Johnson missed Three Point Jumper.,47,57
15:51,2463,Micheal Warren Defensive Rebound.,47,57
15:39,2463,Micheal Warren made Three Point Jumper. Assisted by Aaron Parks.,50,57
15:16,2501,Alec Wintering missed Jumper.,50,57
15:16,2501,Philipp Hartwich Offensive Rebound.,50,57
15:11,2501,Philipp Hartwich missed Jumper.,50,57
15:11,2463,Dylan Johns Defensive Rebound.,50,57
14:49,2463,Aaron Parks missed Three Point Jumper.,50,57
14:49,2463,Tavrion Dawson Offensive Rebound.,50,57
14:28,2463,Dylan Johns made Jumper.,52,57
14:14,2501,Jazz Johnson missed Layup.,52,57
14:14,2463,Micheal Warren Block.,52,57
14:12,2463,Micheal Warren Defensive Rebound.,52,57
14:06,2463,Aaron Parks missed Layup.,52,57
14:06,2501,Gabe Taylor Defensive Rebound.,52,57
13:59,2501,Jarrel Marshall made Dunk. Assisted by Alec Wintering.,52,59
13:47,2501,Foul on Jarrel Marshall.,52,59
13:47,2463,Tavrion Dawson missed Free Throw.,52,59
13:47,2463,CSU Northridge Deadball Team Rebound.,52,59
13:47,2463,Tavrion Dawson made Free Throw.,53,59
13:43,2501,Portland  Timeout,53,59
13:21,2463,Foul on Tavrion Dawson.,53,59
13:21,2501,Jarrel Marshall made Free Throw.,53,60
13:21,2501,Jarrel Marshall made Free Throw.,53,61
13:02,2463,Tavrion Dawson missed Three Point Jumper.,53,61
13:02,2501,Portland Defensive Rebound.,53,61
12:45,2501,Jazz Johnson made Layup.,53,63
12:23,2463,Dylan Johns missed Jumper.,53,63
12:23,2501,Philipp Hartwich Defensive Rebound.,53,63
12:12,2501,Alec Wintering made Three Point Jumper.,53,66
11:51,2463,Darin Johnson made Three Point Jumper. Assisted by Aaron Parks.,56,66
11:29,2501,Jarrel Marshall missed Three Point Jumper.,56,66
11:29,2463,Darin Johnson Defensive Rebound.,56,66
11:13,2463,Aaron Parks missed Jumper.,56,66
11:13,2501,Alec Wintering Defensive Rebound.,56,66
11:05,2501,Alec Wintering made Layup.,56,68
10:41,2501,Foul on Philipp Hartwich.,56,68
10:41,2501,Official TV Timeout,56,68
10:41,2463,Aaron Parks made Free Throw.,57,68
10:41,2463,Aaron Parks made Free Throw.,58,68
10:25,2501,Alec Wintering missed Layup.,58,68
10:25,2501,Ray Barreno Offensive Rebound.,58,68
10:24,2501,Ray Barreno missed Jumper.,58,68
10:24,2463,Micheal Warren Defensive Rebound.,58,68
10:22,2501,Foul on Ray Barreno.,58,68
10:10,2501,Foul on Ray Barreno.,58,68
10:03,2463,Darin Johnson missed Three Point Jumper.,58,68
10:03,2463,Tavrion Dawson Offensive Rebound.,58,68
10:00,2463,Tavrion Dawson made Layup.,60,68
9:43,2501,Alec Wintering made Layup.,60,70
9:35,2463,Kendall Smith made Layup.,62,70
9:15,2463,Foul on Tavrion Dawson.,62,70
9:05,2501,D'Marques Tyson made Jumper. Assisted by Ray Barreno.,62,72
8:52,2463,Tavrion Dawson Turnover.,62,72
8:39,2501,Alec Wintering Turnover.,62,72
8:39,2463,Kendall Smith Steal.,62,72
8:36,2501,Foul on Alec Wintering.,62,72
8:36,2463,Kendall Smith made Free Throw.,63,72
8:36,2463,Kendall Smith made Free Throw.,64,72
8:28,2463,Foul on Micheal Warren.,64,72
8:23,2501,Jazz Johnson missed Jumper.,64,72
8:23,2463,Rakim Lubin Defensive Rebound.,64,72
8:05,2463,Kendall Smith Turnover.,64,72
8:02,2501,Alec Wintering made Layup.,64,74
8:02,2463,Foul on Kendall Smith.,64,74
8:02,2501,Alec Wintering missed Free Throw.,64,74
8:02,2501,Portland Deadball Team Rebound.,64,74
8:02,2463,Foul on Rakim Lubin.,64,74
8:02,2501,Ray Barreno made Free Throw.,64,75
8:02,2501,Ray Barreno missed Free Throw.,64,75
8:02,2463,Micheal Warren Defensive Rebound.,64,75
7:52,2463,Micheal Warren Turnover.,64,75
7:52,2501,Official TV Timeout,64,75
7:35,2501,Alec Wintering made Three Point Jumper. Assisted by Jazz Johnson.,64,78
7:08,2463,Aaron Parks missed Jumper.,64,78
7:08,2501,Ray Barreno Defensive Rebound.,64,78
7:03,2501,D'Marques Tyson missed Three Point Jumper.,64,78
7:03,2463,CSU Northridge Defensive Rebound.,64,78
7:00,2501,Foul on Jarrel Marshall.,64,78
7:00,2463,Rakim Lubin made Free Throw.,65,78
7:00,2463,Rakim Lubin made Free Throw.,66,78
6:45,2501,Jazz Johnson missed Three Point Jumper.,66,78
6:45,2463,Darin Johnson Defensive Rebound.,66,78
6:29,2463,Micheal Warren made Jumper. Assisted by Aaron Parks.,68,78
6:29,2501,Foul on Gabe Taylor.,68,78
6:29,2463,Micheal Warren missed Free Throw.,68,78
6:29,2501,Jarrel Marshall Defensive Rebound.,68,78
6:05,2501,Jarrel Marshall made Dunk. Assisted by Alec Wintering.,68,80
5:49,2463,Rakim Lubin made Layup. Assisted by Aaron Parks.,70,80
5:31,2501,Alec Wintering made Jumper.,70,82
5:11,2463,Micheal Warren Turnover.,70,82
5:10,2501,Jazz Johnson Steal.,70,82
4:53,2501,Jazz Johnson made Layup.,70,84
4:45,2463,CSU Northridge  Timeout,70,84
4:32,2463,Foul on Rakim Lubin.,70,84
4:32,2463,Rakim Lubin Turnover.,70,84
4:20,2463,Foul on Aaron Parks.,70,84
4:20,2501,Alec Wintering made Free Throw.,70,85
4:20,2501,Alec Wintering made Free Throw.,70,86
4:11,2463,Kendall Smith missed Jumper.,70,86
4:11,2463,Reggie Theus Jr. Offensive Rebound.,70,86
4:02,2463,Kendall Smith missed Jumper.,70,86
4:02,2463,Tavrion Dawson Offensive Rebound.,70,86
4:00,2463,Tavrion Dawson missed Jumper.,70,86
4:00,2463,Aaron Parks Offensive Rebound.,70,86
3:58,2501,Foul on Jarrel Marshall.,70,86
3:58,2501,Official TV Timeout,70,86
3:58,2463,Aaron Parks made Free Throw.,71,86
3:58,2463,Aaron Parks missed Free Throw.,71,86
3:58,2501,Philipp Hartwich Defensive Rebound.,71,86
3:41,2463,Foul on Dylan Johns.,71,86
3:41,2501,Philipp Hartwich made Free Throw.,71,87
3:41,2501,Philipp Hartwich made Free Throw.,71,88
3:34,2501,Foul on Jazz Johnson.,71,88
3:34,2463,Aaron Parks missed Free Throw.,71,88
3:34,2463,CSU Northridge Deadball Team Rebound.,71,88
3:34,2463,Aaron Parks made Free Throw.,72,88
3:09,2501,Jazz Johnson made Jumper.,72,90
2:54,2501,Foul on Jazz Johnson.,72,90
2:54,2463,Darin Johnson made Free Throw.,73,90
2:54,2501,Portland  Timeout,73,90
2:54,2463,Darin Johnson made Free Throw.,74,90
2:50,2463,Foul on Aaron Parks.,74,90
2:50,2501,Jarrel Marshall made Free Throw.,74,91
2:50,2501,Jarrel Marshall made Free Throw.,74,92
2:34,2463,Aaron Parks missed Jumper.,74,92
2:34,2463,Dylan Johns Offensive Rebound.,74,92
2:31,2463,Dylan Johns missed Jumper.,74,92
2:31,2501,Portland Defensive Rebound.,74,92
2:29,2463,Foul on Aaron Parks.,74,92
2:29,2501,Jazz Johnson made Free Throw.,74,93
2:29,2501,Jazz Johnson made Free Throw.,74,94
2:18,2463,Kendall Smith missed Jumper.,74,94
2:18,2501,Gabe Taylor Defensive Rebound.,74,94
1:49,2501,Jazz Johnson missed Jumper.,74,94
1:49,2463,Tavrion Dawson Defensive Rebound.,74,94
1:43,2463,Darin Johnson missed Jumper.,74,94
1:43,2501,Gabe Taylor Defensive Rebound.,74,94
1:36,2501,Jarrel Marshall missed Layup.,74,94
1:36,2463,Kendall Smith Defensive Rebound.,74,94
1:29,2463,Darin Johnson made Layup. Assisted by Kendall Smith.,76,94
1:01,2501,Alec Wintering made Layup.,76,96
0:48,2463,Dylan Johns made Dunk. Assisted by Kendall Smith.,78,96
0:27,2501,Jazz Johnson missed Three Point Jumper.,78,96
0:27,2463,Aaron Parks Defensive Rebound.,78,96
0:20,2463,Darin Johnson missed Three Point Jumper.,78,96
0:20,2501,Gabe Taylor Defensive Rebound.,78,96
0:00,2501,End of Game,78,96
