Wofford,38,Colorado,2747
11:32,2747,Justin Tucker missed Layup.,15,18
11:32,38,Xavier Johnson Defensive Rebound.,15,18
11:25,38,Thomas Akyazili Turnover.,15,18
11:25,38,Official TV Timeout,15,18
10:58,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Matthew Pegram.,18,18
10:34,2747,Foul on Dishon Lowery.,18,18
10:27,2747,Foul on Dishon Lowery.,18,18
10:19,38,Bryce Peters missed Layup.,18,18
10:19,2747,Jaylen Allen Defensive Rebound.,18,18
10:06,38,Foul on Josh Fortune.,18,18
9:56,2747,Jaylen Allen Turnover.,18,18
9:55,38,Josh Fortune Steal.,18,18
9:52,38,Josh Fortune missed Layup.,18,18
9:52,2747,Fletcher Magee Defensive Rebound.,18,18
9:46,2747,Cameron Jackson made Dunk. Assisted by Fletcher Magee.,20,18
9:27,38,Xavier Johnson missed Jumper.,20,18
9:27,2747,Cameron Jackson Defensive Rebound.,20,18
9:10,2747,Fletcher Magee missed Layup.,20,18
9:10,38,Wesley Gordon Defensive Rebound.,20,18
8:53,38,Wesley Gordon made Jumper. Assisted by Josh Fortune.,20,20
8:28,2747,Jaylen Allen missed Jumper.,20,20
8:28,38,Wesley Gordon Defensive Rebound.,20,20
8:19,38,Xavier Johnson missed Jumper.,20,20
8:19,2747,Ryan Sawvell Defensive Rebound.,20,20
8:01,2747,Jaylen Allen Turnover.,20,20
7:50,2747,Foul on Matthew Pegram.,20,20
7:43,38,Derrick White missed Free Throw.,20,20
7:43,38,Colorado Deadball Team Rebound.,20,20
7:43,38,Derrick White made Free Throw.,20,21
7:15,2747,Eric Garcia missed Three Point Jumper.,20,21
7:15,2747,Cameron Jackson Offensive Rebound.,20,21
7:12,2747,Cameron Jackson missed Layup.,20,21
7:12,38,Wesley Gordon Block.,20,21
7:09,38,Derrick White Defensive Rebound.,20,21
6:58,38,Xavier Johnson made Layup.,20,23
6:58,2747,Foul on Cameron Jackson.,20,23
6:58,38,Xavier Johnson missed Free Throw.,20,23
6:58,2747,Cameron Jackson Defensive Rebound.,20,23
6:42,2747,Fletcher Magee missed Jumper.,20,23
6:42,38,Wesley Gordon Defensive Rebound.,20,23
6:28,38,Josh Fortune missed Three Point Jumper.,20,23
6:28,2747,Cameron Jackson Defensive Rebound.,20,23
6:17,2747,Fletcher Magee made Three Point Jumper. Assisted by Eric Garcia.,23,23
5:47,38,Wesley Gordon missed Jumper.,23,23
5:47,2747,Wofford Defensive Rebound.,23,23
5:43,2747,Nathan Hoover missed Three Point Jumper.,23,23
5:43,2747,Fletcher Magee Offensive Rebound.,23,23
5:40,2747,Donovan Theme-Love Turnover.,23,23
5:39,38,Derrick White Steal.,23,23
5:37,2747,Foul on Fletcher Magee.,23,23
4:48,38,Deleon Brown made Three Point Jumper. Assisted by Lucas Siewert.,23,26
4:31,2747,Donovan Theme-Love Turnover.,23,26
4:30,38,Derrick White Steal.,23,26
4:27,2747,Foul on Justin Tucker.,23,26
4:27,38,Wesley Gordon made Free Throw.,23,27
4:27,38,Wesley Gordon made Free Throw.,23,28
4:04,2747,Justin Tucker made Layup. Assisted by Fletcher Magee.,25,28
3:48,38,Deleon Brown missed Layup.,25,28
3:48,38,Deleon Brown Offensive Rebound.,25,28
3:45,38,Deleon Brown Turnover.,25,28
3:45,38,Official TV Timeout,25,28
3:28,2747,Wofford  Timeout,25,28
3:19,2747,Fletcher Magee missed Layup.,25,28
3:19,38,Xavier Johnson Defensive Rebound.,25,28
3:11,2747,Foul on Eric Garcia.,25,28
3:11,38,Derrick White made Free Throw.,25,29
3:11,38,Derrick White missed Free Throw.,25,29
3:11,2747,Ryan Sawvell Defensive Rebound.,25,29
2:41,2747,Nathan Hoover missed Three Point Jumper.,25,29
2:41,38,Xavier Johnson Defensive Rebound.,25,29
2:10,38,Xavier Johnson missed Three Point Jumper.,25,29
2:10,2747,Eric Garcia Defensive Rebound.,25,29
1:47,2747,Eric Garcia made Jumper. Assisted by Fletcher Magee.,27,29
1:24,38,Xavier Johnson missed Three Point Jumper.,27,29
1:24,2747,Ryan Sawvell Defensive Rebound.,27,29
1:00,2747,Fletcher Magee missed Three Point Jumper.,27,29
1:00,38,Xavier Johnson Defensive Rebound.,27,29
0:44,2747,Foul on Matthew Pegram.,27,29
0:44,38,Xavier Johnson made Free Throw.,27,30
0:44,38,Xavier Johnson made Free Throw.,27,31
0:24,2747,Eric Garcia made Three Point Jumper. Assisted by Cameron Jackson.,30,31
0:16,38,Colorado  Timeout,30,31
0:06,38,Derrick White Turnover.,30,31
0:00,38,End of 1st half,30,31
19:47,2747,Cameron Jackson made Layup.,32,31
19:16,38,George King made Jumper.,32,33
18:58,38,Foul on Josh Fortune.,32,33
18:58,2747,Fletcher Magee made Free Throw.,33,33
18:58,2747,Fletcher Magee missed Free Throw.,33,33
18:58,2747,Cameron Jackson Offensive Rebound.,33,33
18:54,2747,Foul on Ryan Sawvell.,33,33
18:54,2747,Ryan Sawvell Turnover.,33,33
18:45,2747,Foul on Ryan Sawvell.,33,33
18:33,2747,Foul on Cameron Jackson.,33,33
18:33,38,Xavier Johnson missed Free Throw.,33,33
18:33,38,Colorado Deadball Team Rebound.,33,33
18:33,38,Xavier Johnson missed Free Throw.,33,33
18:33,2747,Justin Tucker Defensive Rebound.,33,33
18:17,2747,Matthew Pegram Turnover.,33,33
18:17,38,Wesley Gordon Steal.,33,33
18:00,38,George King made Layup. Assisted by Wesley Gordon.,33,35
17:38,2747,Nathan Hoover made Three Point Jumper. Assisted by Eric Garcia.,36,35
17:11,2747,Foul on Derrick Brooks.,36,35
16:58,38,Wesley Gordon Turnover.,36,35
16:37,2747,Matthew Pegram missed Jumper.,36,35
16:37,38,Colorado Defensive Rebound.,36,35
16:18,38,Wesley Gordon made Layup.,36,37
15:49,2747,Fletcher Magee missed Three Point Jumper.,36,37
15:49,38,Xavier Johnson Defensive Rebound.,36,37
15:44,38,Wesley Gordon missed Jumper.,36,37
15:44,2747,Wofford Defensive Rebound.,36,37
15:42,38,Official TV Timeout,36,37
15:30,2747,Eric Garcia Turnover.,36,37
15:29,38,Derrick White Steal.,36,37
15:21,38,Derrick White made Layup.,36,39
15:08,2747,Cameron Jackson Turnover.,36,39
15:08,2747,Foul on Cameron Jackson.,36,39
15:01,2747,Foul on Eric Garcia.,36,39
14:52,38,Xavier Johnson made Dunk. Assisted by Derrick White.,36,41
14:25,2747,Foul on Matthew Pegram.,36,41
14:25,2747,Matthew Pegram Turnover.,36,41
13:59,38,Lucas Siewert Turnover.,36,41
13:59,2747,Fletcher Magee Steal.,36,41
13:41,2747,Eric Garcia missed Jumper.,36,41
13:41,38,Thomas Akyazili Defensive Rebound.,36,41
13:34,38,George King made Three Point Jumper. Assisted by Thomas Akyazili.,36,44
13:14,2747,Nathan Hoover missed Three Point Jumper.,36,44
13:14,38,Xavier Johnson Defensive Rebound.,36,44
12:57,38,Derrick White missed Jumper.,36,44
12:57,38,Xavier Johnson Offensive Rebound.,36,44
12:56,38,Xavier Johnson Turnover.,36,44
12:55,2747,Justin Tucker Steal.,36,44
12:47,2747,Nathan Hoover missed Layup.,36,44
12:47,2747,Justin Tucker Offensive Rebound.,36,44
12:45,2747,Justin Tucker missed Layup.,36,44
12:45,38,Xavier Johnson Defensive Rebound.,36,44
12:34,2747,Foul on Matthew Pegram.,36,44
12:34,38,Xavier Johnson made Free Throw.,36,45
12:34,38,Xavier Johnson made Free Throw.,36,46
12:16,2747,Fletcher Magee missed Layup.,36,46
12:16,38,Wesley Gordon Defensive Rebound.,36,46
12:11,38,Josh Fortune missed Three Point Jumper.,36,46
12:11,2747,Fletcher Magee Defensive Rebound.,36,46
12:06,2747,Eric Garcia missed Three Point Jumper.,36,46
12:06,38,Bryce Peters Defensive Rebound.,36,46
11:53,38,Lucas Siewert missed Jumper.,36,46
11:53,2747,Fletcher Magee Defensive Rebound.,36,46
11:35,38,Foul on Lucas Siewert.,36,46
11:35,38,Official TV Timeout,36,46
11:35,2747,Ryan Sawvell made Free Throw.,37,46
11:35,2747,Ryan Sawvell made Free Throw.,38,46
11:18,38,Thomas Akyazili Turnover.,38,46
11:17,2747,Dishon Lowery Steal.,38,46
11:02,2747,Derrick Brooks made Jumper.,40,46
10:45,2747,Foul on Jaylen Allen.,40,46
10:45,38,Josh Fortune made Free Throw.,40,47
10:45,38,Josh Fortune made Free Throw.,40,48
10:26,38,Foul on Thomas Akyazili.,40,48
10:10,2747,Fletcher Magee missed Three Point Jumper.,40,48
10:10,38,Thomas Akyazili Defensive Rebound.,40,48
9:57,38,Wesley Gordon missed Layup.,40,48
9:57,2747,Fletcher Magee Defensive Rebound.,40,48
9:43,2747,Jaylen Allen made Layup.,42,48
9:30,38,Josh Fortune made Three Point Jumper. Assisted by Thomas Akyazili.,42,51
9:11,2747,Jaylen Allen missed Three Point Jumper.,42,51
9:11,38,Wesley Gordon Defensive Rebound.,42,51
8:53,38,Bryce Peters made Layup. Assisted by Josh Fortune.,42,53
8:38,38,Official TV Timeout,42,53
8:18,2747,Wofford  Turnover.,42,53
8:09,38,George King Turnover.,42,53
7:47,2747,Nathan Hoover made Jumper. Assisted by Eric Garcia.,44,53
7:30,38,Xavier Johnson made Layup. Assisted by Bryce Peters.,44,55
7:06,2747,Cameron Jackson made Jumper. Assisted by Eric Garcia.,46,55
6:42,38,Deleon Brown made Layup.,46,57
6:16,38,Foul on Bryce Peters.,46,57
6:16,38,Official TV Timeout,46,57
6:16,38,Foul on Derrick White.,46,57
6:11,2747,Fletcher Magee made Three Point Jumper. Assisted by Eric Garcia.,49,57
5:59,38,George King made Layup.,49,59
5:48,2747,Eric Garcia Turnover.,49,59
5:45,2747,Foul on Ryan Sawvell.,49,59
5:40,38,Xavier Johnson made Free Throw.,49,60
5:40,38,Xavier Johnson missed Free Throw.,49,60
5:40,2747,Fletcher Magee Defensive Rebound.,49,60
5:23,2747,Fletcher Magee made Three Point Jumper. Assisted by Jaylen Allen.,52,60
4:58,2747,Foul on Cameron Jackson.,52,60
4:58,38,George King missed Free Throw.,52,60
4:58,38,Colorado Deadball Team Rebound.,52,60
4:58,38,George King made Free Throw.,52,61
4:37,2747,Fletcher Magee missed Three Point Jumper.,52,61
4:37,38,Colorado Defensive Rebound.,52,61
4:22,2747,Foul on Jaylen Allen.,52,61
4:22,38,Xavier Johnson made Free Throw.,52,62
4:22,38,Xavier Johnson made Free Throw.,52,63
4:06,2747,Fletcher Magee missed Jumper.,52,63
4:06,2747,Matthew Pegram Offensive Rebound.,52,63
3:55,2747,Ryan Sawvell made Three Point Jumper. Assisted by Eric Garcia.,55,63
3:35,38,Xavier Johnson missed Layup.,55,63
3:35,38,Xavier Johnson Offensive Rebound.,55,63
3:31,2747,Foul on Matthew Pegram.,55,63
3:31,38,Official TV Timeout,55,63
3:31,38,Derrick White made Free Throw.,55,64
3:31,38,Derrick White made Free Throw.,55,65
3:19,2747,Fletcher Magee Turnover.,55,65
3:19,38,Bryce Peters Steal.,55,65
3:06,38,Xavier Johnson made Dunk. Assisted by Derrick White.,55,67
2:45,2747,Fletcher Magee missed Layup.,55,67
2:45,38,Wesley Gordon Defensive Rebound.,55,67
2:38,38,Xavier Johnson made Layup. Assisted by Josh Fortune.,55,69
2:33,2747,Wofford  Timeout,55,69
2:22,2747,Ryan Sawvell made Layup. Assisted by Cameron Jackson.,57,69
2:22,38,Foul on Josh Fortune.,57,69
2:22,2747,Ryan Sawvell made Free Throw.,58,69
2:01,38,Foul on George King.,58,69
2:01,38,George King Turnover.,58,69
1:48,38,Foul on George King.,58,69
1:48,2747,Fletcher Magee missed Free Throw.,58,69
1:48,2747,Wofford Deadball Team Rebound.,58,69
1:48,2747,Fletcher Magee made Free Throw.,59,69
1:48,2747,Fletcher Magee made Free Throw.,60,69
1:38,2747,Foul on Nathan Hoover.,60,69
1:38,38,Bryce Peters made Free Throw.,60,70
1:38,38,Bryce Peters missed Free Throw.,60,70
1:38,2747,Nathan Hoover Defensive Rebound.,60,70
1:27,2747,Nathan Hoover missed Three Point Jumper.,60,70
1:27,38,Derrick White Defensive Rebound.,60,70
1:25,2747,Foul on Fletcher Magee.,60,70
1:25,38,Derrick White missed Free Throw.,60,70
1:25,38,Colorado Deadball Team Rebound.,60,70
1:25,38,Derrick White missed Free Throw.,60,70
1:25,2747,Nathan Hoover Defensive Rebound.,60,70
1:12,2747,Cameron Jackson missed Layup.,60,70
1:12,38,Wesley Gordon Block.,60,70
1:12,38,Colorado Defensive Rebound.,60,70
0:54,38,Josh Fortune made Three Point Jumper.,60,73
0:42,2747,Fletcher Magee missed Three Point Jumper.,60,73
0:42,38,Xavier Johnson Defensive Rebound.,60,73
0:18,38,Derrick White missed Layup.,60,73
0:18,38,Wesley Gordon Offensive Rebound.,60,73
0:15,38,Wesley Gordon missed Jumper.,60,73
0:15,38,Xavier Johnson Offensive Rebound.,60,73
0:10,38,Xavier Johnson made Layup.,60,75
0:05,2747,Eric Garcia missed Three Point Jumper.,60,75
0:05,38,Bryce Peters Defensive Rebound.,60,75
0:00,38,End of Game,60,75
