North Florida,2750,Wright State,2454
11:13,2454,Dallas Moore Steal.,16,11
11:02,2454,Dallas Moore made Three Point Jumper.,19,11
10:34,2750,Mark Hughes made Three Point Jumper. Assisted by Justin Mitchell.,19,14
10:21,2454,Dallas Moore missed Jumper.,19,14
10:21,2750,Mark Hughes Defensive Rebound.,19,14
10:12,2750,Justin Mitchell Turnover.,19,14
10:12,2454,Garrett Sams Steal.,19,14
10:00,2454,Romelo Banks missed Jumper.,19,14
10:00,2454,Romelo Banks Offensive Rebound.,19,14
9:57,2454,Romelo Banks Turnover.,19,14
9:56,2750,Grant Benzinger Steal.,19,14
9:42,2750,Mike La Tulip missed Three Point Jumper.,19,14
9:42,2750,Parker Ernsthausen Offensive Rebound.,19,14
9:38,2750,Parker Ernsthausen made Layup.,19,16
9:23,2454,Chris Davenport Turnover.,19,16
9:21,2750,Mark Alstork Steal.,19,16
9:19,2750,Mark Alstork Turnover.,19,16
9:14,2454,Dallas Moore missed Jumper.,19,16
9:14,2750,Mark Alstork Defensive Rebound.,19,16
9:09,2454,Foul on Romelo Banks.,19,16
9:00,2750,Mike La Tulip missed Three Point Jumper.,19,16
9:00,2750,Grant Benzinger Offensive Rebound.,19,16
8:56,2750,Grant Benzinger made Two Point Tip Shot.,19,18
8:39,2454,Osborn Blount missed Three Point Jumper.,19,18
8:39,2454,Aaron Bodager Offensive Rebound.,19,18
8:34,2454,Aaron Bodager Turnover.,19,18
8:33,2750,Mark Alstork Steal.,19,18
8:30,2454,Foul on Romelo Banks.,19,18
8:30,2750,Mark Alstork made Free Throw.,19,19
8:30,2750,Mark Alstork made Free Throw.,19,20
8:14,2454,Aaron Bodager missed Three Point Jumper.,19,20
8:14,2454,Wajid Aminu Offensive Rebound.,19,20
8:09,2454,Wajid Aminu made Jumper.,21,20
8:09,2750,Foul on Mike La Tulip.,21,20
8:09,2454,Wajid Aminu missed Free Throw.,21,20
8:09,2454,Aaron Horne Offensive Rebound.,21,20
8:07,2454,Aaron Horne missed Layup.,21,20
8:07,2750,Steven Davis Defensive Rebound.,21,20
7:55,2750,Steven Davis made Layup. Assisted by Mark Alstork.,21,22
7:45,2454,Osborn Blount missed Three Point Jumper.,21,22
7:45,2750,Grant Benzinger Defensive Rebound.,21,22
7:35,2750,Ryan Custer missed Layup.,21,22
7:35,2454,Chris Davenport Block.,21,22
7:32,2454,Chris Davenport Defensive Rebound.,21,22
7:25,2454,North Florida  Timeout,21,22
7:07,2454,Foul on Chris Davenport.,21,22
7:07,2454,Chris Davenport Turnover.,21,22
6:59,2750,Steven Davis made Three Point Jumper. Assisted by Mark Alstork.,21,25
6:22,2454,Chris Davenport made Layup. Assisted by Dallas Moore.,23,25
5:59,2750,Mark Alstork Turnover.,23,25
5:57,2454,Aaron Bodager Steal.,23,25
5:51,2454,Wajid Aminu made Jumper.,25,25
5:33,2750,Steven Davis Turnover.,25,25
5:30,2750,Foul on Mark Hughes.,25,25
5:30,2454,Dallas Moore made Free Throw.,26,25
5:30,2454,Dallas Moore made Free Throw.,27,25
5:14,2750,Parker Ernsthausen made Jumper.,27,27
5:14,2454,Foul on Karlos Odum.,27,27
5:14,2750,Parker Ernsthausen missed Free Throw.,27,27
5:14,2454,Nick Malonga Defensive Rebound.,27,27
4:52,2454,Nick Malonga missed Three Point Jumper.,27,27
4:52,2750,Mark Hughes Defensive Rebound.,27,27
4:43,2750,Mark Alstork Turnover.,27,27
4:42,2454,Nick Malonga Steal.,27,27
4:38,2454,Karlos Odum missed Layup.,27,27
4:38,2750,Parker Ernsthausen Defensive Rebound.,27,27
4:16,2750,Mark Alstork missed Layup.,27,27
4:16,2750,Parker Ernsthausen Offensive Rebound.,27,27
4:14,2750,Parker Ernsthausen missed Two Point Tip Shot.,27,27
4:14,2750,Parker Ernsthausen Offensive Rebound.,27,27
4:08,2454,Foul on Wajid Aminu.,27,27
4:08,2750,Grant Benzinger made Free Throw.,27,28
4:08,2750,Grant Benzinger made Free Throw.,27,29
3:48,2454,Wajid Aminu Turnover.,27,29
3:48,2750,Official TV Timeout,27,29
3:37,2750,Justin Mitchell Turnover.,27,29
3:25,2454,Chris Davenport Turnover.,27,29
3:10,2750,Grant Benzinger made Jumper. Assisted by Steven Davis.,27,31
2:59,2454,Dallas Moore Turnover.,27,31
2:38,2750,Justin Mitchell missed Layup.,27,31
2:38,2454,Wajid Aminu Defensive Rebound.,27,31
2:34,2454,Wajid Aminu Turnover.,27,31
2:34,2750,Mike La Tulip Steal.,27,31
2:32,2750,Mike La Tulip made Three Point Jumper.,27,34
1:54,2750,Foul on Steven Davis.,27,34
1:37,2454,Garrett Sams Turnover.,27,34
1:23,2750,Mike La Tulip made Three Point Jumper. Assisted by Steven Davis.,27,37
1:00,2454,Aaron Bodager missed Three Point Jumper.,27,37
1:00,2750,Justin Mitchell Defensive Rebound.,27,37
0:51,2750,Justin Mitchell Turnover.,27,37
0:50,2454,Aaron Bodager Steal.,27,37
0:48,2454,Dallas Moore made Layup. Assisted by Garrett Sams.,29,37
0:35,2750,Mark Alstork made Three Point Jumper. Assisted by Grant Benzinger.,29,40
0:07,2454,Dallas Moore made Jumper.,31,40
0:02,2750,Mark Alstork Turnover.,31,40
0:02,2454,Dallas Moore Steal.,31,40
0:00,2750,End of 1st half,31,40
19:41,2750,Justin Mitchell made Layup. Assisted by Mark Alstork.,31,42
19:14,2454,Aaron Bodager missed Jumper.,31,42
19:14,2454,North Florida Offensive Rebound.,31,42
18:56,2750,Foul on Steven Davis.,31,42
18:53,2454,Nick Malonga missed Three Point Jumper.,31,42
18:53,2454,Romelo Banks Offensive Rebound.,31,42
18:33,2454,Aaron Bodager Turnover.,31,42
18:18,2750,Steven Davis Turnover.,31,42
17:59,2454,Nick Malonga missed Jumper.,31,42
17:59,2454,Romelo Banks Offensive Rebound.,31,42
17:58,2454,Romelo Banks missed Layup.,31,42
17:58,2750,Grant Benzinger Defensive Rebound.,31,42
17:54,2454,Foul on Romelo Banks.,31,42
17:21,2750,Mark Alstork missed Jumper.,31,42
17:21,2454,Chris Davenport Defensive Rebound.,31,42
16:57,2454,Wajid Aminu made Jumper. Assisted by Chris Davenport.,33,42
16:42,2750,Grant Benzinger Turnover.,33,42
16:41,2454,Nick Malonga Steal.,33,42
16:23,2454,Wajid Aminu made Layup. Assisted by Chris Davenport.,35,42
16:10,2750,Steven Davis made Layup. Assisted by Justin Mitchell.,35,44
15:49,2454,Aaron Bodager made Three Point Jumper. Assisted by Nick Malonga.,38,44
15:33,2750,Justin Mitchell Turnover.,38,44
15:33,2454,Dallas Moore Steal.,38,44
15:33,2750,Foul on Justin Mitchell.,38,44
15:33,2750,Official TV Timeout,38,44
15:16,2750,Foul on Mark Hughes.,38,44
15:16,2454,Dallas Moore made Free Throw.,39,44
15:16,2454,Dallas Moore made Free Throw.,40,44
15:04,2750,Mark Hughes Turnover.,40,44
15:03,2454,Aaron Bodager Steal.,40,44
15:00,2454,Aaron Bodager missed Three Point Jumper.,40,44
15:00,2454,Wajid Aminu Offensive Rebound.,40,44
14:40,2454,Foul on Aaron Horne.,40,44
14:40,2454,Aaron Horne Turnover.,40,44
14:11,2750,Mark Hughes missed Three Point Jumper.,40,44
14:11,2454,Wajid Aminu Defensive Rebound.,40,44
13:56,2454,Dallas Moore missed Jumper.,40,44
13:56,2750,Mark Alstork Defensive Rebound.,40,44
13:46,2750,Mark Hughes missed Three Point Jumper.,40,44
13:46,2454,Aaron Horne Defensive Rebound.,40,44
13:29,2454,Foul on Dallas Moore.,40,44
13:29,2454,Dallas Moore Turnover.,40,44
13:19,2750,Steven Davis missed Three Point Jumper.,40,44
13:19,2454,Aaron Bodager Defensive Rebound.,40,44
13:11,2454,Aaron Horne missed Three Point Jumper.,40,44
13:11,2750,Steven Davis Defensive Rebound.,40,44
13:08,2454,Foul on Aaron Horne.,40,44
12:55,2750,Parker Ernsthausen missed Jumper.,40,44
12:55,2454,Chris Davenport Defensive Rebound.,40,44
12:31,2454,Dallas Moore made Jumper.,42,44
11:59,2750,Justin Mitchell missed Jumper.,42,44
11:59,2454,Chris Davenport Defensive Rebound.,42,44
11:45,2454,Garrett Sams missed Three Point Jumper.,42,44
11:45,2750,Mike La Tulip Defensive Rebound.,42,44
11:28,2454,Foul on Garrett Sams.,42,44
11:28,2750,Official TV Timeout,42,44
11:21,2750,Steven Davis made Layup. Assisted by Mark Alstork.,42,46
11:20,2454,Foul on Wajid Aminu.,42,46
11:20,2750,Steven Davis made Free Throw.,42,47
10:54,2454,Aaron Bodager made Layup.,44,47
10:35,2750,Grant Benzinger made Three Point Jumper. Assisted by Mark Alstork.,44,50
10:18,2750,Foul on Grant Benzinger.,44,50
10:07,2454,Dallas Moore missed Jumper.,44,50
10:07,2454,North Florida Deadball Team Rebound.,44,50
10:06,2750,Foul on Steven Davis.,44,50
10:05,2454,Aaron Bodager made Three Point Jumper. Assisted by Dallas Moore.,47,50
9:44,2750,Justin Mitchell made Jumper. Assisted by Mark Hughes.,47,52
9:24,2750,Foul on Grant Benzinger.,47,52
9:10,2454,Chris Davenport missed Jumper.,47,52
9:10,2750,Justin Mitchell Defensive Rebound.,47,52
8:58,2750,Grant Benzinger made Three Point Jumper.,47,55
8:47,2454,North Florida  Timeout,47,55
8:26,2454,Garrett Sams made Three Point Jumper. Assisted by Wajid Aminu.,50,55
8:04,2750,Justin Mitchell made Layup. Assisted by Mark Hughes.,50,57
7:38,2454,Garrett Sams Turnover.,50,57
7:37,2750,Mark Hughes Steal.,50,57
7:30,2750,Official TV Timeout,50,57
7:30,2750,Foul on Steven Davis.,50,57
7:12,2454,Romelo Banks missed Jumper.,50,57
7:12,2750,Grant Benzinger Defensive Rebound.,50,57
6:53,2750,Grant Benzinger made Three Point Jumper. Assisted by Mark Alstork.,50,60
6:32,2454,Dallas Moore missed Three Point Jumper.,50,60
6:32,2454,Aaron Bodager Offensive Rebound.,50,60
6:17,2454,Foul on Aaron Bodager.,50,60
6:17,2454,Aaron Bodager Turnover.,50,60
5:54,2750,Mike La Tulip missed Three Point Jumper.,50,60
5:54,2454,Romelo Banks Defensive Rebound.,50,60
5:34,2454,Chris Davenport made Three Point Jumper. Assisted by Dallas Moore.,53,60
5:02,2750,Grant Benzinger made Three Point Jumper. Assisted by Mike La Tulip.,53,63
4:44,2454,Foul on Romelo Banks.,53,63
4:44,2454,Romelo Banks Turnover.,53,63
4:32,2750,Mark Alstork Turnover.,53,63
4:23,2750,Foul on Mark Alstork.,53,63
4:23,2454,Dallas Moore made Free Throw.,54,63
4:23,2454,Dallas Moore made Free Throw.,55,63
3:57,2750,Justin Mitchell made Layup.,55,65
3:38,2454,Wajid Aminu missed Layup.,55,65
3:38,2750,Steven Davis Defensive Rebound.,55,65
3:13,2750,Steven Davis made Layup. Assisted by Mark Hughes.,55,67
3:01,2454,Dallas Moore made Jumper.,57,67
3:01,2454,North Florida  Timeout,57,67
2:29,2750,Wright St  Turnover.,57,67
2:19,2750,Foul on Grant Benzinger.,57,67
2:19,2454,Dallas Moore made Free Throw.,58,67
2:19,2454,Dallas Moore made Free Throw.,59,67
2:00,2750,Mark Alstork missed Jumper.,59,67
2:00,2454,Wajid Aminu Block.,59,67
1:59,2454,Garrett Sams Defensive Rebound.,59,67
1:48,2454,Dallas Moore made Layup.,61,67
1:17,2750,Justin Mitchell made Layup. Assisted by Grant Benzinger.,61,69
1:16,2750,Wright St  Timeout,61,69
1:02,2454,Chris Davenport missed Three Point Jumper.,61,69
1:02,2454,Garrett Sams Offensive Rebound.,61,69
0:59,2454,Garrett Sams missed Layup.,61,69
0:59,2454,Wajid Aminu Offensive Rebound.,61,69
0:57,2454,Wajid Aminu made Layup.,63,69
0:49,2454,Foul on Aaron Bodager.,63,69
0:49,2750,Mark Alstork missed Free Throw.,63,69
0:49,2454,Chris Davenport Defensive Rebound.,63,69
0:41,2454,Aaron Bodager missed Three Point Jumper.,63,69
0:41,2454,Garrett Sams Offensive Rebound.,63,69
0:37,2454,Garrett Sams made Layup.,65,69
0:37,2454,North Florida  Timeout,65,69
0:36,2454,Foul on Wajid Aminu.,65,69
0:36,2750,Mike La Tulip made Free Throw.,65,70
0:36,2750,Mike La Tulip made Free Throw.,65,71
0:29,2454,Chris Davenport missed Three Point Jumper.,65,71
0:29,2454,Wajid Aminu Offensive Rebound.,65,71
0:26,2750,Foul on Grant Benzinger.,65,71
0:26,2454,Wajid Aminu missed Free Throw.,65,71
0:26,2454,North Florida Deadball Team Rebound.,65,71
0:26,2454,Wajid Aminu missed Free Throw.,65,71
0:26,2750,Steven Davis Defensive Rebound.,65,71
0:25,2454,Foul on Garrett Sams.,65,71
0:25,2750,Steven Davis made Free Throw.,65,72
0:25,2750,Steven Davis made Free Throw.,65,73
0:18,2454,Dallas Moore made Layup.,67,73
0:15,2454,Foul on Aaron Bodager.,67,73
0:15,2750,Mike La Tulip made Free Throw.,67,74
0:15,2750,Mike La Tulip made Free Throw.,67,75
0:08,2454,Chris Davenport missed Three Point Jumper.,67,75
0:08,2454,North Florida Offensive Rebound.,67,75
0:05,2454,Wajid Aminu missed Three Point Jumper.,67,75
0:05,2750,Justin Mitchell Defensive Rebound.,67,75
0:00,2750,End of Game,67,75
