North Dakota,2934,CSU Bakersfield,155
14:55,2934,Damiyne Durham Defensive Rebound.,5,6
14:40,2934,Damiyne Durham missed Three Point Jumper.,5,6
14:40,2934,Dedrick Basile Offensive Rebound.,5,6
14:25,2934,Jaylin Airington missed Jumper.,5,6
14:25,155,Cortez Seales Defensive Rebound.,5,6
14:25,2934,Foul on James Suber.,5,6
13:50,2934,Foul on Justin Pride.,5,6
13:41,155,Conner Avants missed Layup.,5,6
13:41,155,Conner Avants Offensive Rebound.,5,6
13:33,155,Conner Avants missed Jumper.,5,6
13:33,2934,Matt Smith Defensive Rebound.,5,6
13:32,155,Foul on Conner Avants.,5,6
13:02,2934,Shon Briggs Turnover.,5,6
12:41,155,Carson Shanks Turnover.,5,6
12:40,2934,Shon Briggs Steal.,5,6
12:36,2934,Taze Moore missed Layup.,5,6
12:36,155,Josh Collins Defensive Rebound.,5,6
12:31,155,Corey Baldwin missed Three Point Jumper.,5,6
12:31,155,Quinton Hooker Offensive Rebound.,5,6
12:26,155,Corey Baldwin missed Jumper.,5,6
12:26,155,Corey Baldwin Offensive Rebound.,5,6
12:25,2934,Foul on Taze Moore.,5,6
12:25,155,Corey Baldwin missed Free Throw.,5,6
12:25,155,North Dakota Deadball Team Rebound.,5,6
12:25,155,Corey Baldwin made Free Throw.,6,6
12:07,2934,Justin Pride missed Layup.,6,6
12:07,155,Josh Collins Defensive Rebound.,6,6
11:50,155,Corey Baldwin Turnover.,6,6
11:48,2934,Justin Pride Steal.,6,6
11:46,2934,Damiyne Durham missed Three Point Jumper.,6,6
11:46,2934,CSU Bakersfield Deadball Team Rebound.,6,6
11:44,155,Foul on Corey Baldwin.,6,6
11:44,2934,Official TV Timeout,6,6
11:24,2934,Shon Briggs Turnover.,6,6
11:10,155,Corey Baldwin made Three Point Jumper. Assisted by Geno Crandall.,9,6
10:56,155,Foul on Josh Collins.,9,6
10:56,2934,Matt Smith made Free Throw.,9,7
10:56,2934,Matt Smith made Free Throw.,9,8
10:26,155,Carson Shanks Turnover.,9,8
10:23,155,Foul on Carson Shanks.,9,8
10:08,2934,Shon Briggs missed Layup.,9,8
10:08,155,Drick Bernstine Block.,9,8
10:07,2934,CSU Bakersfield Offensive Rebound.,9,8
9:53,2934,Brent Wrapp made Jumper.,9,10
9:26,155,Carson Shanks Turnover.,9,10
9:09,2934,Dedrick Basile made Three Point Jumper. Assisted by Shon Briggs.,9,13
8:56,155,Foul on Carson Shanks.,9,13
8:56,155,Carson Shanks Turnover.,9,13
8:39,2934,Matt Smith made Layup. Assisted by Dedrick Basile.,9,15
8:39,155,Foul on Conner Avants.,9,15
8:39,2934,Matt Smith made Free Throw.,9,16
8:24,155,Geno Crandall missed Three Point Jumper.,9,16
8:24,2934,Jaylin Airington Defensive Rebound.,9,16
8:16,2934,Dedrick Basile missed Three Point Jumper.,9,16
8:16,155,Drick Bernstine Defensive Rebound.,9,16
8:09,155,Drick Bernstine Turnover.,9,16
8:08,2934,Matt Smith Steal.,9,16
8:04,2934,Dedrick Basile missed Layup.,9,16
8:04,155,Geno Crandall Block.,9,16
8:01,2934,Shon Briggs Offensive Rebound.,9,16
7:58,2934,Dedrick Basile missed Three Point Jumper.,9,16
7:58,155,North Dakota Deadball Team Rebound.,9,16
7:55,2934,Foul on Jaylin Airington.,9,16
7:55,2934,Official TV Timeout,9,16
7:43,2934,Foul on Matt Smith.,9,16
7:29,155,Quinton Hooker Turnover.,9,16
7:11,2934,Brent Wrapp made Layup.,9,18
7:04,155,Cortez Seales made Layup.,11,18
6:35,2934,Foul on Jaylin Airington.,11,18
6:35,2934,Jaylin Airington Turnover.,11,18
6:25,155,Cortez Seales Turnover.,11,18
6:24,2934,Shon Briggs Steal.,11,18
6:22,2934,Dedrick Basile missed Layup.,11,18
6:22,2934,Brent Wrapp Offensive Rebound.,11,18
6:21,155,Foul on Quinton Hooker.,11,18
6:21,2934,Brent Wrapp made Free Throw.,11,19
6:21,2934,Brent Wrapp made Free Throw.,11,20
6:07,155,Corey Baldwin missed Jumper.,11,20
6:07,2934,CSU Bakersfield Defensive Rebound.,11,20
5:46,2934,Brent Wrapp made Jumper. Assisted by Shon Briggs.,11,22
5:20,155,Geno Crandall missed Three Point Jumper.,11,22
5:20,2934,Matt Smith Defensive Rebound.,11,22
5:05,2934,Dedrick Basile missed Layup.,11,22
5:05,155,Geno Crandall Defensive Rebound.,11,22
4:59,155,Geno Crandall Turnover.,11,22
4:59,2934,Shon Briggs Steal.,11,22
4:42,2934,Dedrick Basile Turnover.,11,22
4:25,2934,Foul on Matt Smith.,11,22
4:25,155,Cortez Seales made Free Throw.,12,22
4:25,155,Cortez Seales made Free Throw.,13,22
4:07,2934,Matt Smith made Layup. Assisted by Brent Wrapp.,13,24
3:54,155,Cortez Seales made Jumper.,15,24
3:35,2934,Shon Briggs missed Jumper.,15,24
3:35,155,Geno Crandall Defensive Rebound.,15,24
3:25,155,Billy Brown made Three Point Jumper. Assisted by Geno Crandall.,18,24
3:02,2934,Dedrick Basile made Three Point Jumper. Assisted by Damiyne Durham.,18,27
2:42,155,Geno Crandall missed Three Point Jumper.,18,27
2:42,2934,Shon Briggs Defensive Rebound.,18,27
2:39,155,Foul on Drick Bernstine.,18,27
2:39,2934,Official TV Timeout,18,27
2:39,2934,Matt Smith made Free Throw.,18,28
2:39,2934,Matt Smith missed Free Throw.,18,28
2:39,155,Cortez Seales Defensive Rebound.,18,28
2:22,2934,Foul on Shon Briggs.,18,28
2:22,155,Geno Crandall made Free Throw.,19,28
2:22,155,Geno Crandall made Free Throw.,20,28
2:11,2934,Damiyne Durham missed Three Point Jumper.,20,28
2:11,155,Cortez Seales Defensive Rebound.,20,28
1:48,155,Foul on Cortez Seales.,20,28
1:48,155,Cortez Seales Turnover.,20,28
1:33,2934,Brent Wrapp missed Jumper.,20,28
1:33,155,Billy Brown Defensive Rebound.,20,28
1:16,155,Conner Avants missed Jumper.,20,28
1:16,2934,Damiyne Durham Defensive Rebound.,20,28
1:07,2934,Shon Briggs missed Jumper.,20,28
1:07,155,Conner Avants Defensive Rebound.,20,28
1:00,155,Geno Crandall missed Layup.,20,28
1:00,2934,Shon Briggs Defensive Rebound.,20,28
0:53,2934,Dedrick Basile made Three Point Jumper. Assisted by Shon Briggs.,20,31
0:24,155,Josh Collins missed Three Point Jumper.,20,31
0:24,2934,Shon Briggs Defensive Rebound.,20,31
0:03,2934,Dedrick Basile missed Jumper.,20,31
0:03,2934,Dedrick Basile Offensive Rebound.,20,31
0:01,2934,Dedrick Basile missed Jumper.,20,31
0:01,155,North Dakota Defensive Rebound.,20,31
0:00,2934,End of 1st half,20,31
19:41,155,Foul on Drick Bernstine.,20,31
19:41,2934,Matt Smith made Free Throw.,20,32
19:41,2934,Matt Smith made Free Throw.,20,33
19:21,155,Foul on Conner Avants.,20,33
19:21,155,Conner Avants Turnover.,20,33
18:55,2934,Matt Smith made Layup. Assisted by Brent Wrapp.,20,35
18:40,155,Drick Bernstine missed Jumper.,20,35
18:40,2934,Matt Smith Defensive Rebound.,20,35
18:28,2934,Shon Briggs Turnover.,20,35
18:12,2934,Foul on Dedrick Basile.,20,35
18:12,155,Carson Shanks made Free Throw.,21,35
18:12,155,Carson Shanks missed Free Throw.,21,35
18:12,2934,CSU Bakersfield Deadball Team Rebound.,21,35
18:00,2934,Dedrick Basile missed Jumper.,21,35
18:00,2934,Jaylin Airington Offensive Rebound.,21,35
17:49,2934,Jaylin Airington made Dunk. Assisted by Dedrick Basile.,21,37
17:36,155,Drick Bernstine made Jumper. Assisted by Geno Crandall.,23,37
17:27,155,Foul on Drick Bernstine.,23,37
17:27,155,Technical Foul on Drick Bernstine.,23,37
17:27,155,Foul on Drick Bernstine.,23,37
17:27,2934,Jaylin Airington made Free Throw.,23,38
17:27,2934,Jaylin Airington missed Free Throw.,23,38
17:27,2934,CSU Bakersfield Deadball Team Rebound.,23,38
17:14,2934,Dedrick Basile made Jumper.,23,40
17:05,2934,Foul on Dedrick Basile.,23,40
17:01,155,Conner Avants missed Jumper.,23,40
17:01,2934,Shon Briggs Defensive Rebound.,23,40
16:29,2934,Dedrick Basile Turnover.,23,40
16:24,2934,Foul on Justin Pride.,23,40
16:24,155,Geno Crandall missed Free Throw.,23,40
16:24,155,North Dakota Deadball Team Rebound.,23,40
16:24,155,Geno Crandall made Free Throw.,24,40
15:55,2934,Brent Wrapp missed Three Point Jumper.,24,40
15:55,155,Corey Baldwin Defensive Rebound.,24,40
15:47,155,Corey Baldwin Turnover.,24,40
15:46,2934,Brent Wrapp Steal.,24,40
15:42,2934,Official TV Timeout,24,40
15:30,2934,Justin Pride Turnover.,24,40
15:18,2934,Foul on Matt Smith.,24,40
15:18,155,Conner Avants made Free Throw.,25,40
15:18,155,Conner Avants missed Free Throw.,25,40
15:18,2934,Shon Briggs Defensive Rebound.,25,40
14:54,2934,Shon Briggs missed Layup.,25,40
14:54,155,Josh Collins Block.,25,40
14:52,155,Quinton Hooker Defensive Rebound.,25,40
14:29,155,Quinton Hooker missed Three Point Jumper.,25,40
14:28,2934,Damiyne Durham Block.,25,40
14:27,2934,Shon Briggs Defensive Rebound.,25,40
14:01,2934,Shon Briggs Turnover.,25,40
14:00,155,Josh Collins Steal.,25,40
13:51,155,Quinton Hooker made Three Point Jumper. Assisted by Geno Crandall.,28,40
13:34,155,Foul on Quinton Hooker.,28,40
13:19,2934,Brent Wrapp made Jumper.,28,42
13:06,155,Quinton Hooker made Three Point Jumper. Assisted by Geno Crandall.,31,42
12:45,2934,Jaylin Airington missed Jumper.,31,42
12:45,155,Quinton Hooker Defensive Rebound.,31,42
12:38,155,Quinton Hooker missed Layup.,31,42
12:38,155,North Dakota Offensive Rebound.,31,42
12:16,155,Foul on Josh Collins.,31,42
12:16,155,Josh Collins Turnover.,31,42
11:59,2934,Matt Smith made Dunk.,31,44
11:46,2934,Foul on Shon Briggs.,31,44
11:46,2934,Official TV Timeout,31,44
11:46,155,Josh Collins made Free Throw.,32,44
11:46,155,Josh Collins made Free Throw.,33,44
11:19,2934,Jaylin Airington made Three Point Jumper. Assisted by Dedrick Basile.,33,47
11:07,155,Conner Avants missed Three Point Jumper.,33,47
11:07,2934,Brent Wrapp Defensive Rebound.,33,47
10:58,2934,Dedrick Basile Turnover.,33,47
10:57,155,Geno Crandall Steal.,33,47
10:53,2934,Foul on Matt Smith.,33,47
10:53,155,Geno Crandall made Free Throw.,34,47
10:53,155,Geno Crandall missed Free Throw.,34,47
10:53,2934,Shon Briggs Defensive Rebound.,34,47
10:35,2934,Dedrick Basile made Three Point Jumper. Assisted by Brent Wrapp.,34,50
10:21,2934,Foul on Brent Wrapp.,34,50
10:21,155,Corey Baldwin missed Free Throw.,34,50
10:21,155,North Dakota Deadball Team Rebound.,34,50
10:21,155,Corey Baldwin missed Free Throw.,34,50
10:21,2934,Brent Wrapp Defensive Rebound.,34,50
9:54,2934,Dedrick Basile missed Three Point Jumper.,34,50
9:54,155,North Dakota Deadball Team Rebound.,34,50
9:52,2934,Foul on Taze Moore.,34,50
9:52,155,Geno Crandall missed Free Throw.,34,50
9:52,2934,Shon Briggs Defensive Rebound.,34,50
9:24,2934,Dedrick Basile missed Jumper.,34,50
9:24,155,Geno Crandall Block.,34,50
9:22,155,North Dakota Deadball Team Rebound.,34,50
9:10,155,Quinton Hooker made Three Point Jumper.,37,50
8:39,2934,Shon Briggs Turnover.,37,50
8:29,155,Josh Collins Turnover.,37,50
8:03,2934,Damiyne Durham missed Three Point Jumper.,37,50
8:03,155,Corey Baldwin Defensive Rebound.,37,50
7:43,155,Corey Baldwin made Jumper.,39,50
7:16,2934,Dedrick Basile made Three Point Jumper. Assisted by Jaylin Airington.,39,53
7:14,2934,CSU Bakersfield  Timeout,39,53
7:01,155,Conner Avants missed Layup.,39,53
7:01,155,North Dakota Deadball Team Rebound.,39,53
7:01,2934,Foul on Brent Wrapp.,39,53
7:01,2934,Official TV Timeout,39,53
7:01,155,Cortez Seales made Free Throw.,40,53
7:01,155,Cortez Seales made Free Throw.,41,53
6:42,2934,Shon Briggs Turnover.,41,53
6:16,2934,Foul on Taze Moore.,41,53
6:16,155,Corey Baldwin missed Free Throw.,41,53
6:16,155,North Dakota Deadball Team Rebound.,41,53
6:16,155,Corey Baldwin missed Free Throw.,41,53
6:16,2934,Jaylin Airington Defensive Rebound.,41,53
5:47,2934,Brent Wrapp made Jumper.,41,55
5:34,155,Corey Baldwin made Three Point Jumper. Assisted by Conner Avants.,44,55
5:11,2934,Matt Smith Turnover.,44,55
5:00,155,Conner Avants missed Layup.,44,55
5:00,155,Cortez Seales Offensive Rebound.,44,55
4:54,155,Corey Baldwin missed Three Point Jumper.,44,55
4:54,155,North Dakota Deadball Team Rebound.,44,55
4:52,2934,Foul on Dedrick Basile.,44,55
4:52,155,Conner Avants made Free Throw.,45,55
4:52,155,Conner Avants made Free Throw.,46,55
4:38,2934,Matt Smith missed Jumper.,46,55
4:38,155,Conner Avants Defensive Rebound.,46,55
4:14,155,Geno Crandall missed Three Point Jumper.,46,55
4:14,2934,Dedrick Basile Defensive Rebound.,46,55
4:12,155,Foul on Quinton Hooker.,46,55
4:12,2934,Dedrick Basile missed Free Throw.,46,55
4:12,155,Conner Avants Defensive Rebound.,46,55
3:58,2934,Foul on Dedrick Basile.,46,55
3:58,2934,Official TV Timeout,46,55
3:58,155,Cortez Seales made Free Throw.,47,55
3:58,155,Cortez Seales made Free Throw.,48,55
3:42,2934,Jaylin Airington missed Jumper.,48,55
3:42,155,North Dakota Defensive Rebound.,48,55
3:13,155,Geno Crandall made Jumper.,50,55
2:49,2934,Foul on Shon Briggs.,50,55
2:49,2934,Shon Briggs Turnover.,50,55
2:39,155,Cortez Seales Turnover.,50,55
2:09,2934,Brent Wrapp Turnover.,50,55
2:05,155,Geno Crandall made Layup.,52,55
2:05,2934,Foul on Shon Briggs.,52,55
2:05,155,Geno Crandall made Free Throw.,53,55
1:46,2934,Dedrick Basile missed Jumper.,53,55
1:46,155,Geno Crandall Defensive Rebound.,53,55
1:39,155,Geno Crandall made Layup.,55,55
1:08,2934,Shon Briggs Turnover.,55,55
1:05,155,North Dakota  Timeout,55,55
0:57,155,Quinton Hooker missed Layup.,55,55
0:57,2934,Shon Briggs Defensive Rebound.,55,55
0:46,2934,CSU Bakersfield  Timeout,55,55
0:31,2934,Jaylin Airington missed Jumper.,55,55
0:31,155,Quinton Hooker Defensive Rebound.,55,55
0:23,155,North Dakota  Timeout,55,55
0:17,155,North Dakota  Timeout,55,55
0:03,155,Geno Crandall missed Jumper.,55,55
0:03,155,Cortez Seales Offensive Rebound.,55,55
0:03,155,Cortez Seales missed Jumper.,55,55
0:01,155,Conner Avants Offensive Rebound.,55,55
0:01,155,Conner Avants made Two Point Tip Shot.,57,55
0:00,2934,End of 2nd half,55,55
0:00,2934,End of Game,57,55
