Arkansas-Pine Bluff,62,Hawai'i,2029
0:02,62,Gibson Johnson made Free Throw.,22,29
0:02,62,Gibson Johnson missed Free Throw.,22,29
0:02,62,Noah Allen Offensive Rebound.,22,29
0:00,62,Noah Allen missed Jumper.,22,29
0:00,2029,David Tillman Defensive Rebound.,22,29
0:00,62,End of 1st half,22,29
19:47,62,Gibson Johnson made Layup. Assisted by Matthew Owies.,22,31
19:32,2029,Trent Steen Turnover.,22,31
19:32,2029,Foul on Trent Steen.,22,31
19:04,62,Gibson Johnson made Jumper.,22,33
18:40,62,Foul on Gibson Johnson.,22,33
18:28,2029,Devin Berry missed Jumper.,22,33
18:28,62,Jack Purchase Defensive Rebound.,22,33
18:10,62,Gibson Johnson missed Jumper.,22,33
18:10,2029,Devin Berry Defensive Rebound.,22,33
17:57,2029,Travon Harper Turnover.,22,33
17:56,62,Noah Allen Steal.,22,33
17:51,62,Noah Allen Turnover.,22,33
17:33,62,Foul on Sheriff Drammeh.,22,33
17:28,62,Foul on Sheriff Drammeh.,22,33
17:28,2029,Ghiavonni Robinson missed Free Throw.,22,33
17:28,2029,Arkansas-Pine Bluff Deadball Team Rebound.,22,33
17:28,2029,Ghiavonni Robinson missed Free Throw.,22,33
17:28,62,Sheriff Drammeh Defensive Rebound.,22,33
17:25,62,Matthew Owies missed Layup.,22,33
17:25,2029,Charles Jackson Defensive Rebound.,22,33
17:02,2029,Jaquan Lynch missed Three Point Jumper.,22,33
17:02,62,Noah Allen Defensive Rebound.,22,33
16:52,62,Noah Allen Turnover.,22,33
16:32,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Charles Jackson.,25,33
16:03,62,Zach Buscher Turnover.,25,33
16:01,2029,Joe'Randle Toliver Steal.,25,33
15:57,2029,Charles Jackson Turnover.,25,33
15:57,2029,Foul on Charles Jackson.,25,33
15:56,62,Official TV Timeout,25,33
15:27,62,Sheriff Drammeh Turnover.,25,33
14:59,2029,Ghiavonni Robinson missed Three Point Jumper.,25,33
14:59,2029,Arkansas-Pine Bluff Offensive Rebound.,25,33
14:54,2029,Ghiavonni Robinson Turnover.,25,33
14:50,62,Larry Lewis Jr. made Layup.,25,35
14:48,2029,Foul on Trent Steen.,25,35
14:48,62,Larry Lewis Jr. made Free Throw.,25,36
14:30,2029,Joe'Randle Toliver made Three Point Jumper.,28,36
14:16,62,Gibson Johnson made Layup. Assisted by Matthew Owies.,28,38
14:08,2029,Kennedy McKinney missed Jumper.,28,38
14:08,62,Gibson Johnson Block.,28,38
14:06,62,Gibson Johnson Defensive Rebound.,28,38
13:52,62,Matthew Owies missed Jumper.,28,38
13:52,62,Jack Purchase Offensive Rebound.,28,38
13:47,62,Jack Purchase Turnover.,28,38
13:27,2029,Kennedy McKinney Turnover.,28,38
13:26,62,Larry Lewis Jr. Steal.,28,38
13:24,62,Larry Lewis Jr. made Layup.,28,40
12:54,2029,Joe'Randle Toliver missed Three Point Jumper.,28,40
12:54,62,Matthew Owies Defensive Rebound.,28,40
12:48,62,Noah Allen missed Layup.,28,40
12:48,62,Larry Lewis Jr. Offensive Rebound.,28,40
12:43,2029,Foul on Travon Harper.,28,40
12:43,62,Larry Lewis Jr. missed Free Throw.,28,40
12:43,62,Hawai'i Deadball Team Rebound.,28,40
12:43,62,Larry Lewis Jr. made Free Throw.,28,41
12:22,2029,Marquis Cunningham made Jumper.,30,41
12:22,62,Foul on Gibson Johnson.,30,41
12:22,2029,Marquis Cunningham missed Free Throw.,30,41
12:22,62,Noah Allen Defensive Rebound.,30,41
12:07,2029,Foul on Joe'Randle Toliver.,30,41
11:45,2029,Foul on Travon Harper.,30,41
11:45,62,Official TV Timeout,30,41
11:26,62,Matthew Owies Turnover.,30,41
11:25,2029,Kennedy McKinney Steal.,30,41
11:22,2029,Marcus Wallace made Layup. Assisted by Kennedy McKinney.,32,41
11:10,62,Matthew Owies made Three Point Jumper. Assisted by Jack Purchase.,32,44
10:34,2029,Joe'Randle Toliver missed Three Point Jumper.,32,44
10:34,2029,Marquis Cunningham Offensive Rebound.,32,44
10:16,2029,Ghiavonni Robinson missed Three Point Jumper.,32,44
10:16,62,Gibson Johnson Defensive Rebound.,32,44
9:43,62,Jack Purchase made Three Point Jumper.,32,47
9:41,62,Hawai'i  Timeout,32,47
9:11,2029,Marquis Cunningham Turnover.,32,47
9:03,62,Matthew Owies missed Three Point Jumper.,32,47
9:03,62,Larry Lewis Jr. Offensive Rebound.,32,47
8:48,2029,Foul on Joe'Randle Toliver.,32,47
8:48,62,Larry Lewis Jr. made Free Throw.,32,48
8:48,62,Larry Lewis Jr. missed Free Throw.,32,48
8:48,2029,Marquis Cunningham Defensive Rebound.,32,48
8:30,62,Foul on Zigmars Raimo.,32,48
8:30,2029,Kennedy McKinney missed Jumper.,32,48
8:30,62,Leland Green Defensive Rebound.,32,48
8:14,2029,Foul on Marquis Cunningham.,32,48
8:14,62,Zigmars Raimo missed Free Throw.,32,48
8:14,62,Hawai'i Deadball Team Rebound.,32,48
8:13,62,Zigmars Raimo made Free Throw.,32,49
7:49,62,Foul on Zigmars Raimo.,32,49
7:49,62,Official TV Timeout,32,49
7:49,2029,Devin Berry missed Free Throw.,32,49
7:49,2029,Arkansas-Pine Bluff Deadball Team Rebound.,32,49
7:49,2029,Devin Berry missed Free Throw.,32,49
7:49,62,Sheriff Drammeh Defensive Rebound.,32,49
7:46,2029,Foul on Joe'Randle Toliver.,32,49
7:46,62,Sheriff Drammeh made Free Throw.,32,50
7:46,62,Sheriff Drammeh missed Free Throw.,32,50
7:46,2029,Devin Berry Defensive Rebound.,32,50
7:18,2029,Marquis Cunningham missed Jumper.,32,50
7:18,62,Zigmars Raimo Defensive Rebound.,32,50
7:10,62,Matthew Owies missed Three Point Jumper.,32,50
7:10,62,Jack Purchase Offensive Rebound.,32,50
7:04,62,Jack Purchase Turnover.,32,50
7:02,2029,David Tillman Steal.,32,50
6:59,2029,Marquis Cunningham Turnover.,32,50
6:59,2029,Foul on Marquis Cunningham.,32,50
6:34,62,Jack Purchase made Jumper. Assisted by Sheriff Drammeh.,32,52
6:03,2029,Ghiavonni Robinson missed Jumper.,32,52
6:03,62,Sheriff Drammeh Defensive Rebound.,32,52
5:51,62,Matthew Owies Turnover.,32,52
5:42,62,Foul on Zigmars Raimo.,32,52
5:42,2029,Devin Berry missed Free Throw.,32,52
5:42,62,Larry Lewis Jr. Defensive Rebound.,32,52
5:12,62,Jack Purchase made Jumper. Assisted by Sheriff Drammeh.,32,54
4:48,2029,Marcus Wallace made Three Point Jumper. Assisted by Ghiavonni Robinson.,35,54
4:45,2029,Arkansas-Pine Bluff  Timeout,35,54
4:42,62,Leland Green Turnover.,35,54
4:32,62,Foul on Zigmars Raimo.,35,54
4:32,2029,Kennedy McKinney made Free Throw.,36,54
4:32,2029,Khalid Campbell Turnover.,36,54
4:29,62,Sheriff Drammeh made Jumper.,36,56
4:04,2029,Ghiavonni Robinson Turnover.,36,56
4:03,62,Sheriff Drammeh Steal.,36,56
4:01,62,Larry Lewis Jr. made Layup. Assisted by Sheriff Drammeh.,36,58
4:00,2029,Foul on Khalid Campbell.,36,58
3:59,62,Official TV Timeout,36,58
3:59,62,Larry Lewis Jr. made Free Throw.,36,59
3:43,2029,Travon Harper made Three Point Jumper. Assisted by Marcus Wallace.,39,59
3:19,62,Matthew Owies made Jumper. Assisted by Jack Purchase.,39,61
2:47,2029,Marquis Cunningham made Layup. Assisted by Trent Steen.,41,61
2:30,62,Sheriff Drammeh Turnover.,41,61
2:16,2029,Trent Steen made Layup. Assisted by Ghiavonni Robinson.,43,61
2:16,2029,Arkansas-Pine Bluff  Timeout,43,61
1:56,62,Jack Purchase missed Three Point Jumper.,43,61
1:56,2029,Trent Steen Defensive Rebound.,43,61
1:24,2029,Marcus Wallace missed Jumper.,43,61
1:24,2029,Arkansas-Pine Bluff Deadball Team Rebound.,43,61
1:21,62,Foul on Jack Purchase.,43,61
1:21,2029,Trent Steen missed Free Throw.,43,61
1:21,62,Matthew Owies Defensive Rebound.,43,61
1:15,62,Matthew Owies made Jumper.,43,63
0:56,62,Foul on Brian Garrett.,43,63
0:56,2029,Travon Harper missed Free Throw.,43,63
0:56,2029,Arkansas-Pine Bluff Deadball Team Rebound.,43,63
0:56,2029,Travon Harper made Free Throw.,44,63
0:38,2029,Foul on Trent Steen.,44,63
0:38,62,Darryl Matthews missed Free Throw.,44,63
0:38,62,Hawai'i Deadball Team Rebound.,44,63
0:38,62,Darryl Matthews made Free Throw.,44,64
0:16,2029,Kennedy McKinney Turnover.,44,64
0:15,62,Darryl Matthews Steal.,44,64
0:00,62,End of Game,44,64
