Georgia State,295,Old Dominion,2247
11:17,2247,Austin Donaldson missed Three Point Jumper.,9,13
11:17,295,Trey Porter Defensive Rebound.,9,13
10:59,295,Denzell Taylor Turnover.,9,13
10:59,295,Official TV Timeout,9,13
10:48,2247,Jeremy Hollowell missed Layup.,9,13
10:48,2247,Georgia St Offensive Rebound.,9,13
10:38,2247,Jordan Session missed Jumper.,9,13
10:38,295,Brandan Stith Defensive Rebound.,9,13
10:04,295,B.J. Stith made Dunk. Assisted by Randy Haynes.,9,15
9:33,2247,Jeff Thomas missed Three Point Jumper.,9,15
9:33,2247,Willie Clayton Offensive Rebound.,9,15
9:16,2247,Jeremy Hollowell missed Jumper.,9,15
9:16,295,B.J. Stith Defensive Rebound.,9,15
8:52,295,Ahmad Caver missed Three Point Jumper.,9,15
8:52,2247,Georgia St Defensive Rebound.,9,15
8:34,2247,Malik Benlevi missed Layup.,9,15
8:34,295,Brandan Stith Block.,9,15
8:31,295,Brandan Stith Defensive Rebound.,9,15
8:15,295,Ahmad Caver made Three Point Jumper. Assisted by B.J. Stith.,9,18
7:51,2247,Jeremy Hollowell made Three Point Jumper. Assisted by D'Marcus Simonds.,12,18
7:13,295,Old Dominion  Turnover.,12,18
7:03,295,Official TV Timeout,12,18
6:54,2247,Willie Clayton made Layup. Assisted by D'Marcus Simonds.,14,18
6:48,295,Foul on Jordan Baker.,14,18
6:48,2247,Willie Clayton missed Free Throw.,14,18
6:48,295,Ahmad Caver Defensive Rebound.,14,18
6:31,295,Ahmad Caver made Three Point Jumper. Assisted by Jordan Baker.,14,21
6:04,2247,D'Marcus Simonds Turnover.,14,21
6:02,295,B.J. Stith Steal.,14,21
5:36,2247,Foul on D'Marcus Simonds.,14,21
5:36,295,B.J. Stith missed Free Throw.,14,21
5:36,295,Old Dominion Deadball Team Rebound.,14,21
5:36,295,B.J. Stith made Free Throw.,14,22
5:16,2247,Willie Clayton missed Layup.,14,22
5:16,295,Brandan Stith Block.,14,22
5:12,295,B.J. Stith Defensive Rebound.,14,22
5:00,295,Ahmad Caver missed Three Point Jumper.,14,22
5:00,2247,Justin Seymour Defensive Rebound.,14,22
4:49,2247,Willie Clayton Turnover.,14,22
4:24,295,Randy Haynes missed Three Point Jumper.,14,22
4:24,295,Denzell Taylor Offensive Rebound.,14,22
4:05,295,Brandan Stith made Dunk. Assisted by Ahmad Caver.,14,24
3:53,2247,Austin Donaldson missed Layup.,14,24
3:53,295,Brandan Stith Block.,14,24
3:53,2247,Georgia St Offensive Rebound.,14,24
3:53,295,Official TV Timeout,14,24
3:35,2247,Willie Clayton Turnover.,14,24
3:34,295,Jordan Baker Steal.,14,24
3:19,295,Jordan Baker missed Three Point Jumper.,14,24
3:19,295,Old Dominion Offensive Rebound.,14,24
2:57,295,Randy Haynes missed Layup.,14,24
2:57,295,Trey Porter Offensive Rebound.,14,24
2:53,295,Trey Porter made Layup.,14,26
2:43,2247,Foul on Devin Mitchell.,14,26
2:43,2247,Devin Mitchell Turnover.,14,26
2:31,295,Trey Porter made Jumper. Assisted by Ahmad Caver.,14,28
2:05,2247,Isaiah Dennis Turnover.,14,28
2:03,295,Denzell Taylor Steal.,14,28
1:55,295,Trey Porter missed Layup.,14,28
1:55,295,Randy Haynes Offensive Rebound.,14,28
1:55,295,Randy Haynes made Dunk.,14,30
1:55,2247,Georgia St  Timeout,14,30
1:53,2247,Devin Mitchell made Three Point Jumper.,17,30
1:36,295,Randy Haynes missed Three Point Jumper.,17,30
1:36,2247,Devin Mitchell Defensive Rebound.,17,30
1:27,2247,Devin Mitchell missed Layup.,17,30
1:27,295,Trey Porter Block.,17,30
1:24,295,Ahmad Caver Defensive Rebound.,17,30
1:01,2247,Foul on Jordan Session.,17,30
1:01,295,Trey Porter made Free Throw.,17,31
1:01,295,Trey Porter missed Free Throw.,17,31
1:01,295,Denzell Taylor Offensive Rebound.,17,31
0:36,2247,Foul on Jeremy Hollowell.,17,31
0:36,295,Denzell Taylor made Free Throw.,17,32
0:36,295,Denzell Taylor made Free Throw.,17,33
0:10,295,Foul on Ahmad Caver.,17,33
0:10,2247,Isaiah Williams made Free Throw.,18,33
0:10,2247,Isaiah Williams made Free Throw.,19,33
0:01,295,Jordan Baker made Three Point Jumper. Assisted by Denzell Taylor.,19,36
0:00,295,End of 1st half,19,36
19:34,2247,Malik Benlevi missed Three Point Jumper.,19,36
19:34,295,Jordan Baker Defensive Rebound.,19,36
19:06,295,B.J. Stith missed Three Point Jumper.,19,36
19:06,2247,Willie Clayton Defensive Rebound.,19,36
18:48,2247,Devin Mitchell missed Three Point Jumper.,19,36
18:48,295,Brandan Stith Defensive Rebound.,19,36
18:18,295,B.J. Stith missed Layup.,19,36
18:18,2247,Willie Clayton Defensive Rebound.,19,36
17:59,2247,Jeremy Hollowell made Layup. Assisted by Isaiah Williams.,21,36
17:31,295,Jordan Baker missed Three Point Jumper.,21,36
17:31,2247,Jeremy Hollowell Defensive Rebound.,21,36
17:23,2247,Willie Clayton made Layup. Assisted by Isaiah Williams.,23,36
16:53,295,Brandan Stith missed Jumper.,23,36
16:53,2247,Malik Benlevi Block.,23,36
16:51,2247,Malik Benlevi Defensive Rebound.,23,36
16:37,2247,Isaiah Williams missed Jumper.,23,36
16:37,295,Ahmad Caver Defensive Rebound.,23,36
16:29,295,Jordan Baker missed Three Point Jumper.,23,36
16:29,295,Ahmad Caver Offensive Rebound.,23,36
16:05,295,Jordan Baker missed Three Point Jumper.,23,36
16:05,295,Ahmad Caver Offensive Rebound.,23,36
15:42,295,Brandan Stith Turnover.,23,36
15:40,2247,Malik Benlevi Steal.,23,36
15:38,295,Foul on Ahmad Caver.,23,36
15:38,295,Official TV Timeout,23,36
15:38,2247,Isaiah Williams made Free Throw.,24,36
15:38,2247,Isaiah Williams missed Free Throw.,24,36
15:38,295,Trey Porter Defensive Rebound.,24,36
15:21,2247,Foul on D'Marcus Simonds.,24,36
14:59,295,Denzell Taylor Turnover.,24,36
14:43,295,Foul on Denzell Taylor.,24,36
14:37,2247,Isaiah Williams missed Jumper.,24,36
14:37,295,Denzell Taylor Defensive Rebound.,24,36
14:13,295,Ahmad Caver made Three Point Jumper. Assisted by Jordan Baker.,24,39
13:50,2247,D'Marcus Simonds made Layup. Assisted by Willie Clayton.,26,39
13:24,295,Ahmad Caver missed Three Point Jumper.,26,39
13:24,295,Denzell Taylor Offensive Rebound.,26,39
13:11,2247,Foul on Willie Clayton.,26,39
12:53,295,Randy Haynes missed Three Point Jumper.,26,39
12:53,295,Denzell Taylor Offensive Rebound.,26,39
12:52,2247,Foul on Willie Clayton.,26,39
12:37,295,Randy Haynes made Three Point Jumper. Assisted by Ahmad Caver.,26,42
12:21,2247,Jeremy Hollowell missed Layup.,26,42
12:21,295,Trey Porter Block.,26,42
12:19,2247,Devin Mitchell Offensive Rebound.,26,42
12:15,295,Foul on Trey Porter.,26,42
12:12,2247,Devin Mitchell made Layup.,28,42
12:12,295,Foul on Denzell Taylor.,28,42
12:12,2247,Devin Mitchell made Free Throw.,29,42
11:48,295,Randy Haynes missed Jumper.,29,42
11:48,295,Denzell Taylor Offensive Rebound.,29,42
11:35,295,Ahmad Caver made Layup.,29,44
11:06,295,Foul on Trey Porter.,29,44
11:06,295,Official TV Timeout,29,44
10:59,2247,Devin Mitchell made Layup. Assisted by Austin Donaldson.,31,44
10:46,295,Jordan Baker Turnover.,31,44
10:45,2247,Austin Donaldson Steal.,31,44
10:43,2247,D'Marcus Simonds made Layup. Assisted by Jeff Thomas.,33,44
10:43,295,Old Dominion  Timeout,33,44
10:14,295,B.J. Stith missed Jumper.,33,44
10:14,295,Denzell Taylor Offensive Rebound.,33,44
10:08,295,Denzell Taylor made Layup.,33,46
9:55,2247,Devin Mitchell made Three Point Jumper. Assisted by Austin Donaldson.,36,46
9:52,2247,Georgia St  Timeout,36,46
9:29,295,Ahmad Caver missed Three Point Jumper.,36,46
9:29,295,Ahmad Caver Offensive Rebound.,36,46
9:17,295,Ahmad Caver made Layup.,36,48
8:57,2247,Devin Mitchell missed Three Point Jumper.,36,48
8:57,2247,Austin Donaldson Offensive Rebound.,36,48
8:54,2247,Austin Donaldson missed Jumper.,36,48
8:54,295,Brandan Stith Block.,36,48
8:51,295,Brandan Stith Defensive Rebound.,36,48
8:44,295,Jordan Baker missed Three Point Jumper.,36,48
8:44,2247,Jordan Session Defensive Rebound.,36,48
8:42,295,Foul on Denzell Taylor.,36,48
8:30,2247,Devin Mitchell missed Jumper.,36,48
8:30,295,Brandan Stith Block.,36,48
8:27,295,Aaron Carver Defensive Rebound.,36,48
8:09,295,Randy Haynes Turnover.,36,48
7:53,2247,Jeremy Hollowell missed Layup.,36,48
7:53,295,Aaron Carver Block.,36,48
7:47,295,Randy Haynes Defensive Rebound.,36,48
7:36,295,Jordan Baker made Three Point Jumper. Assisted by Randy Haynes.,36,51
7:25,295,Foul on Randy Haynes.,36,51
7:25,295,Official TV Timeout,36,51
7:25,2247,D'Marcus Simonds made Free Throw.,37,51
7:25,2247,D'Marcus Simonds made Free Throw.,38,51
6:59,2247,Foul on Willie Clayton.,38,51
6:39,295,Ahmad Caver missed Three Point Jumper.,38,51
6:39,295,Jordan Baker Offensive Rebound.,38,51
6:11,295,Jordan Baker missed Three Point Jumper.,38,51
6:11,2247,Malik Benlevi Defensive Rebound.,38,51
6:09,295,Foul on Brandan Stith.,38,51
6:09,2247,Malik Benlevi made Free Throw.,39,51
6:09,2247,Malik Benlevi made Free Throw.,40,51
5:39,295,Ahmad Caver made Three Point Jumper. Assisted by Randy Haynes.,40,54
5:17,2247,Willie Clayton made Layup. Assisted by Malik Benlevi.,42,54
5:17,2247,Georgia St  Timeout,42,54
4:59,295,Randy Haynes Turnover.,42,54
4:35,2247,Devin Mitchell Turnover.,42,54
4:33,295,Jordan Baker Steal.,42,54
4:13,295,Jordan Baker Turnover.,42,54
4:11,2247,Devin Mitchell Steal.,42,54
4:07,2247,Devin Mitchell Turnover.,42,54
4:05,295,Jordan Baker Steal.,42,54
4:00,295,Randy Haynes Turnover.,42,54
3:57,2247,Devin Mitchell Steal.,42,54
3:54,2247,Austin Donaldson made Layup.,44,54
3:49,295,Randy Haynes missed Layup.,44,54
3:49,2247,Jordan Session Block.,44,54
3:46,2247,D'Marcus Simonds Defensive Rebound.,44,54
3:37,2247,Austin Donaldson Turnover.,44,54
3:36,295,Randy Haynes Steal.,44,54
3:33,295,Randy Haynes missed Jumper.,44,54
3:33,2247,D'Marcus Simonds Defensive Rebound.,44,54
3:21,2247,D'Marcus Simonds Turnover.,44,54
3:19,295,Brandan Stith Steal.,44,54
3:17,2247,Technical Foul on D'Marcus Simonds.,44,54
3:17,2247,Foul on D'Marcus Simonds.,44,54
3:17,295,Official TV Timeout,44,54
3:17,295,Jordan Baker made Free Throw.,44,55
3:17,295,Jordan Baker made Free Throw.,44,56
2:33,295,Randy Haynes missed Three Point Jumper.,44,56
2:33,295,Jordan Baker Offensive Rebound.,44,56
2:13,2247,Foul on Austin Donaldson.,44,56
2:06,295,Ahmad Caver missed Three Point Jumper.,44,56
2:06,295,Brandan Stith Offensive Rebound.,44,56
1:39,295,Ahmad Caver missed Three Point Jumper.,44,56
1:39,2247,D'Marcus Simonds Defensive Rebound.,44,56
1:26,2247,Malik Benlevi missed Three Point Jumper.,44,56
1:26,2247,Austin Donaldson Offensive Rebound.,44,56
1:23,2247,Austin Donaldson Turnover.,44,56
1:06,2247,Foul on Austin Donaldson.,44,56
1:06,295,Ahmad Caver missed Free Throw.,44,56
1:06,2247,D'Marcus Simonds Defensive Rebound.,44,56
1:02,2247,D'Marcus Simonds missed Layup.,44,56
1:02,2247,Willie Clayton Offensive Rebound.,44,56
1:02,295,Foul on Denzell Taylor.,44,56
1:02,2247,Austin Donaldson Turnover.,44,56
0:41,295,Randy Haynes made Jumper. Assisted by Brandan Stith.,44,58
0:14,2247,Jeff Thomas missed Jumper.,44,58
0:14,2247,Willie Clayton Offensive Rebound.,44,58
0:11,2247,Willie Clayton made Layup.,46,58
0:00,295,End of Game,46,58
