Rider,2448,North Carolina A&amp;T,2520
15:09,2520,Kahlil Thomas made Free Throw.,34,42
15:09,2520,Kahlil Thomas made Free Throw.,35,42
14:42,2448,Davaris McGowens made Layup.,35,44
14:33,2520,Xavier Lundy Turnover.,35,44
14:17,2520,Foul on Xavier Lundy.,35,44
14:17,2448,Raymon Pratt made Free Throw.,35,45
14:17,2448,Raymon Pratt made Free Throw.,35,46
13:59,2520,Kahlil Thomas Turnover.,35,46
13:58,2448,Davaris McGowens Steal.,35,46
13:38,2448,Davaris McGowens made Layup.,35,48
13:31,2520,Norville Carey made Layup. Assisted by Kealen Washington-Ives.,37,48
13:31,2448,Foul on Davaris McGowens.,37,48
13:31,2520,Norville Carey made Free Throw.,38,48
13:21,2448,Sam Hunt Turnover.,38,48
13:20,2520,Jimmie Taylor Steal.,38,48
13:05,2520,Kealen Washington-Ives missed Three Point Jumper.,38,48
13:05,2448,Davaris McGowens Defensive Rebound.,38,48
12:38,2448,Eliel Gonzalez missed Jumper.,38,48
12:38,2520,Kahlil Thomas Defensive Rebound.,38,48
12:31,2520,Norville Carey missed Layup.,38,48
12:31,2520,Norville Carey Offensive Rebound.,38,48
12:27,2520,Norville Carey missed Layup.,38,48
12:27,2448,James Whitaker Defensive Rebound.,38,48
12:02,2448,Sam Hunt missed Layup.,38,48
12:02,2520,Anthony Durham Defensive Rebound.,38,48
11:49,2520,Norville Carey Turnover.,38,48
11:49,2520,Foul on Norville Carey.,38,48
11:35,2520,Foul on Kealen Washington-Ives.,38,48
11:12,2448,James Whitaker missed Layup.,38,48
11:12,2448,North Carolina A&T Offensive Rebound.,38,48
11:07,2448,James Whitaker missed Three Point Jumper.,38,48
11:07,2520,Tyere Marshall Defensive Rebound.,38,48
11:03,2520,Anthony Durham missed Layup.,38,48
11:03,2448,James Whitaker Defensive Rebound.,38,48
10:24,2448,James Whitaker missed Layup.,38,48
10:24,2520,Anthony Durham Defensive Rebound.,38,48
10:20,2520,Anthony Durham missed Jumper.,38,48
10:20,2448,Davaris McGowens Defensive Rebound.,38,48
9:45,2448,Davaris McGowens missed Layup.,38,48
9:45,2448,Davaris McGowens Offensive Rebound.,38,48
9:42,2448,Eliel Gonzalez missed Three Point Jumper.,38,48
9:42,2520,Kahlil Thomas Defensive Rebound.,38,48
9:32,2520,Jimmie Taylor missed Jumper.,38,48
9:32,2448,James Whitaker Block.,38,48
9:30,2520,Rider Offensive Rebound.,38,48
9:21,2520,Jimmie Taylor made Three Point Jumper. Assisted by Stevie Jordan.,41,48
8:48,2448,Sam Hunt missed Layup.,41,48
8:48,2520,Kahlil Thomas Defensive Rebound.,41,48
8:35,2448,Foul on James Whitaker.,41,48
8:31,2520,Jimmie Taylor made Jumper.,43,48
8:25,2448,Eliel Gonzalez Turnover.,43,48
8:23,2520,Xavier Lundy Steal.,43,48
8:20,2520,Stevie Jordan missed Layup.,43,48
8:20,2520,Tyere Marshall Offensive Rebound.,43,48
8:20,2448,Foul on Raymon Pratt.,43,48
8:20,2520,Tyere Marshall missed Free Throw.,43,48
8:20,2520,Rider Deadball Team Rebound.,43,48
8:20,2520,Tyere Marshall made Free Throw.,44,48
8:00,2448,Eliel Gonzalez Turnover.,44,48
7:57,2520,Stevie Jordan Steal.,44,48
7:55,2520,Stevie Jordan made Layup.,46,48
7:44,2448,Aaron Scales made Layup. Assisted by Raymon Pratt.,46,50
7:27,2520,Xavier Lundy missed Three Point Jumper.,46,50
7:27,2520,Stevie Jordan Offensive Rebound.,46,50
7:13,2520,Kahlil Thomas missed Layup.,46,50
7:13,2448,Aaron Scales Defensive Rebound.,46,50
7:10,2520,Foul on Tyere Marshall.,46,50
7:10,2448,Aaron Scales missed Free Throw.,46,50
7:10,2520,Tyere Marshall Defensive Rebound.,46,50
7:00,2520,Xavier Lundy made Dunk. Assisted by Jimmie Taylor.,48,50
6:29,2448,Eliel Gonzalez missed Layup.,48,50
6:29,2448,Aaron Scales Offensive Rebound.,48,50
6:25,2448,Aaron Scales missed Layup.,48,50
6:25,2520,Tyere Marshall Defensive Rebound.,48,50
6:00,2520,Jimmie Taylor missed Three Point Jumper.,48,50
6:00,2520,Stevie Jordan Offensive Rebound.,48,50
5:54,2520,Stevie Jordan made Jumper.,50,50
5:32,2448,Austin Williams Turnover.,50,50
5:14,2520,Tyere Marshall made Layup. Assisted by Stevie Jordan.,52,50
5:05,2520,Rider  Timeout,52,50
5:05,2448,Raymon Pratt Turnover.,52,50
5:05,2520,Stevie Jordan Steal.,52,50
5:05,2520,Stevie Jordan missed Layup.,52,50
5:05,2448,Raymon Pratt Defensive Rebound.,52,50
4:59,2520,Foul on Stevie Jordan.,52,50
4:59,2448,Davaris McGowens made Free Throw.,52,51
4:59,2448,Davaris McGowens made Free Throw.,52,52
4:40,2448,Foul on Raymon Pratt.,52,52
4:40,2520,Tyere Marshall missed Free Throw.,52,52
4:40,2520,Rider Deadball Team Rebound.,52,52
4:40,2520,Tyere Marshall missed Free Throw.,52,52
4:40,2448,Raymon Pratt Defensive Rebound.,52,52
4:14,2448,Davaris McGowens missed Layup.,52,52
4:14,2520,Tyere Marshall Defensive Rebound.,52,52
3:56,2520,Tyere Marshall made Layup. Assisted by Kahlil Thomas.,54,52
3:41,2520,Foul on Xavier Lundy.,54,52
3:41,2448,Eliel Gonzalez made Free Throw.,54,53
3:41,2448,Eliel Gonzalez made Free Throw.,54,54
3:20,2520,Jimmie Taylor made Jumper.,56,54
2:44,2448,Sam Hunt missed Three Point Jumper.,56,54
2:44,2448,Aaron Scales Offensive Rebound.,56,54
2:41,2448,North Carolina A&T  Turnover.,56,54
2:27,2520,Norville Carey made Layup. Assisted by Xavier Lundy.,58,54
2:05,2448,Nick Reese missed Layup.,58,54
2:05,2520,Kahlil Thomas Defensive Rebound.,58,54
1:38,2520,Jimmie Taylor missed Three Point Jumper.,58,54
1:38,2448,Eliel Gonzalez Defensive Rebound.,58,54
1:20,2448,Sam Hunt missed Three Point Jumper.,58,54
1:20,2448,Nick Reese Offensive Rebound.,58,54
1:08,2448,Sam Hunt made Three Point Jumper.,58,57
1:05,2448,North Carolina A&T  Timeout,58,57
0:45,2520,Xavier Lundy missed Three Point Jumper.,58,57
0:45,2448,Eliel Gonzalez Defensive Rebound.,58,57
