Mercer,2,Auburn,2382
18:01,2382,Jordan Strawberry missed Layup.,37,34
18:01,2,LaRon Smith Block.,37,34
18:01,2382,Desmond Ringer Offensive Rebound.,37,34
17:47,2382,Jordan Strawberry Turnover.,37,34
17:47,2,Mustapha Heron Steal.,37,34
17:42,2,Mustapha Heron made Layup.,37,36
17:20,2382,Foul on Desmond Ringer.,37,36
17:20,2382,Desmond Ringer Turnover.,37,36
17:11,2,Danjel Purifoy made Jumper. Assisted by Jared Harper.,37,38
16:49,2382,Jordan Strawberry made Three Point Jumper. Assisted by Ria'n Holland.,40,38
16:21,2,Mustapha Heron made Jumper. Assisted by TJ Lang.,40,40
16:03,2382,Demetre Rivers missed Three Point Jumper.,40,40
16:03,2382,Demetre Rivers Offensive Rebound.,40,40
15:56,2382,Demetre Rivers missed Layup.,40,40
15:56,2,Danjel Purifoy Defensive Rebound.,40,40
15:44,2382,Foul on Demetre Rivers.,40,40
15:44,2,Official TV Timeout,40,40
15:44,2,Mustapha Heron made Free Throw.,40,41
15:44,2,Mustapha Heron made Free Throw.,40,42
15:25,2382,Jordan Strawberry made Jumper.,42,42
15:00,2,Mustapha Heron Turnover.,42,42
14:54,2382,Ria'n Holland made Three Point Jumper. Assisted by Jordan Strawberry.,45,42
14:28,2382,Foul on JJ N'Ganga.,45,42
14:25,2,Mustapha Heron made Three Point Jumper. Assisted by Ronnie Johnson.,45,45
14:07,2382,Demetre Rivers made Three Point Jumper. Assisted by Jordan Strawberry.,48,45
13:50,2,Mustapha Heron made Three Point Jumper. Assisted by Ronnie Johnson.,48,48
13:32,2382,Jordan Strawberry missed Jumper.,48,48
13:32,2,T.J. Dunans Defensive Rebound.,48,48
13:22,2,Mustapha Heron missed Jumper.,48,48
13:22,2382,Mercer Defensive Rebound.,48,48
13:01,2382,Foul on Stephon Jelks.,48,48
13:01,2382,Stephon Jelks Turnover.,48,48
12:53,2,Danjel Purifoy missed Three Point Jumper.,48,48
12:53,2,Mustapha Heron Offensive Rebound.,48,48
12:48,2,Mustapha Heron Turnover.,48,48
12:48,2,Foul on Mustapha Heron.,48,48
12:44,2382,Ria'n Holland made Jumper.,50,48
12:27,2,Ronnie Johnson missed Jumper.,50,48
12:27,2,Auburn Deadball Team Rebound.,50,48
12:27,2382,Foul on Cory Kilby.,50,48
12:27,2,Austin Wiley made Free Throw.,50,49
12:27,2,Austin Wiley missed Free Throw.,50,49
12:27,2382,Demetre Rivers Defensive Rebound.,50,49
12:26,2,Foul on Danjel Purifoy.,50,49
12:25,2382,Cory Kilby Turnover.,50,49
12:25,2,Ronnie Johnson Steal.,50,49
12:25,2382,Foul on Demetre Rivers.,50,49
12:25,2,Ronnie Johnson made Free Throw.,50,50
12:25,2,Ronnie Johnson made Free Throw.,50,51
12:13,2382,Ryan Johnson missed Three Point Jumper.,50,51
12:13,2,Auburn Deadball Team Rebound.,50,51
12:08,2382,Foul on Demetre Rivers.,50,51
12:08,2,TJ Lang made Free Throw.,50,52
12:08,2,TJ Lang made Free Throw.,50,53
11:44,2,Foul on LaRon Smith.,50,53
11:44,2,Official TV Timeout,50,53
11:44,2382,Ryan Johnson made Free Throw.,51,53
11:44,2382,Ryan Johnson made Free Throw.,52,53
11:30,2,TJ Lang missed Three Point Jumper.,52,53
11:30,2,Austin Wiley Offensive Rebound.,52,53
11:27,2382,Foul on Ryan Johnson.,52,53
11:27,2,Austin Wiley made Free Throw.,52,54
11:27,2,Austin Wiley missed Free Throw.,52,54
11:27,2,Ronnie Johnson Offensive Rebound.,52,54
11:21,2,T.J. Dunans made Layup. Assisted by Ronnie Johnson.,52,56
11:21,2382,Desmond Ringer missed Jumper.,52,56
11:21,2,Austin Wiley Block.,52,56
11:21,2382,Desmond Ringer Offensive Rebound.,52,56
10:51,2382,Rashad Lewis made Three Point Jumper.,55,56
10:23,2,Austin Wiley missed Jumper.,55,56
10:23,2382,Desmond Ringer Defensive Rebound.,55,56
9:59,2382,Desmond Ringer Turnover.,55,56
9:45,2,T.J. Dunans made Three Point Jumper. Assisted by LaRon Smith.,55,59
9:26,2382,Stephon Jelks missed Three Point Jumper.,55,59
9:26,2,LaRon Smith Defensive Rebound.,55,59
9:10,2382,Foul on Desmond Ringer.,55,59
9:10,2,LaRon Smith made Free Throw.,55,60
9:10,2,LaRon Smith made Free Throw.,55,61
9:07,2382,Mercer  Timeout,55,61
8:55,2382,Ria'n Holland made Three Point Jumper.,58,61
8:35,2,T.J. Dunans missed Three Point Jumper.,58,61
8:35,2382,Jordan Strawberry Defensive Rebound.,58,61
8:23,2,Foul on Danjel Purifoy.,58,61
8:23,2382,Stephon Jelks made Free Throw.,59,61
8:23,2382,Stephon Jelks missed Free Throw.,59,61
8:23,2382,Stephon Jelks Offensive Rebound.,59,61
8:18,2382,Jordan Strawberry missed Three Point Jumper.,59,61
8:09,2382,Demetre Rivers Offensive Rebound.,59,61
7:53,2382,JJ N'Ganga made Layup. Assisted by Stephon Jelks.,61,61
7:19,2,T.J. Dunans missed Layup.,61,61
7:19,2382,Mercer Deadball Team Rebound.,61,61
7:19,2,Foul on LaRon Smith.,61,61
7:19,2,Official TV Timeout,61,61
7:07,2382,Demetre Rivers missed Three Point Jumper.,61,61
7:07,2382,Ria'n Holland Offensive Rebound.,61,61
7:00,2,Foul on TJ Lang.,61,61
6:48,2382,Demetre Rivers missed Jumper.,61,61
6:48,2382,JJ N'Ganga Offensive Rebound.,61,61
6:40,2382,Stephon Jelks made Jumper.,63,61
6:21,2,Mustapha Heron made Layup.,63,63
6:21,2382,Foul on JJ N'Ganga.,63,63
6:21,2,Mustapha Heron made Free Throw.,63,64
5:59,2382,Ria'n Holland missed Jumper.,63,64
5:59,2,T.J. Dunans Defensive Rebound.,63,64
5:48,2,Ronnie Johnson missed Jumper.,63,64
5:48,2382,Jordan Strawberry Defensive Rebound.,63,64
5:33,2382,Jordan Strawberry missed Jumper.,63,64
5:33,2,T.J. Dunans Defensive Rebound.,63,64
5:25,2,Mustapha Heron missed Jumper.,63,64
5:25,2382,Stephon Jelks Defensive Rebound.,63,64
4:56,2,Foul on T.J. Dunans.,63,64
4:56,2382,Ria'n Holland made Free Throw.,64,64
4:56,2382,Ria'n Holland missed Free Throw.,64,64
4:56,2,Auburn Deadball Team Rebound.,64,64
4:56,2382,Foul on Stephon Jelks.,64,64
4:56,2,Mustapha Heron missed Free Throw.,64,64
4:56,2,Auburn Deadball Team Rebound.,64,64
4:56,2,Mustapha Heron missed Free Throw.,64,64
4:56,2382,Stephon Jelks Defensive Rebound.,64,64
4:40,2382,Jordan Strawberry missed Jumper.,64,64
4:40,2382,Ria'n Holland Offensive Rebound.,64,64
4:31,2382,Ria'n Holland missed Layup.,64,64
4:30,2,Austin Wiley Block.,64,64
4:30,2,TJ Lang Defensive Rebound.,64,64
4:26,2,TJ Lang Turnover.,64,64
4:14,2382,Jordan Strawberry made Three Point Jumper.,67,64
3:56,2,Ronnie Johnson missed Jumper.,67,64
3:56,2382,Jordan Strawberry Defensive Rebound.,67,64
3:28,2382,Stephon Jelks missed Jumper.,67,64
3:28,2,Mustapha Heron Defensive Rebound.,67,64
3:14,2,Mustapha Heron made Layup.,67,66
2:53,2382,Ria'n Holland missed Jumper.,67,66
2:36,2382,Stephon Jelks Offensive Rebound.,67,66
2:36,2,Foul on T.J. Dunans.,67,66
2:36,2,Official TV Timeout,67,66
2:36,2382,Stephon Jelks made Free Throw.,68,66
2:36,2382,Stephon Jelks made Free Throw.,69,66
2:21,2382,Foul on Ria'n Holland.,69,66
2:21,2,Danjel Purifoy made Free Throw.,69,67
2:21,2,Danjel Purifoy made Free Throw.,69,68
2:01,2382,Ria'n Holland missed Jumper.,69,68
2:01,2,Austin Wiley Defensive Rebound.,69,68
1:49,2382,Foul on Ria'n Holland.,69,68
1:49,2,Danjel Purifoy missed Free Throw.,69,68
1:49,2,Auburn Deadball Team Rebound.,69,68
1:49,2,Danjel Purifoy made Free Throw.,69,69
1:33,2382,Ria'n Holland missed Three Point Jumper.,69,69
1:33,2382,Ria'n Holland Offensive Rebound.,69,69
1:02,2382,Jordan Strawberry Turnover.,69,69
1:02,2,Auburn  Timeout,69,69
0:49,2,Austin Wiley made Layup. Assisted by Mustapha Heron.,69,71
0:22,2382,Foul on Jordan Strawberry.,69,71
0:22,2382,Jordan Strawberry Turnover.,69,71
0:22,2382,Mercer  Timeout,69,71
0:21,2382,Foul on Rashad Lewis.,69,71
0:21,2,Mustapha Heron missed Free Throw.,69,71
0:21,2,Auburn Deadball Team Rebound.,69,71
0:21,2,Mustapha Heron made Free Throw.,69,72
0:13,2382,Ria'n Holland made Jumper.,71,72
0:08,2382,Foul on Demetre Rivers.,71,72
0:08,2,Mustapha Heron missed Free Throw.,71,72
0:08,2,Auburn Deadball Team Rebound.,71,72
0:08,2,Mustapha Heron made Free Throw.,71,73
0:03,2382,Ria'n Holland made Layup.,73,73
0:03,2,Foul on T.J. Dunans.,73,73
0:03,2382,Ria'n Holland made Free Throw.,74,73
0:03,2,Auburn  Timeout,74,73
0:01,2,Auburn  Timeout,74,73
0:01,2,T.J. Dunans made Three Point Jumper. Assisted by Mustapha Heron.,74,76
0:00,2,End of Game,74,76
