Sacred Heart,103,Boston College,2529
14:10,2529,Quincy McKnight Turnover.,35,43
14:09,103,Connar Tava Steal.,35,43
14:03,103,Connar Tava Turnover.,35,43
14:03,103,Foul on Connar Tava.,35,43
13:50,103,Foul on Jerome Robinson.,35,43
13:50,2529,Quincy McKnight made Free Throw.,36,43
13:50,2529,Quincy McKnight made Free Throw.,37,43
13:37,103,Ty Graves Turnover.,37,43
13:37,103,Foul on Ty Graves.,37,43
13:17,2529,De'von Barnett made Layup. Assisted by Quincy McKnight.,39,43
12:48,103,Ty Graves missed Layup.,39,43
12:48,2529,De'von Barnett Defensive Rebound.,39,43
12:40,2529,Quincy McKnight missed Layup.,39,43
12:40,103,Mo Jeffers Defensive Rebound.,39,43
12:29,103,Ty Graves Turnover.,39,43
12:28,2529,Joseph Lopez Steal.,39,43
12:24,2529,Joseph Lopez made Layup. Assisted by Charles Tucker Jr..,41,43
12:24,103,Foul on A.J. Turner.,41,43
12:24,2529,Joseph Lopez made Free Throw.,42,43
12:17,103,Ky Bowman Turnover.,42,43
12:16,2529,Quincy McKnight Steal.,42,43
12:15,2529,Quincy McKnight made Layup.,44,43
12:15,103,Boston College  Timeout,44,43
11:58,103,Jerome Robinson missed Layup.,44,43
11:58,2529,Sacred Heart Defensive Rebound.,44,43
11:56,103,Official TV Timeout,44,43
11:47,103,Foul on Jordan Chatman.,44,43
11:47,2529,Quincy McKnight made Free Throw.,45,43
11:47,2529,Quincy McKnight made Free Throw.,46,43
11:20,103,Jerome Robinson made Jumper.,46,45
10:56,103,Foul on Ky Bowman.,46,45
10:56,2529,De'von Barnett missed Free Throw.,46,45
10:56,2529,Sacred Heart Deadball Team Rebound.,46,45
10:56,2529,De'von Barnett missed Free Throw.,46,45
10:56,103,Jerome Robinson Defensive Rebound.,46,45
10:40,2529,Foul on De'von Barnett.,46,45
10:40,103,Jerome Robinson missed Jumper.,46,45
10:40,103,A.J. Turner Offensive Rebound.,46,45
10:32,103,Ky Bowman made Layup.,46,47
10:24,103,Foul on A.J. Turner.,46,47
10:24,2529,Quincy McKnight made Free Throw.,47,47
10:24,2529,Quincy McKnight made Free Throw.,48,47
10:12,103,A.J. Turner missed Jumper.,48,47
10:12,2529,Quincy McKnight Defensive Rebound.,48,47
9:47,2529,Matej Buovac missed Three Point Jumper.,48,47
9:47,103,Garland Owens Defensive Rebound.,48,47
9:37,103,A.J. Turner missed Three Point Jumper.,48,47
9:37,103,Garland Owens Offensive Rebound.,48,47
9:23,103,Jerome Robinson made Three Point Jumper. Assisted by Ky Bowman.,48,50
9:23,2529,Foul on Charles Tucker Jr..,48,50
9:23,103,Jerome Robinson made Free Throw.,48,51
9:16,2529,Quincy McKnight Turnover.,48,51
9:15,103,Jerome Robinson Steal.,48,51
9:06,103,A.J. Turner missed Layup.,48,51
9:06,2529,Joseph Lopez Defensive Rebound.,48,51
9:01,2529,Quincy McKnight missed Layup.,48,51
9:01,103,Jerome Robinson Block.,48,51
9:01,2529,Sacred Heart Offensive Rebound.,48,51
8:40,2529,Matej Buovac missed Layup.,48,51
8:40,103,A.J. Turner Defensive Rebound.,48,51
8:29,2529,Foul on Joseph Lopez.,48,51
8:29,103,Ky Bowman made Free Throw.,48,52
8:29,103,Ky Bowman missed Free Throw.,48,52
8:29,103,Garland Owens Offensive Rebound.,48,52
8:28,2529,Foul on De'von Barnett.,48,52
8:27,103,Garland Owens made Layup. Assisted by A.J. Turner.,48,54
8:27,2529,Foul on De'von Barnett.,48,54
8:27,103,Garland Owens missed Free Throw.,48,54
8:27,2529,Sacred Heart Defensive Rebound.,48,54
8:27,103,Foul on A.J. Turner.,48,54
8:27,2529,Shawn Montague made Free Throw.,49,54
8:27,2529,Shawn Montague made Free Throw.,50,54
8:09,2529,Foul on Cole Walton.,50,54
8:09,103,Mo Jeffers missed Free Throw.,50,54
8:09,103,Boston College Deadball Team Rebound.,50,54
8:09,103,Mo Jeffers made Free Throw.,50,55
7:58,2529,Joseph Lopez Turnover.,50,55
7:57,103,Ky Bowman Steal.,50,55
7:56,2529,Foul on Sean Hoehn.,50,55
7:56,103,Official TV Timeout,50,55
7:56,103,Ky Bowman made Free Throw.,50,56
7:56,103,Ky Bowman missed Free Throw.,50,56
7:56,2529,Chris Robinson Defensive Rebound.,50,56
7:42,103,Foul on Connar Tava.,50,56
7:42,2529,Shawn Montague made Jumper. Assisted by Chris Robinson.,52,56
7:42,2529,Shawn Montague made Free Throw.,53,56
7:22,103,Jordan Chatman made Layup. Assisted by Mo Jeffers.,53,58
7:22,2529,Foul on Shawn Montague.,53,58
7:22,103,Jordan Chatman missed Free Throw.,53,58
7:22,103,Mo Jeffers Offensive Rebound.,53,58
7:19,103,Jerome Robinson missed Three Point Jumper.,53,58
7:19,2529,Joseph Lopez Defensive Rebound.,53,58
7:06,2529,Quincy McKnight missed Three Point Jumper.,53,58
7:06,103,Ky Bowman Defensive Rebound.,53,58
6:55,103,Jerome Robinson missed Jumper.,53,58
6:55,2529,Shawn Montague Defensive Rebound.,53,58
6:38,2529,Sacred Heart  Timeout,53,58
6:35,2529,Quincy McKnight made Layup. Assisted by Joseph Lopez.,55,58
6:15,103,Jerome Robinson made Jumper. Assisted by Connar Tava.,55,60
5:51,2529,Chris Robinson missed Three Point Jumper.,55,60
5:51,103,Jordan Chatman Defensive Rebound.,55,60
5:33,103,Mo Jeffers missed Layup.,55,60
5:33,2529,Joseph Lopez Block.,55,60
5:32,2529,Shawn Montague Defensive Rebound.,55,60
5:28,2529,Quincy McKnight made Jumper. Assisted by Shawn Montague.,57,60
5:13,2529,Foul on Joseph Lopez.,57,60
5:13,103,Jerome Robinson made Free Throw.,57,61
5:13,103,Jerome Robinson made Free Throw.,57,62
4:55,2529,Shawn Montague missed Layup.,57,62
4:55,2529,Joseph Lopez Offensive Rebound.,57,62
4:53,2529,Joseph Lopez missed Layup.,57,62
4:53,103,Nik Popovic Block.,57,62
4:51,103,Ky Bowman Defensive Rebound.,57,62
4:41,2529,Foul on Chris Robinson.,57,62
4:41,103,Nik Popovic missed Free Throw.,57,62
4:41,103,Boston College Deadball Team Rebound.,57,62
4:41,103,Nik Popovic missed Free Throw.,57,62
4:41,2529,Quincy McKnight Defensive Rebound.,57,62
4:22,2529,Joseph Lopez missed Layup.,57,62
4:22,103,Connar Tava Defensive Rebound.,57,62
4:16,103,Connar Tava made Layup. Assisted by Jerome Robinson.,57,64
3:54,103,Foul on Connar Tava.,57,64
3:54,2529,Quincy McKnight made Free Throw.,58,64
3:54,2529,Quincy McKnight made Free Throw.,59,64
3:49,2529,Foul on Quincy McKnight.,59,64
3:49,103,Jerome Robinson missed Free Throw.,59,64
3:49,103,Boston College Deadball Team Rebound.,59,64
3:49,103,Jerome Robinson made Free Throw.,59,65
3:36,103,Foul on Nik Popovic.,59,65
3:36,2529,Joseph Lopez missed Free Throw.,59,65
3:36,2529,Sacred Heart Deadball Team Rebound.,59,65
3:36,2529,Joseph Lopez missed Free Throw.,59,65
3:36,103,Ky Bowman Defensive Rebound.,59,65
3:30,103,Jordan Chatman made Three Point Jumper. Assisted by Ky Bowman.,59,68
3:23,2529,Quincy McKnight Turnover.,59,68
3:22,103,Connar Tava Steal.,59,68
3:07,103,Jordan Chatman made Three Point Jumper. Assisted by Jerome Robinson.,59,71
3:02,2529,Sacred Heart  Timeout,59,71
2:53,2529,Quincy McKnight made Layup.,61,71
2:53,103,Foul on Ky Bowman.,61,71
2:53,2529,Quincy McKnight missed Free Throw.,61,71
2:53,103,Nik Popovic Defensive Rebound.,61,71
2:26,2529,Foul on Quincy McKnight.,61,71
2:26,103,Ky Bowman missed Free Throw.,61,71
2:26,103,Boston College Deadball Team Rebound.,61,71
2:26,103,Ky Bowman made Free Throw.,61,72
2:17,2529,Quincy McKnight made Layup.,63,72
2:07,103,Ky Bowman Turnover.,63,72
2:00,2529,Joseph Lopez made Layup. Assisted by Charles Tucker Jr..,65,72
1:59,2529,Sacred Heart  Timeout,65,72
1:50,103,Connar Tava Turnover.,65,72
1:50,2529,Joseph Lopez Steal.,65,72
1:45,2529,Joseph Lopez made Layup. Assisted by Sean Hoehn.,67,72
1:19,2529,Foul on Sean Hoehn.,67,72
1:19,103,Jerome Robinson made Free Throw.,67,73
1:19,103,Jerome Robinson made Free Throw.,67,74
1:14,103,Foul on Ky Bowman.,67,74
1:14,2529,Charles Tucker Jr. missed Free Throw.,67,74
1:14,2529,Sacred Heart Deadball Team Rebound.,67,74
1:14,2529,Charles Tucker Jr. made Free Throw.,68,74
1:09,103,A.J. Turner made Dunk. Assisted by Ky Bowman.,68,76
0:54,2529,Sean Hoehn missed Three Point Jumper.,68,76
0:54,103,Jordan Chatman Defensive Rebound.,68,76
0:45,2529,Foul on Sean Hoehn.,68,76
0:45,103,Ky Bowman missed Free Throw.,68,76
0:45,103,Boston College Deadball Team Rebound.,68,76
0:45,103,Ky Bowman made Free Throw.,68,77
0:37,2529,Quincy McKnight made Jumper.,70,77
0:37,103,Foul on Connar Tava.,70,77
0:37,2529,Quincy McKnight made Free Throw.,71,77
0:37,2529,Foul on Sean Hoehn.,71,77
0:37,103,Ky Bowman made Free Throw.,71,78
0:37,103,Ky Bowman made Free Throw.,71,79
0:29,2529,Sean Hoehn made Layup. Assisted by Chris Robinson.,73,79
0:25,2529,Foul on Matej Buovac.,73,79
0:25,103,Ky Bowman missed Free Throw.,73,79
0:25,103,Boston College Deadball Team Rebound.,73,79
0:25,103,Ky Bowman made Free Throw.,73,80
0:19,2529,Sean Hoehn missed Three Point Jumper.,73,80
0:19,103,A.J. Turner Defensive Rebound.,73,80
0:18,2529,Foul on Chris Robinson.,73,80
0:18,103,A.J. Turner made Free Throw.,73,81
0:18,103,A.J. Turner made Free Throw.,73,82
0:14,2529,Quincy McKnight made Layup. Assisted by Charles Tucker Jr..,75,82
0:00,103,End of Game,75,82
