Fairfield,152,NC State,2217
8:05,152,Ted Kapita made Free Throw.,17,33
8:05,152,Ted Kapita made Free Throw.,17,34
7:53,2217,Deniz Celen missed Three Point Jumper.,17,34
7:53,152,Omer Yurtseven Defensive Rebound.,17,34
7:34,152,Dennis Smith Jr. missed Layup.,17,34
7:34,2217,Jerry Johnson Jr. Defensive Rebound.,17,34
7:27,152,Foul on Terry Henderson.,17,34
7:27,152,Official TV Timeout,17,34
7:27,2217,Jerry Johnson Jr. made Free Throw.,18,34
7:27,2217,Jerry Johnson Jr. made Free Throw.,19,34
7:11,152,Dennis Smith Jr. Turnover.,19,34
7:10,2217,Curtis Cobb Steal.,19,34
7:08,152,Foul on Maverick Rowan.,19,34
7:08,2217,Jerry Johnson Jr. made Free Throw.,20,34
7:08,2217,Jerry Johnson Jr. made Free Throw.,21,34
6:52,152,Omer Yurtseven missed Jumper.,21,34
6:52,2217,Jonathan Kasibabu Defensive Rebound.,21,34
6:36,2217,Jerry Johnson Jr. missed Three Point Jumper.,21,34
6:36,152,Torin Dorn Defensive Rebound.,21,34
6:21,152,Terry Henderson missed Three Point Jumper.,21,34
6:21,152,Ted Kapita Offensive Rebound.,21,34
6:11,152,Dennis Smith Jr. missed Jumper.,21,34
6:11,152,Terry Henderson Offensive Rebound.,21,34
6:07,152,Terry Henderson made Jumper.,21,36
6:01,2217,Tyler Nelson missed Three Point Jumper.,21,36
6:01,152,Terry Henderson Defensive Rebound.,21,36
5:45,152,Ted Kapita made Dunk. Assisted by Omer Yurtseven.,21,38
5:33,2217,Jerry Johnson Jr. made Three Point Jumper. Assisted by Deniz Celen.,24,38
5:16,152,Omer Yurtseven missed Jumper.,24,38
5:16,2217,Jonathan Kasibabu Defensive Rebound.,24,38
5:14,152,Foul on Ted Kapita.,24,38
5:05,2217,Matija Milin Turnover.,24,38
5:05,152,Dennis Smith Jr. Steal.,24,38
5:05,2217,Foul on Matija Milin.,24,38
4:56,152,Torin Dorn Turnover.,24,38
4:55,2217,Curtis Cobb Steal.,24,38
4:49,152,Foul on Terry Henderson.,24,38
4:49,2217,Jerry Johnson Jr. made Free Throw.,25,38
4:49,2217,Jerry Johnson Jr. made Free Throw.,26,38
4:35,152,Terry Henderson missed Three Point Jumper.,26,38
4:35,152,Abdul-Malik Abu Offensive Rebound.,26,38
4:32,152,Abdul-Malik Abu made Dunk.,26,40
4:07,2217,Curtis Cobb missed Three Point Jumper.,26,40
4:07,152,Abdul-Malik Abu Defensive Rebound.,26,40
3:54,152,Torin Dorn missed Three Point Jumper.,26,40
3:54,2217,Deniz Celen Defensive Rebound.,26,40
3:44,2217,Deniz Celen missed Three Point Jumper.,26,40
3:44,152,Dennis Smith Jr. Defensive Rebound.,26,40
3:32,2217,Foul on Deniz Celen.,26,40
3:32,152,Official TV Timeout,26,40
3:32,152,Abdul-Malik Abu missed Free Throw.,26,40
3:32,152,NC State Deadball Team Rebound.,26,40
3:32,152,Abdul-Malik Abu made Free Throw.,26,41
3:03,2217,Jerry Johnson Jr. missed Three Point Jumper.,26,41
3:03,152,NC State Defensive Rebound.,26,41
2:54,152,Maverick Rowan missed Three Point Jumper.,26,41
2:54,2217,Curtis Cobb Defensive Rebound.,26,41
2:46,2217,Tyler Nelson made Three Point Jumper. Assisted by Curtis Cobb.,29,41
2:26,152,Torin Dorn missed Layup.,29,41
2:26,152,Torin Dorn Offensive Rebound.,29,41
2:22,152,Torin Dorn made Layup.,29,43
2:13,2217,Tyler Nelson missed Three Point Jumper.,29,43
2:13,152,Abdul-Malik Abu Defensive Rebound.,29,43
2:04,152,Maverick Rowan made Three Point Jumper. Assisted by Dennis Smith Jr..,29,46
1:48,152,Foul on Maverick Rowan.,29,46
1:48,2217,Jerry Johnson Jr. made Free Throw.,30,46
1:48,2217,Jerry Johnson Jr. made Free Throw.,31,46
1:48,2217,Jerry Johnson Jr. made Free Throw.,32,46
1:33,152,Dennis Smith Jr. Turnover.,32,46
1:21,2217,Jonathan Kasibabu made Jumper.,34,46
1:03,152,Abdul-Malik Abu Turnover.,34,46
0:52,152,Foul on Dennis Smith Jr..,34,46
0:49,2217,Tyler Nelson made Three Point Jumper. Assisted by Matija Milin.,37,46
0:29,152,Abdul-Malik Abu missed Jumper.,37,46
0:29,2217,Fairfield Defensive Rebound.,37,46
0:27,152,Foul on Torin Dorn.,37,46
0:27,2217,Curtis Cobb made Free Throw.,38,46
0:27,2217,Curtis Cobb made Free Throw.,39,46
0:22,152,NC State  Timeout,39,46
0:01,2217,Foul on Jonathan Kasibabu.,39,46
0:01,152,Torin Dorn made Free Throw.,39,47
0:01,152,Torin Dorn made Free Throw.,39,48
0:00,152,End of 1st half,39,48
19:45,2217,Curtis Cobb made Three Point Jumper. Assisted by Tyler Nelson.,42,48
19:43,152,Abdul-Malik Abu Turnover.,42,48
19:43,152,Foul on Abdul-Malik Abu.,42,48
19:37,152,Foul on Dennis Smith Jr..,42,48
19:29,2217,Amadou Sidibe made Jumper.,44,48
19:08,152,Terry Henderson missed Three Point Jumper.,44,48
19:08,152,NC State Offensive Rebound.,44,48
19:08,2217,Foul on Curtis Cobb.,44,48
19:05,152,Abdul-Malik Abu made Layup. Assisted by Torin Dorn.,44,50
18:49,2217,Matija Milin missed Jumper.,44,50
18:49,152,Torin Dorn Defensive Rebound.,44,50
18:29,152,Abdul-Malik Abu Turnover.,44,50
18:14,2217,Jerry Johnson Jr. missed Three Point Jumper.,44,50
18:14,152,Abdul-Malik Abu Defensive Rebound.,44,50
17:45,152,Abdul-Malik Abu made Layup. Assisted by BeeJay Anya.,44,52
17:45,2217,Foul on Matija Milin.,44,52
17:45,152,Abdul-Malik Abu made Free Throw.,44,53
17:34,2217,Tyler Nelson made Three Point Jumper.,47,53
17:15,152,BeeJay Anya missed Layup.,47,53
17:15,2217,Amadou Sidibe Defensive Rebound.,47,53
17:04,2217,Matija Milin missed Three Point Jumper.,47,53
17:04,152,BeeJay Anya Defensive Rebound.,47,53
16:37,152,Torin Dorn Turnover.,47,53
16:36,2217,Amadou Sidibe Steal.,47,53
16:31,2217,Curtis Cobb missed Three Point Jumper.,47,53
16:31,152,Terry Henderson Defensive Rebound.,47,53
16:20,152,Dennis Smith Jr. made Three Point Jumper. Assisted by Terry Henderson.,47,56
16:03,2217,Tyler Nelson missed Three Point Jumper.,47,56
16:03,152,Terry Henderson Defensive Rebound.,47,56
15:51,152,Official TV Timeout,47,56
15:51,2217,Foul on Curtis Cobb.,47,56
15:50,2217,Foul on Amadou Sidibe.,47,56
15:50,152,Torin Dorn made Free Throw.,47,57
15:50,152,Torin Dorn made Free Throw.,47,58
15:37,2217,Jerry Johnson Jr. missed Three Point Jumper.,47,58
15:37,2217,Amadou Sidibe Offensive Rebound.,47,58
15:25,2217,Jonathan Kasibabu made Layup. Assisted by Tyler Nelson.,49,58
15:15,152,Terry Henderson made Three Point Jumper. Assisted by Dennis Smith Jr..,49,61
15:06,2217,Matija Milin made Layup. Assisted by Jerry Johnson Jr..,51,61
14:46,2217,Foul on Jonathan Kasibabu.,51,61
14:46,152,Terry Henderson made Free Throw.,51,62
14:46,152,Terry Henderson made Free Throw.,51,63
14:26,152,Foul on Omer Yurtseven.,51,63
14:16,2217,Tyler Nelson missed Layup.,51,63
14:16,152,Omer Yurtseven Block.,51,63
14:14,152,Maverick Rowan Defensive Rebound.,51,63
14:01,152,Omer Yurtseven Turnover.,51,63
14:01,152,Foul on Omer Yurtseven.,51,63
13:44,2217,Curtis Cobb missed Three Point Jumper.,51,63
13:44,152,Dennis Smith Jr. Defensive Rebound.,51,63
13:36,152,Terry Henderson missed Jumper.,51,63
13:36,2217,Matija Milin Defensive Rebound.,51,63
13:27,2217,Jonathan Kasibabu Turnover.,51,63
13:27,2217,Foul on Jonathan Kasibabu.,51,63
13:12,2217,Foul on Amadou Sidibe.,51,63
13:12,152,Terry Henderson made Free Throw.,51,64
13:12,152,Terry Henderson made Free Throw.,51,65
13:02,152,Foul on Markell Johnson.,51,65
12:51,152,Foul on Maverick Rowan.,51,65
12:43,2217,Jerry Johnson Jr. made Layup.,53,65
12:42,2217,Fairfield  Timeout,53,65
12:28,2217,Foul on Jerry Johnson Jr..,53,65
12:28,152,Ted Kapita made Free Throw.,53,66
12:28,152,Ted Kapita made Free Throw.,53,67
12:19,2217,Matija Milin made Layup. Assisted by Curtis Cobb.,55,67
12:00,152,Ted Kapita missed Jumper.,55,67
12:00,152,Maverick Rowan Offensive Rebound.,55,67
11:52,152,Terry Henderson missed Jumper.,55,67
11:52,152,Markell Johnson Offensive Rebound.,55,67
11:49,152,Markell Johnson made Two Point Tip Shot.,55,69
11:40,2217,Curtis Cobb made Layup.,57,69
11:25,152,Omer Yurtseven made Jumper. Assisted by Markell Johnson.,57,71
11:10,152,Foul on Omer Yurtseven.,57,71
11:10,152,Official TV Timeout,57,71
11:10,2217,Curtis Cobb made Free Throw.,58,71
11:10,2217,Curtis Cobb made Free Throw.,59,71
10:44,152,Omer Yurtseven missed Jumper.,59,71
10:44,152,NC State Offensive Rebound.,59,71
10:17,152,Omer Yurtseven made Layup. Assisted by Maverick Rowan.,59,73
10:10,2217,Curtis Cobb Turnover.,59,73
10:10,152,Markell Johnson Steal.,59,73
10:10,2217,Foul on Tyler Nelson.,59,73
10:02,152,Ted Kapita Turnover.,59,73
10:01,2217,Tyler Nelson Steal.,59,73
9:54,2217,Tyler Nelson made Three Point Jumper. Assisted by Jerry Johnson Jr..,62,73
9:41,152,Maverick Rowan missed Three Point Jumper.,62,73
9:41,2217,Jonathan Kasibabu Defensive Rebound.,62,73
9:29,2217,Tyler Nelson missed Jumper.,62,73
9:29,152,NC State Defensive Rebound.,62,73
9:28,2217,Foul on Amadou Sidibe.,62,73
9:28,152,Omer Yurtseven missed Free Throw.,62,73
9:28,152,NC State Deadball Team Rebound.,62,73
9:28,152,Omer Yurtseven missed Free Throw.,62,73
9:28,2217,Jonathan Kasibabu Defensive Rebound.,62,73
9:15,2217,Curtis Cobb missed Layup.,62,73
9:15,152,Omer Yurtseven Defensive Rebound.,62,73
8:46,152,Dennis Smith Jr. made Layup.,62,75
8:30,2217,Jonathan Kasibabu made Three Point Jumper. Assisted by Tyler Nelson.,65,75
8:12,152,Abdul-Malik Abu made Jumper. Assisted by Dennis Smith Jr..,65,77
8:02,2217,Jonathan Kasibabu missed Layup.,65,77
8:02,152,Abdul-Malik Abu Defensive Rebound.,65,77
7:48,152,Dennis Smith Jr. made Three Point Jumper. Assisted by Terry Henderson.,65,80
7:42,2217,Fairfield  Timeout,65,80
7:42,152,Official TV Timeout,65,80
7:31,2217,Jerry Johnson Jr. missed Three Point Jumper.,65,80
7:31,2217,Curtis Cobb Offensive Rebound.,65,80
7:25,2217,Jerry Johnson Jr. missed Three Point Jumper.,65,80
7:25,152,Abdul-Malik Abu Defensive Rebound.,65,80
7:17,152,Dennis Smith Jr. Turnover.,65,80
6:59,2217,Tyler Nelson missed Three Point Jumper.,65,80
6:59,152,Torin Dorn Defensive Rebound.,65,80
6:48,152,Dennis Smith Jr. made Three Point Jumper. Assisted by Torin Dorn.,65,83
6:35,2217,Curtis Cobb missed Three Point Jumper.,65,83
6:35,152,Dennis Smith Jr. Defensive Rebound.,65,83
6:26,152,Dennis Smith Jr. missed Three Point Jumper.,65,83
6:26,2217,Deniz Celen Defensive Rebound.,65,83
6:10,2217,Curtis Cobb Turnover.,65,83
5:51,152,Abdul-Malik Abu made Jumper. Assisted by Omer Yurtseven.,65,85
5:32,2217,Jerry Johnson Jr. missed Three Point Jumper.,65,85
5:32,152,Omer Yurtseven Defensive Rebound.,65,85
5:26,152,Dennis Smith Jr. Turnover.,65,85
5:25,2217,Curtis Cobb Steal.,65,85
5:21,2217,Tyler Nelson missed Three Point Jumper.,65,85
5:21,152,Dennis Smith Jr. Defensive Rebound.,65,85
5:15,152,Abdul-Malik Abu missed Jumper.,65,85
5:15,2217,Jerry Johnson Jr. Defensive Rebound.,65,85
5:09,2217,Jerry Johnson Jr. missed Layup.,65,85
5:09,152,Terry Henderson Defensive Rebound.,65,85
4:59,152,Abdul-Malik Abu made Layup. Assisted by Dennis Smith Jr..,65,87
4:49,2217,Jonathan Kasibabu missed Three Point Jumper.,65,87
4:49,152,Abdul-Malik Abu Defensive Rebound.,65,87
4:40,152,Terry Henderson made Three Point Jumper. Assisted by Dennis Smith Jr..,65,90
4:28,2217,Tyler Nelson made Jumper.,67,90
4:24,2217,Fairfield  Timeout,67,90
4:24,152,Official TV Timeout,67,90
4:15,152,Torin Dorn made Jumper. Assisted by Dennis Smith Jr..,67,92
3:56,2217,Curtis Cobb missed Jumper.,67,92
3:56,152,Dennis Smith Jr. Defensive Rebound.,67,92
3:41,152,Omer Yurtseven made Jumper. Assisted by Torin Dorn.,67,94
3:33,2217,Curtis Cobb missed Jumper.,67,94
3:33,152,Abdul-Malik Abu Defensive Rebound.,67,94
3:12,152,Omer Yurtseven made Layup. Assisted by Abdul-Malik Abu.,67,96
2:48,2217,Matija Milin Turnover.,67,96
2:37,152,Darius Hicks Turnover.,67,96
2:36,2217,Deniz Celen Steal.,67,96
2:19,2217,Olivier Cadieux missed Three Point Jumper.,67,96
2:19,2217,Deniz Celen Offensive Rebound.,67,96
2:13,2217,Olivier Cadieux missed Layup.,67,96
2:13,152,Darius Hicks Block.,67,96
2:10,152,Omer Yurtseven Defensive Rebound.,67,96
2:01,152,Terry Henderson missed Three Point Jumper.,67,96
2:01,2217,Tyler Nelson Defensive Rebound.,67,96
1:55,152,Foul on Terry Henderson.,67,96
1:55,2217,Tyler Nelson made Free Throw.,68,96
1:55,2217,Tyler Nelson made Free Throw.,69,96
1:33,152,Markell Johnson Turnover.,69,96
1:32,2217,Matija Milin Steal.,69,96
1:24,2217,Matija Milin made Layup.,71,96
1:14,2217,Foul on Jerome Segura.,71,96
1:14,152,Markell Johnson missed Free Throw.,71,96
1:14,152,NC State Deadball Team Rebound.,71,96
1:14,152,Markell Johnson made Free Throw.,71,97
1:00,2217,Andrew Leone made Three Point Jumper. Assisted by Thomas Nolan.,74,97
0:48,152,Shaun Kirk missed Three Point Jumper.,74,97
0:48,2217,Olivier Cadieux Defensive Rebound.,74,97
0:45,152,Foul on Tucker Thompson.,74,97
0:45,2217,Olivier Cadieux made Free Throw.,75,97
0:45,2217,Olivier Cadieux made Free Throw.,76,97
0:24,152,Shaun Kirk made Layup. Assisted by Darius Hicks.,76,99
0:10,2217,Deniz Celen made Layup. Assisted by Andrew Leone.,78,99
0:01,152,Chris Corchiani Jr. missed Jumper.,78,99
0:01,2217,Deniz Celen Defensive Rebound.,78,99
0:00,152,End of Game,78,99
