South Dakota,147,Montana State,233
12:26,233,Tyler Peterson missed Free Throw.,46,54
12:26,147,Sam Neumann Defensive Rebound.,46,54
12:09,147,Quinton Everett missed Three Point Jumper.,46,54
12:09,233,Triston Simpson Defensive Rebound.,46,54
12:08,147,Foul on Sam Neumann.,46,54
11:53,147,Devonte Klines Steal.,46,54
11:53,233,Triston Simpson Turnover.,46,54
11:53,233,Foul on Triston Simpson.,46,54
11:53,147,Official TV Timeout,46,54
11:43,147,Sam Neumann Turnover.,46,54
11:34,147,Foul on Quinton Everett.,46,54
11:34,233,Trey Dickerson missed Free Throw.,46,54
11:34,233,South Dakota Deadball Team Rebound.,46,54
11:34,233,Trey Dickerson made Free Throw.,47,54
11:23,233,Carlton Hurst made Free Throw.,48,54
11:23,233,Carlton Hurst made Free Throw.,49,54
11:23,233,Foul on Carlton Hurst.,49,54
11:22,147,Sam Neumann missed Free Throw.,49,54
11:22,233,Foul on Austin Sparks.,49,54
11:22,233,Tyler Peterson Defensive Rebound.,49,54
11:21,147,Sam Neumann missed Free Throw.,49,54
11:21,147,Montana St Deadball Team Rebound.,49,54
11:20,147,Foul on Zach Green.,49,54
11:20,147,Tyler Hall made Free Throw.,49,55
11:20,147,Tyler Hall made Free Throw.,49,56
11:12,233,Trey Dickerson missed Layup.,49,56
11:12,147,Harald Frey Defensive Rebound.,49,56
11:05,233,Foul on Tyler Peterson.,49,56
11:05,147,Zach Green missed Free Throw.,49,56
11:05,147,Montana St Deadball Team Rebound.,49,56
11:05,147,Zach Green made Free Throw.,49,57
10:54,233,Trey Dickerson made Three Point Jumper. Assisted by Tyler Flack.,52,57
10:22,147,Zach Green missed Jumper.,52,57
10:22,147,Montana St Offensive Rebound.,52,57
10:07,147,Devonte Klines missed Layup.,52,57
10:07,233,Tyler Flack Defensive Rebound.,52,57
10:00,147,Foul on Benson Osayande.,52,57
10:00,233,Trey Burch-Manning missed Free Throw.,52,57
10:00,233,South Dakota Deadball Team Rebound.,52,57
10:00,233,Trey Burch-Manning missed Free Throw.,52,57
10:00,233,Tyler Flack Offensive Rebound.,52,57
9:55,233,Triston Simpson made Three Point Jumper. Assisted by Tyler Flack.,55,57
9:52,147,Montana St  Timeout,55,57
9:25,147,Tyler Hall Turnover.,55,57
9:07,233,Triston Simpson made Layup.,57,57
9:07,147,Foul on Zach Green.,57,57
9:07,233,Triston Simpson made Free Throw.,58,57
8:49,147,Quinton Everett missed Jumper.,58,57
8:49,233,Tyler Flack Defensive Rebound.,58,57
8:43,233,Matt Mooney made Layup. Assisted by Trey Dickerson.,60,57
8:16,147,Devonte Klines missed Jumper.,60,57
8:16,233,Tyler Flack Block.,60,57
8:14,233,Matt Mooney Defensive Rebound.,60,57
8:08,233,Trey Dickerson missed Layup.,60,57
8:08,233,Trey Dickerson Offensive Rebound.,60,57
8:05,233,Trey Dickerson made Layup.,62,57
7:46,147,Quinton Everett Turnover.,62,57
7:44,233,Trey Burch-Manning Steal.,62,57
7:41,233,Matt Mooney made Layup.,64,57
7:39,147,Montana St  Timeout,64,57
7:19,147,Quinton Everett missed Three Point Jumper.,64,57
7:19,233,Trey Burch-Manning Defensive Rebound.,64,57
6:54,233,Trey Dickerson missed Three Point Jumper.,64,57
6:54,147,Devonte Klines Defensive Rebound.,64,57
6:51,233,Foul on Austin Sparks.,64,57
6:51,147,Devonte Klines missed Free Throw.,64,57
6:51,147,Montana St Deadball Team Rebound.,64,57
6:51,147,Devonte Klines missed Free Throw.,64,57
6:51,233,Trey Burch-Manning Defensive Rebound.,64,57
6:33,233,Trey Burch-Manning Turnover.,64,57
6:17,147,Tyler Hall Turnover.,64,57
5:56,233,Matt Mooney made Three Point Jumper. Assisted by Trey Burch-Manning.,67,57
5:36,147,Harald Frey missed Three Point Jumper.,67,57
5:36,233,Trey Burch-Manning Defensive Rebound.,67,57
5:16,233,Austin Sparks made Layup. Assisted by Trey Dickerson.,69,57
4:57,147,Harald Frey made Layup.,69,59
4:57,233,Foul on Trey Dickerson.,69,59
4:57,147,Harald Frey missed Free Throw.,69,59
4:57,233,Triston Simpson Defensive Rebound.,69,59
4:27,233,Triston Simpson missed Jumper.,69,59
4:27,147,Sam Neumann Defensive Rebound.,69,59
4:19,233,Foul on Triston Simpson.,69,59
4:19,147,Tyler Hall made Free Throw.,69,60
4:19,147,Tyler Hall made Free Throw.,69,61
4:08,233,Matt Mooney made Three Point Jumper. Assisted by Triston Simpson.,72,61
3:51,147,Devonte Klines missed Layup.,72,61
3:51,233,Tyler Flack Defensive Rebound.,72,61
3:25,233,Matt Mooney missed Three Point Jumper.,72,61
3:25,147,Montana St Defensive Rebound.,72,61
3:22,147,Official TV Timeout,72,61
3:10,147,Devonte Klines Turnover.,72,61
2:53,233,Trey Dickerson made Layup.,74,61
2:29,147,Zach Green made Three Point Jumper. Assisted by Devonte Klines.,74,64
2:06,233,Tyler Flack Turnover.,74,64
2:05,147,Devonte Klines Steal.,74,64
1:51,147,Harald Frey made Layup.,74,66
1:24,233,Matt Mooney made Jumper.,76,66
1:11,147,Tyler Hall made Jumper.,76,68
1:06,147,Foul on Harald Frey.,76,68
1:06,233,Matt Mooney made Free Throw.,77,68
1:06,233,Matt Mooney made Free Throw.,78,68
0:59,147,Zach Green Turnover.,78,68
0:48,147,Foul on Tyler Hall.,78,68
0:48,233,Matt Mooney made Free Throw.,79,68
0:48,233,Matt Mooney made Free Throw.,80,68
0:48,233,South Dakota  Timeout,80,68
0:28,147,Devonte Klines missed Three Point Jumper.,80,68
0:28,233,Triston Simpson Defensive Rebound.,80,68
0:00,147,End of Game,80,68
