Norfolk State,339,Evansville,2450
6:50,339,Ryan Taylor missed Free Throw.,19,30
6:50,2450,Kyle Williams Defensive Rebound.,19,30
6:37,2450,Kyle Williams missed Layup.,19,30
6:37,2450,Alex Long Offensive Rebound.,19,30
6:30,2450,Alex Long made Layup.,21,30
6:28,339,Foul on David Howard.,21,30
6:28,339,David Howard Turnover.,21,30
6:04,2450,Alex Long missed Jumper.,21,30
6:04,339,Jaylon Brown Defensive Rebound.,21,30
5:41,339,Jaylon Brown missed Three Point Jumper.,21,30
5:41,339,Dalen Traore Offensive Rebound.,21,30
5:39,339,Dalen Traore Turnover.,21,30
5:24,2450,Kerwin Okoro missed Three Point Jumper.,21,30
5:24,339,Jaylon Brown Defensive Rebound.,21,30
5:14,2450,Foul on Zaynah Robinson.,21,30
5:14,339,Dru Smith made Free Throw.,21,31
5:14,339,Dru Smith made Free Throw.,21,32
4:50,2450,Jonathan Wade missed Three Point Jumper.,21,32
4:50,339,Christian Benzon Defensive Rebound.,21,32
4:40,2450,Foul on Stavian Allen.,21,32
4:40,339,Dalen Traore missed Free Throw.,21,32
4:40,339,Evansville Deadball Team Rebound.,21,32
4:40,339,Dalen Traore missed Free Throw.,21,32
4:40,2450,Stavian Allen Defensive Rebound.,21,32
4:17,2450,Kyle Williams missed Three Point Jumper.,21,32
4:17,339,Evansville Defensive Rebound.,21,32
4:14,2450,Foul on Stavian Allen.,21,32
4:14,339,Ryan Taylor made Free Throw.,21,33
4:14,339,Ryan Taylor made Free Throw.,21,34
3:55,2450,Zaynah Robinson missed Three Point Jumper.,21,34
3:55,339,Jaylon Brown Defensive Rebound.,21,34
3:45,339,Jaylon Brown made Layup.,21,36
3:28,2450,Kyle Williams made Three Point Jumper. Assisted by Zaynah Robinson.,24,36
2:58,339,Jaylon Brown missed Jumper.,24,36
2:58,2450,Alex Long Defensive Rebound.,24,36
2:53,339,Foul on Dru Smith.,24,36
2:53,339,Official TV Timeout,24,36
2:51,339,Foul on Dalen Traore.,24,36
2:49,2450,Foul on Alex Long.,24,36
2:49,2450,Alex Long Turnover.,24,36
2:24,339,David Howard made Layup. Assisted by Dru Smith.,24,38
2:10,2450,Alex Long Turnover.,24,38
1:59,339,Jaylon Brown made Jumper. Assisted by Ryan Taylor.,24,40
1:46,339,Foul on Ryan Taylor.,24,40
1:35,2450,Alex Brown made Three Point Jumper. Assisted by Carrington Ward.,27,40
1:16,339,David Howard made Layup. Assisted by Christian Benzon.,27,42
1:01,2450,Carrington Ward missed Three Point Jumper.,27,42
1:01,339,Christian Benzon Defensive Rebound.,27,42
0:45,339,Dru Smith Turnover.,27,42
0:44,2450,Kyle Williams Steal.,27,42
0:43,2450,Kyle Williams Turnover.,27,42
0:41,339,Ryan Taylor Steal.,27,42
0:22,339,Christian Benzon missed Layup.,27,42
0:22,339,David Howard Offensive Rebound.,27,42
0:19,339,David Howard made Two Point Tip Shot.,27,44
0:03,2450,Kyle Williams missed Three Point Jumper.,27,44
0:03,339,Christian Benzon Defensive Rebound.,27,44
0:00,339,End of 1st half,27,44
19:35,2450,Zaynah Robinson made Three Point Jumper. Assisted by Jonathan Wade.,30,44
19:13,2450,Foul on Zaynah Robinson.,30,44
19:13,339,Jaylon Brown made Free Throw.,30,45
19:13,339,Jaylon Brown made Free Throw.,30,46
18:59,339,Foul on Sergej Vucetic.,30,46
18:59,2450,Alex Long missed Free Throw.,30,46
18:59,2450,Norfolk St Deadball Team Rebound.,30,46
18:59,2450,Alex Long made Free Throw.,31,46
18:52,339,Dru Smith missed Three Point Jumper.,31,46
18:52,2450,Zaynah Robinson Defensive Rebound.,31,46
18:46,339,Foul on Dru Smith.,31,46
18:41,339,Foul on David Howard.,31,46
18:41,2450,Jonathan Wade made Free Throw.,32,46
18:41,2450,Jonathan Wade made Free Throw.,33,46
18:30,2450,Foul on Dan Robinson.,33,46
18:30,339,Ryan Taylor missed Free Throw.,33,46
18:30,339,Evansville Deadball Team Rebound.,33,46
18:30,339,Ryan Taylor made Free Throw.,33,47
18:02,2450,Dan Robinson missed Jumper.,33,47
18:02,339,Christian Benzon Defensive Rebound.,33,47
18:00,2450,Foul on Alex Long.,33,47
17:48,339,Ryan Taylor made Three Point Jumper. Assisted by Jaylon Brown.,33,50
17:19,2450,Jonathan Wade missed Three Point Jumper.,33,50
17:19,339,Christian Benzon Defensive Rebound.,33,50
17:08,339,Sergej Vucetic made Jumper.,33,52
16:54,2450,Foul on Alex Long.,33,52
16:54,2450,Alex Long Turnover.,33,52
16:33,339,Dru Smith missed Jumper.,33,52
16:33,2450,Dan Robinson Defensive Rebound.,33,52
16:31,339,Foul on Dru Smith.,33,52
16:14,2450,Jonathan Wade made Layup.,35,52
15:53,339,Sergej Vucetic made Dunk. Assisted by Christian Benzon.,35,54
15:39,2450,Zaynah Robinson made Three Point Jumper.,38,54
15:36,2450,Norfolk St  Timeout,38,54
15:28,2450,Foul on Alex Brown.,38,54
15:28,339,Official TV Timeout,38,54
15:23,339,Ryan Taylor made Three Point Jumper. Assisted by Jaylon Brown.,38,57
15:02,2450,Alex Long missed Jumper.,38,57
15:02,339,Ryan Taylor Defensive Rebound.,38,57
14:41,339,Jaylon Brown Turnover.,38,57
14:40,2450,Zaynah Robinson Steal.,38,57
14:36,339,Foul on Ryan Taylor.,38,57
14:33,339,Foul on Christian Benzon.,38,57
14:25,2450,Alex Brown missed Three Point Jumper.,38,57
14:25,339,Evansville Defensive Rebound.,38,57
14:05,339,Solomon Hainna missed Jumper.,38,57
14:05,2450,Stavian Allen Block.,38,57
14:03,2450,Stavian Allen Defensive Rebound.,38,57
13:59,339,Foul on Jaylon Brown.,38,57
13:59,2450,Alex Brown missed Free Throw.,38,57
13:59,2450,Norfolk St Deadball Team Rebound.,38,57
13:59,2450,Alex Brown made Free Throw.,39,57
13:41,2450,Foul on Dan Robinson.,39,57
13:39,339,Ryan Taylor missed Three Point Jumper.,39,57
13:39,2450,Alex Brown Defensive Rebound.,39,57
13:26,2450,Jonathan Wade missed Three Point Jumper.,39,57
13:26,339,Christian Benzon Defensive Rebound.,39,57
13:22,2450,Foul on Alex Brown.,39,57
13:22,339,Christian Benzon missed Free Throw.,39,57
13:22,2450,Alex Brown Defensive Rebound.,39,57
13:10,2450,Zaynah Robinson made Layup.,41,57
12:58,339,Jaylon Brown missed Layup.,41,57
12:58,2450,Alex Long Block.,41,57
12:56,2450,Norfolk St Defensive Rebound.,41,57
12:48,2450,Zaynah Robinson missed Three Point Jumper.,41,57
12:48,339,David Howard Defensive Rebound.,41,57
12:23,2450,Foul on Alex Long.,41,57
12:23,339,Jaylon Brown made Free Throw.,41,58
12:23,339,Jaylon Brown made Free Throw.,41,59
12:10,2450,Kerwin Okoro made Layup.,43,59
12:10,339,Foul on David Howard.,43,59
12:10,2450,Kerwin Okoro missed Free Throw.,43,59
12:10,339,Solomon Hainna Defensive Rebound.,43,59
11:55,339,Foul on Dalen Traore.,43,59
11:55,339,Dalen Traore Turnover.,43,59
11:55,339,Official TV Timeout,43,59
11:46,2450,Dan Robinson Turnover.,43,59
11:16,339,Ryan Taylor made Three Point Jumper. Assisted by Christian Benzon.,43,62
10:52,2450,Kerwin Okoro missed Three Point Jumper.,43,62
10:52,339,Christian Benzon Defensive Rebound.,43,62
10:40,339,Ryan Taylor missed Jumper.,43,62
10:40,339,Evansville Offensive Rebound.,43,62
10:23,339,Jaylon Brown missed Jumper.,43,62
10:23,339,Solomon Hainna Offensive Rebound.,43,62
10:20,2450,Foul on Kerwin Okoro.,43,62
10:20,339,Solomon Hainna missed Free Throw.,43,62
10:20,2450,Dan Robinson Defensive Rebound.,43,62
10:19,339,Foul on Dalen Traore.,43,62
10:19,2450,Dan Robinson missed Free Throw.,43,62
10:19,2450,Norfolk St Deadball Team Rebound.,43,62
10:19,2450,Dan Robinson made Free Throw.,44,62
10:08,339,Jaylon Brown missed Layup.,44,62
10:08,2450,Dan Robinson Block.,44,62
10:06,2450,Dan Robinson Defensive Rebound.,44,62
10:03,2450,Stavian Allen missed Free Throw.,44,62
10:03,2450,Norfolk St Deadball Team Rebound.,44,62
10:03,2450,Stavian Allen made Free Throw.,45,62
9:42,2450,Foul on Zaynah Robinson.,45,62
9:42,339,Sergej Vucetic made Free Throw.,45,63
9:42,339,Sergej Vucetic made Free Throw.,45,64
9:26,2450,Zaynah Robinson made Three Point Jumper. Assisted by Kyle Williams.,48,64
9:23,2450,Norfolk St  Timeout,48,64
9:16,2450,Foul on Kyle Williams.,48,64
9:16,339,Christian Benzon missed Free Throw.,48,64
9:16,339,Evansville Deadball Team Rebound.,48,64
9:16,339,Christian Benzon missed Free Throw.,48,64
9:16,2450,Stavian Allen Defensive Rebound.,48,64
9:04,2450,Zaynah Robinson made Three Point Jumper.,51,64
8:38,2450,Foul on Jonathan Wade.,51,64
8:38,339,Christian Benzon made Free Throw.,51,65
8:38,339,Christian Benzon missed Free Throw.,51,65
8:38,2450,Stavian Allen Defensive Rebound.,51,65
8:24,2450,Stavian Allen made Three Point Jumper. Assisted by Zaynah Robinson.,54,65
8:09,339,Ryan Taylor made Layup.,54,67
7:54,2450,Foul on Dan Robinson.,54,67
7:54,2450,Dan Robinson Turnover.,54,67
7:54,339,Official TV Timeout,54,67
7:44,2450,Foul on Micah Goss.,54,67
7:44,339,Jaylon Brown made Free Throw.,54,68
7:44,339,Jaylon Brown made Free Throw.,54,69
7:20,2450,Jonathan Wade made Three Point Jumper. Assisted by Micah Goss.,57,69
6:48,2450,Foul on Stavian Allen.,57,69
6:48,339,Solomon Hainna made Free Throw.,57,70
6:48,339,Solomon Hainna made Free Throw.,57,71
6:27,2450,Jonathan Wade Turnover.,57,71
6:17,339,David Howard missed Jumper.,57,71
6:17,2450,Alex Long Block.,57,71
6:15,2450,Stavian Allen Defensive Rebound.,57,71
6:11,339,Foul on Jaylon Brown.,57,71
6:11,2450,Jonathan Wade made Free Throw.,58,71
6:11,2450,Jonathan Wade made Free Throw.,59,71
5:53,339,David Howard Turnover.,59,71
5:29,2450,Zaynah Robinson missed Jumper.,59,71
5:29,2450,Jonathan Wade Offensive Rebound.,59,71
5:25,2450,Jonathan Wade made Layup.,61,71
5:00,339,Solomon Hainna Turnover.,61,71
4:58,2450,Jonathan Wade Steal.,61,71
4:56,2450,Jonathan Wade Turnover.,61,71
4:54,339,Solomon Hainna Steal.,61,71
4:52,339,Solomon Hainna made Layup.,61,73
4:35,2450,Zaynah Robinson made Three Point Jumper.,64,73
4:02,339,Ryan Taylor made Jumper.,64,75
3:43,2450,Micah Goss missed Three Point Jumper.,64,75
3:43,339,Evansville Defensive Rebound.,64,75
3:43,2450,Foul on Stavian Allen.,64,75
3:43,339,Official TV Timeout,64,75
3:43,339,Dru Smith made Free Throw.,64,76
3:43,339,Dru Smith made Free Throw.,64,77
3:25,2450,Jonathan Wade Turnover.,64,77
2:59,339,Foul on Jaylon Brown.,64,77
2:59,339,Jaylon Brown Turnover.,64,77
2:42,2450,Stavian Allen Turnover.,64,77
2:40,339,Ryan Taylor Steal.,64,77
2:33,339,Jaylon Brown made Layup.,64,79
2:24,2450,Zaynah Robinson missed Three Point Jumper.,64,79
2:24,339,Solomon Hainna Defensive Rebound.,64,79
2:22,2450,Foul on Alex Long.,64,79
2:22,339,Solomon Hainna made Free Throw.,64,80
2:22,339,Solomon Hainna made Free Throw.,64,81
2:01,2450,Jonathan Wade missed Three Point Jumper.,64,81
2:01,339,Ryan Taylor Defensive Rebound.,64,81
1:41,2450,Foul on Kyle Williams.,64,81
1:41,339,Ryan Taylor made Free Throw.,64,82
1:41,339,Ryan Taylor made Free Throw.,64,83
1:19,2450,Kyle Williams missed Three Point Jumper.,64,83
1:19,339,Solomon Hainna Defensive Rebound.,64,83
0:54,339,Ryan Taylor made Layup.,64,85
0:43,2450,Kerwin Okoro missed Jumper.,64,85
0:43,339,Dalen Traore Defensive Rebound.,64,85
0:24,339,Ryan Taylor missed Three Point Jumper.,64,85
0:24,2450,Stavian Allen Defensive Rebound.,64,85
0:17,2450,Foul on Carrington Ward.,64,85
0:17,2450,Zaynah Robinson made Free Throw.,65,85
0:17,2450,Zaynah Robinson made Free Throw.,66,85
0:17,2450,Norfolk St  Timeout,66,85
0:00,339,End of Game,66,85
