LIU Brooklyn,135,Minnesota,2341
1:34,2341,LIU Brooklyn Defensive Rebound.,22,33
1:34,135,Foul on Bakary Konate.,22,33
1:16,2341,Jerome Frink missed Jumper.,22,33
1:13,135,Bakary Konate Defensive Rebound.,22,33
1:04,135,Akeem Springs made Three Point Jumper. Assisted by Nate Mason.,22,36
0:44,2341,Iverson Fleming made Jumper.,24,36
0:16,135,Nate Mason missed Jumper.,24,36
0:12,135,Eric Curry Offensive Rebound.,24,36
0:11,135,Eric Curry missed Jumper.,24,36
0:09,2341,Iverson Fleming Turnover.,24,36
0:07,2341,Iverson Fleming Defensive Rebound.,24,36
0:04,2341,Foul on Iverson Fleming.,24,36
0:04,135,Nate Mason made Free Throw.,24,37
0:04,135,Nate Mason made Free Throw.,24,38
0:00,135,End of 1st half,24,38
19:41,2341,Foul on Nura Zanna.,24,38
19:39,135,Akeem Springs missed Jumper.,24,38
19:36,2341,Jerome Frink Defensive Rebound.,24,38
19:17,2341,Iverson Fleming made Three Point Jumper. Assisted by Julius van Sauers.,27,38
19:08,135,Foul on Jordan Murphy.,27,38
19:08,135,Jordan Murphy Turnover.,27,38
18:47,2341,Jashaun Agosto made Three Point Jumper. Assisted by Julius van Sauers.,30,38
18:33,135,Jordan Murphy missed Layup.,30,38
18:33,2341,Jerome Frink Block.,30,38
18:29,2341,Iverson Fleming Defensive Rebound.,30,38
18:24,2341,Iverson Fleming made Three Point Jumper.,33,38
18:05,135,Reggie Lynch missed Layup.,33,38
18:02,2341,Julius van Sauers Defensive Rebound.,33,38
17:51,2341,Iverson Fleming made Three Point Jumper.,36,38
17:48,135,Minnesota  Timeout,36,38
17:38,135,Dupree McBrayer made Layup.,36,40
17:07,2341,Jashaun Agosto Turnover.,36,40
17:07,135,Nate Mason Steal.,36,40
16:54,135,Reggie Lynch missed Layup.,36,40
16:50,2341,Nura Zanna Defensive Rebound.,36,40
16:28,2341,Julius van Sauers missed Jumper.,36,40
16:28,135,Reggie Lynch Block.,36,40
16:21,135,Akeem Springs Defensive Rebound.,36,40
16:16,135,Jordan Murphy missed Layup.,36,40
16:16,2341,Iverson Fleming Block.,36,40
16:16,135,Minnesota Offensive Rebound.,36,40
16:12,135,Nate Mason missed Jumper.,36,40
16:09,2341,Julius van Sauers Defensive Rebound.,36,40
15:44,2341,Jashaun Agosto missed Three Point Jumper.,36,40
15:41,135,Jordan Murphy Defensive Rebound.,36,40
15:32,2341,Foul on Jashaun Agosto.,36,40
15:32,135,Official TV Timeout,36,40
15:26,135,Reggie Lynch made Dunk. Assisted by Nate Mason.,36,42
15:08,2341,Iverson Fleming made Three Point Jumper. Assisted by Julian Batts.,39,42
14:50,135,Akeem Springs made Three Point Jumper. Assisted by Dupree McBrayer.,39,45
14:22,2341,Iverson Fleming missed Layup.,39,45
14:22,135,Reggie Lynch Block.,39,45
14:21,2341,Raiquan Clark Offensive Rebound.,39,45
14:21,2341,Raiquan Clark Turnover.,39,45
14:09,2341,Foul on Raiquan Clark.,39,45
14:01,135,Jordan Murphy made Layup.,39,47
13:47,2341,Iverson Fleming Turnover.,39,47
13:47,2341,LIU Brooklyn  Timeout,39,47
13:35,135,Jordan Murphy missed Jumper.,39,47
13:33,2341,LIU Brooklyn Defensive Rebound.,39,47
13:07,135,Foul on Akeem Springs.,39,47
12:48,2341,Julius van Sauers missed Three Point Jumper.,39,47
12:45,135,Jordan Murphy Defensive Rebound.,39,47
12:37,135,Jordan Murphy made Jumper. Assisted by Nate Mason.,39,49
12:19,2341,Nura Zanna made Layup. Assisted by Julius van Sauers.,41,49
12:10,135,Eric Curry made Jumper. Assisted by Akeem Springs.,41,51
12:00,2341,Iverson Fleming missed Three Point Jumper.,41,51
11:58,135,Eric Curry Defensive Rebound.,41,51
11:52,135,Dupree McBrayer missed Jumper.,41,51
11:49,2341,Nura Zanna Defensive Rebound.,41,51
11:41,2341,Jashaun Agosto made Jumper. Assisted by Julius van Sauers.,43,51
11:25,135,Nate Mason missed Jumper.,43,51
11:21,135,Nate Mason Offensive Rebound.,43,51
11:18,135,Nate Mason made Three Point Jumper. Assisted by Akeem Springs.,43,54
10:58,2341,Iverson Fleming missed Jumper.,43,54
10:58,135,Dupree McBrayer Block.,43,54
10:55,2341,Iverson Fleming Offensive Rebound.,43,54
10:55,135,Foul on Nate Mason.,43,54
10:55,135,Official TV Timeout,43,54
10:45,2341,Jashaun Agosto missed Jumper.,43,54
10:42,2341,Nura Zanna Offensive Rebound.,43,54
10:42,135,Foul on Dupree McBrayer.,43,54
10:42,2341,Nura Zanna made Free Throw.,44,54
10:42,2341,Nura Zanna made Free Throw.,45,54
10:26,135,Dupree McBrayer made Layup.,45,56
10:05,2341,Nura Zanna missed Layup.,45,56
10:05,135,Eric Curry Block.,45,56
10:03,135,Jordan Murphy Defensive Rebound.,45,56
9:57,135,Nate Mason made Jumper.,45,58
9:29,2341,Jerome Frink made Layup. Assisted by Julian Batts.,47,58
9:12,135,Dupree McBrayer made Layup.,47,60
8:54,2341,Julius van Sauers made Three Point Jumper. Assisted by Julian Batts.,50,60
8:35,135,Eric Curry missed Three Point Jumper.,50,60
8:32,2341,Jerome Frink Defensive Rebound.,50,60
8:29,2341,Iverson Fleming Turnover.,50,60
8:08,135,Dupree McBrayer made Layup. Assisted by Nate Mason.,50,62
7:59,2341,Iverson Fleming made Jumper.,52,62
7:59,2341,LIU Brooklyn  Timeout,52,62
7:31,135,Akeem Springs missed Jumper.,52,62
7:28,135,Michael Hurt Offensive Rebound.,52,62
7:23,135,Dupree McBrayer made Layup. Assisted by Nate Mason.,52,64
7:07,2341,Julian Batts Turnover.,52,64
6:53,135,Dupree McBrayer made Layup.,52,66
6:53,2341,Foul on Julius van Sauers.,52,66
6:53,135,Dupree McBrayer made Free Throw.,52,67
6:37,2341,Julian Batts missed Three Point Jumper.,52,67
6:34,135,Eric Curry Defensive Rebound.,52,67
6:19,135,Akeem Springs Turnover.,52,67
6:04,2341,Jerome Frink missed Jumper.,52,67
6:00,135,Eric Curry Defensive Rebound.,52,67
5:54,135,Michael Hurt missed Jumper.,52,67
5:54,2341,Jerome Frink Block.,52,67
5:54,2341,Nura Zanna Defensive Rebound.,52,67
5:54,135,Foul on Eric Curry.,52,67
5:31,2341,Jerome Frink missed Jumper.,52,67
5:27,2341,Nura Zanna Offensive Rebound.,52,67
5:26,2341,Nura Zanna made Layup.,54,67
5:07,135,Michael Hurt missed Three Point Jumper.,54,67
5:03,2341,Nura Zanna Defensive Rebound.,54,67
4:56,2341,Iverson Fleming made Three Point Jumper.,57,67
4:41,2341,Foul on Julian Batts.,57,67
4:33,135,Eric Curry made Dunk. Assisted by Dupree McBrayer.,57,69
4:09,135,Foul on Dupree McBrayer.,57,69
3:50,2341,Jerome Frink made Jumper.,59,69
3:21,135,Jordan Murphy made Jumper.,59,71
2:59,2341,Jerome Frink made Jumper. Assisted by Jashaun Agosto.,61,71
2:43,135,Nate Mason missed Jumper.,61,71
2:41,2341,Jerome Frink Defensive Rebound.,61,71
2:41,135,Official TV Timeout,61,71
2:24,2341,Jerome Frink missed Jumper.,61,71
2:20,2341,Nura Zanna Offensive Rebound.,61,71
2:19,2341,Nura Zanna made Two Point Tip Shot.,63,71
2:03,135,Dupree McBrayer made Layup.,63,73
1:48,2341,Nura Zanna Turnover.,63,73
1:46,2341,Foul on Julian Batts.,63,73
1:34,135,Eric Curry Turnover.,63,73
1:34,135,Minnesota  Timeout,63,73
1:18,2341,Jashaun Agosto missed Three Point Jumper.,63,73
1:17,135,Minnesota Defensive Rebound.,63,73
1:15,2341,Foul on Jashaun Agosto.,63,73
1:15,135,Nate Mason made Free Throw.,63,74
1:15,135,Nate Mason missed Free Throw.,63,74
1:15,135,Akeem Springs Offensive Rebound.,63,74
1:13,2341,Foul on Julian Batts.,63,74
1:13,135,Akeem Springs made Free Throw.,63,75
1:13,135,Akeem Springs made Free Throw.,63,76
1:13,2341,LIU Brooklyn  Turnover.,63,76
0:51,135,Jordan Murphy missed Three Point Jumper.,63,76
0:47,2341,Ashtyn Bradley Defensive Rebound.,63,76
0:42,2341,Ashtyn Bradley missed Three Point Jumper.,63,76
0:38,135,Dupree McBrayer Defensive Rebound.,63,76
0:15,135,Nate Mason Turnover.,63,76
0:08,2341,Iverson Fleming made Three Point Jumper. Assisted by Jashaun Agosto.,66,76
0:00,135,End of Game,66,76
