Baton Rouge,239,Baylor,2582
13:41,239,King McClure missed Free Throw.,5,21
13:41,2582,Shawn Prudhomme Defensive Rebound.,5,21
13:36,2582,Shawn Prudhomme made Three Point Jumper. Assisted by Tre'lun Banks.,8,21
13:18,239,Johnathan Motley Turnover.,8,21
13:16,239,Baylor  Timeout,8,21
12:51,2582,JaMarcus Weatherspoon Turnover.,8,21
12:45,239,Jake Lindsey made Layup.,8,23
12:38,2582,Shawn Prudhomme missed Layup.,8,23
12:38,239,Jake Lindsey Defensive Rebound.,8,23
12:34,239,Al Freeman Turnover.,8,23
12:34,2582,Tre'lun Banks Steal.,8,23
12:26,2582,Shawn Prudhomme made Layup. Assisted by Tre'lun Banks.,10,23
12:09,239,Johnathan Motley made Jumper. Assisted by Jake Lindsey.,10,25
11:51,239,Foul on Johnathan Motley.,10,25
11:51,239,Official TV Timeout,10,25
11:45,2582,Southern  Timeout,10,25
11:25,2582,Shawn Prudhomme Turnover.,10,25
11:25,239,Nuni Omot Steal.,10,25
10:55,239,Jo Lual-Acuil Jr. made Layup. Assisted by Manu Lecomte.,10,27
10:25,2582,Tre'lun Banks missed Three Point Jumper.,10,27
10:25,2582,Shawn Prudhomme Offensive Rebound.,10,27
10:14,2582,Chris Thomas missed Jumper.,10,27
10:14,239,King McClure Defensive Rebound.,10,27
10:00,239,Jo Lual-Acuil Jr. made Layup.,10,29
10:00,2582,Foul on JaMarcus Weatherspoon.,10,29
10:00,239,Jo Lual-Acuil Jr. missed Free Throw.,10,29
10:00,2582,Shawn Prudhomme Defensive Rebound.,10,29
9:53,2582,Tre'lun Banks missed Jumper.,10,29
9:53,239,Ishmail Wainright Defensive Rebound.,10,29
9:40,239,Manu Lecomte missed Three Point Jumper.,10,29
9:40,2582,Chris Thomas Defensive Rebound.,10,29
9:27,2582,JaMarcus Weatherspoon made Layup.,12,29
8:50,239,Wendell Mitchell made Layup.,12,31
8:37,239,Foul on Manu Lecomte.,12,31
8:36,2582,Tre'lun Banks Turnover.,12,31
8:25,239,Manu Lecomte missed Three Point Jumper.,12,31
8:25,2582,Chris Thomas Defensive Rebound.,12,31
8:13,239,Foul on Wendell Mitchell.,12,31
8:02,2582,Jared Sam made Layup.,14,31
7:50,239,Al Freeman made Layup.,14,33
7:43,2582,Shawn Prudhomme missed Three Point Jumper.,14,33
7:43,2582,Southern Offensive Rebound.,14,33
7:38,239,Official TV Timeout,14,33
7:29,2582,Tre'lun Banks Turnover.,14,33
7:18,239,Al Freeman made Three Point Jumper. Assisted by Manu Lecomte.,14,36
6:56,2582,Chris Thomas missed Three Point Jumper.,14,36
6:56,239,Ishmail Wainright Defensive Rebound.,14,36
6:47,2582,Foul on Chris Thomas.,14,36
6:45,239,Wendell Mitchell missed Three Point Jumper.,14,36
6:45,239,Ishmail Wainright Offensive Rebound.,14,36
6:41,239,Ishmail Wainright made Layup.,14,38
6:14,2582,JaMarcus Weatherspoon Turnover.,14,38
6:14,239,Ishmail Wainright Steal.,14,38
5:59,239,Manu Lecomte made Layup.,14,40
5:43,2582,Jared Sam made Layup. Assisted by Tre'lun Banks.,16,40
5:30,239,Wendell Mitchell Turnover.,16,40
5:13,2582,Jared Sam made Layup.,18,40
4:57,2582,Foul on Patrick Smith.,18,40
4:56,239,King McClure Turnover.,18,40
4:54,2582,Shawn Prudhomme missed Jumper.,18,40
4:54,239,Jake Lindsey Defensive Rebound.,18,40
4:42,239,King McClure missed Jumper.,18,40
4:42,239,Johnathan Motley Offensive Rebound.,18,40
4:33,239,Johnathan Motley made Jumper.,18,42
4:33,2582,Foul on Rashad Andrews.,18,42
4:33,239,Johnathan Motley made Free Throw.,18,43
4:19,2582,Patrick Smith missed Layup.,18,43
4:19,239,Johnathan Motley Block.,18,43
4:19,2582,Patrick Smith Offensive Rebound.,18,43
4:15,2582,Shawn Prudhomme made Three Point Jumper. Assisted by Patrick Smith.,21,43
3:57,239,Johnathan Motley missed Three Point Jumper.,21,43
3:57,2582,Southern Defensive Rebound.,21,43
3:52,239,Official TV Timeout,21,43
3:35,2582,Jared Sam missed Jumper.,21,43
3:35,2582,Jared Sam Offensive Rebound.,21,43
3:30,2582,Jared Sam made Jumper.,23,43
3:06,239,Nuni Omot missed Jumper.,23,43
3:06,2582,Shawn Prudhomme Block.,23,43
3:06,239,Johnathan Motley Offensive Rebound.,23,43
2:56,239,Johnathan Motley missed Jumper.,23,43
2:56,2582,Jared Sam Defensive Rebound.,23,43
2:43,239,Foul on Nuni Omot.,23,43
2:43,2582,Jared Sam made Free Throw.,24,43
2:43,2582,Jared Sam missed Free Throw.,24,43
2:43,239,Baylor Defensive Rebound.,24,43
2:23,239,Ishmail Wainright missed Layup.,24,43
2:23,2582,Patrick Smith Defensive Rebound.,24,43
2:11,2582,Shawn Prudhomme made Layup.,26,43
1:55,239,Nuni Omot made Three Point Jumper. Assisted by Jake Lindsey.,26,46
1:29,2582,Tre'lun Banks missed Three Point Jumper.,26,46
1:29,239,Johnathan Motley Defensive Rebound.,26,46
1:15,2582,Foul on Jared Sam.,26,46
1:15,239,Ishmail Wainright made Free Throw.,26,47
1:15,239,Ishmail Wainright missed Free Throw.,26,47
1:15,2582,Shawn Prudhomme Defensive Rebound.,26,47
0:57,2582,Tre'lun Banks missed Jumper.,26,47
0:57,239,Jake Lindsey Block.,26,47
0:57,239,Johnathan Motley Defensive Rebound.,26,47
0:53,239,Ishmail Wainright made Layup. Assisted by Jake Lindsey.,26,49
0:46,2582,Shawn Prudhomme Turnover.,26,49
0:32,239,Jake Lindsey made Three Point Jumper. Assisted by King McClure.,26,52
0:06,2582,Chris Thomas missed Jumper.,26,52
0:06,239,Nuni Omot Defensive Rebound.,26,52
0:00,239,End of 1st half,26,52
20:00,2582,Jump Ball won by Southern,26,52
19:40,2582,Rashad Andrews missed Jumper.,26,52
19:40,239,Manu Lecomte Defensive Rebound.,26,52
19:28,239,Al Freeman Turnover.,26,52
19:28,2582,Jared Sam Steal.,26,52
19:24,2582,Shawn Prudhomme missed Three Point Jumper.,26,52
19:24,239,Al Freeman Defensive Rebound.,26,52
19:08,239,Al Freeman missed Three Point Jumper.,26,52
19:08,2582,Jared Sam Defensive Rebound.,26,52
18:59,2582,Emanual Shepherd missed Dunk.,26,52
18:59,239,Jo Lual-Acuil Jr. Block.,26,52
18:59,239,Johnathan Motley Defensive Rebound.,26,52
18:44,239,Jo Lual-Acuil Jr. Turnover.,26,52
18:27,239,Foul on Nuni Omot.,26,52
18:27,2582,Jared Sam made Free Throw.,27,52
18:27,2582,Jared Sam made Free Throw.,28,52
18:15,2582,Foul on Emanual Shepherd.,28,52
18:15,239,Johnathan Motley missed Free Throw.,28,52
18:15,239,Baylor Deadball Team Rebound.,28,52
18:15,239,Johnathan Motley missed Free Throw.,28,52
18:15,2582,Rashad Andrews Defensive Rebound.,28,52
18:03,2582,Shawn Prudhomme Turnover.,28,52
18:03,239,Manu Lecomte Steal.,28,52
17:58,239,Ishmail Wainright made Dunk. Assisted by Manu Lecomte.,28,54
17:48,2582,Tre'lun Banks missed Jumper.,28,54
17:48,2582,Tre'lun Banks Offensive Rebound.,28,54
17:46,2582,Tre'lun Banks Turnover.,28,54
17:46,239,Ishmail Wainright Steal.,28,54
17:39,239,Johnathan Motley missed Layup.,28,54
17:39,2582,Rashad Andrews Defensive Rebound.,28,54
17:33,2582,Emanual Shepherd made Layup. Assisted by Tre'lun Banks.,30,54
17:33,239,Foul on Ishmail Wainright.,30,54
17:33,2582,Emanual Shepherd made Free Throw.,31,54
17:15,239,Manu Lecomte missed Three Point Jumper.,31,54
17:15,2582,Shawn Prudhomme Defensive Rebound.,31,54
16:55,2582,Jared Sam made Layup.,33,54
16:55,239,Foul on Ishmail Wainright.,33,54
16:55,2582,Jared Sam made Free Throw.,34,54
16:42,2582,Foul on Emanual Shepherd.,34,54
16:38,239,Jake Lindsey missed Three Point Jumper.,34,54
16:38,239,Johnathan Motley Offensive Rebound.,34,54
16:19,239,Ishmail Wainright made Layup. Assisted by Manu Lecomte.,34,56
15:57,2582,Shawn Prudhomme made Jumper.,36,56
15:46,239,Official TV Timeout,36,56
15:37,239,Johnathan Motley missed Layup.,36,56
15:37,239,Johnathan Motley Offensive Rebound.,36,56
15:33,239,Johnathan Motley missed Layup.,36,56
15:33,2582,Rashad Andrews Defensive Rebound.,36,56
15:17,2582,Jared Sam missed Jumper.,36,56
15:17,239,Johnathan Motley Defensive Rebound.,36,56
14:54,239,Jo Lual-Acuil Jr. missed Layup.,36,56
14:54,2582,Rashad Andrews Defensive Rebound.,36,56
14:35,2582,Rashad Andrews missed Three Point Jumper.,36,56
14:35,239,Jake Lindsey Block.,36,56
14:35,239,Jo Lual-Acuil Jr. Defensive Rebound.,36,56
14:15,239,Johnathan Motley made Jumper.,36,58
13:56,2582,Jared Sam made Layup. Assisted by Shawn Prudhomme.,38,58
13:39,2582,Foul on Emanual Shepherd.,38,58
13:31,2582,Foul on Isaiah Fontaine.,38,58
13:23,239,Manu Lecomte made Three Point Jumper. Assisted by Jo Lual-Acuil Jr..,38,61
12:58,2582,Jared Sam made Jumper. Assisted by JaMarcus Weatherspoon.,40,61
12:33,239,Jo Lual-Acuil Jr. made Dunk. Assisted by King McClure.,40,63
12:12,2582,Shawn Prudhomme made Jumper.,42,63
11:42,239,Manu Lecomte Turnover.,42,63
11:36,2582,Shawn Prudhomme made Layup.,44,63
11:36,239,Foul on Jake Lindsey.,44,63
11:36,239,Official TV Timeout,44,63
11:36,2582,Shawn Prudhomme missed Free Throw.,44,63
11:36,239,Jo Lual-Acuil Jr. Defensive Rebound.,44,63
11:23,239,Jake Lindsey missed Layup.,44,63
11:23,2582,Chris Thomas Defensive Rebound.,44,63
10:55,2582,JaMarcus Weatherspoon missed Jumper.,44,63
10:55,239,Jo Lual-Acuil Jr. Block.,44,63
10:55,239,Ishmail Wainright Defensive Rebound.,44,63
10:50,239,King McClure made Three Point Jumper. Assisted by Jake Lindsey.,44,66
10:27,2582,JaMarcus Weatherspoon missed Jumper.,44,66
10:27,239,Jo Lual-Acuil Jr. Block.,44,66
10:27,2582,Chris Thomas Offensive Rebound.,44,66
10:21,2582,JaMarcus Weatherspoon Turnover.,44,66
10:21,239,Ishmail Wainright Steal.,44,66
10:13,2582,Foul on Shawn Prudhomme.,44,66
10:13,239,Jo Lual-Acuil Jr. missed Free Throw.,44,66
10:13,239,Baylor Deadball Team Rebound.,44,66
10:13,239,Jo Lual-Acuil Jr. missed Free Throw.,44,66
10:13,2582,Shawn Prudhomme Defensive Rebound.,44,66
9:48,2582,Chris Thomas missed Jumper.,44,66
9:48,239,Baylor Defensive Rebound.,44,66
9:28,239,Ishmail Wainright made Three Point Jumper. Assisted by Jake Lindsey.,44,69
9:06,2582,Tre'lun Banks Turnover.,44,69
9:06,239,Jo Lual-Acuil Jr. Steal.,44,69
9:01,239,King McClure made Dunk. Assisted by Jake Lindsey.,44,71
8:52,2582,Southern  Timeout,44,71
8:39,2582,Jared Sam made Jumper.,46,71
8:11,239,Jo Lual-Acuil Jr. missed Jumper.,46,71
8:11,2582,JaMarcus Weatherspoon Defensive Rebound.,46,71
8:05,2582,JaMarcus Weatherspoon missed Jumper.,46,71
8:05,239,Jo Lual-Acuil Jr. Defensive Rebound.,46,71
7:52,239,King McClure made Jumper. Assisted by Jake Lindsey.,46,73
7:35,239,Official TV Timeout,46,73
7:34,239,Foul on Manu Lecomte.,46,73
7:10,239,Foul on Nuni Omot.,46,73
7:10,2582,Shawn Prudhomme missed Free Throw.,46,73
7:10,2582,Southern Deadball Team Rebound.,46,73
7:10,2582,Shawn Prudhomme made Free Throw.,47,73
6:54,239,Nuni Omot made Dunk. Assisted by Manu Lecomte.,47,75
6:28,2582,Chris Thomas made Layup. Assisted by Tre'lun Banks.,49,75
6:19,2582,Foul on Jared Sam.,49,75
6:19,239,Al Freeman made Free Throw.,49,76
6:19,239,Al Freeman made Free Throw.,49,77
6:00,2582,Tre'lun Banks Turnover.,49,77
5:54,239,Manu Lecomte missed Three Point Jumper.,49,77
5:54,239,Johnathan Motley Offensive Rebound.,49,77
5:54,239,Johnathan Motley made Two Point Tip Shot.,49,79
5:37,2582,Shawn Prudhomme made Layup.,51,79
5:08,239,Nuni Omot missed Three Point Jumper.,51,79
5:08,2582,Jared Sam Defensive Rebound.,51,79
5:01,239,Foul on Johnathan Motley.,51,79
5:01,2582,Jared Sam made Free Throw.,52,79
5:01,2582,Jared Sam made Free Throw.,53,79
4:51,239,Johnathan Motley Turnover.,53,79
4:30,2582,Shawn Prudhomme missed Three Point Jumper.,53,79
4:30,2582,Jared Sam Offensive Rebound.,53,79
4:22,2582,Chris Thomas missed Layup.,53,79
4:22,239,Nuni Omot Block.,53,79
4:21,239,Foul on Ishmail Wainright.,53,79
4:21,2582,Jared Sam made Free Throw.,54,79
4:21,2582,Jared Sam made Free Throw.,55,79
4:08,239,Al Freeman made Layup.,55,81
3:45,2582,Shawn Prudhomme missed Layup.,55,81
3:45,2582,Shawn Prudhomme Offensive Rebound.,55,81
3:45,2582,Shawn Prudhomme made Two Point Tip Shot.,57,81
3:23,239,Johnathan Motley made Layup.,57,83
3:12,2582,Tre'lun Banks Turnover.,57,83
3:10,239,Official TV Timeout,57,83
2:54,239,Nuni Omot made Three Point Jumper. Assisted by Jake Lindsey.,57,86
2:38,2582,LaQuentin Collins missed Jumper.,57,86
2:38,239,Jo Lual-Acuil Jr. Defensive Rebound.,57,86
2:30,2582,Foul on Brendon Ganaway.,57,86
2:30,239,Wendell Mitchell made Free Throw.,57,87
2:30,239,Wendell Mitchell missed Free Throw.,57,87
2:30,2582,Southern Defensive Rebound.,57,87
2:18,2582,DeRias Johnson missed Jumper.,57,87
2:18,239,Jo Lual-Acuil Jr. Defensive Rebound.,57,87
2:07,239,Nuni Omot missed Three Point Jumper.,57,87
2:07,2582,Brendon Ganaway Defensive Rebound.,57,87
1:54,2582,Isaiah Fontaine made Jumper. Assisted by LaQuentin Collins.,59,87
1:41,239,Baylor  Timeout,59,87
1:34,239,King McClure made Layup.,59,89
1:10,2582,Foul on Brendon Ganaway.,59,89
1:10,2582,Brendon Ganaway Turnover.,59,89
1:00,239,Jonathan Davis missed Three Point Jumper.,59,89
1:00,2582,Brendon Ganaway Defensive Rebound.,59,89
0:45,2582,Foul on Patrick Smith.,59,89
0:45,2582,Patrick Smith Turnover.,59,89
0:34,239,Jonathan Davis missed Layup.,59,89
0:34,2582,Isaiah Fontaine Block.,59,89
0:34,239,King McClure Offensive Rebound.,59,89
0:24,239,Jonathan Davis missed Layup.,59,89
0:24,2582,Isaiah Fontaine Block.,59,89
0:24,2582,DeRias Johnson Defensive Rebound.,59,89
0:18,2582,Brendon Ganaway missed Layup.,59,89
0:18,239,King McClure Block.,59,89
0:18,239,Wendell Mitchell Defensive Rebound.,59,89
0:08,239,Wendell Mitchell Turnover.,59,89
0:08,2582,Patrick Smith Steal.,59,89
0:05,2582,LaQuentin Collins missed Three Point Jumper.,59,89
0:05,239,Baylor Defensive Rebound.,59,89
0:00,239,End of Game,59,89
