Olivet Nazarene,Error,Northern Illinois,2459
0:30,-1,Luke Tuttle missed Three Point Jumper.,35,44
0:30,2459,Aaric Armstead Defensive Rebound.,35,44
0:20,2459,Austin Pauga made Three Point Jumper. Assisted by Eugene German.,35,47
0:03,-1,Dane Schlafley missed Three Point Jumper.,35,47
0:03,-1,Sterling Thornton Offensive Rebound.,35,47
0:00,2459,End of 1st half,35,47
19:31,-1,Dakota Bennington missed Three Point Jumper.,35,47
19:31,-1,Dane Schlafley Offensive Rebound.,35,47
19:27,-1,Dane Schlafley made Layup.,37,47
19:05,2459,Aaric Armstead made Three Point Jumper. Assisted by Marin Maric.,37,50
18:47,-1,Nic Reed Turnover.,37,50
18:36,2459,Jaylen Key missed Jumper.,37,50
18:36,-1,Dane Schlafley Defensive Rebound.,37,50
18:27,-1,Dane Schlafley Turnover.,37,50
18:26,2459,Jaylen Key Steal.,37,50
18:24,2459,Jaylen Key made Dunk.,37,52
18:17,-1,Olivet Nazarene  Timeout,37,52
18:00,-1,Chris Green Turnover.,37,52
17:50,2459,Marin Maric made Layup. Assisted by Aaric Armstead.,37,54
17:31,-1,Josiah Blan missed Jumper.,37,54
17:31,2459,Aaric Armstead Defensive Rebound.,37,54
17:22,2459,Dontel Highsmith made Three Point Jumper. Assisted by Justin Thomas.,37,57
17:03,-1,Tyler Crater made Jumper. Assisted by Josiah Blan.,39,57
16:55,2459,Justin Thomas made Layup.,39,59
16:40,-1,Tyler Crater missed Jumper.,39,59
16:40,2459,Marin Maric Defensive Rebound.,39,59
16:34,2459,Jaylen Key Turnover.,39,59
16:34,2459,Foul on Jaylen Key.,39,59
16:13,2459,Foul on Eugene German.,39,59
16:13,-1,Troy Swindle made Free Throw.,40,59
16:13,-1,Troy Swindle made Free Throw.,41,59
15:57,2459,Austin Pauga missed Three Point Jumper.,41,59
15:57,-1,Josiah Blan Defensive Rebound.,41,59
15:45,-1,Josiah Blan Turnover.,41,59
15:45,-1,Foul on Josiah Blan.,41,59
15:45,2459,Official TV Timeout,41,59
15:32,2459,Eugene German missed Layup.,41,59
15:32,-1,Olivet Nazarene Defensive Rebound.,41,59
15:11,2459,Foul on Levi Bradley.,41,59
15:02,-1,Sterling Thornton made Three Point Jumper. Assisted by Nic Reed.,44,59
14:43,2459,Levi Bradley Turnover.,44,59
14:43,2459,Foul on Levi Bradley.,44,59
14:27,-1,Troy Swindle Turnover.,44,59
14:26,2459,Noah McCarty Steal.,44,59
14:24,2459,Eugene German made Layup. Assisted by Noah McCarty.,44,61
14:06,-1,Dakota Bennington missed Layup.,44,61
14:06,-1,Nic Reed Offensive Rebound.,44,61
14:04,2459,Foul on Marshawn Wilson.,44,61
14:04,-1,Nic Reed missed Free Throw.,44,61
14:04,-1,Olivet Nazarene Deadball Team Rebound.,44,61
14:04,-1,Nic Reed made Free Throw.,45,61
13:52,2459,Levi Bradley made Layup. Assisted by Noah McCarty.,45,63
13:32,-1,Sterling Thornton made Jumper.,47,63
13:09,-1,Foul on Troy Swindle.,47,63
13:02,2459,Levi Bradley Turnover.,47,63
13:02,2459,Foul on Levi Bradley.,47,63
12:41,-1,Troy Swindle Turnover.,47,63
12:40,2459,Eugene German Steal.,47,63
12:37,2459,Eugene German made Layup.,47,65
12:26,-1,Troy Swindle Turnover.,47,65
12:25,2459,Eugene German Steal.,47,65
12:24,2459,Eugene German made Layup.,47,67
12:23,-1,Olivet Nazarene  Timeout,47,67
12:06,2459,Foul on Noah McCarty.,47,67
12:06,-1,Nic Reed made Free Throw.,48,67
12:06,-1,Nic Reed made Free Throw.,49,67
11:51,2459,Eugene German missed Three Point Jumper.,49,67
11:51,2459,Marin Maric Offensive Rebound.,49,67
11:48,2459,Marin Maric made Layup.,49,69
11:31,-1,Luke Tuttle missed Three Point Jumper.,49,69
11:31,2459,Eugene German Defensive Rebound.,49,69
11:23,2459,Marin Maric made Layup. Assisted by Eugene German.,49,71
11:10,-1,Dane Schlafley made Jumper.,51,71
10:56,2459,Marin Maric made Layup. Assisted by Noah McCarty.,51,73
10:42,-1,Sterling Thornton missed Jumper.,51,73
10:42,2459,Marshawn Wilson Block.,51,73
10:40,-1,Tyler Crater Offensive Rebound.,51,73
10:34,2459,Foul on Noah McCarty.,51,73
10:34,-1,Nic Reed missed Free Throw.,51,73
10:34,-1,Olivet Nazarene Deadball Team Rebound.,51,73
10:34,-1,Nic Reed made Free Throw.,52,73
10:24,2459,Marshawn Wilson missed Three Point Jumper.,52,73
10:24,2459,Austin Pauga Offensive Rebound.,52,73
10:18,2459,Marshawn Wilson missed Layup.,52,73
10:18,2459,Marin Maric Offensive Rebound.,52,73
10:15,2459,Marin Maric made Layup.,52,75
10:01,-1,Chris Green missed Three Point Jumper.,52,75
10:01,2459,Austin Pauga Defensive Rebound.,52,75
9:50,2459,Austin Pauga missed Three Point Jumper.,52,75
9:50,-1,Chris Green Defensive Rebound.,52,75
9:43,-1,Dane Schlafley Turnover.,52,75
9:31,2459,Austin Pauga missed Three Point Jumper.,52,75
9:31,2459,Marin Maric Offensive Rebound.,52,75
9:28,-1,Foul on Ryan Carl.,52,75
9:17,2459,Austin Pauga missed Three Point Jumper.,52,75
9:17,-1,Ryan Carl Defensive Rebound.,52,75
9:02,-1,Josiah Blan missed Layup.,52,75
9:02,2459,Jaylen Key Defensive Rebound.,52,75
8:55,2459,Austin Pauga missed Three Point Jumper.,52,75
8:55,-1,Chris Green Defensive Rebound.,52,75
8:40,-1,Ryan Carl missed Layup.,52,75
8:40,-1,Dane Schlafley Offensive Rebound.,52,75
8:36,-1,Dane Schlafley made Two Point Tip Shot.,54,75
8:34,2459,Northern Illinois  Timeout,54,75
8:26,2459,Jaylen Key Turnover.,54,75
8:26,2459,Foul on Jaylen Key.,54,75
8:16,-1,Sterling Thornton missed Three Point Jumper.,54,75
8:16,-1,Ryan Carl Offensive Rebound.,54,75
8:13,2459,Foul on Jaylen Key.,54,75
8:13,-1,Ryan Carl made Free Throw.,55,75
8:13,-1,Ryan Carl missed Free Throw.,55,75
8:13,2459,Marin Maric Defensive Rebound.,55,75
8:02,2459,Marin Maric made Layup. Assisted by Levi Bradley.,55,77
7:46,-1,Ryan Carl made Layup.,57,77
7:36,2459,Levi Bradley Turnover.,57,77
7:36,2459,Official TV Timeout,57,77
7:24,-1,Sterling Thornton missed Three Point Jumper.,57,77
7:24,2459,Justin Thomas Defensive Rebound.,57,77
7:18,2459,Aaric Armstead made Layup. Assisted by Justin Thomas.,57,79
6:54,-1,Troy Swindle made Layup.,59,79
6:44,2459,Dontel Highsmith missed Three Point Jumper.,59,79
6:44,2459,Levi Bradley Offensive Rebound.,59,79
6:39,2459,Levi Bradley made Two Point Tip Shot.,59,81
6:22,-1,Chris Green made Three Point Jumper. Assisted by Sterling Thornton.,62,81
6:02,2459,Aaric Armstead made Three Point Jumper. Assisted by Dontel Highsmith.,62,84
5:41,-1,Zach Tuxhorn missed Three Point Jumper.,62,84
5:41,2459,Aaric Armstead Defensive Rebound.,62,84
5:34,2459,Aaric Armstead Turnover.,62,84
5:33,-1,Zach Tuxhorn Steal.,62,84
5:18,-1,Ryan Carl missed Layup.,62,84
5:18,2459,Marin Maric Block.,62,84
5:17,2459,Marin Maric Defensive Rebound.,62,84
5:11,2459,Dontel Highsmith made Layup. Assisted by Justin Thomas.,62,86
4:46,-1,Ryan Carl Turnover.,62,86
4:44,2459,Aaric Armstead Steal.,62,86
4:39,2459,Justin Thomas missed Three Point Jumper.,62,86
4:39,2459,Marin Maric Offensive Rebound.,62,86
4:35,2459,Marin Maric made Layup.,62,88
4:34,-1,Olivet Nazarene  Timeout,62,88
4:25,-1,Josiah Blan made Layup. Assisted by Dane Schlafley.,64,88
4:09,2459,Noah McCarty Turnover.,64,88
4:09,2459,Foul on Noah McCarty.,64,88
3:57,2459,Official TV Timeout,64,88
3:56,-1,Tyler Crater Turnover.,64,88
3:40,2459,Levi Bradley made Layup.,64,90
3:32,-1,Dane Schlafley missed Three Point Jumper.,64,90
3:32,2459,Sean Damaska Defensive Rebound.,64,90
3:22,2459,Aaric Armstead made Three Point Jumper. Assisted by Eugene German.,64,93
3:09,-1,Tyler Crater missed Three Point Jumper.,64,93
3:09,2459,Eugene German Defensive Rebound.,64,93
3:00,2459,Aaric Armstead missed Three Point Jumper.,64,93
3:00,2459,Eugene German Offensive Rebound.,64,93
2:38,2459,Eugene German Turnover.,64,93
2:37,-1,Josiah Blan Steal.,64,93
2:30,2459,Foul on Levi Bradley.,64,93
2:30,-1,Troy Swindle made Free Throw.,65,93
2:30,-1,Troy Swindle missed Free Throw.,65,93
2:30,2459,Levi Bradley Defensive Rebound.,65,93
2:20,-1,Foul on Josiah Blan.,65,93
1:53,2459,Eugene German Turnover.,65,93
1:51,-1,Troy Swindle Steal.,65,93
1:49,-1,Troy Swindle made Layup.,67,93
1:28,2459,Levi Bradley missed Layup.,67,93
1:28,2459,Sean Damaska Offensive Rebound.,67,93
1:24,2459,Sean Damaska missed Layup.,67,93
1:24,2459,Levi Bradley Offensive Rebound.,67,93
1:22,2459,Sean Damaska Offensive Rebound.,67,93
1:22,2459,Levi Bradley missed Layup.,67,93
1:19,2459,Sean Damaska made Layup.,67,95
1:04,-1,Troy Swindle made Jumper.,69,95
0:39,2459,Levi Bradley Turnover.,69,95
0:24,-1,Troy Swindle missed Jumper.,69,95
0:24,2459,Eugene German Block.,69,95
0:23,2459,Levi Bradley Defensive Rebound.,69,95
