UC Irvine,2440,Nevada,300
12:43,300,Tommy Rutherford made Jumper. Assisted by Jaron Martin.,17,17
12:16,300,Foul on Tommy Rutherford.,17,17
12:16,2440,Jordan Caroline made Free Throw.,17,18
12:16,2440,Jordan Caroline made Free Throw.,17,19
12:02,2440,Foul on Leland King II.,17,19
11:45,2440,Official TV Timeout,17,19
11:40,300,Evan Leonard missed Three Point Jumper.,17,19
11:40,2440,Jordan Caroline Defensive Rebound.,17,19
11:15,2440,Leland King II missed Jumper.,17,19
11:15,300,Tommy Rutherford Block.,17,19
11:13,2440,Lindsey Drew Offensive Rebound.,17,19
11:12,2440,Lindsey Drew missed Jumper.,17,19
11:12,2440,Jordan Caroline Offensive Rebound.,17,19
11:08,2440,Lindsey Drew missed Jumper.,17,19
11:08,300,Evan Leonard Defensive Rebound.,17,19
11:00,300,John Edgar Jr. missed Layup.,17,19
11:00,300,UC Irvine Offensive Rebound.,17,19
10:57,300,Eyassu Worku missed Jumper.,17,19
10:57,300,Tommy Rutherford Offensive Rebound.,17,19
10:52,2440,Foul on Cameron Oliver.,17,19
10:34,300,Evan Leonard missed Three Point Jumper.,17,19
10:34,2440,Cameron Oliver Defensive Rebound.,17,19
10:10,2440,Cameron Oliver missed Jumper.,17,19
10:10,300,Tommy Rutherford Defensive Rebound.,17,19
10:03,300,Eyassu Worku missed Layup.,17,19
10:03,2440,Cameron Oliver Block.,17,19
10:02,300,UC Irvine Offensive Rebound.,17,19
10:00,300,Spencer Rivers Turnover.,17,19
9:42,300,Foul on Evan Leonard.,17,19
9:42,2440,Cameron Oliver made Free Throw.,17,20
9:42,2440,Cameron Oliver missed Free Throw.,17,20
9:42,300,Evan Leonard Defensive Rebound.,17,20
9:35,300,John Edgar Jr. made Layup. Assisted by Eyassu Worku.,19,20
9:19,2440,Josh Hall missed Layup.,19,20
9:19,300,Tommy Rutherford Defensive Rebound.,19,20
9:12,300,Eyassu Worku made Jumper. Assisted by Spencer Rivers.,21,20
8:53,2440,Leland King II missed Three Point Jumper.,21,20
8:53,2440,Nevada Offensive Rebound.,21,20
8:52,300,Foul on Eyassu Worku.,21,20
8:37,2440,Marcus Marshall made Three Point Jumper. Assisted by D.J. Fenner.,21,23
8:37,300,Foul on Spencer Rivers.,21,23
8:37,2440,Marcus Marshall missed Free Throw.,21,23
8:37,300,Jonathan Galloway Defensive Rebound.,21,23
8:20,300,Eyassu Worku missed Jumper.,21,23
8:20,2440,Cameron Oliver Defensive Rebound.,21,23
8:12,2440,Cameron Oliver made Three Point Jumper. Assisted by Marcus Marshall.,21,26
8:07,300,UC Irvine  Timeout,21,26
7:58,300,Jaron Martin missed Three Point Jumper.,21,26
7:58,2440,Jordan Caroline Defensive Rebound.,21,26
7:57,300,Foul on Jonathan Galloway.,21,26
7:48,2440,D.J. Fenner made Three Point Jumper. Assisted by Lindsey Drew.,21,29
7:25,300,Jaron Martin missed Jumper.,21,29
7:25,2440,Leland King II Defensive Rebound.,21,29
7:14,2440,Jordan Caroline made Dunk. Assisted by D.J. Fenner.,21,31
6:43,2440,Foul on Leland King II.,21,31
6:42,300,Jaron Martin Turnover.,21,31
6:42,2440,Marcus Marshall Steal.,21,31
6:38,2440,Cameron Oliver made Dunk. Assisted by Marcus Marshall.,21,33
6:35,300,UC Irvine  Timeout,21,33
6:27,300,Jonathan Galloway missed Jumper.,21,33
6:27,300,Ioannis Dimakopoulos Offensive Rebound.,21,33
6:24,300,Ioannis Dimakopoulos made Layup.,23,33
6:05,2440,Jordan Caroline missed Layup.,23,33
6:05,300,Ioannis Dimakopoulos Block.,23,33
6:04,2440,Jordan Caroline Offensive Rebound.,23,33
6:02,2440,Jordan Caroline missed Jumper.,23,33
6:02,2440,Jordan Caroline Offensive Rebound.,23,33
6:00,2440,Jordan Caroline made Layup.,23,35
5:46,300,Evan Leonard missed Three Point Jumper.,23,35
5:46,2440,Marcus Marshall Defensive Rebound.,23,35
5:40,2440,Marcus Marshall made Three Point Jumper.,23,38
5:15,300,Ioannis Dimakopoulos made Jumper. Assisted by Max Hazzard.,25,38
4:58,2440,Marcus Marshall missed Three Point Jumper.,25,38
4:58,300,Jonathan Galloway Defensive Rebound.,25,38
4:41,300,Max Hazzard missed Three Point Jumper.,25,38
4:41,2440,Jordan Caroline Defensive Rebound.,25,38
4:28,2440,Jordan Caroline missed Layup.,25,38
4:28,300,Max Hazzard Defensive Rebound.,25,38
4:20,300,Max Hazzard missed Layup.,25,38
4:20,300,Jonathan Galloway Offensive Rebound.,25,38
4:18,300,Jonathan Galloway missed Layup.,25,38
4:18,2440,D.J. Fenner Defensive Rebound.,25,38
4:15,300,Foul on Max Hazzard.,25,38
4:15,2440,D.J. Fenner made Free Throw.,25,39
4:15,2440,D.J. Fenner missed Free Throw.,25,39
4:15,300,John Edgar Jr. Defensive Rebound.,25,39
3:54,300,Eyassu Worku made Jumper.,27,39
3:37,2440,D.J. Fenner missed Three Point Jumper.,27,39
3:37,300,Tommy Rutherford Defensive Rebound.,27,39
3:21,300,Tommy Rutherford missed Layup.,27,39
3:21,2440,Cameron Oliver Block.,27,39
3:19,2440,Josh Hall Defensive Rebound.,27,39
3:11,2440,Cameron Oliver missed Jumper.,27,39
3:11,300,Tommy Rutherford Defensive Rebound.,27,39
2:58,300,Jaron Martin made Jumper.,29,39
2:37,2440,D.J. Fenner missed Layup.,29,39
2:37,2440,Josh Hall Offensive Rebound.,29,39
2:36,2440,Official TV Timeout,29,39
2:36,2440,Nevada  Turnover.,29,39
2:19,300,Jaron Martin missed Jumper.,29,39
2:19,2440,Cameron Oliver Defensive Rebound.,29,39
2:09,2440,Jordan Caroline missed Jumper.,29,39
2:09,300,Eyassu Worku Defensive Rebound.,29,39
2:02,300,Eyassu Worku missed Layup.,29,39
2:02,300,Eyassu Worku Offensive Rebound.,29,39
1:58,300,Eyassu Worku made Jumper.,31,39
1:34,2440,Lindsey Drew made Three Point Jumper. Assisted by D.J. Fenner.,31,42
1:09,300,Brandon Smith missed Layup.,31,42
1:09,300,Brandon Smith Offensive Rebound.,31,42
1:07,300,Brandon Smith made Jumper.,33,42
0:49,2440,Cameron Oliver missed Layup.,33,42
0:49,300,Tommy Rutherford Block.,33,42
0:48,300,Brandon Smith Defensive Rebound.,33,42
0:43,300,Brandon Smith missed Layup.,33,42
0:43,2440,D.J. Fenner Defensive Rebound.,33,42
0:30,2440,Cameron Oliver missed Jumper.,33,42
0:30,300,Eyassu Worku Defensive Rebound.,33,42
0:05,2440,Foul on Lindsey Drew.,33,42
0:01,300,Eyassu Worku made Three Point Jumper.,36,42
0:00,2440,End of 1st half,36,42
19:45,300,Max Hazzard Turnover.,36,42
19:44,2440,Cameron Oliver Steal.,36,42
19:22,2440,Cameron Oliver Turnover.,36,42
19:22,300,Max Hazzard Steal.,36,42
19:03,300,Foul on Ioannis Dimakopoulos.,36,42
19:03,2440,Foul on Cameron Oliver.,36,42
18:54,300,Jonathan Galloway Turnover.,36,42
18:54,300,Foul on Jonathan Galloway.,36,42
18:35,2440,Jordan Caroline missed Jumper.,36,42
18:35,300,Ioannis Dimakopoulos Block.,36,42
18:34,300,Jaron Martin Defensive Rebound.,36,42
18:29,300,Max Hazzard made Layup. Assisted by Jaron Martin.,38,42
18:04,300,Foul on Jonathan Galloway.,38,42
18:04,2440,Cameron Oliver missed Free Throw.,38,42
18:04,2440,Nevada Deadball Team Rebound.,38,42
18:04,2440,Cameron Oliver made Free Throw.,38,43
17:33,300,Tommy Rutherford Turnover.,38,43
17:33,300,Foul on Tommy Rutherford.,38,43
17:15,2440,Cameron Oliver missed Layup.,38,43
17:15,300,Brandon Smith Defensive Rebound.,38,43
16:50,300,Ioannis Dimakopoulos made Jumper. Assisted by Brandon Smith.,40,43
16:38,2440,Lindsey Drew made Three Point Jumper. Assisted by Cameron Oliver.,40,46
16:02,300,Brandon Smith missed Three Point Jumper.,40,46
16:02,2440,Jordan Caroline Defensive Rebound.,40,46
15:52,2440,Cameron Oliver missed Layup.,40,46
15:52,300,Ioannis Dimakopoulos Defensive Rebound.,40,46
15:45,300,Jaron Martin missed Jumper.,40,46
15:45,2440,Jordan Caroline Defensive Rebound.,40,46
15:26,2440,D.J. Fenner made Jumper. Assisted by Lindsey Drew.,40,48
15:01,300,Ioannis Dimakopoulos missed Three Point Jumper.,40,48
15:01,2440,Marcus Marshall Defensive Rebound.,40,48
14:52,2440,Lindsey Drew made Three Point Jumper. Assisted by Marcus Marshall.,40,51
14:29,300,Tommy Rutherford made Layup.,42,51
14:13,2440,Jordan Caroline missed Layup.,42,51
14:12,300,Tommy Rutherford Block.,42,51
14:10,300,Brandon Smith Defensive Rebound.,42,51
14:01,300,Ioannis Dimakopoulos missed Three Point Jumper.,42,51
14:01,300,Tommy Rutherford Offensive Rebound.,42,51
13:55,300,Max Hazzard missed Layup.,42,51
13:55,2440,Cameron Oliver Defensive Rebound.,42,51
13:50,2440,Cameron Oliver Turnover.,42,51
13:49,300,Max Hazzard Steal.,42,51
13:41,300,Ioannis Dimakopoulos made Layup.,44,51
13:27,2440,D.J. Fenner missed Jumper.,44,51
13:27,300,Tommy Rutherford Defensive Rebound.,44,51
13:13,2440,Foul on Cameron Oliver.,44,51
13:13,2440,Technical Foul on Cameron Oliver.,44,51
13:13,2440,Foul on Cameron Oliver.,44,51
13:13,300,UC Irvine  Timeout,44,51
13:13,300,Jaron Martin made Free Throw.,45,51
13:13,300,Jaron Martin missed Free Throw.,45,51
13:13,300,UC Irvine Deadball Team Rebound.,45,51
13:08,300,Jaron Martin missed Layup.,45,51
13:08,2440,Lindsey Drew Block.,45,51
13:05,2440,Leland King II Defensive Rebound.,45,51
13:01,2440,Leland King II Turnover.,45,51
13:00,300,Jaron Martin Steal.,45,51
12:58,300,Eyassu Worku Turnover.,45,51
12:56,2440,Marcus Marshall Steal.,45,51
12:56,2440,Marcus Marshall made Layup.,45,53
12:56,300,Foul on John Edgar Jr..,45,53
12:56,2440,Marcus Marshall missed Free Throw.,45,53
12:56,300,Tommy Rutherford Defensive Rebound.,45,53
12:36,2440,Foul on Jordan Caroline.,45,53
12:36,300,Tommy Rutherford missed Free Throw.,45,53
12:36,300,UC Irvine Deadball Team Rebound.,45,53
12:36,300,Tommy Rutherford missed Free Throw.,45,53
12:36,2440,Nevada Defensive Rebound.,45,53
12:35,300,Foul on Evan Leonard.,45,53
12:20,2440,Lindsey Drew made Jumper.,45,55
12:00,300,Eyassu Worku Turnover.,45,55
11:44,2440,Leland King II missed Three Point Jumper.,45,55
11:44,300,Tommy Rutherford Defensive Rebound.,45,55
11:20,300,Jaron Martin missed Jumper.,45,55
11:20,2440,Leland King II Defensive Rebound.,45,55
11:13,2440,Marcus Marshall missed Three Point Jumper.,45,55
11:13,300,Evan Leonard Defensive Rebound.,45,55
11:05,300,Evan Leonard missed Jumper.,45,55
11:05,2440,D.J. Fenner Defensive Rebound.,45,55
11:02,300,Foul on Evan Leonard.,45,55
11:02,2440,Nevada  Timeout,45,55
11:02,2440,D.J. Fenner missed Free Throw.,45,55
11:02,300,Brandon Smith Defensive Rebound.,45,55
10:55,300,Ioannis Dimakopoulos Turnover.,45,55
10:53,300,Foul on Ioannis Dimakopoulos.,45,55
10:28,2440,Leland King II missed Three Point Jumper.,45,55
10:28,300,Jonathan Galloway Defensive Rebound.,45,55
10:10,300,Max Hazzard missed Three Point Jumper.,45,55
10:10,300,Max Hazzard Offensive Rebound.,45,55
10:07,2440,Foul on Jordan Caroline.,45,55
10:07,300,Max Hazzard missed Free Throw.,45,55
10:07,300,UC Irvine Deadball Team Rebound.,45,55
10:07,300,Max Hazzard made Free Throw.,46,55
9:41,2440,D.J. Fenner missed Jumper.,46,55
9:41,2440,Leland King II Offensive Rebound.,46,55
9:31,2440,Leland King II made Layup. Assisted by Lindsey Drew.,46,57
9:31,300,Foul on Jonathan Galloway.,46,57
9:31,2440,Leland King II missed Free Throw.,46,57
9:31,300,Tommy Rutherford Defensive Rebound.,46,57
9:09,300,Brandon Smith made Jumper.,48,57
8:36,2440,Jordan Caroline missed Jumper.,48,57
8:36,2440,Jordan Caroline Offensive Rebound.,48,57
8:33,2440,Jordan Caroline missed Layup.,48,57
8:33,2440,Leland King II Offensive Rebound.,48,57
8:31,2440,Leland King II missed Layup.,48,57
8:31,2440,Jordan Caroline Offensive Rebound.,48,57
8:31,300,Foul on Tommy Rutherford.,48,57
8:31,2440,Jordan Caroline missed Free Throw.,48,57
8:31,2440,Nevada Deadball Team Rebound.,48,57
8:31,2440,Jordan Caroline made Free Throw.,48,58
8:17,300,Brad Greene made Layup. Assisted by Eyassu Worku.,50,58
7:55,2440,D.J. Fenner missed Three Point Jumper.,50,58
7:55,2440,Jordan Caroline Offensive Rebound.,50,58
7:51,2440,Jordan Caroline missed Jumper.,50,58
7:51,300,Brad Greene Defensive Rebound.,50,58
7:39,300,Brad Greene Turnover.,50,58
7:37,2440,D.J. Fenner Steal.,50,58
7:33,2440,Josh Hall missed Layup.,50,58
7:33,300,Brandon Smith Block.,50,58
7:31,300,Brad Greene Defensive Rebound.,50,58
7:31,2440,Foul on Lindsey Drew.,50,58
7:31,300,UC Irvine  Timeout,50,58
7:14,300,Tommy Rutherford made Jumper.,52,58
6:56,2440,Jordan Caroline made Dunk. Assisted by Lindsey Drew.,52,60
6:55,300,Foul on Tommy Rutherford.,52,60
6:55,2440,Jordan Caroline made Free Throw.,52,61
6:37,300,Jaron Martin missed Three Point Jumper.,52,61
6:37,300,Jonathan Galloway Offensive Rebound.,52,61
6:33,300,Jonathan Galloway missed Layup.,52,61
6:33,2440,Jordan Caroline Defensive Rebound.,52,61
6:29,300,Foul on Brandon Smith.,52,61
6:29,2440,Jordan Caroline made Free Throw.,52,62
6:29,2440,Jordan Caroline made Free Throw.,52,63
6:12,2440,Foul on Jordan Caroline.,52,63
6:12,300,Brandon Smith made Free Throw.,53,63
6:12,300,Brandon Smith made Free Throw.,54,63
5:43,2440,Leland King II Turnover.,54,63
5:42,300,Brad Greene Steal.,54,63
5:15,300,Jaron Martin missed Jumper.,54,63
5:15,2440,Marcus Marshall Defensive Rebound.,54,63
4:52,2440,D.J. Fenner made Jumper. Assisted by Jordan Caroline.,54,65
4:38,2440,Foul on Marcus Marshall.,54,65
4:38,300,Eyassu Worku made Free Throw.,55,65
4:38,300,Eyassu Worku made Free Throw.,56,65
4:21,2440,D.J. Fenner Turnover.,56,65
4:19,300,Jaron Martin Steal.,56,65
4:16,300,Eyassu Worku made Three Point Jumper. Assisted by Jaron Martin.,59,65
3:44,2440,Marcus Marshall missed Jumper.,59,65
3:44,300,Jaron Martin Defensive Rebound.,59,65
3:36,300,Brandon Smith missed Jumper.,59,65
3:36,2440,Cameron Oliver Block.,59,65
3:34,2440,Jordan Caroline Defensive Rebound.,59,65
3:29,2440,Jordan Caroline made Dunk.,59,67
3:29,300,Foul on Jonathan Galloway.,59,67
3:29,2440,Nevada  Timeout,59,67
3:29,2440,Jordan Caroline made Free Throw.,59,68
3:06,300,Jaron Martin Turnover.,59,68
3:04,2440,Marcus Marshall Steal.,59,68
2:59,2440,D.J. Fenner Turnover.,59,68
2:59,300,Eyassu Worku Steal.,59,68
2:53,300,Eyassu Worku Turnover.,59,68
2:52,2440,D.J. Fenner Steal.,59,68
2:46,2440,Cameron Oliver made Layup. Assisted by Jordan Caroline.,59,70
2:46,300,Foul on Brandon Smith.,59,70
2:46,2440,Cameron Oliver missed Free Throw.,59,70
2:46,300,Tommy Rutherford Defensive Rebound.,59,70
2:28,300,Jaron Martin made Layup.,61,70
2:16,2440,Marcus Marshall made Three Point Jumper. Assisted by Jordan Caroline.,61,73
1:53,300,John Edgar Jr. made Three Point Jumper. Assisted by Brandon Smith.,64,73
1:24,2440,Jordan Caroline missed Three Point Jumper.,64,73
1:24,300,John Edgar Jr. Defensive Rebound.,64,73
1:16,300,Eyassu Worku made Three Point Jumper. Assisted by Brandon Smith.,67,73
1:13,300,UC Irvine  Timeout,67,73
0:46,2440,Marcus Marshall Turnover.,67,73
0:45,300,Jaron Martin Steal.,67,73
0:39,300,Eyassu Worku made Jumper.,69,73
0:32,300,Foul on Eyassu Worku.,69,73
0:32,2440,Lindsey Drew made Free Throw.,69,74
0:32,2440,Lindsey Drew missed Free Throw.,69,74
0:32,300,Tommy Rutherford Defensive Rebound.,69,74
0:27,300,Jaron Martin missed Three Point Jumper.,69,74
0:27,300,Tommy Rutherford Offensive Rebound.,69,74
0:21,300,Eyassu Worku missed Three Point Jumper.,69,74
0:21,300,John Edgar Jr. Offensive Rebound.,69,74
0:17,300,Jaron Martin missed Three Point Jumper.,69,74
0:17,2440,D.J. Fenner Defensive Rebound.,69,74
0:13,300,Foul on Tommy Rutherford.,69,74
0:13,2440,D.J. Fenner made Free Throw.,69,75
0:13,2440,D.J. Fenner missed Free Throw.,69,75
0:13,2440,Cameron Oliver Offensive Rebound.,69,75
0:06,300,Foul on Jaron Martin.,69,75
0:06,2440,D.J. Fenner missed Free Throw.,69,75
0:06,2440,Nevada Deadball Team Rebound.,69,75
0:06,2440,D.J. Fenner made Free Throw.,69,76
0:01,300,Brandon Smith missed Three Point Jumper.,69,76
0:01,2440,Cameron Oliver Defensive Rebound.,69,76
0:00,2440,End of Game,69,76
