Arkansas State,2630,UT Martin,2032
15:52,2630,Matthew Butler missed Three Point Jumper.,13,9
15:52,2032,Devin Carter Defensive Rebound.,13,9
15:52,2630,Foul on Fatodd Lewis.,13,9
15:31,2032,Devin Carter missed Three Point Jumper.,13,9
15:31,2032,Deven Simms Offensive Rebound.,13,9
15:25,2032,Rashad Lindsey Turnover.,13,9
15:14,2630,Matthew Butler made Three Point Jumper. Assisted by Kedar Edwards.,13,12
15:02,2032,Connor Kern Turnover.,13,12
15:01,2630,Javier Martinez Steal.,13,12
14:56,2630,Kedar Edwards made Dunk. Assisted by Matthew Butler.,13,14
14:38,2032,Rashad Lindsey Turnover.,13,14
14:37,2630,Javier Martinez Steal.,13,14
14:22,2032,Foul on Rashad Lindsey.,13,14
14:20,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,13,16
14:01,2032,Deven Simms missed Layup.,13,16
14:01,2630,Fatodd Lewis Defensive Rebound.,13,16
13:44,2032,Foul on Donte Thomas.,13,16
13:28,2630,Matthew Butler made Jumper.,13,18
12:59,2032,Deven Simms Turnover.,13,18
12:49,2032,Foul on Tamas Bruce.,13,18
12:49,2630,Kedar Edwards made Free Throw.,13,19
12:49,2630,Kedar Edwards missed Free Throw.,13,19
12:49,2032,Rashad Lindsey Defensive Rebound.,13,19
12:21,2032,Rashad Lindsey missed Jumper.,13,19
12:21,2630,Kedar Edwards Defensive Rebound.,13,19
11:58,2630,Javier Martinez made Layup. Assisted by Fatodd Lewis.,13,21
11:39,2032,Deven Simms missed Layup.,13,21
11:39,2630,Fatodd Lewis Block.,13,21
11:38,2032,Arkansas St Offensive Rebound.,13,21
11:38,2630,Official TV Timeout,13,21
11:29,2032,Rashad Lindsey missed Three Point Jumper.,13,21
11:29,2630,Kedar Edwards Defensive Rebound.,13,21
11:12,2630,Javier Martinez missed Jumper.,13,21
11:12,2032,Salif Boudie Defensive Rebound.,13,21
10:51,2032,Devin Carter missed Three Point Jumper.,13,21
10:51,2630,Fatodd Lewis Defensive Rebound.,13,21
10:31,2630,Matthew Butler made Jumper. Assisted by Jalen Jackson.,13,23
10:04,2032,Deven Simms missed Jumper.,13,23
10:04,2032,Salif Boudie Offensive Rebound.,13,23
10:00,2032,Salif Boudie made Layup.,15,23
9:49,2630,Jalen Jackson Turnover.,15,23
9:38,2032,Rashad Lindsey missed Three Point Jumper.,15,23
9:38,2630,Kedar Edwards Defensive Rebound.,15,23
9:15,2630,Javier Martinez missed Layup.,15,23
9:15,2032,Salif Boudie Defensive Rebound.,15,23
9:01,2032,Devin Carter made Three Point Jumper. Assisted by Deven Simms.,18,23
8:43,2630,Jalen Jackson missed Layup.,18,23
8:43,2032,Rashad Lindsey Defensive Rebound.,18,23
8:27,2032,Salif Boudie missed Jumper.,18,23
8:27,2630,Javier Martinez Block.,18,23
8:25,2630,Javier Martinez Defensive Rebound.,18,23
8:13,2630,Fatodd Lewis made Jumper.,18,25
7:51,2032,Salif Boudie made Layup. Assisted by Deven Simms.,20,25
7:32,2630,Jalen Jackson missed Jumper.,20,25
7:32,2032,Salif Boudie Defensive Rebound.,20,25
7:23,2032,Devin Carter missed Three Point Jumper.,20,25
7:23,2032,C.J. Foster Offensive Rebound.,20,25
7:17,2032,Rashad Lindsey missed Three Point Jumper.,20,25
7:17,2630,Javier Martinez Defensive Rebound.,20,25
6:55,2630,Matthew Butler missed Jumper.,20,25
6:55,2032,C.J. Foster Defensive Rebound.,20,25
6:43,2032,Deven Simms missed Jumper.,20,25
6:43,2630,Javier Martinez Defensive Rebound.,20,25
6:15,2630,Kedar Edwards missed Three Point Jumper.,20,25
6:15,2032,Deven Simms Defensive Rebound.,20,25
6:09,2630,Foul on Kedar Edwards.,20,25
6:09,2630,Official TV Timeout,20,25
5:57,2032,Devin Carter made Three Point Jumper. Assisted by Deven Simms.,23,25
5:32,2630,Malik Pugh missed Jumper.,23,25
5:32,2032,Deven Simms Defensive Rebound.,23,25
5:23,2032,Devin Carter missed Three Point Jumper.,23,25
5:23,2630,Dante Bailey Defensive Rebound.,23,25
5:09,2630,Foul on Malik Pugh.,23,25
5:09,2630,Malik Pugh Turnover.,23,25
5:00,2032,Deven Simms missed Jumper.,23,25
5:00,2630,Fatodd Lewis Defensive Rebound.,23,25
4:53,2032,Foul on Tamas Bruce.,23,25
4:53,2630,Malik Pugh missed Free Throw.,23,25
4:53,2032,Arkansas St Deadball Team Rebound.,23,25
4:53,2630,Malik Pugh made Free Throw.,23,26
4:25,2032,Deven Simms missed Three Point Jumper.,23,26
4:25,2630,Chandler Rowe Defensive Rebound.,23,26
4:24,2032,Foul on Salif Boudie.,23,26
4:24,2630,Chandler Rowe made Free Throw.,23,27
4:24,2630,Chandler Rowe missed Free Throw.,23,27
4:24,2032,Deven Simms Defensive Rebound.,23,27
3:57,2630,Foul on Fatodd Lewis.,23,27
3:57,2630,Official TV Timeout,23,27
3:57,2032,C.J. Foster missed Free Throw.,23,27
3:57,2630,UT Martin Deadball Team Rebound.,23,27
3:57,2032,C.J. Foster made Free Throw.,24,27
3:40,2630,Matthew Butler missed Layup.,24,27
3:40,2630,Javier Martinez Offensive Rebound.,24,27
3:38,2630,Javier Martinez missed Layup.,24,27
3:38,2630,Javier Martinez Offensive Rebound.,24,27
3:36,2630,Javier Martinez missed Layup.,24,27
3:36,2630,Chandler Rowe Offensive Rebound.,24,27
3:32,2630,Chandler Rowe made Layup.,24,29
3:08,2630,Foul on Kahari Beaufort.,24,29
3:08,2032,Deven Simms made Free Throw.,25,29
3:08,2032,Deven Simms missed Free Throw.,25,29
3:08,2630,Javier Martinez Defensive Rebound.,25,29
2:56,2630,Foul on Kahari Beaufort.,25,29
2:56,2630,Kahari Beaufort Turnover.,25,29
2:36,2032,C.J. Foster made Layup.,27,29
2:14,2630,Foul on Kahari Beaufort.,27,29
2:14,2630,Kahari Beaufort Turnover.,27,29
2:04,2032,Devin Carter missed Three Point Jumper.,27,29
2:04,2630,Mike Fofana Defensive Rebound.,27,29
1:48,2032,Foul on C.J. Foster.,27,29
1:48,2630,Mike Fofana made Free Throw.,27,30
1:48,2630,Mike Fofana made Free Throw.,27,31
1:26,2630,Foul on Chandler Rowe.,27,31
1:26,2032,Deven Simms made Free Throw.,28,31
1:26,2032,Deven Simms made Free Throw.,29,31
1:16,2630,Javier Martinez made Layup. Assisted by Malik Pugh.,29,33
1:00,2032,Devin Carter made Three Point Jumper. Assisted by Rashad Lindsey.,32,33
0:40,2630,Matthew Butler Turnover.,32,33
0:39,2032,Connor Kern Steal.,32,33
0:35,2032,Arkansas St  Timeout,32,33
0:34,2032,Deven Simms made Jumper. Assisted by Rashad Lindsey.,34,33
0:34,2630,Foul on Matthew Butler.,34,33
0:34,2032,Deven Simms made Free Throw.,35,33
0:19,2630,Malik Pugh Turnover.,35,33
0:18,2032,Connor Kern Steal.,35,33
0:16,2032,Deven Simms Turnover.,35,33
0:16,2630,UT Martin  Timeout,35,33
0:01,2630,Kedar Edwards missed Layup.,35,33
0:01,2032,Salif Boudie Block.,35,33
0:01,2630,UT Martin Offensive Rebound.,35,33
0:00,2630,End of 1st half,35,33
19:53,2630,Javier Martinez Turnover.,35,33
19:48,2032,Foul on Nelson Nweke.,35,33
19:48,2032,Nelson Nweke Turnover.,35,33
19:25,2630,Javier Martinez made Jumper.,35,35
19:07,2032,Donte Thomas missed Jumper.,35,35
19:07,2630,Chandler Rowe Defensive Rebound.,35,35
18:58,2630,Javier Martinez missed Layup.,35,35
18:58,2032,Devin Carter Block.,35,35
18:56,2032,Donte Thomas Defensive Rebound.,35,35
18:50,2630,Foul on Matthew Butler.,35,35
18:50,2032,C.J. Foster made Free Throw.,36,35
18:50,2032,C.J. Foster made Free Throw.,37,35
18:33,2630,Matthew Butler made Layup.,37,37
18:16,2032,Devin Carter Turnover.,37,37
18:16,2630,Chandler Rowe Steal.,37,37
18:00,2630,Javier Martinez missed Jumper.,37,37
18:00,2032,Donte Thomas Defensive Rebound.,37,37
17:53,2032,Devin Carter missed Three Point Jumper.,37,37
17:53,2630,Javier Martinez Defensive Rebound.,37,37
17:41,2630,Kedar Edwards missed Jumper.,37,37
17:41,2032,Nelson Nweke Defensive Rebound.,37,37
17:11,2032,Donte Thomas made Jumper.,39,37
17:11,2630,Foul on Javier Martinez.,39,37
17:00,2032,C.J. Foster made Three Point Jumper. Assisted by Rashad Lindsey.,42,37
16:38,2630,Jalen Jackson Turnover.,42,37
16:37,2032,Donte Thomas Steal.,42,37
16:30,2032,Donte Thomas Turnover.,42,37
16:18,2630,Kedar Edwards Turnover.,42,37
15:57,2032,Donte Thomas missed Three Point Jumper.,42,37
15:57,2630,Kedar Edwards Defensive Rebound.,42,37
15:56,2032,Foul on Tamas Bruce.,42,37
15:56,2630,Official TV Timeout,42,37
15:45,2630,Fatodd Lewis made Jumper.,42,39
15:20,2032,Devin Carter missed Three Point Jumper.,42,39
15:20,2032,Salif Boudie Offensive Rebound.,42,39
15:18,2032,Salif Boudie missed Jumper.,42,39
15:18,2032,C.J. Foster Offensive Rebound.,42,39
15:15,2032,C.J. Foster made Layup.,44,39
15:15,2630,Foul on Malik London.,44,39
15:15,2032,C.J. Foster made Free Throw.,45,39
15:05,2032,Foul on Salif Boudie.,45,39
15:05,2630,Malik Pugh missed Free Throw.,45,39
15:05,2032,Arkansas St Deadball Team Rebound.,45,39
15:05,2630,Malik Pugh made Free Throw.,45,40
14:53,2032,Devin Carter made Jumper.,47,40
14:53,2630,Foul on Malik Pugh.,47,40
14:53,2032,Devin Carter made Free Throw.,48,40
14:42,2630,Kedar Edwards missed Jumper.,48,40
14:42,2032,Arkansas St Defensive Rebound.,48,40
14:25,2032,Rashad Lindsey missed Jumper.,48,40
14:25,2630,Fatodd Lewis Defensive Rebound.,48,40
14:23,2032,Foul on Salif Boudie.,48,40
13:56,2630,Javier Martinez made Layup. Assisted by Matthew Butler.,48,42
13:56,2630,UT Martin  Timeout,48,42
13:33,2032,Devin Carter made Three Point Jumper. Assisted by C.J. Foster.,51,42
13:14,2032,Foul on Salif Boudie.,51,42
13:14,2630,Kedar Edwards missed Free Throw.,51,42
13:14,2032,Arkansas St Deadball Team Rebound.,51,42
13:14,2630,Kedar Edwards made Free Throw.,51,43
13:02,2032,Tamas Bruce made Layup. Assisted by Deven Simms.,53,43
13:02,2630,Foul on Kahari Beaufort.,53,43
13:02,2032,Tamas Bruce missed Free Throw.,53,43
13:02,2630,Javier Martinez Defensive Rebound.,53,43
12:47,2032,Foul on Devin Carter.,53,43
12:47,2630,Kedar Edwards Turnover.,53,43
12:46,2032,Deven Simms Steal.,53,43
12:43,2032,Deven Simms made Layup.,55,43
12:28,2630,Matthew Butler missed Three Point Jumper.,55,43
12:28,2032,C.J. Foster Defensive Rebound.,55,43
12:26,2630,Foul on Fatodd Lewis.,55,43
11:59,2032,Deven Simms made Layup. Assisted by C.J. Foster.,57,43
11:43,2032,Foul on Tamas Bruce.,57,43
11:43,2630,Official TV Timeout,57,43
11:43,2630,Javier Martinez made Free Throw.,57,44
11:43,2630,Javier Martinez made Free Throw.,57,45
11:26,2032,C.J. Foster missed Three Point Jumper.,57,45
11:26,2630,Kedar Edwards Defensive Rebound.,57,45
11:08,2630,Javier Martinez made Layup. Assisted by Matthew Butler.,57,47
10:43,2032,Devin Carter made Three Point Jumper. Assisted by Donte Thomas.,60,47
10:18,2630,Javier Martinez made Layup. Assisted by Matthew Butler.,60,49
9:57,2032,Deven Simms made Jumper.,62,49
9:43,2630,Chandler Rowe made Layup. Assisted by Kedar Edwards.,62,51
9:17,2032,Devin Carter made Three Point Jumper. Assisted by C.J. Foster.,65,51
8:53,2630,Jalen Jackson missed Jumper.,65,51
8:53,2032,Donte Thomas Block.,65,51
8:52,2032,Donte Thomas Defensive Rebound.,65,51
8:46,2032,Devin Carter missed Three Point Jumper.,65,51
8:46,2032,Arkansas St Offensive Rebound.,65,51
8:27,2032,Deven Simms made Layup. Assisted by Donte Thomas.,67,51
8:16,2032,Foul on Donte Thomas.,67,51
8:16,2630,Chandler Rowe made Free Throw.,67,52
8:16,2630,Chandler Rowe made Free Throw.,67,53
8:05,2032,Devin Carter missed Jumper.,67,53
8:05,2630,Chandler Rowe Block.,67,53
8:05,2032,Devin Carter Offensive Rebound.,67,53
7:57,2032,Rashad Lindsey made Three Point Jumper. Assisted by Donte Thomas.,70,53
7:51,2630,Chandler Rowe Turnover.,70,53
7:51,2630,Official TV Timeout,70,53
7:39,2032,Donte Thomas missed Jumper.,70,53
7:39,2032,Deven Simms Offensive Rebound.,70,53
7:36,2032,Deven Simms missed Layup.,70,53
7:36,2630,Javier Martinez Block.,70,53
7:35,2630,Mike Fofana Defensive Rebound.,70,53
7:25,2630,Matthew Butler Turnover.,70,53
7:01,2032,Nelson Nweke made Jumper. Assisted by Rashad Lindsey.,72,53
6:47,2032,Foul on Rashad Lindsey.,72,53
6:47,2630,Matthew Butler missed Free Throw.,72,53
6:47,2032,Deven Simms Defensive Rebound.,72,53
6:22,2032,Deven Simms Turnover.,72,53
6:21,2630,Matthew Butler Steal.,72,53
6:17,2630,Matthew Butler Turnover.,72,53
6:13,2630,Foul on Matthew Butler.,72,53
6:13,2032,Donte Thomas missed Free Throw.,72,53
6:13,2630,Javier Martinez Defensive Rebound.,72,53
6:05,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,72,55
5:33,2032,Devin Carter made Three Point Jumper.,75,55
5:16,2630,Mike Fofana Turnover.,75,55
5:15,2032,Nelson Nweke Steal.,75,55
5:12,2630,Foul on Chandler Rowe.,75,55
5:12,2032,C.J. Foster made Free Throw.,76,55
5:12,2032,C.J. Foster made Free Throw.,77,55
5:01,2630,Kedar Edwards made Three Point Jumper. Assisted by Javier Martinez.,77,58
4:39,2032,Devin Carter made Three Point Jumper. Assisted by C.J. Foster.,80,58
4:24,2630,Kedar Edwards missed Three Point Jumper.,80,58
4:24,2032,Donte Thomas Defensive Rebound.,80,58
4:23,2630,Foul on Mike Fofana.,80,58
4:23,2032,Donte Thomas missed Free Throw.,80,58
4:23,2032,C.J. Foster Offensive Rebound.,80,58
4:18,2032,Rashad Lindsey made Three Point Jumper. Assisted by C.J. Foster.,83,58
3:59,2032,Foul on C.J. Foster.,83,58
3:59,2630,Official TV Timeout,83,58
3:59,2630,Kedar Edwards made Free Throw.,83,59
3:59,2630,Kedar Edwards made Free Throw.,83,60
3:46,2032,Arkansas St  Timeout,83,60
3:31,2630,Foul on Mike Fofana.,83,60
3:31,2032,C.J. Foster missed Free Throw.,83,60
3:31,2630,UT Martin Deadball Team Rebound.,83,60
3:31,2032,C.J. Foster made Free Throw.,84,60
3:14,2630,Mike Fofana missed Jumper.,84,60
3:14,2032,Rashad Lindsey Defensive Rebound.,84,60
3:07,2032,Salif Boudie made Dunk. Assisted by Rashad Lindsey.,86,60
2:56,2630,Kedar Edwards made Layup. Assisted by Matthew Butler.,86,62
2:23,2032,C.J. Foster missed Jumper.,86,62
2:23,2032,Salif Boudie Offensive Rebound.,86,62
2:22,2630,Foul on Chandler Rowe.,86,62
2:22,2032,Salif Boudie made Free Throw.,87,62
2:22,2032,Salif Boudie missed Free Throw.,87,62
2:22,2630,Javier Martinez Defensive Rebound.,87,62
2:12,2630,Matthew Butler Turnover.,87,62
1:44,2032,Tamas Bruce missed Jumper.,87,62
1:44,2032,Tamas Bruce Offensive Rebound.,87,62
1:43,2630,Foul on Javier Martinez.,87,62
1:43,2032,Tamas Bruce missed Free Throw.,87,62
1:43,2630,UT Martin Deadball Team Rebound.,87,62
1:43,2032,Tamas Bruce missed Free Throw.,87,62
1:43,2032,Andrew Riley Offensive Rebound.,87,62
1:34,2032,Christian Davis missed Jumper.,87,62
1:34,2630,Mike Fofana Defensive Rebound.,87,62
1:27,2630,Kedar Edwards made Layup.,87,64
1:12,2032,Tamas Bruce missed Layup.,87,64
1:12,2630,Javier Martinez Defensive Rebound.,87,64
1:08,2630,Matthew Butler Turnover.,87,64
0:53,2032,Andrew Riley missed Three Point Jumper.,87,64
0:53,2032,Christian Davis Offensive Rebound.,87,64
0:46,2032,Andrew Riley missed Three Point Jumper.,87,64
0:46,2630,Kedar Edwards Defensive Rebound.,87,64
0:38,2630,Kedar Edwards made Layup.,87,66
0:25,2032,Christian Willis Turnover.,87,66
0:14,2630,Kedar Edwards missed Three Point Jumper.,87,66
0:14,2630,Javier Martinez Offensive Rebound.,87,66
0:08,2032,Foul on Christian Willis.,87,66
0:08,2630,Mike Fofana made Free Throw.,87,67
0:08,2630,Mike Fofana made Free Throw.,87,68
0:00,2630,End of Game,87,68
