UNC Wilmington,2097,Campbell,350
6:59,350,JaQuel Richmond made Jumper.,22,19
6:32,2097,Kyre' Hamer missed Layup.,22,19
6:32,350,Devontae Cacok Defensive Rebound.,22,19
6:02,350,JaQuel Richmond made Jumper.,24,19
5:33,2097,Chris Clemons made Three Point Jumper. Assisted by Mogga Lado.,24,22
5:17,350,Devontae Cacok made Layup. Assisted by JaQuel Richmond.,26,22
5:17,2097,Foul on Cory Gensler.,26,22
5:17,350,Devontae Cacok made Free Throw.,27,22
5:13,2097,Shane Whitfield missed Layup.,27,22
5:13,2097,Chris Clemons Offensive Rebound.,27,22
5:09,2097,Chris Clemons made Dunk.,27,24
5:04,350,C.J. Bryce made Three Point Jumper. Assisted by JaQuel Richmond.,30,24
4:46,350,Foul on C.J. Bryce.,30,24
4:46,2097,Chris Clemons made Free Throw.,30,25
4:46,2097,Chris Clemons made Free Throw.,30,26
4:46,2097,Campbell  Timeout,30,26
4:20,350,Jordon Talley made Layup.,32,26
4:13,2097,Quinton Ray Turnover.,32,26
3:51,350,C.J. Bryce made Jumper. Assisted by Jordon Talley.,34,26
3:40,350,Foul on Devontae Cacok.,34,26
3:40,2097,Official TV Timeout,34,26
3:40,2097,Chris Clemons made Free Throw.,34,27
3:40,2097,Chris Clemons missed Free Throw.,34,27
3:40,350,Devontae Cacok Defensive Rebound.,34,27
3:28,350,Jordon Talley Turnover.,34,27
3:26,2097,Mogga Lado Steal.,34,27
3:01,2097,Cory Gensler made Jumper. Assisted by Chris Clemons.,34,29
2:46,350,Devontae Cacok made Layup. Assisted by Jordon Talley.,36,29
2:15,2097,Chris Clemons missed Three Point Jumper.,36,29
2:15,350,Devontae Cacok Defensive Rebound.,36,29
2:06,350,Jordon Talley missed Three Point Jumper.,36,29
2:06,2097,Chris Clemons Block.,36,29
2:03,2097,Mogga Lado Defensive Rebound.,36,29
1:54,2097,Kyre' Hamer missed Layup.,36,29
1:54,350,Devontae Cacok Defensive Rebound.,36,29
1:47,350,C.J. Bryce made Layup. Assisted by Ambrose Mosley.,38,29
1:27,350,Foul on Chris Flemmings.,38,29
1:27,2097,Shane Whitfield made Free Throw.,38,30
1:27,2097,Shane Whitfield made Free Throw.,38,31
1:16,2097,Foul on Chris Clemons.,38,31
1:16,350,Devontae Cacok missed Free Throw.,38,31
1:16,350,UNC Wilmington Deadball Team Rebound.,38,31
1:16,350,Devontae Cacok made Free Throw.,39,31
1:06,350,Foul on Jordon Talley.,39,31
1:06,2097,Shane Whitfield made Free Throw.,39,32
1:06,2097,Shane Whitfield missed Free Throw.,39,32
1:06,350,Devontae Cacok Defensive Rebound.,39,32
0:47,350,Chris Flemmings made Jumper.,41,32
0:15,2097,Chris Clemons missed Three Point Jumper.,41,32
0:15,350,Jordon Talley Defensive Rebound.,41,32
0:00,350,Jordon Talley missed Three Point Jumper.,41,32
0:00,350,UNC Wilmington Deadball Team Rebound.,41,32
0:00,2097,End of 1st half,41,32
19:41,350,Foul on Denzel Ingram.,41,32
19:26,2097,Kyre' Hamer made Layup. Assisted by Andrew Eudy.,41,34
19:01,350,JaQuel Richmond made Three Point Jumper. Assisted by Ambrose Mosley.,44,34
18:38,2097,Chris Clemons made Layup.,44,36
18:25,350,C.J. Bryce made Jumper.,46,36
18:02,350,Foul on Devontae Cacok.,46,36
18:02,2097,Shane Whitfield made Free Throw.,46,37
18:02,2097,Shane Whitfield made Free Throw.,46,38
17:35,350,JaQuel Richmond missed Three Point Jumper.,46,38
17:35,2097,Campbell Defensive Rebound.,46,38
17:14,350,Foul on Ambrose Mosley.,46,38
16:55,2097,Andrew Eudy made Jumper.,46,40
16:48,2097,Foul on Andrew Eudy.,46,40
16:40,350,Devontae Cacok made Dunk. Assisted by JaQuel Richmond.,48,40
16:13,2097,Chris Clemons made Jumper.,48,42
15:56,350,Devontae Cacok made Layup. Assisted by C.J. Bryce.,50,42
15:39,2097,Shane Whitfield made Layup.,50,44
15:39,350,Foul on Devontae Cacok.,50,44
15:39,2097,Official TV Timeout,50,44
15:39,2097,Shane Whitfield made Free Throw.,50,45
15:32,350,C.J. Bryce made Layup. Assisted by Chris Flemmings.,52,45
15:18,2097,Shane Whitfield made Layup.,52,47
15:18,350,Foul on Marcus Bryan.,52,47
15:18,2097,Shane Whitfield made Free Throw.,52,48
15:01,350,Marcus Bryan made Layup. Assisted by C.J. Bryce.,54,48
14:52,350,Foul on Chris Flemmings.,54,48
14:52,2097,Shane Whitfield missed Free Throw.,54,48
14:52,2097,Campbell Deadball Team Rebound.,54,48
14:52,2097,Shane Whitfield made Free Throw.,54,49
14:40,350,C.J. Bryce made Layup.,56,49
14:40,2097,Foul on Kyre' Hamer.,56,49
14:40,350,C.J. Bryce made Free Throw.,57,49
14:21,2097,Shane Whitfield Turnover.,57,49
14:20,350,JaQuel Richmond Steal.,57,49
14:16,350,Ambrose Mosley made Layup. Assisted by JaQuel Richmond.,59,49
14:05,2097,Shane Whitfield made Layup.,59,51
13:50,350,JaQuel Richmond missed Jumper.,59,51
13:50,350,UNC Wilmington Offensive Rebound.,59,51
13:43,350,C.J. Bryce missed Jumper.,59,51
13:43,350,UNC Wilmington Offensive Rebound.,59,51
13:34,350,Chris Flemmings made Layup.,61,51
13:16,2097,Shane Whitfield Turnover.,61,51
13:16,2097,Foul on Shane Whitfield.,61,51
13:08,2097,Foul on Quinton Ray.,61,51
13:03,2097,Foul on Quinton Ray.,61,51
12:52,350,JaQuel Richmond missed Jumper.,61,51
12:52,350,Marcus Bryan Offensive Rebound.,61,51
12:43,350,Chris Flemmings Turnover.,61,51
12:43,2097,Shane Whitfield Steal.,61,51
12:43,350,Foul on Chris Flemmings.,61,51
12:43,2097,Shane Whitfield missed Free Throw.,61,51
12:43,350,Marcus Bryan Defensive Rebound.,61,51
12:35,350,Jordon Talley missed Layup.,61,51
12:35,2097,Campbell Defensive Rebound.,61,51
12:16,2097,Damontez Oliver missed Three Point Jumper.,61,51
12:16,350,Jordon Talley Defensive Rebound.,61,51
12:04,350,C.J. Bryce missed Three Point Jumper.,61,51
12:04,2097,Marcus Burk Defensive Rebound.,61,51
11:56,2097,Chris Clemons Turnover.,61,51
11:55,2097,Official TV Timeout,61,51
11:38,2097,Foul on Chris Clemons.,61,51
11:30,350,Denzel Ingram missed Jumper.,61,51
11:30,2097,Marcus Burk Defensive Rebound.,61,51
11:16,2097,Marcus Burk missed Three Point Jumper.,61,51
11:16,350,Chris Flemmings Defensive Rebound.,61,51
11:07,350,Chris Flemmings missed Jumper.,61,51
11:07,2097,Andrew Eudy Block.,61,51
11:07,350,UNC Wilmington Offensive Rebound.,61,51
10:59,2097,Foul on Marcus Burk.,61,51
10:59,350,C.J. Bryce made Free Throw.,62,51
10:59,350,C.J. Bryce made Free Throw.,63,51
10:43,2097,Marcus Burk missed Layup.,63,51
10:43,350,Devontae Cacok Block.,63,51
10:41,350,Devontae Cacok Defensive Rebound.,63,51
10:38,350,Jordon Talley made Layup. Assisted by Devontae Cacok.,65,51
10:35,2097,Campbell  Timeout,65,51
10:03,2097,Campbell  Turnover.,65,51
9:50,2097,Foul on Kyre' Hamer.,65,51
9:50,350,Chris Flemmings missed Free Throw.,65,51
9:50,350,UNC Wilmington Deadball Team Rebound.,65,51
9:30,350,Denzel Ingram made Three Point Jumper.,68,51
9:29,2097,Foul on Marcus Burk.,68,51
9:29,350,Denzel Ingram made Free Throw.,69,51
9:10,2097,Chris Clemons missed Three Point Jumper.,69,51
9:10,2097,Marcus Burk Offensive Rebound.,69,51
9:08,350,Foul on Devontae Cacok.,69,51
9:08,2097,Marcus Burk made Free Throw.,69,52
9:08,2097,Marcus Burk made Free Throw.,69,53
8:55,350,Jordon Talley made Layup.,71,53
8:45,2097,Andrew Eudy made Layup. Assisted by Chris Clemons.,71,55
8:32,350,C.J. Bryce made Three Point Jumper.,74,55
8:21,350,Foul on Marcus Bryan.,74,55
8:21,2097,Chris Clemons made Free Throw.,74,56
8:21,2097,Chris Clemons missed Free Throw.,74,56
8:21,350,Marcus Bryan Defensive Rebound.,74,56
7:59,350,Denzel Ingram made Jumper.,76,56
7:55,2097,Official TV Timeout,76,56
7:38,2097,Damontez Oliver Turnover.,76,56
7:24,350,Jordon Talley missed Jumper.,76,56
7:24,350,Marcus Bryan Offensive Rebound.,76,56
7:20,350,Marcus Bryan missed Layup.,76,56
7:20,2097,Andrew Eudy Block.,76,56
7:18,2097,Andrew Eudy Defensive Rebound.,76,56
6:51,2097,Kyre' Hamer Turnover.,76,56
6:50,350,C.J. Bryce Steal.,76,56
6:46,2097,Foul on Shane Whitfield.,76,56
6:46,350,C.J. Bryce made Free Throw.,77,56
6:46,350,C.J. Bryce made Free Throw.,78,56
6:20,2097,Andrew Eudy made Jumper.,78,58
5:56,350,Marcus Bryan Turnover.,78,58
5:55,2097,Cory Gensler Steal.,78,58
5:52,350,Foul on Marcus Bryan.,78,58
5:52,2097,Shane Whitfield missed Free Throw.,78,58
5:52,2097,Campbell Deadball Team Rebound.,78,58
5:52,2097,Shane Whitfield made Free Throw.,78,59
5:46,350,Devontae Cacok made Dunk. Assisted by Denzel Ingram.,80,59
5:24,2097,Cory Gensler made Layup. Assisted by Chris Clemons.,80,61
5:16,350,Devontae Cacok made Dunk. Assisted by Jaylen Fornes.,82,61
4:52,2097,Shane Whitfield missed Jumper.,82,61
4:52,350,Devontae Cacok Defensive Rebound.,82,61
4:43,350,Denzel Ingram made Three Point Jumper.,85,61
4:30,2097,Andrew Eudy made Layup. Assisted by Chris Clemons.,85,63
4:16,350,Devontae Cacok made Dunk. Assisted by Chris Flemmings.,87,63
4:09,350,Foul on Chris Flemmings.,87,63
4:09,2097,Quinton Ray missed Free Throw.,87,63
4:09,2097,Campbell Deadball Team Rebound.,87,63
4:09,2097,Quinton Ray made Free Throw.,87,64
3:52,350,C.J. Bryce missed Jumper.,87,64
3:52,2097,Andrew Eudy Defensive Rebound.,87,64
3:39,2097,Andrew Eudy made Layup. Assisted by Shane Whitfield.,87,66
3:28,350,Jaylen Fornes made Layup.,89,66
3:06,350,Foul on C.J. Bryce.,89,66
3:06,2097,Official TV Timeout,89,66
3:06,2097,Shane Whitfield made Free Throw.,89,67
3:06,2097,Shane Whitfield made Free Throw.,89,68
2:59,350,Chris Flemmings Turnover.,89,68
2:57,2097,Cory Gensler Steal.,89,68
2:55,2097,Quinton Ray Turnover.,89,68
2:45,350,JaQuel Richmond missed Three Point Jumper.,89,68
2:45,350,C.J. Bryce Offensive Rebound.,89,68
2:42,2097,Foul on Kyre' Hamer.,89,68
2:42,350,C.J. Bryce missed Free Throw.,89,68
2:42,350,UNC Wilmington Deadball Team Rebound.,89,68
2:42,350,C.J. Bryce made Free Throw.,90,68
2:33,2097,Kyre' Hamer made Layup.,90,70
2:33,350,Foul on Matt Elmore.,90,70
2:33,2097,Kyre' Hamer made Free Throw.,90,71
2:12,2097,Foul on Quinton Ray.,90,71
2:12,350,JaQuel Richmond made Free Throw.,91,71
2:12,350,JaQuel Richmond made Free Throw.,92,71
1:44,2097,Cory Gensler made Jumper.,92,73
1:27,350,Matt Elmore missed Jumper.,92,73
1:27,350,Nick Powell Offensive Rebound.,92,73
1:22,350,Nick Powell made Layup.,94,73
1:04,2097,Shane Whitfield Turnover.,94,73
1:02,350,Jaylen Fornes Steal.,94,73
0:59,350,JaQuel Richmond made Layup. Assisted by Jaylen Fornes.,96,73
0:45,2097,Cory Gensler missed Three Point Jumper.,96,73
0:45,350,JaQuel Richmond Defensive Rebound.,96,73
0:35,350,Nick Powell Turnover.,96,73
0:31,2097,Quinton Ray Steal.,96,73
0:30,350,Foul on Jordon Talley.,96,73
0:30,2097,Shane Whitfield made Free Throw.,96,74
0:30,2097,Shane Whitfield made Free Throw.,96,75
0:01,350,UNC Wilmington  Turnover.,96,75
0:00,2097,End of Game,96,75
