East Tennessee State,344,Mississippi State,2193
3:27,2193,East Tennessee St Deadball Team Rebound.,29,23
3:27,2193,Jermaine Long missed Free Throw.,29,23
3:26,344,Schnider Herard Defensive Rebound.,29,23
3:05,344,Foul on Mario Kegler.,29,23
3:05,344,Mario Kegler Turnover.,29,23
2:53,2193,Tevin Glass missed Layup.,29,23
2:53,344,Mario Kegler Defensive Rebound.,29,23
2:40,344,Schnider Herard missed Jumper.,29,23
2:40,2193,Peter Jurkin Block.,29,23
2:40,2193,Tevin Glass Defensive Rebound.,29,23
2:33,2193,Desonta Bradford made Layup.,31,23
2:10,344,Quinndary Weatherspoon missed Layup.,31,23
2:10,2193,Tevin Glass Defensive Rebound.,31,23
1:58,344,Foul on Tyson Carter.,31,23
1:58,2193,Peter Jurkin missed Free Throw.,31,23
1:58,344,E.J. Datcher Defensive Rebound.,31,23
1:53,344,E.J. Datcher missed Jumper.,31,23
1:53,2193,Devontavius Payne Defensive Rebound.,31,23
1:25,2193,Desonta Bradford Turnover.,31,23
1:25,344,Lamar Peters Steal.,31,23
1:10,2193,Foul on Devontavius Payne.,31,23
1:10,344,Quinndary Weatherspoon missed Free Throw.,31,23
1:10,344,Mississippi St Deadball Team Rebound.,31,23
1:10,344,Quinndary Weatherspoon made Free Throw.,31,24
0:57,2193,Tevin Glass missed Layup.,31,24
0:57,344,I.J. Ready Defensive Rebound.,31,24
0:51,344,Quinndary Weatherspoon Turnover.,31,24
0:36,2193,Tevin Glass missed Jumper.,31,24
0:16,344,E.J. Datcher Defensive Rebound.,31,24
0:05,344,E.J. Datcher made Layup. Assisted by I.J. Ready.,31,26
0:00,344,End of 1st half,31,26
20:00,2193,Jump Ball won by East Tennessee St,31,26
20:00,2193,Hanner Mosquera-Perea Turnover.,31,26
19:09,344,Aric Holman made Jumper.,31,28
18:53,344,Foul on Aric Holman.,31,28
18:53,2193,Tevin Glass made Free Throw.,32,28
18:53,344,Foul on Aric Holman.,31,28
18:53,2193,Tevin Glass made Free Throw.,33,28
18:25,344,I.J. Ready missed Jumper.,33,28
18:25,344,Quinndary Weatherspoon Offensive Rebound.,33,28
18:23,344,Mississippi St  Turnover.,33,28
18:08,2193,Desonta Bradford made Layup.,35,28
17:47,344,I.J. Ready Turnover.,35,28
17:47,2193,T.J. Cromer Steal.,35,28
17:43,2193,T.J. Cromer made Layup.,37,28
17:35,344,Quinndary Weatherspoon missed Three Point Jumper.,37,28
17:35,344,Schnider Herard Offensive Rebound.,37,28
17:33,2193,Foul on Isaac Banks.,37,28
17:20,2193,Foul on A.J. Merriweather.,37,28
17:20,344,Quinndary Weatherspoon made Free Throw.,37,29
17:20,344,Quinndary Weatherspoon made Free Throw.,37,30
17:04,2193,Desonta Bradford made Three Point Jumper. Assisted by Jermaine Long.,40,30
16:40,344,Mario Kegler made Layup.,40,32
16:24,2193,Jermaine Long missed Three Point Jumper.,40,32
16:24,344,Mario Kegler Defensive Rebound.,40,32
16:13,2193,Foul on Isaac Banks.,40,32
16:13,2193,Foul on David Burrell.,40,32
16:13,344,I.J. Ready Turnover.,40,32
16:13,2193,Jermaine Long Steal.,40,32
16:07,2193,Desonta Bradford made Dunk.,42,32
15:41,344,I.J. Ready missed Jumper.,42,32
15:41,344,Mississippi St Offensive Rebound.,42,32
15:36,344,Official TV Timeout,42,32
15:20,2193,Foul on Jermaine Long.,42,32
15:07,344,Lamar Peters missed Three Point Jumper.,42,32
15:07,344,Schnider Herard Offensive Rebound.,42,32
15:00,344,Schnider Herard missed Dunk.,42,32
15:00,2193,Desonta Bradford Defensive Rebound.,42,32
14:58,344,Foul on Quinndary Weatherspoon.,42,32
14:37,2193,Jermaine Long missed Three Point Jumper.,42,32
14:34,2193,East Tennessee St Offensive Rebound.,42,32
14:27,2193,Peter Jurkin missed Dunk.,42,32
14:27,2193,Isaac Banks Offensive Rebound.,42,32
14:18,2193,T.J. Cromer missed Layup.,42,32
14:18,2193,Peter Jurkin Offensive Rebound.,42,32
14:18,2193,Peter Jurkin missed Jumper.,42,32
14:18,344,Aric Holman Defensive Rebound.,42,32
14:18,2193,Foul on Peter Jurkin.,42,32
14:01,344,Aric Holman made Three Point Jumper. Assisted by Quinndary Weatherspoon.,42,35
13:42,2193,Jason Williams made Three Point Jumper.,45,35
13:22,344,Quinndary Weatherspoon missed Layup.,45,35
13:22,344,Quinndary Weatherspoon Offensive Rebound.,45,35
13:16,344,Quinndary Weatherspoon made Layup.,45,37
13:06,2193,Devontavius Payne missed Layup.,45,37
13:06,344,Aric Holman Defensive Rebound.,45,37
12:54,344,Quinndary Weatherspoon Turnover.,45,37
12:37,2193,Jason Williams missed Three Point Jumper.,45,37
12:37,344,Mario Kegler Defensive Rebound.,45,37
12:14,344,Quinndary Weatherspoon missed Layup.,45,37
12:14,344,Aric Holman Offensive Rebound.,45,37
12:14,344,Aric Holman made Two Point Tip Shot.,45,39
11:53,2193,Devontavius Payne made Jumper.,47,39
11:34,2193,Foul on Desonta Bradford.,47,39
11:34,344,Official TV Timeout,47,39
11:34,344,Quinndary Weatherspoon made Free Throw.,47,40
11:34,344,Quinndary Weatherspoon made Free Throw.,47,41
11:16,2193,Devontavius Payne made Three Point Jumper.,50,41
10:54,2193,Foul on Devontavius Payne.,50,41
10:54,344,Eli Wright missed Free Throw.,50,41
10:54,344,Mississippi St Deadball Team Rebound.,50,41
10:54,344,Eli Wright made Free Throw.,50,42
10:43,2193,Desonta Bradford missed Three Point Jumper.,50,42
10:43,2193,Hanner Mosquera-Perea Offensive Rebound.,50,42
10:37,2193,Hanner Mosquera-Perea missed Dunk.,50,42
10:37,344,E.J. Datcher Defensive Rebound.,50,42
10:29,344,Aric Holman missed Three Point Jumper.,50,42
10:29,344,E.J. Datcher Offensive Rebound.,50,42
10:13,344,Tyson Carter Turnover.,50,42
9:57,2193,Devontavius Payne Turnover.,50,42
9:52,344,Quinndary Weatherspoon made Layup.,50,44
9:28,2193,Devontavius Payne missed Three Point Jumper.,50,44
9:28,344,Aric Holman Defensive Rebound.,50,44
9:25,2193,Foul on Hanner Mosquera-Perea.,50,44
9:25,344,Aric Holman missed Free Throw.,50,45
9:25,344,Aric Holman made Free Throw.,50,45
9:25,2193,David Burrell Defensive Rebound.,50,45
9:11,2193,T.J. Cromer missed Three Point Jumper.,50,45
9:11,2193,Hanner Mosquera-Perea Offensive Rebound.,50,45
8:51,344,Foul on Lamar Peters.,50,45
8:44,2193,A.J. Merriweather Turnover.,50,45
8:44,344,Lamar Peters Steal.,50,45
8:39,344,Tyson Carter made Layup. Assisted by I.J. Ready.,50,47
8:28,2193,East Tennessee St  Timeout,50,47
8:17,2193,T.J. Cromer missed Three Point Jumper.,50,47
8:17,344,Mario Kegler Defensive Rebound.,50,47
7:56,344,Lamar Peters missed Three Point Jumper.,50,47
7:56,344,Mario Kegler Offensive Rebound.,50,47
7:56,344,Mario Kegler made Two Point Tip Shot.,50,49
7:32,2193,David Burrell made Layup.,52,49
7:17,344,Mississippi St  Timeout,52,49
7:17,344,I.J. Ready missed Jumper.,52,49
7:17,2193,David Burrell Defensive Rebound.,52,49
6:57,2193,T.J. Cromer missed Three Point Jumper.,52,49
6:57,344,Mario Kegler Defensive Rebound.,52,49
6:45,344,Quinndary Weatherspoon missed Layup.,52,49
6:45,2193,Hanner Mosquera-Perea Defensive Rebound.,52,49
6:34,2193,Hanner Mosquera-Perea missed Layup.,52,49
6:34,344,Aric Holman Block.,52,49
6:34,2193,A.J. Merriweather Offensive Rebound.,52,49
6:34,344,Foul on Mario Kegler.,52,49
6:34,2193,A.J. Merriweather made Free Throw.,53,49
6:34,2193,A.J. Merriweather made Free Throw.,54,49
6:10,344,Lamar Peters made Three Point Jumper.,54,52
5:28,344,Foul on Lamar Peters.,54,52
5:11,2193,T.J. Cromer Turnover.,54,52
5:04,2193,Foul on Desonta Bradford.,54,52
5:04,344,Quinndary Weatherspoon made Free Throw.,54,53
5:04,344,Quinndary Weatherspoon made Free Throw.,54,54
4:51,2193,A.J. Merriweather missed Dunk.,54,54
4:51,344,Aric Holman Block.,54,54
4:51,2193,A.J. Merriweather Offensive Rebound.,54,54
4:43,2193,A.J. Merriweather missed Layup.,54,54
4:43,344,Mario Kegler Block.,54,54
4:43,2193,East Tennessee St Offensive Rebound.,54,54
4:33,2193,Desonta Bradford made Layup.,56,54
4:29,344,Lamar Peters missed Three Point Jumper.,56,54
4:29,344,Quinndary Weatherspoon Offensive Rebound.,56,54
4:29,344,Quinndary Weatherspoon missed Jumper.,56,54
4:29,2193,David Burrell Block.,56,54
4:29,2193,David Burrell Defensive Rebound.,56,54
3:48,2193,David Burrell made Three Point Jumper. Assisted by T.J. Cromer.,59,54
3:23,344,Aric Holman Turnover.,59,54
3:12,344,Official TV Timeout,59,54
2:52,344,Foul on Lamar Peters.,59,54
2:52,2193,Desonta Bradford missed Free Throw.,59,54
2:52,344,Mario Kegler Defensive Rebound.,59,54
2:42,344,Aric Holman made Dunk. Assisted by Mario Kegler.,59,56
2:15,2193,T.J. Cromer missed Jumper.,59,56
2:15,344,Aric Holman Block.,59,56
2:15,344,Quinndary Weatherspoon Defensive Rebound.,59,56
2:07,2193,Foul on A.J. Merriweather.,59,56
2:07,344,Mario Kegler made Free Throw.,59,57
2:07,344,Mario Kegler missed Free Throw.,59,57
2:07,344,Mississippi St Deadball Team Rebound.,59,57
2:07,344,Mario Kegler missed Free Throw.,59,57
2:07,2193,Desonta Bradford Defensive Rebound.,59,57
1:51,2193,T.J. Cromer made Jumper.,61,57
1:25,344,Lamar Peters missed Layup.,61,57
1:25,2193,Hanner Mosquera-Perea Block.,61,57
1:25,344,Mississippi St Offensive Rebound.,61,57
1:24,344,Aric Holman made Layup. Assisted by I.J. Ready.,61,59
1:24,2193,Foul on David Burrell.,61,59
1:24,344,Aric Holman made Free Throw.,61,60
1:02,2193,Desonta Bradford made Jumper.,63,60
0:43,344,Aric Holman made Dunk. Assisted by Lamar Peters.,63,62
0:20,344,Foul on I.J. Ready.,63,62
0:20,344,Mississippi St  Timeout,63,62
0:20,2193,Desonta Bradford made Free Throw.,64,62
0:20,2193,Desonta Bradford made Free Throw.,65,62
0:20,2193,East Tennessee St  Timeout,65,62
0:14,344,Lamar Peters made Three Point Jumper.,65,65
0:10,344,Mississippi St  Timeout,65,65
0:05,2193,Desonta Bradford missed Jumper.,65,65
0:05,2193,David Burrell Offensive Rebound.,65,65
0:05,2193,David Burrell missed Jumper.,65,65
0:05,2193,Hanner Mosquera-Perea Offensive Rebound.,65,65
0:05,2193,Hanner Mosquera-Perea made Layup.,67,65
0:03,344,I.J. Ready missed Three Point Jumper.,67,65
0:03,344,Mississippi St Offensive Rebound.,67,65
0:00,344,End of Game,67,65
