Little Rock,2464,Northern Arizona,2031
18:36,2031,Oliver Black made Layup.,39,36
18:20,2464,Marcus DeBerry made Jumper. Assisted by JoJo Anderson.,39,38
18:04,2031,Jalen Jackson made Jumper.,41,38
17:41,2464,Felix Rivera-Vega made Layup.,41,40
17:15,2031,Jalen Jackson made Jumper.,43,40
17:00,2464,Ako Kaluna missed Jumper.,43,40
17:00,2464,Felix Rivera-Vega Offensive Rebound.,43,40
16:49,2464,Felix Rivera-Vega missed Layup.,43,40
16:49,2464,Jordyn Martin Offensive Rebound.,43,40
16:49,2464,Jordyn Martin made Free Throw.,43,41
16:49,2464,Jordyn Martin missed Free Throw.,43,41
16:49,2031,Maurius Hill Defensive Rebound.,43,41
16:33,2031,Kemy Osse Turnover.,43,41
16:17,2464,Jordyn Martin made Layup. Assisted by JoJo Anderson.,43,43
15:50,2031,Maurius Hill missed Layup.,43,43
15:50,2464,JoJo Anderson Defensive Rebound.,43,43
15:38,2464,Marcus DeBerry missed Three Point Jumper.,43,43
15:38,2031,Oliver Black Defensive Rebound.,43,43
15:34,2464,Foul on Brooks DeBisschop.,43,43
15:34,2464,Official TV Timeout,43,43
15:20,2031,Oliver Black missed Jumper.,43,43
15:20,2464,Jordyn Martin Defensive Rebound.,43,43
15:13,2031,Foul on Andre Jones.,43,43
15:09,2464,Marcus DeBerry missed Three Point Jumper.,43,43
15:09,2464,Jordyn Martin Offensive Rebound.,43,43
14:48,2464,Marcus DeBerry missed Three Point Jumper.,43,43
14:48,2464,Aziz Seck Offensive Rebound.,43,43
14:45,2031,Foul on Kemy Osse.,43,43
14:44,2031,Foul on Ben Marcus.,43,43
14:34,2031,Foul on Maurius Hill.,43,43
14:34,2464,Brooks DeBisschop made Free Throw.,43,44
14:34,2464,Brooks DeBisschop missed Free Throw.,43,44
14:34,2031,Maurius Hill Defensive Rebound.,43,44
14:24,2464,Foul on Corey Brown.,43,44
14:19,2031,Kemy Osse missed Three Point Jumper.,43,44
14:19,2031,Ben Marcus Offensive Rebound.,43,44
14:06,2464,Foul on Aziz Seck.,43,44
13:52,2031,Marcus Johnson Jr. missed Jumper.,43,44
13:52,2464,Felix Rivera-Vega Defensive Rebound.,43,44
13:36,2464,JoJo Anderson missed Three Point Jumper.,43,44
13:36,2464,Ako Kaluna Offensive Rebound.,43,44
13:31,2464,Marcus DeBerry made Three Point Jumper. Assisted by Ako Kaluna.,43,47
13:02,2031,Kemy Osse made Three Point Jumper. Assisted by Maurius Hill.,46,47
12:45,2031,Foul on Kemy Osse.,46,47
12:32,2464,Ako Kaluna Turnover.,46,47
12:25,2031,Kemy Osse missed Three Point Jumper.,46,47
12:25,2464,Jordyn Martin Defensive Rebound.,46,47
12:14,2464,Jordyn Martin missed Layup.,46,47
12:14,2031,Lis Shoshi Block.,46,47
12:14,2464,Northern Arizona Offensive Rebound.,46,47
12:07,2464,Felix Rivera-Vega made Jumper.,46,49
12:07,2031,Foul on Maurius Hill.,46,49
12:07,2464,Felix Rivera-Vega made Free Throw.,46,50
11:51,2464,Foul on Felix Rivera-Vega.,46,50
11:51,2464,Official TV Timeout,46,50
11:45,2031,Lis Shoshi missed Layup.,46,50
11:45,2464,Ako Kaluna Block.,46,50
11:43,2031,Lis Shoshi Offensive Rebound.,46,50
11:41,2464,Foul on Ako Kaluna.,46,50
11:41,2464,Foul on Chris Bowling.,46,50
11:39,2031,Marcus Johnson Jr. made Layup. Assisted by Jalen Jackson.,48,50
11:16,2464,Felix Rivera-Vega Turnover.,48,50
11:15,2031,Kemy Osse Steal.,48,50
11:13,2031,Marcus Johnson Jr. made Layup. Assisted by Kemy Osse.,50,50
10:50,2464,Chris Bowling missed Layup.,50,50
10:50,2031,Jalen Jackson Defensive Rebound.,50,50
10:48,2464,Foul on Chris Bowling.,50,50
10:48,2031,Jalen Jackson made Free Throw.,51,50
10:48,2031,Jalen Jackson made Free Throw.,52,50
10:39,2464,Marcus DeBerry missed Jumper.,52,50
10:39,2464,Northern Arizona Offensive Rebound.,52,50
10:24,2464,Jordyn Martin missed Jumper.,52,50
10:24,2464,Felix Rivera-Vega Offensive Rebound.,52,50
10:21,2031,Foul on Lis Shoshi.,52,50
10:21,2464,Felix Rivera-Vega missed Free Throw.,52,50
10:21,2464,Northern Arizona Deadball Team Rebound.,52,50
10:21,2464,Felix Rivera-Vega missed Free Throw.,52,50
10:21,2031,Jalen Jackson Defensive Rebound.,52,50
10:08,2031,Maurius Hill missed Three Point Jumper.,52,50
10:08,2464,Felix Rivera-Vega Defensive Rebound.,52,50
9:49,2464,Jordyn Martin made Jumper. Assisted by Marcus DeBerry.,52,52
9:34,2464,Foul on Felix Rivera-Vega.,52,52
9:34,2031,Jalen Jackson made Free Throw.,53,52
9:34,2031,Jalen Jackson made Free Throw.,54,52
9:28,2464,Aziz Seck made Jumper.,54,54
9:28,2031,Foul on Oliver Black.,54,54
9:28,2464,Aziz Seck missed Free Throw.,54,54
9:28,2031,Jalen Jackson Defensive Rebound.,54,54
9:09,2031,Marcus Johnson Jr. made Jumper.,56,54
8:45,2464,Marcus DeBerry Turnover.,56,54
8:43,2031,Maurius Hill Steal.,56,54
8:30,2031,Marcus Johnson Jr. missed Three Point Jumper.,56,54
8:30,2031,Oliver Black Offensive Rebound.,56,54
8:23,2464,Foul on JoJo Anderson.,56,54
8:23,2031,Oliver Black made Free Throw.,57,54
8:23,2031,Oliver Black made Free Throw.,58,54
8:10,2031,Foul on Deondre Burns.,58,54
8:10,2464,Aziz Seck missed Free Throw.,58,54
8:10,2464,Northern Arizona Deadball Team Rebound.,58,54
8:10,2464,Aziz Seck missed Free Throw.,58,54
8:10,2031,Oliver Black Defensive Rebound.,58,54
7:47,2031,Foul on Jalen Jackson.,58,54
7:47,2031,Jalen Jackson Turnover.,58,54
7:47,2464,Official TV Timeout,58,54
7:36,2464,Marcus DeBerry made Three Point Jumper. Assisted by JoJo Anderson.,58,57
7:17,2031,Maurius Hill made Jumper. Assisted by Kemy Osse.,60,57
6:49,2464,Felix Rivera-Vega Turnover.,60,57
6:48,2031,Marcus Johnson Jr. Steal.,60,57
6:31,2031,Deondre Burns missed Three Point Jumper.,60,57
6:31,2464,Marcus DeBerry Defensive Rebound.,60,57
6:25,2464,Marcus DeBerry made Layup.,60,59
6:05,2031,Kemy Osse missed Three Point Jumper.,60,59
6:05,2464,Jordyn Martin Defensive Rebound.,60,59
6:02,2031,Foul on Oliver Black.,60,59
6:02,2464,Jordyn Martin made Free Throw.,60,60
6:02,2464,Jordyn Martin missed Free Throw.,60,60
6:02,2031,Kemy Osse Defensive Rebound.,60,60
5:50,2031,Oliver Black made Jumper. Assisted by Marcus Johnson Jr..,62,60
5:29,2464,Jordyn Martin missed Layup.,62,60
5:29,2031,Maurius Hill Defensive Rebound.,62,60
5:11,2031,Oliver Black missed Jumper.,62,60
5:11,2464,Ako Kaluna Defensive Rebound.,62,60
4:46,2464,Ako Kaluna Turnover.,62,60
4:46,2464,Northern Arizona  Timeout,62,60
4:35,2464,Foul on Marcus DeBerry.,62,60
4:35,2031,Lis Shoshi made Free Throw.,63,60
4:35,2031,Lis Shoshi made Free Throw.,64,60
4:05,2464,Marcus DeBerry missed Three Point Jumper.,64,60
4:05,2031,Lis Shoshi Defensive Rebound.,64,60
3:49,2031,Foul on Maurius Hill.,64,60
3:49,2031,Maurius Hill Turnover.,64,60
3:49,2464,Official TV Timeout,64,60
3:29,2464,Marcus DeBerry missed Jumper.,64,60
3:29,2031,Maurius Hill Defensive Rebound.,64,60
3:09,2031,Lis Shoshi made Jumper. Assisted by Jalen Jackson.,66,60
2:51,2464,Jordyn Martin missed Layup.,66,60
2:51,2031,Maurius Hill Block.,66,60
2:49,2031,Kemy Osse Defensive Rebound.,66,60
2:27,2031,Marcus Johnson Jr. missed Jumper.,66,60
2:27,2464,Felix Rivera-Vega Defensive Rebound.,66,60
2:17,2031,Foul on Kemy Osse.,66,60
2:17,2464,JoJo Anderson made Free Throw.,66,61
2:17,2464,JoJo Anderson made Free Throw.,66,62
2:00,2031,Lis Shoshi missed Three Point Jumper.,66,62
2:00,2464,JoJo Anderson Defensive Rebound.,66,62
1:41,2464,Marcus DeBerry missed Jumper.,66,62
1:41,2031,Kemy Osse Defensive Rebound.,66,62
1:19,2464,Foul on Brooks DeBisschop.,66,62
1:19,2031,Lis Shoshi missed Free Throw.,66,62
1:19,2031,Little Rock Deadball Team Rebound.,66,62
1:19,2031,Lis Shoshi made Free Throw.,67,62
1:03,2464,Brooks DeBisschop missed Jumper.,67,62
1:03,2031,Lis Shoshi Block.,67,62
1:02,2031,Lis Shoshi Defensive Rebound.,67,62
1:00,2464,Foul on Brooks DeBisschop.,67,62
1:00,2031,Lis Shoshi missed Free Throw.,67,62
1:00,2031,Little Rock Deadball Team Rebound.,67,62
1:00,2031,Lis Shoshi made Free Throw.,68,62
0:46,2464,JoJo Anderson made Three Point Jumper. Assisted by Marcus DeBerry.,68,65
0:44,2464,Northern Arizona  Timeout,68,65
0:20,2031,Jalen Jackson made Jumper.,70,65
0:12,2464,Marcus DeBerry missed Three Point Jumper.,70,65
0:12,2031,Jalen Jackson Defensive Rebound.,70,65
0:08,2464,Foul on Felix Rivera-Vega.,70,65
0:08,2031,Jalen Jackson missed Free Throw.,70,65
0:08,2031,Little Rock Deadball Team Rebound.,70,65
0:08,2031,Jalen Jackson made Free Throw.,71,65
0:06,2031,Foul on Marcus Johnson Jr..,71,65
0:06,2464,JoJo Anderson made Free Throw.,71,66
0:06,2464,JoJo Anderson made Free Throw.,71,67
0:01,2464,Foul on Marcus DeBerry.,71,67
0:01,2031,Lis Shoshi missed Free Throw.,71,67
0:01,2031,Little Rock Deadball Team Rebound.,71,67
0:01,2031,Lis Shoshi made Free Throw.,72,67
0:01,2464,Felix Rivera-Vega missed Three Point Jumper.,72,67
0:01,2031,Little Rock Defensive Rebound.,72,67
0:00,2464,End of Game,72,67
