Saint Joseph's,163,Princeton,2603
7:13,163,Steven Cook missed Layup.,29,23
7:13,2603,Charlie Brown Block.,29,23
7:13,2603,Charlie Brown Defensive Rebound.,29,23
7:02,2603,Brendan Casper Turnover.,29,23
6:50,163,Spencer Weisz missed Three Point Jumper.,29,23
6:50,2603,Lamarr Kimble Defensive Rebound.,29,23
6:43,2603,Lamarr Kimble made Jumper.,31,23
6:20,2603,Foul on Charlie Brown.,31,23
6:20,163,Steven Cook made Free Throw.,31,24
6:20,163,Steven Cook missed Free Throw.,31,24
6:20,2603,Markell Lodge Defensive Rebound.,31,24
6:03,2603,Chris Clover made Jumper.,33,24
5:41,2603,Foul on Markell Lodge.,33,24
5:41,163,Myles Stephens missed Free Throw.,33,24
5:41,163,Princeton Deadball Team Rebound.,33,24
5:41,163,Myles Stephens made Free Throw.,33,25
5:36,2603,Chris Clover missed Jumper.,33,25
5:36,163,Amir Bell Defensive Rebound.,33,25
5:20,163,Steven Cook missed Layup.,33,25
5:20,163,Steven Cook Offensive Rebound.,33,25
5:14,163,Steven Cook missed Layup.,33,25
5:14,2603,Saint Joseph's Defensive Rebound.,33,25
5:00,2603,Jai Williams made Layup. Assisted by Lamarr Kimble.,35,25
4:57,163,Princeton  Timeout,35,25
4:39,2603,Foul on Chris Clover.,35,25
4:39,163,Steven Cook missed Free Throw.,35,25
4:39,2603,Jai Williams Defensive Rebound.,35,25
4:25,2603,Charlie Brown missed Three Point Jumper.,35,25
4:25,163,Amir Bell Defensive Rebound.,35,25
4:02,163,Amir Bell made Layup.,35,27
3:35,2603,Foul on Chris Clover.,35,27
3:35,2603,Chris Clover Turnover.,35,27
3:35,163,Official TV Timeout,35,27
3:29,163,Devin Cannady Turnover.,35,27
3:29,2603,Shavar Newkirk Steal.,35,27
3:21,2603,Charlie Brown made Layup. Assisted by Lamarr Kimble.,37,27
3:05,2603,Foul on Charlie Brown.,37,27
3:05,163,Spencer Weisz missed Free Throw.,37,27
3:05,163,Princeton Deadball Team Rebound.,37,27
3:05,163,Spencer Weisz made Free Throw.,37,28
2:47,2603,Foul on Jai Williams.,37,28
2:47,2603,Jai Williams Turnover.,37,28
2:38,163,Devin Cannady made Three Point Jumper. Assisted by Spencer Weisz.,37,31
2:25,2603,Nick Robinson missed Jumper.,37,31
2:25,163,Spencer Weisz Defensive Rebound.,37,31
2:14,163,Aaron Young missed Three Point Jumper.,37,31
2:14,2603,Shavar Newkirk Defensive Rebound.,37,31
1:56,2603,Lamarr Kimble made Layup.,39,31
1:51,163,Devin Cannady Turnover.,39,31
1:51,2603,Shavar Newkirk Steal.,39,31
1:46,163,Foul on Spencer Weisz.,39,31
1:46,2603,Shavar Newkirk made Free Throw.,40,31
1:46,2603,Shavar Newkirk made Free Throw.,41,31
1:31,163,Myles Stephens made Jumper. Assisted by Steven Cook.,41,33
1:10,2603,Lamarr Kimble missed Three Point Jumper.,41,33
1:10,163,Myles Stephens Defensive Rebound.,41,33
1:01,163,Spencer Weisz made Three Point Jumper. Assisted by Myles Stephens.,41,36
0:53,2603,Saint Joseph's  Timeout,41,36
0:39,2603,Brendan Casper made Jumper. Assisted by Lamarr Kimble.,43,36
0:07,163,Myles Stephens made Layup.,43,38
0:00,163,End of 1st half,43,38
20:00,2603,Jump Ball won by Saint Joseph's,43,38
19:43,2603,Shavar Newkirk missed Jumper.,43,38
19:43,2603,Markell Lodge Offensive Rebound.,43,38
19:25,2603,Lamarr Kimble made Three Point Jumper. Assisted by Nick Robinson.,46,38
19:10,163,Devin Cannady missed Three Point Jumper.,46,38
19:10,2603,Charlie Brown Defensive Rebound.,46,38
19:00,2603,Charlie Brown made Three Point Jumper. Assisted by Lamarr Kimble.,49,38
18:42,163,Myles Stephens made Three Point Jumper. Assisted by Pete Miller.,49,41
18:23,2603,Lamarr Kimble made Jumper.,51,41
18:01,163,Devin Cannady missed Jumper.,51,41
18:01,2603,Nick Robinson Block.,51,41
18:01,2603,Charlie Brown Defensive Rebound.,51,41
17:54,2603,Charlie Brown Turnover.,51,41
17:54,163,Spencer Weisz Steal.,51,41
17:50,163,Spencer Weisz missed Layup.,51,41
17:50,2603,Lamarr Kimble Defensive Rebound.,51,41
17:41,2603,Shavar Newkirk missed Jumper.,51,41
17:41,2603,Shavar Newkirk Offensive Rebound.,51,41
17:16,2603,Lamarr Kimble missed Three Point Jumper.,51,41
17:16,163,Pete Miller Defensive Rebound.,51,41
16:59,163,Myles Stephens missed Jumper.,51,41
16:59,2603,Saint Joseph's Defensive Rebound.,51,41
16:37,2603,Nick Robinson Turnover.,51,41
16:37,163,Spencer Weisz Steal.,51,41
16:32,163,Devin Cannady made Layup. Assisted by Spencer Weisz.,51,43
16:05,2603,Markell Lodge missed Layup.,51,43
16:05,163,Will Gladson Block.,51,43
16:05,163,Princeton Defensive Rebound.,51,43
15:49,163,Myles Stephens missed Layup.,51,43
15:49,2603,Markell Lodge Block.,51,43
15:49,2603,Charlie Brown Defensive Rebound.,51,43
15:39,163,Foul on Devin Cannady.,51,43
15:38,163,Official TV Timeout,51,43
15:24,2603,Charlie Brown missed Jumper.,51,43
15:24,2603,Markell Lodge Offensive Rebound.,51,43
15:16,2603,Shavar Newkirk missed Three Point Jumper.,51,43
15:16,2603,Lamarr Kimble Offensive Rebound.,51,43
15:09,2603,Nick Robinson missed Three Point Jumper.,51,43
15:09,163,Spencer Weisz Defensive Rebound.,51,43
14:55,163,Will Gladson made Jumper.,51,45
14:32,2603,Charlie Brown missed Jumper.,51,45
14:32,163,Myles Stephens Defensive Rebound.,51,45
14:19,163,Spencer Weisz missed Three Point Jumper.,51,45
14:19,2603,Saint Joseph's Defensive Rebound.,51,45
14:06,163,Foul on Steven Cook.,51,45
14:06,2603,Lamarr Kimble made Free Throw.,52,45
14:06,2603,Lamarr Kimble missed Free Throw.,52,45
14:06,163,Spencer Weisz Defensive Rebound.,52,45
13:55,2603,Foul on Markell Lodge.,52,45
13:47,2603,Foul on Nick Robinson.,52,45
13:47,163,Spencer Weisz missed Free Throw.,52,45
13:47,163,Princeton Deadball Team Rebound.,52,45
13:47,163,Spencer Weisz missed Free Throw.,52,45
13:47,2603,Javon Baumann Defensive Rebound.,52,45
13:37,2603,Javon Baumann missed Jumper.,52,45
13:37,163,Spencer Weisz Defensive Rebound.,52,45
13:21,163,Myles Stephens made Layup.,52,47
13:01,2603,Shavar Newkirk made Jumper.,54,47
12:46,163,Steven Cook missed Three Point Jumper.,54,47
12:46,2603,Brendan Casper Defensive Rebound.,54,47
12:31,163,Foul on Will Gladson.,54,47
12:26,163,Foul on Amir Bell.,54,47
12:26,2603,Shavar Newkirk made Free Throw.,55,47
12:26,2603,Shavar Newkirk missed Free Throw.,55,47
12:26,163,Amir Bell Defensive Rebound.,55,47
12:17,163,Will Gladson Turnover.,55,47
12:17,2603,Shavar Newkirk Steal.,55,47
12:11,2603,Shavar Newkirk made Layup.,57,47
11:58,163,Princeton  Timeout,57,47
11:58,163,Official TV Timeout,57,47
11:48,2603,Foul on Javon Baumann.,57,47
11:48,163,Official TV Timeout,57,47
11:48,163,Steven Cook made Free Throw.,57,48
11:48,163,Steven Cook made Free Throw.,57,49
11:30,2603,Lamarr Kimble missed Jumper.,57,49
11:30,2603,Saint Joseph's Offensive Rebound.,57,49
11:17,2603,Chris Clover missed Three Point Jumper.,57,49
11:17,2603,Brendan Casper Offensive Rebound.,57,49
10:56,2603,Lamarr Kimble missed Jumper.,57,49
10:56,2603,Javon Baumann Offensive Rebound.,57,49
10:56,2603,Javon Baumann missed Two Point Tip Shot.,57,49
10:56,2603,Javon Baumann Offensive Rebound.,57,49
10:51,163,Foul on Steven Cook.,57,49
10:45,163,Foul on Amir Bell.,57,49
10:43,2603,Chris Clover made Layup. Assisted by Lamarr Kimble.,59,49
10:30,163,Steven Cook made Jumper.,59,51
10:30,2603,Foul on Javon Baumann.,59,51
10:30,163,Steven Cook made Free Throw.,59,52
10:24,2603,Lamarr Kimble Turnover.,59,52
10:24,163,Steven Cook Steal.,59,52
10:21,163,Steven Cook made Dunk. Assisted by Devin Cannady.,59,54
10:03,2603,Brendan Casper Turnover.,59,54
10:03,163,Steven Cook Steal.,59,54
10:02,2603,Saint Joseph's  Timeout,59,54
9:55,163,Alec Brennan made Jumper. Assisted by Devin Cannady.,59,56
9:27,2603,Shavar Newkirk missed Jumper.,59,56
9:27,163,Myles Stephens Block.,59,56
9:27,163,Alec Brennan Defensive Rebound.,59,56
9:10,163,Myles Stephens missed Jumper.,59,56
9:10,2603,Shavar Newkirk Defensive Rebound.,59,56
8:49,2603,Lamarr Kimble missed Layup.,59,56
8:49,163,Spencer Weisz Defensive Rebound.,59,56
8:42,163,Devin Cannady made Three Point Jumper. Assisted by Spencer Weisz.,59,59
8:22,163,Foul on Spencer Weisz.,59,59
8:22,2603,Brendan Casper missed Free Throw.,59,59
8:22,163,Myles Stephens Defensive Rebound.,59,59
8:16,163,Devin Cannady missed Three Point Jumper.,59,59
8:16,2603,Chris Clover Defensive Rebound.,59,59
7:52,163,Foul on Devin Cannady.,59,59
7:52,163,Official TV Timeout,59,59
7:52,2603,Brendan Casper made Free Throw.,60,59
7:52,2603,Brendan Casper made Free Throw.,61,59
7:45,163,Devin Cannady missed Three Point Jumper.,61,59
7:45,2603,Javon Baumann Defensive Rebound.,61,59
7:31,2603,Shavar Newkirk missed Three Point Jumper.,61,59
7:31,163,Spencer Weisz Defensive Rebound.,61,59
7:18,163,Alec Brennan missed Three Point Jumper.,61,59
7:18,2603,Javon Baumann Defensive Rebound.,61,59
7:02,2603,Chris Clover missed Jumper.,61,59
7:02,2603,Nick Robinson Offensive Rebound.,61,59
6:55,2603,Charlie Brown missed Jumper.,61,59
6:55,163,Myles Stephens Defensive Rebound.,61,59
6:37,163,Spencer Weisz made Three Point Jumper. Assisted by Myles Stephens.,61,62
6:14,2603,Shavar Newkirk missed Three Point Jumper.,61,62
6:14,163,Steven Cook Defensive Rebound.,61,62
5:53,2603,Foul on Shavar Newkirk.,61,62
5:35,2603,Foul on Lamarr Kimble.,61,62
5:31,163,Myles Stephens missed Layup.,61,62
5:31,2603,Shavar Newkirk Defensive Rebound.,61,62
5:14,2603,Lamarr Kimble missed Jumper.,61,62
5:14,163,Devin Cannady Defensive Rebound.,61,62
4:52,163,Devin Cannady missed Three Point Jumper.,61,62
4:52,2603,Charlie Brown Defensive Rebound.,61,62
4:40,2603,Shavar Newkirk missed Jumper.,61,62
4:40,163,Amir Bell Defensive Rebound.,61,62
4:33,163,Aaron Young missed Three Point Jumper.,61,62
4:33,2603,Shavar Newkirk Defensive Rebound.,61,62
4:26,2603,Lamarr Kimble missed Layup.,61,62
4:26,163,Spencer Weisz Defensive Rebound.,61,62
3:58,2603,Foul on Charlie Brown.,61,62
3:58,163,Official TV Timeout,61,62
3:58,163,Amir Bell made Free Throw.,61,63
3:58,163,Amir Bell made Free Throw.,61,64
3:49,2603,Charlie Brown missed Three Point Jumper.,61,64
3:49,2603,Lamarr Kimble Offensive Rebound.,61,64
3:43,2603,Saint Joseph's  Timeout,61,64
3:39,2603,Shavar Newkirk made Layup.,63,64
3:19,163,Myles Stephens missed Three Point Jumper.,63,64
3:19,2603,Charlie Brown Defensive Rebound.,63,64
3:01,2603,Charlie Brown made Jumper.,65,64
2:44,163,Amir Bell missed Jumper.,65,64
2:44,2603,Markell Lodge Defensive Rebound.,65,64
2:21,2603,Shavar Newkirk missed Jumper.,65,64
2:21,163,Myles Stephens Defensive Rebound.,65,64
2:07,163,Steven Cook missed Layup.,65,64
2:07,2603,Markell Lodge Block.,65,64
2:07,163,Princeton Offensive Rebound.,65,64
2:02,163,Devin Cannady missed Jumper.,65,64
2:02,2603,Markell Lodge Defensive Rebound.,65,64
1:36,2603,Nick Robinson missed Jumper.,65,64
1:36,163,Steven Cook Block.,65,64
1:36,2603,Shavar Newkirk Offensive Rebound.,65,64
1:29,2603,Shavar Newkirk missed Three Point Jumper.,65,64
1:29,2603,Markell Lodge Offensive Rebound.,65,64
1:25,2603,Markell Lodge made Layup.,67,64
1:18,163,Princeton  Timeout,67,64
1:16,163,Aaron Young missed Three Point Jumper.,67,64
1:16,2603,Shavar Newkirk Defensive Rebound.,67,64
1:09,2603,Shavar Newkirk Turnover.,67,64
0:59,2603,Foul on Brendan Casper.,67,64
0:59,163,Steven Cook missed Free Throw.,67,64
0:59,2603,Nick Robinson Defensive Rebound.,67,64
0:57,163,Foul on Steven Cook.,67,64
0:57,2603,Nick Robinson made Free Throw.,68,64
0:57,2603,Nick Robinson made Free Throw.,69,64
0:53,163,Devin Cannady Turnover.,69,64
0:53,2603,Charlie Brown Steal.,69,64
0:49,2603,Nick Robinson made Layup.,71,64
0:40,163,Amir Bell missed Layup.,71,64
0:40,2603,Nick Robinson Block.,71,64
0:40,2603,Lamarr Kimble Defensive Rebound.,71,64
0:38,163,Foul on Steven Cook.,71,64
0:38,2603,Lamarr Kimble made Free Throw.,72,64
0:38,2603,Lamarr Kimble missed Free Throw.,72,64
0:38,163,Spencer Weisz Defensive Rebound.,72,64
0:33,2603,Foul on Brendan Casper.,72,64
0:33,163,Spencer Weisz made Free Throw.,72,65
0:33,163,Spencer Weisz missed Free Throw.,72,65
0:33,2603,Lamarr Kimble Defensive Rebound.,72,65
0:32,163,Foul on Spencer Weisz.,72,65
0:32,2603,Lamarr Kimble made Free Throw.,73,65
0:32,2603,Lamarr Kimble made Free Throw.,74,65
0:31,163,Devin Cannady missed Three Point Jumper.,74,65
0:31,163,Spencer Weisz Offensive Rebound.,74,65
0:22,163,Spencer Weisz missed Layup.,74,65
0:22,163,Alec Brennan Offensive Rebound.,74,65
0:15,163,Devin Cannady Turnover.,74,65
0:15,2603,Shavar Newkirk Steal.,74,65
0:15,163,Foul on Devin Cannady.,74,65
0:15,2603,Shavar Newkirk made Free Throw.,75,65
0:15,2603,Shavar Newkirk made Free Throw.,76,65
0:13,163,Alec Brennan made Three Point Jumper. Assisted by Aaron Young.,76,68
0:00,163,End of Game,76,68
