Mount Marty,233,South Dakota,573
10:12,233,Trey Burch-Manning made Free Throw.,10,24
10:01,-1,Jesse Scarber missed Three Point Jumper.,10,24
10:01,233,South Dakota Defensive Rebound.,10,24
9:40,233,Brandon Armstrong made Three Point Jumper. Assisted by Triston Simpson.,10,27
9:19,-1,Jesse Scarber made Jumper.,12,27
9:07,233,Tyler Hagedorn made Jumper.,12,29
8:46,-1,Jesse Scarber missed Three Point Jumper.,12,29
8:46,233,Trey Burch-Manning Defensive Rebound.,12,29
8:34,233,Tyler Hagedorn Turnover.,12,29
8:30,-1,Shaye Bloch Turnover.,12,29
8:30,-1,Foul on Shaye Bloch.,12,29
8:09,233,Triston Simpson missed Layup.,12,29
8:09,-1,Drew Cheskie Block.,12,29
8:06,233,Trey Burch-Manning Offensive Rebound.,12,29
8:04,233,Trey Burch-Manning made Layup.,12,31
7:52,-1,Jesse Scarber missed Layup.,12,31
7:52,233,South Dakota Defensive Rebound.,12,31
7:50,233,Official TV Timeout,12,31
7:32,233,Carlton Hurst made Three Point Jumper. Assisted by Triston Simpson.,12,34
7:11,-1,Zane Schumaker missed Three Point Jumper.,12,34
7:11,233,Tyler Peterson Defensive Rebound.,12,34
7:00,233,Triston Simpson made Jumper.,12,36
6:33,-1,Drew Cheskie missed Layup.,12,36
6:33,233,Nick Fuller Block.,12,36
6:29,233,Carlton Hurst Defensive Rebound.,12,36
6:23,233,Triston Simpson made Layup.,12,38
6:06,-1,Marcus Mathieu made Three Point Jumper. Assisted by Conlan Callahan.,15,38
5:48,233,Nick Fuller missed Layup.,15,38
5:48,233,Austin Sparks Offensive Rebound.,15,38
5:44,233,Austin Sparks made Jumper.,15,40
5:37,-1,Sheldon Siemonsma missed Three Point Jumper.,15,40
5:37,233,Austin Sparks Defensive Rebound.,15,40
5:32,233,Nick Fuller made Layup. Assisted by Triston Simpson.,15,42
5:14,-1,Marcus Mathieu missed Three Point Jumper.,15,42
5:14,233,Triston Simpson Defensive Rebound.,15,42
5:00,-1,Foul on Drew Cheskie.,15,42
5:00,233,Triston Simpson made Free Throw.,15,43
5:00,233,Triston Simpson missed Free Throw.,15,43
5:00,-1,Mount Marty College Defensive Rebound.,15,43
4:39,-1,Jesse Scarber made Three Point Jumper. Assisted by Marcus Mathieu.,18,43
4:19,233,Tyler Peterson missed Jumper.,18,43
4:19,-1,Jesse Scarber Defensive Rebound.,18,43
3:55,-1,Marcus Mathieu missed Three Point Jumper.,18,43
3:55,-1,Jesse Scarber Offensive Rebound.,18,43
3:50,-1,Sheldon Siemonsma missed Three Point Jumper.,18,43
3:50,233,Tyler Peterson Defensive Rebound.,18,43
3:29,233,Austin Sparks missed Jumper.,18,43
3:29,233,Nick Fuller Offensive Rebound.,18,43
3:24,233,Nick Fuller made Two Point Tip Shot.,18,45
2:56,-1,Ben Rennie missed Jumper.,18,45
2:56,233,Brandon Armstrong Defensive Rebound.,18,45
2:43,233,Tyler Peterson made Layup.,18,47
2:24,-1,Marcus Mathieu missed Layup.,18,47
2:24,233,Brandon Armstrong Defensive Rebound.,18,47
2:14,233,Joshua Doss Turnover.,18,47
2:13,-1,Marcus Mathieu Steal.,18,47
1:57,-1,Jesse Scarber missed Three Point Jumper.,18,47
1:57,233,Nick Fuller Defensive Rebound.,18,47
1:48,233,South Dakota  Timeout,18,47
1:48,233,Official TV Timeout,18,47
1:36,233,Brandon Armstrong missed Jumper.,18,47
1:36,-1,Mount Marty College Deadball Team Rebound.,18,47
1:32,233,Foul on Joshua Doss.,18,47
1:15,-1,Sheldon Siemonsma made Three Point Jumper.,21,47
1:04,233,Logan Power made Layup.,21,49
0:44,-1,Marcus Mathieu missed Jumper.,21,49
0:44,233,Dan Jech Defensive Rebound.,21,49
0:25,233,Logan Power made Three Point Jumper. Assisted by Brandon Armstrong.,21,52
0:01,-1,Marcus Mathieu missed Three Point Jumper.,21,52
0:01,233,Brandon Armstrong Defensive Rebound.,21,52
0:00,233,End of 1st half,21,52
19:47,233,Trey Burch-Manning missed Jumper.,21,52
19:47,233,Carlton Hurst Offensive Rebound.,21,52
19:26,233,Tyler Peterson missed Three Point Jumper.,21,52
19:26,-1,Sheldon Siemonsma Defensive Rebound.,21,52
18:54,-1,Sheldon Siemonsma missed Three Point Jumper.,21,52
18:54,233,Trey Burch-Manning Defensive Rebound.,21,52
18:41,233,Tyler Hagedorn made Layup.,21,54
18:15,-1,Marcus Mathieu made Jumper.,23,54
18:05,233,Tyler Hagedorn made Dunk. Assisted by Triston Simpson.,23,56
17:45,-1,Marcus Mathieu Turnover.,23,56
17:44,233,Trey Burch-Manning Steal.,23,56
17:35,233,Tyler Peterson made Layup. Assisted by Tyler Hagedorn.,23,58
17:11,-1,Drew Cheskie missed Jumper.,23,58
17:11,233,Tyler Peterson Defensive Rebound.,23,58
17:02,233,Triston Simpson missed Jumper.,23,58
17:02,-1,Zane Schumaker Defensive Rebound.,23,58
16:50,-1,Marcus Mathieu made Three Point Jumper.,26,58
16:34,233,Trey Burch-Manning missed Layup.,26,58
16:34,-1,Drew Cheskie Defensive Rebound.,26,58
16:27,-1,Sheldon Siemonsma missed Three Point Jumper.,26,58
16:27,233,Tyler Hagedorn Defensive Rebound.,26,58
15:58,233,Tyler Peterson made Three Point Jumper. Assisted by Triston Simpson.,26,61
15:29,-1,Drew Cheskie made Jumper. Assisted by Marcus Mathieu.,28,61
15:14,-1,Foul on Marcus Mathieu.,28,61
15:14,233,Official TV Timeout,28,61
15:13,233,Brandon Armstrong made Jumper. Assisted by Logan Power.,28,63
14:50,-1,Marcus Mathieu made Three Point Jumper.,31,63
14:22,233,Dan Jech made Layup. Assisted by Joshua Doss.,31,65
14:09,-1,Marcus Mathieu missed Jumper.,31,65
14:09,233,Logan Power Defensive Rebound.,31,65
13:58,233,Joshua Doss missed Layup.,31,65
13:58,233,Dan Jech Offensive Rebound.,31,65
13:53,233,Dan Jech missed Two Point Tip Shot.,31,65
13:53,-1,Marcus Mathieu Defensive Rebound.,31,65
13:48,-1,Jesse Scarber made Three Point Jumper. Assisted by Marcus Mathieu.,34,65
13:32,233,Nick Fuller missed Layup.,34,65
13:32,233,Nick Fuller Offensive Rebound.,34,65
13:28,233,Nick Fuller Turnover.,34,65
13:27,-1,Jesse Scarber Steal.,34,65
13:05,-1,Jesse Scarber missed Jumper.,34,65
13:05,233,Joshua Doss Defensive Rebound.,34,65
12:56,233,Brandon Armstrong missed Three Point Jumper.,34,65
12:56,-1,Hunter Martin Defensive Rebound.,34,65
12:47,-1,Jesse Scarber missed Three Point Jumper.,34,65
12:47,233,Joshua Doss Defensive Rebound.,34,65
12:23,233,Dan Jech missed Three Point Jumper.,34,65
12:23,-1,Hunter Martin Defensive Rebound.,34,65
12:17,-1,Hunter Martin missed Three Point Jumper.,34,65
12:17,233,Brandon Armstrong Block.,34,65
12:14,-1,Marcus Mathieu Offensive Rebound.,34,65
12:10,-1,Marcus Mathieu missed Three Point Jumper.,34,65
12:10,233,Joshua Doss Defensive Rebound.,34,65
11:57,233,Nick Fuller made Layup.,34,67
11:31,-1,Drew Cheskie missed Jumper.,34,67
11:31,233,Logan Power Defensive Rebound.,34,67
11:17,233,Logan Power Turnover.,34,67
11:15,-1,Hunter Martin Steal.,34,67
11:04,-1,Hunter Martin Turnover.,34,67
11:02,233,Dan Jech Steal.,34,67
10:49,-1,Foul on Hunter Martin.,34,67
10:49,233,Official TV Timeout,34,67
10:37,233,Jack Stensgard missed Jumper.,34,67
10:37,-1,Mount Marty College Deadball Team Rebound.,34,67
10:34,233,Foul on Austin Sparks.,34,67
10:05,-1,Zane Schumaker Turnover.,34,67
9:48,233,Josh Williams Turnover.,34,67
9:27,-1,Logan Fleming Turnover.,34,67
9:15,233,Austin Sparks made Layup.,34,69
8:56,-1,Conlan Callahan missed Layup.,34,69
8:56,233,Joshua Doss Defensive Rebound.,34,69
8:52,-1,Foul on Conlan Callahan.,34,69
8:42,233,Austin Sparks Turnover.,34,69
8:42,233,Foul on Austin Sparks.,34,69
8:29,-1,Trent Wilson made Layup. Assisted by Zane Schumaker.,36,69
8:09,233,Stanley Umude made Layup.,36,71
7:50,-1,Sheldon Siemonsma made Jumper.,38,71
7:33,233,Jack Stensgard missed Layup.,38,71
7:33,233,Austin Sparks Offensive Rebound.,38,71
7:31,-1,Foul on Trent Wilson.,38,71
7:31,233,Official TV Timeout,38,71
7:31,233,Austin Sparks missed Free Throw.,38,71
7:31,233,South Dakota Deadball Team Rebound.,38,71
7:31,233,Austin Sparks made Free Throw.,38,72
7:14,-1,Marcus Mathieu missed Layup.,38,72
7:14,233,Jack Stensgard Defensive Rebound.,38,72
7:13,-1,Foul on Jesse Scarber.,38,72
6:59,233,Jack Stensgard made Three Point Jumper. Assisted by Stanley Umude.,38,75
6:45,-1,Marcus Mathieu made Jumper.,40,75
6:33,233,Josh Williams made Three Point Jumper. Assisted by Logan Power.,40,78
6:18,-1,Hunter Martin made Three Point Jumper. Assisted by Jesse Scarber.,43,78
6:00,233,Stanley Umude missed Three Point Jumper.,43,78
6:00,233,Logan Power Offensive Rebound.,43,78
5:47,233,Logan Power missed Three Point Jumper.,43,78
5:47,-1,Hunter Martin Defensive Rebound.,43,78
5:34,-1,Jesse Scarber made Jumper.,45,78
5:20,233,Austin Sparks made Dunk. Assisted by Josh Williams.,45,80
4:59,-1,Drew Cheskie missed Layup.,45,80
4:59,-1,Drew Cheskie Offensive Rebound.,45,80
4:54,-1,Drew Cheskie made Layup.,47,80
4:34,233,Stanley Umude missed Three Point Jumper.,47,80
4:34,-1,Drew Cheskie Defensive Rebound.,47,80
4:07,-1,Hunter Martin missed Three Point Jumper.,47,80
4:07,-1,Shaye Bloch Offensive Rebound.,47,80
4:02,-1,Jesse Scarber made Three Point Jumper. Assisted by Shaye Bloch.,50,80
3:49,233,Logan Power made Layup.,50,82
3:49,-1,Foul on Drew Cheskie.,50,82
3:49,233,Official TV Timeout,50,82
3:49,233,Logan Power missed Free Throw.,50,82
3:49,-1,Trent Wilson Defensive Rebound.,50,82
3:21,233,Foul on Josh Williams.,50,82
3:21,-1,Jesse Scarber missed Free Throw.,50,82
3:21,-1,Mount Marty College Deadball Team Rebound.,50,82
3:21,-1,Jesse Scarber missed Free Throw.,50,82
3:21,233,Stanley Umude Defensive Rebound.,50,82
3:01,233,Stanley Umude missed Jumper.,50,82
3:01,233,Logan Power Offensive Rebound.,50,82
2:55,233,Logan Power made Layup.,50,84
2:55,-1,Foul on Cole Fiegen.,50,84
2:55,233,Logan Power missed Free Throw.,50,84
2:55,-1,Trent Wilson Defensive Rebound.,50,84
2:44,-1,Trent Wilson Turnover.,50,84
2:43,233,Jack Stensgard Steal.,50,84
2:40,233,Jack Stensgard missed Dunk.,50,84
2:40,-1,Trent Wilson Defensive Rebound.,50,84
2:15,-1,Ben Rennie missed Jumper.,50,84
2:15,233,Logan Power Defensive Rebound.,50,84
2:06,233,Joshua Doss made Layup.,50,86
2:06,-1,Foul on Ben Rennie.,50,86
2:06,233,Joshua Doss made Free Throw.,50,87
1:56,-1,Logan Fleming Turnover.,50,87
1:55,233,Logan Power Steal.,50,87
1:53,233,Logan Power made Dunk.,50,89
1:26,233,Foul on Stanley Umude.,50,89
1:26,-1,Logan Fleming made Free Throw.,51,89
1:26,-1,Logan Fleming made Free Throw.,52,89
1:11,233,Josh Williams made Jumper.,52,91
0:43,233,Foul on Stanley Umude.,52,91
0:43,-1,Jesse Scarber made Free Throw.,53,91
0:43,-1,Jesse Scarber missed Free Throw.,53,91
0:43,-1,Mount Marty College Deadball Team Rebound.,53,91
0:43,-1,Jesse Scarber made Free Throw.,54,91
0:28,233,Josh Williams made Jumper.,54,93
0:12,-1,Ben Rennie missed Three Point Jumper.,54,93
0:12,-1,Cole Fiegen Offensive Rebound.,54,93
0:02,-1,Jesse Scarber missed Three Point Jumper.,54,93
0:02,233,South Dakota Deadball Team Rebound.,54,93
0:00,233,End of Game,54,93
