Paine,Error,South Carolina Upstate,2908
11:10,-1,Cameron Gaines Turnover.,12,15
10:40,2908,Deion Holmes made Three Point Jumper. Assisted by Pat Welch.,12,18
10:11,-1,Dwight Wheatley made Layup. Assisted by Joshua Holliday.,14,18
9:58,2908,Malik Moore Turnover.,14,18
9:44,-1,Joshua Holliday Turnover.,14,18
9:32,2908,Ramel Thompkins made Three Point Jumper. Assisted by Jure Span.,14,21
9:21,-1,Cameron Gaines Turnover.,14,21
9:08,2908,Ramel Thompkins missed Jumper.,14,21
9:08,-1,Cameron Gaines Defensive Rebound.,14,21
8:55,-1,Joshua Holliday missed Three Point Jumper.,14,21
8:55,2908,Malik Moore Defensive Rebound.,14,21
8:39,2908,Carson Smith missed Jumper.,14,21
8:39,-1,Paine Defensive Rebound.,14,21
8:18,-1,Joshua Holliday Turnover.,14,21
8:17,2908,Jure Span Steal.,14,21
8:15,2908,Mike Cunningham made Layup. Assisted by Jure Span.,14,23
8:00,-1,Joshua Holliday Turnover.,14,23
8:00,2908,Official TV Timeout,14,23
7:41,2908,Jure Span made Three Point Jumper. Assisted by Carson Smith.,14,26
7:29,2908,Foul on Carson Smith.,14,26
7:29,-1,Deshawndric Nelms made Free Throw.,15,26
7:29,-1,Deshawndric Nelms made Free Throw.,16,26
7:15,2908,Avery Diggs missed Jumper.,16,26
7:15,2908,Avery Diggs Offensive Rebound.,16,26
7:12,-1,Foul on Ronzell Evans.,16,26
7:12,-1,Paine  Timeout,16,26
6:55,2908,Ramel Thompkins missed Three Point Jumper.,16,26
6:55,2908,Avery Diggs Offensive Rebound.,16,26
6:51,2908,Mike Cunningham made Jumper. Assisted by Avery Diggs.,16,28
6:35,-1,Roger Clarke Jr. Turnover.,16,28
6:34,2908,Mike Cunningham Steal.,16,28
6:32,2908,Ramel Thompkins Turnover.,16,28
6:30,-1,Ronzell Evans Steal.,16,28
6:11,-1,Roger Clarke Jr. missed Three Point Jumper.,16,28
6:11,2908,Ramel Thompkins Defensive Rebound.,16,28
6:01,2908,Ramel Thompkins made Three Point Jumper. Assisted by Mike Cunningham.,16,31
6:00,-1,Foul on Roger Clarke Jr..,16,31
6:00,2908,Ramel Thompkins made Free Throw.,16,32
5:49,-1,Babe Murphy missed Three Point Jumper.,16,32
5:49,-1,Joshua Holliday Offensive Rebound.,16,32
5:40,-1,Deshawndric Nelms missed Layup.,16,32
5:40,2908,Pat Welch Defensive Rebound.,16,32
5:36,2908,Pat Welch Turnover.,16,32
5:36,-1,Babe Murphy Steal.,16,32
5:33,-1,Babe Murphy missed Three Point Jumper.,16,32
5:33,-1,Ronzell Evans Offensive Rebound.,16,32
5:28,-1,Ronzell Evans missed Layup.,16,32
5:28,-1,Ronzell Evans Offensive Rebound.,16,32
5:13,-1,Ronzell Evans made Dunk. Assisted by Babe Murphy.,18,32
4:51,2908,Ramel Thompkins missed Three Point Jumper.,18,32
4:51,-1,Babe Murphy Defensive Rebound.,18,32
4:35,-1,Johnnie Robinson III missed Jumper.,18,32
4:35,2908,Pat Welch Defensive Rebound.,18,32
4:27,2908,Deion Holmes made Layup. Assisted by Pat Welch.,18,34
4:07,-1,Phillip Garner made Layup. Assisted by Babe Murphy.,20,34
3:42,2908,Deion Holmes missed Three Point Jumper.,20,34
3:42,-1,Deshawndric Nelms Defensive Rebound.,20,34
3:33,-1,Johnnie Robinson III missed Jumper.,20,34
3:33,2908,Avery Diggs Defensive Rebound.,20,34
3:26,-1,Foul on Babe Murphy.,20,34
3:26,2908,Official TV Timeout,20,34
3:26,2908,Ramel Thompkins made Free Throw.,20,35
3:26,2908,Ramel Thompkins made Free Throw.,20,36
3:10,-1,Ronzell Evans missed Jumper.,20,36
3:10,2908,Mike Cunningham Defensive Rebound.,20,36
2:57,2908,Mike Cunningham missed Three Point Jumper.,20,36
2:57,-1,Deshawndric Nelms Defensive Rebound.,20,36
2:34,-1,Phillip Garner made Three Point Jumper. Assisted by Johnnie Robinson III.,23,36
2:07,2908,Deion Holmes missed Layup.,23,36
2:07,2908,Deion Holmes Offensive Rebound.,23,36
1:57,2908,Deion Holmes missed Three Point Jumper.,23,36
1:57,-1,Phillip Garner Defensive Rebound.,23,36
1:49,-1,Phillip Garner missed Three Point Jumper.,23,36
1:49,2908,Malik Moore Defensive Rebound.,23,36
1:36,2908,Mike Cunningham made Three Point Jumper. Assisted by Malik Moore.,23,39
1:18,-1,Babe Murphy missed Jumper.,23,39
1:18,2908,Malik Moore Block.,23,39
1:16,-1,Babe Murphy Offensive Rebound.,23,39
1:01,-1,Phillip Garner missed Three Point Jumper.,23,39
1:01,-1,Ronzell Evans Offensive Rebound.,23,39
0:58,2908,Foul on Carson Smith.,23,39
0:53,-1,Cameron Gaines Turnover.,23,39
0:48,2908,Ramel Thompkins missed Three Point Jumper.,23,39
0:48,-1,Dwight Wheatley Defensive Rebound.,23,39
0:39,-1,Babe Murphy made Layup. Assisted by Phillip Garner.,25,39
0:33,2908,Malik Moore missed Layup.,25,39
0:33,-1,Dwight Wheatley Defensive Rebound.,25,39
0:26,-1,Babe Murphy missed Jumper.,25,39
0:26,2908,Avery Diggs Defensive Rebound.,25,39
0:15,-1,Foul on Dwight Wheatley.,25,39
0:15,2908,Avery Diggs made Free Throw.,25,40
0:15,2908,Avery Diggs made Free Throw.,25,41
0:03,2908,Foul on Avery Diggs.,25,41
0:03,2908,South Carolina Upstate  Timeout,25,41
0:03,-1,Babe Murphy made Free Throw.,26,41
0:03,-1,Babe Murphy missed Free Throw.,26,41
0:03,2908,Malik Moore Defensive Rebound.,26,41
0:00,2908,End of 1st half,26,41
19:41,-1,Deshawndric Nelms Turnover.,26,41
19:41,2908,Jure Span Steal.,26,41
19:28,2908,Malik Moore missed Layup.,26,41
19:28,-1,Deshawndric Nelms Defensive Rebound.,26,41
19:18,-1,Babe Murphy made Layup.,28,41
19:11,2908,Malik Moore missed Three Point Jumper.,28,41
19:11,-1,Babe Murphy Defensive Rebound.,28,41
19:00,-1,Babe Murphy Turnover.,28,41
18:44,2908,Jure Span missed Three Point Jumper.,28,41
18:44,-1,Sam Bide Defensive Rebound.,28,41
18:26,-1,Foul on Babe Murphy.,28,41
18:26,-1,Babe Murphy Turnover.,28,41
18:12,2908,Deion Holmes missed Three Point Jumper.,28,41
18:12,-1,Babe Murphy Defensive Rebound.,28,41
18:04,2908,Foul on Jure Span.,28,41
18:04,-1,Babe Murphy made Free Throw.,29,41
18:04,-1,Babe Murphy made Free Throw.,30,41
17:42,2908,Jure Span made Three Point Jumper. Assisted by Carson Smith.,30,44
17:18,-1,Deshawndric Nelms missed Jumper.,30,44
17:18,2908,Mike Cunningham Defensive Rebound.,30,44
17:07,2908,Mike Cunningham missed Three Point Jumper.,30,44
17:07,-1,Paine Defensive Rebound.,30,44
16:43,-1,Sam Bide Turnover.,30,44
16:32,2908,Deion Holmes made Layup.,30,46
16:17,2908,Foul on Jure Span.,30,46
16:08,-1,Babe Murphy missed Jumper.,30,46
16:08,-1,Cameron Gaines Offensive Rebound.,30,46
16:00,2908,Official TV Timeout,30,46
15:57,-1,Babe Murphy made Three Point Jumper. Assisted by Johnnie Robinson III.,33,46
15:31,2908,Mike Cunningham missed Three Point Jumper.,33,46
15:31,-1,Deshawndric Nelms Defensive Rebound.,33,46
15:23,-1,Joshua Holliday missed Three Point Jumper.,33,46
15:23,-1,Babe Murphy Offensive Rebound.,33,46
15:19,2908,Foul on Jure Span.,33,46
15:19,-1,Babe Murphy made Free Throw.,34,46
15:19,-1,Babe Murphy made Free Throw.,35,46
15:05,2908,Ramel Thompkins missed Three Point Jumper.,35,46
15:05,-1,Deshawndric Nelms Defensive Rebound.,35,46
14:48,-1,Marlon McCoy Turnover.,35,46
14:46,2908,Deion Holmes Steal.,35,46
14:45,-1,Foul on Marlon McCoy.,35,46
14:45,2908,Deion Holmes made Free Throw.,35,47
14:45,2908,Deion Holmes missed Free Throw.,35,47
14:45,-1,Deshawndric Nelms Defensive Rebound.,35,47
14:18,-1,Cameron Gaines made Jumper. Assisted by Marlon McCoy.,37,47
13:55,2908,Ramel Thompkins missed Three Point Jumper.,37,47
13:55,-1,Joshua Holliday Defensive Rebound.,37,47
13:49,-1,Joshua Holliday Turnover.,37,47
13:49,2908,Deion Holmes Steal.,37,47
13:28,2908,Jure Span missed Three Point Jumper.,37,47
13:28,2908,Avery Diggs Offensive Rebound.,37,47
13:21,-1,Foul on Joshua Holliday.,37,47
13:21,2908,Deion Holmes made Free Throw.,37,48
13:21,2908,Deion Holmes made Free Throw.,37,49
12:56,-1,Deshawndric Nelms made Jumper. Assisted by Phillip Garner.,39,49
12:42,-1,Foul on Cameron Gaines.,39,49
12:42,2908,Avery Diggs made Free Throw.,39,50
12:42,2908,Avery Diggs made Free Throw.,39,51
12:19,-1,Marlon McCoy Turnover.,39,51
12:17,2908,Jure Span Steal.,39,51
12:13,2908,Malik Moore made Layup. Assisted by Jure Span.,39,53
11:51,2908,Foul on Jure Span.,39,53
11:51,2908,Official TV Timeout,39,53
11:32,-1,Cameron Gaines Turnover.,39,53
11:31,2908,Mike Cunningham Steal.,39,53
11:29,2908,Mike Cunningham missed Layup.,39,53
11:29,2908,Deion Holmes Offensive Rebound.,39,53
11:25,2908,Deion Holmes made Two Point Tip Shot.,39,55
11:12,-1,Marlon McCoy Turnover.,39,55
10:59,2908,Mike Cunningham Turnover.,39,55
10:57,-1,Ronzell Evans Steal.,39,55
10:53,-1,Phillip Garner missed Three Point Jumper.,39,55
10:53,2908,Malik Moore Defensive Rebound.,39,55
10:40,2908,Ramel Thompkins made Jumper. Assisted by Malik Moore.,39,57
10:11,-1,Phillip Garner made Three Point Jumper. Assisted by Johnnie Robinson III.,42,57
9:48,2908,Thomas Booker missed Jumper.,42,57
9:48,-1,Sam Bide Defensive Rebound.,42,57
9:36,-1,Ronzell Evans missed Layup.,42,57
9:36,-1,Cameron Gaines Offensive Rebound.,42,57
9:33,-1,Cameron Gaines made Two Point Tip Shot.,44,57
9:10,2908,Avery Diggs made Dunk. Assisted by Malik Moore.,44,59
8:47,-1,Ronzell Evans missed Jumper.,44,59
8:47,2908,Ramel Thompkins Defensive Rebound.,44,59
8:34,2908,Ramel Thompkins missed Three Point Jumper.,44,59
8:34,-1,Sam Bide Defensive Rebound.,44,59
8:28,2908,Foul on Malik Moore.,44,59
8:26,-1,Babe Murphy missed Jumper.,44,59
8:26,-1,Babe Murphy Offensive Rebound.,44,59
8:19,-1,Foul on Babe Murphy.,44,59
8:19,-1,Technical Foul on Babe Murphy.,44,59
8:19,2908,Foul on Ramel Thompkins.,44,59
8:19,2908,Technical Foul on Ramel Thompkins.,44,59
8:12,-1,Paine  Timeout,44,59
8:12,2908,Official TV Timeout,44,59
8:10,-1,Phillip Garner missed Three Point Jumper.,44,59
8:10,-1,Johnnie Robinson III Offensive Rebound.,44,59
8:03,2908,Foul on Malik Moore.,44,59
8:03,-1,Phillip Garner missed Free Throw.,44,59
8:03,-1,Paine Deadball Team Rebound.,44,59
7:56,2908,Deion Holmes missed Three Point Jumper.,44,59
7:56,-1,Sam Bide Defensive Rebound.,44,59
7:46,-1,Johnnie Robinson III missed Three Point Jumper.,44,59
7:46,2908,Malik Moore Defensive Rebound.,44,59
7:37,2908,Deion Holmes made Layup.,44,61
7:21,-1,Deshawndric Nelms made Dunk. Assisted by Sam Bide.,46,61
6:56,-1,Foul on Deshawndric Nelms.,46,61
6:56,2908,Official TV Timeout,46,61
6:56,2908,Ramel Thompkins made Free Throw.,46,62
6:56,2908,Ramel Thompkins missed Free Throw.,46,62
6:56,-1,Deshawndric Nelms Defensive Rebound.,46,62
6:49,-1,Joshua Holliday made Three Point Jumper. Assisted by Babe Murphy.,49,62
6:45,2908,Foul on Carson Smith.,49,62
6:45,2908,Carson Smith Turnover.,49,62
6:30,-1,Babe Murphy missed Jumper.,49,62
6:30,2908,Carson Smith Defensive Rebound.,49,62
6:25,2908,Deion Holmes made Dunk. Assisted by Mike Cunningham.,49,64
6:12,-1,Johnnie Robinson III made Jumper.,51,64
5:46,2908,Mike Cunningham missed Three Point Jumper.,51,64
5:46,-1,Babe Murphy Defensive Rebound.,51,64
5:38,-1,Deshawndric Nelms Turnover.,51,64
5:23,2908,Deion Holmes made Three Point Jumper. Assisted by Mike Cunningham.,51,67
5:12,-1,Phillip Garner missed Three Point Jumper.,51,67
5:12,2908,South Carolina Upstate Defensive Rebound.,51,67
4:50,2908,Malik Moore made Layup.,51,69
4:50,-1,Foul on Babe Murphy.,51,69
4:50,2908,Malik Moore missed Free Throw.,51,69
4:50,-1,Deshawndric Nelms Defensive Rebound.,51,69
4:35,2908,Foul on Avery Diggs.,51,69
4:35,-1,Babe Murphy made Free Throw.,52,69
4:35,-1,Babe Murphy missed Free Throw.,52,69
4:35,2908,Ramel Thompkins Defensive Rebound.,52,69
4:08,2908,Deion Holmes missed Three Point Jumper.,52,69
4:08,2908,Malik Moore Offensive Rebound.,52,69
4:06,-1,Foul on Babe Murphy.,52,69
4:06,2908,Malik Moore made Free Throw.,52,70
4:06,2908,Malik Moore made Free Throw.,52,71
3:41,-1,Sam Bide Turnover.,52,71
3:41,2908,Official TV Timeout,52,71
3:16,2908,Deion Holmes made Jumper.,52,73
2:54,-1,Phillip Garner missed Jumper.,52,73
2:54,2908,South Carolina Upstate Deadball Team Rebound.,52,73
2:36,2908,Isaiah Anderson made Jumper. Assisted by Austin Nelson.,52,75
2:27,2908,Foul on Austin Nelson.,52,75
2:27,-1,Phillip Garner made Free Throw.,53,75
2:27,-1,Phillip Garner made Free Throw.,54,75
2:19,2908,Thomas Booker Turnover.,54,75
2:08,-1,Marlon McCoy missed Three Point Jumper.,54,75
2:08,-1,Ryan Wallace Offensive Rebound.,54,75
2:03,-1,Ryan Wallace missed Layup.,54,75
2:03,2908,Thomas Booker Defensive Rebound.,54,75
1:56,2908,Austin Nelson missed Three Point Jumper.,54,75
1:56,2908,Carson Smith Offensive Rebound.,54,75
1:53,-1,Foul on Ryan Wallace.,54,75
1:53,2908,Carson Smith made Free Throw.,54,76
1:53,2908,Carson Smith made Free Throw.,54,77
1:43,-1,Roger Clarke Jr. missed Jumper.,54,77
1:43,-1,Ryan Wallace Offensive Rebound.,54,77
1:30,-1,Cameron Gaines missed Three Point Jumper.,54,77
1:30,-1,Dwight Wheatley Offensive Rebound.,54,77
1:26,-1,Dwight Wheatley made Layup.,56,77
0:58,2908,Carson Smith missed Three Point Jumper.,56,77
0:58,-1,Ryan Wallace Defensive Rebound.,56,77
0:40,2908,Foul on Jure Span.,56,77
0:40,-1,Roger Clarke Jr. made Free Throw.,57,77
0:40,-1,Roger Clarke Jr. made Free Throw.,58,77
0:40,-1,Roger Clarke Jr. made Free Throw.,59,77
0:16,-1,Foul on Dwight Wheatley.,59,77
0:16,2908,Thomas Booker made Free Throw.,59,78
0:16,2908,Thomas Booker made Free Throw.,59,79
0:10,-1,Roger Clarke Jr. missed Layup.,59,79
0:10,2908,Isaiah Anderson Block.,59,79
0:08,2908,Mike Cunningham Defensive Rebound.,59,79
0:00,2908,End of Game,59,79
