Louisiana,2294,Iowa,309
14:24,309,Marcus Stroman Defensive Rebound.,2,4
14:21,309,JaKeenan Gant made Layup. Assisted by Marcus Stroman.,4,4
13:58,2294,Jordan Bohannon missed Jumper.,4,4
13:58,309,Malik Marquetti Defensive Rebound.,4,4
13:50,309,Marcus Stroman missed Layup.,4,4
13:50,2294,Ryan Kriener Defensive Rebound.,4,4
13:44,309,Foul on Bryce Washington.,4,4
13:38,2294,Cordell Pemsl made Layup.,4,6
13:23,309,Justin Miller missed Jumper.,4,6
13:23,2294,Cordell Pemsl Defensive Rebound.,4,6
12:59,2294,Ryan Kriener missed Jumper.,4,6
12:59,309,P.J. Hardy Defensive Rebound.,4,6
12:39,309,Malik Marquetti made Jumper. Assisted by Justin Miller.,6,6
12:30,2294,Brady Ellingson missed Three Point Jumper.,6,6
12:30,2294,Iowa Offensive Rebound.,6,6
12:16,2294,Cordell Pemsl made Jumper. Assisted by Ryan Kriener.,6,8
11:55,309,Cedric Russell made Jumper.,8,8
11:45,2294,Brady Ellingson missed Jumper.,8,8
11:45,309,Bryce Washington Defensive Rebound.,8,8
11:37,2294,Foul on Cordell Pemsl.,8,8
11:37,2294,Official TV Timeout,8,8
11:37,309,Bryce Washington made Free Throw.,9,8
11:37,309,Bryce Washington made Free Throw.,10,8
11:21,2294,Jack Nunge made Jumper. Assisted by Cordell Pemsl.,10,10
10:59,309,P.J. Hardy made Three Point Jumper. Assisted by Bryce Washington.,13,10
10:43,2294,Foul on Jack Nunge.,13,10
10:43,2294,Jack Nunge Turnover.,13,10
10:16,309,Malik Marquetti missed Jumper.,13,10
10:16,2294,Brady Ellingson Defensive Rebound.,13,10
10:09,2294,Jack Nunge Turnover.,13,10
9:43,309,Cedric Russell made Three Point Jumper.,16,10
9:25,2294,Ryan Kriener missed Jumper.,16,10
9:25,309,P.J. Hardy Defensive Rebound.,16,10
9:10,309,JaKeenan Gant made Layup. Assisted by Justin Miller.,18,10
8:53,2294,Isaiah Moss missed Layup.,18,10
8:53,309,JaKeenan Gant Block.,18,10
8:50,2294,Tyler Cook Offensive Rebound.,18,10
8:41,2294,Tyler Cook missed Jumper.,18,10
8:41,309,Justin Miller Defensive Rebound.,18,10
8:35,2294,Foul on Tyler Cook.,18,10
8:26,309,JaKeenan Gant made Jumper. Assisted by Marcus Stroman.,20,10
8:26,2294,Foul on Luka Garza.,20,10
8:26,309,JaKeenan Gant missed Free Throw.,20,10
8:26,309,Louisiana Offensive Rebound.,20,10
8:12,309,Justin Miller made Layup. Assisted by Frank Bartley IV.,22,10
7:45,309,Foul on Frank Bartley IV.,22,10
7:45,2294,Official TV Timeout,22,10
7:45,2294,Jack Nunge missed Free Throw.,22,10
7:45,2294,Iowa Deadball Team Rebound.,22,10
7:45,2294,Jack Nunge made Free Throw.,22,11
7:36,309,Frank Bartley IV missed Layup.,22,11
7:36,2294,Cordell Pemsl Block.,22,11
7:22,2294,Iowa Defensive Rebound.,22,11
7:18,2294,Jordan Bohannon Turnover.,22,11
7:17,309,Justin Miller Steal.,22,11
6:55,309,Frank Bartley IV made Three Point Jumper. Assisted by JaKeenan Gant.,25,11
6:48,2294,Isaiah Moss missed Three Point Jumper.,25,11
6:48,309,Frank Bartley IV Defensive Rebound.,25,11
6:25,309,JaKeenan Gant missed Jumper.,25,11
6:25,2294,Tyler Cook Defensive Rebound.,25,11
6:18,2294,Jordan Bohannon missed Jumper.,25,11
6:18,2294,Luka Garza Offensive Rebound.,25,11
6:16,309,Foul on JaKeenan Gant.,25,11
6:13,2294,Isaiah Moss missed Jumper.,25,11
6:13,2294,Tyler Cook Offensive Rebound.,25,11
6:07,2294,Tyler Cook missed Two Point Tip Shot.,25,11
6:07,309,Malik Marquetti Defensive Rebound.,25,11
6:03,2294,Foul on Isaiah Moss.,25,11
5:48,309,Malik Marquetti missed Three Point Jumper.,25,11
5:48,2294,Luka Garza Defensive Rebound.,25,11
5:41,2294,Foul on Luka Garza.,25,11
5:41,2294,Luka Garza Turnover.,25,11
5:28,309,Frank Bartley IV missed Three Point Jumper.,25,11
5:28,309,Louisiana Offensive Rebound.,25,11
5:08,309,Justin Miller Turnover.,25,11
5:07,2294,Ahmad Wagner Steal.,25,11
4:56,2294,Brady Ellingson missed Three Point Jumper.,25,11
4:56,309,Bryce Washington Defensive Rebound.,25,11
4:44,309,Frank Bartley IV missed Layup.,25,11
4:44,2294,Ryan Kriener Block.,25,11
4:40,309,Justin Miller Offensive Rebound.,25,11
4:37,309,Justin Miller Turnover.,25,11
4:36,2294,Brady Ellingson Steal.,25,11
4:32,2294,Jordan Bohannon Turnover.,25,11
4:31,309,Marcus Stroman Steal.,25,11
4:27,309,Frank Bartley IV made Layup. Assisted by Marcus Stroman.,27,11
4:24,2294,Official TV Timeout,27,11
4:03,2294,Ahmad Wagner Turnover.,27,11
3:47,309,Bryce Washington made Layup. Assisted by Marcus Stroman.,29,11
3:36,309,Foul on Larenz Stalcup.,29,11
3:36,2294,Ryan Kriener missed Free Throw.,29,11
3:36,309,Bryce Washington Defensive Rebound.,29,11
3:12,309,Marcus Stroman missed Three Point Jumper.,29,11
3:12,2294,Ryan Kriener Defensive Rebound.,29,11
2:50,2294,Ahmad Wagner missed Jumper.,29,11
2:50,309,Bryce Washington Defensive Rebound.,29,11
2:22,309,Bryce Washington made Layup.,31,11
2:15,2294,Jordan Bohannon made Three Point Jumper.,31,14
1:48,309,Cedric Russell missed Layup.,31,14
1:48,309,Larenz Stalcup Offensive Rebound.,31,14
1:46,309,Larenz Stalcup made Layup.,33,14
1:21,2294,Jordan Bohannon missed Three Point Jumper.,33,14
1:21,309,Louisiana Defensive Rebound.,33,14
1:13,309,Louisiana  Timeout,33,14
1:07,309,Marcus Stroman Turnover.,33,14
1:05,2294,Jack Nunge Steal.,33,14
1:02,2294,Jack Nunge made Layup.,33,16
1:02,309,Foul on Malik Marquetti.,33,16
1:02,2294,Jack Nunge made Free Throw.,33,17
0:38,309,Justin Miller made Layup. Assisted by Marcus Stroman.,35,17
0:08,2294,Cordell Pemsl Turnover.,35,17
0:06,309,Marcus Stroman Steal.,35,17
0:03,309,Bryce Washington made Layup. Assisted by Marcus Stroman.,37,17
0:00,2294,End of 1st half,37,17
19:45,2294,Luka Garza missed Jumper.,37,17
19:45,309,JaKeenan Gant Block.,37,17
19:42,2294,Iowa Offensive Rebound.,37,17
19:33,2294,Jordan Bohannon made Three Point Jumper. Assisted by Luka Garza.,37,20
19:26,2294,Foul on Ahmad Wagner.,37,20
19:13,309,Malik Marquetti missed Three Point Jumper.,37,20
19:13,309,Louisiana Offensive Rebound.,37,20
19:08,309,Bryce Washington made Layup. Assisted by Marcus Stroman.,39,20
19:00,2294,Ahmad Wagner Turnover.,39,20
19:00,309,Frank Bartley IV Steal.,39,20
19:00,309,Frank Bartley IV Turnover.,39,20
18:53,2294,Jordan Bohannon missed Jumper.,39,20
18:53,309,Marcus Stroman Defensive Rebound.,39,20
18:46,309,Frank Bartley IV made Layup. Assisted by Marcus Stroman.,41,20
18:36,2294,Luka Garza missed Three Point Jumper.,41,20
18:36,309,Bryce Washington Defensive Rebound.,41,20
18:27,309,JaKeenan Gant made Layup. Assisted by Marcus Stroman.,43,20
18:14,309,Foul on Bryce Washington.,43,20
18:13,2294,Isaiah Moss missed Jumper.,43,20
18:13,309,Frank Bartley IV Block.,43,20
18:09,309,JaKeenan Gant Defensive Rebound.,43,20
18:06,2294,Foul on Tyler Cook.,43,20
18:06,309,Bryce Washington made Free Throw.,44,20
18:06,309,Bryce Washington missed Free Throw.,44,20
18:06,2294,Cordell Pemsl Defensive Rebound.,44,20
17:50,2294,Jack Nunge Turnover.,44,20
17:49,309,Marcus Stroman Steal.,44,20
17:42,309,Foul on Bryce Washington.,44,20
17:42,309,Bryce Washington Turnover.,44,20
17:29,2294,Jordan Bohannon made Three Point Jumper. Assisted by Maishe Dailey.,44,23
16:57,309,Malik Marquetti missed Jumper.,44,23
16:57,309,Justin Miller Offensive Rebound.,44,23
16:34,309,Frank Bartley IV missed Three Point Jumper.,44,23
16:34,2294,Cordell Pemsl Defensive Rebound.,44,23
16:15,309,Foul on Frank Bartley IV.,44,23
16:07,2294,Cordell Pemsl Turnover.,44,23
16:06,309,Frank Bartley IV Steal.,44,23
15:59,2294,Foul on Ryan Kriener.,44,23
15:59,2294,Official TV Timeout,44,23
15:42,309,Justin Miller made Layup. Assisted by JaKeenan Gant.,46,23
15:29,2294,Ryan Kriener made Layup.,46,25
15:11,309,Malik Marquetti Turnover.,46,25
15:01,2294,Ryan Kriener missed Jumper.,46,25
15:01,2294,Iowa Offensive Rebound.,46,25
14:59,309,Foul on JaKeenan Gant.,46,25
14:58,2294,Tyler Cook made Dunk. Assisted by Jordan Bohannon.,46,27
14:38,309,Justin Miller Turnover.,46,27
14:37,2294,Ryan Kriener Steal.,46,27
14:33,2294,Maishe Dailey missed Three Point Jumper.,46,27
14:33,2294,Ryan Kriener Offensive Rebound.,46,27
14:30,309,Foul on JaKeenan Gant.,46,27
14:30,2294,Ryan Kriener made Free Throw.,46,28
14:30,2294,Ryan Kriener missed Free Throw.,46,28
14:30,309,Justin Miller Defensive Rebound.,46,28
14:07,309,Malik Marquetti made Three Point Jumper. Assisted by P.J. Hardy.,49,28
13:58,2294,Jordan Bohannon made Three Point Jumper.,49,31
13:42,309,P.J. Hardy missed Three Point Jumper.,49,31
13:42,2294,Maishe Dailey Defensive Rebound.,49,31
13:31,2294,Ryan Kriener missed Jumper.,49,31
13:31,2294,Jack Nunge Offensive Rebound.,49,31
13:25,2294,Jack Nunge made Layup.,49,33
13:01,309,Frank Bartley IV missed Three Point Jumper.,49,33
13:01,2294,Tyler Cook Defensive Rebound.,49,33
12:53,309,Foul on Frank Bartley IV.,49,33
12:53,2294,Tyler Cook made Free Throw.,49,34
12:53,2294,Tyler Cook made Free Throw.,49,35
12:28,309,Justin Miller missed Jumper.,49,35
12:28,309,Malik Marquetti Offensive Rebound.,49,35
12:23,2294,Foul on Ryan Kriener.,49,35
12:23,309,Justin Miller made Free Throw.,50,35
12:23,309,Justin Miller made Free Throw.,51,35
12:13,309,Foul on Cedric Russell.,51,35
12:13,2294,Maishe Dailey made Free Throw.,51,36
12:13,2294,Maishe Dailey made Free Throw.,51,37
11:44,309,Marcus Stroman missed Three Point Jumper.,51,37
11:44,309,Marcus Stroman Offensive Rebound.,51,37
11:41,309,Marcus Stroman missed Jumper.,51,37
11:41,2294,Tyler Cook Defensive Rebound.,51,37
11:33,2294,Jack Nunge missed Layup.,51,37
11:33,309,Bryce Washington Defensive Rebound.,51,37
11:02,309,Malik Marquetti missed Three Point Jumper.,51,37
11:02,309,Justin Miller Offensive Rebound.,51,37
10:57,2294,Foul on Ryan Kriener.,51,37
10:57,2294,Official TV Timeout,51,37
10:57,309,Justin Miller made Free Throw.,52,37
10:57,309,Justin Miller made Free Throw.,53,37
10:48,309,Foul on Malik Marquetti.,53,37
10:48,2294,Isaiah Moss made Free Throw.,53,38
10:48,2294,Isaiah Moss made Free Throw.,53,39
10:22,309,Cedric Russell missed Three Point Jumper.,53,39
10:22,2294,Cordell Pemsl Defensive Rebound.,53,39
10:12,2294,Jordan Bohannon made Layup.,53,41
9:45,309,Cedric Russell missed Three Point Jumper.,53,41
9:45,309,Frank Bartley IV Offensive Rebound.,53,41
9:40,2294,Foul on Isaiah Moss.,53,41
9:29,309,Frank Bartley IV made Three Point Jumper. Assisted by Cedric Russell.,56,41
9:15,2294,Isaiah Moss missed Three Point Jumper.,56,41
9:15,309,Justin Miller Defensive Rebound.,56,41
9:06,309,Marcus Stroman missed Layup.,56,41
9:06,2294,Luka Garza Defensive Rebound.,56,41
8:49,309,Foul on Justin Miller.,56,41
8:49,2294,Isaiah Moss made Free Throw.,56,42
8:49,2294,Isaiah Moss made Free Throw.,56,43
8:26,309,Bryce Washington made Layup. Assisted by Frank Bartley IV.,58,43
8:16,2294,Jordan Bohannon Turnover.,58,43
8:15,309,Marcus Stroman Steal.,58,43
8:11,309,Bryce Washington made Dunk. Assisted by Marcus Stroman.,60,43
7:58,2294,Maishe Dailey made Jumper. Assisted by Isaiah Moss.,60,45
7:28,309,Cedric Russell missed Three Point Jumper.,60,45
7:28,2294,Iowa Defensive Rebound.,60,45
7:24,2294,Official TV Timeout,60,45
7:12,2294,Isaiah Moss missed Layup.,60,45
7:12,309,Bryce Washington Defensive Rebound.,60,45
7:06,309,Frank Bartley IV made Layup.,62,45
6:43,2294,Isaiah Moss made Three Point Jumper. Assisted by Maishe Dailey.,62,48
6:35,2294,Foul on Jordan Bohannon.,62,48
6:35,309,Marcus Stroman missed Free Throw.,62,48
6:35,2294,Cordell Pemsl Defensive Rebound.,62,48
6:29,2294,Jordan Bohannon missed Jumper.,62,48
6:29,309,Bryce Washington Defensive Rebound.,62,48
6:07,309,Malik Marquetti missed Jumper.,62,48
6:07,2294,Jordan Bohannon Defensive Rebound.,62,48
6:04,309,Foul on Malik Marquetti.,62,48
6:04,2294,Jordan Bohannon made Free Throw.,62,49
6:04,2294,Jordan Bohannon missed Free Throw.,62,49
6:04,309,JaKeenan Gant Defensive Rebound.,62,49
5:38,309,Marcus Stroman missed Three Point Jumper.,62,49
5:38,2294,Isaiah Moss Defensive Rebound.,62,49
5:27,309,Foul on Marcus Stroman.,62,49
5:27,2294,Isaiah Moss made Free Throw.,62,50
5:27,2294,Isaiah Moss made Free Throw.,62,51
5:16,309,Justin Miller made Layup. Assisted by Frank Bartley IV.,64,51
5:07,309,Foul on Justin Miller.,64,51
5:07,2294,Jordan Bohannon made Free Throw.,64,52
5:07,2294,Jordan Bohannon made Free Throw.,64,53
4:43,309,Frank Bartley IV made Layup. Assisted by Cedric Russell.,66,53
4:31,309,Foul on Cedric Russell.,66,53
4:31,2294,Isaiah Moss made Free Throw.,66,54
4:31,2294,Isaiah Moss made Free Throw.,66,55
4:08,309,Frank Bartley IV made Layup. Assisted by Cedric Russell.,68,55
4:06,2294,Iowa  Timeout,68,55
4:06,2294,Official TV Timeout,68,55
3:44,309,Foul on Bryce Washington.,68,55
3:44,2294,Official TV Timeout,68,55
3:44,2294,Jack Nunge made Free Throw.,68,56
3:44,2294,Jack Nunge missed Free Throw.,68,56
3:44,2294,Cordell Pemsl Offensive Rebound.,68,56
3:44,2294,Cordell Pemsl missed Layup.,68,56
3:44,2294,Jack Nunge Offensive Rebound.,68,56
3:39,2294,Jack Nunge Turnover.,68,56
3:37,309,Louisiana  Timeout,68,56
3:10,309,Marcus Stroman missed Three Point Jumper.,68,56
3:10,2294,Ryan Kriener Defensive Rebound.,68,56
2:45,2294,Jack Nunge missed Jumper.,68,56
2:45,309,Justin Miller Defensive Rebound.,68,56
2:41,2294,Foul on Ryan Kriener.,68,56
2:40,309,Justin Miller made Free Throw.,69,56
2:40,309,Justin Miller made Free Throw.,70,56
2:24,2294,Jordan Bohannon made Layup. Assisted by Ryan Kriener.,70,58
2:01,309,Marcus Stroman Turnover.,70,58
1:59,2294,Ryan Kriener Steal.,70,58
1:52,2294,Isaiah Moss made Three Point Jumper.,70,61
1:50,309,Louisiana  Timeout,70,61
1:44,2294,Foul on Ryan Kriener.,70,61
1:44,309,Frank Bartley IV made Free Throw.,71,61
1:44,309,Frank Bartley IV missed Free Throw.,71,61
1:44,2294,Cordell Pemsl Defensive Rebound.,71,61
1:36,2294,Isaiah Moss missed Layup.,71,61
1:36,309,Bryce Washington Defensive Rebound.,71,61
1:28,309,JaKeenan Gant made Layup. Assisted by Marcus Stroman.,73,61
1:17,2294,Jordan Bohannon missed Three Point Jumper.,73,61
1:17,2294,Isaiah Moss Offensive Rebound.,73,61
1:12,2294,Isaiah Moss made Jumper.,73,63
1:08,2294,Iowa  Timeout,73,63
1:04,2294,Foul on Cordell Pemsl.,73,63
1:04,309,Malik Marquetti missed Free Throw.,73,63
1:04,309,Louisiana Deadball Team Rebound.,73,63
1:04,309,Malik Marquetti made Free Throw.,74,63
0:55,2294,Jack Nunge missed Three Point Jumper.,74,63
0:55,309,Frank Bartley IV Defensive Rebound.,74,63
0:49,2294,Foul on Jordan Bohannon.,74,63
0:49,309,JaKeenan Gant made Free Throw.,75,63
0:49,309,JaKeenan Gant made Free Throw.,76,63
0:41,2294,Isaiah Moss missed Jumper.,76,63
0:41,2294,Isaiah Moss Offensive Rebound.,76,63
0:38,2294,Isaiah Moss made Layup.,76,65
0:33,309,JaKeenan Gant made Dunk. Assisted by Frank Bartley IV.,78,65
0:26,2294,Jordan Bohannon made Layup.,78,67
0:21,2294,Foul on Isaiah Moss.,78,67
0:21,309,Frank Bartley IV missed Free Throw.,78,67
0:21,309,Louisiana Deadball Team Rebound.,78,67
0:21,309,Frank Bartley IV missed Free Throw.,78,67
0:21,2294,Cordell Pemsl Defensive Rebound.,78,67
0:19,2294,Isaiah Moss made Layup.,78,69
0:16,2294,Iowa  Timeout,78,69
0:16,2294,Foul on Isaiah Moss.,78,69
0:16,309,Marcus Stroman made Free Throw.,79,69
0:16,309,Marcus Stroman made Free Throw.,80,69
0:13,2294,Isaiah Moss missed Layup.,80,69
0:13,309,JaKeenan Gant Block.,80,69
0:12,2294,Iowa Offensive Rebound.,80,69
0:11,309,Foul on Frank Bartley IV.,80,69
0:11,2294,Isaiah Moss made Free Throw.,80,70
0:11,2294,Isaiah Moss made Free Throw.,80,71
0:00,2294,End of Game,80,71
