UCLA,156,Creighton,26
15:07,156,Marcus Foster made Layup.,13,10
15:01,26,Kris Wilkes missed Three Point Jumper.,13,10
15:01,26,Thomas Welsh Offensive Rebound.,13,10
14:53,26,Foul on Thomas Welsh.,13,10
14:53,26,Thomas Welsh Turnover.,13,10
14:41,156,Mitchell Ballock missed Layup.,13,10
14:41,26,Prince Ali Block.,13,10
14:39,156,Manny Suarez Offensive Rebound.,13,10
14:28,156,Marcus Foster made Jumper.,13,12
14:15,26,Kris Wilkes missed Jumper.,13,12
14:15,156,Manny Suarez Defensive Rebound.,13,12
14:08,156,Ty-Shon Alexander Turnover.,13,12
13:59,26,Aaron Holiday missed Jumper.,13,12
13:59,26,UCLA Offensive Rebound.,13,12
13:53,26,Prince Ali missed Three Point Jumper.,13,12
13:53,156,Creighton Deadball Team Rebound.,13,12
13:52,26,Foul on Gyorgy Goloman.,13,12
13:37,156,Khyri Thomas made Jumper.,13,14
13:18,26,Gyorgy Goloman Turnover.,13,14
13:18,26,Foul on Gyorgy Goloman.,13,14
12:57,156,Mitchell Ballock made Jumper.,13,16
12:38,26,Prince Ali missed Three Point Jumper.,13,16
12:38,156,Mitchell Ballock Defensive Rebound.,13,16
12:31,156,Marcus Foster made Three Point Jumper. Assisted by Mitchell Ballock.,13,19
12:27,26,UCLA  Timeout,13,19
12:13,26,Aaron Holiday missed Jumper.,13,19
12:13,156,Ronnie Harrell Jr. Defensive Rebound.,13,19
11:52,156,Martin Krampelj missed Jumper.,13,19
11:52,26,Alex Olesinski Block.,13,19
11:49,156,Ty-Shon Alexander Offensive Rebound.,13,19
11:42,156,Ty-Shon Alexander made Layup.,13,21
11:31,26,Kris Wilkes missed Three Point Jumper.,13,21
11:31,156,Ronnie Harrell Jr. Defensive Rebound.,13,21
11:22,156,Ty-Shon Alexander made Three Point Jumper. Assisted by Mitchell Ballock.,13,24
11:19,26,UCLA  Timeout,13,24
11:05,26,Chris Smith Turnover.,13,24
10:43,156,Marcus Foster missed Three Point Jumper.,13,24
10:43,26,Jaylen Hands Defensive Rebound.,13,24
10:27,156,Foul on Ty-Shon Alexander.,13,24
10:26,26,Prince Ali made Free Throw.,14,24
10:26,26,Prince Ali made Free Throw.,15,24
10:12,156,Ronnie Harrell Jr. made Jumper.,15,26
9:55,26,Prince Ali made Three Point Jumper. Assisted by Aaron Holiday.,18,26
9:43,156,Khyri Thomas made Three Point Jumper. Assisted by Ty-Shon Alexander.,18,29
9:23,26,Thomas Welsh missed Jumper.,18,29
9:23,156,Ronnie Harrell Jr. Defensive Rebound.,18,29
9:17,156,Ronnie Harrell Jr. Turnover.,18,29
9:16,26,Prince Ali Steal.,18,29
9:14,156,Foul on Martin Krampelj.,18,29
9:14,26,Prince Ali made Free Throw.,19,29
9:14,26,Prince Ali made Free Throw.,20,29
9:02,156,Ty-Shon Alexander missed Three Point Jumper.,20,29
9:02,26,Thomas Welsh Defensive Rebound.,20,29
8:29,26,Aaron Holiday made Three Point Jumper. Assisted by Jaylen Hands.,23,29
8:10,156,Mitchell Ballock missed Three Point Jumper.,23,29
8:10,26,Thomas Welsh Defensive Rebound.,23,29
7:50,26,Prince Ali made Layup. Assisted by Thomas Welsh.,25,29
7:25,156,Mitchell Ballock missed Jumper.,25,29
7:25,26,Alex Olesinski Defensive Rebound.,25,29
7:11,156,Foul on Davion Mintz.,25,29
7:11,156,Official TV Timeout,25,29
7:05,26,Jaylen Hands made Jumper.,27,29
6:43,156,Manny Suarez missed Jumper.,27,29
6:43,26,Jaylen Hands Defensive Rebound.,27,29
6:33,156,Foul on Khyri Thomas.,27,29
6:33,26,Aaron Holiday made Free Throw.,28,29
6:33,26,Aaron Holiday missed Free Throw.,28,29
6:33,156,Martin Krampelj Defensive Rebound.,28,29
6:24,26,Foul on Thomas Welsh.,28,29
6:24,156,Davion Mintz missed Free Throw.,28,29
6:24,156,Creighton Deadball Team Rebound.,28,29
6:24,156,Davion Mintz made Free Throw.,28,30
6:14,26,Jaylen Hands missed Jumper.,28,30
6:14,156,Marcus Foster Defensive Rebound.,28,30
6:06,156,Marcus Foster missed Layup.,28,30
6:06,26,Kris Wilkes Defensive Rebound.,28,30
5:57,26,Thomas Welsh made Jumper. Assisted by Aaron Holiday.,30,30
5:49,156,Ty-Shon Alexander missed Jumper.,30,30
5:49,156,Marcus Foster Offensive Rebound.,30,30
5:45,156,Marcus Foster missed Layup.,30,30
5:45,26,Thomas Welsh Block.,30,30
5:42,26,Thomas Welsh Defensive Rebound.,30,30
5:39,26,Chris Smith missed Three Point Jumper.,30,30
5:39,156,Marcus Foster Defensive Rebound.,30,30
5:27,156,Martin Krampelj made Layup. Assisted by Mitchell Ballock.,30,32
5:14,156,Foul on Martin Krampelj.,30,32
5:14,26,Thomas Welsh made Free Throw.,31,32
5:14,26,Thomas Welsh made Free Throw.,32,32
4:55,156,Mitchell Ballock missed Three Point Jumper.,32,32
4:55,26,Kris Wilkes Defensive Rebound.,32,32
4:41,26,Aaron Holiday missed Three Point Jumper.,32,32
4:41,156,Davion Mintz Defensive Rebound.,32,32
4:34,26,Foul on Thomas Welsh.,32,32
4:34,156,Davion Mintz made Free Throw.,32,33
4:34,156,Davion Mintz made Free Throw.,32,34
4:19,26,Chris Smith missed Jumper.,32,34
4:19,156,Davion Mintz Defensive Rebound.,32,34
4:04,156,Manny Suarez made Layup. Assisted by Ronnie Harrell Jr..,32,36
3:50,156,Foul on Marcus Foster.,32,36
3:50,156,Official TV Timeout,32,36
3:50,26,Chris Smith missed Free Throw.,32,36
3:50,156,Ronnie Harrell Jr. Defensive Rebound.,32,36
3:49,156,Official TV Timeout,32,36
3:24,156,Ty-Shon Alexander missed Three Point Jumper.,32,36
3:24,26,Kris Wilkes Defensive Rebound.,32,36
3:16,26,Aaron Holiday made Layup.,34,36
3:10,156,Ty-Shon Alexander Turnover.,34,36
3:09,26,Kris Wilkes Steal.,34,36
2:46,26,Alex Olesinski made Layup. Assisted by Aaron Holiday.,36,36
2:29,156,Marcus Foster missed Three Point Jumper.,36,36
2:29,26,UCLA Defensive Rebound.,36,36
2:04,26,Prince Ali made Jumper.,38,36
1:50,156,Marcus Foster missed Three Point Jumper.,38,36
1:50,26,Prince Ali Defensive Rebound.,38,36
1:43,156,Foul on Mitchell Ballock.,38,36
1:43,26,Kris Wilkes missed Free Throw.,38,36
1:43,26,UCLA Deadball Team Rebound.,38,36
1:43,26,Kris Wilkes missed Free Throw.,38,36
1:43,156,Ronnie Harrell Jr. Defensive Rebound.,38,36
1:26,156,Mitchell Ballock made Three Point Jumper. Assisted by Ty-Shon Alexander.,38,39
1:01,26,Aaron Holiday missed Three Point Jumper.,38,39
1:01,156,Manny Suarez Defensive Rebound.,38,39
0:53,156,Mitchell Ballock made Layup.,38,41
0:41,26,Alex Olesinski missed Jumper.,38,41
0:41,156,Ronnie Harrell Jr. Defensive Rebound.,38,41
0:33,156,Mitchell Ballock missed Three Point Jumper.,38,41
0:33,26,Kris Wilkes Defensive Rebound.,38,41
0:28,26,Kris Wilkes Turnover.,38,41
0:27,156,Mitchell Ballock Steal.,38,41
0:26,156,Mitchell Ballock made Layup.,38,43
0:05,26,Aaron Holiday missed Layup.,38,43
0:05,156,Ronnie Harrell Jr. Defensive Rebound.,38,43
0:00,156,End of 1st half,38,43
19:39,26,Foul on Alex Olesinski.,38,43
19:39,156,Ronnie Harrell Jr. made Free Throw.,38,44
19:39,156,Ronnie Harrell Jr. missed Free Throw.,38,44
19:39,26,Aaron Holiday Defensive Rebound.,38,44
19:24,26,Gyorgy Goloman missed Jumper.,38,44
19:24,156,Martin Krampelj Block.,38,44
19:22,156,Martin Krampelj Defensive Rebound.,38,44
19:15,156,Davion Mintz made Jumper.,38,46
18:58,26,Jaylen Hands missed Three Point Jumper.,38,46
18:58,156,Marcus Foster Defensive Rebound.,38,46
18:50,156,Marcus Foster made Jumper.,38,48
18:34,26,Aaron Holiday missed Jumper.,38,48
18:34,156,Martin Krampelj Defensive Rebound.,38,48
18:34,26,Foul on Gyorgy Goloman.,38,48
18:24,156,Khyri Thomas made Layup.,38,50
18:14,26,Thomas Welsh missed Jumper.,38,50
18:14,26,Thomas Welsh Offensive Rebound.,38,50
18:07,26,Jaylen Hands missed Jumper.,38,50
18:07,156,Ronnie Harrell Jr. Defensive Rebound.,38,50
18:05,26,Foul on Kris Wilkes.,38,50
17:50,156,Marcus Foster missed Jumper.,38,50
17:50,156,Martin Krampelj Offensive Rebound.,38,50
17:42,156,Khyri Thomas Turnover.,38,50
17:41,26,Kris Wilkes Steal.,38,50
17:36,26,Kris Wilkes made Layup.,40,50
17:18,26,Foul on Alex Olesinski.,40,50
17:18,156,Davion Mintz missed Free Throw.,40,50
17:18,156,Creighton Deadball Team Rebound.,40,50
17:18,156,Davion Mintz made Free Throw.,40,51
17:01,26,Kris Wilkes missed Three Point Jumper.,40,51
17:01,26,Thomas Welsh Offensive Rebound.,40,51
16:56,26,Prince Ali made Three Point Jumper. Assisted by Thomas Welsh.,43,51
16:46,156,Ronnie Harrell Jr. missed Layup.,43,51
16:46,26,Thomas Welsh Defensive Rebound.,43,51
16:40,26,Aaron Holiday made Layup.,45,51
16:22,156,Martin Krampelj made Dunk. Assisted by Khyri Thomas.,45,53
16:05,26,Kris Wilkes made Layup. Assisted by Aaron Holiday.,47,53
15:54,156,Khyri Thomas Turnover.,47,53
15:53,26,Aaron Holiday Steal.,47,53
15:52,156,Foul on Marcus Foster.,47,53
15:52,156,Official TV Timeout,47,53
15:43,26,Prince Ali missed Jumper.,47,53
15:43,156,Davion Mintz Defensive Rebound.,47,53
15:38,26,Foul on Kris Wilkes.,47,53
15:28,156,Marcus Foster made Jumper.,47,55
15:14,156,Foul on Khyri Thomas.,47,55
15:14,26,Aaron Holiday made Free Throw.,48,55
15:14,26,Aaron Holiday made Free Throw.,49,55
15:01,156,Davion Mintz missed Layup.,49,55
15:01,156,Davion Mintz Offensive Rebound.,49,55
14:59,156,Davion Mintz made Layup.,49,57
14:53,26,Thomas Welsh missed Three Point Jumper.,49,57
14:53,156,Davion Mintz Defensive Rebound.,49,57
14:37,156,Mitchell Ballock Turnover.,49,57
14:11,156,Foul on Mitchell Ballock.,49,57
14:11,26,Kris Wilkes made Free Throw.,50,57
14:11,26,Kris Wilkes made Free Throw.,51,57
13:55,156,Mitchell Ballock made Three Point Jumper. Assisted by Ty-Shon Alexander.,51,60
13:43,26,Thomas Welsh made Jumper. Assisted by Prince Ali.,53,60
13:31,26,Foul on Prince Ali.,53,60
13:31,156,Ty-Shon Alexander missed Free Throw.,53,60
13:31,156,Creighton Deadball Team Rebound.,53,60
13:31,156,Ty-Shon Alexander made Free Throw.,53,61
13:22,26,Thomas Welsh made Jumper. Assisted by Prince Ali.,55,61
13:02,156,Marcus Foster made Three Point Jumper.,55,64
12:51,26,Kris Wilkes missed Jumper.,55,64
12:51,156,Manny Suarez Defensive Rebound.,55,64
12:44,156,Ty-Shon Alexander made Layup.,55,66
12:30,26,Thomas Welsh made Three Point Jumper. Assisted by Aaron Holiday.,58,66
12:19,156,Manny Suarez missed Three Point Jumper.,58,66
12:19,26,Prince Ali Defensive Rebound.,58,66
12:12,26,Prince Ali missed Three Point Jumper.,58,66
12:12,156,Mitchell Ballock Defensive Rebound.,58,66
12:05,156,Marcus Foster made Layup.,58,68
11:52,156,Foul on Manny Suarez.,58,68
11:52,156,Official TV Timeout,58,68
11:39,26,Aaron Holiday Turnover.,58,68
11:28,156,Manny Suarez missed Layup.,58,68
11:28,26,Thomas Welsh Block.,58,68
11:27,156,Creighton Offensive Rebound.,58,68
11:21,156,Marcus Foster missed Jumper.,58,68
11:21,26,Aaron Holiday Defensive Rebound.,58,68
11:16,26,Prince Ali made Layup. Assisted by Aaron Holiday.,60,68
11:16,156,Foul on Manny Suarez.,60,68
11:16,26,Prince Ali missed Free Throw.,60,68
11:16,156,Ronnie Harrell Jr. Defensive Rebound.,60,68
11:03,156,Marcus Foster made Jumper.,60,70
10:51,156,Foul on Martin Krampelj.,60,70
10:51,26,Chris Smith made Free Throw.,61,70
10:51,26,Chris Smith made Free Throw.,62,70
10:37,156,Ronnie Harrell Jr. missed Three Point Jumper.,62,70
10:37,26,Prince Ali Defensive Rebound.,62,70
10:14,26,Prince Ali missed Free Throw.,62,70
10:14,26,UCLA Deadball Team Rebound.,62,70
10:14,26,Prince Ali made Free Throw.,63,70
10:14,26,Prince Ali made Free Throw.,64,70
10:14,156,Foul on Martin Krampelj.,64,70
9:55,26,Foul on Jaylen Hands.,64,70
9:55,156,Ty-Shon Alexander made Free Throw.,64,71
9:55,156,Ty-Shon Alexander made Free Throw.,64,72
9:36,26,Jaylen Hands Turnover.,64,72
9:35,156,Khyri Thomas Steal.,64,72
9:35,26,Foul on Jaylen Hands.,64,72
9:35,156,Khyri Thomas missed Free Throw.,64,72
9:35,156,Creighton Deadball Team Rebound.,64,72
9:35,156,Khyri Thomas made Free Throw.,64,73
9:29,156,Khyri Thomas missed Jumper.,64,73
9:29,26,Gyorgy Goloman Defensive Rebound.,64,73
9:22,26,Thomas Welsh made Three Point Jumper. Assisted by Aaron Holiday.,67,73
9:08,156,Ty-Shon Alexander made Layup.,67,75
8:53,26,Thomas Welsh missed Jumper.,67,75
8:53,26,Gyorgy Goloman Offensive Rebound.,67,75
8:50,26,Gyorgy Goloman made Layup.,69,75
8:33,26,Foul on Prince Ali.,69,75
8:33,156,Mitchell Ballock made Free Throw.,69,76
8:33,156,Mitchell Ballock made Free Throw.,69,77
8:21,26,Chris Smith missed Three Point Jumper.,69,77
8:21,156,Ronnie Harrell Jr. Defensive Rebound.,69,77
8:13,156,Mitchell Ballock made Three Point Jumper. Assisted by Khyri Thomas.,69,80
8:02,26,Aaron Holiday made Layup.,71,80
7:54,156,Mitchell Ballock made Three Point Jumper. Assisted by Ronnie Harrell Jr..,71,83
7:43,26,Chris Smith made Jumper.,73,83
7:37,26,Foul on Gyorgy Goloman.,73,83
7:37,156,Official TV Timeout,73,83
7:37,156,Mitchell Ballock made Free Throw.,73,84
7:37,156,Mitchell Ballock made Free Throw.,73,85
7:25,26,Chris Smith made Layup. Assisted by Kris Wilkes.,75,85
7:07,156,Mitchell Ballock missed Three Point Jumper.,75,85
7:07,26,Alex Olesinski Defensive Rebound.,75,85
6:43,26,Aaron Holiday made Jumper.,77,85
6:33,156,Ty-Shon Alexander missed Three Point Jumper.,77,85
6:33,156,Ronnie Harrell Jr. Offensive Rebound.,77,85
6:17,26,Foul on Alex Olesinski.,77,85
6:17,156,Manny Suarez missed Free Throw.,77,85
6:17,156,Creighton Deadball Team Rebound.,77,85
6:17,156,Manny Suarez made Free Throw.,77,86
6:09,26,Aaron Holiday made Jumper.,79,86
5:54,156,Marcus Foster missed Three Point Jumper.,79,86
5:54,26,Thomas Welsh Defensive Rebound.,79,86
5:45,26,Chris Smith missed Three Point Jumper.,79,86
5:45,26,Kris Wilkes Offensive Rebound.,79,86
5:39,26,Kris Wilkes made Jumper.,81,86
5:33,26,Foul on Aaron Holiday.,81,86
5:33,156,Khyri Thomas missed Free Throw.,81,86
5:33,156,Creighton Deadball Team Rebound.,81,86
5:33,156,Khyri Thomas made Free Throw.,81,87
5:33,26,Foul on Prince Ali.,81,87
5:33,156,Martin Krampelj made Free Throw.,81,88
5:33,156,Martin Krampelj made Free Throw.,81,89
5:19,26,Thomas Welsh missed Jumper.,81,89
5:19,156,Mitchell Ballock Defensive Rebound.,81,89
5:04,156,Martin Krampelj missed Jumper.,81,89
5:04,26,Kris Wilkes Block.,81,89
5:02,26,Chris Smith Defensive Rebound.,81,89
4:51,26,Kris Wilkes made Layup. Assisted by Prince Ali.,83,89
4:37,156,Martin Krampelj made Layup. Assisted by Khyri Thomas.,83,91
4:37,26,Foul on Thomas Welsh.,83,91
4:37,156,Martin Krampelj missed Free Throw.,83,91
4:37,26,Thomas Welsh Defensive Rebound.,83,91
4:25,26,Aaron Holiday missed Three Point Jumper.,83,91
4:25,156,Martin Krampelj Defensive Rebound.,83,91
4:15,156,Mitchell Ballock missed Three Point Jumper.,83,91
4:15,26,Thomas Welsh Defensive Rebound.,83,91
4:04,156,Foul on Mitchell Ballock.,83,91
4:04,26,Chris Smith made Free Throw.,84,91
4:04,26,Chris Smith missed Free Throw.,84,91
4:04,156,Marcus Foster Defensive Rebound.,84,91
3:35,156,Marcus Foster made Jumper.,84,93
3:21,156,Foul on Marcus Foster.,84,93
3:21,156,Official TV Timeout,84,93
3:21,26,Kris Wilkes made Free Throw.,85,93
3:21,26,Kris Wilkes missed Free Throw.,85,93
3:21,156,Ronnie Harrell Jr. Defensive Rebound.,85,93
2:53,156,Khyri Thomas missed Three Point Jumper.,85,93
2:53,26,Thomas Welsh Defensive Rebound.,85,93
2:43,156,Foul on Ronnie Harrell Jr..,85,93
2:43,26,Aaron Holiday made Free Throw.,86,93
2:43,26,Aaron Holiday made Free Throw.,87,93
2:23,26,Foul on Prince Ali.,87,93
2:23,156,Marcus Foster made Free Throw.,87,94
2:23,156,Marcus Foster missed Free Throw.,87,94
2:23,26,Thomas Welsh Defensive Rebound.,87,94
2:02,26,Chris Smith missed Jumper.,87,94
2:02,156,Khyri Thomas Defensive Rebound.,87,94
1:40,156,Khyri Thomas made Three Point Jumper. Assisted by Davion Mintz.,87,97
1:34,26,UCLA  Timeout,87,97
1:22,26,Aaron Holiday missed Three Point Jumper.,87,97
1:22,156,Creighton Defensive Rebound.,87,97
1:10,156,Marcus Foster Turnover.,87,97
1:10,26,Aaron Holiday Steal.,87,97
1:00,26,Jaylen Hands missed Jumper.,87,97
1:00,156,Marcus Foster Defensive Rebound.,87,97
0:53,156,Creighton  Timeout,87,97
0:44,26,Foul on Prince Ali.,87,97
0:44,156,Marcus Foster made Free Throw.,87,98
0:44,156,Marcus Foster made Free Throw.,87,99
0:37,156,Foul on Khyri Thomas.,87,99
0:37,26,Aaron Holiday made Free Throw.,88,99
0:37,26,Aaron Holiday made Free Throw.,89,99
0:25,26,Foul on Jaylen Hands.,89,99
0:25,156,Davion Mintz missed Free Throw.,89,99
0:25,156,Creighton Deadball Team Rebound.,89,99
0:25,156,Davion Mintz made Free Throw.,89,100
0:19,26,Jaylen Hands missed Jumper.,89,100
0:19,156,Ronnie Harrell Jr. Defensive Rebound.,89,100
0:00,156,End of Game,89,100
