Manhattan,140,UMKC,2363
8:40,140,UMKC Deadball Team Rebound.,14,18
8:40,140,Aleer Leek made Free Throw.,14,19
8:18,2363,Pauly Paulicap made Layup.,16,19
7:48,140,Broderick Robinson made Three Point Jumper.,16,22
7:25,2363,Zavier Turner Turnover.,16,22
7:25,140,Official TV Timeout,16,22
7:10,140,Broderick Robinson missed Jumper.,16,22
7:10,2363,Patrick Strzala Defensive Rebound.,16,22
6:56,2363,Calvin Crawford missed Jumper.,16,22
6:56,140,UMKC Defensive Rebound.,16,22
6:07,140,Jordan Giles missed Layup.,16,22
6:07,2363,Pauly Paulicap Block.,16,22
6:05,140,UMKC Offensive Rebound.,16,22
6:01,140,Broderick Robinson missed Three Point Jumper.,16,22
6:01,2363,Pauly Paulicap Defensive Rebound.,16,22
5:38,140,Foul on Aleer Leek.,16,22
5:38,2363,missed Jumper.,16,22
5:38,2363,Pauly Paulicap Offensive Rebound.,16,22
5:32,140,Foul on Isaiah Ross.,16,22
5:25,2363,Pauly Paulicap missed Free Throw.,16,22
5:25,140,Aleer Leek Defensive Rebound.,16,22
5:10,2363,Foul on Thomas Capuano.,16,22
4:57,140,Broderick Robinson missed Three Point Jumper.,16,22
4:57,2363,Rich Williams Defensive Rebound.,16,22
4:47,2363,Zane Waterman missed Layup.,16,22
4:47,140,Aleer Leek Defensive Rebound.,16,22
4:33,140,Broderick Robinson Turnover.,16,22
4:33,2363,Zavier Turner Steal.,16,22
4:27,2363,Rich Williams made Jumper. Assisted by Zavier Turner.,18,22
4:05,140,Isaiah Ross missed Three Point Jumper.,18,22
4:05,2363,Nehemiah Mack Defensive Rebound.,18,22
3:59,2363,Zavier Turner made Jumper.,20,22
3:43,140,Broderick Robinson Turnover.,20,22
3:43,140,Official TV Timeout,20,22
3:38,2363,Pauly Paulicap missed Layup.,20,22
3:38,140,Isaiah Ross Defensive Rebound.,20,22
3:14,2363,Foul on Nehemiah Mack.,20,22
2:53,140,Brandon McKissic made Jumper.,20,24
2:38,2363,Nehemiah Mack missed Three Point Jumper.,20,24
2:38,140,UMKC Defensive Rebound.,20,24
2:10,2363,Foul on Zavier Turner.,20,24
1:50,140,Jordan Giles Turnover.,20,24
1:40,2363,Calvin Crawford missed Three Point Jumper.,20,24
1:40,2363,Pauly Paulicap Offensive Rebound.,20,24
1:35,140,Foul on Aleer Leek.,20,24
1:35,2363,Pauly Paulicap made Free Throw.,21,24
1:27,2363,Foul on Thomas Capuano.,21,24
1:15,140,Robert Knar made Layup.,21,26
1:15,2363,Foul on Pauly Paulicap.,21,26
1:15,140,Robert Knar made Free Throw.,21,27
1:02,2363,Rich Williams made Layup. Assisted by Calvin Crawford.,23,27
0:48,140,Broderick Robinson made Three Point Jumper. Assisted by Mo Ahmed.,23,30
0:28,2363,Rich Williams made Layup. Assisted by Zane Waterman.,25,30
0:05,140,Robert Knar made Jumper.,25,32
0:00,140,End of 1st half,25,32
19:47,2363,Foul on Rich Williams.,25,32
19:38,140,Jordan Giles made Layup. Assisted by Isaiah Ross.,25,34
19:38,2363,Foul on Zane Waterman.,25,34
19:38,140,Jordan Giles made Free Throw.,25,35
19:27,140,Foul on Jordan Giles.,25,35
19:27,2363,Zavier Turner missed Free Throw.,25,35
19:27,2363,Manhattan Deadball Team Rebound.,25,35
19:27,2363,Zavier Turner made Free Throw.,26,35
19:07,140,Jordan Giles made Layup.,26,37
18:56,140,Foul on Brandon McKissic.,26,37
18:45,2363,made Three Point Jumper. Assisted by Zavier Turner.,29,37
18:31,140,Broderick Robinson missed Three Point Jumper.,29,37
18:31,2363,Calvin Crawford Defensive Rebound.,29,37
18:21,2363,Zane Waterman Turnover.,29,37
18:21,140,Aleer Leek Steal.,29,37
18:10,140,Jordan Giles missed Jumper.,29,37
18:10,2363,Calvin Crawford Defensive Rebound.,29,37
18:02,2363,Rich Williams missed Three Point Jumper.,29,37
18:02,140,Broderick Robinson Defensive Rebound.,29,37
17:58,2363,Foul on Calvin Crawford.,29,37
17:35,140,Isaiah Ross missed Layup.,29,37
17:35,2363,Zane Waterman Defensive Rebound.,29,37
17:27,140,Foul on Broderick Robinson.,29,37
17:26,2363,Rich Williams Turnover.,29,37
17:25,140,Aleer Leek Steal.,29,37
17:15,2363,Foul on  .,29,37
17:06,2363,Foul on Nehemiah Mack.,29,37
17:00,140,Brandon McKissic missed Layup.,29,37
17:00,2363,Pauly Paulicap Block.,29,37
16:58,2363,Zavier Turner Defensive Rebound.,29,37
16:39,140,Foul on Brandon McKissic.,29,37
16:30,140,Foul on Broderick Robinson.,29,37
16:19,2363,Nehemiah Mack missed Three Point Jumper.,29,37
16:19,140,Broderick Robinson Defensive Rebound.,29,37
16:11,140,Isaiah Ross made Three Point Jumper. Assisted by Xavier Bishop.,29,40
15:53,140,Foul on Isaiah Ross.,29,40
15:53,140,Official TV Timeout,29,40
15:39,2363,Zane Waterman made Layup. Assisted by Zane Waterman.,31,40
15:24,140,Aleer Leek missed Layup.,31,40
15:24,2363,Zavier Turner Defensive Rebound.,31,40
14:57,140,Foul on Brandon McKissic.,31,40
14:57,2363,Zavier Turner made Free Throw.,32,40
14:57,2363,Zavier Turner made Free Throw.,33,40
14:50,140,Robert Knar Turnover.,33,40
14:50,2363,Steal.,33,40
14:33,2363,Calvin Crawford made Layup. Assisted by Zane Waterman.,35,40
14:10,140,Xavier Bishop missed Jumper.,35,40
14:10,2363,Rich Williams Defensive Rebound.,35,40
13:59,2363,missed Jumper.,35,40
13:59,2363,Offensive Rebound.,35,40
13:58,140,Foul on Marco Smith.,35,40
13:58,2363,made Free Throw.,36,40
13:58,2363,made Free Throw.,37,40
13:31,140,Broderick Robinson Turnover.,37,40
13:31,2363,Foul on Thomas Capuano.,37,40
13:31,2363,Technical Foul on Thomas Capuano.,37,40
13:31,140,Isaiah Ross made Free Throw.,37,41
13:31,140,Isaiah Ross made Free Throw.,37,42
13:21,140,Foul on Jordan Giles.,37,42
13:21,2363,Calvin Crawford made Free Throw.,38,42
13:21,2363,Calvin Crawford made Free Throw.,39,42
12:59,2363,Foul on Zane Waterman.,39,42
12:59,140,Jordan Giles made Free Throw.,39,43
12:59,140,Jordan Giles missed Free Throw.,39,43
12:59,2363,Calvin Crawford Defensive Rebound.,39,43
12:48,140,Foul on Broderick Robinson.,39,43
12:48,2363,made Free Throw.,40,43
12:48,2363,made Free Throw.,41,43
12:38,140,Aleer Leek made Layup. Assisted by Xavier Bishop.,41,45
12:16,2363,Rich Williams missed Three Point Jumper.,41,45
12:16,140,Broderick Robinson Defensive Rebound.,41,45
12:03,140,Jordan Giles Turnover.,41,45
12:03,140,Foul on Jordan Giles.,41,45
12:03,140,Official TV Timeout,41,45
11:55,2363,Zavier Turner Turnover.,41,45
11:40,2363,Nehemiah Mack missed Three Point Jumper.,41,45
11:40,140,Defensive Rebound.,41,45
11:16,140,missed Layup.,41,45
11:16,140,Brandon McKissic Defensive Rebound.,41,45
11:06,140,Xavier Bishop missed Layup.,41,45
11:06,2363,Pauly Paulicap Block.,41,45
11:06,2363,Rich Williams Defensive Rebound.,41,45
11:06,140,Foul on Brandon McKissic.,41,45
11:06,2363,Zavier Turner made Free Throw.,42,45
11:06,2363,Zavier Turner made Free Throw.,43,45
10:56,140,Brandon McKissic Turnover.,43,45
10:52,2363,Zavier Turner Steal.,43,45
10:52,140,Foul on Isaiah Ross.,43,45
10:52,2363,Zavier Turner missed Free Throw.,43,45
10:52,2363,Manhattan Deadball Team Rebound.,43,45
10:52,2363,Zavier Turner made Free Throw.,44,45
10:39,2363,Foul on Zavier Turner.,44,45
10:39,140,Broderick Robinson made Free Throw.,44,46
10:39,140,Broderick Robinson made Free Throw.,44,47
10:28,2363,Zavier Turner missed Layup.,44,47
10:28,2363,Pauly Paulicap Offensive Rebound.,44,47
10:19,2363,Pauly Paulicap made Layup.,46,47
10:04,140,Broderick Robinson made Layup.,46,49
9:35,2363,Zavier Turner Turnover.,46,49
9:12,140,Marco Smith made Jumper. Assisted by Broderick Robinson.,46,51
9:03,2363,Pauly Paulicap missed Layup.,46,51
9:03,140,Marco Smith Defensive Rebound.,46,51
8:49,140,Turnover.,46,51
8:49,140,Foul on  .,46,51
8:49,140,UMKC  Timeout,46,51
8:42,2363,Pauly Paulicap missed Layup.,46,51
8:42,140,Aleer Leek Block.,46,51
8:40,140,Defensive Rebound.,46,51
8:23,140,Aleer Leek made Three Point Jumper. Assisted by Broderick Robinson.,46,54
8:17,2363,Zane Waterman Turnover.,46,54
8:16,140,Xavier Bishop Steal.,46,54
7:58,140,made Layup. Assisted by Xavier Bishop.,46,56
7:45,2363,made Layup.,48,56
7:17,140,Turnover.,48,56
7:17,140,Foul on  .,48,56
7:17,140,Official TV Timeout,48,56
7:07,140,Foul on Brandon McKissic.,48,56
7:07,2363,missed Free Throw.,48,56
7:07,2363,Manhattan Deadball Team Rebound.,48,56
7:07,2363,made Free Throw.,49,56
6:38,140,Xavier Bishop missed Three Point Jumper.,49,56
6:38,140,UMKC Offensive Rebound.,49,56
6:08,140,Broderick Robinson missed Layup.,49,56
6:08,140,UMKC Defensive Rebound.,49,56
6:05,140,Jordan Giles made Layup. Assisted by Broderick Robinson.,49,58
6:05,2363,Foul on Pauly Paulicap.,49,58
6:05,140,Jordan Giles missed Free Throw.,49,58
6:05,2363,Zane Waterman Defensive Rebound.,49,58
5:51,2363,Zavier Turner missed Layup.,49,58
5:51,2363,Zane Waterman Offensive Rebound.,49,58
5:47,2363,missed Three Point Jumper.,49,58
5:47,140,Defensive Rebound.,49,58
5:21,2363,Foul on Pauly Paulicap.,49,58
5:21,140,Jordan Giles missed Free Throw.,49,58
5:21,140,UMKC Deadball Team Rebound.,49,58
5:21,140,Jordan Giles made Free Throw.,49,59
4:49,2363,Zane Waterman missed Three Point Jumper.,49,59
4:49,140,Defensive Rebound.,49,59
4:41,140,Aleer Leek missed Layup.,49,59
4:41,140,Offensive Rebound.,49,59
4:36,140,Broderick Robinson made Three Point Jumper.,49,62
4:25,2363,Zane Waterman missed Three Point Jumper.,49,62
4:25,2363,Rich Williams Offensive Rebound.,49,62
4:22,2363,Rich Williams missed Layup.,49,62
4:22,2363,Calvin Crawford Offensive Rebound.,49,62
4:17,2363,Calvin Crawford made Layup.,51,62
3:55,140,Aleer Leek missed Jumper.,51,62
3:55,2363,Calvin Crawford Defensive Rebound.,51,62
3:46,2363,Rich Williams missed Three Point Jumper.,51,62
3:46,140,UMKC Offensive Rebound.,51,62
3:43,140,Official TV Timeout,51,62
3:37,2363,Foul on Zavier Turner.,51,62
3:37,140,Xavier Bishop missed Free Throw.,51,62
3:37,140,UMKC Deadball Team Rebound.,51,62
3:37,140,Xavier Bishop made Free Throw.,51,63
3:27,2363,Zavier Turner Turnover.,51,63
3:04,140,Xavier Bishop Turnover.,51,63
2:46,2363,Zane Waterman Turnover.,51,63
2:14,140,Broderick Robinson Turnover.,51,63
2:02,2363,Zavier Turner Turnover.,51,63
2:02,2363,Foul on Rich Williams.,51,63
2:02,140,Broderick Robinson made Free Throw.,51,64
2:02,140,Broderick Robinson missed Free Throw.,51,64
2:02,2363,Zane Waterman Defensive Rebound.,51,64
1:50,2363,Zane Waterman missed Three Point Jumper.,51,64
1:50,2363,Thomas Capuano Offensive Rebound.,51,64
1:47,2363,Thomas Capuano missed Jumper.,51,64
1:47,2363,Offensive Rebound.,51,64
1:44,2363,made Layup.,53,64
1:44,140,Foul on Aleer Leek.,53,64
1:44,2363,missed Free Throw.,53,64
1:44,2363,Rich Williams Offensive Rebound.,53,64
1:42,2363,Rich Williams made Layup.,55,64
1:38,2363,Foul on Rich Williams.,55,64
1:38,140,Robert Knar made Free Throw.,55,65
1:38,140,Robert Knar missed Free Throw.,55,65
1:38,2363,Zane Waterman Defensive Rebound.,55,65
1:11,2363,Thomas Capuano missed Three Point Jumper.,55,65
1:11,140,Xavier Bishop Defensive Rebound.,55,65
1:03,2363,Foul on Thomas Capuano.,55,65
1:03,140,Xavier Bishop made Free Throw.,55,66
1:03,140,Xavier Bishop made Free Throw.,55,67
0:56,2363,Patrick Strzala made Three Point Jumper.,58,67
0:53,2363,Manhattan  Timeout,58,67
0:49,2363,Foul on Thomas Capuano.,58,67
0:49,140,Marco Smith missed Free Throw.,58,67
0:49,140,UMKC Deadball Team Rebound.,58,67
0:49,140,Marco Smith made Free Throw.,58,68
0:44,2363,missed Layup.,58,68
0:44,140,Broderick Robinson Block.,58,68
0:44,2363,Manhattan Offensive Rebound.,58,68
0:44,140,Foul on Marco Smith.,58,68
0:44,2363,Calvin Crawford missed Free Throw.,58,68
0:44,2363,Manhattan Deadball Team Rebound.,58,68
0:44,2363,Calvin Crawford made Free Throw.,59,68
0:41,140,Xavier Bishop Turnover.,59,68
0:40,2363,missed Three Point Jumper.,59,68
0:40,2363,Calvin Crawford Offensive Rebound.,59,68
0:34,2363,Patrick Strzala made Three Point Jumper. Assisted by Zavier Turner.,62,68
0:32,2363,Manhattan  Timeout,62,68
0:24,140,Isaiah Ross Turnover.,62,68
0:24,2363,Steal.,62,68
0:24,140,Foul on Isaiah Ross.,62,68
0:24,2363,Nehemiah Mack missed Free Throw.,62,68
0:24,2363,Manhattan Deadball Team Rebound.,62,68
0:24,2363,Nehemiah Mack made Free Throw.,63,68
0:24,140,UMKC  Timeout,63,68
0:21,2363,Foul on Calvin Crawford.,63,68
0:21,140,Broderick Robinson made Free Throw.,63,69
0:21,140,Broderick Robinson made Free Throw.,63,70
0:16,2363,Zavier Turner Turnover.,63,70
0:15,140,Aleer Leek Steal.,63,70
0:14,2363,Foul on  .,63,70
0:14,140,Broderick Robinson made Free Throw.,63,71
0:14,140,Broderick Robinson made Free Throw.,63,72
0:09,2363,missed Three Point Jumper.,63,72
0:09,140,Xavier Bishop Defensive Rebound.,63,72
0:05,2363,Foul on  .,63,72
0:05,140,Xavier Bishop made Free Throw.,63,73
0:05,140,Xavier Bishop made Free Throw.,63,74
0:00,140,End of Game,63,74
