Ave Maria,Error,Stetson,56
10:55,56,Christiaan Jones missed Jumper.,11,12
10:55,56,Stetson Deadball Team Rebound.,11,12
10:55,-1,Foul on Joan Povea.,11,12
10:45,56,Keith Matthews made Layup. Assisted by Kenny Aninye.,11,14
10:24,56,Foul on Kenny Aninye.,11,14
10:06,-1,Joan Povea missed Jumper.,11,14
10:06,56,Keith Matthews Defensive Rebound.,11,14
10:01,56,Raine McKeython missed Layup.,11,14
10:01,-1,Jovan Grujicic Defensive Rebound.,11,14
9:52,-1,Ave Maria  Timeout,11,14
9:37,56,Foul on Adam Webb.,11,14
9:34,-1,Jonathan Simmons Turnover.,11,14
9:19,56,Divine Myles made Three Point Jumper. Assisted by Christiaan Jones.,11,17
9:03,-1,Stevan Krusevac missed Three Point Jumper.,11,17
9:03,56,Divine Myles Defensive Rebound.,11,17
8:57,56,Kenny Aninye missed Three Point Jumper.,11,17
8:57,-1,Stevan Krusevac Defensive Rebound.,11,17
8:29,-1,Lucas Uzdavinis missed Three Point Jumper.,11,17
8:29,56,Keith Matthews Defensive Rebound.,11,17
8:19,56,Keith Matthews missed Layup.,11,17
8:19,56,Keith Matthews Offensive Rebound.,11,17
8:03,56,Christiaan Jones made Three Point Jumper. Assisted by Kenny Aninye.,11,20
7:45,56,Official TV Timeout,11,20
7:44,-1,Josh Flowers Turnover.,11,20
7:44,56,Official TV Timeout,11,20
7:28,56,Divine Myles missed Jumper.,11,20
7:28,56,Adam Webb Offensive Rebound.,11,20
7:26,56,Adam Webb missed Two Point Tip Shot.,11,20
7:26,56,Adam Webb Offensive Rebound.,11,20
7:24,56,Adam Webb made Layup.,11,22
7:11,-1,Nemanja Brankov missed Jumper.,11,22
7:11,56,Kenny Aninye Defensive Rebound.,11,22
6:57,56,Kenny Aninye made Three Point Jumper. Assisted by B.J. Glasford.,11,25
6:46,-1,Ave Maria  Timeout,11,25
6:24,56,Official TV Timeout,11,25
6:24,-1,Ave Maria  Turnover.,11,25
6:04,56,Divine Myles made Three Point Jumper. Assisted by Larry Dennis.,11,28
5:34,-1,Stevan Krusevac Turnover.,11,28
5:18,56,B.J. Glasford made Dunk. Assisted by Divine Myles.,11,30
4:57,-1,Greenan Sullivan Turnover.,11,30
4:42,-1,Foul on Nemanja Brankov.,11,30
4:42,56,Larry Dennis made Free Throw.,11,31
4:42,56,Larry Dennis missed Free Throw.,11,31
4:42,-1,Ave Maria Deadball Team Rebound.,11,31
4:18,-1,Nemanja Brankov missed Layup.,11,31
4:18,56,Larry Dennis Block.,11,31
4:17,56,Luke Doyle Defensive Rebound.,11,31
4:11,56,Divine Myles missed Three Point Jumper.,11,31
4:11,-1,Greenan Sullivan Defensive Rebound.,11,31
4:04,-1,Joan Povea made Three Point Jumper. Assisted by Greenan Sullivan.,14,31
3:41,56,B.J. Glasford made Jumper.,14,33
3:19,-1,Joan Povea Turnover.,14,33
3:19,-1,Foul on Joan Povea.,14,33
3:19,56,Official TV Timeout,14,33
3:02,56,Luke Doyle made Layup.,14,35
2:40,-1,Greenan Sullivan missed Three Point Jumper.,14,35
2:40,56,Luke Doyle Defensive Rebound.,14,35
2:36,56,Angel Rivera Turnover.,14,35
2:15,-1,Josh Flowers Turnover.,14,35
2:14,56,Larry Dennis Steal.,14,35
2:13,-1,Foul on Greenan Sullivan.,14,35
2:08,56,Larry Dennis made Dunk. Assisted by Angel Rivera.,14,37
1:46,-1,Greenan Sullivan missed Three Point Jumper.,14,37
1:46,56,Raine McKeython Defensive Rebound.,14,37
1:37,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,14,40
1:21,-1,Greenan Sullivan made Three Point Jumper. Assisted by Nemanja Brankov.,17,40
1:04,56,Larry Dennis made Dunk. Assisted by Angel Rivera.,17,42
0:52,-1,Greenan Sullivan missed Jumper.,17,42
0:52,-1,Jovan Grujicic Offensive Rebound.,17,42
0:50,-1,Jovan Grujicic missed Layup.,17,42
0:50,56,Raine McKeython Defensive Rebound.,17,42
0:39,56,Raine McKeython missed Three Point Jumper.,17,42
0:39,-1,Ave Maria Defensive Rebound.,17,42
0:11,-1,Stevan Krusevac made Jumper.,19,42
0:00,56,Angel Rivera missed Three Point Jumper.,19,42
0:00,-1,Nemanja Brankov Defensive Rebound.,19,42
0:00,56,End of 1st half,19,42
19:38,-1,Jonathan Simmons made Three Point Jumper. Assisted by Stevan Krusevac.,22,42
19:24,-1,Foul on Nemanja Brankov.,22,42
19:09,56,B.J. Glasford missed Jumper.,22,42
19:09,-1,Nemanja Brankov Defensive Rebound.,22,42
18:52,-1,Jovan Grujicic missed Layup.,22,42
18:52,56,B.J. Glasford Defensive Rebound.,22,42
18:42,56,Divine Myles missed Three Point Jumper.,22,42
18:42,-1,Jonathan Simmons Defensive Rebound.,22,42
18:32,56,Foul on B.J. Glasford.,22,42
18:32,-1,Josh Flowers made Free Throw.,23,42
18:32,-1,Josh Flowers missed Free Throw.,23,42
18:32,56,Larry Dennis Defensive Rebound.,23,42
18:19,-1,Foul on Jonathan Simmons.,23,42
18:09,56,B.J. Glasford missed Three Point Jumper.,23,42
18:09,-1,Josh Flowers Defensive Rebound.,23,42
17:49,56,Foul on Divine Myles.,23,42
17:49,-1,Jonathan Simmons made Free Throw.,24,42
17:49,-1,Jonathan Simmons made Free Throw.,25,42
17:36,56,Kenny Aninye missed Three Point Jumper.,25,42
17:36,-1,Nemanja Brankov Defensive Rebound.,25,42
17:09,-1,Nemanja Brankov made Layup. Assisted by Josh Flowers.,27,42
16:49,56,Kenny Aninye Turnover.,27,42
16:37,56,Foul on Luke Doyle.,27,42
16:32,-1,Joan Povea missed Three Point Jumper.,27,42
16:32,-1,Jovan Grujicic Offensive Rebound.,27,42
16:14,-1,Josh Flowers made Three Point Jumper. Assisted by Joan Povea.,30,42
15:47,56,Luke Doyle made Three Point Jumper. Assisted by Christiaan Jones.,30,45
15:28,-1,Nemanja Brankov made Three Point Jumper. Assisted by Jonathan Simmons.,33,45
15:18,-1,Foul on Josh Flowers.,33,45
15:18,56,Official TV Timeout,33,45
15:06,56,Abayomi Iyiola missed Jumper.,33,45
15:06,-1,Nemanja Brankov Defensive Rebound.,33,45
14:58,-1,Jonathan Simmons Turnover.,33,45
14:58,-1,Foul on Jonathan Simmons.,33,45
14:37,56,Keith Matthews made Layup. Assisted by Christiaan Jones.,33,47
14:13,-1,Joan Povea Turnover.,33,47
14:11,56,Christiaan Jones Steal.,33,47
14:08,56,Abayomi Iyiola made Layup. Assisted by Keith Matthews.,33,49
13:52,-1,Jonathan Simmons Turnover.,33,49
13:52,-1,Ave Maria  Timeout,33,49
13:52,56,Official TV Timeout,33,49
13:51,56,Official TV Timeout,33,49
13:32,56,Christiaan Jones missed Three Point Jumper.,33,49
13:32,-1,Stevan Krusevac Defensive Rebound.,33,49
13:12,-1,Nemanja Brankov missed Jumper.,33,49
13:12,56,Keith Matthews Defensive Rebound.,33,49
12:54,56,Keith Matthews made Layup.,33,51
12:54,-1,Foul on Stevan Krusevac.,33,51
12:54,56,Keith Matthews made Free Throw.,33,52
12:36,56,Foul on Christiaan Jones.,33,52
12:19,-1,Nemanja Brankov missed Layup.,33,52
12:19,-1,Nemanja Brankov Offensive Rebound.,33,52
12:16,-1,Nemanja Brankov missed Jumper.,33,52
12:16,-1,Joan Povea Offensive Rebound.,33,52
12:10,-1,Grant Smith missed Three Point Jumper.,33,52
12:10,56,Christiaan Jones Defensive Rebound.,33,52
12:00,56,Raine McKeython made Jumper. Assisted by Divine Myles.,33,54
11:42,-1,Greenan Sullivan made Layup.,35,54
11:24,56,Raine McKeython missed Three Point Jumper.,35,54
11:24,56,Abayomi Iyiola Offensive Rebound.,35,54
11:18,56,Abayomi Iyiola missed Jumper.,35,54
11:18,-1,Lucas Uzdavinis Defensive Rebound.,35,54
10:55,-1,Lucas Uzdavinis made Three Point Jumper. Assisted by Greenan Sullivan.,38,54
10:33,56,Christiaan Jones made Three Point Jumper. Assisted by Divine Myles.,38,57
10:30,56,Stetson  Timeout,38,57
10:30,56,Official TV Timeout,38,57
10:30,56,Official TV Timeout,38,57
10:01,-1,Lucas Uzdavinis missed Three Point Jumper.,38,57
10:01,56,Keith Matthews Defensive Rebound.,38,57
10:00,-1,Foul on Joan Povea.,38,57
9:41,56,Raine McKeython missed Jumper.,38,57
9:41,-1,Greenan Sullivan Defensive Rebound.,38,57
9:34,-1,Grant Smith Turnover.,38,57
9:16,56,Adam Webb Turnover.,38,57
9:16,56,Foul on Adam Webb.,38,57
8:53,-1,Josh Flowers missed Three Point Jumper.,38,57
8:53,56,Adam Webb Defensive Rebound.,38,57
8:39,56,Christiaan Jones Turnover.,38,57
8:39,-1,Greenan Sullivan Steal.,38,57
8:29,56,Foul on Adam Webb.,38,57
8:25,56,Foul on Adam Webb.,38,57
8:25,-1,Josh Flowers made Free Throw.,39,57
8:25,-1,Josh Flowers made Free Throw.,40,57
8:07,56,Divine Myles made Three Point Jumper. Assisted by Raine McKeython.,40,60
7:51,-1,Jovan Grujicic missed Layup.,40,60
7:51,-1,Jovan Grujicic Offensive Rebound.,40,60
7:49,-1,Jovan Grujicic made Layup.,42,60
7:49,56,Foul on Adam Webb.,42,60
7:49,56,Official TV Timeout,42,60
7:49,-1,Jovan Grujicic made Free Throw.,43,60
7:25,56,Divine Myles made Three Point Jumper.,43,63
7:08,-1,Greenan Sullivan missed Three Point Jumper.,43,63
7:08,56,Stetson Defensive Rebound.,43,63
6:57,56,Angel Rivera missed Three Point Jumper.,43,63
6:57,-1,Stevan Krusevac Defensive Rebound.,43,63
6:46,-1,Greenan Sullivan Turnover.,43,63
6:45,56,Divine Myles Steal.,43,63
6:40,56,Luke Doyle made Layup. Assisted by Divine Myles.,43,65
6:23,-1,Jovan Grujicic missed Jumper.,43,65
6:23,56,B.J. Glasford Defensive Rebound.,43,65
6:17,56,Luke Doyle made Layup. Assisted by B.J. Glasford.,43,67
6:01,-1,Josh Flowers missed Layup.,43,67
6:01,-1,Ave Maria Deadball Team Rebound.,43,67
6:01,56,Foul on B.J. Glasford.,43,67
6:01,-1,Jovan Grujicic made Free Throw.,44,67
6:01,-1,Jovan Grujicic missed Free Throw.,44,67
6:01,56,Larry Dennis Defensive Rebound.,44,67
5:34,-1,Foul on Nemanja Brankov.,44,67
5:34,56,Larry Dennis missed Free Throw.,44,67
5:34,56,Stetson Deadball Team Rebound.,44,67
5:34,56,Larry Dennis missed Free Throw.,44,67
5:34,-1,Jonathan Simmons Defensive Rebound.,44,67
5:12,-1,Jovan Grujicic missed Layup.,44,67
5:12,-1,Jovan Grujicic Offensive Rebound.,44,67
5:11,56,Foul on Kenny Aninye.,44,67
5:11,-1,Jovan Grujicic made Free Throw.,45,67
5:11,-1,Jovan Grujicic made Free Throw.,46,67
4:49,56,Angel Rivera made Three Point Jumper. Assisted by Luke Doyle.,46,70
4:31,56,Foul on Larry Dennis.,46,70
4:31,-1,Nemanja Brankov missed Free Throw.,46,70
4:31,-1,Ave Maria Deadball Team Rebound.,46,70
4:31,-1,Nemanja Brankov missed Free Throw.,46,70
4:31,56,Larry Dennis Defensive Rebound.,46,70
4:21,56,Kenny Aninye made Three Point Jumper. Assisted by Angel Rivera.,46,73
4:02,-1,Josh Flowers Turnover.,46,73
3:55,56,Luke Doyle missed Three Point Jumper.,46,73
3:55,56,Abayomi Iyiola Offensive Rebound.,46,73
3:49,56,Abayomi Iyiola made Layup. Assisted by B.J. Glasford.,46,75
3:26,-1,Josh Flowers missed Layup.,46,75
3:26,56,Luke Doyle Block.,46,75
3:26,-1,Ave Maria Offensive Rebound.,46,75
3:26,56,Official TV Timeout,46,75
3:26,-1,Stevan Krusevac missed Three Point Jumper.,46,75
3:26,56,Abayomi Iyiola Defensive Rebound.,46,75
3:18,-1,Foul on Stevan Krusevac.,46,75
3:18,56,Matthew Cioce missed Free Throw.,46,75
3:18,56,Stetson Deadball Team Rebound.,46,75
3:18,56,Matthew Cioce missed Free Throw.,46,75
3:18,-1,Jonathan Simmons Defensive Rebound.,46,75
3:07,56,Foul on Abayomi Iyiola.,46,75
3:07,-1,Jovan Grujicic made Free Throw.,47,75
3:07,-1,Jovan Grujicic made Free Throw.,48,75
2:54,56,Brady Moses made Three Point Jumper. Assisted by Angel Rivera.,48,78
2:39,-1,Stevan Krusevac missed Jumper.,48,78
2:39,-1,Ave Maria Offensive Rebound.,48,78
2:32,-1,Lucas Uzdavinis missed Three Point Jumper.,48,78
2:32,56,Kenny Aninye Defensive Rebound.,48,78
2:27,56,Brady Moses made Three Point Jumper. Assisted by Angel Rivera.,48,81
1:55,-1,Joan Povea made Layup.,50,81
1:48,56,Stetson  Timeout,50,81
1:25,56,Brady Moses made Three Point Jumper. Assisted by Kenny Aninye.,50,84
0:57,56,Foul on Abayomi Iyiola.,50,84
0:57,-1,Stevan Krusevac missed Free Throw.,50,84
0:57,-1,Ave Maria Deadball Team Rebound.,50,84
0:57,-1,Stevan Krusevac made Free Throw.,51,84
0:48,56,Matthew Cioce made Three Point Jumper. Assisted by Kenny Aninye.,51,87
0:33,-1,Jonathan Simmons missed Three Point Jumper.,51,87
0:33,56,Brady Moses Defensive Rebound.,51,87
0:22,56,Brady Moses missed Three Point Jumper.,51,87
0:22,-1,Lucas Uzdavinis Defensive Rebound.,51,87
0:10,-1,Jonathan Simmons made Layup.,53,87
0:00,56,End of Game,53,87
