Toccoa Falls,Error,Charleston Southern,2127
14:27,-1,Christian Newman Offensive Rebound.,2,16
14:24,-1,Christian Newman missed Layup.,2,16
14:24,2127,Charleston Southern Defensive Rebound.,2,16
14:22,-1,Foul on Caleb Sergent.,2,16
14:10,2127,Ty Jones made Layup. Assisted by Christian Keeling.,2,18
14:02,-1,Caleb Sergent missed Three Point Jumper.,2,18
14:02,2127,Cortez Mitchell Defensive Rebound.,2,18
13:53,2127,Ty Jones Turnover.,2,18
13:51,-1,Joe Dockery Steal.,2,18
13:49,-1,Seth Stanley made Layup. Assisted by Joe Dockery.,4,18
13:28,2127,Cortez Mitchell missed Three Point Jumper.,4,18
13:28,-1,Joe Dockery Defensive Rebound.,4,18
13:16,-1,Nick Hayes missed Three Point Jumper.,4,18
13:16,2127,Javis Howard Defensive Rebound.,4,18
13:08,2127,Christian Keeling made Three Point Jumper. Assisted by Ty Jones.,4,21
13:04,-1,Toccoa Falls  Timeout,4,21
12:33,-1,Toccoa Falls  Turnover.,4,21
12:17,2127,Phlandrous Fleming Jr missed Three Point Jumper.,4,21
12:17,-1,Jordan Grayson Defensive Rebound.,4,21
11:58,-1,Dylan Brandenburg missed Three Point Jumper.,4,21
11:58,2127,Charleston Southern Defensive Rebound.,4,21
11:55,2127,Official TV Timeout,4,21
11:41,2127,Jordan Jones made Jumper.,4,23
11:36,-1,Jordan Grayson Turnover.,4,23
11:35,2127,Travis McConico Steal.,4,23
11:34,2127,Travis McConico made Jumper.,4,25
11:34,-1,Foul on Jordan Grayson.,4,25
11:34,2127,Travis McConico missed Free Throw.,4,25
11:34,-1,Nikk Butler Defensive Rebound.,4,25
11:22,-1,Foul on Omar Simpkins.,4,25
11:22,-1,Omar Simpkins Turnover.,4,25
11:15,2127,Christian Keeling missed Three Point Jumper.,4,25
11:15,-1,Nick Hayes Defensive Rebound.,4,25
11:10,-1,Nick Hayes Turnover.,4,25
11:10,2127,Travis McConico Steal.,4,25
11:08,-1,Foul on Nikk Butler.,4,25
11:08,2127,Travis McConico made Free Throw.,4,26
11:08,2127,Travis McConico missed Free Throw.,4,26
11:08,-1,Omar Simpkins Defensive Rebound.,4,26
11:06,-1,Nikk Butler Turnover.,4,26
11:06,2127,Phlandrous Fleming Jr Steal.,4,26
11:03,2127,Travis McConico made Three Point Jumper. Assisted by Phlandrous Fleming Jr.,4,29
10:52,-1,Omar Simpkins Turnover.,4,29
10:51,2127,Travis McConico Steal.,4,29
10:48,2127,Travis McConico made Layup.,4,31
10:41,-1,Matthew Massengill Turnover.,4,31
10:40,2127,Deontaye Buskey Steal.,4,31
10:38,2127,Deontaye Buskey made Layup. Assisted by Travis McConico.,4,33
10:35,-1,Toccoa Falls  Timeout,4,33
10:20,-1,Kevin Cave missed Three Point Jumper.,4,33
10:19,2127,Javis Howard Defensive Rebound.,4,33
10:17,2127,Ty Jones made Layup.,4,35
10:17,-1,Foul on Nick Hayes.,4,35
10:17,2127,Ty Jones missed Free Throw.,4,35
10:17,-1,Joe Dockery Defensive Rebound.,4,35
10:09,-1,Joe Dockery missed Layup.,4,35
10:09,2127,Jamal Thomas Block.,4,35
10:07,2127,Javis Howard Defensive Rebound.,4,35
10:01,2127,Jamal Thomas Turnover.,4,35
9:53,-1,Joe Dockery Turnover.,4,35
9:46,2127,Foul on Ty Jones.,4,35
9:46,2127,Ty Jones Turnover.,4,35
9:46,2127,Charleston Southern  Timeout,4,35
9:33,-1,Jordan Grayson made Layup. Assisted by Kevin Cave.,6,35
9:24,2127,Jamaal David Turnover.,6,35
9:23,-1,Seth Stanley Steal.,6,35
9:02,-1,Kevin Cave missed Three Point Jumper.,6,35
9:02,2127,Jamaal David Defensive Rebound.,6,35
8:54,2127,Jamal Thomas made Three Point Jumper. Assisted by Deontaye Buskey.,6,38
8:34,-1,Seth Stanley missed Jumper.,6,38
8:34,2127,Deontaye Buskey Defensive Rebound.,6,38
8:13,2127,Jamaal David made Three Point Jumper. Assisted by Ty Jones.,6,41
8:00,-1,Nick Hayes Turnover.,6,41
7:59,2127,Jamaal David Steal.,6,41
7:57,2127,Jamaal David missed Dunk.,6,41
7:57,-1,Nick Hayes Block.,6,41
7:55,-1,Seth Stanley Defensive Rebound.,6,41
7:45,-1,Seth Stanley Turnover.,6,41
7:45,2127,Jamaal David Steal.,6,41
7:43,2127,Javis Howard Turnover.,6,41
7:43,2127,Official TV Timeout,6,41
7:31,2127,Foul on Javis Howard.,6,41
7:31,-1,Seth Stanley made Free Throw.,7,41
7:31,-1,Seth Stanley made Free Throw.,8,41
7:21,2127,Ty Jones made Jumper. Assisted by Cortez Mitchell.,8,43
7:02,-1,Kevin Cave missed Three Point Jumper.,8,43
7:02,-1,Toccoa Falls Offensive Rebound.,8,43
6:55,-1,Caleb Sergent missed Layup.,8,43
6:55,2127,Javis Howard Defensive Rebound.,8,43
6:52,2127,Ty Jones missed Layup.,8,43
6:52,-1,Jordan Grayson Defensive Rebound.,8,43
6:26,-1,Nick Hayes missed Jumper.,8,43
6:26,2127,Phlandrous Fleming Jr Block.,8,43
6:25,2127,Ty Jones Defensive Rebound.,8,43
6:03,2127,Javis Howard made Layup.,8,45
5:46,-1,Justin Watkins made Layup. Assisted by Seth Stanley.,10,45
5:26,2127,Phlandrous Fleming Jr missed Layup.,10,45
5:26,2127,Javis Howard Offensive Rebound.,10,45
5:17,2127,Cortez Mitchell missed Layup.,10,45
5:17,-1,Seth Stanley Defensive Rebound.,10,45
5:03,-1,Jordan Grayson made Jumper.,12,45
4:49,2127,Javis Howard made Layup. Assisted by Sean Price.,12,47
4:31,-1,Jordan Grayson made Layup. Assisted by Caleb Sergent.,14,47
4:24,2127,Javis Howard made Dunk. Assisted by Cortez Mitchell.,14,49
4:22,-1,Toccoa Falls  Timeout,14,49
4:22,2127,Official TV Timeout,14,49
4:03,-1,Caleb Sergent made Jumper.,16,49
3:52,2127,Christian Keeling missed Layup.,16,49
3:52,-1,Caleb Sergent Defensive Rebound.,16,49
3:43,-1,Nikk Butler Turnover.,16,49
3:42,2127,Jamaal David Steal.,16,49
3:35,2127,Cortez Mitchell made Layup.,16,51
3:35,-1,Foul on Christian Newman.,16,51
3:35,2127,Cortez Mitchell made Free Throw.,16,52
3:12,-1,Christian Newman missed Layup.,16,52
3:12,2127,Cortez Mitchell Defensive Rebound.,16,52
3:00,2127,Jordan Jones made Layup.,16,54
2:42,-1,Caleb Sergent missed Jumper.,16,54
2:42,2127,Jamaal David Defensive Rebound.,16,54
2:41,-1,Foul on Joe Dockery.,16,54
2:41,2127,Jamaal David made Free Throw.,16,55
2:41,2127,Jamaal David made Free Throw.,16,56
2:33,-1,Nick Hayes missed Layup.,16,56
2:33,2127,Jordan Jones Block.,16,56
2:33,2127,Jordan Jones Defensive Rebound.,16,56
2:14,2127,Cortez Mitchell missed Three Point Jumper.,16,56
2:14,-1,Nikk Butler Defensive Rebound.,16,56
2:05,-1,Nikk Butler Turnover.,16,56
2:04,2127,Travis McConico Steal.,16,56
2:02,-1,Foul on Joe Dockery.,16,56
2:02,2127,Travis McConico made Free Throw.,16,57
2:02,2127,Travis McConico made Free Throw.,16,58
1:46,-1,Joe Dockery missed Three Point Jumper.,16,58
1:46,2127,Cortez Mitchell Defensive Rebound.,16,58
1:40,2127,Foul on Cortez Mitchell.,16,58
1:40,2127,Cortez Mitchell Turnover.,16,58
1:36,-1,Caleb Sergent missed Three Point Jumper.,16,58
1:36,2127,Christian Keeling Defensive Rebound.,16,58
1:28,2127,Christian Keeling made Dunk.,16,60
1:19,2127,Foul on Deontaye Buskey.,16,60
1:19,-1,Joe Dockery missed Free Throw.,16,60
1:19,-1,Toccoa Falls Offensive Rebound.,16,60
1:05,-1,Justin Watkins Turnover.,16,60
1:02,2127,Christian Keeling made Layup.,16,62
0:53,-1,Matthew Massengill missed Three Point Jumper.,16,62
0:53,2127,Jamaal David Defensive Rebound.,16,62
0:35,2127,Jamaal David missed Three Point Jumper.,16,62
0:35,2127,Travis McConico Offensive Rebound.,16,62
0:32,2127,Travis McConico made Layup.,16,64
0:15,-1,Caleb Sergent missed Jumper.,16,64
0:15,2127,Travis McConico Defensive Rebound.,16,64
0:00,2127,Christian Keeling made Layup.,16,66
0:00,2127,End of 1st half,16,66
19:47,-1,Nikk Butler Turnover.,16,66
19:34,2127,Ty Jones missed Jumper.,16,66
19:34,-1,Jordan Grayson Defensive Rebound.,16,66
19:22,-1,Seth Stanley missed Jumper.,16,66
19:22,2127,Phlandrous Fleming Jr Defensive Rebound.,16,66
19:13,2127,Foul on Jamaal David.,16,66
19:13,2127,Jamaal David Turnover.,16,66
18:56,-1,Dylan Brandenburg missed Three Point Jumper.,16,66
18:56,2127,Phlandrous Fleming Jr Defensive Rebound.,16,66
18:44,2127,Ty Jones made Layup. Assisted by Sean Price.,16,68
18:14,-1,Nikk Butler Turnover.,16,68
18:13,2127,Phlandrous Fleming Jr Steal.,16,68
18:10,2127,Sean Price made Layup. Assisted by Phlandrous Fleming Jr.,16,70
17:46,-1,Seth Stanley missed Three Point Jumper.,16,70
17:46,2127,Phlandrous Fleming Jr Defensive Rebound.,16,70
17:39,2127,Jamaal David made Dunk. Assisted by Phlandrous Fleming Jr.,16,72
17:34,-1,Toccoa Falls  Timeout,16,72
17:34,2127,Official TV Timeout,16,72
17:04,-1,Shane Thompson missed Three Point Jumper.,16,72
17:04,2127,Phlandrous Fleming Jr Defensive Rebound.,16,72
16:49,2127,Foul on Jamaal David.,16,72
16:49,2127,Jamaal David Turnover.,16,72
16:37,2127,Foul on Abdul Sarki.,16,72
16:37,-1,Shane Thompson made Free Throw.,17,72
16:37,-1,Shane Thompson made Free Throw.,18,72
16:22,2127,Jamaal David missed Three Point Jumper.,18,72
16:22,2127,Abdul Sarki Offensive Rebound.,18,72
16:18,2127,Abdul Sarki made Layup.,18,74
16:05,-1,Justin Watkins Turnover.,18,74
16:03,2127,Phlandrous Fleming Jr Steal.,18,74
16:00,2127,Sean Price missed Three Point Jumper.,18,74
16:00,-1,Caleb Sergent Defensive Rebound.,18,74
15:46,-1,Caleb Sergent Turnover.,18,74
15:44,2127,Ty Jones Steal.,18,74
15:41,2127,Abdul Sarki Turnover.,18,74
15:41,2127,Official TV Timeout,18,74
15:13,-1,Shane Thompson missed Jumper.,18,74
15:13,2127,Abdul Sarki Defensive Rebound.,18,74
15:04,-1,Foul on Nick Hayes.,18,74
15:04,2127,Sean Price made Free Throw.,18,75
15:04,2127,Sean Price made Free Throw.,18,76
14:53,-1,Seth Stanley Turnover.,18,76
14:52,2127,Sean Price Steal.,18,76
14:50,2127,Sean Price missed Layup.,18,76
14:50,2127,Jamaal David Offensive Rebound.,18,76
14:48,2127,Jamaal David made Layup.,18,78
14:20,-1,Seth Stanley missed Jumper.,18,78
14:20,2127,Abdul Sarki Defensive Rebound.,18,78
14:09,2127,Abdul Sarki missed Layup.,18,78
14:09,2127,Abdul Sarki Offensive Rebound.,18,78
14:06,2127,Abdul Sarki made Two Point Tip Shot.,18,80
13:52,-1,Kevin Cave made Three Point Jumper. Assisted by Christian Newman.,21,80
13:22,2127,Jamaal David missed Layup.,21,80
13:22,2127,Abdul Sarki Offensive Rebound.,21,80
13:18,2127,Sean Price missed Three Point Jumper.,21,80
13:18,2127,Abdul Sarki Offensive Rebound.,21,80
13:07,2127,JC Cavin missed Three Point Jumper.,21,80
13:07,2127,Jamar Martin Offensive Rebound.,21,80
13:02,2127,Jamar Martin made Layup.,21,82
12:50,-1,Shane Thompson missed Three Point Jumper.,21,82
12:50,2127,Sean Price Defensive Rebound.,21,82
12:39,2127,Ty Jones made Layup. Assisted by Jamar Martin.,21,84
12:14,-1,Shane Thompson made Three Point Jumper. Assisted by Christian Newman.,24,84
11:59,2127,Jamar Martin missed Layup.,24,84
11:59,-1,Shane Thompson Defensive Rebound.,24,84
11:51,-1,Kevin Cave missed Layup.,24,84
11:51,2127,Nathan Payne Block.,24,84
11:49,-1,Christian Newman Offensive Rebound.,24,84
11:47,-1,Christian Newman missed Jumper.,24,84
11:47,-1,Shane Thompson Offensive Rebound.,24,84
11:42,-1,Shane Thompson missed Three Point Jumper.,24,84
11:42,2127,Ty Jones Defensive Rebound.,24,84
11:39,2127,JC Cavin made Layup. Assisted by Ty Jones.,24,86
11:13,-1,Shane Thompson missed Three Point Jumper.,24,86
11:13,-1,Shane Thompson Offensive Rebound.,24,86
11:09,-1,Shane Thompson made Jumper.,26,86
11:00,2127,Sean Price made Layup. Assisted by JC Cavin.,26,88
10:43,-1,Kevin Cave missed Three Point Jumper.,26,88
10:43,2127,Jamar Martin Defensive Rebound.,26,88
10:37,2127,JC Cavin missed Three Point Jumper.,26,88
10:37,-1,Toccoa Falls Defensive Rebound.,26,88
10:34,2127,Official TV Timeout,26,88
10:25,-1,Justin Watkins Turnover.,26,88
10:24,2127,Jamar Martin Steal.,26,88
10:20,-1,Foul on Jordan Grayson.,26,88
10:20,2127,Jamar Martin made Free Throw.,26,89
10:20,2127,Jamar Martin made Free Throw.,26,90
10:04,-1,Dylan Brandenburg made Three Point Jumper. Assisted by Joe Dockery.,29,90
9:47,2127,Jamar Martin made Layup.,29,92
9:47,-1,Foul on Dylan Brandenburg.,29,92
9:47,2127,Jamar Martin made Free Throw.,29,93
9:31,2127,Foul on Abdul Sarki.,29,93
9:25,-1,Jordan Grayson Turnover.,29,93
9:25,2127,Jamar Martin Steal.,29,93
9:19,2127,Jamar Martin missed Three Point Jumper.,29,93
9:19,-1,Toccoa Falls Defensive Rebound.,29,93
9:00,-1,Dylan Brandenburg missed Three Point Jumper.,29,93
9:00,2127,Jamar Martin Defensive Rebound.,29,93
8:44,2127,Nathan Payne missed Layup.,29,93
8:44,-1,Jordan Grayson Defensive Rebound.,29,93
8:38,-1,Jordan Grayson Turnover.,29,93
8:37,2127,Ty Jones Steal.,29,93
8:31,2127,Nathan Payne made Layup. Assisted by Sean Price.,29,95
8:30,-1,Foul on Joe Dockery.,29,95
8:30,2127,Nathan Payne missed Free Throw.,29,95
8:30,2127,Ty Jones Offensive Rebound.,29,95
8:01,2127,Abdul Sarki missed Dunk.,29,95
8:01,-1,Justin Watkins Defensive Rebound.,29,95
7:53,-1,Matthew Massengill missed Jumper.,29,95
7:53,2127,Jamar Martin Defensive Rebound.,29,95
7:27,2127,Ty Jones missed Layup.,29,95
7:27,2127,Abdul Sarki Offensive Rebound.,29,95
7:23,2127,Abdul Sarki Turnover.,29,95
7:22,-1,Justin Watkins Steal.,29,95
7:20,-1,Justin Watkins made Jumper.,31,95
6:48,-1,Foul on Dylan Brandenburg.,31,95
6:48,2127,Official TV Timeout,31,95
6:48,2127,Sean Price missed Free Throw.,31,95
6:48,2127,Charleston Southern Deadball Team Rebound.,31,95
6:48,2127,Sean Price made Free Throw.,31,96
6:21,2127,Foul on Abdul Sarki.,31,96
6:21,-1,Nick Hayes made Free Throw.,32,96
6:21,-1,Nick Hayes made Free Throw.,33,96
6:16,-1,Foul on Joe Dockery.,33,96
6:16,2127,Sean Price made Free Throw.,33,97
6:16,2127,Sean Price made Free Throw.,33,98
6:07,-1,Kevin Cave Turnover.,33,98
6:05,2127,Sean Price Steal.,33,98
6:04,2127,JC Cavin missed Layup.,33,98
6:04,2127,Abdul Sarki Offensive Rebound.,33,98
6:02,2127,Abdul Sarki made Dunk.,33,100
5:37,-1,Nick Hayes Turnover.,33,100
5:37,2127,Abdul Sarki Steal.,33,100
5:35,2127,JC Cavin missed Layup.,33,100
5:35,-1,Kevin Cave Defensive Rebound.,33,100
5:28,-1,Nikk Butler Turnover.,33,100
5:27,-1,Toccoa Falls  Timeout,33,100
5:04,-1,Foul on Nick Hayes.,33,100
5:04,2127,Sean Price made Free Throw.,33,101
5:04,2127,Sean Price made Free Throw.,33,102
4:43,-1,Technical Foul on Toccoa Falls.,33,102
4:43,2127,Abdul Sarki missed Free Throw.,33,102
4:43,2127,Charleston Southern Deadball Team Rebound.,33,102
4:43,2127,Abdul Sarki made Free Throw.,33,103
4:33,-1,Justin Watkins missed Jumper.,33,103
4:33,2127,Nathan Payne Defensive Rebound.,33,103
4:04,-1,Foul on Nikk Butler.,33,103
4:04,2127,Nathan Payne made Free Throw.,33,104
4:04,2127,Nathan Payne missed Free Throw.,33,104
4:04,-1,Seth Stanley Defensive Rebound.,33,104
3:44,-1,Kevin Cave missed Layup.,33,104
3:44,2127,Abdul Sarki Defensive Rebound.,33,104
3:23,-1,Foul on Justin Watkins.,33,104
3:23,2127,Official TV Timeout,33,104
3:23,2127,Jamar Martin made Free Throw.,33,105
3:23,2127,Jamar Martin missed Free Throw.,33,105
3:23,2127,Nathan Payne Offensive Rebound.,33,105
3:22,2127,Nathan Payne missed Layup.,33,105
3:22,2127,Abdul Sarki Offensive Rebound.,33,105
3:18,2127,Abdul Sarki missed Layup.,33,105
3:18,2127,Nathan Payne Offensive Rebound.,33,105
3:16,2127,Nathan Payne made Two Point Tip Shot.,33,107
2:59,-1,Seth Stanley missed Three Point Jumper.,33,107
2:59,-1,Omar Simpkins Offensive Rebound.,33,107
2:54,-1,Omar Simpkins missed Jumper.,33,107
2:54,-1,Toccoa Falls Offensive Rebound.,33,107
2:42,-1,Omar Simpkins missed Jumper.,33,107
2:42,2127,Jamar Martin Defensive Rebound.,33,107
2:18,2127,Alex Stewart Turnover.,33,107
2:17,-1,Seth Stanley Steal.,33,107
2:12,2127,Foul on Alex Stewart.,33,107
2:12,-1,Seth Stanley missed Free Throw.,33,107
2:12,-1,Toccoa Falls Deadball Team Rebound.,33,107
2:12,-1,Seth Stanley made Free Throw.,34,107
2:00,2127,Alex Stewart missed Jumper.,34,107
2:00,-1,Seth Stanley Defensive Rebound.,34,107
1:26,-1,Seth Stanley Turnover.,34,107
1:13,2127,Alex Stewart missed Jumper.,34,107
1:13,2127,Nathan Payne Offensive Rebound.,34,107
1:08,2127,Abdul Sarki missed Jumper.,34,107
1:08,-1,Justin Watkins Defensive Rebound.,34,107
0:37,2127,Foul on Abdul Sarki.,34,107
0:37,-1,Nick Hayes made Free Throw.,35,107
0:37,-1,Nick Hayes made Free Throw.,36,107
0:12,2127,Jamar Martin missed Dunk.,36,107
0:12,2127,Nathan Payne Offensive Rebound.,36,107
0:00,2127,End of Game,36,107
