Rice,2439,UNLV,242
7:45,242,Najja Hunter Defensive Rebound.,52,81
7:31,242,Najja Hunter made Jumper.,54,81
7:11,2439,Brandon McCoy missed Jumper.,54,81
7:11,242,Tim Harrison Defensive Rebound.,54,81
7:02,242,Robert Martin missed Three Point Jumper.,54,81
7:02,242,Malik Osborne Offensive Rebound.,54,81
6:56,242,Malik Osborne made Dunk.,56,81
6:28,2439,Brandon McCoy Turnover.,56,81
6:26,242,Robert Martin Steal.,56,81
6:25,242,Robert Martin Turnover.,56,81
6:24,2439,Brandon McCoy Steal.,56,81
6:22,242,Foul on Malik Osborne.,56,81
6:22,2439,Official TV Timeout,56,81
6:22,2439,Brandon McCoy made Free Throw.,56,82
6:22,2439,Brandon McCoy made Free Throw.,56,83
6:13,242,Connor Cashaw missed Jumper.,56,83
6:13,242,Rice Offensive Rebound.,56,83
6:11,2439,Foul on Cheikh Mbacke Diong.,56,83
6:01,242,Ako Adams made Three Point Jumper.,59,83
5:31,2439,Cheikh Mbacke Diong Turnover.,59,83
5:29,242,Connor Cashaw Steal.,59,83
5:10,242,A.J. Lapray Turnover.,59,83
4:54,2439,Jovan Mooring Turnover.,59,83
4:47,242,Ako Adams made Jumper.,61,83
4:24,2439,Jordan Johnson made Three Point Jumper. Assisted by Cheickna Dembele.,61,86
4:09,242,Tim Harrison missed Jumper.,61,86
4:09,2439,Cheikh Mbacke Diong Defensive Rebound.,61,86
4:01,2439,Amauri Hardy missed Three Point Jumper.,61,86
4:01,242,Rice Defensive Rebound.,61,86
3:58,2439,Official TV Timeout,61,86
3:47,242,Ako Adams missed Three Point Jumper.,61,86
3:47,2439,Jovan Mooring Defensive Rebound.,61,86
3:40,242,Foul on Bishop Mency.,61,86
3:18,242,Foul on Ako Adams.,61,86
2:58,2439,Amauri Hardy made Three Point Jumper. Assisted by Jay Green.,61,89
2:44,242,Connor Cashaw missed Jumper.,61,89
2:44,242,Malik Osborne Offensive Rebound.,61,89
2:40,242,Malik Osborne missed Layup.,61,89
2:40,2439,Shakur Juiston Defensive Rebound.,61,89
2:33,2439,Amauri Hardy made Layup.,61,91
2:25,242,A.J. Lapray missed Three Point Jumper.,61,91
2:25,242,Ako Adams Offensive Rebound.,61,91
2:13,242,Connor Cashaw made Jumper.,63,91
1:54,2439,Shakur Juiston made Layup.,63,93
1:48,242,Rice  Timeout,63,93
1:40,242,Robert Martin made Layup.,65,93
1:06,2439,Amauri Hardy Turnover.,65,93
0:53,242,Robert Martin missed Layup.,65,93
0:53,242,Malik Osborne Offensive Rebound.,65,93
0:45,242,Robert Martin made Three Point Jumper.,68,93
0:30,2439,Tervell Beck made Layup.,68,95
0:11,242,Najja Hunter missed Layup.,68,95
0:11,2439,Cheikh Mbacke Diong Defensive Rebound.,68,95
0:00,2439,End of Game,68,95
